から	от	から	от	CONJ	ADP
会話	разговори	会話	разговор	V	N;INDF;MASC;PL
会話	беседа	会話	бесед	V	N;INDF;FEM;SG
会話	разговори	会話	разговор	V	N;INDF;MASC;PL
大阪	осака	大阪	осакам	PROPN	N;INDF;FEM;SG
チーム	team	チーム	team	N	PROPN;INDF;MASC;SG
存在	съществуването	存在	съществуване	V	N;DEF;NEUT;SG
存在	съществуване	存在	съществуване	V	N;INDF;NEUT;SG
所属	принадлежност	所属	принадлежност	V	N;INDF;FEM;SG
国際	международно	国際	международно	N	ADV
国際	международен	国際	международен	N	ADJ;INDF;MASC;SG
国際	международни	国際	международен	N	ADJ;INDF;PL
国際	международна	国際	международен	N	ADJ;INDF;FEM;SG
一部	някои	一部	някой	N	PRO;NOM;PL
一部	частично	一部	частичен	N	ADV
一部	отчасти	一部	отчаст	N	ADV
バス	автобусът	バス	автобус	PROPN	N;DEF;MASC;SG
バス	автобус	バス	автобус	PROPN	N;INDF;MASC;SG
バス	бус	バス	бус	PROPN	N;INDF;MASC;SG
バス	бас	バス	бас	PROPN	N;INDF;MASC;SG
バス	баса	バス	баса	PROPN	N;DEF;MASC;SG
バス	костур	バス	костур	PROPN	N;INDF;MASC;SG
バス	автобуси	バス	автобус	PROPN	N;INDF;MASC;PL
バス	автобусите	バス	автобус	PROPN	N;DEF;MASC;PL
開発	развитие	開発	развитие	V	N;INDF;NEUT;SG
開発	разработване	開発	разработване	V	N;INDF;NEUT;SG
開発	разработка	開発	разработка	V	N;INDF;FEM;SG
決定	решението	決定	решение	V	N;DEF;NEUT;SG
決定	решение	決定	решение	V	N;INDF;NEUT;SG
決定	решения	決定	решение	V	N;INDF;NEUT;PL
音楽	music	音楽	music	N	PROPN;INDF;MASC;SG
転送	напред	転送	напред	V	ADV
転送	трансфер	転送	трансфер	V	N;INDF;MASC;SG
転送	преместване	転送	преместване	V	N;INDF;NEUT;SG
転送	прехвърляне	転送	прехвърляне	V	N;INDF;NEUT;SG
転送	трансфери	転送	трансфер	V	N;INDF;MASC;PL
転送	преводи	転送	превод	V	N;INDF;MASC;PL
情報	info	情報	info	N	INTJ
公式	формула	公式	формула	ADJ	N;INDF;FEM;SG
公式	официално	公式	официално	ADJ	ADV
参加	присъединяване	参加	присъединяване	V	N;INDF;NEUT;SG
参加	участието	参加	участие	V	N;DEF;NEUT;SG
参加	участие	参加	участие	V	N;INDF;NEUT;SG
変更	промени	変更	промяна	V	N;INDF;FEM;PL
変更	промените	変更	промяна	V	N;DEF;FEM;PL
変更	изменения	変更	изменение	V	N;INDF;NEUT;PL
変更	промени	変更	промяна	V	N;INDF;FEM;PL
変更	смяна	変更	смяна	V	N;INDF;FEM;SG
変更	промяна	変更	промяна	V	N;INDF;FEM;SG
編曲	уредено	編曲	уреда	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
編曲	подредени	編曲	подредя	N	V;PFV;INDF;PL;V.PTCP;PASS
編曲	уреден	編曲	уреден	N	ADJ;INDF;MASC;SG
編曲	уговорено	編曲	уговоря	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
記録	записване	記録	записване	V	N;INDF;NEUT;SG
記録	запис	記録	запис	V	N;INDF;MASC;SG
記録	рекорд	記録	рекорд	V	N;INDF;MASC;SG
記録	запис	記録	запис	V	N;INDF;MASC;SG
クラブ	club	クラブ	club	N	PROPN;INDF;MASC;SG
中央	централно	中央	централен	N	ADV
中央	централен	中央	централен	N	ADJ;INDF;MASC;SG
中央	централни	中央	централен	N	ADJ;INDF;PL
中央	централна	中央	централен	N	ADJ;INDF;FEM;SG
設立	включването	設立	включване	V	N;DEF;NEUT;SG
設立	учредяване	設立	учредяване	V	N;INDF;NEUT;SG
設立	учреждение	設立	учреждение	V	N;INDF;NEUT;SG
設立	установяване	設立	установяване	V	N;INDF;NEUT;SG
考え	мислене	考える	мислене	V	N;INDF;NEUT;SG
設置	инсталация	設置	инсталация	V	N;INDF;FEM;SG
設置	монтаж	設置	монтаж	V	N;INDF;MASC;SG
設置	инсталиране	設置	инсталиране	V	N;INDF;NEUT;SG
設置	монтиране	設置	монтиране	V	N;INDF;NEUT;SG
設置	инсталации	設置	инсталация	V	N;INDF;FEM;PL
発表	обявяване	発表	обявяване	V	N;INDF;NEUT;SG
発表	съобщение	発表	съобщение	V	N;INDF;NEUT;SG
発表	обявление	発表	обявление	V	N;INDF;NEUT;SG
小学校	елементарен	小学校	елементарен	N	ADJ;INDF;MASC;SG
小学校	елементарно	小学校	елементарно	N	ADV
小学校	елементарна	小学校	елементарен	N	ADJ;INDF;FEM;SG
小学校	начално	小学校	начално	N	ADV
編集	редактиране	編集	редактиране	V	N;INDF;NEUT;SG
編集	редакции	編集	редакция	V	N;INDF;FEM;PL
編集	редактиране	編集	редактиране	V	N;INDF;NEUT;SG
編集	монтаж	編集	монтаж	V	N;INDF;MASC;SG
フランス	франция	フランス	франция	PROPN	PROPN;INDF;FEM;SG
都市	city	都市	city	N	PROPN;INDF;MASC;SG
出版	издател	出版	издател	V	N;INDF;MASC;SG
出版	издателство	出版	издателство	V	N;INDF;NEUT;SG
出版	публикуване	出版	публикуване	V	N;INDF;NEUT;SG
出版	издателство	出版	издателство	V	N;INDF;NEUT;SG
出版	публикация	出版	публикация	V	N;INDF;FEM;SG
出版	публикуване	出版	публикуване	V	N;INDF;NEUT;SG
会社	твърда	会社	твърд	N	ADJ;INDF;FEM;SG
会社	твърдо	会社	твърдо	N	ADV
会社	твърд	会社	твърд	N	ADJ;INDF;MASC;SG
会社	company	会社	company	N	NUM;INDF;PL
世紀	вековен	世紀	вековен	N	ADJ;INDF;MASC;SG
京都	киото	京都	киото	PROPN	N;DEF;MASC;SG
ドイツ	германия	ドイツ	германия	PROPN	PROPN;INDF;FEM;SG
シングル	необвързан	シングル	необвързан	N	ADJ;INDF;MASC;SG
シングル	единична	シングル	единичен	N	ADJ;INDF;FEM;SG
シングル	необвързана	シングル	побвържа	N	ADJ;INDF;FEM;SG
シングル	единичен	シングル	единичен	N	ADJ;INDF;MASC;SG
終了	край	終了	край	V	ADP
終了	излизане	終了	излизане	V	N;INDF;NEUT;SG
終了	изход	終了	изход	V	N;INDF;MASC;SG
終了	напускане	終了	напускане	V	N;INDF;NEUT;SG
イギリス	англия	イギリス	англия	PROPN	PROPN;INDF;FEM;SG
中国	порцелан	中国	порцелам	PROPN	N;INDF;MASC;SG
中国	китай	中国	китай	PROPN	N;INDF;MASC;SG
中国	чайна	中国	чаен	PROPN	N;INDF;FEM;SG
撮影	кинематография	撮影	кинематография	V	N;INDF;FEM;SG
撮影	фотографията	撮影	фотография	V	N;DEF;FEM;SG
撮影	фотография	撮影	фотография	V	N;INDF;FEM;SG
撮影	снимането	撮影	снимане	V	N;DEF;NEUT;SG
撮影	снимане	撮影	снимане	V	N;INDF;NEUT;SG
指定	обозначение	指定	обозначение	V	N;INDF;NEUT;SG
指定	означение	指定	означение	V	N;INDF;NEUT;SG
指定	обозначаване	指定	обозначаване	V	N;INDF;NEUT;SG
指定	определяне	指定	определяне	V	N;INDF;NEUT;SG
位置	позиция	位置	позиция	V	N;INDF;FEM;SG
位置	положение	位置	положение	V	N;INDF;NEUT;SG
位置	длъжност	位置	длъжност	V	N;INDF;FEM;SG
以下	долу	以下	долу	N	ADV
以下	отдолу	以下	отдолу	N	ADV
マン	ман	マン	ман	N	PROPN;INDF;MASC;SG
卒業	дипломирането	卒業	дипломиране	V	N;DEF;NEUT;SG
卒業	дипломиране	卒業	дипломиране	V	N;INDF;NEUT;SG
卒業	завършване	卒業	завършване	V	N;INDF;NEUT;SG
公開	публично	公開	публично	V	ADV
公開	публични	公開	публичен	V	ADJ;INDF;PL
公開	публична	公開	публичен	V	ADJ;INDF;FEM;SG
公開	обществено	公開	обществен	V	ADV
公開	публичен	公開	публичен	V	ADJ;INDF;MASC;SG
公開	обществени	公開	обществен	V	ADJ;INDF;PL
公開	публикуване	公開	публикуване	V	N;INDF;NEUT;SG
北海道	хокайдо	北海道	хокайдо	PROPN	N;INDF;MASC;SG
最終	последно	最終	последно	N	ADV
最終	последен	最終	последен	N	ADJ;INDF;MASC;SG
最終	последни	最終	последен	N	ADJ;INDF;PL
最終	последна	最終	последен	N	ADJ;INDF;FEM;SG
最終	краен	最終	краен	N	ADJ;INDF;MASC;SG
最終	окончателно	最終	окончателно	N	ADV
確認	потвърждение	確認	потвърждение	V	N;INDF;NEUT;SG
確認	потвърждаване	確認	потвърждаване	V	N;INDF;NEUT;SG
確認	потвърждение	確認	потвърждение	V	N;INDF;NEUT;SG
確認	потвърждаване	確認	потвърждаване	V	N;INDF;NEUT;SG
一般	обща	一般	общ	N	ADJ;INDF;FEM;SG
一般	общи	一般	общ	N	ADJ;INDF;PL
計画	планирани	計画	планирам	N	V;PFV;INDF;PL;V.PTCP;PASS
計画	планирана	計画	планирам	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
計画	планирано	計画	планирам	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
計画	планиран	計画	планирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ページ	page	ページ	page	N	INTJ
ラジオ	radio	ラジオ	radio	N	PROPN;INDF;MASC;SG
グループ	групово	グループ	групово	N	ADV
グループ	групова	グループ	групов	N	ADJ;INDF;FEM;SG
英語	английски	英語	английски	N	ADJ;INDF;MASC;SG
女性	женско	女性	женски	N	ADV
女性	женски	女性	женски	N	ADJ;INDF;MASC;SG
女性	женска	女性	женски	N	ADJ;INDF;FEM;SG
コメント	коментирайте	コメント	коментирам	N	V;IPFV;IMP;PL;2;FIN
コメント	коментирам	コメント	коментирам	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
コメント	коментира	コメント	коментирам	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
就任	допускане	就任	допускане	V	N;INDF;NEUT;SG
就任	предположение	就任	предположение	V	N;INDF;NEUT;SG
販売	продаване	販売	продаване	V	N;INDF;NEUT;SG
販売	продажба	販売	продажба	V	N;INDF;FEM;SG
販売	продажби	販売	продажба	V	N;INDF;FEM;PL
販売	продажбите	販売	продажба	V	N;DEF;FEM;PL
攻撃	атентати	攻撃	атентат	V	N;INDF;MASC;PL
攻撃	атаки	攻撃	атака	V	N;INDF;FEM;PL
攻撃	нападения	攻撃	нападение	V	N;INDF;NEUT;PL
攻撃	атака	攻撃	атака	V	N;INDF;FEM;SG
リー	лий	リー	лий	N	PROPN;INDF;MASC;SG
全国	национално	全国	национален	N	ADV
デビュー	дебют	デビュー	дебют	V	N;INDF;MASC;SG
フジ	фуджи	フジ	фуджа	PROPN	N;INDF;MASC;SG
製作	продукция	製作	продукция	V	N;INDF;FEM;SG
製作	производство	製作	производство	V	N;INDF;NEUT;SG
当初	първоначално	当初	първоначално	N	ADV
最初	първи	最初	първи	N	ADJ;INDF;MASC;SG
最初	първо	最初	първо	N	ADV
受賞	награди	受賞	награда	V	N;INDF;FEM;PL
受賞	възлагане	受賞	възлагане	V	N;INDF;NEUT;SG
受賞	награда	受賞	награда	V	N;INDF;FEM;SG
広島	хирошима	広島	хирошим	PROPN	N;INDF;FEM;SG
リンク	връзка	リンク	връзка	V	N;INDF;FEM;SG
リンク	линк	リンク	линк	V	N;INDF;MASC;SG
リンク	връзки	リンク	връзка	V	N;INDF;FEM;PL
合併	сливане	合併	сливане	V	N;INDF;NEUT;SG
合併	сливания	合併	сливане	V	N;INDF;NEUT;PL
特定	конкретни	特定	конкретен		ADJ;INDF;PL
特定	специфично	特定	специфично		ADV
特定	специфичен	特定	специфичен		ADJ;INDF;MASC;SG
特定	специфична	特定	специфичен		ADJ;INDF;FEM;SG
特定	специфични	特定	специфичен		ADJ;INDF;PL
特定	посочен	特定	посоча		V;PFV;INDF;MASC;SG;V.PTCP;PASS
特定	посочена	特定	посоча		V;PFV;INDF;FEM;SG;V.PTCP;PASS
特定	посочени	特定	посоча		V;PFV;INDF;PL;V.PTCP;PASS
特定	уточнени	特定	уточня		V;PFV;INDF;PL;V.PTCP;PASS
特定	посочено	特定	посоча		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
朝日	асахи	朝日	асах	PROPN	N;INDF;MASC;SG
意味	смисъл	意味	смисъл	V	N;INDF;MASC;SG
意味	значения	意味	значение	V	N;INDF;NEUT;PL
システム	системни	システム	системен	N	ADJ;INDF;PL
建設	изграждане	建設	изграждане	V	N;INDF;NEUT;SG
建設	строеж	建設	строеж	V	N;INDF;MASC;SG
建設	конструкция	建設	конструкция	V	N;INDF;FEM;SG
建設	строителство	建設	строителство	V	N;INDF;NEUT;SG
とき	когато	とき	когато	N	ADV
とき	кога	とき	кога	N	ADV
最後	последно	最後	последно	N	ADV
最後	последен	最後	последен	N	ADJ;INDF;MASC;SG
最後	последни	最後	последен	N	ADJ;INDF;PL
最後	последна	最後	последен	N	ADJ;INDF;FEM;SG
発生	възникване	発生	възникване	V	N;INDF;NEUT;SG
発生	настъпване	発生	настъпване	V	N;INDF;NEUT;SG
連続	приемственост	連続	приемственост	ADJ	N;INDF;FEM;SG
構成	настройване	構成	настройване	V	N;INDF;NEUT;SG
構成	конфигурация	構成	конфигурация	V	N;INDF;FEM;SG
構成	състав	構成	състав	V	N;INDF;MASC;SG
構成	композиция	構成	композиция	V	N;INDF;FEM;SG
構成	структура	構成	структура	V	N;INDF;FEM;SG
構成	конструкция	構成	конструкция	V	N;INDF;FEM;SG
構成	конфигурации	構成	конфигурация	V	N;INDF;FEM;PL
構成	състави	構成	съставя	V	N;INDF;FEM;PL
最大	максимална	最大	максимален	N	ADJ;INDF;FEM;SG
最大	максимален	最大	максимален	N	ADJ;INDF;MASC;SG
最大	максимално	最大	максимално	N	ADV
小説	новела	小説	новя-(се)	N	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
それぞれ	всяка	それぞれ	всеки	ADV	DET;FEM;SG
それぞれ	всеки	それぞれ	всеки	ADV	PRO;NOM;MASC;SG
参照	препратка	参照	препратка	V	N;INDF;FEM;SG
参照	позоваване	参照	позоваване	V	N;INDF;NEUT;SG
参照	референтни	参照	референтен	V	ADJ;INDF;PL
参照	препратки	参照	препратка	V	N;INDF;FEM;PL
参照	препоръки	参照	препоръка	V	N;INDF;FEM;PL
参照	позовавания	参照	позовавам-(се)	V	N;INDF;NEUT;PL
発行	издадена	発行	издам-(се)	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
発行	издаден	発行	издам-(се)	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
発行	емитирани	発行	емитирам	N	V;PFV;INDF;PL;V.PTCP;PASS
発行	издадени	発行	издам-(се)	N	V;PFV;INDF;PL;V.PTCP;PASS
発行	издадено	発行	издам-(се)	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
状態	държавно	状態	държавен	N	ADV
ホーム	домашен	ホーム	домашен	N	ADJ;INDF;MASC;SG
ホーム	вкъщи	ホーム	вкъщи	N	ADV
運行	операцията	運行	операция	V	N;DEF;FEM;SG
運行	експлоатация	運行	експлоатация	V	N;INDF;FEM;SG
運行	функциониране	運行	функциониране	V	N;INDF;NEUT;SG
運行	операция	運行	операция	V	N;INDF;FEM;SG
投稿	post	投稿	post	V	N
投稿	публикация	投稿	публикация	V	N;INDF;FEM;SG
投稿	публикуване	投稿	публикуване	V	N;INDF;NEUT;SG
投稿	пост	投稿	пост	V	N;INDF;MASC;SG
投稿	постове	投稿	пост	V	N;INDF;MASC;PL
投稿	публикации	投稿	публикация	V	N;INDF;FEM;PL
福岡	фукуока	福岡	фукуока	PROPN	N;INDF;FEM;SG
調査	проучвания	調査	проучване	V	N;INDF;NEUT;PL
調査	разследването	調査	разследване	V	N;DEF;NEUT;SG
調査	разследване	調査	разследване	V	N;INDF;NEUT;SG
調査	проучване	調査	проучване	V	N;INDF;NEUT;SG
調査	анкета	調査	анкета	V	N;INDF;FEM;SG
調査	изследване	調査	изследване	V	N;INDF;NEUT;SG
イタリア	италия	イタリア	италия	PROPN	PROPN;INDF;FEM;SG
ロシア	руснак	ロシア	руснак	PROPN	N;INDF;MASC;SG
ロシア	руски	ロシア	руски	PROPN	ADJ;INDF;MASC;SG
ロシア	руснаци	ロシア	руснак	PROPN	N;INDF;MASC;PL
ロシア	руска	ロシア	руски	PROPN	ADJ;INDF;FEM;SG
ロシア	руско	ロシア	руско	PROPN	ADV
ロシア	русия	ロシア	русия	PROPN	PROPN;INDF;FEM;SG
独立	независимост	独立	независимост	ADJ	N;INDF;FEM;SG
サン	сан	サン	сан	N	PROPN;INDF;MASC;SG
名古屋	нагоя	名古屋	нагой	PROPN	N;INDF;MASC;SG
通常	нормално	通常	нормално	N	ADV
通常	обикновено	通常	обикновено	N	ADV
通常	обикновенно	通常	обикновенно	N	ADV
通常	обикновено	通常	обикновено	N	ADV
企業	enterprise	企業	enterprise	N	PROPN;INDF;MASC;SG
航空	авиационна	航空	авиационен	N	ADJ;INDF;FEM;SG
航空	въздушно	航空	въздушен	N	ADV
スーパー	super	スーパー	super	N	PROPN;INDF;MASC;SG
スーパー	супер	スーパー	супер	N	ADV
影響	влияние	影響	влияние	V	N;INDF;NEUT;SG
影響	влияния	影響	влияние	V	N;INDF;NEUT;PL
勝利	победите	勝利	победя	V	N;DEF;FEM;PL
勝利	победи	勝利	победа	V	N;INDF;FEM;PL
勝利	победи	勝利	победа	V	N;INDF;FEM;PL
勝利	победа	勝利	победа	V	N;INDF;FEM;SG
勝利	победа	勝利	победа	V	N;INDF;FEM;SG
デザイン	дизайни	デザイン	дизаен	N	ADJ;INDF;PL
全て	всичко	全て	всеки	ADV	PRO;NOM;NEUT;SG
人間	човешка	人間	човешки	N	ADJ;INDF;FEM;SG
人間	човешко	人間	човешки	N	ADV
人間	човешки	人間	човешки	N	ADJ;INDF;MASC;SG
千葉	чиба	千葉	чиба	PROPN	N;INDF;MASC;SG
アン	ане	アン	ане	PROPN	PROPN;INDF;MASC;SG
アン	анн	アン	анн	PROPN	PROPN;INDF;FEM;SG
アン	ан	アン	ан	PROPN	PROPN;INDF;FEM;SG
アン	анг	アン	анг	PROPN	N;INDF;MASC;SG
アン	анн	アン	анн	PROPN	PROPN;INDF;FEM;SG
アン	ан	アン	ан	PROPN	PROPN;INDF;FEM;SG
戦い	битката	戦う	битка	V	N;DEF;FEM;SG
戦い	битка	戦う	битка	V	N;INDF;FEM;SG
実施	осъществяване	実施	осъществяване	V	N;INDF;NEUT;SG
実施	прилагане	実施	прилагане	V	N;INDF;NEUT;SG
実施	изпълнение	実施	изпълнение	V	N;INDF;NEUT;SG
実施	внедряване	実施	внедряване	V	N;INDF;NEUT;SG
ここ	тук	ここ	там	PRO	ADV
以前	преди	以前	преди	N	ADP
統合	вграден	統合	вграден	V	ADJ;INDF;MASC;SG
統合	обединяване	統合	обединяване	V	N;INDF;NEUT;SG
統合	сливане	統合	сливане	V	N;INDF;NEUT;SG
統合	интегриране	統合	интегриране	V	N;INDF;NEUT;SG
統合	интеграция	統合	интеграция	V	N;INDF;FEM;SG
ビル	бил	ビル	съм	N	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT
日本語	японско	日本語	японски	N	ADV
日本語	японска	日本語	японски	N	ADJ;INDF;FEM;SG
日本語	японски	日本語	японски	N	ADJ;INDF;MASC;SG
契約	договори	契約	договор	V	N;INDF;MASC;PL
契約	поръчки	契約	поръчка	V	N;INDF;FEM;PL
契約	договор	契約	договор	V	N;INDF;MASC;SG
設定	преференции	設定	преференция	V	N;INDF;FEM;PL
設定	предпочитания	設定	предпочитание	V	N;INDF;NEUT;PL
設定	настройки	設定	настройка	V	N;INDF;FEM;PL
設定	постановка	設定	постановка	V	N;INDF;FEM;SG
設定	настройка	設定	настройка	V	N;INDF;FEM;SG
設定	настройване	設定	настройване	V	N;INDF;NEUT;SG
設定	конфигурация	設定	конфигурация	V	N;INDF;FEM;SG
設定	настройване	設定	настройване	V	N;INDF;NEUT;SG
ライブ	живи	ライブ	жив	N	ADJ;INDF;PL
ライブ	жива	ライブ	жив	N	ADJ;INDF;FEM;SG
ライブ	live	ライブ	live	N	ADJ
ライブ	жив	ライブ	жив	N	ADJ;INDF;MASC;SG
ライブ	живей	ライブ	живей	N	V;IPFV;IMP;SG;2;FIN
含む	включително	含む	включително	V	ADV
専門	специализирана	専門	специализирам	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
専門	специализиран	専門	специализирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
専門	специализирани	専門	специализирам	N	V;PFV;INDF;PL;V.PTCP;PASS
完成	довършване	完成	довършване	V	N;INDF;NEUT;SG
完成	приключване	完成	приключване	V	N;INDF;NEUT;SG
完成	завършване	完成	завършване	V	N;INDF;NEUT;SG
表記	нотация	表記	нотация	V	N;INDF;FEM;SG
表記	означение	表記	означение	V	N;INDF;NEUT;SG
運転	шофиране	運転	шофиране	V	N;INDF;NEUT;SG
運転	каране	運転	каране	V	N;INDF;NEUT;SG
関連	съответна	関連	съответен	V	ADJ;INDF;FEM;SG
関連	съответен	関連	съответен	V	ADJ;INDF;MASC;SG
高い	високо	高い	високо	ADJ	ADV
高い	скъпо	高い	скъпо	ADJ	ADV
生産	продукция	生産	продукция	V	N;INDF;FEM;SG
生産	производство	生産	производство	V	N;INDF;NEUT;SG
横浜	йокохама	横浜	йокохам	PROPN	N;DEF;MASC;SG
上	над	上	над	N	ADP
上	отгоре	上	отгоре	N	ADV
管理	мениджмънт	管理	мениджмънт	V	N;INDF;MASC;SG
管理	управление	管理	управление	V	N;INDF;NEUT;SG
ジョン	джон	ジョン	джон	PROPN	PROPN;INDF;MASC;SG
ジョン	йоан	ジョン	йоан	PROPN	PROPN;INDF;MASC;SG
公園	park	公園	park	N	ADJ
スポーツ	спортен	スポーツ	спортен	N	ADJ;INDF;MASC;SG
スポーツ	спортни	スポーツ	спортен	N	ADJ;INDF;PL
スポーツ	спортен	スポーツ	спортен	N	ADJ;INDF;MASC;SG
スポーツ	спортно	スポーツ	спортен	N	ADV
目的	обективна	目的	обективен	N	ADJ;INDF;FEM;SG
目的	обективни	目的	обективен	N	ADJ;INDF;PL
目的	обективен	目的	обективен	N	ADJ;INDF;MASC;SG
生活	живот	生活	живот	V	N;INDF;MASC;SG
生活	живота	生活	живот	V	N;DEF;MASC;SG
生活	life	生活	life	V	PROPN;INDF;MASC;SG
生活	лайф	生活	лайф	V	N;INDF;MASC;SG
生活	животът	生活	живот	V	N;DEF;MASC;SG
基本	основни	基本	основен	N	ADJ;INDF;PL
基本	основна	基本	основен	N	ADJ;INDF;FEM;SG
基本	основни	基本	основен	N	ADJ;INDF;PL
基本	основен	基本	основен	N	ADJ;INDF;MASC;SG
新潟	ниигата	新潟	ниига	PROPN	N;DEF;FEM;SG
不明	неизвестно	不明	неизвестен	ADJ	ADV
不明	непознат	不明	непознат	ADJ	N;INDF;MASC;SG
電気	електрически	電気	електрически	N	ADJ;INDF;MASC;SG
電気	електрическа	電気	електрически	N	ADJ;INDF;FEM;SG
電気	електрическо	電気	електрически	N	ADV
作成	създаване	作成	създаване	V	N;INDF;NEUT;SG
作成	създаване	作成	създаване	V	N;INDF;NEUT;SG
作成	създаването	作成	създаване	V	N;DEF;NEUT;SG
予定	насрочено	予定	насроча	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
予定	планирано	予定	планирам	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
予定	планирани	予定	планирам	N	V;PFV;INDF;PL;V.PTCP;PASS
予定	планирана	予定	планирам	N	V;PFV;INDF;FEM;SG;V.PTCP;PASS
予定	планирано	予定	планирам	N	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
予定	планиран	予定	планирам	N	V;PFV;INDF;MASC;SG;V.PTCP;PASS
スター	звезден	スター	звезден	N	ADJ;INDF;MASC;SG
経営	мениджмънт	経営	мениджмънт	V	N;INDF;MASC;SG
経営	управление	経営	управление	V	N;INDF;NEUT;SG
自由	свобода	自由	свобода	ADJ	N;INDF;FEM;SG
自由	либърти	自由	либърт	ADJ	N;INDF;MASC;SG
自由	свобода	自由	свобода	ADJ	N;INDF;FEM;SG
自由	свободно	自由	свободно	ADJ	ADV
自由	безплатно	自由	безплатно	ADJ	ADV
自由	свободи	自由	свобода	ADJ	N;INDF;FEM;PL
過去	минали	過去	мина-(се)	N	V;PFV;INDF;PL;PST;V.PTCP;ACT
陸軍	армейски	陸軍	армейски	N	ADJ;INDF;MASC;SG
運営	операцията	運営	операция	V	N;DEF;FEM;SG
運営	експлоатация	運営	експлоатация	V	N;INDF;FEM;SG
運営	функциониране	運営	функциониране	V	N;INDF;NEUT;SG
運営	операция	運営	операция	V	N;INDF;FEM;SG
愛知	аичи	愛知	аича	PROPN	N;INDF;MASC;PL
表示	изглед	表示	изглед	V	N;INDF;MASC;SG
