של	шел	של	шел	PART;GEN	N;INDF;MASC;SG
אלה	тези	אלה	този	PRO;MASC;PL;3	DET;PL
אלה	богиня	אלה	богиня	PRO;MASC;PL;3	N;INDF;FEM;SG
אלה	богинята	אלה	богиня	PRO;MASC;PL;3	N;DEF;FEM;SG
כיום	понастоящем	כיום	понастоящем	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
ירושלים	йерусалим	ירושלים	йерусалим	PROPN	N;INDF;MASC;SG
ירושלים	ерусалим	ירושלים	ерусалим	PROPN	N;INDF;MASC;SG
המדינה	щат	המדין	щат	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המדינה	държава	המדין	държава	V;FEM;SG;3;PST;ACT	N;INDF;FEM;SG
המדינה	държавно	המדין	държавен	V;FEM;SG;3;PST;ACT	ADV
יהודים	еврейски	יהודי	еврейски	N;MASC;PL	ADJ;INDF;MASC;SG
יהודים	еврейско	יהודי	еврейски	N;MASC;PL	ADV
יהודים	евреин	יהודי	евреин	N;MASC;PL	N;INDF;MASC;SG
יהודים	еврейка	יהודי	еврейка	N;MASC;PL	N;INDF;FEM;SG
רבות	mnogo	רב	mnogo	N;FEM;PL	PROPN;INDF;NEUT;SG
רבות	много	רב	много	N;FEM;PL	ADV;INDF;PL
כמה	някои	כמה	някой	DET;PSSD	PRO;NOM;PL
מטר	крака	מטר	крак	PROPN	N;INDF;MASC;PL
מטר	краката	מטר	крак	PROPN	N;DEF;MASC;PL
מטר	крачета	מטר	краче	PROPN	N;INDF;NEUT;PL
מטר	метър	מטר	метър	PROPN	N;INDF;MASC;SG
מטר	метра	מטר	метър	PROPN	N;DEF;MASC;SG
מטר	метри	מטר	метър	PROPN	N;INDF;MASC;PL
מטר	метър	מטר	метър	PROPN	N;INDF;MASC;SG
מטר	метри	מטר	метър	PROPN	N;INDF;MASC;PL
דרך	виа	דרך	видя-(се)		N;INDF;MASC;SG
דרך	via	דרך	via		ADJ
דרך	чрез	דרך	чрез		ADP
דרך	чрез	דרך	чрез		ADP
דרך	през	דרך	през		ADP
דרך	начин	דרך	начин		N;INDF;MASC;SG
שנת	година	שנה	година	N;PSSD;FEM;SG	N;INDF;FEM;SG
שנת	годината	שנה	година	N;PSSD;FEM;SG	N;DEF;FEM;SG
יכול	могат	None	мога	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;ACT
יכול	can	None	can	V;MASC;SG;V.PTCP	PROPN;INDF;MASC;SG
באמצעות	виа	באמצעות	видя-(се)	ADP	N;INDF;MASC;SG
באמצעות	via	באמצעות	via	ADP	ADJ
בעלי	съпруг	בעל	съпруг	N;PSSD;MASC;PL	N;INDF;MASC;SG
בשל	узрели	בשל	узрел	ADP	V;PFV;INDF;PL;PST;V.PTCP;ACT
בשל	дължима	בשל	дължим	ADP	ADJ;INDF;FEM;SG
בשל	дължими	בשל	дължим	ADP	ADJ;INDF;PL
פרס	награда	פרס	награда	PROPN	N;INDF;FEM;SG
פרס	награда	פרס	награда	PROPN	N;INDF;FEM;SG
פרס	възлагане	פרס	възлагане	PROPN	N;INDF;NEUT;SG
פרס	награда	פרס	награда	PROPN	N;INDF;FEM;SG
ראו	рао	ראה	рао	V;PL;3;PST;ACT	PROPN;INDF;MASC;SG
דוד	дод	דוד	дод	PROPN	N;INDF;MASC;SG
דוד	чичо	דוד	чичо	PROPN	N;INDF;MASC;SG
דוד	дейвид	דוד	дейвид	PROPN	PROPN;INDF;MASC;SG
דוד	давид	דוד	давид	PROPN	N;INDF;MASC;SG
שלה	нейната	של	мой		DET;DEF;FEM;SG;3
שלה	неин	של	неин		DET;INDF;MASC;SG;3
שלה	нейните	של	мой		DET;DEF;PL;3
שלה	нейният	של	мой		DET;DEF;MASC;SG;3
שלה	нейна	של	мой		DET;INDF;FEM;SG;3
שלה	нейни	של	мой		DET;INDF;PL;3
שלה	нея	של	аз		PRO;ACC;FEM;SG;3
תחת	задник	תחת	задник	ADP	N;INDF;MASC;SG
תחת	гъз	תחת	гъз	ADP	N;INDF;MASC;SG
תחת	дупе	תחת	дупе	ADP	N;INDF;NEUT;SG
תחת	дупе	תחת	дупе	ADP	N;INDF;NEUT;SG
כתב	написал	כתב	напиша	N;MASC;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
כתב	написа	כתב	напиша	N;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
הקבוצה	група	הקבוצה	група	PROPN	N;INDF;FEM;SG
הקבוצה	групово	הקבוצה	групово	PROPN	ADV
הקבוצה	групиране	הקבוצה	групиране	PROPN	N;INDF;NEUT;SG
הקבוצה	групова	הקבוצה	групов	PROPN	ADJ;INDF;FEM;SG
הערך	стойност	הערך	стойност		N;INDF;FEM;SG
רבי	равин	רבי	равин	PROPN	N;INDF;MASC;SG
רבי	равина	רבי	равина	PROPN	N;INDF;FEM;SG
רבי	раби	רבי	раба	PROPN	N;INDF;MASC;PL
רבי	равин	רבי	равин	PROPN	N;INDF;MASC;SG
רבי	раби	רבי	раба	PROPN	N;INDF;MASC;PL
מי	кой	מי	кой	ADV	PRO;NOM;MASC;SG
החברה	company	החברה	company	N;FEM;SG	NUM;INDF;PL
המלחמה	войната	המלחם	война	PROPN	N;DEF;FEM;SG
המלחמה	война	המלחם	война	PROPN	N;INDF;FEM;SG
שונות	различна	שונה	различен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
שונות	различно	שונה	различно	ADJ;FEM;PL	ADV
שונות	различен	שונה	различен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
הארץ	земно	הארץ	земно		ADV
הארץ	земята	הארץ	земя		N;DEF;FEM;SG
הארץ	земен	הארץ	земен		ADJ;INDF;MASC;SG
הארץ	земя	הארץ	земя		N;INDF;FEM;SG
מערכת	системни	מערכת	системен	N;FEM;SG	ADJ;INDF;PL
תאריך	среща	תאריך	среща	PROPN	N;INDF;FEM;SG
תאריך	дата	תאריך	дата	PROPN	N;INDF;FEM;SG
עבר	минали	עבר	мина-(се)	N;MASC;SG	V;PFV;INDF;PL;PST;V.PTCP;ACT
עבר	преместени	עבר	преместя-(се)	N;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
עבר	преместен	עבר	преместя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
עבר	преместена	עבר	преместя-(се)	N;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
עבר	преминал	עבר	премина	N;MASC;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
אפשר	включване	אפשר	включване	V	N;INDF;NEUT;SG
אפשר	позволете	אפשר	позволя-(си)	V	V;PFV;IMP;PL;2;FIN
אפשר	позволи	אפשר	позволя-(си)	V	V;PFV;IMP;SG;2;PST;FIN
נוסף	добавена	None	добавя	ADP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נוסף	добавен	None	добавен	ADP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נוסף	добавени	None	добавя	ADP	V;PFV;INDF;PL;V.PTCP;PASS
נוסף	добавено	None	добавя	ADP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מרכז	централно	מרכז	централен	N;MASC;SG	ADV
מרכז	централен	מרכז	централен	N;MASC;SG	ADJ;INDF;MASC;SG
מרכז	централни	מרכז	централен	N;MASC;SG	ADJ;INDF;PL
מרכז	централна	מרכז	централен	N;MASC;SG	ADJ;INDF;FEM;SG
שימוש	използвайки	שימוש	използвам	N;MASC;SG	V;IPFV;IMP;SG;2;FIN
שימוש	използвайте	שימוש	използвам	N;MASC;SG	V;IPFV;IMP;PL;2;FIN
שיש	мрамор	שיש	мрамор		N;INDF;MASC;SG
שיש	топче	שיש	топче		N;INDF;NEUT;SG
רוב	повечето	רוב	повече	N;MASC;SG	ADV;DEF;PL
רוב	мажоритарен	רוב	мажоритарен	N;MASC;SG	ADJ;INDF;MASC;SG
כולל	включват	כלל	включвам-(се)	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
כולל	включва	כלל	включвам-(се)	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
כולל	включително	כלל	включително	V;MASC;SG;V.PTCP;ACT	ADV
כולל	включени	כלל	включа-(се)	V;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
כולל	включено	כלל	включа-(се)	V;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
כולל	включена	כלל	включа-(се)	V;MASC;SG;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
כולל	включен	כלל	включа-(се)	V;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
גדול	голямо	גדול	голям	ADJ;MASC;SG	ADV
גדול	големи	גדול	голям	ADJ;MASC;SG	ADJ;INDF;PL
גדול	биг	גדול	биг	ADJ;MASC;SG	N;INDF;MASC;SG
גדול	голямо	גדול	голям	ADJ;MASC;SG	ADV
גדול	големи	גדול	голям	ADJ;MASC;SG	ADJ;INDF;PL
גדול	страхотно	גדול	страхотно	ADJ;MASC;SG	ADV
ישראלים	израелски	ישראלי	израелски	N;MASC;PL	ADJ;INDF;MASC;SG
יהודי	еврейски	יהודי	еврейски	N;MASC;SG	ADJ;INDF;MASC;SG
יהודי	еврейско	יהודי	еврейски	N;MASC;SG	ADV
ראשון	неделно	ראשון	неделно	PROPN	ADV
ראשון	неделя	ראשון	неделя	PROPN	N;INDF;FEM;SG
ראשון	ришон	ראשון	ришон	PROPN	N;INDF;MASC;SG
ראשון	първи	ראשון	първи	PROPN	ADJ;INDF;MASC;SG
ראשון	първо	ראשון	първо	PROPN	ADV
מידע	info	מידע	info	N;MASC;SG	INTJ
מידע	данни	מידע	данна	N;MASC;SG	N;INDF;FEM;PL
אנשים	народ	איש	народ	N;MASC;PL	N;INDF;MASC;SG
אנשים	хора	איש	хора	N;MASC;PL	N;INDF
אנשים	хората	איש	хора	N;MASC;PL	N;DEF
קובץ	файл	קובץ	файл	PROPN	N;INDF;MASC;SG
קובץ	файлът	קובץ	файл	PROPN	N;DEF;MASC;SG
קובץ	досие	קובץ	досие	PROPN	N;INDF;NEUT;SG
חבר	приятелю	חבר	приятел	N;MASC;SG	INTJ
צריך	необходимост	צריך	необходимост	V;MASC;SG	N;INDF;FEM;SG
צריך	нужда	צריך	нужда	V;MASC;SG	N;INDF;FEM;SG
צריך	потребност	צריך	потребност	V;MASC;SG	N;INDF;FEM;SG
ויקיפדיה	уикипедия	ויקיפדיה	уикипедия	PROPN	N;INDF;FEM;SG
בת	бет	בת	бет	N;FEM;SG	PROPN;INDF;FEM;SG
השם	името	השם	име		N;DEF;NEUT;SG
השם	наименование	השם	наименование		N;INDF;NEUT;SG
השם	име	השם	име		N;INDF;NEUT;SG
בתוך	вътрешно	בתוך	вътрешен	ADP	ADV
בתוך	вътре	בתוך	вътре	ADP	ADV
האדם	човек	האדם	човек		N;INDF;MASC;SG
האדם	личност	האדם	личност		N;INDF;FEM;SG
מול	мол	מול	мол	ADP	N;INDF;MASC;SG
מול	mol	מול	mol	ADP	N;INDF;FEM;SG
שלהם	тяхното	של	наш		DET;DEF;NEUT;SG;3
שלהם	тяхната	של	наш		DET;DEF;FEM;SG;3
שלהם	техните	של	наш		DET;DEF;PL;3
שלהם	техният	של	наш		DET;DEF;MASC;SG;3
שלהם	тяхна	של	наш		DET;INDF;FEM;SG;3
שלהם	тяхната	של	наш		DET;DEF;FEM;SG;3
שלהם	техните	של	наш		DET;DEF;PL;3
שלהם	техен	של	наш		DET;INDF;MASC;SG;3
הכנסת	кнесета	הכנסה	кнесет	N;PSSD;FEM;SG	N;DEF;MASC;SG
הכנסת	синагогата	הכנסה	синагогат	N;PSSD;FEM;SG	N;DEF;FEM;SG
וגם	също	וגם	също		ADV
הים	море	הים	море		N;INDF;NEUT;SG
הים	морето	הים	море		N;DEF;NEUT;SG
השיר	песен	השיר	песен	ADV	N;INDF;FEM;SG
השיר	песничка	השיר	песничка	ADV	N;INDF;FEM;SG
בזמן	докато	בזמן	докато	PROPN	CONJ
חדש	ню	חדש	ню	ADJ;MASC;SG	PROPN;INDF;MASC;SG
חדש	ново	חדש	нов	ADJ;MASC;SG	ADV
חדש	нови	חדש	нов	ADJ;MASC;SG	ADJ;INDF;PL
השלישי	ііі	השליש	ііі	PROPN	ADJ;INDF;MASC;SG
השלישי	iii	השליש	iii	PROPN	ADJ;INDF;MASC;SG
השלישי	трети	השליש	трети	PROPN	ADJ;INDF;MASC;SG
השלישי	трета	השליש	трети	PROPN	ADJ;INDF;FEM;SG
השלישי	трето	השליש	трето	PROPN	ADV
משה	моузес	משה	моузес	PROPN	N;INDF;MASC;SG
משה	моисей	משה	моисей	PROPN	PROPN;INDF;MASC;SG
משה	мойсей	משה	мойсей	PROPN	N;INDF;MASC;SG
משה	моше	משה	моше	PROPN	N;INDF;MASC;SG
גרמניה	германец	גרמניה	германец	PROPN	N;INDF;MASC;SG
גרמניה	германски	גרמניה	германски	PROPN	ADJ;INDF;MASC;SG
גרמניה	немски	גרמניה	немски	PROPN	ADJ;INDF;MASC;SG
גרמניה	немска	גרמניה	немски	PROPN	ADJ;INDF;FEM;SG
גרמניה	германска	גרמניה	германски	PROPN	ADJ;INDF;FEM;SG
גרמניה	германия	גרמניה	германия	PROPN	PROPN;INDF;FEM;SG
יורק	йорк	יורק	йорк	PROPN	PROPN;INDF;MASC;SG
הממשלה	правителство	הממשלה	правителство	PROPN	N;INDF;NEUT;SG
חיל	корпус	חיל	корпус	PROPN	N;INDF;MASC;SG
יהודה	юда	יהודה	юда	PROPN	N;INDF;MASC;SG
יהודה	юда	יהודה	юда	PROPN	N;INDF;MASC;SG
מעל	отгоре	מעל	отгоре	ADP	ADV
ארץ	земи	ארץ	земя	N;FEM;SG	N;INDF;FEM;PL
ארץ	земно	ארץ	земно	N;FEM;SG	ADV
ארץ	земен	ארץ	земен	N;FEM;SG	ADJ;INDF;MASC;SG
צרפת	франция	צרפת	франция	PROPN	PROPN;INDF;FEM;SG
הרבה	mnogo	הרבה	mnogo	ADV	PROPN;INDF;NEUT;SG
אתה	си	הוא	съм	PRO;MASC;SG;2	V;IPFV;IND;SG;2;PRS;FIN;ACT
נמצא	намерено	נמצא	намеря-(се)	V;MASC;SG;V.PTCP;MID	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
נמצא	намерени	נמצא	намеря-(се)	V;MASC;SG;V.PTCP;MID	V;PFV;INDF;PL;V.PTCP;PASS
נמצא	открит	נמצא	открия-(се)	V;MASC;SG;V.PTCP;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נמצא	намерена	נמצא	намеря-(се)	V;MASC;SG;V.PTCP;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נמצא	намерен	נמצא	намеря-(се)	V;MASC;SG;V.PTCP;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
טוב	добро	טוב	добър	ADJ;MASC;SG	ADV
טוב	добре	טוב	добре	ADJ;MASC;SG	ADV
אי	острова	אי	острова	ADV	N;DEF;MASC;SG
אי	island	אי	islanа	ADV	N;INDF;MASC;SG
אי	остров	אי	остров	ADV	N;INDF;MASC;SG
אי	островът	אי	остров	ADV	N;DEF;MASC;SG
אי	айлънд	אי	айлънд	ADV	N;INDF;MASC;SG
שלושה	три	שלושה	три	NUM;MASC;SG	NUM;INDF;PL
שלושה	трима	שלושה	трима	NUM;MASC;SG	NUM;INDF;PL
אירופה	европа	אירופה	европа	PROPN	PROPN;INDF;FEM;SG
אירופה	europa	אירופה	europa	PROPN	ADJ
אירופה	европа	אירופה	европа	PROPN	PROPN;INDF;FEM;SG
אירופה	европейско	אירופה	европейски	PROPN	ADV
אירופה	европейски	אירופה	европейски	PROPN	ADJ;INDF;MASC;SG
אירופה	европеец	אירופה	европеец	PROPN	N;INDF;MASC;SG
אירופה	европейска	אירופה	европейски	PROPN	ADJ;INDF;FEM;SG
המלך	крал	המלך	крал		N;INDF;MASC;SG
המלך	кинг	המלך	кинг		N;INDF;MASC;SG
המלך	кралят	המלך	крал		N;DEF;MASC;SG
המלך	цар	המלך	цар		N;INDF;MASC;SG
המלך	краля	המלך	крал		N;DEF;MASC;SG
מיליון	милион	מיליון	милион	NUM;MASC;SG	N;INDF;MASC;SG
יצחק	исаак	יצחק	исаак	PROPN	N;INDF;MASC;SG
יצחק	айзък	יצחק	айзък	PROPN	PROPN;INDF;MASC;SG
יצחק	исак	יצחק	исак	PROPN	N;INDF;MASC;SG
יצחק	ицхак	יצחק	ицхак	PROPN	N;INDF;MASC;SG
האלבום	албум	האלבום	албум	PROPN	N;INDF;MASC;SG
יוסף	жозеф	יוסף	жозеф	PROPN	N;INDF;MASC;SG
יוסף	джоузеф	יוסף	джоузеф	PROPN	N;INDF;MASC;SG
יוסף	йосиф	יוסף	йосиф	PROPN	N;INDF;MASC;SG
יוסף	йосеф	יוסף	йосеф	PROPN	N;INDF;MASC;SG
נפטר	починали	נפטר	почина-(си)	V;MASC;SG;3;PST;MID	V;PFV;INDF;PL;PST;V.PTCP;ACT
נפטר	починала	נפטר	почина-(си)	V;MASC;SG;3;PST;MID	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
נפטר	покойник	נפטר	покойник	V;MASC;SG;3;PST;MID	N;INDF;MASC;SG
