nie	no	nie	no	PART;NEG	ADV;NEG
około	aproximadament	około	aproximadament	PART	ADV
stronie	pàgina	strona	pàgina	N;DAT;FEM;SG	V;IND;SG;3;PRS;FIN
strona	pàgina	strona	pàgina	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
jeszcze	encara	jeszcze	encara	PART	ADV
udział	participat	udział	participat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
udział	implicació	udział	implicació	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
udział	compartició	udział	compartició	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
udział	comparteix	udział	compartir	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
udział	participació	udział	participació	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
zespół	banda	zespół	banda	N;NOM;MASC;SG	
inne	altres	inny	altre	ADJ;NOM;NEUT;SG	PRO;PL
inne	altres	inny	altre	ADJ;NOM;NEUT;SG	PRO;PL
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
jan	john	jan	john	PROPN;NOM;MASC;SG	PROPN
jan	joan	jan	joan	PROPN;NOM;MASC;SG	
tam	hi	tam	hi	ADV	PRO;3
raz	once	raz	once	N;ACC;MASC;SG	PROPN
jeden	one	jeden	one	ADJ;NOM;MASC;SG	
miał	havien	mieć	haver	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
gminy	municipis	gmina	municipi		N;MASC;PL
gminy	ajuntaments	gmina	ajuntament		N;MASC;PL
grupy	grups	grupa	grup	N;ACC;FEM;SG	N;MASC;PL
mistrzostw	campionat	mistrzostwa	campionat	N;GEN;NEUT;PL	N;MASC;SG
mistrzostw	championship	mistrzostwa	championship	N;GEN;NEUT;PL	N;MASC;SG
kiedy	quan	kiedy	quan	ADV	CONJ
kod	codi	kod	codi	N;ACC;MASC;SG	
francji	frança	francja	frança	PROPN;GEN;FEM;SG	
zespołu	banda	zespół	banda	N;GEN;MASC;SG	
usa	usa	usać	usar	PROPN;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
zdobył	anotat	zdobyć	anotat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
zdobył	marcó	zdobyć	marcó	V;PFV;MASC;IND;SG;PST;FIN;ACT	
rodziny	família	rodzina	família	N;NOM;FEM;PL	N;FEM;SG
rodziny	familia	rodzina	familia	N;NOM;FEM;PL	
amerykański	american	amerykański	american	ADJ;NOM;MASC;SG	
wielu	moltes	wiele	molt	DET;ACC;MASC;PL	PRO;FEM;PL
wielu	molts	wiele	molt	DET;ACC;MASC;PL	PRO;MASC;PL
wielu	múltiples	wiele	múltiple	DET;ACC;MASC;PL	
wielu	múltiple	wiele	múltiple	DET;ACC;MASC;PL	
opis	descripció	opis	descripció		N;FEM;SG
czas	time	czas	time	N;NOM;MASC;SG	
pierwsze	primers	pierwszy	primer	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
wiele	moltes	wiele	molt	DET;ACC;MASC;PL	PRO;FEM;PL
wiele	molts	wiele	molt	DET;ACC;MASC;PL	PRO;MASC;PL
wiele	múltiples	wiele	múltiple	DET;ACC;MASC;PL	
wiele	múltiple	wiele	múltiple	DET;ACC;MASC;PL	
wiele	lot	wiele	lot	DET;ACC;MASC;PL	
kilka	pocs	kilka	poc	DET;ACC;MASC;PL	PRO;MASC;PL
kilka	poques	kilka	poc	DET;ACC;MASC;PL	PRO;FEM;PL
kilka	diversos	kilka	divers	DET;ACC;MASC;PL	PRO;MASC;PL
kilka	diverses	kilka	divers	DET;ACC;MASC;PL	ADJ;FEM;PL
trzy	valldoreix	trzy	valldorir	NUM;ACC;MASC;PL	
niż	than	niż	than	ADV	
strony	pàgina	strona	pàgina	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
nawet	inclús	nawet	inclús	PART	
mapy	correspondències	mapa	correspondència	N;ACC;FEM;SG	N;FEM;PL
mapy	maps	mapa	map	N;ACC;FEM;SG	
mapy	mapes	mapa	mapa	N;ACC;FEM;SG	N;MASC;PL
armii	exèrcits	armia	exèrcit	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
armii	batallons	armia	batalló	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
armii	exèrcit	armia	exèrcit	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
głównie	principalment	głównie	principalment	PART	ADV
głównie	majoritàriament	głównie	majoritàriament	PART	ADV
dzięki	gràcies	dzięki	gràcies	ADP	N
kariera	carreres	kariera	carrera	N;NOM;FEM;SG	N;FEM;PL
kariera	curses	kariera	cursa	N;NOM;FEM;SG	N;FEM;PL
wszystkie	tots	wszystek	tot	DET;NOM;MASC;PL	PRO;MASC;PL
wszystkie	totes	wszystek	tot	DET;NOM;MASC;PL	PRO;FEM;PL
życia	life	życie	life	N;GEN;NEUT;SG	
prawa	llei	prawo	llei		N;FEM;SG
prawa	lleis	prawo	llei		N;FEM;PL
prawa	drets	prawo	dret		N;MASC;PL
mają	tinguin	mieć	tenir	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;SBJV;PL;3;PRS;FIN
jana	john	jani	john		PROPN
mistrzostwa	campionat	mistrzostwa	campionat	N;NOM;NEUT;PL	N;MASC;SG
mistrzostwa	championship	mistrzostwa	championship	N;NOM;NEUT;PL	N;MASC;SG
często	comunes	często	comú	ADV	ADJ;FEM;PL
często	comú	często	comú	ADV	ADJ;MASC;SG
często	comuns	często	comú	ADV	ADJ;MASC;PL
często	freqüent	często	freqüent	ADV	ADJ;SG
często	freqüents	często	freqüent	ADV	ADJ;PL
commons	commons	commons	commó	N;ACC;MASC;SG	
sposób	mètode	sposób	mètode	V;IND;PRS;FIN	N;MASC;SG
będzie	will	być	will	V;IPFV;IND;SG;3;FUT;FIN	PROPN
będzie	voluntat	być	voluntat	V;IPFV;IND;SG;3;FUT;FIN	N;FEM;SG
pozycji	elements	pozycja	element	N;GEN;FEM;SG	N;MASC;PL
xix	dinovena	xix	dinovè		ADJ;FEM;SG
nowy	noves	nowy	nou	ADJ;NOM;MASC;SG	ADJ;FEM;PL
nowy	nowy	nowy	nowy	ADJ;NOM;MASC;SG	PROPN
miała	havien	mieć	haver	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
osoby	persona	osoba	persona	N;NOM;FEM;PL	N;FEM;SG
osoby	gent	osoba	gent	N;NOM;FEM;PL	N;FEM;SG
pomiędzy	entre	pomiędzy	entre		ADP
sam	sam	sam	saver	ADJ;NOM;MASC;SG	
linii	línia	linia	línia	N;GEN;FEM;SG	
linii	línies	linia	línia	N;GEN;FEM;SG	N;FEM;PL
von	von	von	vo		PROPN
wojska	militars	wojsko	militar	N;NOM;NEUT;SG	ADJ;PL
wojska	militar	wojsko	militar	N;NOM;NEUT;SG	ADJ;SG
wojska	efectius	wojsko	efectiu	N;NOM;NEUT;SG	N;MASC;PL
wojska	tropes	wojsko	tropa	N;NOM;NEUT;SG	N;FEM;PL
polityk	polític	polityk	polític	N;NOM;MASC;SG	ADJ;MASC;SG
john	john	john	john	PROPN;NOM;MASC;SG	PROPN
john	joan	john	joan	PROPN;NOM;MASC;SG	
lip	llavi	lip	llavi		N;MASC;SG
liczby	xifres	liczba	xifra	N;ACC;FEM;SG	N;FEM;PL
liczby	figures	liczba	figura	N;ACC;FEM;SG	N;FEM;PL
liczby	nombres	liczba	nombre	N;ACC;FEM;SG	N;MASC;PL
liczby	números	liczba	número	N;ACC;FEM;SG	N;MASC;PL
razem	junts	razem	junt	ADV	ADJ;MASC;PL
centrum	centra	centrum	centrar	N;ACC;NEUT;SG	V;IND;SG;3;PRS;FIN
centrum	center	centrum	center	N;ACC;NEUT;SG	
szkoły	escoles	szkoła	escola	N;GEN;FEM;SG	N;FEM;PL
parafia	parròquia	parafia	parròquia		N;FEM;SG
piechoty	infanteria	piechota	infanteria		N;FEM;SG
trener	formador	trener	formador	N;NOM;MASC;SG	ADJ;MASC;SG
trener	coach	trener	coach	N;NOM;MASC;SG	
koniec	final	koniec	final	N;NOM;MASC;SG	ADJ;SG
ziemi	terreny	ziemia	terreny	N;GEN;FEM;SG	
ziemi	earth	ziemia	earth	N;GEN;FEM;SG	
ziemi	terra	ziemia	terra	N;GEN;FEM;SG	
gatunek	espècies	gatunek	espècie	N;NOM;MASC;SG	N;FEM;PL
partii	party	partia	party	N;GEN;FEM;SG	
partii	lot	partia	lot	N;GEN;FEM;SG	
byli	eren	być	ser	V;IPFV;MASC;IND;PL;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
stanisław	stanislav	stanisław	stanislav	PROPN;NOM;MASC;SG	N;MASC;SG
stanisław	stanisław	stanisław	stanisław	PROPN;NOM;MASC;SG	ADJ;SG
style	estils	style	estil		N;MASC;PL
style	estil	style	estil		N;MASC;SG
olimpijskich	olimpíades	olimpijski	olimpíat	ADJ;GEN;MASC;PL	N;FEM;PL
język	llengua	język	llengua	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
język	llengua	język	llengua	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
czasu	time	czas	time	N;GEN;MASC;SG	
kategorii	categories	kategoria	categoria	N;GEN;FEM;SG	N;FEM;PL
podstawie	base	podstawa	base	N;DAT;FEM;SG	
zsrr	urss	zsrr	urss	PROPN;NOM;MASC;SG	PROPN
metrów	mesurador	metr	mesurador	N;GEN;MASC;PL	ADJ;MASC;SG
metrów	metre	metr	metre	N;GEN;MASC;PL	N;MASC;SG
oficjalna	official	oficjalny	official	ADJ;NOM;FEM;SG	
powodu	raó	powodu	raó	ADP	N;FEM;SG
powodu	motiu	powodu	motiu	ADP	N;MASC;SG
pracował	treballat	pracować	treballat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
pracował	treballats	pracować	treballar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
gru	gru	gra	gru		N;MASC;SG
król	king	król	king	N;NOM;MASC;SG	PROPN
andrzej	andrzej	andrzej	andrze	PROPN;NOM;MASC;SG	PROPN
lis	fox	lis	fox		PROPN
lis	guineu	lis	guineu		N;FEM;SG
prowincji	provincial	prowincja	provincial	N;GEN;FEM;SG	ADJ;SG
działalność	activitats	działalność	activitat	N;NOM;FEM;SG	N;FEM;PL
tys	mil	tys	mil		NUM;PL
wydawnictwo	editorial	wydawnictwo	editorial	N;NOM;NEUT;SG	
wydawnictwo	publicant	wydawnictwo	publicar	N;NOM;NEUT;SG	V;V.MSDR
temat	subjecte	temat	subjecte	N;ACC;MASC;SG	ADJ;MASC;SG
temat	subjectes	temat	subjecte	N;ACC;MASC;SG	
nazwy	noms	nazwa	nom		N;MASC;PL
życie	life	życie	life	N;NOM;NEUT;SG	
nowe	noves	nowy	nou	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
nowe	nowe	nowy	nowe	ADJ;NOM;NEUT;SG	PROPN
różnych	diferent	różny	diferent	ADJ;GEN;MASC;PL	ADJ;SG
parafii	parròquies	parafia	parròquia	N;GEN;FEM;SG	N;FEM;PL
gmin	municipis	gmina	municipi		N;MASC;PL
gmin	ajuntaments	gmina	ajuntament		N;MASC;PL
kilku	diversos	kilka	divers	DET;ACC;MASC;PL	PRO;MASC;PL
kilku	diverses	kilka	divers	DET;ACC;MASC;PL	ADJ;FEM;PL
kultury	cultural	kultura	cultural	N;GEN;FEM;SG	ADJ;SG
kultury	culturals	kultura	cultural	N;GEN;FEM;SG	ADJ;PL
kultury	cultures	kultura	cultura	N;GEN;FEM;SG	N;FEM;PL
króla	king	król	king	N;ACC;MASC;SG	PROPN
postaci	personatges	postać	personatge		N;MASC;PL
postaci	caràcters	postać	caràcter		N;MASC;PL
studia	college	studia	college	N;NOM;NEUT;PL	
studia	studio	studia	studio	N;NOM;NEUT;PL	
studia	estudi	studia	estudi	N;NOM;NEUT;PL	N;MASC;SG
gry	partida	gra	partida		N;FEM;SG
gry	joc	gra	joc		N;MASC;SG
gry	jocs	gra	joc		N;MASC;PL
kobiet	dones	kobieta	dona		N;FEM;PL
pierwsza	primers	pierwszy	primer	ADJ;NOM;FEM;SG	ADJ;MASC;PL
wysokości	altitud	wysokość	altitud	N;GEN;FEM;SG	
wysokości	alçàries	wysokość	alçari	N;GEN;FEM;SG	N;FEM;PL
wysokości	altures	wysokość	altura	N;GEN;FEM;SG	N;FEM;PL
wysokości	alçades	wysokość	alçada	N;GEN;FEM;SG	N;FEM;PL
system	system	system	ser	N;ACC;MASC;SG	
józef	josep	józef	josep	PROPN;NOM;MASC;SG	
józef	joseph	józef	joseph	PROPN;NOM;MASC;SG	
józef	josef	józef	josef	PROPN;NOM;MASC;SG	PROPN
józef	józef	józef	józef	PROPN;NOM;MASC;SG	PROPN
ciągu	empenta	ciąg	empenta	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
zmarł	morí	zemrzeć	morí	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
bar	bari	bar	bari	N;NOM;MASC;SG	
bar	barra	bar	barra	N;NOM;MASC;SG	
sztuki	arts	sztuka	art		N;FEM;PL
sztuki	art	sztuka	art		N;MASC;SG
gra	partida	grać	partida	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
gra	joc	grać	joc	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
jerzy	george	jerzy	george	PROPN;NOM;MASC;SG	PROPN
jerzy	jerzy	jerzy	jerzy	PROPN;NOM;MASC;SG	PROPN
maj	maig	maj	maig		N
mimo	malgrat	mimo	malgrat		ADP
ludzi	gent	człowiek	gent	N;ACC;MASC;PL	N;FEM;SG
nagrody	premia	nagroda	premiar	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
nagrody	premi	nagroda	premi	N;NOM;FEM;PL	N;MASC;SG
nagrody	adjudicació	nagroda	adjudicació	N;NOM;FEM;PL	N;FEM;SG
nagrody	guardó	nagroda	guardó	N;NOM;FEM;PL	N;MASC;SG
nagrody	premi	nagroda	premi	N;NOM;FEM;PL	N;MASC;SG
klasyfikacji	qualificant	klasyfikacja	qualificar	N;GEN;FEM;SG	V;V.MSDR
maria	maría	maria	maría	PROPN;NOM;FEM;SG	
maria	mary	maria	mary	PROPN;NOM;FEM;SG	
maria	maria	maria	maria	PROPN;NOM;FEM;SG	
ponieważ	perquè	ponieważ	perquè	PART	CONJ
ponieważ	perque	ponieważ	perque	PART	
organizacji	organitzacions	organizacja	organització	N;GEN;FEM;SG	N;FEM;PL
poprzez	mitjançant	poprzez	mitjançant		ADP
serii	sèries	seria	sèrie		N;FEM;PL
serii	sèrie	seria	sèrie		
kraków	cracòvia	krak	cracòvia	N;NOM;MASC;SG	ADJ;FEM;SG
park	park	park	park	N;NOM;MASC;SG	
cztery	four	cztery	four	NUM;ACC;MASC;PL	
zadebiutował	debutat	zadebiutować	debutar	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
kluby	trèvols	klub	trèvol	N;NOM;MASC;PL	
informacje	info	informacja	info	N;NOM;FEM;PL	
informacje	informació	informacja	informació	N;NOM;FEM;PL	N;FEM;SG
piotr	peter	piotr	peter	PROPN;NOM;MASC;SG	
piotr	pere	piotr	pere	PROPN;NOM;MASC;SG	
piotr	piotr	piotr	piotr	PROPN;NOM;MASC;SG	PROPN
robert	robert	robert	robert	N;NOM;MASC;SG	
stan	stan	stan	stan	N;NOM;MASC;SG	
stan	estat	stan	ser	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
powiat	comtat	powiat	comtar		N;MASC;SG
powiat	districte	powiat	districte		N;MASC;SG
autor	escriptor	autor	escriptor	V;IPFV;IND;SG;PST;FIN;ACT	N;MASC;SG
autor	autor	autor	autor	V;IPFV;IND;SG;PST;FIN;ACT	N;MASC;SG
przeciwko	against	przeciwko	against	ADP	
północnej	nord	północny	nord	ADJ;GEN;FEM;SG	N;MASC;SG
północnej	northern	północny	northern	ADJ;GEN;FEM;SG	N;SG
jedna	one	jeden	one	ADJ;NOM;FEM;SG	
akademii	academy	akademia	academy	N;GEN;FEM;SG	
hasła	contrasenyes	hasło	contraseny	N;NOM;NEUT;SG	N;FEM;PL
krzyż	creu	krzyż	creure	N;ACC;MASC;SG	V;IND;SG;3;PRS;FIN
krzyż	cross	krzyż	cros	N;ACC;MASC;SG	
prawo	dret	prawo	dret	N;NOM;NEUT;SG	
prawo	dreta	prawo	dreta	N;NOM;NEUT;SG	
der	der	der	der		PROPN
źródła	font	źródło	font	N;NOM;NEUT;PL	N;FEM;SG
wersji	versions	wersja	versió	N;GEN;FEM;SG	N;FEM;PL
zachód	oest	zachód	oest	N;NOM;MASC;SG	
świecie	world	świat	world	N;DAT;MASC;SG	
walki	baralles	walka	baralla	N;ACC;FEM;SG	N;FEM;PL
walki	combat	walka	combat	N;ACC;FEM;SG	
walki	lluitant	walka	lluitar	N;ACC;FEM;SG	V;V.MSDR
jednostki	unitat	jednostka	unitat	N;NOM;FEM;PL	N;FEM;SG
van	van	van	anar	PROPN;NOM;MASC;SG	V;IND;PL;3;PRS;FIN
van	furgoneta	van	furgoneta	PROPN;NOM;MASC;SG	N;FEM;SG
albumu	àlbum	album	àlbum		N;MASC;SG
sędzia	jutjar	sędzia	jutjar	N;NOM;MASC;SG	V;NFIN
sędzia	ref	sędzia	ref	N;NOM;MASC;SG	
działania	activitats	działanie	activitat	N;NOM;NEUT;SG	N;FEM;PL
działania	accions	działanie	acció	N;NOM;NEUT;SG	N;FEM;PL
world	món	world	món		N;MASC;SG
prawdopodobnie	probable	prawdopodobnie	probable	ADV	ADJ;SG
listy	llista	list	llista		N;FEM;SG
listy	llistes	list	llista		N;FEM;PL
san	san	san	saver	PROPN;NOM;MASC;SG	
główne	main	główny	main	ADJ;NOM;NEUT;SG	
główne	principals	główny	principal	ADJ;NOM;NEUT;SG	ADJ;PL
rolę	rol	rola	rol	N;ACC;FEM;SG	
powstania	aixecaments	powstanie	aixecament		N;MASC;PL
prace	treball	praca	treball	N;NOM;FEM;PL	N;MASC;SG
kolei	ferrocarrils	kolej	ferrocarril		N;MASC;PL
złoty	or	złoty	or		N;MASC;SG
złoty	gold	złoty	gold		
klasy	aules	klasa	aula	N;GEN;FEM;SG	N;FEM;PL
klasy	classes	klasa	classe	N;GEN;FEM;SG	N;FEM;PL
znany	conegut	znany	conegut	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
znany	famós	znany	famós	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG
znany	famosos	znany	famós	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;PL
każdy	tothom	każdy	tothom	DET;NOM;MASC;SG	PRO;SG
każdy	ningú	każdy	ningú	DET;NOM;MASC;SG	PRO;SG
każdy	cadascú	każdy	cadascú	DET;NOM;MASC;SG	
każdy	cadascuna	każdy	cadascun	DET;NOM;MASC;SG	PRO;FEM;SG
każdy	cadascun	każdy	cadascun	DET;NOM;MASC;SG	PRO;MASC;SG
text	text	text	text		N;MASC;SG
mapa	mapa	mapa	mapa		N;MASC;SG
ani	ani	ani	ani	CONJ	
dowódca	manava	dowódca	manar	N;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
dowódca	comandant	dowódca	comandant	N;NOM;MASC;SG	
tutaj	aqui	tutaj	aqui	ADV	
tutaj	ací	tutaj	ací	ADV	
wody	aigües	woda	aigua	N;GEN;FEM;SG	N;FEM;PL
drużyny	equip	drużyna	equip	N;ACC;FEM;PL	N;MASC;SG
matki	mares	matka	mara	N;GEN;FEM;SG	N;FEM;PL
podział	desglossament	podziać	desglossament	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;MASC;SG
podział	divisió	podziać	divisió	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
podział	divideix	podziać	dividir	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
podział	split	podziać	split	V;PFV;MASC;IND;SG;PST;FIN;ACT	PROPN
xviii	divuitena	Fviii	divuitè		ADJ;FEM;SG
siebie	self	siebie	self	PRO;GEN;REFL	N;MASC;SG
siły	força	siła	força	N;ACC;FEM;SG	
siły	força	siła	força	N;ACC;FEM;SG	
siły	forces	siła	força	N;ACC;FEM;SG	N;FEM;PL
grał	jugat	grać	jugar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
grał	tocava	grać	tocar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
typ	tipus	typ	tipus		N;MASC
wiki	wiki	wik	wiki		
książę	duke	książę	duke	N;NOM;MASC;SG	PROPN
książę	duc	książę	duc	N;NOM;MASC;SG	
książę	prince	książę	prince	N;NOM;MASC;SG	
mistrz	champion	mistrz	champion	N;NOM;MASC;SG	
ego	ego	on	ego		N;MASC;SG
liście	fulls	liść	full		N;MASC;PL
liście	fulles	liść	fulla		N;FEM;PL
ciała	cossos	ciało	cos	N;GEN;NEUT;SG	N;MASC;PL
stacji	estacions	stacja	estació	N;GEN;FEM;SG	N;FEM;PL
stacji	emissores	stacja	emissora	N;GEN;FEM;SG	N;FEM;PL
nic	res	nic	res	PRO;GEN;NEUT;SG	PRO;SG
nic	nic	nic	nic	PRO;GEN;NEUT;SG	PROPN
rzeki	riu	rzeka	riu		N;MASC;SG
rzeki	rius	rzeka	riu		N;MASC;PL
gen	gene	gen	gene		PROPN
gen	gen	gen	gen		N;MASC;SG
dobrze	bones	dobrze	bo	ADV	ADJ;FEM;PL
dobrze	bona	dobrze	bo	ADV	ADJ;FEM;SG
david	david	david	david	PROPN;NOM;MASC;SG	
wydany	estrenats	wydać	estrenar	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
prawie	gairebé	prawie	gairebé	PART	ADV
przeszedł	superat	przejść	superat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
adam	adam	adam	adam	PROPN;NOM;MASC;SG	
saint	saint	saint	saint		
dom	dom	dom	dom	N;NOM;MASC;SG	
port	port	port	port		N;MASC;SG
pow	pow	pow	pow		PROPN
zdjęcia	fotografia	zdjęcie	fotografiar	N;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
zdjęcia	foto	zdjęcie	foto	N;NOM;NEUT;PL	N;FEM;SG
dyskusji	discussions	dyskusja	discussió	N;GEN;FEM;SG	N;FEM;PL
dyskusji	debats	dyskusja	debat	N;GEN;FEM;SG	N;MASC;PL
związek	union	związek	unió	N;NOM;MASC;SG	
podziału	compartint	podział	compartir	N;GEN;MASC;SG	V;V.MSDR
obrony	defensa	obrona	defensar		V;IND;SG;3;PRS;FIN
obrony	defensa	obrona	defensar		V;IND;SG;3;PRS;FIN
zmiany	canvia	zmiana	canviar	N;ACC;FEM;PL	V;IND;SG;3;PRS;FIN
zmiany	canvi	zmiana	canvi	N;ACC;FEM;PL	
brązowy	marró	brązowy	marró	ADJ;NOM;MASC;SG	
brązowy	brown	brązowy	brown	ADJ;NOM;MASC;SG	PROPN
