les	را	le	را	DET;DEF;PL	PART
livre	b	livre	b	N;MASC;SG	INTJ
américaine	امریکایی	américain	None	ADJ;FEM;SG	N;SG
américaine	امریکن	américain	None	ADJ;FEM;SG	N;SG
américaine	آمریکن	américain	آمریکن	ADJ;FEM;SG	N;SG
haut	والا	haut	None	ADJ;MASC;SG	
haut	رفیع	haut	None	ADJ;MASC;SG	N;SG
haut	بالا	haut	بالا	ADJ;MASC;SG	ADV;ESS
haut	top	haut	top	ADJ;MASC;SG	N;SG
haut	تاپ	haut	تاپ	ADJ;MASC;SG	N;SG
haut	اوج	haut	اوج	ADJ;MASC;SG	N;SG
haut	فاعل	haut	None	ADJ;MASC;SG	N;SG
suisse	سویس	suisse	سویس	ADJ;MASC;SG	N;SG
suisse	سوییس	suisse	سوییس	ADJ;MASC;SG	N;SG
suisse	سوئیس	suisse	سوئیس	ADJ;MASC;SG	N;SG
suisse	سوئیسی	suisse	سوئیسی	ADJ;MASC;SG	N;SG
suisse	سوئیس	suisse	سوئیس	ADJ;MASC;SG	N;SG
valign	valign	valign	None	PROPN	N;SG
suivant	following	suivre	following	V;PRS;V.PTCP	
suivant	ذیل	suivre	ذیل	V;PRS;V.PTCP	N;SG
suivant	بعدی	suivre	بعد	V;PRS;V.PTCP	N;SG
suivant	next	suivre	next	V;PRS;V.PTCP	N;SG
beaucoup	فراوان	beaucoup	فراوان	ADV	ADJ
beaucoup	زیاد	beaucoup	زیاد	ADV	N;SG
seul	تنهایی	seul	تنهایی	ADJ;MASC;SG	N;SG
seul	تنها	seul	تنها	ADJ;MASC;SG	ADV
seul	تنها	seul	تنها	ADJ;MASC;SG	ADV
parmi	درمیان	parmi	درمی	ADP	
fille	girl	fille	girl	N;FEM;SG	
direction	جهت	direction	جهت	N;FEM;SG	ADP
pouvoir	قدرت	pouvoir	قدرت	V;NFIN	N;SG
pouvoir	پاور	pouvoir	پاور	V;NFIN	N;SG
pouvoir	توان	pouvoir	توان	V;NFIN	N;SG
pouvoir	power	pouvoir	power	V;NFIN	N;SG
pouvoir	قدرتش	pouvoir	قدرتش	V;NFIN	N;SG
but	goal	but	goal	N;MASC;SG	
merci	تشکر	merci	تشکر	INTJ	N;SG
merci	سپاس	merci	سپاس	INTJ	N;SG
merci	ممنون	merci	None	INTJ	N;SG
tête	سرها	tête	سر	N;FEM;SG	N;PL
tête	سرهای	tête	سر	N;FEM;SG	N;PL
ancienne	کهن	ancien	کهن	ADJ;FEM;SG	N;SG
ancienne	باستانی	ancien	باستانی	ADJ;FEM;SG	N;SG
ancienne	باستان	ancien	باستان	ADJ;FEM;SG	N;SG
ancienne	پیر	ancien	پیر	ADJ;FEM;SG	N;SG
ancienne	قدیمی	ancien	قدیمی	ADJ;FEM;SG	N;SG
ancienne	قدمت	ancien	قدمت	ADJ;FEM;SG	N;SG
ancienne	پیشین	ancien	پیشین	ADJ;FEM;SG	N;SG
premiers	ابتدا	premier	ابتدا	ADJ;MASC;PL	N;SG
prend	برداشت	prendre	برداشت	V;IND;SG;3;PRS;FIN	N;SG
prend	بگیر	prendre	گرفت#گیر	V;IND;SG;3;PRS;FIN	V;IMP;SG;2
prend	بگیرد	prendre	گرفت#گیر	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
prend	بگیرید	prendre	None	V;IND;SG;3;PRS;FIN	V;SBJV;PL;2;PRS
présente	هدایای	présent	هدیه	ADJ;FEM;SG	N;PL
présente	کادو	présent	کادو	ADJ;FEM;SG	N;SG
présente	میزند	présent	میزند	ADJ;FEM;SG	V;SG;3;PRS
présente	هدیه	présent	هدیه	ADJ;FEM;SG	N;SG
public	همگانی	public	همگانی	ADJ;MASC;SG	N;SG
public	public	public	public	ADJ;MASC;SG	N;SG
pages	صفحۀ	page	صفحۀ	N;FEM;PL	N;SG
pages	صفحه	page	صفحه	N;FEM;PL	N;SG
externe	سرپایی	externe	None	ADJ;MASC;SG	N;SG
simple	اختصاص	simple	اختصاص	ADJ;MASC;SG	N;SG
simple	تکآهنگ	simple	تکآهنگ	ADJ;MASC;SG	N;SG
simple	تکنفره	simple	تکنفره	ADJ;MASC;SG	N;SG
simple	مجرد	simple	مجرد	ADJ;MASC;SG	N;SG
dernière	آخری	dernier	آخری	ADJ;FEM;SG	N;SG
dernière	لست	dernier	لست	ADJ;FEM;SG	ADP
henri	هنری	henri	هنری	PROPN	N;SG
henri	آنری	henri	آنری	PROPN	N;SG
henri	آنری	henri	آنری	PROPN	N;SG
sortie	خروجی	sortir	خروجی	V;FEM;SG;PST;V.PTCP	N;SG
sortie	تفرج	sortir	تفرج	V;FEM;SG;PST;V.PTCP	N;SG
sortie	خروج	sortir	خروج	V;FEM;SG;PST;V.PTCP	N;SG
sortie	بیرون	sortir	بیرون	V;FEM;SG;PST;V.PTCP	ADV;ESS
sortie	برون	sortir	برون	V;FEM;SG;PST;V.PTCP	N;SG
david	داوید	david	داوت#دار	PROPN	N;SG
david	داود	david	داود	PROPN	N;SG
david	داوود	david	داوود	PROPN	N;SG
david	دیوید	david	دیوید	PROPN	N;SG
david	david	david	david	PROPN	N;SG
loi	حقوق	loi	حق	N;FEM;SG	N;PL
côté	côté	côté	côté	N;MASC;SG	
côté	کنار	côté	کنار	N;MASC;SG	ADP
mer	بحر	mer	بحر	N;FEM;SG	
haute	والا	haut	None	ADJ;FEM;SG	
haute	رفیع	haut	None	ADJ;FEM;SG	N;SG
vue	نما	voir	نما	V;FEM;SG;PST;V.PTCP	
vue	نمای	voir	None	V;FEM;SG;PST;V.PTCP	N;SG
mère	mom	mère	mom	N;FEM;SG	
mère	مام	mère	مام	N;FEM;SG	
nombreuses	بسیار	nombreux	بسیار	ADJ;FEM;PL	ADV
nombreuses	بیشماری	nombreux	بیشماری	ADJ;FEM;PL	N;SG
recherche	تحقیقاتی	recherche	تحقیق	N;FEM;SG	N;PL
recherche	تحقیقات	recherche	تحقیق	N;FEM;SG	N;PL
double	دابل	double	دابل	ADJ;MASC;SG	N;SG
double	تکثیر	double	تکثیر	ADJ;MASC;SG	N;SG
double	دوگانه	double	دوگانه	ADJ;MASC;SG	N;SG
double	دوتایی	double	دوتایی	ADJ;MASC;SG	N;SG
réalisé	کارگردانی	réaliser	کارگردانی	V;MASC;SG;PST;V.PTCP	N;SG
six	سیکس	six	سیکس	NUM	N;SG
devant	جبهه	devant	جبهه	ADP	N;SG
devant	جلو	devant	جلو	ADP	N;SG
devant	دونت	devant	دونت	ADP	N;SG
écrit	مینویسد	écrire	نمود#آ	V;MASC;SG;PST;V.PTCP	V;SG;3;PRS
petite	small	petit	small	ADJ;FEM;SG	
petite	کوچکی	petit	کوچک	ADJ;FEM;SG	N;SG
petite	اسمال	petit	اسمال	ADJ;FEM;SG	N;SG
petite	لیتل	petit	لیتل	ADJ;FEM;SG	N;SG
petite	کوچولو	petit	کوچولو	ADJ;FEM;SG	N;SG
petite	پتیت	petit	پتیت	ADJ;FEM;SG	N;SG
bois	بنوش	bois	نوشید#نوش	N;MASC;SG	V;IMP;SG;2
entreprise	تجارت	entreprendre	تجارت	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	کسب	entreprendre	کسب	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	b	entreprendre	b	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	گروهان	entreprendre	گروه	V;FEM;SG;PST;V.PTCP	N;PL
entreprise	شرکت	entreprendre	شرکت	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	company	entreprendre	None	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	کمپانی	entreprendre	کمپانی	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	انترپرایز	entreprendre	انترپرایز	V;FEM;SG;PST;V.PTCP	N;SG
entreprise	سازمانی	entreprendre	None	V;FEM;SG;PST;V.PTCP	N;SG
retour	پشت	retour	پشت	N;MASC;SG	ADP
retour	باز	retour	باز	N;MASC;SG	ADJ
retour	برگشت	retour	بر#گشت#گرد	N;MASC;SG	V;SG;3;PST
principale	main	principal	main	ADJ;FEM;SG	N;SG
