категорія	kategorii	категорія	kategorie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
початку	počátek	початок	počátek	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
початку	vnuknutí	початок	vnuknutí	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG;POS
історії	dějepis	історія	dějepis	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
історії	historie	історія	historie	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
історії	historii	історія	historie	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
всі	vse	весь	vse	DET;NOM;PL	N;NOM;FEM;SG;POS
всі	všechno	весь	všechen	DET;NOM;PL	DET;NOM;NEUT;SG
всі	vše	весь	všechen	DET;NOM;PL	DET;NOM;NEUT;SG
багато	mnohé	багато	mnohý	ADV	ADJ;NOM;MASC;PL;POS
багато	mnozí	багато	mnohý	ADV	ADJ;ANIM;NOM;MASC;PL;POS
багато	mnoha	багато	mnoho	ADV	DET;INS
багато	mnoho	багато	mnoho	ADV	DET;NOM
багато	moc	багато	moc	ADV	N;NOM;FEM;SG;POS
багато	mnoho	багато	mnoho	ADV	DET;NOM
більше	větší	більше	velký	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
більше	větší	більше	velký	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
більше	další	більше	další	ADV;CMPR	ADJ;NOM;MASC;SG;POS
більше	more	більше	more	ADV;CMPR	N;MASC;SG;POS
кількість	hrabě	кількість	hrabě	N;INAN;NOM;FEM;SG	N;ANIM;NOM;MASC;SG;POS
кількість	počítat	кількість	počítat	N;INAN;NOM;FEM;SG	V;IPFV;POS;NFIN
два	dvojka	два	dvojka	NUM;NOM;MASC	N;NOM;FEM;SG;POS
перший	nejdřív	перший	brzy	ADJ;NOM;MASC;SG	ADV;RL;POS
перший	nejprve	перший	nejprve	ADJ;NOM;MASC;SG	ADV
перший	nejdříve	перший	brzy	ADJ;NOM;MASC;SG	ADV;RL;POS
площа	oblasti	площа	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
країни	zemi	країна	země	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
країни	země	країна	země	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
країни	země	країна	země	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
наук	vědy	наука	věda	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL;POS
розташований	umístěné	розташований	umístěný	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
голова	head	голова	haad	N;ANIM;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
голова	hlavu	голова	hlava	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG;POS
народився	narozena	народитися	narozený	V;PFV;MASC;IND;SG;PST;FIN	ADJ;POS;V.PTCP;PASS
народився	narozen	народитися	narozený	V;PFV;MASC;IND;SG;PST;FIN	ADJ;MASC;SG;POS;V.PTCP;PASS
сторінка	stránky	сторінка	stránka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
сторінка	page	сторінка	page	N;INAN;NOM;FEM;SG	PROPN;MASC;SG;POS
сторінка	stránku	сторінка	stránka	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
той	že	той	že	DET;NOM;MASC;SG	CONJ
росії	rusko	росія	ruský	PROPN;INAN;GEN;FEM;SG	ADJ;POS
все	všechno	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vše	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vse	все	vse	PRO;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
все	všichni	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;ANIM;NOM;MASC;PL
все	všechno	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	všechny	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;PL
все	vše	все	všechen	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
київ	kyjev	Київ	kyjev	PROPN;INAN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
київ	kyjevě	Київ	kyjev	PROPN;INAN;NOM;MASC;SG	N;DAT;FEM;SG;POS
зокрема	včetně	зокрема	včetně	ADV	ADP;GEN
роботи	práce	робота	práce	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
роботи	prace	робота	prace	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
роботи	pracovní	робота	pracovní	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG;POS
роботи	práci	робота	práce	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
роботи	pracovat	робота	pracovat	N;INAN;NOM;FEM;PL	V;IPFV;POS;NFIN
біля	blízko	біля	blízko	ADP;GEN	ADV;POS
веб	web	вебти	web		N;INAN;NOM;MASC;SG;POS
веб	webu	вебти	web		N;INAN;NOM;MASC;SG;POS
статтю	článek	стаття	článek	N;INAN;ACC;FEM;SG	N;INAN;NOM;MASC;SG;POS
статтю	článku	стаття	článek	N;INAN;ACC;FEM;SG	N;INAN;GEN;MASC;SG;POS
праворуч	doprava	праворуч	doprava	ADV	N;NOM;FEM;SG;POS
землі	zemi	земля	země	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
землі	země	земля	země	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
землі	zem	земля	země	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
армії	armády	армія	armáda	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL;POS
армії	armáda	армія	armáda	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG;POS
армії	armádní	армія	armádní	N;INAN;GEN;FEM;SG	ADJ;NOM;MASC;PL;POS
армії	armádu	армія	armáda	N;INAN;GEN;FEM;SG	N;ACC;FEM;SG;POS
армії	vojsko	армія	vojsko	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG;POS
армії	army	армія	arma	N;INAN;GEN;FEM;SG	PROPN;FEM;POS
саме	přesně	саме	přesně	PART	ADV;POS
саме	přesně	саме	přesně	PART	ADV;POS
саме	presne	саме	presnout	PART	PROPN;ANIM;NOM;MASC;SG;POS
північний	sever	північний	sever	ADJ;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
день	dne	день	den	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
південний	jih	південний	jih	ADJ;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
смерті	smrt	смерть	smrt	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
смерті	smrti	смерть	smrt	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG;POS
смерті	úmrtí	смерть	úmrtí	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG;POS
перша	nejdřív	перший	brzy	ADJ;NOM;FEM;SG	ADV;RL;POS
перша	nejprve	перший	nejprve	ADJ;NOM;FEM;SG	ADV
перша	nejdříve	перший	brzy	ADJ;NOM;FEM;SG	ADV;RL;POS
такі	následuje	такий	následovat	DET;NOM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
такі	následující	такий	následující	DET;NOM;PL	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
такі	taková	такий	takový	DET;NOM;PL	DET;NOM;FEM;SG
такі	takový	такий	takový	DET;NOM;PL	DET;NOM;MASC;SG
двох	dva	два	dva	NUM;ACC	NUM;NOM;MASC;PL
двох	dvě	два	dva	NUM;ACC	NUM;NOM;PL
двох	dvojka	два	dvojka	NUM;ACC	N;NOM;FEM;SG;POS
навіть	dokonce	навіть	dokonce	PART	ADV
розташування	lokace	розташування	lokace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
розташування	lokality	розташування	lokalita	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
розташування	lokace	розташування	lokace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
кар	kariéru	кар.	kariéra	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
працював	pracovala	працювати	pracovat	V;IPFV;MASC;IND;SG;PST;FIN	V;IPFV;POS;PST;V.PTCP;ACT
висота	výšku	висота	výška	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
висота	výšky	висота	výška	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
різних	jiný	різний	jiný	ADJ;ACC;PL	ADJ;ANIM;NOM;MASC;SG;POS
різних	jiná	різний	jiný	ADJ;ACC;PL	ADJ;NOM;FEM;SG;POS
різних	různé	різний	různý	ADJ;ACC;PL	ADJ;NOM;MASC;PL;POS
різних	jiné	різний	jiný	ADJ;ACC;PL	ADJ;NOM;NEUT;SG;POS
сільська	venkova	сільський	venkov	ADJ;NOM;FEM;SG	N;INAN;GEN;MASC;SG;POS
сільська	venkov	сільський	venkov	ADJ;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
сільська	venkovské	сільський	venkovský	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;PL;POS
церква	kostela	церква	kostel	N;INAN;NOM;FEM;SG	N;INAN;GEN;MASC;SG;POS
створення	vytvořit	створення	vytvořit	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
значення	myšleno	значення	myšlený	N;INAN;NOM;NEUT;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
значення	hodnoty	значення	hodnota	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
значення	hodnot	значення	hodnota	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL;POS
значення	hodnotu	значення	hodnota	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG;POS
вул	str	вул.	strana		N;FEM;POS
системи	systém	система	systém	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
системи	system	система	system	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;SG;POS
системи	systému	система	systém	N;INAN;NOM;FEM;PL	N;INAN;GEN;MASC;SG;POS
йому	jeho	він	jeho	PRO;DAT;MASC;SG;3	DET;3
йому	nej	він	nej	PRO;DAT;MASC;SG;3	N;NOM;MASC;SG;POS
йому	ho	він	on	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
крім	vyjma	крім	vyjma	ADP;GEN	N;NOM;FEM;SG;POS
ніж	nůž	ніж	nůž	CONJ	N;INAN;NOM;MASC;SG;POS
адреса	adresu	адреса	adresa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
член	člena	член	člen	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
член	členské	член	členský	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
член	ptáka	член	pták	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
франція	francii	франція	francie	PROPN;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG;POS
франція	francie	франція	francie	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
групи	skupin	група	skupina	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL;POS
буде	will	бути	will	V;IPFV;IND;SG;3;FUT;FIN	N;NOM;MASC;SG;POS
буде	vůle	бути	vůle	V;IPFV;IND;SG;3;FUT;FIN	N;NOM;FEM;SG;POS
буде	bodø	бути	bod	V;IPFV;IND;SG;3;FUT;FIN	PROPN;NOM;MASC;SG;POS
динаміка	dynamiku	динаміка	dynamika	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
всіх	vse	всі	vse	PRO;ANIM;ACC	N;NOM;FEM;SG;POS
всіх	všichni	всі	všechen	PRO;ANIM;ACC	DET;ANIM;NOM;MASC;PL
всіх	všechno	всі	všechen	PRO;ANIM;ACC	DET;NOM;NEUT;SG
всіх	všechny	всі	všechen	PRO;ANIM;ACC	DET;NOM;MASC;PL
всіх	vše	всі	všechen	PRO;ANIM;ACC	DET;NOM;NEUT;SG
