din	від	din	від	ADP;ACC	ADP;GEN
familia	сімейний	familie	сімейний	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
familia	сімейні	familie	сімейний	N;DEF;FEM;SG	ADJ;NOM;PL
familia	родина	familie	родина	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
numele	назва	nume	назва	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
timpul	тайм	timp	тайм	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
timpul	час	timp	час	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
nord	північна	nord	північний	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
nord	норт	nord	норт	N;INDF;MASC;SG	PROPN;INAN;NOM;MASC;SG
nord	північний	nord	північний	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
nord	nord	nord	nord	N;INDF;MASC;SG	
principală	головний	principal	головний	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
principală	основне	principal	основний	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
principală	головна	principal	головний	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
principală	головні	principal	головний	ADJ;INDF;FEM;SG	ADJ;NOM;PL
principală	головне	principal	головне	ADJ;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
sud	південна	sud	південний	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
sud	південний	sud	південний	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
aprilie	квітні	aprilie	квітний	N;INDF;MASC;SG	ADV
erau	були	fi	бути	V;IND;PL;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN
primul	перше	prim	перше	NUM;DEF;MASC;SG	ADV
primul	перша	prim	перший	NUM;DEF;MASC;SG	ADJ;NOM;FEM;SG
primul	перший	prim	перший	NUM;DEF;MASC;SG	ADJ;NOM;MASC;SG
iulie	липні	iulie	липень	N;INDF;MASC;SG	ADV
doar	лише	doar	лише	ADV	PART
doar	тільки	doar	тільки	ADV	PART
doar	просто	doar	просто	ADV	PART
editura	видавець	editură	видавець	N;DEF;FEM;SG	N;ANIM;NOM;MASC;SG
asteroid	астероїд	asteroid	астероїд	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
asteroid	астероїди	asteroid	астероїда	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
februarie	лютий	februarie	лютий	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
recensământului	перепис	recensământ	перепис	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
listă	перелік	listă	перелік	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
listă	list	listă	list	N;INDF;FEM;SG	
listă	список	listă	список	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
trei	втрьох	trei	втріх	NUM;PL	N;ANIM;NOM;MASC;PL
trei	трійка	trei	трійка	NUM;PL	N;INAN;NOM;FEM;SG
limba	язик	limbă	язик	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
limba	язика	limbă	язик	N;DEF;FEM;SG	N;INAN;GEN;MASC;SG
limba	мова	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
limba	мови	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
limba	мову	limbă	мова	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
lats	лат	lats	лата		
longm	longm	longm	longm		
latm	latm	latm	latm		
discuție	дискусії	discuție	дискусія	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
discuție	дискусія	discuție	дискусія	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
discuție	обговорення	discuție	обговорення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
franța	франції	franța	франція	PROPN	PROPN;INAN;GEN;FEM;SG
franța	франція	franța	франція	PROPN	PROPN;INAN;NOM;FEM;SG
franța	францію	franța	франція	PROPN	N;INAN;ACC;FEM;SG
partea	частина	parte	частина	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
fără	без	fără	без	ADP;ACC	ADP;GEN
departamentul	департамент	departament	департамент	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
departamentul	відділ	departament	відділ	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
raionul	проході	raion	прохід	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
data	дату	dată	дата	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
data	дата	dată	дата	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
data	датою	dată	дата	N;DEF;FEM;SG	N;INAN;INS;FEM;SG
data	дані	dată	дані	N;DEF;FEM;SG	N;INAN;PFV;NOM;PASS
data	data	dată	data	N;DEF;FEM;SG	
unul	одна	unul	один	PRO;MASC;SG;3	NUM;NOM;FEM
unul	one	unul	one	PRO;MASC;SG;3	
unul	одне	unul	один	PRO;MASC;SG;3	DET;NOM;NEUT;SG
unul	один	unul	один	PRO;MASC;SG;3	NUM;NOM;MASC
grup	групова	grup	груповий	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
grup	груповий	grup	груповий	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
locul	місце	loc	місце	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
pot	можна	putea	можна	V;IND;PL;3;PRS;FIN	ADV
germania	німеччини	germania	німеччина	PROPN	PROPN;INAN;GEN;FEM;SG
germania	німеччині	germania	німеччина	PROPN	PROPN;INAN;DAT;FEM;SG
germania	німеччина	germania	німеччина	PROPN	PROPN;INAN;NOM;FEM;SG
germania	німеччину	germania	німеччина	PROPN	PROPN;INAN;ACC;FEM;SG
face	make	face	make	V;IND;SG;3;PRS;FIN	
satul	село	sat	село	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
național	націонал	național	націонал	ADJ;INDF;MASC;SG	
național	національні	național	національний	ADJ;INDF;MASC;SG	ADJ;NOM;PL
perioada	строк	perioadă	строк	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
perioada	період	perioadă	період	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
minoritate	меншості	minoritate	меншість	N;INDF;FEM;SG	N;INAN;DAT;FEM;SG
ucraineană	український	ucrainean	український	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
ucraineană	українець	ucrainean	українець	ADJ;INDF;FEM;SG	N;ANIM;NOM;MASC;SG
ucraineană	українська	ucrainean	український	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
cadrul	каркас	cadru	каркас	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
cadrul	рамках	cadru	рамка	N;DEF;MASC;SG	N;INAN;ESS;FEM;PL
general	загальні	general	загальний	ADJ;INDF;MASC;SG	ADJ;NOM;PL
general	генерал	general	генерал	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
peste	закінчилося	peste	закінчитися	ADP;ACC	V;PFV;NEUT;IND;SG;PST;FIN
peste	закінчено	peste	закінчити	ADP;ACC	V;PFV;IND;0;FIN
peste	закінчилась	peste	закінчитися	ADP;ACC	V;PFV;FEM;IND;SG;PST;FIN
română	румунська	român	румунський	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
început	почалося	început	початися	N;INDF;MASC;SG	V;PFV;NEUT;IND;SG;PST;FIN
început	почалось	început	початися	N;INDF;MASC;SG	V;PFV;NEUT;IND;SG;PST;FIN
început	почали	început	почати	N;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN
început	розпочато	început	розпочати	N;INDF;MASC;SG	V;PFV;IND;0;FIN
început	почався	început	початися	N;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN
început	почато	început	почато	N;INDF;MASC;SG	V;PFV;IND;SG;3;FUT;FIN
iii	ііі	trei	ііі	NUM;SG	
iii	iii	trei	iii	NUM;SG	
duce	герцог	duce	герцог	V;IND;SG;3;PRS;FIN	N;ANIM;NOM;MASC;SG
duce	дюк	duce	дюк	V;IND;SG;3;PRS;FIN	PROPN;ANIM;NOM;MASC;SG
provincia	провінція	provincie	провінція	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
existând	існуюче	exista	існуюче	V;V.MSDR	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
existând	існуючий	exista	існуючий	V;V.MSDR	ADJ;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
existând	існуючі	exista	існуюча	V;V.MSDR	ADJ;IPFV;NOM;PL;PRS;V.PTCP;ACT
existând	існуючу	exista	існуюча	V;V.MSDR	ADJ;IPFV;ACC;FEM;SG;PRS;V.PTCP;ACT
vedere	перегляд	vedere	перегляд	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
vedere	вигляд	vedere	вигляд	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
vedere	view	vedere	view	N;INDF;FEM;SG	
vedere	вид	vedere	вид	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
vedere	переглянути	vedere	переглянути	N;INDF;FEM;SG	V;PFV;NFIN
wikipedia	вікіпедія	wikipedia	вікіпедія	N;DEF;FEM;SG	
specie	виді	specie	вид	N;INDF;FEM;SG	N;INAN;DAT;MASC;SG
specie	вид	specie	вид	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
specie	види	specie	вид	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
punct	point	punct	point	N;INDF;MASC;SG	
unite	united	unit	united	ADJ;INDF;FEM;PL	
unite	юнайтед	unit	юнайтед	ADJ;INDF;FEM;PL	PROPN;INAN;NOM;MASC;SG
moldova	молдова	moldova	молдовий	PROPN	ADJ;NOM;FEM;SG
moldova	молдові	moldova	молдовий	PROPN	ADJ;NOM;PL
moldova	молдови	moldova	молдова	PROPN	PROPN;INAN;NOM;FEM;SG
aceste	ці	acest	цей	DET;FEM;PL;3	DET;NOM;PL
secolul	ст	secol	ст.	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
secolul	століття	secol	століття	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
secolul	century	secol	century	N;DEF;MASC;SG	
una	одна	unul	один	PRO;FEM;SG;3	NUM;NOM;FEM
una	one	unul	one	PRO;FEM;SG;3	
una	одне	unul	один	PRO;FEM;SG;3	DET;NOM;NEUT;SG
una	один	unul	один	PRO;FEM;SG;3	NUM;NOM;MASC
aceasta	цей	acesta	цей	PRO;FEM;SG;3	DET;NOM;MASC;SG
aceasta	ця	acesta	цей	PRO;FEM;SG;3	DET;NOM;FEM;SG
life	життя	life	життя		N;INAN;NOM;NEUT;SG
life	лайф	life	Лайф		
reședință	резиденція	reședință	резиденція	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
orașul	місто	oraș	місто	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
tot	усі	tot	увесь	PRO;MASC;SG;3	DET;NOM;PL
tot	всі	tot	весь	PRO;MASC;SG;3	DET;NOM;PL
tot	все	tot	все	PRO;MASC;SG;3	PRO;INAN;NOM;NEUT;SG
tot	всіх	tot	всі	PRO;MASC;SG;3	PRO;ANIM;ACC
tot	still	tot	still	PRO;MASC;SG;3	
tot	ще	tot	ще	PRO;MASC;SG;3	ADV
tot	надалі	tot	надалі	PRO;MASC;SG;3	ADV
tot	досі	tot	досі	PRO;MASC;SG;3	ADV
chiar	навіть	chiar	навіть	ADV	PART
chiar	даже	chiar	даже	ADV	
făcut	made	face	made	V;MASC;SG;V.PTCP	
cunoscute	відома	cunoscut	відомий	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
cunoscute	відоме	cunoscut	відомий	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
perioadă	строк	perioadă	строк	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
perioadă	період	perioadă	період	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
date	дати	dată	дати	N;INDF;FEM;PL	V;PFV;NFIN
date	дані	dată	дані	N;INDF;FEM;PL	N;INAN;PFV;NOM;PASS
date	data	dată	data	N;INDF;FEM;PL	
trebuie	повинен	trebui	повинний	V;IND;3;PRS;FIN	ADJ;NOM;MASC;SG
cunoscută	відома	cunoscut	відомий	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
cunoscută	відоме	cunoscut	відомий	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
cunoscută	відомі	cunoscut	відомий	ADJ;INDF;FEM;SG	ADJ;NOM;PL
mari	велике	mare	великий	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
mari	велика	mare	великий	ADJ;INDF;PL	ADJ;NOM;FEM;SG
mari	великий	mare	великий	ADJ;INDF;PL	ADJ;NOM;MASC;SG
mari	біг	mare	бігти	ADJ;INDF;PL	V;IPFV;MASC;IND;SG;PST;FIN
mari	марі	mare	марий	ADJ;INDF;PL	PROPN;ANIM;NOM;FEM;SG
față	front	față	front	N;INDF;FEM;SG	
față	спереду	față	спереду	N;INDF;FEM;SG	ADV
față	передні	față	передній	N;INDF;FEM;SG	ADJ;NOM;PL
față	фронт	față	фронт	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
față	передній	față	передній	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
față	обличчя	față	обличчя	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
față	обличчям	față	обличчя	N;INDF;FEM;SG	N;INAN;INS;NEUT;SG
față	face	față	face	N;INDF;FEM;SG	
club	club	club	club	N;INDF;MASC;SG	
est	est	est	est	N;INDF;MASC;SG	
nou	нові	nou	новий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
nou	створити	nou	створити	ADJ;INDF;MASC;SG	V;PFV;NFIN
ales	обраний	ales	обраний	ADV	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ales	вибрано	ales	вибрати	ADV	V;PFV;IND;0;FIN
ales	вибрана	ales	вибраний	ADV	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
ales	вибране	ales	вибраний	ADV	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
ales	вибраний	ales	вибраний	ADV	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
numai	лише	numai	лише	ADV	PART
numai	тільки	numai	тільки	ADV	PART
ioan	джон	ioan	джон	PROPN	PROPN;ANIM;NOM;MASC;SG
ioan	іоанн	ioan	іоанно	PROPN	PROPN;ANIM;NOM;MASC;SG
ioan	іван	ioan	іван	PROPN	PROPN;ANIM;NOM;MASC;SG
ioan	йоан	ioan	йоан	PROPN	PROPN;ANIM;NOM;MASC;SG
ioan	іоан	ioan	іоан	PROPN	PROPN;ANIM;NOM;MASC;SG
rusă	російська	rus	російський	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
rusă	російською	rus	російський	ADJ;INDF;FEM;SG	ADJ;INS;FEM;SG
rusă	російську	rus	російський	ADJ;INDF;FEM;SG	ADJ;ACC;FEM;SG
isbn	isbn	isbn	isbn		
populația	населення	populație	населення	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
doi	двійка	doi	двійка	NUM;MASC;PL	N;INAN;NOM;FEM;SG
același	збігається	același	збігатися	DET;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
același	однаковий	același	однаковий	DET;MASC;SG;3	ADJ;NOM;MASC;SG
același	однакові	același	однаковий	DET;MASC;SG;3	ADJ;NOM;PL
același	same	același	same	DET;MASC;SG;3	
același	самий	același	самий	DET;MASC;SG;3	DET;NOM;MASC;SG;REFL
dată	дату	dată	дата	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
dată	дата	dată	дата	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
dată	датою	dată	дата	N;INDF;FEM;SG	N;INAN;INS;FEM;SG
numit	назвали	numit	назвати	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN
numit	названо	numit	назвати	ADJ;INDF;MASC;SG	V;PFV;IND;0;FIN
numit	назвали	numit	назвати	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN
numit	викликала	numit	викликати	ADJ;INDF;MASC;SG	V;PFV;FEM;IND;SG;PST;FIN
numit	називається	numit	називатися	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN
numit	викликали	numit	викликати	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN
descrisă	описано	descris	описати	ADJ;INDF;FEM;SG	V;PFV;IND;0;FIN
descrisă	описані	descris	описаний	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
oficial	офіційні	oficial	офіційний	ADJ;INDF;MASC;SG	ADJ;NOM;PL
oficial	офіційно	oficial	офіційно	ADJ;INDF;MASC;SG	ADV
nici	ані	nici	ані	ADV	INTJ
împotriva	проти	împotriva	проти	ADP;GEN	ADV
deși	щоправда	deși	щоправда	CONJ;POS	ADV
