per	za	per	za	ADP	
nord	severná	nord	severný	N;MASC;SG	ADJ;NOM;FEM;SG
nord	severne	nord	severne	N;MASC;SG	N;NOM;FEM;PL
barcelona	barcelona	barcelona	barcelon		N;INAN;GEN;MASC;SG
res	nic	res	nic	PRO;SG	INTJ
res	nič	res	nič	PRO;SG	PRO;NOM;NEUT;SG
segons	sekúnd	segons	sekunda	CONJ	N;GEN;FEM;PL
segons	sekundy	segons	sekunda	CONJ	N;NOM;FEM;PL
primer	najprv	primer	najprv	ADJ;MASC;SG	ADV
primer	prva	primer	prvý	ADJ;MASC;SG	N;NOM;FEM;SG
segle	storočia	segle	storočie	N;MASC;SG	N;NOM;NEUT;PL
nom	názov	nom	názov		N;INAN;NOM;MASC;SG
nom	meno	nom	meno		N;NOM;NEUT;SG
tres	three	tres	three	NUM;PL	
sud	južný	sud	južný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sud	južná	sud	južný	N;MASC;SG	ADJ;NOM;FEM;SG
sud	južné	sud	južný	N;MASC;SG	ADJ;NOM;NEUT;SG
sud	južnej	sud	južný	N;MASC;SG	ADJ;GEN;FEM;SG
nova	nove	nou	nový	ADJ;FEM;SG	N;NOM;FEM;PL
nova	novinka	nou	novinka	ADJ;FEM;SG	N;NOM;FEM;SG
nova	novu	nou	nova	ADJ;FEM;SG	N;ACC;FEM;SG
nova	nova	nou	nova	ADJ;FEM;SG	N;NOM;FEM;SG
homes	men	home	men	N;MASC;PL	
primera	najprv	primer	najprv	ADJ;FEM;SG	ADV
primera	prva	primer	prvý	ADJ;FEM;SG	N;NOM;FEM;SG
dues	two	dos	two	NUM;FEM;PL	
dues	dvojka	dos	dvojka	NUM;FEM;PL	N;NOM;FEM;SG
guerra	vojnové	guerra	vojnový		ADJ;NOM;NEUT;SG
guerra	vojny	guerra	vojna		N;NOM;FEM;PL
guerra	vojnový	guerra	vojnový		ADJ;ANIM;NOM;MASC;SG
guerra	war	guerra	war		
guerra	vojna	guerra	vojna		N;NOM;FEM;SG
següent	budúci	següent	budúci	ADJ;SG	N;ANIM;NOM;MASC;SG
següent	ďalej	següent	ďalej	ADJ;SG	ADV
això	to	això	to	PRO;SG	DET;NOM;NEUT;SG
això	táto	això	táto	PRO;SG	DET;NOM;FEM;SG
això	tento	això	tento	PRO;SG	DET;INAN;NOM;MASC;SG
això	toto	això	toto	PRO;SG	DET;NOM;NEUT;SG
això	túto	això	táto	PRO;SG	DET;ACC;FEM;SG
general	general	general	generať	ADJ;SG	N;INAN;NOM;MASC;SG
general	všeobecne	general	všeobecne	ADJ;SG	ADV
catalunya	katalánsku	catalunya	katalánsky		N;ACC;FEM;SG
vivien	vivien	viure	viveno	V;IND;PL;3;IPFV;FIN	PROPN;NOM;FEM;SG
forma	tvar	formar	tvar	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
forma	tvare	formar	tvar	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
forma	formulár	formar	formulár	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
forma	formulára	formar	formulár	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
forma	forma	formar	forma	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
forma	forme	formar	forma	V;IND;SG;3;PRS;FIN	N;DAT;FEM;SG
mateix	rovnaká	mateix	rovnaký	PRO;MASC;SG	ADJ;NOM;FEM;SG
mateix	rovnaké	mateix	rovnaký	PRO;MASC;SG	ADJ;NOM;NEUT;SG
mateix	rovnaký	mateix	rovnaký	PRO;MASC;SG	ADJ;ANIM;NOM;MASC;SG
mateix	rovnako	mateix	rovnako	PRO;MASC;SG	ADV
fet	hotovo	fet	hotovo	ADJ;MASC;SG;V.PTCP	ADV
fet	urobil	fet	urobiť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
han	han	haver	han	V;IND;PL;3;PRS;FIN	PROPN;ANIM;NOM;MASC;SG
encara	stale	encara	stať	ADV	
mort	death	mort	death	ADJ;MASC;SG;V.PTCP	PROPN;ANIM;NOM;MASC;SG
mort	smrt	mort	smrt	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
mort	smrť	mort	smrť	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
mort	úmrtia	mort	úmrtie	ADJ;MASC;SG;V.PTCP	N;NOM;NEUT;PL
mort	úmrtie	mort	úmrtie	ADJ;MASC;SG;V.PTCP	N;NOM;NEUT;SG
dades	data	dada	data	N;FEM;PL	N;NOM;FEM;SG
només	ibaže	només	ibaže	ADV	CONJ
només	iba	només	iba	ADV	PART
només	len	només	len	ADV	PART
només	iba	només	iba	ADV	PART
només	len	només	len	ADV	PART
només	proste	només	prost	ADV	PART
temps	time	temps	tima	N;MASC	
troba	nájdite	trobar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;IMP;PL;2;POS;FIN
troba	nájdi	trobar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;POS;FIN
grup	group	grup	group	N;MASC;SG	
grup	skupiny	grup	skupina	N;MASC;SG	N;NOM;FEM;PL
admin	admin	admar	admin		N;INAN;NOM;MASC;SG
admin	administrátor	admar	administrátor		N;ANIM;NOM;MASC;SG
properes	nadchádzajúce	proper	nadchádzajúci	ADJ;FEM;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
frança	francúzsko	frança	francúzsko		ADV
frança	francúzska	frança	francúzsky		N;NOM;FEM;SG
poblacions	obyvateľstvo	població	obyvateľstvo	N;FEM;PL	N;NOM;NEUT;SG
fills	detská	fill	detský	N;MASC;PL	ADJ;NOM;FEM;SG
fills	detské	fill	detský	N;MASC;PL	ADJ;NOM;NEUT;SG
rei	kral	rei	krať	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rei	king	rei	king	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
francès	francúzština	francès	francúzština	ADJ;MASC;SG	N;NOM;FEM;SG
francès	francúzsky	francès	francúzsky	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
francès	francúz	francès	francúz	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
francès	francúzska	francès	francúzsky	ADJ;MASC;SG	N;NOM;FEM;SG
nombre	pocet	nombre	pocet	N;MASC;SG	
nombre	cislo	nombre	cislo	N;MASC;SG	
tots	all	tot	all	PRO;MASC;PL	
tots	vsetky	tot	vsetok	PRO;MASC;PL	N;NOM;FEM;PL
tots	všetky	tot	všetok	PRO;MASC;PL	DET;INAN;NOM;MASC;PL
tots	všetkých	tot	všetok	PRO;MASC;PL	DET;ANIM;ACC;MASC;PL
tots	všetci	tot	všetok	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
tots	všetko	tot	všetok	PRO;MASC;PL	DET;NOM;NEUT;SG
isbn	isbn	isbn	isbn		
renda	prenajať	renda	prenajať	N;FEM;SG	V;IPFV;POS;NFIN
renda	nájomné	renda	nájomný	N;FEM;SG	ADJ;NOM;NEUT;SG
quatre	štvorka	quatre	štvorka	NUM;PL	N;NOM;FEM;SG
partit	party	partit	part	N;MASC;SG	N;NOM;FEM;PL
partit	párty	partit	párt	N;MASC;SG	N;INAN;NOM;MASC;PL
alguns	niektorých	algun	niektorý	PRO;MASC;PL	DET;GEN;MASC;PL
alguns	niektore	algun	niektore	PRO;MASC;PL	DET;NOM;MASC;SG
alguns	niektoré	algun	niektorý	PRO;MASC;PL	DET;NOM;NEUT;SG
alguns	niektorý	algun	niektorý	PRO;MASC;PL	DET;ANIM;NOM;MASC;SG
alguns	niektorí	algun	niektorý	PRO;MASC;PL	DET;ANIM;NOM;MASC;PL
nou	nove	nou	nový	ADJ;MASC;SG	N;NOM;FEM;PL
nou	novinka	nou	novinka	ADJ;MASC;SG	N;NOM;FEM;SG
principal	main	principal	main	ADJ;SG	
principal	hlavny	principal	hlavny	ADJ;SG	N;ANIM;NOM;MASC;SG
menys	menšia	menys	malý	ADV	ADJ;NOM;CMPR;FEM;SG
color	farebné	color	farebný	N;MASC;SG	ADJ;NOM;NEUT;SG
color	farebne	color	farebne	N;MASC;SG	ADV
color	farebný	color	farebný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
color	farby	color	farba	N;MASC;SG	N;NOM;FEM;PL
color	farebné	color	farebný	N;MASC;SG	ADJ;NOM;NEUT;SG
color	farebná	color	farebný	N;MASC;SG	ADJ;NOM;FEM;SG
color	farebný	color	farebný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
color	farby	color	farba	N;MASC;SG	N;NOM;FEM;PL
món	svetová	món	svetový	N;MASC;SG	ADJ;NOM;FEM;SG
món	world	món	world	N;MASC;SG	
empresa	firemné	empresa	firemný	N;FEM;SG	ADJ;NOM;NEUT;SG
empresa	spoločnosti	empresa	spoločnosť	N;FEM;SG	N;NOM;FEM;PL
abans	pred	abans	pred	ADV	ADP;INS
abans	predtym	abans	predtym	ADV	INTJ
edat	age	edat	age	N;FEM;SG	PROPN;NOM;MASC;SG
web	webová	web	webový	N;SG	ADJ;NOM;FEM;SG
jpg	jpg	jpg	jpg		
dins	dovnútra	dins	dovnútra		ADV
dins	vnútri	dins	vnútro		N;NOM;NEUT;SG
església	cirkvi	església	cirkev	N;FEM;SG	N;NOM;FEM;PL
maig	májové	maig	májový	N	ADJ;NOM;NEUT;SG
maig	môže	maig	môcť	N	V;IPFV;IND;SG;3;POS;PRS;FIN
maig	máj	maig	mať	N	INTJ
història	histórie	història	história	N;FEM;SG	N;NOM;FEM;PL
història	dejiny	història	dejiny	N;FEM;SG	N;NOM;FEM;PL
país	krajine	país	krajina		N;DAT;FEM;SG
país	krajiny	país	krajina		N;NOM;FEM;PL
país	štát	país	štát		N;INAN;NOM;MASC;SG
país	krajina	país	krajina		N;NOM;FEM;SG
segona	sekunda	segon	sekunda	ADJ;FEM;SG	N;NOM;FEM;SG
joan	ján	joan	ján		PROPN;ANIM;NOM;MASC;SG
joan	john	joan	john		PROPN;ANIM;NOM;MASC;SG
joan	joan	joan	joan		PROPN;ANIM;NOM;MASC;SG
final	ukončiť	final	ukončiť	ADJ;SG	V;PFV;POS;NFIN
final	koniec	final	koniec	ADJ;SG	N;INAN;NOM;MASC;SG
final	end	final	end	ADJ;SG	PROPN;ANIM;NOM;MASC;SG
final	skončiť	final	skončiť	ADJ;SG	V;PFV;POS;NFIN
govern	vládne	govern	vládnuť	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
govern	vlády	govern	vláda	N;MASC;SG	N;NOM;FEM;PL
govern	vlada	govern	vlada	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG
est	východná	est	východný	N;MASC;SG	ADJ;NOM;FEM;SG
est	východné	est	východný	N;MASC;SG	ADJ;NOM;NEUT;SG
est	východný	est	východný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
est	východne	est	východne	N;MASC;SG	ADV
est	est	est	est	N;MASC;SG	
vida	life	vida	lifa	N;FEM;SG	
vida	zivot	vida	zivot	N;FEM;SG	INTJ
poder	moc	poder	moc		N;NOM;FEM;SG
poder	napájanie	poder	napájanie		N;NOM;NEUT;SG
poder	výkon	poder	výkon		N;INAN;NOM;MASC;SG
poder	power	poder	power		N;INAN;NOM;MASC;SG
totes	all	tot	all	PRO;FEM;PL	
totes	vsetky	tot	vsetok	PRO;FEM;PL	N;NOM;FEM;PL
totes	všetky	tot	všetok	PRO;FEM;PL	DET;INAN;NOM;MASC;PL
totes	všetkých	tot	všetok	PRO;FEM;PL	DET;ANIM;ACC;MASC;PL
totes	všetci	tot	všetok	PRO;FEM;PL	DET;ANIM;NOM;MASC;PL
totes	všetko	tot	všetok	PRO;FEM;PL	DET;NOM;NEUT;SG
tipus	napíšte	tipus	napísiť	N;MASC	V;PFV;IMP;PL;2;POS;FIN
habitatge	bývania	habitatge	bývanie	N;MASC;SG	N;NOM;NEUT;PL
juny	jún	juny	jún	N	INTJ
diferents	iný	diferent	iný	ADJ;PL	DET;ANIM;NOM;MASC;SG
diferents	rozdielne	diferent	rozdielny	ADJ;PL	ADV
diferents	rôzne	diferent	rôzny	ADJ;PL	ADJ;NOM;NEUT;SG
diferents	iná	diferent	iný	ADJ;PL	DET;NOM;FEM;SG
parelles	dvojice	parella	dvojica	ADJ;FEM;PL	N;NOM;FEM;PL
parelles	páry	parella	pára	ADJ;FEM;PL	N;INAN;NOM;MASC;PL
parelles	párov	parella	pár	ADJ;FEM;PL	N;INAN;GEN;MASC;PL
parelles	dvojice	parella	dvojica	ADJ;FEM;PL	N;NOM;FEM;PL
parelles	páry	parella	pára	ADJ;FEM;PL	N;INAN;NOM;MASC;PL
parelles	párov	parella	pár	ADJ;FEM;PL	N;INAN;GEN;MASC;PL
diversos	viacero	divers	viacero	PRO;MASC;PL	NUM;NOM;NEUT;SG
diversos	niekoľko	divers	niekoľko	PRO;MASC;PL	DET;NOM;NEUT;SG
diversos	niekoľkých	divers	niekoľko	PRO;MASC;PL	DET;GEN;NEUT;PL
fitxa	list	fitxar	list	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
fitxa	plech	fitxar	plech	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
fitxa	výtlačok	fitxar	výtlačok	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
insee	insee	insee	insee	N;MASC;SG	
oest	west	oest	west		PROPN;ANIM;NOM;MASC;SG
oest	západná	oest	západný		ADJ;NOM;FEM;SG
oest	západ	oest	západ		N;INAN;NOM;MASC;SG
oest	západné	oest	západný		ADJ;NOM;NEUT;SG
què	čo	què	čo	PRO;SG	PRO;NOM;NEUT;SG
què	co	què	c	PRO;SG	INTJ
què	aké	què	aký	PRO;SG	DET;NOM;NEUT;SG
san	san	saver	san		PROPN;ANIM;NOM;MASC;SG
nacional	vnútroštátnych	nacional	vnútroštátny	ADJ;SG	ADJ;GEN;MASC;PL
nacional	vnútroštátne	nacional	vnútroštátne	ADJ;SG	ADV
nacional	nacional	nacional	nacionať	ADJ;SG	PROPN;INAN;NOM;MASC;SG
major	major	major	major	ADJ;SG	PROPN;ANIM;NOM;MASC;SG
vivint	žijúci	viure	žijúci	V;V.MSDR	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;ACT
vivint	žijúce	viure	žijúci	V;V.MSDR	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
poble	dediny	poble	dedina	N;MASC;SG	N;NOM;FEM;PL
perquè	lebo	perquè	lebo	CONJ	CONJ
perquè	pretoze	perquè	pretoze	CONJ	N;INAN;NOM;MASC;SG
riu	river	riu	river	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
riu	riečna	riu	riečno	N;MASC;SG	ADJ;NOM;FEM;SG
riu	rieky	riu	rieka	N;MASC;SG	N;NOM;FEM;PL
mostra	vzorky	mostrar	vzorka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;PL
mostra	vzorku	mostrar	vzork	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
mostra	vzorka	mostrar	vzorka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
mostra	ukážka	mostrar	ukážka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
mostra	predstavenie	mostrar	predstavenie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
mostra	ukáž	mostrar	ukáž	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;POS;FIN
obres	funguje	obra	fungovať	N;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
obres	diel	obra	dielo	N;FEM;PL	N;NOM;MASC;SG
obres	pracuje	obra	pracovať	N;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
millor	najlepsie	millor	dsípsiť	ADJ;SG	
millor	najlepšie	millor	dobre	ADJ;SG	ADV;RL
millor	najlepsi	millor	najlepsi	ADJ;SG	PROPN;ANIM;NOM;MASC;SG
espanya	španielsko	espanyar	španielsko		PROPN;NOM;NEUT;SG
espanya	španielska	espanyar	španielsky		PROPN;NOM;FEM;SG
sistema	systémy	sistema	systém	N;MASC;SG	N;INAN;NOM;MASC;PL
santa	santa	santar	santa		PROPN;ANIM;NOM;MASC;SG
diverses	viacero	divers	viacero	ADJ;FEM;PL	NUM;NOM;NEUT;SG
diverses	niekoľko	divers	niekoľko	ADJ;FEM;PL	DET;NOM;NEUT;SG
diverses	niekoľkých	divers	niekoľko	ADJ;FEM;PL	DET;GEN;NEUT;PL
total	spolu	total	spolu	ADJ;SG	ADV
total	celkom	total	celkom	ADJ;SG	ADV
total	total	total	totať	ADJ;SG	INTJ
total	celkovo	total	celkovo	ADJ;SG	ADV
universitat	university	universitat	universita	N;FEM;SG	N;NOM;FEM;PL
universitat	univerzitné	universitat	univerzitný	N;FEM;SG	ADJ;NOM;NEUT;SG
universitat	univerzity	universitat	univerzita	N;FEM;SG	N;NOM;FEM;PL
dia	den	dia	den	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
dia	day	dia	deň	N;MASC;SG	INTJ
mitjà	stredne	mitjà	strednúť	ADJ;MASC;SG	ADV
mitjà	médium	mitjà	médium	ADJ;MASC;SG	N;NOM;NEUT;SG
world	sveta	world	svet		N;INAN;GEN;MASC;SG
world	svetová	world	svetový		ADJ;NOM;FEM;SG
world	svete	world	svet		N;INAN;ESS;MASC;SG
world	svet	world	svet		N;INAN;NOM;MASC;SG
world	svetom	world	svet		N;INAN;INS;MASC;SG
world	world	world	world		
vol	letu	voler	let	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
vol	let	voler	let	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
vol	letom	voler	let	V;IND;SG;3;PRS;FIN	N;INAN;INS;MASC;SG
vol	letová	voler	letový	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
exemple	príklad	exemple	príklad		N;INAN;NOM;MASC;SG
escola	školy	escola	škola	N;FEM;SG	N;NOM;FEM;PL
escola	školské	escola	školský	N;FEM;SG	ADJ;NOM;NEUT;SG
cinc	five	cinc	fiv	NUM;PL	
cinc	päť	cinc	päť	NUM;PL	NUM;NOM;NEUT;SG
cinc	päťka	cinc	päťka	NUM;PL	N;NOM;FEM;SG
espècie	druhov	espècie	druh	N;FEM;SG	N;INAN;GEN;MASC;PL
espècie	druhy	espècie	druh	N;FEM;SG	N;INAN;NOM;MASC;PL
principals	hlavné	principal	hlavný	ADJ;PL	ADJ;NOM;NEUT;SG
principals	hlavná	principal	hlavný	ADJ;PL	ADJ;NOM;FEM;SG
principals	main	principal	main	ADJ;PL	
principals	hlavný	principal	hlavný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
principals	hlavny	principal	hlavny	ADJ;PL	N;ANIM;NOM;MASC;SG
madrid	madrid	madrid	madrid		PROPN;ANIM;NOM;MASC;SG
font	zdrojový	font	zdrojový	N;FEM;SG	ADJ;INAN;NOM;MASC;SG
los	los	ell	los	PRO;PL;3	PROPN;ANIM;NOM;MASC;SG
grans	veľké	gran	veľký	ADJ;PL	ADJ;NOM;NEUT;SG
grans	veľká	gran	veľký	ADJ;PL	ADJ;NOM;FEM;SG
grans	veľký	gran	veľký	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
banda	band	banda	band		PROPN;ANIM;NOM;MASC;SG
banda	kapely	banda	kapela		N;NOM;FEM;PL
banda	pásmo	banda	pásmo		N;NOM;NEUT;SG
banda	kapela	banda	kapel		N;NOM;FEM;SG
central	centrálne	central	centrálne	ADJ;SG	ADV
central	central	central	centrať	ADJ;SG	N;NOM;NEUT;SG
província	provincie	província	provincia	N;FEM;SG	N;NOM;FEM;PL
oficial	úradník	oficial	úradník	ADJ;SG	N;ANIM;NOM;MASC;SG
oficial	dôstojník	oficial	dôstojník	ADJ;SG	N;ANIM;NOM;MASC;SG
oficial	strážnik	oficial	strážnik	ADJ;SG	N;ANIM;NOM;MASC;SG
maria	máriu	maria	mária		N;ACC;FEM;SG
maria	maria	maria	mariť		PROPN;NOM;FEM;SG
maria	mária	maria	máriť		N;NOM;FEM;SG
molts	mnohé	molt	mnohý	PRO;MASC;PL	ADJ;NOM;NEUT;SG
molts	mnohí	molt	mnoho	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;PL
molts	veľa	molt	veľa	PRO;MASC;PL	NUM;NOM;NEUT;SG
molts	mnoho	molt	mnoho	PRO;MASC;PL	NUM;NOM;NEUT;SG
molts	vela	molt	vela	PRO;MASC;PL	INTJ
cens	sčítania	cens	sčítanie	N;MASC;SG	N;NOM;NEUT;PL
equip	tým	equip	to	N;MASC;SG	DET;INS;NEUT;SG
equip	team	equip	team	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
amèrica	amerika	amèrica	amerika	ADJ;FEM;SG	N;NOM;FEM;SG
amèrica	amerike	amèrica	amerika	ADJ;FEM;SG	N;DAT;FEM;SG
amèrica	ameriky	amèrica	amerika	ADJ;FEM;SG	N;NOM;FEM;PL
amèrica	ameriku	amèrica	amerika	ADJ;FEM;SG	N;ACC;FEM;SG
