von	from	von	from	ADP	PROPN
berlin	берлин	berlin	берлин	PROPN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
heute	today	heute	today	ADV	PROPN
habe	есть	haben	быть	V;SBJV;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
habe	получила	haben	получить	V;SBJV;SG;3;PRS;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
habe	получил	haben	получить	V;SBJV;SG;3;PRS;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
habe	иметь	haben	иметь	V;SBJV;SG;3;PRS;FIN	V;IPFV;NFIN;ACT
alle	всем	alle	все	PRO;NOM;INDF;PL	PRO;ANIM;DAT;PL
alle	всем	alle	все	PRO;NOM;INDF;PL	PRO;ANIM;DAT;PL
alle	всех	alle	все	PRO;NOM;INDF;PL	PRO;ANIM;ACC;PL
alle	all	alle	all	PRO;NOM;INDF;PL	PROPN
alle	все	alle	все	PRO;NOM;INDF;PL	PRO;INAN;NOM;NEUT;SG
alle	всем	alle	все	PRO;NOM;INDF;PL	PRO;ANIM;DAT;PL
alle	всех	alle	все	PRO;NOM;INDF;PL	PRO;ANIM;ACC;PL
alle	все	alle	все	PRO;NOM;INDF;PL	PRO;INAN;NOM;NEUT;SG
alle	каждый	alle	каждый	PRO;NOM;INDF;PL	DET;NOM;MASC;SG
alle	alle	alle	alle	PRO;NOM;INDF;PL	PROPN
ihre	их	ihr	они	DET;NOM;FEM;SG	PRO;ACC;PL;3
ihre	ваши	ihr	ваш	DET;NOM;FEM;SG	DET;NOM;PL
ihre	ее	ihr	она	DET;NOM;FEM;SG	PRO;ACC;FEM;SG;3
ihre	ей	ihr	она	DET;NOM;FEM;SG	PRO;DAT;FEM;SG;3
ihre	её	ihr	она	DET;NOM;FEM;SG	PRO;ACC;FEM;SG;3
ihre	ваши	ihr	ваш	DET;NOM;FEM;SG	DET;NOM;PL
anderen	другой	ander	другой	ADJ;NOM;PL	ADJ;NOM;MASC;SG
anderen	другая	ander	другой	ADJ;NOM;PL	ADJ;NOM;FEM;SG
anderen	другое	ander	другой	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
später	позднее	spät	поздно	ADJ	ADV;CMPR
später	позже	spät	поздно	ADJ	ADV;CMPR
können	может	können	мочь	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
können	могу	können	мочь	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
können	можно	können	можно	V;IND;PL;3;PRS;FIN	ADV
können	can	können	can	V;IND;PL;3;PRS;FIN	PROPN
jan	джен	jan	джен	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
jan	ян	jan	ян	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
jan	яна	jan	яна	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
jan	джан	jan	джан	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
mir	мир	ich	мир	PRO;DAT;SG;1	N;INAN;NOM;MASC;SG
seinen	его	sein	он	DET;ACC;MASC;SG	PRO;ACC;MASC;SG;3
ihr	тебя	ihr	ты	PRO;NOM;MASC;SG	PRO;ACC;SG;2
ihr	you	ihr	you	PRO;NOM;MASC;SG	PROPN
ihr	вы	ihr	вы	PRO;NOM;MASC;SG	PRO;NOM;PL;2
ihr	твоя	ihr	твой	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
ihr	ваши	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;PL
ihr	ваш	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
ihr	ваша	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
ihr	твой	ihr	твой	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
ihr	ваше	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
ihr	ее	ihr	она	PRO;NOM;MASC;SG	PRO;ACC;FEM;SG;3
ihr	ей	ihr	она	PRO;NOM;MASC;SG	PRO;DAT;FEM;SG;3
ihr	её	ihr	она	PRO;NOM;MASC;SG	PRO;ACC;FEM;SG;3
gemeinde	муниципалитеты	gemeinde	муниципалитет	N;NOM;FEM;SG	N;INAN;NOM;MASC;PL
gemeinde	муниципалитетов	gemeinde	муниципалитет	N;NOM;FEM;SG	N;INAN;GEN;MASC;PL
gemeinde	общины	gemeinde	община	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
gemeinde	сообщества	gemeinde	сообщество	N;NOM;FEM;SG	N;INAN;NOM;NEUT;PL
gemeinde	коммуне	gemeinde	коммун	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
seinem	его	sein	он	DET;DAT;MASC;SG	PRO;ACC;MASC;SG;3
erste	erste	erst	erste	ADJ;NOM;FEM;PL	PROPN
erste	первый	erst	первый	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
erste	сначала	erst	сначала	ADJ;NOM;FEM;PL	ADV
erste	первое	erst	первый	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
erste	первая	erst	первый	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erste	first	erst	first	ADJ;NOM;FEM;PL	PROPN
liegt	ложь	liegen	ложь	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
august	августа	augusten	август	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
august	август	augusten	август	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
august	август	augusten	август	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
sollte	должен	sollen	должен	V;IND;SG;3;PST;FIN	ADJ;MASC;SG
sollte	должны	sollen	должен	V;IND;SG;3;PST;FIN	ADJ;PL
deutschland	германия	deutschland	германий	PROPN;NOM	N;INAN;NOM;NEUT;SG
deutschland	германию	deutschland	германия	PROPN;NOM	N;INAN;ACC;NEUT;SG
deutschland	германии	deutschland	германия	PROPN;NOM	N;INAN;ESS;NEUT;SG
ihm	его	er	он	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ende	концы	ende	конец	N;ACC;NEUT;SG	N;INAN;NOM;MASC;PL
ende	заканчивается	ende	заканчиваться	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;MID
ende	закончить	ende	закончить	N;ACC;NEUT;SG	V;PFV;NFIN;ACT
ende	завершить	ende	завершить	N;ACC;NEUT;SG	V;PFV;NFIN;ACT
ende	конце	ende	конец	N;ACC;NEUT;SG	N;INAN;ESS;MASC;SG
ende	end	ende	end	N;ACC;NEUT;SG	PROPN
ende	конец	ende	конец	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
ende	окончание	ende	окончание	N;ACC;NEUT;SG	N;INAN;NOM;NEUT;SG
ende	конец	ende	конец	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
märz	марш	märz	марш	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
märz	март	märz	март	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
märz	марта	märz	март	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	PROPN
deutsche	немецкая	deutsch	немецкий	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
deutsche	немец	deutsch	немец	ADJ;NOM;FEM;PL	N;ANIM;NOM;MASC;SG
deutsche	немецкое	deutsch	немецкий	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
deutsche	германии	deutsch	германия	ADJ;NOM;FEM;PL	N;INAN;ESS;NEUT;SG
deutsche	немецкий	deutsch	немецкий	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	PROPN
deutsche	немцы	deutsch	немец	ADJ;NOM;FEM;PL	N;ANIM;NOM;MASC;PL
band	band	binden	band		PROPN
band	кассета	binden	кассета		N;INAN;NOM;FEM;SG
band	лента	binden	лента		N;INAN;NOM;FEM;SG
band	ленту	binden	лента		N;INAN;ACC;FEM;SG
band	лента	binden	лента		N;INAN;NOM;FEM;SG
januar	январь	januar	январь	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
januar	января	januar	январь	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
doch	но	doch	но	ADV	CONJ
oktober	октябрь	oktober	октябрь	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
oktober	октября	oktober	октябрь	PROPN;NOM;SG	N;INAN;GEN;MASC;SG
oktober	октябрь	oktober	октябрь	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
oktober	октября	oktober	октябрь	PROPN;NOM;SG	N;INAN;GEN;MASC;SG
nov	ноябрь	nov	ноябрь		N;INAN;NOM;MASC;SG
ihn	ему	er	он	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
wikipedia	википедия	wikipedia	википедия		N;INAN;NOM;FEM;SG
wikipedia	википедии	wikipedia	википедия		N;INAN;NOM;FEM;PL
jun	чжун	jun	чжун		PART
kirche	церквей	kirche	церковь		N;INAN;GEN;FEM;PL
kirche	церкви	kirche	церковь		N;INAN;NOM;FEM;SG
kirche	церковь	kirche	церковь		N;INAN;NOM;FEM;SG
kirche	церкви	kirche	церковь		N;INAN;NOM;FEM;SG
juni	чжун	juni	чжун	PROPN;NOM;MASC;SG	PART
juni	июнь	juni	июнь	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
juni	джун	juni	джун	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
juni	июня	juni	июнь	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
konnte	может	können	мочь	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
konnte	мог	können	мочь	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
konnte	могла	können	мочь	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
april	апр	april	апр	PROPN;NOM;MASC;SG	
april	эйприл	april	эйприль	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
april	апрель	april	апрель	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
april	апреля	april	апрель	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
september	сентября	september	сентябрь	PROPN;SG	N;INAN;GEN;MASC;SG
september	сентябрь	september	сентябрь	PROPN;SG	N;INAN;NOM;MASC;SG
september	сентябрь	september	сентябрь	PROPN;SG	N;INAN;NOM;MASC;SG
selbst	даже	selbst	даже	ADV	PART
selbst	себя	selbst	себя	ADV	PRO;ACC
selbst	сам	selbst	сам	ADV	ADJ;NOM;MASC;SG
selbst	себя	selbst	себя	ADV	PRO;ACC
weitere	далее	weit	далее	ADJ;NOM;FEM;PL	ADV
weitere	дальнейшая	weit	дальнейший	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
weitere	более	weit	более	ADJ;NOM;FEM;PL	ADV;CMPR
weitere	больше	weit	больше	ADJ;NOM;FEM;PL	ADV;CMPR
weitere	еще	weit	еще	ADJ;NOM;FEM;PL	ADV
juli	июль	juli	июль	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
andere	другой	ander	другой	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
andere	другая	ander	другой	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
andere	другое	ander	другой	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
okt	октябрь	okt	октябрь		N;INAN;NOM;MASC;SG
okt	октября	okt	октябрь		N;INAN;GEN;MASC;SG
feb	февраля	feb	февраль		N;INAN;GEN;MASC;SG
feb	февраль	feb	февраль		N;INAN;NOM;MASC;SG
kein	не	kein	не	PRO;NOM;INDF;MASC;SG;NEG	PART
geschichte	story	geschicht	story		PROPN
geschichte	новость	geschicht	новость		N;INAN;NOM;FEM;SG
geschichte	рассказ	geschicht	рассказ		N;INAN;NOM;MASC;SG
geschichte	история	geschicht	история		N;INAN;NOM;FEM;SG
geschichte	истории	geschicht	история		N;INAN;NOM;FEM;PL
geschichte	история	geschicht	история		N;INAN;NOM;FEM;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	PROPN
verlag	издателей	verliegen	издатель	N;NOM;MASC;SG	N;ANIM;GEN;MASC;PL
jpg	jpg	jpg	jpg		
dezember	декабрь	dezember	декабрь	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
dezember	дек	dezember	дек	PROPN;NOM;MASC;SG	
dezember	декабрь	dezember	декабрь	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
dez	декабрь	dez	декабрь		N;INAN;NOM;MASC;SG
universität	университет	universität	университет	ADJ	N;INAN;NOM;MASC;SG
platz	площадь	platz	площадь	ADV	N;INAN;NOM;FEM;SG
platz	plaza	platz	plaza	ADV	PROPN
platz	плаза	platz	плаза	ADV	N;INAN;NOM;MASC;SG
platz	площадь	platz	площадь	ADV	N;INAN;NOM;FEM;SG
platz	квадрат	platz	квадрат	ADV	N;INAN;NOM;MASC;SG
platz	квадратный	platz	квадратный	ADV	ADJ;NOM;MASC;SG
