gestapo	الجستابو	gestapo	جِستَابُو	N;INDF;NEUT;SG	
troen	اعتقاد	tro	اِعتِقَاد	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
add	يضاف	add	أَضَاف	N;INDF;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
add	add	add	صَذَث	N;INDF;NEUT;SG	
add	نضيف	add	أَضَاف	N;INDF;NEUT;SG	V;IPFV;MASC;IND;PL;1;FIN;ACT
lara	لارا	lara	لَار	N;INDF;MASC+FEM;SG	
lettisk	اللاتفي	lettisk	اللاتفي	ADJ;INDF;SG	N;NOM;DEF;SG
lettisk	اللاتفية	lettisk	لَاتِفِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
lettisk	لاتفيا	lettisk	لاتفيا	ADJ;INDF;SG	
mønstre	الانماط	mønster	إِنمَاط	N;INDF;NEUT;PL	N;NOM;DEF;PL
mønstre	التصاميم	mønster	تَصمِيم	N;INDF;NEUT;PL	N;NOM;DEF;PL
mønstre	التصميمات	mønster	تَصمِيم	N;INDF;NEUT;PL	N;NOM;DEF;PL
arkiver	المحفوظات	arkive	مَحفُوظ	N;INDF;NEUT;PL	N;NOM;DEF;PL
arkiver	محفوظات	arkive	مَحفُوظ	N;INDF;NEUT;PL	ADJ;NOM;INDF;FEM;PL
arkiver	الارشيف	arkive	اَلأَرشِيف	N;INDF;NEUT;PL	N;NOM;DEF;SG
udgår	محذوف	udgå	محذوف	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
vægten	وزن	vægt	وَزن	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
åbnes	يفتح	åbne	فَتَح	V;IND;PRS;FIN;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
piper	بايبر	pipe	بايبر	N;INDF;MASC+FEM;SG	
palads	القصر	palads	قَصر	N;INDF;NEUT;SG	N;NOM;DEF;SG
banner	الراية	banne	رَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
opdagelse	الاكتشاف	opdagelse	اِكتِشَاف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
helen	هيلين	hel	هيلين	N;DEF;MASC+FEM;SG	
faser	المراحل	fase	مَرحَلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
faser	المراحل	fase	مَرحَلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
balance	الرصيد	balance	رَصِيد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
balance	التوازن	balance	تَوَازُن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
balance	الميزان	balance	مِيزَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
child	الطفلة	child	طِفلَة		N;NOM;DEF;SG
child	طفل	child	طِفل		N;NOM;INDF;SG
child	طفلة	child	طِفلَة		N;NOM;INDF;SG
child	الطفل	child	طِفل		N;NOM;DEF;SG
krim	القرم	krim	قَرم	PROPN	
krim	القرم	krim	قَرم	PROPN	
misbrug	الاساءة	misbrug	اِسَّاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
misbrug	الانتهاكات	misbrug	اِنتِهَاك	N;INDF;NEUT;SG	N;NOM;DEF;PL
kulturelt	الثقافي	kulturelt	ثَقَافِيّ	ADV	ADJ;NOM;DEF;MASC;SG
kulturelt	ثقافي	kulturelt	ثَقَافِيّ	ADV	ADJ;NOM;INDF;MASC;SG
kulturelt	ثقافية	kulturelt	ثَقَافِيّ	ADV	ADJ;NOM;INDF;FEM;SG
kulturelt	الثقافية	kulturelt	ثَقَافِيّ	ADV	ADJ;NOM;DEF;FEM;SG
kulturelt	ثقافيا	kulturelt	ثَقَافِيّ	ADV	ADJ;ACC;INDF;MASC;SG
savage	سافج	savage	سَافِج		
savage	سافاج	savage	سافاج		
savage	وحشية	savage	وحشية		N;NOM;INDF;SG
sub	غواصة	sub	غَوَّاصَة		N;NOM;INDF;SG
sub	الغواصة	sub	غَوَّاصَة		N;NOM;DEF;SG
sub	فرعي	sub	فَرعِيّ		ADJ;NOM;INDF;MASC;SG
sub	الباطن	sub	بَاطِن		ADJ;NOM;DEF;MASC;SG
styring	الحوكمة	styring	حُوكمَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
styring	الحكم	styring	حُكم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sultan	السلطان	sultan	سُلطَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sultan	سلطان	sultan	سلطان	N;INDF;MASC+FEM;SG	
asfalt	الاسفلت	asfalt	أَسفَل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
foretrukne	فضل	foretrukne	فضل	ADJ;PL	
foretrukne	مفضلة	foretrukne	مُفضَلّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
foretrukne	مفضل	foretrukne	مُفَضِّل	ADJ;PL	ADJ;NOM;INDF;MASC;SG
foretrukne	المفضل	foretrukne	مُفَضِّل	ADJ;PL	ADJ;NOM;DEF;MASC;SG
amerikaner	امريكية	amerikaner	أَمرِيكِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
amerikaner	امريكيون	amerikaner	أَمرِيكِيّ	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
amerikaner	امريكي	amerikaner	أَمرِيكِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
amerikaner	الامريكي	amerikaner	أَمرِيكِيّ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
mandskab	الطاقم	mandskab	طَاقِم	N;INDF;NEUT;SG	N;NOM;DEF;SG
bølger	الامواج	bølge	مَاج	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bølger	موج	bølge	مَوج	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
bølger	امواج	bølge	امواج	N;INDF;MASC+FEM;PL	
bølger	الموجات	bølge	مُوَجَّات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
erkendelse	الاعتراف	erkendelse	اِعتِرَاف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
abel	ابيل	abel	أَبِيل	N;INDF;MASC+FEM;SG	
peer	النظير	peer	نَظِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
helsingfors	هلسنكي	helsingfors	هِلسِنكِي	N;INDF;NEUT;SG	
vindende	الفوز	vinde	فَوز	V;PRS;V.PTCP	N;NOM;DEF;SG
cirkel	الدائرة	cirkel	دَائِرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
six	six	six	قِثَّة		
six	ستة	six	سِتَّة		NUM;NOM;INDF;MASC
six	سكس	six	سَكس		
adrian	ادريان	adrian	أَدرِيَان		
svalbard	سفالبارد	svalbard	سفالبارد		
brooklyn	بروكلين	brooklyn	بروكلين	N;INDF;MASC+FEM;SG	
discovery	الاكتشاف	discovery	اِكتِشَاف		N;NOM;DEF;SG
discovery	اكتشاف	discovery	اِكتِشَاف		N;NOM;INDF;SG
lukas	لوقا	lukas	لوقا	N;INDF;MASC+FEM;SG	
lukas	لوك	lukas	لُوك	N;INDF;MASC+FEM;SG	
spencer	سبنسر	spence	سبنسر	N;INDF;MASC+FEM;SG	
spencer	سبينسر	spence	سبينسر	N;INDF;MASC+FEM;SG	
berømmelse	الشهرة	berømmelse	شُهرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kontakter	الاتصالات	kontakt	اِتِّصَال	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
born	ولد	born	وَلَد		N;NOM;INDF;SG
born	تولد	born	تَوَلُّد		V;IPFV;FEM;IND;SG;3;FIN;ACT
born	مولود	born	مولود		N;NOM;INDF;SG
born	يولد	born	وَلَّد		V;IPFV;MASC;IND;SG;3;FIN;ACT
born	ولدت	born	وَلَد		V;PFV;FEM;SG;3;PASS
alter	المذبح	alter	مَذبَح	N;INDF;NEUT;SG	N;NOM;DEF;SG
alter	الضريح	alter	ضَرِيح	N;INDF;NEUT;SG	N;NOM;DEF;SG
alberto	البرتو	alberto	أَلبِرتُو		
logisk	منطق	logisk	مَنطِق	ADJ;INDF;SG	N;NOM;INDF;SG
logisk	المنطق	logisk	مَنطِق	ADJ;INDF;SG	N;NOM;DEF;SG
udgifter	التكاليف	udgift	تَكلِيف	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udgifter	النفقات	udgift	نَفَقَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udgifter	الانفاق	udgift	نَفَق	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
udgifter	المصروفات	udgift	مَصرُوف	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
udgifter	النفقات	udgift	نَفَقَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udgifter	المصاريف	udgift	مَصرُوف	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udgifter	المصروفات	udgift	مَصرُوف	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
erhvervet	المكتسبة	erhvervet	مُكتَسَبَة	V;INDF;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG
biblioteker	المكتبات	bibliotek	مَكتَبَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
betegnelser	الاسماء	betegnelse	اِسم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
torsdag	الخميس	torsdag	خَمِيس	N;INDF;MASC+FEM;SG	N;ACC;DEF;SG
torsdag	خميس	torsdag	خميس	N;INDF;MASC+FEM;SG	
gribe	الاستيلاء	gribe	اِستِيلَاء	V;NFIN;ACT	N;NOM;DEF;SG
gribe	اغتنام	gribe	اِغتِنَام	V;NFIN;ACT	N;NOM;INDF;SG
linket	لينك	linke	لينك	N;DEF;NEUT;SG	
linket	وصلة	linke	وِصلَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
linket	ربط	linke	رَبط	N;DEF;NEUT;SG	N;NOM;INDF;SG
linket	رابط	linke	رابط	N;DEF;NEUT;SG	N;NOM;INDF;SG
velegnet	مناسبة	velegnet	مُنَاسَبَة	ADJ;INDF;SG	N;NOM;INDF;SG
billigere	ارخص	billig	أَرخَص	ADJ;CMPR	
himmel	النعيم	himmel	النعيم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
himmel	الجنة	himmel	جَنَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
himmel	السماء	himmel	سَمَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
himmel	السما	himmel	سَمَا	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
himmel	سكاي	himmel	سَاكِي	N;INDF;MASC+FEM;SG	
himmel	السماء	himmel	سَمَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
himmel	السماوات	himmel	سَمَاوَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
wang	وانج	wang	وانج		
wang	وانغ	wang	وانغ		
ansvarlige	مسؤول	ansvarlig	مَسؤُول	ADJ;PL	N;NOM;INDF;SG
ansvarlige	المسؤول	ansvarlig	مَسؤُول	ADJ;PL	N;NOM;DEF;SG
redskaber	العتاد	redskab	عِتَاد	N;INDF;NEUT;PL	N;NOM;DEF;SG
redskaber	ترس	redskab	تَرَسَّ	N;INDF;NEUT;PL	N;NOM;INDF;SG
redskaber	التروس	redskab	تَرَوُّس	N;INDF;NEUT;PL	N;NOM;DEF;SG
redskaber	الادوات	redskab	أَدَاة	N;INDF;NEUT;PL	N;NOM;DEF;PL
redskaber	الشباك	redskab	الشباك	N;INDF;NEUT;PL	N;NOM;DEF;SG
redskaber	شباك	redskab	شِبَاك	N;INDF;NEUT;PL	N;NOM;INDF;SG
biograf	المسرح	biograf	مَسرَح	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
biograf	سينما	biograf	سِينَمَا	N;INDF;MASC+FEM;SG	
biograf	السينما	biograf	سِينَمَا	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
blik	عين	blik	عين	N;INDF;NEUT;SG	
blik	العين	blik	عَين	N;INDF;NEUT;SG	N;NOM;DEF;SG
datterselskab	فرعية	datterselskab	فَرعِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
datterselskab	فرعي	datterselskab	فَرعِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
greg	غريغ	greg	غريغ		
greg	جريج	greg	جَرِيج		
skilte	العلامات	skille	عَلَامَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bestemmelse	العزيمة	bestemmelse	عَزِيمَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
skønhed	جمال	skønhed	جمال	N;INDF;MASC+FEM;SG	
skønhed	الجمال	skønhed	جَمَل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
roberts	روبرتس	rober	رُوبِرتس	N;GEN;INDF;MASC+FEM;SG	
brigader	الوية	brigade	وِيَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
unger	الاولاد	unge	وَلَد	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
unger	الاطفال	unge	طِفل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
unger	اطفال	unge	اطفال	N;INDF;MASC+FEM;PL	
discogs	disco	discog	مُحَقَّه	N;INDF;MASC+FEM;SG	
comeback	العائدون	comeback	عَائِد	N;INDF;NEUT;SG	N;NOM;DEF;PL
serbiske	صربية	serbisk	صَربِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
serbiske	الصرب	serbisk	صَرب	ADJ;PL	N;NOM;DEF;PL
serbiske	الصربية	serbisk	صَربِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
serbiske	الصربي	serbisk	صَربِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
koden	شفرة	koden	شَفرَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
koden	رمز	koden	رَمز	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
koden	كود	koden	كود	N;DEF;MASC+FEM;SG	
ferie	الاجازة	ferie	إِجَازَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ferie	العطلة	ferie	عُطلَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ferie	اجازه	ferie	اجازه	N;INDF;MASC+FEM;SG	PRO;NOM;MASC;SG;3
ferie	العطلة	ferie	عُطلَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ferie	الاجازة	ferie	إِجَازَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ferie	العطلات	ferie	عَطَل	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
ferie	الاجازات	ferie	إِجَازَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
ferie	اعياد	ferie	عِيد	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
ferie	الاعياد	ferie	إِعيَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ferie	العطل	ferie	عَطل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
freedom	حرية	freedom	حُرِّيَّة		N;NOM;INDF;SG
freedom	الحرية	freedom	حُرِّيَّة		N;NOM;DEF;SG
rex	ريكس	rex	ريكس	N;INDF;MASC+FEM;SG	
elektronik	الالكترونيات	elektronik	إِلِكترُونِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;PL
cykel	الدراجة	cykel	دِرَاجَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
cykel	الدراجة	cykel	دِرَاجَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indehaver	الحائز	indehave	حَائِز	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
polens	بولندا	polen	بُولَندَا	N;GEN;DEF;MASC+FEM;SG	
huden	بشرة	huden	بَشَرَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
huden	جلد	huden	جَلَد	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
passager	المسافر	passager	مُسَافِر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
passager	الراكب	passager	رَاكِب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
passager	ممرات	passager	مَمَرّ	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
burma	بورما	burma	بُورمَا		
fattigdom	الفقر	fattigdom	فَقر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
slægtninge	الاقارب	slægtning	أَقرَب	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
tchad	تشاد	tchad	تشَاد	PROPN	
tchad	شاد	tchad	شَادّ	PROPN	
sammenbrud	الانهيار	sammenbrud	اِنهِيَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
sammenbrud	كراش	sammenbrud	كراش	N;INDF;NEUT;SG	
sammenbrud	ينهار	sammenbrud	نَهَر	N;INDF;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
sammenbrud	انهار	sammenbrud	انهار	N;INDF;NEUT;SG	
sammenbrud	الانهيار	sammenbrud	اِنهِيَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
konferencen	مؤتمر	konference	مُؤتَمَر	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
udpegede	المعين	udpege	المعين	V;IND;PST;FIN;ACT	
depression	الكابة	depression	كَابَّة	N;INDF;MASC+FEM;SG	
depression	الاكتئاب	depression	اِكتِئَاب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
depression	الكساد	depression	كَسَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tænkte	الفكر	tænke	فِكر	V;IND;PST;FIN;ACT	N;NOM;DEF;SG
tænkte	ظن	tænke	ظِن	V;IND;PST;FIN;ACT	
tænkte	افكر	tænke	افكر	V;IND;PST;FIN;ACT	
tænkte	التفكير	tænke	تَفكِير	V;IND;PST;FIN;ACT	N;NOM;DEF;SG
tænkte	تفكير	tænke	تَفكِير	V;IND;PST;FIN;ACT	N;NOM;INDF;SG
erklærer	تعلن	erklære	أَعلَن	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;PASS
erklærer	نعلن	erklære	نعلن	V;IND;PRS;FIN;ACT	
erklærer	تعلن	erklære	أَعلَن	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;PASS
slås	قتال	slås	قِتَال	V;NFIN;PASS	N;NOM;INDF;SG
slås	القتال	slås	قِتَال	V;NFIN;PASS	N;NOM;DEF;SG
kold	البرد	kold	بُرد	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kold	بارد	kold	بَارِد	ADJ;INDF;MASC+FEM;SG	
kold	الباردة	kold	بَارِد	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kold	برد	kold	برد	ADJ;INDF;MASC+FEM;SG	
relevans	الاهمية	relevans	أَهَمِّيَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
relevans	الصلة	relevans	صِلَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
værft	يارد	værft	ارد	N;INDF;NEUT;SG	
værft	الساحة	værft	سَاحَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
foreslå	اقتراح	foreslå	اِقتِرَاح	V;NFIN;ACT	N;NOM;INDF;SG
tjekkiske	التشيك	tjekkisk	تشِيكِيّ	ADJ;PL	N;NOM;DEF;PL
tjekkiske	التشيكية	tjekkisk	التشيكية	ADJ;PL	
krisen	الازمات	kris	الازمات	N;DEF;MASC+FEM;SG	N;NOM;DEF;PL
krisen	ازمة	kris	أَزمَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
palæstinensiske	فلسطينية	palæstinensisk	فِلَسطِينِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
palæstinensiske	الفلسطيني	palæstinensisk	فِلَسطِينِيّ	ADJ;PL	N;NOM;DEF;SG
palæstinensiske	فلسطيني	palæstinensisk	فِلَسطِينِيّ	ADJ;PL	N;NOM;INDF;SG
wiener	فيينا	wiener	فِيِينَّا	N;INDF;MASC+FEM;SG	
colin	كولن	colin	كُولِن	N;INDF;MASC+FEM;SG	
graven	قبر	grav	قَبر	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
efterretningstjeneste	استخبارات	efterretningstjeneste	اِستِخبَار	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
efterretningstjeneste	الاستخبارات	efterretningstjeneste	اِستِخبَار	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
efterretningstjeneste	الذكاء	efterretningstjeneste	ذَكَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
efterretningstjeneste	المخابرات	efterretningstjeneste	مُخَابَرَات	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
efterretningstjeneste	مخابرات	efterretningstjeneste	مُخَابَرَات	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
efterretningstjeneste	ذكاء	efterretningstjeneste	ذَكَاء	N;INDF;MASC+FEM;SG	
spd	spd	spd	قِثَّة		
mongoliet	منغوليا	mongolium	مُنغُولِيَا	N;DEF;NEUT;SG	
interwiki	interwi	interwiki	interwi		
syriske	سوري	syrisk	سُورِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
