月	moon	月	moon	N	PROPN;NOM;MASC;SG
前	prej	前	prej	N	ADV;CMPR
家	domača	家	domač	N	ADJ;NOM;FEM;SG
家	doma	家	doma	N	ADV
家	domov	家	domov	N	ADV
近	blizu	近	blizu		ADV
米	rice	米	rica	N	PROPN;NOM;MASC;SG
多	več	多	več		DET
多	bolj	多	bolj		ADV;CMPR
使用	uporaba	使用	uporaba	V	N;NOM;FEM;SG
使用	uporaba	使用	uporaba	V	N;NOM;FEM;SG
使用	use	使用	usa	V	
使用	uporabi	使用	uporaba	V	N;DAT;FEM;SG
使用	uporabljen	使用	uporabljen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
使用	uporabljena	使用	uporabljen	V	ADJ;NOM;FEM;SG;V.PTCP
使用	uporabljeno	使用	uporabljeno	V	ADJ;NOM;NEUT;SG;V.PTCP
使用	uporabljene	使用	uporabljen	V	ADJ;NOM;FEM;PL;V.PTCP
使用	uporabljeni	使用	uporabljen	V	ADJ;NOM;MASC;PL;V.PTCP
基	kei	基	kei	V	
王	king	王	king	PROPN	
王	kralj	王	kralj	PROPN	N;NOM;MASC;SG
王	wang	王	wang	PROPN	PROPN;NOM;MASC;SG
林	lam	林	lama	PROPN	
林	lin	林	lin	PROPN	
林	lina	林	lino	PROPN	N;NOM;FEM;SG
公司	podjetniški	公司	podjetniški	N	ADJ;NOM;MASC;SG
李	leeja	李	leeja	PROPN	N;GEN;MASC;SG
李	lee	李	lee	PROPN	PROPN;NOM;MASC;SG
一	enga	一	en	NUM	PRO;ACC;MASC;SG
西	zahodna	西	zahoden	N	ADJ;NOM;FEM;SG
西	zahodno	西	zahodno	N	ADV
卡	kartice	卡	kartica	PROPN	N;NOM;FEM;PL
卡	kartic	卡	kartica	PROPN	N;GEN;FEM;PL
卡	karte	卡	karta	PROPN	N;NOM;FEM;PL
卡	kartico	卡	kartica	PROPN	N;ACC;FEM;SG
卡	kartica	卡	kartica	PROPN	N;NOM;FEM;SG
卡	karta	卡	karta	PROPN	N;NOM;FEM;SG
小	majhno	小	majhen	PART	ADJ;NOM;NEUT;SG
小	majhni	小	majhen	PART	ADJ;NOM;MASC;PL
小	majhen	小	majhen	PART	ADJ;NOM;INDF;MASC;SG
小	majhne	小	majhen	PART	ADJ;NOM;FEM;PL
小	majhna	小	majhen	PART	ADJ;NOM;FEM;SG
小	male	小	mali	PART	ADJ;NOM;FEM;PL
小	mali	小	mali	PART	ADJ;NOM;DEF;MASC;SG
小	majcen	小	majcen	PART	N;NOM;MASC;SG
小	drobna	小	droben	PART	ADJ;NOM;FEM;SG
小	drobni	小	droben	PART	ADJ;NOM;MASC;PL
小	droben	小	droben	PART	ADJ;NOM;INDF;MASC;SG
相似	podobni	相似	podoben	V	ADJ;NOM;MASC;PL
相似	podoben	相似	podoben	V	ADJ;NOM;INDF;MASC;SG
相似	podobna	相似	podoben	V	ADJ;NOM;FEM;SG
相似	podobne	相似	podoben	V	ADJ;NOM;FEM;PL
相似	podobnih	相似	podoben	V	ADJ;GEN;MASC;PL
相似	podobno	相似	podoben	V	ADJ;NOM;NEUT;SG
相似	podobnost	相似	podobnost	V	N;NOM;FEM;SG
相似	podobnost	相似	podobnost	V	N;NOM;FEM;SG
相似	podobnosti	相似	podobnost	V	N;GEN;FEM;SG
四	four	四	four	NUM	
政府	vladna	政府	vladen	N	ADJ;NOM;FEM;SG
政府	vladno	政府	vladen	N	ADJ;NOM;NEUT;SG
政府	vladni	政府	vladen	N	ADJ;NOM;MASC;SG
道	dao	道	dao	PROPN	N;NOM;MASC;SG
將	will	將	will	V;CAUS	
將	volja	將	volja	V;CAUS	N;NOM;FEM;SG
高	visoko	高	visoko	PROPN	ADV
高	visoka	高	visok	PROPN	ADJ;NOM;FEM;SG
高	visoki	高	visok	PROPN	ADJ;NOM;MASC;PL
高	visok	高	visok	PROPN	ADJ;NOM;INDF;MASC;SG
高	visoka	高	visok	PROPN	ADJ;NOM;FEM;SG
高	gao	高	gao	PROPN	N;NOM;MASC;SG
美國	ameriki	美國	amerika	PROPN	N;DAT;FEM;SG
美國	amerika	美國	amerika	PROPN	N;NOM;FEM;SG
美國	ameriko	美國	amerika	PROPN	N;ACC;FEM;SG
美國	america	美國	america	PROPN	N;NOM;FEM;SG
集	nastavi	集	nastaviti	N	V;PFV;IND;SG;3;PRS;FIN
台灣	tajvana	台灣	tajvan	PROPN	ADJ;NOM;NEUT;SG
台灣	tajvan	台灣	tajvan	PROPN	
布	krpo	布	krpa		N;ACC;FEM;SG
世界	svetovna	世界	svetoven	N	ADJ;NOM;FEM;SG
世界	svetovno	世界	svetoven	N	ADJ;NOM;NEUT;SG
世界	world	世界	world	N	
南	nan	南	nan	N	
南	južno	南	južen	N	ADV
南	južna	南	južen	N	ADJ;NOM;FEM;SG
五	five	五	fiv	NUM	
本	bena	本	bena		N;NOM;MASC;SG
本	ben	本	ben		
金	jin	金	jin	PROPN	PROPN;NOM;MASC;SG
金	zlat	金	zlat	PROPN	N;NOM;MASC;SG
金	zlato	金	zlat	PROPN	ADJ;NOM;NEUT;SG
金	zlate	金	zlat	PROPN	ADJ;NOM;FEM;PL
金	zlati	金	zlat	PROPN	ADJ;NOM;DEF;MASC;SG
金	zlata	金	zlat	PROPN	ADJ;NOM;FEM;SG
金	kim	金	kim	PROPN	PROPN;NOM;MASC;SG
文	wen	文	wen	N	
林	lincoln	林	lincoln	PROPN	N;NOM;MASC;SG
包括	vključeni	包括	vključen	V	ADJ;NOM;MASC;PL;V.PTCP
包括	vključena	包括	vključen	V	ADJ;NOM;FEM;SG;V.PTCP
包括	vključene	包括	vključen	V	ADJ;NOM;FEM;PL;V.PTCP
包括	vključen	包括	vključen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
包括	vključeno	包括	vključen	V	ADJ;NOM;NEUT;SG;V.PTCP
包括	vključno	包括	vključno	V	ADV
峰	vrh	峰	vrh	PROPN	N;NOM;MASC;SG
峰	vrhov	峰	vrh	PROPN	N;GEN;MASC;PL
峰	vrhovi	峰	vrh	PROPN	N;NOM;MASC;PL
其他	drugi	其他	drug	DET	ADJ;NOM;MASC;SG
其他	drugo	其他	drug	DET	ADJ;NOM;NEUT;SG
其他	druga	其他	drug	DET	ADJ;NOM;FEM;SG
其他	druge	其他	drug	DET	ADJ;NOM;FEM;PL
其他	drugi	其他	drug	DET	ADJ;NOM;MASC;SG
其他	drugih	其他	drug	DET	ADJ;GEN;MASC;PL
其他	druge	其他	drug	DET	ADJ;NOM;FEM;PL
塔	tower	塔	tower	N	
縣	okrožni	縣	okrožen	N	ADJ;NOM;MASC;SG
第一	prva	第一	prvi	NUM	ADJ;NOM;FEM;SG
第一	prvo	第一	prvi	NUM	ADJ;ACC;NEUT;SG
第一	prvi	第一	prvi	NUM	ADJ;NOM;MASC;PL
第一	najprej	第一	najprej	NUM	ADV;RL
任	ren	任	ren	N	PROPN;NOM;FEM;SG
比	razmerje	比	razmerje	ADP	N;NOM;NEUT;SG
元	meta	元	met	PROPN	N;NOM;FEM;SG
元	yuan	元	yuan	PROPN	PROPN;NOM;MASC;SG
元	dolarja	元	dolar	PROPN	N;NOM;MASC;SG
元	dolar	元	dolar	PROPN	N;NOM;MASC;SG
元	zmagali	元	zmagati	PROPN	V;PFV;MASC;PL;V.PTCP
元	zmagala	元	zmagati	PROPN	V;PFV;FEM;SG;V.PTCP
元	zmagal	元	zmagati	PROPN	V;PFV;MASC;SG;V.PTCP
中國	porcelan	中國	porcelan	PROPN	N;NOM;MASC;SG
中國	kitajski	中國	kitajski	PROPN	ADJ;NOM;MASC;SG
中國	kitajsko	中國	kitajski	PROPN	ADJ;NOM;NEUT;SG
中國	kitajska	中國	kitajski	PROPN	ADJ;NOM;FEM;SG
六	six	六	six	NUM	
主要	major	主要	major	ADV	N;NOM;MASC;SG
主要	glavne	主要	glaven	ADV	ADJ;NOM;FEM;PL
主要	main	主要	main	ADV	
主要	glavni	主要	glaven	ADV	ADJ;NOM;DEF;MASC;SG
主要	glavno	主要	glaven	ADV	ADJ;NOM;NEUT;SG
主要	glavna	主要	glaven	ADV	ADJ;NOM;FEM;SG
城	city	城	city	N	PROPN;NOM;MASC;SG
法	metoda	法	metoda	PROPN	N;NOM;FEM;SG
法	metodo	法	metoda	PROPN	N;ACC;FEM;SG
山	gorsko	山	gorski	N	ADJ;NOM;NEUT;SG
山	gorski	山	gorski	N	ADJ;NOM;MASC;SG
山	hill	山	hill	N	PROPN;NOM;MASC;SG
加	dodajanje	加	dodajanje	ADP	N;NOM;NEUT;SG
加	dodaj	加	dodaj	ADP	V;PFV;IND;SG;2;FIN
加	plus	加	plus	ADP	N;NOM;MASC;SG
太空	vesoljska	太空	vesoljski	N	ADJ;NOM;FEM;SG
張	chang	張	chang	PROPN	N;NOM;MASC;SG
張	zhang	張	zhang	PROPN	PROPN;NOM;MASC;SG
內	notranji	內	notranji	N	ADJ;NOM;DEF;MASC;SG
內	notranje	內	notranji	N	ADJ;NOM;FEM;PL
內	notranja	內	notranji	N	ADJ;NOM;FEM;SG
主	gospod	主	gospod	PART	N;NOM;MASC;SG
雷	ray	雷	ray	PROPN	PROPN;NOM;MASC;SG
管理	upravljanje	管理	upravljanje	V	N;NOM;NEUT;SG
管理	obvladovanje	管理	obvladovanje	V	N;NOM;NEUT;SG
建	zgrajeno	建	zgrajen	V	ADJ;NOM;NEUT;SG;V.PTCP
建	zgrajen	建	zgrajen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
建	zgrajeni	建	zgrajen	V	ADJ;NOM;MASC;PL;V.PTCP
建	zgrajena	建	zgrajen	V	ADJ;NOM;FEM;SG;V.PTCP
性	spolno	性	spolno	N	ADV
性	spolna	性	spolen	N	ADJ;NOM;FEM;SG
成	sung	成	sung	V	N;NOM;MASC;SG
代表	reprezentativno	代表	reprezentativen	N	ADV
代表	reprezentativni	代表	reprezentativen	N	ADJ;NOM;MASC;PL
那	potem	那	potem	PRO	ADV
這	to	這	ta	PRO	DET;NOM;NEUT;SG
這	ta	這	ta	PRO	DET;NOM;MASC;SG
這	tole	這	tale	PRO	
這	tega	這	ta	PRO	DET;GEN;NEUT;SG
羅	luo	羅	luo	PROPN	N;NOM;MASC;SG
原	prvotna	原	prvoten	PART	ADJ;NOM;FEM;SG
原	izvirnik	原	izvirnik	PART	N;NOM;MASC;SG
原	izvirno	原	izviren	PART	ADJ;NOM;NEUT;SG
原	prvotni	原	prvoten	PART	ADJ;NOM;DEF;MASC;SG
原	original	原	original	PART	N;NOM;MASC;SG
原	hara	原	hara	PART	N;NOM;MASC;SG
工作	delovna	工作	deloven	N	ADJ;NOM;FEM;SG
工作	delovno	工作	deloven	N	ADJ;NOM;NEUT;SG
工作	delovni	工作	deloven	N	ADJ;NOM;DEF;MASC;SG
北	severna	北	severen	N	ADJ;NOM;FEM;SG
北	severni	北	severen	N	ADJ;NOM;DEF;MASC;SG
北	severno	北	severen	N	ADV
政治	politični	政治	političen	N	ADJ;NOM;MASC;SG
政治	politično	政治	političen	N	ADJ;NOM;NEUT;SG
政治	politična	政治	političen	N	ADJ;NOM;FEM;SG
陳	chen	陳	chen	PROPN	N;NOM;MASC;SG
陳	chan	陳	chan	PROPN	PROPN;NOM;MASC;SG
他	njegovo	他	njegov	PRO;3	DET;NOM;NEUT;SG;3
他	njegove	他	njegov	PRO;3	DET;NOM;FEM;PL;3
他	njegov	他	njegov	PRO;3	DET;NOM;MASC;SG;3
他	njegova	他	njegov	PRO;3	DET;NOM;FEM;SG;3
作品	deluje	作品	delovati	N	V;IPFV;IND;SG;3;PRS;FIN
河	river	河	river	N	
馬	konjsko	馬	konjski	N	ADV
更	več	更	več	ADV	DET
曼	mann	曼	mann	PROPN	PROPN;NOM;MASC;SG
季	letne	季	leten	N	ADJ;NOM;FEM;PL
龍	pljučna	龍	pljučen	N	ADJ;NOM;FEM;SG
女	ženski	女	ženski	N	ADJ;NOM;MASC;SG
正式	formalnega	正式	formalen	ADV	ADJ;GEN;NEUT;SG
外	zunaj	外	zunaj	N	ADV
明	ming	明	ming	PROPN	PROPN;NOM;MASC;SG
美	čudovita	美	čudovit	PROPN	ADJ;NOM;FEM;SG
美	prelepi	美	prelep	PROPN	N;NOM;FEM;SG
美	prelepe	美	prelep	PROPN	N;NOM;FEM;PL
美	lepi	美	lep	PROPN	ADJ;NOM;MASC;PL
美	lepe	美	lep	PROPN	ADJ;NOM;FEM;PL
美	lepa	美	lep	PROPN	ADJ;NOM;FEM;SG
美	lepote	美	lepota	PROPN	N;NOM;FEM;PL
美	lepoto	美	lepota	PROPN	N;ACC;FEM;SG
美	lepoti	美	lepota	PROPN	N;DAT;FEM;SG
美	lepotica	美	lepotica	PROPN	N;NOM;FEM;SG
美	lepota	美	lepota	PROPN	N;NOM;FEM;SG
因為	ker	因為	ker	ADP	CONJ
北京	peking	北京	peking	PROPN	N;NOM;MASC;SG
北京	pekingu	北京	peking	PROPN	N;DAT;MASC;SG
北京	peking	北京	peking	PROPN	N;NOM;MASC;SG
目前	trenutni	目前	trenuten	N	ADJ;NOM;MASC;SG
目前	trenutna	目前	trenuten	N	ADJ;NOM;FEM;SG
目前	sedanji	目前	sedanji	N	ADJ;NOM;MASC;SG
目前	trenutno	目前	trenutno	N	ADV
部分	delne	部分	delen	N	ADJ;NOM;FEM;PL
部分	delno	部分	delno	N	ADV
部分	delna	部分	delen	N	ADJ;NOM;FEM;SG
部分	delni	部分	delen	N	ADJ;NOM;DEF;MASC;SG
部分	delno	部分	delno	N	ADV
部分	deloma	部分	deloma	N	ADV
中央	osrednje	中央	osrednji	N	ADJ;NOM;NEUT;SG
中央	centralne	中央	centralen	N	ADJ;NOM;FEM;PL
中央	centralno	中央	centralno	N	ADJ;NOM;NEUT;SG
中央	osrednji	中央	osrednji	N	ADJ;NOM;DEF;MASC;SG
中央	centralni	中央	centralen	N	ADJ;NOM;DEF;MASC;SG
森	sen	森	sena	PROPN	N;NOM;MASC;SG
森	mori	森	mora	PROPN	N;NOM;MASC;SG
郡	okrožni	郡	okrožen	N	ADJ;NOM;MASC;SG
國家	državno	國家	državen	N	ADJ;NOM;NEUT;SG
國家	nacionalna	國家	nacionalen	N	ADJ;NOM;FEM;SG
國家	nacionalno	國家	nacionalen	N	ADJ;NOM;NEUT;SG
國家	nacionalni	國家	nacionalen	N	ADJ;NOM;MASC;SG
生	surova	生	surov	N	ADJ;NOM;FEM;SG
生	surovo	生	surovo	N	ADV
生	surovi	生	surov	N	ADJ;NOM;MASC;SG
生	surov	生	surov	N	ADJ;NOM;INDF;MASC;SG
但是	toda	但是	toda	ADV	CONJ
但是	ampak	但是	ampak	ADV	CONJ
但是	vendar	但是	vendar	ADV	CONJ
街	street	街	street	N	
提供	zagotovljenih	提供	zagotovljen	V	ADJ;GEN;MASC;PL;V.PTCP
城市	city	城市	city	N	PROPN;NOM;MASC;SG
一些	nekatere	一些	nekateri	ADJ	DET;NOM;FEM;PL
一些	nekaterim	一些	nekateri	ADJ	DET;DAT;MASC;PL
一些	nekateri	一些	nekateri	ADJ	DET;NOM;MASC;PL
一些	nekaj	一些	nekaj	ADJ	PRO;ACC;NEUT;SG
一些	neki	一些	nek	ADJ	DET;NOM;MASC;SG
長	dolge	長	dolg	PART	ADJ;NOM;FEM;PL
長	dolg	長	dolg	PART	ADJ;NOM;INDF;MASC;SG
長	dolgo	長	dolgo	PART	ADV
長	dolgi	長	dolg	PART	ADJ;NOM;MASC;SG
長	dolga	長	dolg	PART	ADJ;NOM;FEM;SG
加入	združeni	加入	združen	V	ADJ;NOM;MASC;PL;V.PTCP
加入	združena	加入	združen	V	ADJ;NOM;FEM;SG;V.PTCP
加入	pristop	加入	pristop	V	N;NOM;MASC;SG
加入	pristopna	加入	pristopen	V	ADJ;NOM;FEM;SG
英	jing	英	jing	PROPN	N;NOM;MASC;SG
英	ying	英	ying	PROPN	
上海	šanghaju	上海	šanghaj	PROPN	N;DAT;MASC;SG
上海	šanghaj	上海	šanghaj	PROPN	N;NOM;MASC;SG
第三	tretje	第三	tretji	NUM	ADJ;NOM;NEUT;SG
第三	tretji	第三	tretji	NUM	ADJ;NOM;MASC;SG
第三	tretja	第三	tretji	NUM	ADJ;NOM;FEM;SG
波	valovni	波	valoven	N	ADJ;NOM;MASC;SG
回	zadaj	回	zadaj	PROPN	
回	hrbet	回	hrbet	PROPN	N;NOM;MASC;SG
回	nazaj	回	nazaj	PROPN	ADV
無	nobene	無	noben	V	DET;GEN;NEUT;SG
無	nobenega	無	noben	V	DET;GEN;MASC;SG
無	noben	無	noben	V	PRO;NOM;MASC;SG
無	nobena	無	noben	V	DET;NOM;FEM;SG
吉	kat	吉	kat	PROPN	
你	si	你	biti	PRO;2	V;IND;SG;2;POS;PRS;FIN
東	vzhodni	東	vzhoden	N	ADJ;NOM;DEF;MASC;SG
東	vzhodna	東	vzhoden	N	ADJ;NOM;FEM;SG
東	vzhodno	東	vzhoden	N	ADV
東	dong	東	dong	N	PROPN;NOM;MASC;SG
英國	anglija	英國	anglija	PROPN	N;NOM;FEM;SG
英國	england	英國	england	PROPN	PROPN;NOM;MASC;SG
英國	angliji	英國	anglija	PROPN	N;NOM;FEM;SG
英國	anglije	英國	Anglija	PROPN	N;GEN;FEM;SG
英國	anglijo	英國	angliti	PROPN	N;ACC;FEM;SG
周	teden	周	teden	PROPN	N;INAN;ACC;MASC;SG
周	tedne	周	teden	PROPN	N;ACC;MASC;PL
周	tednov	周	teden	PROPN	N;GEN;MASC;PL
周	tedni	周	teden	PROPN	N;NOM;MASC;PL
周	tednih	周	teden	PROPN	N;ESS;MASC;PL
周	zhou	周	zhou	PROPN	PROPN;NOM;MASC;SG
周	chow	周	chow	PROPN	PROPN;NOM;MASC;SG
建立	stvaritev	建立	stvaritev	V	N;NOM;FEM;SG
建立	ustanovitev	建立	ustanovitev	V	N;NOM;FEM;SG
建立	ustvarjanje	建立	ustvarjanje	V	N;NOM;NEUT;SG
建立	ustanova	建立	ustanova	V	N;NOM;FEM;SG
建立	ustanavljanje	建立	ustanavljanje	V	N;NOM;NEUT;SG
建立	ustanovitev	建立	ustanovitev	V	N;NOM;FEM;SG
建立	obrat	建立	obrat	V	N;NOM;MASC;SG
建立	vzpostavitev	建立	vzpostavitev	V	N;NOM;FEM;SG
生活	zivljenje	生活	zivljenje	V	N;NOM;NEUT;SG
生活	life	生活	life	V	
生活	življenje	生活	življenje	V	N;NOM;NEUT;SG
派	pita	派	pit	V;CAUS	N;NOM;FEM;SG
教育	izobraževalnih	教育	izobraževalen	N	ADJ;GEN;MASC;PL
教育	izobraževalno	教育	izobraževalen	N	ADJ;NOM;NEUT;SG
教育	izobraževalni	教育	izobraževalen	N	ADJ;NOM;MASC;PL
萬	wan	萬	wan	PROPN	N;NOM;MASC;SG
國際	mednarodne	國際	mednaroden	N	ADJ;NOM;FEM;PL
國際	mednarodni	國際	mednaroden	N	ADJ;NOM;MASC;SG
國際	mednarodna	國際	mednaroden	N	ADJ;NOM;FEM;SG
國際	mednarodno	國際	mednaroden	N	ADJ;NOM;NEUT;SG
完成	končano	完成	končan	V	ADJ;NOM;NEUT;SG;V.PTCP
完成	končana	完成	končan	V	ADJ;NOM;FEM;SG;V.PTCP
完成	storjeno	完成	storjen	V	ADJ;NOM;NEUT;SG;V.PTCP
完成	končano	完成	končan	V	ADJ;NOM;NEUT;SG;V.PTCP
完成	opravljeno	完成	opravljen	V	ADJ;NOM;NEUT;SG;V.PTCP
完成	narejeno	完成	narejen	V	ADJ;NOM;NEUT;SG;V.PTCP
完成	popolna	完成	popoln	V	ADJ;NOM;FEM;SG
完成	popolno	完成	popoln	V	ADJ;NOM;NEUT;SG
白	bela	白	bel	N	ADJ;NOM;FEM;SG
白	belo	白	bel	N	ADV
白	beli	白	bel	N	ADJ;NOM;DEF;MASC;SG
白	bele	白	bel	N	ADJ;NOM;FEM;PL
音樂	glasbeni	音樂	glasben	N	ADJ;NOM;MASC;SG
音樂	glasbena	音樂	glasben	N	ADJ;NOM;FEM;SG
沙	sha	沙	sha	PROPN	N;NOM;MASC;SG
沙	peska	沙	pesek	PROPN	N;GEN;MASC;SG
沙	peščena	沙	peščen	PROPN	ADJ;NOM;FEM;SG
沙	pesek	沙	pesek	PROPN	N;NOM;MASC;SG
沙	peščeni	沙	peščen	PROPN	ADJ;NOM;MASC;SG
他們	so	他	biti	PRO;PL;3	V;IND;PL;3;POS;PRS;FIN
可能	možen	可能	možen	N	ADJ;NOM;INDF;MASC;SG
可能	možna	可能	možen	N	ADJ;NOM;FEM;SG
可能	možne	可能	možen	N	ADJ;NOM;FEM;PL
可能	možni	可能	možen	N	ADJ;NOM;MASC;SG
可能	možno	可能	možen	N	ADJ;NOM;NEUT;SG
分布	razdelitve	分布	razdelitev	V	N;NOM;FEM;PL
分布	razdelitev	分布	razdelitev	V	N;NOM;FEM;SG
分布	porazdelitev	分布	porazdelitev	V	N;NOM;FEM;SG
分布	distribucija	分布	distribucija	V	N;NOM;FEM;SG
分布	razdeljevanje	分布	razdeljevanje	V	N;NOM;NEUT;SG
分布	razporeditev	分布	razporeditev	V	N;NOM;FEM;SG
分布	razdeljen	分布	razdeljen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
分布	razdeljeni	分布	razdeljen	V	ADJ;NOM;MASC;PL;V.PTCP
梅	maj	梅	maj	PROPN	
梅	maja	梅	maj	PROPN	N;GEN;MASC;SG
梅	mei	梅	jaz	PROPN	PROPN;NOM;MASC;SG
中文	kitajske	中文	kitajski	N	ADJ;NOM;FEM;PL
中文	kitajski	中文	kitajski	N	ADJ;NOM;MASC;SG
中文	kitajsko	中文	kitajski	N	ADJ;NOM;NEUT;SG
中文	kitajska	中文	kitajski	N	ADJ;NOM;FEM;SG
自由	svoboden	自由	svoboden	N	ADJ;NOM;INDF;MASC;SG
自由	prosto	自由	prosto	N	ADV
自由	svobodna	自由	svoboden	N	ADJ;NOM;FEM;SG
自由	brezplačno	自由	brezplačno	N	ADV
自由	brezplačna	自由	brezplačen	N	ADJ;NOM;FEM;SG
黃	wong	黃	wong	PROPN	PROPN;NOM;MASC;SG
黃	hwang	黃	hwang	PROPN	
黃	huang	黃	huang	PROPN	N;NOM;MASC;SG
黃	rumena	黃	rumen	PROPN	ADJ;NOM;FEM;SG
黃	rumeni	黃	rume	PROPN	ADJ;NOM;DEF;MASC;SG
黃	rumene	黃	rumen	PROPN	ADJ;NOM;FEM;PL
黃	rumen	黃	rumen	PROPN	ADJ;NOM;INDF;MASC;SG
黃	rumeno	黃	rumen	PROPN	ADV
光	svetlo	光	svetlo	N	ADV
光	lahka	光	lahek	N	ADJ;NOM;FEM;SG
重要	pomembnost	重要	pomembnost	ADJ	N;NOM;FEM;SG
工程	deluje	工程	delovati	N	V;IPFV;IND;SG;3;PRS;FIN
港	harbor	港	harbor	PROPN	N;NOM;MASC;SG
港	pristanišče	港	pristanišče	PROPN	N;NOM;NEUT;SG
港	pristanišča	港	pristanišče	PROPN	N;NOM;NEUT;PL
港	port	港	port	PROPN	N;NOM;MASC;SG
港	harbour	港	harbour	PROPN	N;NOM;MASC;SG
列	stolpec	列	stolpec	V	N;NOM;MASC;SG
列	kolona	列	kolona	V	N;NOM;FEM;SG
最後	zadnji	最後	zadnji	N	ADJ;NOM;DEF;MASC;SG
最後	nazadnje	最後	nazadnje	N	ADV
最後	poslednje	最後	poslednji	N	ADJ;NOM;NEUT;SG
最後	zadnje	最後	zadnji	N	ADJ;NOM;FEM;PL
最後	zadnja	最後	zadnji	N	ADJ;NOM;FEM;SG
提交	predložitev	提交	predložitev	V	N;NOM;FEM;SG
提交	vložitev	提交	vložitev	V	N;NOM;FEM;SG
提交	predložene	提交	predložen	V	ADJ;NOM;FEM;PL;V.PTCP
提交	predložena	提交	predložen	V	ADJ;NOM;FEM;SG;V.PTCP
一般	splošno	一般	splošen	ADV	ADJ;NOM;NEUT;SG
經	sutra	經	suter	ADP	N;NOM;MASC;SG
需要	potrebo	需要	potreba	V	N;ACC;FEM;SG
需要	potreba	需要	potreba	V	N;NOM;FEM;SG
需要	potreben	需要	potreben	V	ADJ;NOM;INDF;MASC;SG
需要	potrebna	需要	potreben	V	ADJ;NOM;FEM;SG
需要	potrebe	需要	potreba	V	N;NOM;FEM;PL
需要	potreb	需要	potreba	V	N;GEN;FEM;PL
江	reka	江	reka	PROPN	N;NOM;FEM;SG
江	reki	江	reka	PROPN	N;DAT;FEM;SG
江	river	江	river	PROPN	
江	reke	江	reka	PROPN	N;NOM;FEM;PL
江	jiang	江	jiang	PROPN	N;NOM;MASC;SG
臺灣	tajvana	臺灣	tajvan	PROPN	ADJ;NOM;NEUT;SG
臺灣	tajvan	臺灣	tajvan	PROPN	
臺灣	tajvanski	臺灣	tajvanski	PROPN	ADJ;NOM;MASC;SG
最佳	optimalno	最佳	optimalno	ADJ	ADV
最佳	optimalno	最佳	optimalno	ADJ	ADV
這	tole	這	tale	DET	
泰	tae	泰	ta	PROPN	N;NOM;MASC;SG
泰	tai	泰	tai	PROPN	PROPN;NOM;MASC;SG
