fundamentala	fundamentales	fundamental	fundamental	ADJ;DEF;FEM;SG	ADJ;PL
repetat	repetidas	repetat	repetido	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
repetat	repitió	repetat	repetir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
repetat	repetidamente	repetat	repetidamente	ADJ;INDF;MASC;SG	ADV
tinere	jóven	tânăr	jóven	ADJ;INDF;FEM;PL	ADJ;SG
tinere	jovenes	tânăr	joven	ADJ;INDF;FEM;PL	N;PL
tinere	young	tânăr	young	ADJ;INDF;FEM;PL	PROPN
tinere	joven	tânăr	joven	ADJ;INDF;FEM;PL	N;SG
tinere	jóvenes	tânăr	joven	ADJ;INDF;FEM;PL	N;PL
gros	gruesos	gros	grueso	ADJ;INDF;MASC;SG	ADJ;MASC;PL
vocale	vocal	vocal	vocal	N;INDF;FEM;PL	ADJ;SG
donat	donados	donat	donar	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
donat	donó	donat	donar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
dakota	dakota	dakota	dakota	PROPN	N;MASC;SG
valle	valle	vall	valle	PROPN	N;MASC;SG
holt	holt	holt	holt	N;INDF;MASC;SG	PROPN
federala	federal	federală	federal	N;DEF;FEM;SG	ADJ;SG
federala	federales	federală	federal	N;DEF;FEM;SG	ADJ;PL
inlocuirea	reemplazando	inlocuire	reemplazar	N;DEF;FEM;SG	V;V.MSDR
inlocuirea	reemplazar	inlocuire	reemplazar	N;DEF;FEM;SG	V;NFIN
inlocuirea	sustituyendo	inlocuire	sustituir	N;DEF;FEM;SG	V;V.MSDR
apple	apple	appla	applir	N;INDF	PROPN
nepenthes	nepenthes	nepenthes	nepenthe	PROPN	N;PL
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	N;MASC;SG
chateau	chateau	chati	chateau	V;IND;PL;3;IPFV;FIN	N;MASC;SG
adaugarea	agregar	adaugare	agregar	N;DEF;FEM;SG	V;NFIN
adaugarea	agregando	adaugare	agregar	N;DEF;FEM;SG	V;V.MSDR
adaugarea	añadir	adaugare	añadir	N;DEF;FEM;SG	V;NFIN
adaugarea	añadiendo	adaugare	añadir	N;DEF;FEM;SG	V;V.MSDR
bois	bois	bois	bois	PROPN	N;MASC;SG
grupate	agrupado	grupat	agrupado	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
crima	asesinatos	crimă	asesinato	N;DEF;FEM;SG	N;MASC;PL
crima	asesinatos	crimă	asesinato	N;DEF;FEM;SG	N;MASC;PL
gotic	gótica	gotic	gótico	N;INDF;MASC;SG	ADJ;FEM;SG
gotic	gótico	gotic	gótico	N;INDF;MASC;SG	ADJ;MASC;SG
roz	pink	roz	pink		N;SG
roz	rosada	roz	rosado		ADJ;FEM;SG
roz	rosado	roz	rosar		N;MASC;SG
roz	rosa	roz	rosa		N;FEM;SG
ahmed	ahmed	ahmed	ahmed	PROPN	N;MASC;SG
latine	latino	latin	latino	ADJ;INDF;FEM;PL	N;MASC;SG
latine	latina	latin	latino	ADJ;INDF;FEM;PL	ADJ;FEM;SG
latine	latin	latin	latin	ADJ;INDF;FEM;PL	N
latine	latín	latin	latín	ADJ;INDF;FEM;PL	N;MASC;SG
moscovei	moscú	moscovă	moscú	PROPN;DEF;FEM;SG	PROPN
kashmir	cachemira	kashmir	cachemira	PROPN	N;SG
belgian	belgas	belgian	belga	N;INDF;MASC;SG	N;PL
parohiala	parroquial	parohială	parroquial	N;DEF;FEM;SG	ADJ;SG
wikimapia	wikimapia	wikimapia	wikimapia	PROPN	N;FEM;SG
orange	anaranjado	orange	anaranjado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
pierderile	perdidas	pierdere	perdido	N;DEF;FEM;PL	ADJ;FEM;PL;V.PTCP
naviga	vela	naviga	vela	V;IND;SG;3;IPFV;FIN	N;FEM;SG
naviga	velero	naviga	velero	V;IND;SG;3;IPFV;FIN	N;MASC;SG
echipament	equipamientos	echipament	equipamiento	N;INDF;MASC;SG	N;MASC;PL
echipament	equipos	echipament	equipo	N;INDF;MASC;SG	N;MASC;PL
joachim	joachim	joachim	joachim	PROPN	N;MASC;SG
joachim	joaquín	joachim	joaquín	PROPN	PROPN
formal	formales	formal	formal	ADV	ADJ;PL
formal	formal	formal	formal	ADV	ADJ;SG
austin	austin	austin	austin	PROPN	PROPN
aedes	aedes	aedes	aede	PROPN	N;MASC;SG
wall	muralla	wall	muralla	PROPN	N;FEM;SG
wall	pared	wall	pared	PROPN	N;FEM;SG
wall	murallas	wall	muralla	PROPN	N;FEM;PL
wall	muro	wall	muro	PROPN	N;MASC;SG
harald	harald	harald	harald	PROPN	N;SG
autonome	autónomo	autonom	autónomo	ADJ;INDF;FEM;PL	ADJ;MASC;SG
autonome	autonomía	autonom	autonomía	ADJ;INDF;FEM;PL	N;FEM;SG
autonome	autónoma	autonom	autónomo	ADJ;INDF;FEM;PL	ADJ;FEM;SG
village	pueblo	villag	pueblo	PROPN	N;MASC;SG
village	poblado	villag	poblado	PROPN	ADJ;MASC;SG;V.PTCP
village	villa	villag	villa	PROPN	N;FEM;SG
village	aldea	villag	aldea	PROPN	N;FEM;SG
raspandirea	difundiendo	raspandire	difundir	N;DEF;FEM;SG	V;V.MSDR
raspandirea	difundir	raspandire	difundir	N;DEF;FEM;SG	V;NFIN
raspandirea	difundir	raspandire	difundir	N;DEF;FEM;SG	V;NFIN
intensa	intensos	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;MASC;PL
intensa	intensas	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;FEM;PL
intensa	intensos	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;MASC;PL
intensa	intensas	intensa	intenso	ADJ;DEF;FEM;SG	ADJ;FEM;PL
stramtoarea	estrecho	stramtoare	estrecho	N;DEF;FEM;SG	ADJ;MASC;SG
refugiat	refugiadas	refugiat	refugiado	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
refugiat	refugiados	refugiat	refugiado	ADJ;INDF;MASC;SG	N;MASC;PL
ungara	húngaros	ungar	húngaro	N;DEF;FEM;SG	N;MASC;PL
ungara	húngara	ungar	húngaro	N;DEF;FEM;SG	ADJ;FEM;SG
scazuta	baja	scazuta	baja	ADJ;DEF;FEM;SG	N;FEM;SG
scazuta	bajos	scazuta	bajo	ADJ;DEF;FEM;SG	ADJ;MASC;PL
scazuta	bajas	scazuta	baja	ADJ;DEF;FEM;SG	N;FEM;PL
scazuta	low	scazuta	low	ADJ;DEF;FEM;SG	
scazuta	bajo	scazuta	bajo	ADJ;DEF;FEM;SG	ADP
exterioara	exteriores	exterior	exterior	ADJ;DEF;FEM;SG	ADJ;PL
interventie	intervenciones	interventie	intervención	N;INDF;FEM;SG	N;FEM;PL
fenomene	fenómeno	fenomen	fenómeno	N;INDF;FEM;PL	N;MASC;SG
austrieci	austríaca	austriac	austríaco	N;INDF;MASC;PL	ADJ;FEM;SG
austrieci	austriaco	austriac	austriaco	N;INDF;MASC;PL	N;MASC;SG
austrieci	austriaca	austriac	austriaco	N;INDF;MASC;PL	ADJ;FEM;SG
austrieci	austríaco	austriac	austríaco	N;INDF;MASC;PL	N;MASC;SG
costume	vestuario	costum	vestuario	N;INDF;FEM;PL	N;MASC;SG
grija	cariñoso	grijă	cariñoso	N;DEF;FEM;SG	ADJ;MASC;SG
grija	cuidando	grijă	cuidar	N;DEF;FEM;SG	V;V.MSDR
grija	cuidados	grijă	cuidado	N;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
grija	cuidado	grijă	cuidado	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
grija	care	grijă	care	N;DEF;FEM;SG	PROPN
indeplini	cumpla	indeplin	cumplir	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
indeplini	cumplirse	indeplin	cumplir	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
józsef	józsef	józsef	józsef	PROPN	N;MASC;SG
agricol	agricultura	agricol	agricultura	ADJ;INDF;MASC;SG	N;FEM;SG
agricol	agrícolas	agricol	agrícola	ADJ;INDF;MASC;SG	ADJ;PL
originile	origen	origine	origen	N;DEF;FEM;PL	N;MASC;SG
khan	khan	khan	khan	PROPN	N;MASC;SG
khan	kan	khan	kan	PROPN	N;SG
mutarea	moviendo	mutare	mover	N;DEF;FEM;SG	V;V.MSDR
mutarea	conmovedor	mutare	conmovedor	N;DEF;FEM;SG	ADJ;MASC;SG
ladislau	ladislao	ladisla	ladislao	V;IND;PL;3;IPFV;FIN	N;MASC;SG
cooper	cooper	cooper	cooper	N;INDF;MASC;SG	PROPN
invazie	invasiones	invazie	invasión	N;INDF;FEM;SG	N;FEM;PL
danny	danny	danny	danny	PROPN	N;MASC;SG
danny	dany	danny	dany	PROPN	PROPN
tag	etiqueta	tag	etiqueta		N;FEM;SG
tag	tag	tag	tag		N;MASC;SG
tag	etiquetar	tag	etiquetar		V;NFIN
perete	murallas	perete	muralla	N;INDF;MASC;SG	N;FEM;PL
amenajare	apropiado	amenajare	apropiado	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
nicholas	nicolás	nicholas	nicolás	PROPN	N;MASC;SG
nicholas	nicholas	nicholas	nichola	PROPN	N;SG
ixodes	ixodes	ixodes	ixod	N;INDF;MASC;SG	
straina	extranjeras	straină	extranjero	ADJ;DEF;FEM;SG	ADJ;FEM;PL
straina	extranjeros	straină	extranjero	ADJ;DEF;FEM;SG	N;MASC;PL
straina	extranjero	straină	extranjero	ADJ;DEF;FEM;SG	N;MASC;SG
straina	foreign	straină	foreign	ADJ;DEF;FEM;SG	N
iubit	amé	iubit	amé	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
iubit	amaba	iubit	amar	ADJ;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
iubit	amó	iubit	amar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
iubit	amados	iubit	amado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
iubit	novio	iubit	novio	ADJ;INDF;MASC;SG	N;MASC;SG
iubit	novios	iubit	novio	ADJ;INDF;MASC;SG	N;MASC;PL
rezolva	resolverlo	rezolva	resolverlo	V;IND;SG;3;IPFV;FIN	PROPN
rezolva	resuelva	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IMP;SG;3;FIN
rezolva	resuelve	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
rezolva	resolverlo	rezolva	resolverlo	V;IND;SG;3;IPFV;FIN	PROPN
rezolva	resuelva	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IMP;SG;3;FIN
rezolva	resuelve	rezolva	resolver	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
indivizi	particulares	individ	particular	N;INDF;MASC;PL	ADJ;PL
indivizi	individuales	individ	individual	N;INDF;MASC;PL	ADJ;PL
continental	continental	continental	continental	ADV	ADJ;SG
continental	continentales	continental	continental	ADV	ADJ;PL
caesar	cesar	caesar	cesar	N;INDF;MASC;SG	V;NFIN
caesar	césar	caesar	césar	N;INDF;MASC;SG	PROPN
conferit	conferidos	conferi	conferido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
conferit	confirió	conferi	conferir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
pierdute	perdido	pierdut	perdido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
pierdute	lost	pierdut	lost	ADJ;INDF;FEM;PL	N
pierdute	perdida	pierdut	perdido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
pierdute	perdió	pierdut	perder	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
ctenus	ctenus	ctenus	ctenus	N;INDF;FEM;SG	
ilustreaza	ilustra	ilustrațză	ilustrar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
ilustreaza	ilustra	ilustrațză	ilustrar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
ilustreaza	ilustran	ilustrațză	ilustrar	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
cardinal	cardinal	cardinal	cardinal	N;INDF;MASC;SG	ADJ;SG
clare	clare	clar	clare	ADJ;INDF;FEM;PL	N;SG
clare	clara	clar	claro	ADJ;INDF;FEM;PL	ADJ;FEM;SG
vulcan	vulcanos	vulcan	vulcano	N;INDF;MASC;SG	N;MASC;PL
vulcan	vulcano	vulcan	vulcano	N;INDF;MASC;SG	ADJ;MASC;SG
mostenit	heredó	mostenit	heredar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
mostenit	heredados	mostenit	heredado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
mostenit	heredó	mostenit	heredar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
mostenit	heredados	mostenit	heredado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
curentului	actual	curent	actual	N;DEF;MASC;SG	ADJ;SG
destinatie	destinos	destinatie	destino	N;INDF;FEM;SG	N;MASC;PL
destinatie	destinos	destinatie	destino	N;INDF;FEM;SG	N;MASC;PL
hawaii	hawái	hawai	hawái	PROPN	N;FEM;SG
hawaii	hawaii	hawai	hawaii	PROPN	N;MASC;SG
hawaii	hawai	hawai	hawai	PROPN	N;FEM;SG
baby	bebe	baby	beber		N;MASC;SG
baby	nena	baby	nena		N;FEM;SG
baby	bebé	baby	bebé		N;MASC;SG
baby	nene	baby	nene		N;MASC;SG
baby	baby	baby	baby		N
danez	danés	danez	danés	ADJ;INDF;MASC;SG	N;MASC;SG
danez	daneses	danez	danés	ADJ;INDF;MASC;SG	N;MASC;PL
danez	dinamarca	danez	dinamarco	ADJ;INDF;MASC;SG	N;FEM;SG
raportat	informó	raporta	informar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
acoperis	tejado	acoperis	tejado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
acoperis	tejados	acoperis	tejado	N;INDF;MASC;SG	N;MASC;PL
acoperis	tejado	acoperis	tejado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
acoperis	tejados	acoperis	tejado	N;INDF;MASC;SG	N;MASC;PL
acoperis	tejado	acoperis	tejado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
acoperis	tejados	acoperis	tejado	N;INDF;MASC;SG	N;MASC;PL
acoperis	tejado	acoperis	tejado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
legala	legales	legală	legal	ADJ;DEF;FEM;SG	ADJ;PL
legala	jurídicas	legală	jurídico	ADJ;DEF;FEM;SG	ADJ;FEM;PL
civili	civil	civil	civil	N;INDF;MASC;PL	ADJ;SG
civili	civiles	civil	civil	N;INDF;MASC;PL	ADJ;PL
elisabeth	isabel	elisabeth	isabel	PROPN	N;FEM;SG
elisabeth	elisabeth	elisabeth	elisabeth	PROPN	N;FEM;SG
citeste	leído	citesc	leer	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;V.PTCP
citeste	lea	citesc	leer	V;IND;SG;3;PRS;FIN	V;IMP;SG;3;FIN
citeste	lectura	citesc	lectura	V;IND;SG;3;PRS;FIN	N;FEM;SG
citeste	leído	citesc	leer	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;V.PTCP
citeste	lea	citesc	leer	V;IND;SG;3;PRS;FIN	V;IMP;SG;3;FIN
citeste	lectura	citesc	lectura	V;IND;SG;3;PRS;FIN	N;FEM;SG
variate	variada	variat	variado	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
variate	variado	variat	variado	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
bros	bros	bros	bros	PROPN	N;MASC;SG
prabusit	estrelló	prabusi	estrellar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	chocó	prabusi	chocar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
prabusit	colapsó	prabusi	colapsar	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
clasificate	clasificado	clasificat	clasificado	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
clasificate	clasificada	clasificat	clasificado	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
pic	pic	pic	pic	ADV	N
pic	cfp	pic	cfp	ADV	N;MASC;SG
cereale	grano	cereală	grano	N;INDF;FEM;PL	N;MASC;SG
cereale	cereal	cereală	cereal	N;INDF;FEM;PL	N;MASC;SG
warren	madriguera	warren	madriguera	PROPN	N;FEM;SG
warren	warren	warren	warren	PROPN	PROPN
parlamentara	parlamentarias	parlamentar	parlamentario	N;DEF;FEM;SG	ADJ;FEM;PL
parlamentara	parlamentaria	parlamentar	parlamentario	N;DEF;FEM;SG	ADJ;FEM;SG
parlamentara	parlamentarios	parlamentar	parlamentario	N;DEF;FEM;SG	N;MASC;PL
ferenc	ferenc	ferenc	ferenc	PROPN	N;MASC;SG
basel	basilea	basel	basilea	PROPN	N;FEM;SG
étienne	étienne	étienne	étenner	PROPN	N;SG
étienne	etienne	étienne	etenne	PROPN	N;SG
absolvent	graduado	absolvent	graduado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
absolvent	graduados	absolvent	graduado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
islamica	islámico	islamică	islámico	N;DEF;FEM;SG	ADJ;MASC;SG
islamica	islámica	islamică	islámico	N;DEF;FEM;SG	ADJ;FEM;SG
islamica	islámicas	islamică	islámico	N;DEF;FEM;SG	ADJ;FEM;PL
islamica	islámicos	islamică	islámico	N;DEF;FEM;SG	ADJ;MASC;PL
deriva	deriva	deriva	derivar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
deriva	deriva	deriva	derivar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
deriva	deriva	deriva	derivar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
balta	pond	baltă	pond	N;DEF;FEM;SG	PROPN
aires	aires	aires	aire	PROPN	N;MASC;PL
roberts	roberts	roberts	robert	PROPN	PROPN
amandoi	ambos	amandoi	ambos		NUM;MASC;PL
amandoi	ambas	amandoi	ambos		NUM;FEM;PL
amandoi	tanto	amandoi	tanto		ADV
tennessee	tennessee	tennessee	tennesse	PROPN	N;MASC;SG
oslo	oslo	oslo	oslo	PROPN	N;MASC;SG
turner	turner	turner	turner	PROPN	N;SG
adaugate	añadido	adauga	añadido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
adaugate	añadida	adauga	añadido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
adaugate	añadió	adauga	añadir	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
adaugate	agregó	adauga	agregar	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
adaugate	agregado	adauga	agregar	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
interzisa	prohibida	interzisa	prohibido	N;DEF;FEM;SG	ADJ;FEM;SG;V.PTCP
interzisa	prohibido	interzisa	prohibido	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
interzisa	prohibidas	interzisa	prohibido	N;DEF;FEM;SG	ADJ;FEM;PL;V.PTCP
interzisa	prohibidos	interzisa	prohibido	N;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
interzisa	prohibida	interzisa	prohibido	N;DEF;FEM;SG	ADJ;FEM;SG;V.PTCP
interzisa	prohibido	interzisa	prohibido	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
interzisa	prohibidas	interzisa	prohibido	N;DEF;FEM;SG	ADJ;FEM;PL;V.PTCP
interzisa	prohibidos	interzisa	prohibido	N;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
contactul	contactar	contact	contactar	N;DEF;MASC;SG	V;NFIN
contactul	contactos	contact	contacto	N;DEF;MASC;SG	N;MASC;PL
contactul	contacta	contact	contacta	N;DEF;MASC;SG	V;IND;SG;3;PRS;FIN
alexandre	alexandre	alexandre	alexandre	PROPN	PROPN
claudia	claudia	claudie	claudia	PROPN	N;FEM;SG
placut	gustado	placut	gustar	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
placut	gustaba	placut	gustar	N;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
placut	agradable	placut	agradable	N;INDF;MASC;SG	ADJ;SG
placut	pleasant	placut	pleasant	N;INDF;MASC;SG	N;MASC;PL
placut	agradables	placut	agradable	N;INDF;MASC;SG	ADJ;PL
placut	placentera	placut	placentera	N;INDF;MASC;SG	ADJ;FEM;SG
evans	evans	evans	evan	PROPN	PROPN
wien	wien	wien	wien	PROPN	PROPN
declaratie	enunciado	declaratie	enunciado	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
confera	confieren	confera	conferir	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
confera	confiere	confera	conferir	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
intrand	entrar	intrand	entrar		V;NFIN
intrand	entrando	intrand	entrar		V;V.MSDR
