hugh	hugh	hugh	hugh		
uzayı	rummet	uza	rum		N;DEF;NEUT;SG
uzayı	mellemrum	uza	mellemrum		N;INDF;NEUT;PL
uzayı	plads	uza	plads		N;INDF;MASC+FEM;SG
uzayı	rumforskning	uza	rumforskning		N;INDF;MASC+FEM;SG
uzayı	rum	uza	rum		N;INDF;NEUT;SG
ahit	testamente	ahit	testament		N;INDF;MASC+FEM;PL
por	por	por	por		
montana	montana	monta	montana		
orda	der	ora	der	N;ESS;SG;3	ADV
nesli	generation	nesli	generation		N;INDF;MASC+FEM;SG
nesli	generationen	nesli	generation		N;DEF;MASC+FEM;SG
nesli	generering	nesli	generering		N;INDF;MASC+FEM;SG
nesli	generations	nesli	generation		N;GEN;INDF;MASC+FEM;SG
koltuk	hjemsted	koltuk	hjemsted	N;NOM;SG;3	ADJ
koltuk	lænestole	koltuk	lænestol	N;NOM;SG;3	N;INDF;MASC+FEM;PL
yara	arret	yara	arr		N;DEF;NEUT;SG
yara	ar	yara	ar		
yara	personskade	yara	personskade		N;INDF;MASC+FEM;SG
yara	skade	yara	skade		N;INDF;MASC+FEM;SG
yara	skader	yara	skade		N;INDF;MASC+FEM;PL
yara	såre	yara	såre		ADJ;INDF;SG
yara	såret	yara	sår		N;DEF;NEUT;SG
yara	sår	yara	sår		N;INDF;NEUT;SG
yara	sår	yara	sår		N;INDF;NEUT;SG
yara	ar	yara	ar		
birleşmesi	fusion	birleş	fusion	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
birleşmesi	sammenslutning	birleş	sammenslutning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
birleşmesi	sammenlægning	birleş	sammenlægning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
icd	icd	icd	icd		N;INDF;NEUT;SG
alabama	alabama	alaba	alabama	PROPN;NOM;SG;3	
çevreleyen	omkringliggende	çevrele	omkringliggende	V;PFV;IND;POS;PRS;V.PTCP	ADJ
çevreleyen	omgivende	çevrele	omgive	V;PFV;IND;POS;PRS;V.PTCP	ADJ
cole	cole	cole	cole		N;INDF;MASC+FEM;SG
bombası	granat	bomba	granat		N;INDF;MASC+FEM;SG
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	
masters	masters	masters	mast		N;GEN;INDF;MASC+FEM;PL
masters	mestre	masters	mester		N;INDF;MASC+FEM;PL
politikalar	politik	politika	politik	N;NOM;PL;3	N;INDF;MASC+FEM;SG
engeller	blokke	engel	blok		N;INDF;NEUT;SG
engeller	blokeringer	engel	blokering		N;INDF;MASC+FEM;PL
engeller	klodser	engel	klods		N;INDF;MASC+FEM;PL
engeller	forhindringer	engel	forhindring		N;INDF;MASC+FEM;PL
engeller	hindringer	engel	hindring		N;INDF;MASC+FEM;PL
engeller	barrierer	engel	barriere		N;INDF;MASC+FEM;PL
engeller	forhindringer	engel	forhindring		N;INDF;MASC+FEM;PL
engeller	hindringer	engel	hindring		N;INDF;MASC+FEM;PL
lorenzo	lorenzo	lorenzo	lorenzo	PROPN;NOM;SG;3	
çarpışma	virkning	çarpış	virkning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
çarpışma	indvirkning	çarpış	indvirkning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
çarpışma	virkninger	çarpış	virkning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;PL
çarpışma	impact	çarpış	impact	V;PFV;NOM;IND;POS;PRS;V.MSDR	
çarpışma	sammenstød	çarpış	sammenstød	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;NEUT;SG
çarpışma	sammenstød	çarpış	sammenstød	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;NEUT;SG
çarpışma	kollision	çarpış	kollision	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC+FEM;SG
yıkıldı	sønderknust	yıkıl	sønderknust	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC+FEM;SG
atmosfer	atmosfærer	atmosfer	atmosfære		N;INDF;NEUT;PL
atmosfer	atmosfære	atmosfer	atmosfære		N;INDF;MASC+FEM;SG
atmosfer	stemning	atmosfer	stemning		N;INDF;MASC+FEM;SG
atmosfer	atmosfæren	atmosfer	atmosfær		N;DEF;MASC+FEM;SG
atmosfer	atmosfæriske	atmosfer	atmosfærisk		ADJ;PL
atmosfer	atmosfærisk	atmosfer	atmosfærisk		ADJ;INDF;SG
walt	walt	walt	walt		
primera	primera	primer	primera	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
grace	nåde	grace	nåde		N;INDF;MASC+FEM;SG
grace	grace	grace	grace		
haberleşme	meddelelse	haberleş	meddelelse		N;INDF;MASC+FEM;SG
haberleşme	kommunikation	haberleş	kommunikation		N;INDF;MASC+FEM;SG
haberleşme	telekommunikation	haberleş	telekommunikation		N;INDF;MASC+FEM;SG
haberleşme	telekommunikation	haberleş	telekommunikation		N;INDF;MASC+FEM;SG
haberleşme	kommunikation	haberleş	kommunikation		N;INDF;MASC+FEM;SG
haberleşme	meddelelser	haberleş	meddelelse		N;INDF;MASC+FEM;PL
cena	cena	cena	cena		N;INDF;MASC+FEM;SG
vandal	vandal	vandal	vandal		
sportif	sporty	sportif	sporty		N;INDF;MASC+FEM;SG
jung	jung	jung	jung		
sihirli	magi	sihirli	magi		N;INDF;MASC+FEM;SG
sihirli	trylleri	sihirli	trylleri		N;INDF;NEUT;SG
sihirli	magic	sihirli	magic		
sihirli	magiske	sihirli	magisk		ADJ;PL
sihirli	magisk	sihirli	magisk		ADJ;INDF;SG
sihirli	magiske	sihirli	magisk		ADJ;PL
sihirli	magisk	sihirli	magisk		ADJ;INDF;SG
savundu	forsvaret	savun	forsvar	V;PFV;IND;SG;3;POS;PST	N;DEF;NEUT;SG
bozukluğu	uroligheder	bozukluk	urolighed	N;NOM;SG;3	N;INDF;MASC+FEM;PL
korsan	hacker	kors	hacke	V;PFV;SG;2;POS;PRS	N;INDF;MASC+FEM;SG
korsan	sørøver	kors	sørøve	V;PFV;SG;2;POS;PRS	N;INDF;MASC+FEM;SG
korsan	pirat	kors	pirat	V;PFV;SG;2;POS;PRS	N;INDF;MASC+FEM;SG
korsan	piraterne	kors	pirat	V;PFV;SG;2;POS;PRS	N;DEF;NEUT;PL
korsan	sørøvere	kors	sørøver	V;PFV;SG;2;POS;PRS	N;INDF;MASC+FEM;PL
korsan	pirater	kors	pirater	V;PFV;SG;2;POS;PRS	N;INDF;NEUT;PL
church	church	church	church	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
church	kirken	church	kirk	PROPN;NOM;SG;3	N;DEF;MASC+FEM;SG
church	kirke	church	kirke	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
ot	gryde	ot	gryde		N;INDF;MASC+FEM;SG
ot	krukke	ot	krukke		N;INDF;MASC+FEM;SG
ot	pot	ot	pot		
ot	potte	ot	potte		N;INDF;MASC+FEM;SG
ot	græs	ot	græs		N;INDF;NEUT;SG
ot	ukrudt	ot	ukrudt		N;INDF;NEUT;SG
ot	pot	ot	pot		
ot	hash	ot	hash		N;INDF;MASC+FEM;SG
ot	græs	ot	græs		N;INDF;NEUT;SG
izleri	sporer	iz	spore	N;ACC;PL;3	V;IND;PRS;FIN;ACT
izleri	spor	iz	spor	N;ACC;PL;3	N;INDF;NEUT;SG
everton	everton	everton	everton		
fukuoka	fukuoka	fukuoka	fukuoka	PROPN;NOM;SG;3	
wagner	wagner	wagner	wagner	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
marvel	vidunder	marvel	vidunder		N;INDF;NEUT;SG
dikdörtgen	rektangulær	dik	rektangulær		N;INDF;MASC+FEM;SG
dikdörtgen	rektangulære	dik	rektangulær		ADJ;PL
split	flækker	split	flække	PROPN;NOM;SG;3	V;IND;PRS;FIN;ACT
split	delt	split	delt	PROPN;NOM;SG;3	V;INDF;SG;PST;V.PTCP
split	opdelt	split	opdele	PROPN;NOM;SG;3	V;INDF;SG;PST;V.PTCP
split	split	split	split	PROPN;NOM;SG;3	
olympique	olympique	olympique	olympique	PROPN;NOM;SG;3	
tugay	brigade	tugay	brigade		N;INDF;MASC+FEM;SG
markası	mærke	marka	mærke	N;NOM;SG;3	V;NFIN;ACT
kinetik	kinetiske	kinetik	kinetisk		ADJ;PL
öldürdü	dræbte	öl	dræbe	V;PFV;IND;SG;3;POS;PST;CAUS	V;PL;PST;V.PTCP
öldürdü	nedlægger	öl	nedlægge	V;PFV;IND;SG;3;POS;PST;CAUS	V;IND;PRS;FIN;ACT
fransızlar	fransk	fransız	fransk	N;NOM;PL;3	ADJ;INDF;SG
fransızlar	franskmand	fransız	franskmand	N;NOM;PL;3	N;INDF;MASC+FEM;SG
fransızlar	french	fransız	french	N;NOM;PL;3	
fransızlar	franske	fransız	fransk	N;NOM;PL;3	ADJ;PL
américa	américa	américa	américa	N;NOM;SG;3	
esen	blæser	es	blæse		V;IND;PRS;FIN;ACT
esen	blæse	es	blæse		V;NFIN;ACT
esen	puster	es	puste		V;IND;PRS;FIN;ACT
rosa	rosa	rosa	rosa	PROPN;NOM;SG;3	
self	self	self	self		
ein	ein	ein	ein	INTJ	
bakteri	bakterie	bakteri	bakterie		N;INDF;MASC+FEM;SG
bakteri	bakteriel	bakteri	bakteriel		N;INDF;MASC+FEM;SG
bakteri	bakterier	bakteri	bakterie		N;INDF;MASC+FEM;PL
bakteri	bakterie	bakteri	bakterie		N;INDF;MASC+FEM;SG
bakteri	bakterie	bakteri	bakterie		N;INDF;MASC+FEM;SG
bakteri	bakterien	bakteri	bakterie		N;DEF;MASC+FEM;SG
özlem	længes	özlem	længes		V;IND;PRS;FIN;PASS
özlem	længsel	özlem	længsel		N;INDF;MASC+FEM;SG
özlem	længtes	özlem	længe		V;IND;PST;FIN;ACT
özlem	længes	özlem	længes		V;IND;PRS;FIN;PASS
özlem	længsel	özlem	længsel		N;INDF;MASC+FEM;SG
özlem	trangen	özlem	trange		N;DEF;MASC+FEM;SG
özlem	begær	özlem	begær		N;INDF;NEUT;SG
özlem	trang	özlem	trang		N;INDF;MASC+FEM;SG
tekil	entydigt	tekil	entydig		ADV
tekil	unik	tekil	unik		ADJ;INDF;MASC+FEM;SG
tekil	enestående	tekil	enestående		ADJ
tekil	unikt	tekil	unikt		ADJ;INDF;NEUT;SG
tekil	unikke	tekil	unik		ADJ;PL
abdi	abdi	abdi	abdi		PROPN
leningrad	leningrad	leningrad	leningrad		N;INDF;MASC+FEM;SG
castle	slot	cast	slå		N;INDF;NEUT;SG
castle	borg	cast	borg		N;INDF;MASC+FEM;SG
castle	castle	cast	castle		N;INDF;MASC+FEM;SG
castle	borgen	cast	borgen		N;DEF;MASC+FEM;SG
castle	slottet	cast	slotte		N;DEF;NEUT;SG
rain	regn	rain	regn		N;INDF;MASC+FEM;SG
rain	regnvejr	rain	regnvejr		N;INDF;NEUT;SG
rain	rain	rain	rain		
eugene	eugene	eugen	eug	PROPN;NOM;SG;3	N;DEF;MASC+FEM;PL
çakmak	lightere	çak	light		N;INDF;MASC+FEM;PL
çakmak	lysere	çak	lys		ADJ;CMPR
çakmak	lettere	çak	let		ADJ;CMPR
çakmak	lighter	çak	light		N;INDF;MASC+FEM;SG
evrimsel	evolutionære	evrimsel	evolutionær		ADJ;PL
duyar	hører	duy	høre		V;IND;PRS;FIN;ACT
spin	spin	spin	spin		N;INDF;NEUT;SG
kaldırma	fjerne	kaldırma	fjerne		V;NFIN;ACT
kaldırma	fjernelse	kaldırma	fjernelse		N;INDF;MASC+FEM;SG
kaldırma	fjerner	kaldırma	fjerne		V;IND;PRS;FIN;ACT
kaldırma	elevator	kaldırma	elevator		N;INDF;MASC+FEM;SG
kaldırma	lift	kaldırma	lift		N;INDF;MASC+FEM;SG
kaldırma	løfte	kaldırma	løfte		V;NFIN;ACT
kaldırma	løft	kaldırma	løft		N;INDF;NEUT;SG
kaldırma	løfte	kaldırma	løfte		V;NFIN;ACT
kaldırma	løft	kaldırma	løft		N;INDF;NEUT;SG
kaldırma	afhentning	kaldırma	afhentning		N;INDF;MASC+FEM;SG
kaldırma	fjernelse	kaldırma	fjernelse		N;INDF;MASC+FEM;SG
emmanuel	emmanuel	emmanuel	emmanuel		
gregory	gregory	gregory	gregory		
gregory	gregor	gregory	gregor		N;INDF;MASC+FEM;SG
aşı	vacciner	aş	vaccin		N;INDF;MASC+FEM;PL
aşı	vaccine	aş	vaccin		N;INDF;MASC+FEM;SG
aşı	vacciner	aş	vaccin		N;INDF;MASC+FEM;PL
aşı	vaccinen	aş	vaccin		N;DEF;MASC+FEM;SG
aşı	vaccine	aş	vaccin		N;INDF;MASC+FEM;SG
feneri	fyr	fener	fyr		N;INDF;MASC+FEM;SG
feneri	fyrtårn	fener	fyrtårn		N;INDF;NEUT;SG
atanan	tildelte	ata	tildele		V;IND;PST;FIN;ACT
atanan	tildelt	ata	tildele		V;INDF;SG;PST;V.PTCP
atanan	anvist	ata	anvise		V;INDF;SG;PST;V.PTCP
atanan	udnævnt	ata	udnævne		V;INDF;SG;PST;V.PTCP
atanan	udnævnte	ata	udnævne		V;IND;PST;FIN;ACT
atanan	udpeget	ata	udpege		V;INDF;SG;PST;V.PTCP
atanan	udnævnes	ata	udnævne		V;IND;PRS;FIN;PASS
ahlak	etisk	ahlak	etisk	N;NOM;SG;3	ADJ;INDF;SG
ahlak	moralsk	ahlak	moralsk	N;NOM;SG;3	ADV
ahlak	moralske	ahlak	moralsk	N;NOM;SG;3	ADJ;PL
dimitri	dmitry	dimitri	dmitry		
dimitri	dmitri	dimitri	dmitri		
dimitri	dimitri	dimitri	dimitri		
dimitri	dimitri	dimitri	dimitri		
duyuruldu	annoncerede	duyur	annoncere	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;ACT
duyuruldu	meddelte	duyur	meddele	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;ACT
malmö	malmø	malmö	malmø	PROPN;NOM;SG;3	PROPN
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	PROPN
sözde	angiveligt	söz	angiveligt		ADV
sözde	påstås	söz	påstås		V;IND;PRS;FIN;PASS
sözde	antageligt	söz	antagelig		ADV
sözde	påståede	söz	påstå		V;PL;PST;V.PTCP
sözde	påstået	söz	påstå		V;INDF;SG;PST;V.PTCP
sözde	angiveligt	söz	angiveligt		ADV
sözde	påstået	söz	påstå		V;INDF;SG;PST;V.PTCP
şiddetle	stærkt	şiddet	stærkt	N;INS;SG;3	ADV
şiddetle	kraftigt	şiddet	kraftigt	N;INS;SG;3	ADV
şiddetle	voldsomt	şiddet	voldsomt	N;INS;SG;3	ADV
şiddetle	voldeligt	şiddet	voldeligt	N;INS;SG;3	ADJ;INDF;NEUT;SG
şiddetle	voldshandlinger	şiddet	voldshandling	N;INS;SG;3	N;INDF;MASC+FEM;PL
şiddetle	heftigt	şiddet	heftigt	N;INS;SG;3	ADV
ajan	agenterne	aj	agent		N;DEF;MASC+FEM;PL
ajan	agenter	aj	agent		N;INDF;MASC+FEM;PL
ajan	befuldmægtigede	aj	befuldmægtige		V;PL;PST;V.PTCP
ajan	befuldmægtiget	aj	befuldmægtige		N;DEF;NEUT;SG
ajan	agent	aj	agent		N;INDF;MASC+FEM;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	
yasin	yasin	yasin	yasin		N;INDF;MASC+FEM;SG
yasin	yassin	yasin	yassin		
kaçak	runner	kaçak	runne		N;INDF;MASC+FEM;PL
kaçak	løber	kaçak	løbe		V;IND;PRS;FIN;ACT
kaçak	flygtning	kaçak	flygtning		N;INDF;MASC+FEM;SG
kaçak	løbsk	kaçak	løbsk		ADJ;INDF;SG
çevirmen	tolk	çevir	tolk		N;INDF;MASC+FEM;SG
çevirmen	oversætter	çevir	oversætte		V;IND;PRS;FIN;ACT
çevirmen	tolk	çevir	tolk		N;INDF;MASC+FEM;SG
çevirmen	fortolker	çevir	fortolker		V;IND;PRS;FIN;ACT
çevirmen	tolke	çevir	tolke		V;NFIN;ACT
çevirmen	oversat	çevir	oversat		V;INDF;SG;PST;V.PTCP
çevirmen	oversættelse	çevir	oversættelse		N;INDF;MASC+FEM;SG
korunma	beskyttelse	korun	beskyttelse		N;INDF;MASC+FEM;SG
işçiler	ansatte	işçi	ansætte	N;NOM;PL;3	V;PL;PST;V.PTCP
işçiler	beskæftigede	işçi	beskæftige	N;NOM;PL;3	V;PL;PST;V.PTCP
devil	djævelen	devil	djævel		N;DEF;MASC+FEM;SG
devil	devil	devil	devil		
devil	djævel	devil	djævel		N;INDF;MASC+FEM;SG
connecticut	connecticut	connecticut	connecticut		N;INDF;MASC+FEM;SG
uyku	nap	uyku	nap		N;INDF;NEUT;SG
uyku	lur	uyku	lur		N;INDF;MASC+FEM;SG
uyku	sover	uyku	sove		V;IND;PRS;FIN;ACT
uyku	sleep	uyku	sleep		N;INDF;MASC+FEM;SG
uyku	søvn	uyku	søvn		N;INDF;MASC+FEM;SG
uyku	sove	uyku	sove		V;NFIN;ACT
uyku	sov	uyku	sove		V;IND;PST;FIN;ACT
uyku	sovende	uyku	sovende		
uyku	sover	uyku	sove		V;IND;PRS;FIN;ACT
uyku	sove	uyku	sove		V;NFIN;ACT
meksikalı	mexicanske	meksikalı	mexicansk		ADJ;PL
meksikalı	mexicansk	meksikalı	mexicansk		ADJ;INDF;SG
meksikalı	mexicaner	meksikalı	mexicaner		N;INDF;MASC+FEM;SG
tanıma	genkendelse	tanım	genkendelse		N;INDF;MASC+FEM;SG
tanıma	anerkendelse	tanım	anerkendelse		N;INDF;MASC+FEM;SG
tanıma	erkendelse	tanım	erkendelse		N;INDF;MASC+FEM;SG
colin	colin	colin	colin		N;INDF;MASC+FEM;SG
golcü	målscorer	golcü	målscore		N;INDF;MASC+FEM;SG
kubbe	kuppel	kubbe	kuppel		N;INDF;MASC+FEM;SG
kubbe	kuplen	kubbe	kupdel		N;DEF;MASC+FEM;SG
rakam	cifre	rakam	ciffer		N;INDF;NEUT;SG
rakam	ciffer	rakam	ciffer		N;INDF;NEUT;SG
rakam	cifret	rakam	cifter		N;DEF;NEUT;SG
rakam	ciffer	rakam	ciffer		N;INDF;NEUT;SG
rakam	tal	rakam	tal		N;INDF;NEUT;PL
rakam	antal	rakam	antal		N;INDF;NEUT;SG
rakam	nummer	rakam	nummer		N;INDF;NEUT;SG
jules	jules	jules	jules		N;INDF;MASC+FEM;SG
görüşmeler	interview	görüşme	interview	N;NOM;PL;3	N;INDF;NEUT;SG
görüşmeler	interviewer	görüşme	interviewe	N;NOM;PL;3	V;IND;PRS;FIN;ACT
görüşmeler	møder	görüşme	møde	N;NOM;PL;3	V;IND;PRS;FIN;ACT
imal	fremstillet	imal	fremstille		V;INDF;SG;PST;V.PTCP
imal	fremstillede	imal	fremstille		V;IND;PST;FIN;ACT
imal	produceret	imal	producere		V;INDF;SG;PST;V.PTCP
patrik	patriark	patrik	patriark		N;INDF;MASC+FEM;SG
marsilya	marseille	marsilya	marseille	N;NOM;SG;3	
