med	med	med	med	ADP	N;INAN;NOM;MASC;SG;POS
berg	hor	berg	hora	N;NOM;INDF;NEUT;SG	N;GEN;FEM;PL;POS
indonesien	indonésie	indonesien	indonésie	PROPN;NOM	N;NOM;FEM;SG;POS
usa	usa	usa	usa	PROPN;NOM	PROPN;INAN;MASC;PL;POS
mars	března	mars	březen	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
mars	pochodovat	mars	pochodovat	N;NOM;INDF;MASC+FEM;SG	V;IPFV;POS;NFIN
mindre	menší	lite	malý	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
mindre	menší	lite	malý	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
mindre	nezletilý	lite	zletilý	ADV;CMPR	ADJ;ANIM;NOM;MASC;SG;NEG
mindre	menší	lite	malý	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
norr	severní	norr	severní	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
oktober	října	oktober	říjen	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
man	člověk	man	člověk	PRO;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG;POS
man	muž	man	muž	PRO;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG;POS
man	man	man	man	PRO;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
större	major	stor	major	ADJ;NOM;CMPR	N;ANIM;NOM;MASC;SG;POS
större	větších	stor	velký	ADJ;NOM;CMPR	ADJ;GEN;CMPR;MASC;PL;POS
centrala	ústřední	central	ústřední	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
centrala	centrální	central	centrální	ADJ;NOM;PL	ADJ;NOM;MASC;SG;POS
centrala	centrála	central	centrála	ADJ;NOM;PL	N;NOM;FEM;SG;POS
nordväst	severozápadním	nordväst	severozápadní	ADV	ADJ;INS;MASC;SG;POS
nordväst	severozápadní	nordväst	severozápadní	ADV	ADJ;NOM;MASC;SG;POS
andra	druhé	annan	druhý	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	druhá	annan	druhý	PRO;INDF;PL	ADJ;NOM;FEM;SG
andra	druhý	annan	druhý	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;SG
andra	ostatní	annan	ostatní	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;PL;POS
andra	jiná	annan	jiný	PRO;INDF;PL	ADJ;NOM;FEM;SG;POS
andra	jiné	annan	jiný	PRO;INDF;PL	ADJ;NOM;NEUT;SG;POS
andra	jiný	annan	jiný	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;SG;POS
andra	ostatní	annan	ostatní	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;PL;POS
andra	jiní	annan	jiný	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;PL;POS
andra	jiné	annan	jiný	PRO;INDF;PL	ADJ;NOM;NEUT;SG;POS
nordost	severovýchodní	nordost	severovýchodní	ADV	ADJ;NOM;MASC;SG;POS
nordost	severovýchod	nordost	severovýchod	ADV	ADJ;GEN;MASC;SG;POS
nog	nog	nog	nog	ADV	PROPN;NOM;MASC;SG;POS
namngivna	pojmenoval	namngiven	pojmenovat	ADJ;NOM;PL;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
söder	jižní	söder	jižní	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
mycket	moc	mycket	moc	ADV	N;NOM;FEM;SG;POS
mycket	mnoho	mycket	mnoho	ADV	DET;NOM
regionen	regionu	region	region	N;NOM;DEF;MASC+FEM;SG	N;INAN;DAT;MASC;SG;POS
ottawa	ottawě	ottal	ottaw	PROPN;NOM	N;DAT;FEM;SG;POS
närmaste	nejblíže	nära	blízko	ADJ;NOM;DEF;RL	ADV;RL;POS
november	listopadu	november	listopad	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
maj	májový	maj	májový	N;NOM;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
maj	května	maj	květen	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	V;IND;PL;3;POS;PRS;FIN;ACT
cest	selč	cest	selč		N;NOM;MASC;SG;POS
platt	platt	platt	platt	ADV	PROPN;ANIM;NOM;MASC;SG;POS
platt	plochý	platt	plochý	ADV	ADJ;INAN;NOM;MASC;SG;POS
platt	byt	platt	byt	ADV	N;INAN;NOM;MASC;SG;POS
platt	ploché	platt	plochý	ADV	ADJ;NOM;NEUT;SG;POS
platt	plochá	platt	plochat	ADV	ADJ;NOM;FEM;SG;POS
född	narodil	född	narodit	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
född	narozena	född	narozený	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;POS;V.PTCP;PASS
finland	finsko	finland	finský	PROPN;NOM	PROPN;NOM;NEUT;SG;POS
samhälle	společnosti	samhälle	společnost	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
samhälle	komunity	samhälle	komunita	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
består	složil	bestå	složit	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
består	složena	bestå	složený	V;IND;PRS;FIN;ACT	ADJ;POS;V.PTCP;PASS
platser	místy	plats	místy	N;NOM;INDF;MASC+FEM;PL	ADV
platser	míst	plats	místo	N;NOM;INDF;MASC+FEM;PL	N;GEN;NEUT;PL;POS
första	nejdřív	en	brzy	ADJ;NOM	ADV;RL;POS
första	nejprve	en	nejprve	ADJ;NOM	ADV
första	nejdříve	en	brzy	ADJ;NOM	ADV;RL;POS
fick	mám	få	mít	V;IND;PST;FIN;ACT	V;IND;SG;1;POS;PRS;FIN;ACT
fick	přijata	få	přijatý	V;IND;PST;FIN;ACT	ADJ;POS;V.PTCP;PASS
fick	přijaté	få	přijatý	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;PL;POS
fick	obdržené	få	obdržený	V;IND;PST;FIN;ACT	ADJ;NOM;MASC;PL;POS
sydväst	jihozápadní	sydväst	jihozápadní	ADV	ADJ;NOM;MASC;SG;POS
sydväst	jihozápad	sydväst	jihozápad	ADV	N;INAN;NOM;MASC;SG;POS
området	oblasti	område	oblast	N;NOM;DEF;NEUT;SG	N;NOM;FEM;PL;POS
australien	austrálie	australien	austrálie	PROPN;NOM	PROPN;NOM;FEM;SG;POS
april	dubna	april	duben	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
bar	baru	ba	bar	N;NOM;INDF;NEUT;SG	N;INAN;GEN;MASC;SG;POS
sydost	jihovýchodní	sydost	jihovýchodní	ADV	ADJ;NOM;MASC;SG;POS
hans	hans	han	hans	PRO;DEF	PROPN;ANIM;NOM;MASC;SG;POS
hans	hansi	han	hans	PRO;DEF	PROPN;ANIM;DAT;MASC;SG;POS
hans	hanse	han	hans	PRO;DEF	N;ANIM;ACC;MASC;SG;POS
hans	jeho	han	jeho	PRO;DEF	DET;3
södra	jih	södra	jih	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
södra	södra	södra	södra	ADJ;NOM;DEF;SG	N;NOM;MASC;SG;POS
toppen	skvělý	topp	skvělý	N;NOM;DEF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
toppen	horní	topp	horní	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
sverige	švédsko	sverige	švédský	PROPN;NOM	PROPN;NOM;NEUT;SG;POS
östra	východ	östra	východ	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
cet	seč	cet	seč		N;NOM;MASC;SG;POS
genom	skrz	genom	skrz	ADP	
genom	prostřednictvím	genom	prostřednictví	ADP	N;INS;NEUT;SG;POS
kilometer	kilometrů	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
kilometer	kilometr	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
kilometer	kilometrů	kilomet	kilometr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
norra	sever	norra	sever	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
talet	řeči	tal	řeč	N;NOM;DEF;NEUT;SG	N;NOM;FEM;PL;POS
detta	tento	denna	tento	PRO;DEF;NEUT;SG	DET;NOM;MASC;SG
detta	toto	denna	tento	PRO;DEF;NEUT;SG	DET;NOM;NEUT;SG
detta	tohle	denna	tenhle	PRO;DEF;NEUT;SG	DET;NOM;NEUT;SG
mot	stk	mot	stkank	ADP	PROPN;FEM;POS
västra	west	onstra	west	ADJ;NOM;DEF;SG	PROPN;INAN;NOM;MASC;SG;POS
västra	západ	onstra	západ	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
västra	západ	onstra	západ	ADJ;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
västra	western	onstra	western	ADJ;NOM;DEF;SG	PROPN;INAN;NOM;MASC;SG;POS
del	dele	del	dele	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
namn	názvy	namn	název	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
namn	jména	namn	jméno	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL;POS
vilket	kterou	vilken	který	PRO;INDF;NEUT;SG	DET;ACC;FEM;SG
vilket	který	vilken	který	PRO;INDF;NEUT;SG	DET;NOM;MASC;SG
vilket	která	vilken	který	PRO;INDF;NEUT;SG	DET;NOM;FEM;SG
vilket	které	vilken	který	PRO;INDF;NEUT;SG	DET;NOM;NEUT;PL
svenska	švédský	svensk	švédský	ADJ;NOM;PL	ADJ;ANIM;NOM;MASC;SG;POS
svenska	švédská	svensk	švédský	ADJ;NOM;PL	ADJ;NOM;FEM;SG;POS
svenska	svenska	svensk	svensko	ADJ;NOM;PL	PROPN;NOM;FEM;SG;POS
svensk	švédský	svensk	švédský	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
svensk	švédská	svensk	švédský	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
svensk	švédské	svensk	švédský	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL;POS
när	když	när	když	ADV	CONJ
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
frankrike	francii	frankrike	francie	PROPN;NOM	PROPN;ACC;FEM;SG;POS
frankrike	francie	frankrike	francie	PROPN;NOM	PROPN;NOM;FEM;SG;POS
död	smrti	död	smrt	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG;POS
död	mrtvá	död	mrtvý	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
död	mrtvý	död	mrtvý	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
död	mrtví	död	mrtvý	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;PL;POS
kulle	kopce	kulle	kopec	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL;POS
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
kina	čína	kina	čína	PROPN;NOM	PROPN;NOM;FEM;SG;POS
kina	číně	kina	čína	PROPN;NOM	PROPN;DAT;FEM;SG;POS
kina	člr	kina	člověk	PROPN;NOM	PROPN;FEM;POS
est	est	est	etre	PROPN;NOM	N;NOM;MASC;SG;POS
annat	ostatní	annan	ostatní	PRO;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;PL;POS
annat	jiná	annan	jiný	PRO;INDF;NEUT;SG	ADJ;NOM;FEM;SG;POS
annat	jiné	annan	jiný	PRO;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS
annat	jiný	annan	jiný	PRO;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
skulle	by	skola	být	V;IND;PST;FIN;ACT	V;COND;FIN
denna	tento	denna	tento	PRO;DEF;MASC+FEM;SG	DET;NOM;MASC;SG
denna	toto	denna	tento	PRO;DEF;MASC+FEM;SG	DET;NOM;NEUT;SG
denna	tohle	denna	tenhle	PRO;DEF;MASC+FEM;SG	DET;NOM;NEUT;SG
from	zbožné	from	zbožný	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG;POS
tropiskt	tropické	tropisk	tropický	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;PL;POS
park	parku	park	park	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
park	zaparkovat	park	zaparkovat	N;NOM;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
hill	kopce	hill	kopec	PROPN;NOM	N;INAN;NOM;MASC;PL;POS
hill	hill	hill	hill	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG;POS
hill	kopec	hill	kopec	PROPN;NOM	N;INAN;NOM;MASC;SG;POS
flera	několik	flera	několik	PRO;INDF;PL	DET;NOM
flera	několika	flera	několik	PRO;INDF;PL	DET;INS
