寺廟	temple	寺廟	temple	N	
無力	nemočna	無力	nemočen	N	ADJ;NOM;FEM;SG
無力	nemočen	無力	nemočen	N	ADJ;NOM;INDF;MASC;SG
節省	prihranek	節省	prihranek	V	N;NOM;MASC;SG
節省	prihrankov	節省	prihranek	V	N;GEN;MASC;PL
節省	varčevanje	節省	varčevanje	V	N;NOM;NEUT;SG
節省	prihranki	節省	prihranek	V	N;NOM;MASC;PL
節省	prihranek	節省	prihranek	V	N;NOM;MASC;SG
節省	reševanje	節省	reševanje	V	N;NOM;NEUT;SG
節省	varčevanje	節省	varčevanje	V	N;NOM;NEUT;SG
節省	shranjevanje	節省	shranjevanje	V	N;NOM;NEUT;SG
磚	brick	磚	brick	N	
水下	podvodno	水下	podvodno	N	ADJ;NOM;NEUT;SG
水下	podvodni	水下	podvoden	N	ADJ;NOM;DEF;MASC;SG
意向	nameni	意向	nameniti	N	V;PFV;IND;SG;3;PRS;FIN
壓制	zatiranje	壓制	zatiranje	V	N;NOM;NEUT;SG
壓制	zatiranje	壓制	zatiranje	V	N;NOM;NEUT;SG
重溫	podoživlja	重溫	podoživljati	N	V;IPFV;IND;SG;3;PRS;FIN
指稱	trditve	指稱	trditev	V	N;NOM;FEM;PL
突襲	racijo	突襲	racija	V	N;ACC;FEM;SG
示	model	示	model	V	N;NOM;MASC;SG
示	vzorec	示	vzorec	V	N;NOM;MASC;SG
示	maneken	示	maneken	V	N;NOM;MASC;SG
示	dokazovanje	示	dokazovanje	V	N;NOM;NEUT;SG
示	prikaz	示	prikaz	V	N;NOM;MASC;SG
示	demo	示	demo	V	N;NOM;MASC;SG
保全	ohrani	保全	ohran	N	V;PFV;IND;SG;3;PRS;FIN
智力	obveščevalna	智力	obveščevalen	N	ADJ;NOM;FEM;SG
智力	intelektualna	智力	intelektualen	N	ADJ;NOM;FEM;SG
智力	intelektualne	智力	intelektualen	N	ADJ;NOM;FEM;PL
智力	intelektualno	智力	intelektualno	N	ADJ;NOM;NEUT;SG
發光	sveti	發光	svet	V	ADJ;NOM;DEF;MASC;SG
發光	sijaj	發光	sijaj	V	N;NOM;MASC;SG
發光	žari	發光	žareti	V	N;NOM;FEM;SG
發光	svetlobni	發光	svetloben	V	ADJ;NOM;MASC;SG
發光	sijaj	發光	sijaj	V	N;NOM;MASC;SG
結盟	zavezništvo	結盟	zavezništvo	V	N;NOM;NEUT;SG
阿拉伯	arabski	阿拉伯	arabski	PROPN	ADJ;NOM;MASC;SG
阿拉伯	arabsko	阿拉伯	arabski	PROPN	ADJ;NOM;NEUT;SG
阿拉伯	arabska	阿拉伯	arabski	PROPN	ADJ;NOM;FEM;SG
窮	bogi	窮	biti		ADJ;NOM;DEF;MASC;SG
窮	ubogi	窮	ubog		ADJ;NOM;MASC;PL
窮	revni	窮	reven		ADJ;NOM;MASC;PL
窮	uboga	窮	ubog		ADJ;NOM;FEM;SG
投球	met	投球	met	V	
投球	smola	投球	smola	V	N;NOM;FEM;SG
銀色	srebrn	銀色	srebrn	N	ADJ;NOM;INDF;MASC;SG
銀色	srebro	銀色	srebro	N	ADJ;NOM;NEUT;SG
銀色	srebrno	銀色	srebrno	N	ADJ;NOM;NEUT;SG
銀色	srebrna	銀色	srebrn	N	ADJ;NOM;FEM;SG
小牛	tele	小牛	tel	PROPN	
小牛	mladič	小牛	mladič	PROPN	N;NOM;MASC;SG
訪談	razgovor	訪談	razgovor	V	N;NOM;MASC;SG
訪談	intervju	訪談	intervju	V	N;NOM;MASC;SG
訪談	intervjuje	訪談	intervjevati	V	N;ACC;MASC;PL
訪談	intervjujev	訪談	intervjujev	V	N;GEN;MASC;PL
訪談	razgovori	訪談	razgovor	V	N;NOM;MASC;PL
訪談	pogovori	訪談	pogovor	V	N;NOM;MASC;PL
就	otvoritev	就	otvoritev	ADV	N;NOM;FEM;SG
噴發	izbruha	噴發	izbruh	V	N;GEN;MASC;SG
噴發	izbruh	噴發	izbruh	V	N;NOM;MASC;SG
噴發	izbruhi	噴發	izbruh	V	N;NOM;MASC;PL
饒	rao	饒	rao	V	
溶解	raztapljanje	溶解	raztapljanje	V	N;NOM;NEUT;SG
溶解	raztopljenega	溶解	raztopljen	V	ADJ;GEN;NEUT;SG;V.PTCP
主觀	subjektivno	主觀	subjektiven	N	ADJ;NOM;NEUT;SG
外國	nezemljani	外國	nezemljan	N	ADJ;NOM;MASC;PL
反感	nenaklonjenost	反感	nenaklonjenost	V	N;NOM;FEM;SG
反感	zgrožen	反感	zgrožen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
李	plum	李	plum	PROPN	N;NOM;MASC;SG
李	slive	李	sliva	PROPN	N;NOM;FEM;PL
鹼	alkalnih	鹼	alkalen	N	ADJ;GEN;MASC;PL
鹼	alkalne	鹼	alkalen	N	ADJ;NOM;FEM;PL
秋山	akiyama	秋山	akiya	PROPN	N;NOM;FEM;DU
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	N;NOM;MASC;SG
野心	ambiciozno	野心	ambiciozen	N	ADJ;NOM;NEUT;SG
野心	ambiciozni	野心	ambiciozen	N	ADJ;NOM;MASC;PL
野心	ambiciozen	野心	ambiciozen	N	ADJ;NOM;INDF;MASC;SG
印地安	indijci	印地安	indijca	PROPN	N;NOM;MASC;PL
印地安	indijancev	印地安	indijanec	PROPN	N;GEN;MASC;PL
印地安	indijanci	印地安	indijanec	PROPN	N;NOM;MASC;PL
顯示	prikaz	顯示	prikaz	V	N;NOM;MASC;SG
顯示	monitorji	顯示	monitor	V	N;NOM;MASC;PL
顯示	monitorje	顯示	monitor	V	N;ACC;MASC;PL
顯示	zasloni	顯示	zaslon	V	N;NOM;MASC;PL
有害	škodljivo	有害	škodljiv	N	ADJ;NOM;NEUT;SG
有害	škodljivega	有害	škodljiv	N	ADJ;GEN;NEUT;SG
有害	škodljivi	有害	škodljiv	N	ADJ;NOM;MASC;PL
有害	škodljiv	有害	škodljiv	N	ADJ;NOM;INDF;MASC;SG
有害	škodljiva	有害	škodljiv	N	ADJ;NOM;FEM;SG
銀河	galaksijo	銀河	galaksija	PROPN	N;ACC;FEM;SG
銀河	galaxy	銀河	galaxy	PROPN	N;NOM;MASC;SG
銀河	galaksija	銀河	galaksija	PROPN	N;NOM;FEM;SG
劍橋	cambridge	劍橋	cambridg	PROPN	PROPN;NOM;MASC;SG
詛咒	prekletstvo	詛咒	prekletstvo	V	N;NOM;NEUT;SG
達拉斯	dallas	達拉斯	dallas	PROPN	PROPN;NOM;MASC;SG
草莓	jagoda	草莓	jagod	V	N;NOM;FEM;SG
草莓	jagodni	草莓	jagoden	V	ADJ;NOM;MASC;SG
草莓	jagod	草莓	jagoda	V	N;GEN;FEM;PL
草莓	jagode	草莓	jagoda	V	N;NOM;FEM;PL
補償	nadomestila	補償	nadomestilo	N	V;PFV;FEM;SG;V.PTCP
輕微	rahlo	輕微	rahlo	ADJ	ADV
廁	stranišče	廁	stranišče	V	N;NOM;NEUT;SG
廁	wc	廁	wc	V	N;NOM;FEM;SG
廁	stranišče	廁	stranišče	V	N;NOM;NEUT;SG
廁	kopalnici	廁	kopalnica	V	N;NOM;FEM;SG
廁	kopalnica	廁	kopalnica	V	N;NOM;FEM;SG
廁	kopalnico	廁	kopalnica	V	N;ACC;FEM;SG
廁	kopalnice	廁	kopalnica	V	N;NOM;FEM;PL
葉子	yoko	葉子	yoko	N	PROPN;NOM;FEM;SG
激進	radikalne	激進	radikalen	N	ADJ;NOM;FEM;PL
激進	radikalno	激進	radikalen	N	ADV
有罪	kriv	有罪	kriv	V	ADJ;NOM;INDF;MASC;SG
有罪	kriva	有罪	kriv	V	ADJ;NOM;FEM;SG
禮拜	častijo	禮拜	častiti	N	V;IPFV;IND;PL;3;PRS;FIN
樣式	styles	樣式	styles	N	
遷徙	migracije	遷徙	migracija	V	N;NOM;FEM;PL
遷徙	selitev	遷徙	selitev	V	N;NOM;FEM;SG
遷徙	migracija	遷徙	migracija	V	N;NOM;FEM;SG
抄襲	plagiat	抄襲	plagiat	V	
海倫	helena	海倫	helen	PROPN	N;NOM;FEM;SG
海倫	helen	海倫	helen	PROPN	PROPN;NOM;FEM;SG
螢	ying	螢	ying	N	
聖殿	temple	聖殿	temple	N	
多瑙	donavi	多瑙	donava	PROPN	N;NOM;FEM;SG
阿爾及利亞	alžirija	阿爾及利亞	alžirija	PROPN	N;NOM;FEM;SG
騷擾	nadlegovanje	騷擾	nadlegovanje	V	N;NOM;NEUT;SG
攝影	fotoaparat	攝影	fotoaparat	V	N;NOM;MASC;SG
攝影	kamera	攝影	kamera	V	N;NOM;FEM;SG
攝影	kamero	攝影	kamera	V	N;ACC;FEM;SG
拜	obisk	拜	obisk	PROPN	N;NOM;MASC;SG
微小	majcen	微小	majcen	ADJ	N;NOM;MASC;SG
出版	založnik	出版	založnik	V	N;NOM;MASC;SG
出版	izdajatelj	出版	izdajatelj	V	N;NOM;MASC;SG
出版	založniki	出版	založnik	V	N;NOM;MASC;PL
溫和	nežno	溫和	nežno	ADJ	ADV
溫和	zmernost	溫和	zmernost	ADJ	N;NOM;FEM;SG
溫和	zmerno	溫和	zmerno	ADJ	ADV
溫和	blaga	溫和	blago	ADJ	N;GEN;NEUT;SG
溫和	blago	溫和	blago	ADJ	N;NOM;NEUT;SG
溫和	blage	溫和	blag	ADJ	
公升	liter	公升	liter	V	N;NOM;MASC;SG
公升	litrov	公升	liter	V	N;GEN;MASC;PL
公升	liter	公升	liter	V	N;NOM;MASC;SG
公升	litrov	公升	liter	V	N;GEN;MASC;PL
相對	relativizem	相對	relativizem	ADJ	N;NOM;MASC;SG
相對	relativnost	相對	relativnost	ADJ	N;NOM;FEM;SG
對	nasprotno	對	nasproten	ADP	ADJ;NOM;NEUT;SG
對	nasproti	對	nasproti	ADP	
對	nasprotje	對	nasprotje	ADP	N;NOM;NEUT;SG
悼念	poklon	悼念	poklon	V	N;NOM;MASC;SG
悼念	žalovanje	悼念	žalovanje	V	N;NOM;NEUT;SG
悼念	žalovanja	悼念	žalovanje	V	N;GEN;NEUT;SG
悲劇	tragično	悲劇	tragičen	N	ADJ;NOM;NEUT;SG
悲劇	tragične	悲劇	tragičen	N	ADJ;NOM;FEM;PL
悲劇	tragičen	悲劇	tragičen	N	ADJ;NOM;INDF;MASC;SG
悲劇	tragična	悲劇	tragičen	N	ADJ;NOM;FEM;SG
鎖定	zaklenjeno	鎖定	zaklenjen	V	ADJ;NOM;NEUT;SG;V.PTCP
鎖定	zaklenjena	鎖定	zaklenjen	V	ADJ;NOM;FEM;SG;V.PTCP
光輝	sije	光輝	sijati	N	V;IPFV;IND;SG;3;PRS;FIN
喀麥隆	kamerun	喀麥隆	kamerun	PROPN	N;NOM;MASC;SG
誤解	nesporazuma	誤解	nesporazum	V	N;GEN;MASC;SG
誤解	nesporazum	誤解	nesporazum	V	N;NOM;MASC;SG
誤解	nesporazumov	誤解	nesporazum	V	N;GEN;MASC;PL
彎曲	ukrivljeno	彎曲	ukrivljen	N	ADJ;NOM;NEUT;SG;V.PTCP
溫暖	topla	溫暖	toplo	N	ADJ;NOM;FEM;SG
溫暖	topel	溫暖	topel	N	ADJ;NOM;INDF;MASC;SG
溫暖	topli	溫暖	topel	N	ADJ;NOM;MASC;PL
溫暖	toplo	溫暖	toplo	N	ADV
解剖	anatomijo	解剖	anatomija		N;ACC;FEM;SG
解剖	seciranje	解剖	seciranje		N;NOM;NEUT;SG
解剖	obdukcija	解剖	obdukcija		N;NOM;FEM;SG
你	pozdravljeni	你	pozdravljen	PRO;2	ADJ;NOM;MASC;PL;V.PTCP
皂	milo	皂	milo	N	ADV
承包	izvajalci	承包	izvajalec	V	N;NOM;MASC;PL
承包	izvajalec	承包	izvajalec	V	N;NOM;MASC;SG
方舟	barko	方舟	barka	PROPN	N;ACC;FEM;SG
方舟	skrinja	方舟	skrinja	PROPN	N;NOM;FEM;SG
編譯	pripravljanje	編譯	pripravljanje	V	N;NOM;NEUT;SG
界	opredeli	界	opredeliti	N	V;PFV;IND;SG;3;PRS;FIN
界	opredeliti	界	opredeliti	N	V;PFV;NFIN
馬賽	marseille	馬賽	marseilel	PROPN	PROPN;NOM;MASC;SG
彈性	prožni	彈性	prožen	N	ADJ;NOM;MASC;PL
彈性	prilagodljiv	彈性	prilagodljiv	N	ADJ;NOM;INDF;MASC;SG
彈性	prožna	彈性	prožen	N	ADJ;NOM;FEM;SG
彈性	prožen	彈性	prožen	N	ADJ;NOM;INDF;MASC;SG
彈性	prilagodljivo	彈性	prilagodljiv	N	ADJ;NOM;NEUT;SG
彈性	elastične	彈性	elastičen	N	ADJ;NOM;FEM;PL
盾牌	ščiti	盾牌	ščititi	N	V;IPFV;IND;SG;3;PRS;FIN
走私	pretihotapil	走私	pretihotapiti	N	V;PFV;MASC;SG;V.PTCP
走私	pretihotapiti	走私	pretihotapiti	N	V;PFV;NFIN
戒指	prstani	戒指	prstan	N	ADJ;NOM;MASC;PL;V.PTCP
酒井	sakai	酒井	sakaa	PROPN	N;NOM;MASC;SG
調任	prerazporeditev	調任	prerazporeditev	V	N;NOM;FEM;SG
大	masaker	大	masaker	PART	N;NOM;MASC;SG
大	pokol	大	pokol	PART	N;NOM;MASC;SG
大	holokavst	大	holokavst	PART	N;NOM;MASC;SG
劫持	ugrabitev	劫持	ugrabitev	V	N;NOM;FEM;SG
劫持	ugrabitve	劫持	ugrabitev	V	N;NOM;FEM;PL
劫持	ugrabitev	劫持	ugrabitev	V	N;NOM;FEM;SG
誓	prisega	誓	prisegati	N	V;IPFV;IND;SG;3;PRS;FIN
基	podstavek	基	podstavek	V	N;NOM;MASC;SG
損壞	pokvaril	損壞	pokvariti	N	V;PFV;MASC;SG;V.PTCP
損壞	poškodovano	損壞	poškodovan	N	ADJ;NOM;NEUT;SG;V.PTCP
損壞	poškodovanih	損壞	poškodovan	N	ADJ;GEN;MASC;PL;V.PTCP
損壞	poškodovan	損壞	poškodovan	N	ADJ;NOM;INDF;MASC;SG;V.PTCP
損壞	poškodovani	損壞	poškodovan	N	ADJ;NOM;MASC;PL;V.PTCP
損壞	poškodovane	損壞	poškodovan	N	ADJ;NOM;FEM;PL;V.PTCP
損壞	poškodovana	損壞	poškodovan	N	ADJ;NOM;FEM;SG;V.PTCP
羅素	russell	羅素	russeli	PROPN	
更	popravkov	更	popravek	ADV	N;GEN;MASC;PL
更	popravki	更	popravek	ADV	N;NOM;MASC;PL
更	popravek	更	popravek	ADV	N;NOM;MASC;SG
特種	specialci	特種	specialec	ADJ	N;NOM;MASC;PL
特種	swat	特種	swat	ADJ	N;NOM;FEM;SG
叻	lat	叻	lato	PROPN	N;NOM;MASC;SG
密西西比	mississippi	密西西比	mississippa	PROPN	N;NOM;MASC;PL
雙	dvostransko	雙	dvostransko	NUM	ADV
雙	dvostranski	雙	dvostranski	NUM	ADJ;NOM;MASC;SG
雙	dvostranskih	雙	dvostranski	NUM	ADJ;GEN;MASC;PL
雙	dvostransko	雙	dvostransko	NUM	ADV
迷失	izgubljena	迷失	izgubljen	V	ADJ;NOM;FEM;SG;V.PTCP
迷失	izgubljeni	迷失	izgubljen	V	ADJ;NOM;MASC;PL;V.PTCP
迷失	izgubljeno	迷失	izgubljen	V	ADJ;NOM;NEUT;SG;V.PTCP
迷失	izgubljen	迷失	izgubljen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
橘子	oranžno	橘子	oranžen	N	ADV
橘子	oranžni	橘子	oranžen	N	ADJ;NOM;DEF;MASC;SG
橘子	oranžne	橘子	oranžen	N	ADJ;NOM;FEM;PL
橘子	oranžna	橘子	oranžen	N	ADJ;NOM;FEM;SG
死亡	smrtnost	死亡	smrtnost	V	N;NOM;FEM;SG
死亡	umrljivost	死亡	umrljivost	V	N;NOM;FEM;SG
死亡	smrtnosti	死亡	smrtnost	V	N;GEN;FEM;SG
歌聲	poje	歌聲	peti	N	V;IPFV;IND;SG;3;PRS;FIN
布加勒斯特	bukarešti	布加勒斯特	bukarešti	PROPN	ADJ;NOM;DEF;MASC;SG
污水	iztok	污水	iztok	N	PROPN;NOM;MASC;SG
存款	polog	存款	polog	V	N;NOM;MASC;SG
存款	depozit	存款	depozit	V	N;NOM;MASC;SG
存款	vloge	存款	vloga	V	N;NOM;FEM;PL
存款	vlog	存款	vloga	V	N;GEN;FEM;PL
獨裁	avtokracija	獨裁	avtokracija	N	ADJ;NOM;FEM;SG
獨裁	diktatorski	獨裁	diktatorski	N	ADJ;NOM;MASC;SG
祈	molitev	祈	molitev	V	N;NOM;FEM;SG
祈	molitev	祈	molitev	V	N;NOM;FEM;SG
祈	molitev	祈	molitev	V	N;NOM;FEM;SG
祈	molitve	祈	molitev	V	N;NOM;FEM;PL
相容	združljiva	相容	združljiv	N	ADJ;NOM;FEM;SG
相容	združljivi	相容	združljiv	N	ADJ;NOM;MASC;PL
相容	združljiv	相容	združljiv	N	ADJ;NOM;INDF;MASC;SG
相容	združljive	相容	združljiv	N	ADJ;NOM;FEM;PL
相容	združljivo	相容	združljivo	N	ADJ;NOM;NEUT;SG
廚師	cook	廚師	cook	N	PROPN;NOM;MASC;SG
王	krona	王	krona	PROPN	N;NOM;FEM;SG
王	krono	王	krona	PROPN	N;ACC;FEM;SG
王	kron	王	krona	PROPN	N;GEN;FEM;PL
王	krone	王	krona	PROPN	N;NOM;FEM;PL
營養	prehranske	營養	prehranski	N	ADJ;NOM;FEM;PL
營養	prehranske	營養	prehranski	N	ADJ;NOM;FEM;PL
愛媛	ehime	愛媛	ehima	N	
凝聚	kohezijo	凝聚	kohezija	V	N;ACC;FEM;SG
凝聚	kohezija	凝聚	kohezija	V	N;NOM;FEM;SG
教義	creed	教義	creed	N	PROPN;NOM;MASC;SG
扳機	sproži	扳機	sprožiti	N	V;PFV;IND;SG;3;PRS;FIN
探險	odprave	探險	odprava	V	N;NOM;FEM;PL
探險	dogodivščine	探險	dogodivščina	V	N;NOM;FEM;PL
探險	pustolovščina	探險	pustolovščina	V	N;NOM;FEM;SG
探險	pustolovščino	探險	pustolovščina	V	N;ACC;FEM;SG
探險	avantura	探險	avantura	V	N;NOM;FEM;SG
探險	pustolovščine	探險	pustolovščina	V	N;NOM;FEM;PL
探險	odprava	探險	odprava	V	N;NOM;FEM;SG
亞熱帶	subtropsko	亞熱帶	subtropski	PROPN	ADJ;NOM;NEUT;SG
附上	priloženo	附上	priložen	V	ADJ;NOM;NEUT;SG;V.PTCP
聲援	solidarnost	聲援	solidarnost	V	N;NOM;FEM;SG
聲援	solidarnosti	聲援	solidarnost	V	N;GEN;FEM;SG
核子	jedrska	核子	jedrski	N	ADJ;NOM;FEM;SG
核子	jedrski	核子	jedrski	N	ADJ;NOM;MASC;SG
莖	izvornih	莖	izvoren	N	ADJ;GEN;MASC;PL
廢棄	opustitev	廢棄	opustitev	V	N;NOM;FEM;SG
廢棄	zapuščen	廢棄	zapuščen	V	ADJ;NOM;INDF;MASC;SG;V.PTCP
廢棄	zapuščena	廢棄	zapuščen	V	ADJ;NOM;FEM;SG;V.PTCP
廢棄	zapuščeni	廢棄	zapuščen	V	ADJ;NOM;MASC;PL;V.PTCP
廢棄	zapuščeno	廢棄	zapuščen	V	ADJ;NOM;NEUT;SG;V.PTCP
檢視	ogled	檢視	ogled	V	N;NOM;MASC;SG
