الليثيوم	litiu	الليثيوم	litiu		N;INDF;MASC;SG
استكشاف	explora	اِستِكشَاف	explora	N;NOM;INDF;SG	V;IND;SG;3;IPFV;FIN
درعا	armură	دَرَّع	armură		N;INDF;FEM;SG
درعا	armura	دَرَّع	armură		N;DEF;FEM;SG
درعا	armuri	دَرَّع	arm		N;INDF;FEM;PL
درعا	scut	دَرَّع	scut		N;INDF;MASC;SG
درعا	scutul	دَرَّع	scut		N;DEF;MASC;SG
درعا	shield	دَرَّع	shield		N;INDF;MASC;SG
درعا	daraa	دَرَّع	dara		N;DEF;FEM;SG
الصانع	producator	صَانِع	producator	N;NOM;DEF;SG	N;INDF;MASC;SG
الصانع	producătorul	صَانِع	producător	N;NOM;DEF;SG	N;DEF;MASC;SG
الصانع	producător	صَانِع	producător	N;NOM;DEF;SG	N;INDF;MASC;SG
الصانع	producătorului	صَانِع	producător	N;NOM;DEF;SG	N;DEF;MASC;SG
فرس	iapă	فَرَس	iapă		N;INDF;FEM;SG
فرس	iapa	فَرَس	iapă		N;DEF;FEM;SG
الذئاب	lupii	ذَائِب	lupe		N;DEF;MASC;PL
الذئاب	lupi	ذَائِب	lupă		N;INDF;MASC;PL
المواصفات	specificațiile	مُوَاصَفَة	specificație	N;NOM;DEF;PL	N;DEF;FEM;PL
المواصفات	specificații	مُوَاصَفَة	specificație	N;NOM;DEF;PL	N;INDF;FEM;PL
المواصفات	specificație	مُوَاصَفَة	specificație	N;NOM;DEF;PL	N;INDF;FEM;SG
المواصفات	specificația	مُوَاصَفَة	specificație	N;NOM;DEF;PL	N;DEF;FEM;SG
المواصفات	specificații	مُوَاصَفَة	specificație	N;NOM;DEF;PL	N;INDF;FEM;PL
المواصفات	specificarea	مُوَاصَفَة	specificare	N;NOM;DEF;PL	N;DEF;FEM;SG
كيب	kip	كيب	kip		N;INDF;MASC;SG
زر	nasture	زر	nastur		N;INDF;MASC;SG
زر	buton	زر	buton		N;INDF;MASC;SG
زر	button	زر	button		N;INDF;MASC;SG
زر	butonul	زر	buton		N;DEF;MASC;SG
القبلية	tribal	قَبَلِيّ	tribal	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;MASC;SG
القبلية	tribale	قَبَلِيّ	tribal	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;PL
الطيبة	bunătate	طَيِّب	bunătate	N;NOM;DEF;SG	N;INDF;FEM;SG
الطيبة	bunătatea	طَيِّب	bunătate	N;NOM;DEF;SG	N;DEF;FEM;SG
جوقة	corul	جُوقَة	cor	N;NOM;INDF;SG	N;DEF;MASC;SG
موانئ	porturile	مِينَاء	port	N;NOM;INDF;PL	N;DEF;FEM;PL
شعور	senzație	شُعُور	senzație	N;NOM;INDF;SG	N;INDF;FEM;SG
شعور	sentimentul	شُعُور	sentiment	N;NOM;INDF;SG	N;DEF;MASC;SG
شعور	simt	شُعُور	simți	N;NOM;INDF;SG	V;IND;PL;3;PRS;FIN
العملاق	gigant	عِملَاق	gigant	N;NOM;DEF;SG	N;INDF;MASC;SG
العملاق	uriaș	عِملَاق	uriaș	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
ريفية	rurală	رِيفِيّ	rural	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
ريفية	rurale	رِيفِيّ	rural	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;PL
الصهيوني	sionist	صَهيُونِيّ	sionist	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
ليلا	laila	ليلا	lail	N;NOM;INDF;SG	N;DEF;FEM;SG
ليلا	noapte	ليلا	noapte	N;NOM;INDF;SG	N;INDF;FEM;SG
ليلا	noaptea	ليلا	noaptea	N;NOM;INDF;SG	ADV
العجز	handicap	عَجز	handicap	N;NOM;DEF;SG	N;INDF;MASC;SG
العجز	invaliditate	عَجز	invaliditate	N;NOM;DEF;SG	N;INDF;FEM;SG
العجز	incapacitate	عَجز	incapacitate	N;NOM;DEF;SG	N;INDF;FEM;SG
العجز	deficitului	عَجز	deficit	N;NOM;DEF;SG	N;DEF;MASC;SG
العجز	deficitul	عَجز	deficit	N;NOM;DEF;SG	N;DEF;MASC;SG
العجز	deficit	عَجز	deficit	N;NOM;DEF;SG	N;INDF;MASC;SG
الانتقام	răzbunarea	اِنتِقَام	răzbunare	N;NOM;DEF;SG	N;DEF;FEM;SG
الانتقام	razbunare	اِنتِقَام	razbunare	N;NOM;DEF;SG	N;INDF;FEM;SG
الانتقام	răzbunare	اِنتِقَام	răzbunare	N;NOM;DEF;SG	N;INDF;FEM;SG
بولونيا	bologna	بُولُونِيَا	bolognă		PROPN
نيكولا	nicola	نِيكُولَا	nicola		N;DEF;FEM;SG
الضابط	ofițer	ضَابِط	ofițer	N;NOM;DEF;SG	N;INDF;MASC;SG
الضابط	ofiţer	ضَابِط	ofiţer	N;NOM;DEF;SG	N;INDF;MASC;SG
الضابط	ofiter	ضَابِط	ofiter	N;NOM;DEF;SG	N;INDF;MASC;SG
الفاكهة	fructul	فَاكِهَة	fruct	N;NOM;DEF;SG	N;DEF;MASC;SG
الفاكهة	fructe	فَاكِهَة	fruct	N;NOM;DEF;SG	N;INDF;FEM;PL
الفاكهة	fructele	فَاكِهَة	fruct	N;NOM;DEF;SG	N;DEF;FEM;PL
الفاكهة	fruct	فَاكِهَة	fruct	N;NOM;DEF;SG	N;INDF;MASC;SG
الكود	codul	الكود	cod	N;NOM;DEF;SG	N;DEF;MASC;SG
الكود	cod	الكود	cod	N;NOM;DEF;SG	
حريق	focul	حَرِيق	foc	N;NOM;INDF;SG	N;DEF;MASC;SG
شواطئ	plajele	شَاطِئ	plajă	N;NOM;INDF;PL	N;DEF;FEM;PL
الخلط	amestecarea	خَلط	amestecare	N;NOM;DEF;SG	N;DEF;FEM;SG
الخلط	amestecare	خَلط	amestecare	N;NOM;DEF;SG	N;INDF;FEM;SG
الخلط	confuzia	خَلط	confuzie	N;NOM;DEF;SG	N;DEF;FEM;SG
الخلط	confuzie	خَلط	confuzie	N;NOM;DEF;SG	N;INDF;FEM;SG
الخلط	confuzii	خَلط	confuz	N;NOM;DEF;SG	N;INDF;FEM;PL
الخلط	derutat	خَلط	deruta	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الخلط	confuzi	خَلط	confuz	N;NOM;DEF;SG	
الخلط	confuz	خَلط	confuz	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الخلط	confuză	خَلط	confuz	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
الزهراء	zahra	زَهرَاء	zahră	N;NOM;DEF;SG	
المقابر	cimitirul	مَقبَر	cimitir	N;NOM;DEF;PL	N;DEF;MASC;SG
المقابر	cimitir	مَقبَر	cimitir	N;NOM;DEF;PL	N;INDF;MASC;SG
تصريح	autorizare	تَصرِيح	autorizare	N;NOM;INDF;SG	N;INDF;FEM;SG
تصريح	permisiune	تَصرِيح	permisiune	N;NOM;INDF;SG	N;INDF;FEM;SG
تصريح	permisiunea	تَصرِيح	permisiune	N;NOM;INDF;SG	N;DEF;FEM;SG
دلالة	semnificatie	دَلَالَة	semnificatie	N;NOM;INDF;SG	N;INDF;FEM;SG
دلالة	semnificația	دَلَالَة	semnificație	N;NOM;INDF;SG	N;DEF;FEM;SG
دلالة	semnificație	دَلَالَة	semnificație	N;NOM;INDF;SG	N;INDF;FEM;SG
منفصل	separate	مُنفَصِل	separat	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;PL
منفصل	separă	مُنفَصِل	separa	ADJ;NOM;INDF;MASC;SG	V;IND;SG;3;PST;FIN
منفصل	separată	مُنفَصِل	separa	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
منفصل	separate	مُنفَصِل	separat	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;PL
هود	glugă	هود	glugă		N;INDF;FEM;SG
هود	gluga	هود	glugă		N;DEF;FEM;SG
هود	capota	هود	capotă		N;DEF;FEM;SG
هود	hood	هود	hood		N;INDF;MASC;SG
بديلة	alternative	بَدِيلَة	alternativ	N;NOM;INDF;SG	ADJ;INDF;FEM;PL
بديلة	alternativă	بَدِيلَة	alternativ	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
بديلة	alternativ	بَدِيلَة	alternativ	N;NOM;INDF;SG	ADV
بديلة	alternativa	بَدِيلَة	alternativă	N;NOM;INDF;SG	N;DEF;FEM;SG
بديلة	alternativ	بَدِيلَة	alternativ	N;NOM;INDF;SG	ADV
الشهادات	certificat	شَهَادَة	certificat	N;NOM;DEF;PL	N;INDF;MASC;SG
الشهادات	certificatul	شَهَادَة	certificat	N;NOM;DEF;PL	N;DEF;MASC;SG
الشهادات	mărturii	شَهَادَة	mărturie	N;NOM;DEF;PL	N;INDF;FEM;PL
الشهادات	certificatele	شَهَادَة	certificat	N;NOM;DEF;PL	N;DEF;FEM;PL
الشهادات	certificate	شَهَادَة	certificat	N;NOM;DEF;PL	N;INDF;FEM;PL
المشرف	moderator	مُشرِف	moderator	N;NOM;DEF;SG	N;INDF;MASC;SG
المشرف	supervizorul	مُشرِف	supervizor	N;NOM;DEF;SG	N;DEF;MASC;SG
المشرف	supraveghetor	مُشرِف	supraveghetor	N;NOM;DEF;SG	N;INDF;MASC;SG
المشرف	supervizor	مُشرِف	supervizor	N;NOM;DEF;SG	N;INDF;MASC;SG
المشرف	responsabilul	مُشرِف	responsabil	N;NOM;DEF;SG	N;DEF;MASC;SG
المشرف	responsabil	مُشرِف	responsabil	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
المشرف	administrator	مُشرِف	administrator	N;NOM;DEF;SG	N;INDF;MASC;SG
المشرف	administratorul	مُشرِف	administrator	N;NOM;DEF;SG	N;DEF;MASC;SG
ترميز	codare	تَرمِيز	codare	N;NOM;INDF;SG	N;INDF;FEM;SG
ترميز	codificare	تَرمِيز	codificare	N;NOM;INDF;SG	N;INDF;FEM;SG
ترميز	codare	تَرمِيز	codare	N;NOM;INDF;SG	N;INDF;FEM;SG
ترميز	codificare	تَرمِيز	codificare	N;NOM;INDF;SG	N;INDF;FEM;SG
هيلين	helen	هيلين	helen		PROPN
مثبطات	inhibitorii	مُثَبِّط	inhibitor	N;NOM;INDF;PL	N;DEF;MASC;PL
الحمد	laudă	حَمد	laudă	N;NOM;DEF;SG	V;IND;SG;3;PRS;FIN
الحمد	lauda	حَمد	laudă	N;NOM;DEF;SG	V;IND;SG;3;IPFV;FIN
الحمد	laude	حَمد	laudă	N;NOM;DEF;SG	
الصيانة	întreținerea	صِيَانَة	întreținere	N;NOM;DEF;SG	N;DEF;FEM;SG
الصيانة	intretinere	صِيَانَة	intretinere	N;NOM;DEF;SG	N;INDF;FEM;SG
الصيانة	întreținere	صِيَانَة	întreținere	N;NOM;DEF;SG	N;INDF;FEM;SG
الانتقالية	tranzitorie	اِنتِقَالِيّ	tranzitoriu	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;SG
الانتقالية	tranzitoriu	اِنتِقَالِيّ	tranzitoriu	ADJ;NOM;DEF;FEM;SG	ADV
الانتقالية	tranzitorii	اِنتِقَالِيّ	tranzitoriu	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;PL
التبغ	tutun	التبغ	tutun	N;NOM;DEF;SG	N;INDF;MASC;SG
التبغ	tutunul	التبغ	tutun	N;NOM;DEF;SG	N;DEF;MASC;SG
اصدار	ediția	إِصدَار	ediție	N;NOM;INDF;SG	N;DEF;FEM;SG
اصدار	ediţie	إِصدَار	ediţie	N;NOM;INDF;SG	N;INDF;FEM;SG
اصدار	editie	إِصدَار	editie	N;NOM;INDF;SG	N;INDF;FEM;SG
اصدار	ediție	إِصدَار	ediție	N;NOM;INDF;SG	N;INDF;FEM;SG
اصدار	ediţia	إِصدَار	edigie	N;NOM;INDF;SG	N;DEF;FEM;SG
اصدار	versiunea	إِصدَار	versiune	N;NOM;INDF;SG	N;DEF;FEM;SG
اصدار	versiune	إِصدَار	versiune	N;NOM;INDF;SG	N;INDF;FEM;SG
اصدار	emitere	إِصدَار	emitere	N;NOM;INDF;SG	N;INDF;FEM;SG
اصدار	emiterea	إِصدَار	emitere	N;NOM;INDF;SG	N;DEF;FEM;SG
اصدار	problemă	إِصدَار	problemă	N;NOM;INDF;SG	N;INDF;FEM;SG
ليلي	crin	لَيلِيّ	crin		N;INDF;MASC;SG
ليلي	lily	لَيلِيّ	lily		PROPN
فيشر	fisher	فيشر	fisher		PROPN
كول	cole	كُول	cola		PROPN
صغار	tânără	صَغِير	tânăr	N;NOM;INDF;PL	ADJ;INDF;FEM;SG
صغار	tânăr	صَغِير	tânăr	N;NOM;INDF;PL	ADJ;INDF;MASC;SG
صغار	tinere	صَغِير	tânăr	N;NOM;INDF;PL	ADJ;INDF;FEM;PL
صغار	young	صَغِير	young	N;NOM;INDF;PL	PROPN
راسل	russel	رَاسِل	russel		PROPN
راسل	russell	رَاسِل	russell		PROPN
صديقة	iubită	صَدِيقَة	iubit	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
صديقة	iubita	صَدِيقَة	iubită	N;NOM;INDF;SG	N;DEF;FEM;SG
صديقة	prietenă	صَدِيقَة	prietenă	N;NOM;INDF;SG	N;INDF;FEM;SG
صديقة	prietena	صَدِيقَة	prietenă	N;NOM;INDF;SG	N;DEF;FEM;SG
شتات	diaspora	شِتَات	diaspora	N;NOM;INDF;SG	N;DEF;FEM;SG
الجمجمة	craniu	جُمجُمَة	craniu	N;NOM;DEF;SG	N;INDF;MASC;SG
الجمجمة	skull	جُمجُمَة	skull	N;NOM;DEF;SG	N;INDF;MASC;SG
الجمجمة	craniul	جُمجُمَة	craniu	N;NOM;DEF;SG	N;DEF;MASC;SG
الكبريت	sulf	كِبرِيت	sulf	N;NOM;DEF;SG	N;INDF;MASC;SG
الكبريت	sulf	كِبرِيت	sulf	N;NOM;DEF;SG	N;INDF;MASC;SG
الظل	umbrele	ظِلّ	umbră	N;NOM;DEF;SG	N;DEF;FEM;PL
الظل	umbre	ظِلّ	umbră	N;NOM;DEF;SG	N;INDF;FEM;PL
الظل	shadow	ظِلّ	shadow	N;NOM;DEF;SG	N;INDF;MASC;SG
الظل	umbră	ظِلّ	umbră	N;NOM;DEF;SG	N;INDF;FEM;SG
الظل	umbra	ظِلّ	umbră	N;NOM;DEF;SG	N;DEF;FEM;SG
الظل	umbră	ظِلّ	umbră	N;NOM;DEF;SG	N;INDF;FEM;SG
الظل	umbra	ظِلّ	umbră	N;NOM;DEF;SG	N;DEF;FEM;SG
كارتر	carter	كارتر	carter		PROPN
نيفادا	nevada	نيفادا	nevada		PROPN
القلم	pen	قَلَم	pen	N;NOM;DEF;SG	
القلم	stilou	قَلَم	stilou	N;NOM;DEF;SG	N;INDF;MASC;SG
التقديرات	estimează	تَقدِير	estima	N;NOM;DEF;PL	V;IND;3;PRS;FIN
التقديرات	estimarea	تَقدِير	estimare	N;NOM;DEF;PL	N;DEF;FEM;SG
التقديرات	estimare	تَقدِير	estimare	N;NOM;DEF;PL	N;INDF;FEM;SG
التقديرات	estimările	تَقدِير	estimare	N;NOM;DEF;PL	N;DEF;FEM;PL
التقديرات	estimări	تَقدِير	estimare	N;NOM;DEF;PL	N;INDF;FEM;PL
تدرج	gradient	دَرَج	gradient	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;INDF;MASC;SG
مواصلة	continuarea	مُوَاصَلَة	continuare	N;NOM;INDF;SG	N;DEF;FEM;SG
مواصلة	continuare	مُوَاصَلَة	continuare	N;NOM;INDF;SG	N;INDF;FEM;SG
مواصلة	continuați	مُوَاصَلَة	continua	N;NOM;INDF;SG	V;IND;PL;2;IPFV;FIN
مواصلة	continuă	مُوَاصَلَة	continua	N;NOM;INDF;SG	V;IND;SG;3;PST;FIN
مواصلة	continua	مُوَاصَلَة	continua	N;NOM;INDF;SG	V;IND;SG;3;IPFV;FIN
كاي	kai	كَاي	kai		N;INDF;MASC;SG
كاي	kay	كَاي	kay		PROPN
التنين	balaur	تَنَيَّن	balaur	N;NOM;DEF;SG	N;INDF;MASC;SG
التنين	dragonul	تَنَيَّن	dragon	N;NOM;DEF;SG	N;DEF;MASC;SG
التنين	dragon	تَنَيَّن	dragon	N;NOM;DEF;SG	N;INDF;MASC;SG
تغيرت	schimbat	تَغَيَّر	schimba	V;PFV;FEM;SG;3;ACT	ADJ;INDF;MASC;SG
تغيرت	schimbată	تَغَيَّر	schimba	V;PFV;FEM;SG;3;ACT	ADJ;INDF;FEM;SG
