hovards	howard	hovards	howard	PROPN;NOM;MASC;SG	N;MASC;SG
skan	sons	skanēt	som	V;FH;IND;3;POS;PRS;FIN;ACT	N;MASC;PL
zarnas	intestinal	zarna	intestinal	N;NOM;FEM;PL	N;MASC;SG
zarnas	intestino	zarna	intestino	N;NOM;FEM;PL	N;MASC;SG
zarnas	intestino	zarna	intestino	N;NOM;FEM;PL	N;MASC;SG
zarnas	intestino	zarna	intestino	N;NOM;FEM;PL	N;MASC;SG
rakstot	escrita	rakstīt	escrita	V;V.CVB	N;FEM;SG
bruņu	blindada	bruņa	blindar	N;NOM;MASC;SG	V;FEM;SG;V.PTCP
bruņu	blindados	bruņa	blindar	N;NOM;MASC;SG	V;MASC;PL;V.PTCP
bruņu	blindado	bruņa	blindar	N;NOM;MASC;SG	V;MASC;SG;V.PTCP
plāni	planos	plāns	plano	ADJ;NOM;MASC;PL	N;MASC;PL
dimanta	diamantes	dimanta	diamante	N;NOM;MASC;SG	N;MASC;PL
debesīm	heaven	debess	heaven	N;DAT;FEM;PL	N;MASC;SG
debesīm	paraíso	debess	paraíso	N;DAT;FEM;PL	N;MASC;SG
debesīm	céu	debess	céu	N;DAT;FEM;PL	N;MASC;SG
reģistrā	regista	reģistrs	registar	N;ESS;MASC;SG	V;IND;SG;3;PRS;FIN
reģistrā	registrar	reģistrs	registrar	N;ESS;MASC;SG	V;NFIN
reģistrā	registar	reģistrs	registar	N;ESS;MASC;SG	V;NFIN
pieņemti	aceitado	pieņemt	aceitar	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
pieņemti	aceite	pieņemt	aceitar	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	INTJ
pieņemti	aceita	pieņemt	aceitar	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;IND;SG;3;PRS;FIN
pieņemti	aceito	pieņemt	aceitar	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
zemā	baixa	zems	baixa	ADJ;NOM;FEM;SG	N;FEM;SG
zemā	baixos	zems	baixo	ADJ;NOM;FEM;SG	N;MASC;PL
zemā	low	zems	low	ADJ;NOM;FEM;SG	N;MASC;SG
zemā	baixo	zems	baixo	ADJ;NOM;FEM;SG	ADV
vāja	coitado	vāja	coitado	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
vāja	pobres	vāja	pobre	ADJ;NOM;FEM;SG	N;MASC;PL
vāja	fracos	vāja	fraco	ADJ;NOM;FEM;SG	ADJ;MASC;PL
vāja	fracas	vāja	fraco	ADJ;NOM;FEM;SG	ADJ;FEM;PL
radinieks	relativo	radinieks	relativo	N;NOM;MASC;SG	ADJ;MASC;SG
īsteno	implementa	īstenot	implementa	V;IMP;2;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
nozaru	sectorial	nozare	sectorial	N;GEN;FEM;PL	ADJ;MASC;SG
nightwish	nightwish	nightwish	nightwish	PROPN;NOM	N;MASC;SG
pretrunā	chances	pretruna	chance	N;ESS;FEM;SG	N;FEM;PL
pretrunā	probabilidades	pretruna	probabilidade	N;ESS;FEM;SG	N;FEM;PL
apakšklase	subclasse	apakšklase	subclar	N;NOM;FEM;PL	N;FEM;SG
palielināts	aumentados	palielināt	aumentar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
konvenciju	convenções	konvencija	convenção	N;ACC;FEM;SG	N;FEM;PL
turciju	turquia	turcija	turquia	PROPN;ACC;FEM;SG	N;FEM;SG
saprata	entendi	saprast	entender	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
renē	rené	renēt	rené	PROPN	N;MASC;SG
renē	renato	renēt	renato	PROPN	N;MASC;SG
renē	renee	renēt	renee	PROPN	N;FEM;SG
renē	renée	renēt	renée	PROPN	N;FEM;SG
renē	rené	renēt	rené	PROPN	N;MASC;SG
renē	rene	renēt	rene	PROPN	N;MASC;SG
pjotrs	pyotr	pjotrs	pyotr	PROPN;NOM;MASC;SG	N;MASC;SG
pozitīvas	positivos	pozitīva	positivo	ADJ;NOM;FEM;PL	N;MASC;PL
pozitīvas	positivo	pozitīva	positivo	ADJ;NOM;FEM;PL	ADJ;MASC;SG
pozitīvas	positiva	pozitīva	positivo	ADJ;NOM;FEM;PL	ADJ;FEM;SG
komunikāciju	comunicações	komunikācija	comunicação	N;ACC;FEM;SG	N;FEM;PL
palielinot	crescente	palielināt	crescente	V;V.CVB	ADJ;MASC;SG
sekcijas	autópsia	sekcija	autópsia	N;NOM;FEM;PL	N;FEM;SG
komentāri	comentário	komentārs	comentário	N;NOM;MASC;PL	N;MASC;SG
komentāri	comentar	komentārs	comentar	N;NOM;MASC;PL	V;NFIN
komentāri	comenta	komentārs	comentar	N;NOM;MASC;PL	V;IND;SG;3;PRS;FIN
capri	capri	capri	capri		N;MASC;SG
lūgšanas	oração	lūgšana	oração	N;NOM;FEM;PL	N;FEM;SG
lūgšanas	oração	lūgšana	oração	N;NOM;FEM;PL	N;FEM;SG
kontinentālā	continental	kontinentāla	continental	ADJ;NOM;FEM;SG	N;MASC;SG
kontinentālā	continentais	kontinentāla	continental	ADJ;NOM;FEM;SG	N;MASC;PL
reforma	reformar	reforma	reformar	N;NOM;FEM;SG	V;NFIN
reforma	reformas	reforma	reforma	N;NOM;FEM;SG	N;FEM;PL
vietējais	locais	vietējs	local	ADJ;NOM;MASC;SG	N;MASC;PL
vietējais	local	vietējs	local	ADJ;NOM;MASC;SG	N;MASC;SG
vietējais	nativas	vietējs	nativa	ADJ;NOM;MASC;SG	N;FEM;PL
vietējais	nativo	vietējs	nativo	ADJ;NOM;MASC;SG	N;MASC;SG
vietējais	nativos	vietējs	nativo	ADJ;NOM;MASC;SG	N;MASC;PL
melnkalnes	montenegrino	melnkalne	montenegrino	N;NOM;FEM;PL	N;MASC;SG
laboratorija	laboratórios	laboratorija	laboratório	N;NOM;FEM;SG	N;MASC;PL
bari	bari	bars	bari	N;NOM;MASC;PL	N;MASC;SG
egle	spruce	egle	spruce	PROPN;NOM;FEM;SG	N;MASC;SG
publicē	publique	publicēt	publique	V;FH;IND;3;POS;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
lockheed	lockheed	lockheed	lockheed		N;MASC;SG
apmeklēt	visita	apmeklēt	visita	V;POS;NFIN	N;FEM;SG
saimniecība	quintas	saimniecība	quinto	N;NOM;FEM;SG	N;FEM;PL
saimniecība	segurando	saimniecība	segurar	N;NOM;FEM;SG	V;V.MSDR
bagāts	ricas	bagāts	rico	ADJ;NOM;MASC;SG	ADJ;FEM;PL
bagāts	ricos	bagāts	rico	ADJ;NOM;MASC;SG	N;MASC;PL
bagāts	rich	bagāts	rich	ADJ;NOM;MASC;SG	N;MASC;SG
lejas	leu	leja	ler	N;NOM;FEM;PL	V;IND;SG;3;PST;FIN
lejas	fundo	leja	fundo	N;NOM;FEM;PL	N;MASC;SG
lejas	bottom	leja	bottom	N;NOM;FEM;PL	N;MASC;SG
sep	sep	sep	sep		N;MASC;SG
efektīvi	eficiente	efektīvi	eficiente	ADV	ADJ;MASC;SG
efektīvi	eficientes	efektīvi	eficiente	ADV	ADJ;MASC;PL
efektīvi	efectivo	efektīvi	efectivo	ADV	ADJ;MASC;SG
efektīvi	eficazes	efektīvi	eficaz	ADV	ADJ;FEM;PL
efektīvi	efetivo	efektīvi	efetivo	ADV	ADJ;MASC;SG
efektīvi	eficaz	efektīvi	eficaz	ADV	ADJ;FEM;SG
otavas	otava	otava	otava	N;NOM;FEM;PL	V;IND;SG;3;IPFV;FIN
otavas	ottawa	otava	ottawo	N;NOM;FEM;PL	N;MASC;SG
apakškārtas	subordem	apakškārta	suborder	N;NOM;FEM;PL	N;FEM;SG
frekvence	frequências	frekvence	frequência	N;NOM;FEM;SG	N;FEM;PL
labāka	melhor	laba	melhor	ADJ;NOM;CMPR;FEM;SG	ADV
labāka	melhores	laba	bom	ADJ;NOM;CMPR;FEM;SG	ADJ;MASC;PL
tilti	bridges	tilti	bridge	N;NOM;MASC;PL	N;MASC;SG
dzimtenes	pátria	dzimtene	pátria	N;NOM;FEM;PL	N;FEM;SG
ļevs	lev	ļevs	lev	PROPN;NOM;MASC;SG	PROPN;MASC;SG
johannes	johannes	johanne	johanne	PROPN;NOM;FEM;SG	N;MASC;SG
western	ocidental	westerne	ocidental		N;FEM;SG
western	ocidentais	westerne	ocidental		N;MASC;PL
western	western	westerne	western		N;MASC;SG
western	oeste	westerne	oeste		N;MASC;SG
kopīgs	partilhado	kopīgs	partilhar	ADJ;NOM;MASC;SG	V;MASC;SG;V.PTCP
kopīgs	compartilhada	kopīgs	compartilhar	ADJ;NOM;MASC;SG	V;FEM;SG;V.PTCP
kopīgs	compartilhado	kopīgs	compartilhar	ADJ;NOM;MASC;SG	V;MASC;SG;V.PTCP
kopīgs	compartilhou	kopīgs	compartilhar	ADJ;NOM;MASC;SG	V;IND;SG;3;PST;FIN
kopīgs	partilhada	kopīgs	partilhar	ADJ;NOM;MASC;SG	V;FEM;SG;V.PTCP
domāšanas	mentalidade	domāšana	mentalidade	N;NOM;FEM;PL	N;FEM;SG
licence	licenças	licence	licença	N;NOM;FEM;SG	N;FEM;PL
fiziskā	física	fiziska	física	ADJ;NOM;FEM;SG	N;FEM;SG
fiziskā	físicas	fiziska	físico	ADJ;NOM;FEM;SG	N;FEM;PL
fiziskā	fisico	fiziska	fisico	ADJ;NOM;FEM;SG	N;MASC;SG
fiziskā	físicos	fiziska	físico	ADJ;NOM;FEM;SG	N;MASC;PL
fiziskā	físico	fiziska	físico	ADJ;NOM;FEM;SG	N;MASC;SG
vēlams	preferencialmente	vēlams	preferencialmente	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV
vēlams	desejável	vēlams	desejável	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;MASC;SG
vēlams	desejáveis	vēlams	desejável	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;MASC;PL
aitu	ovinos	aita	ovino	N;ACC;MASC;SG	N;MASC;PL
aitu	carneiros	aita	carneiro	N;ACC;MASC;SG	N;MASC;PL
aitu	ovelhas	aita	ovelha	N;ACC;MASC;SG	N;FEM;PL
pietiek	suficiente	pietikt	suficiente	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;MASC;SG
model	model	model	model		N;MASC;SG
model	modelo	model	modelo		N;MASC;SG
izdevumus	gastos	izdevumi	gasto	N;ACC;MASC	N;MASC;PL
izdevumus	despesas	izdevumi	despesa	N;ACC;MASC	N;FEM;PL
plaudis	bream	plaudis	bream	N;NOM;MASC;SG	V;IND;PL;3;PRS;FIN
meklēja	procurei	meklēt	procorar	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
piegādes	delivery	piegāde	delivery	N;NOM;FEM;PL	N;MASC;SG
piegādes	entrega	piegāde	entrega	N;NOM;FEM;PL	N;FEM;SG
piegādes	veiculação	piegāde	veiculação	N;NOM;FEM;PL	N;FEM;SG
maksāja	paguei	maksāt	pagar	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
iesaistīts	implicados	iesaistīt	implicar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
iesaistīts	envolvidos	iesaistīt	envolver	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
leafs	leafs	leafs	leaf	N;NOM;MASC;SG	N;MASC;PL
skābes	ácido	skābe	ácido	N;NOM;FEM;PL	N;MASC;SG
jebkad	ever	jebkad	ever		N;MASC;SG
jebkad	nunca	jebkad	nunca		ADV
iniciatīvu	iniciativa	iniciatīva	iniciativa	ADJ;ACC;MASC;SG	N;FEM;SG
iekarot	conquista	iekārt	conquista	V;NFH;QUOT;POS;PRS;FIN;ACT	N;FEM;SG
iekarot	conquiste	iekārt	conquistir	V;NFH;QUOT;POS;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
iekarot	invadem	iekārt	invadir	V;NFH;QUOT;POS;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
espn	espn	espn	espn		N;FEM;SG
redzamais	visíveis	redzēt	visível	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;MASC;PL
redzamais	visível	redzēt	visível	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;MASC;SG
kurzeme	curlândia	kurzeme	curlândia	PROPN;NOM;FEM;SG	N;FEM;SG
sliedes	ferroviário	sliede	ferroviário	N;NOM;FEM;PL	N;MASC;SG
sliedes	carril	sliede	carril	N;NOM;FEM;PL	N;MASC;SG
sliedes	carris	sliede	carri	N;NOM;FEM;PL	N;MASC;SG
virsotni	vértices	virsotne	vértice	N;ACC;FEM;SG	N;MASC;PL
atkārtots	repetidas	atkārtot	repetir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
atkārtots	repetidos	atkārtot	repetir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
atkārtots	repita	atkārtot	repetir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;SBJV;SG;3;PRS;FIN
atkārtots	repete	atkārtot	repetir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
atkārtots	repito	atkārtot	repito	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;IND;SG;1;PRS;FIN
atkārtots	repetição	atkārtot	repetição	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;FEM;SG
vāsa	vasa	vāsa	vasa	PROPN;NOM;FEM;SG	N;MASC;SG
beļģu	belga	beļģas	belga	N;GEN;MASC;PL	N;MASC;SG
ralfs	ralf	ralfs	ralf	PROPN;NOM;MASC;SG	N;MASC;SG
ralfs	ralph	ralfs	ralph	PROPN;NOM;MASC;SG	N;MASC;SG
ein	ein	ein	ein		N;MASC;SG
izvirzīts	nomeados	izvirzīt	nomear	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
zvejas	pescaria	zveja	pescaria	N;NOM;FEM;PL	N;FEM;SG
zvejas	pesca	zveja	pesca	N;NOM;FEM;PL	N;FEM;SG
zvejas	pescar	zveja	pescar	N;NOM;FEM;PL	V;NFIN
septītā	seventh	septīt	seventh	ADJ;NOM;FEM;SG	N;MASC;SG
bij	anteriormente	būt	anteriormente	V;FH;IND;3;POS;PST;FIN;ACT	ADV
bij	antigamente	būt	antigamente	V;FH;IND;3;POS;PST;FIN;ACT	ADV
atbildi	responde	atbilde	responder	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
atbildi	responder	atbilde	responder	N;ACC;FEM;SG	V;NFIN
atbildi	responda	atbilde	responder	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
atbildi	responde	atbilde	responder	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
atbildi	responder	atbilde	responder	N;ACC;FEM;SG	V;NFIN
atbildi	responda	atbilde	responder	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
asinīm	sangue	asins	sangue	N;DAT;FEM;PL	N;MASC;SG
asinīm	blood	asins	blood	N;DAT;FEM;PL	N;MASC;SG
gatavo	terminei	gatavot	terminar	V;FH;IND;2;POS;PRS;FIN;ACT	V;IND;SG;1;PST;FIN
gatavo	terminou	gatavot	terminar	V;FH;IND;2;POS;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
visam	everything	viss	everything	PRO;DAT;MASC;SG	N;MASC;SG
visam	tudo	viss	tudo	PRO;DAT;MASC;SG	PRO;MASC;SG
bīskapi	reval	bīskaps	reval	N;NOM;MASC;PL	N;MASC;SG
fasādes	fachada	fasāde	fachada	N;NOM;FEM;PL	N;FEM;SG
fasādes	fachada	fasāde	fachada	N;NOM;FEM;PL	N;FEM;SG
konvencija	convenções	konvencija	convenção	N;NOM;FEM;SG	N;FEM;PL
frankfurtes	frankfurt	frankfurte	frankfurt	PROPN;NOM;FEM;SG	N;MASC;SG
frankfurtes	francoforte	frankfurte	francoforte	PROPN;NOM;FEM;SG	N;MASC;SG
lietojums	usar	lietojums	usar	N;NOM;MASC;SG	V;NFIN
lietojums	use	lietojums	usar	N;NOM;MASC;SG	V;SBJV;SG;3;PRS;FIN
lietojums	utilizar	lietojums	utilizar	N;NOM;MASC;SG	V;NFIN
sarežģīta	complexas	sarežģīta	complexo	ADJ;NOM;FEM;SG	ADJ;FEM;PL
sarežģīta	complexos	sarežģīta	complexo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
sarežģīta	complicados	sarežģīta	complicar	ADJ;NOM;FEM;SG	V;MASC;PL;V.PTCP
sarežģīta	complicado	sarežģīta	complicar	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
sarežģīta	complicadas	sarežģīta	complicado	ADJ;NOM;FEM;SG	V;FEM;PL;V.PTCP
sarežģīta	complicou	sarežģīta	complicar	ADJ;NOM;FEM;SG	V;IND;SG;3;PST;FIN
sarežģīta	complicada	sarežģīta	complicar	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP
sarežģīta	difíceis	sarežģīta	difícil	ADJ;NOM;FEM;SG	ADJ;MASC;PL
dīķi	lagoas	dīķis	lagoa	N;ACC;MASC;SG	N;FEM;PL
sabiedriski	sociável	sabiedriski	sociável	ADV	ADJ;MASC;SG
celulozes	celulose	celuloze	celulose	N;NOM;FEM;PL	N;FEM;SG
celulozes	polpa	celuloze	polpa	N;NOM;FEM;PL	N;FEM;SG
celulozes	celulose	celuloze	celulose	N;NOM;FEM;PL	N;FEM;SG
atm	atm	ats	atm		N;MASC;SG
smaga	pesado	smaga	pesar	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
smaga	heavy	smaga	heavy	ADJ;NOM;FEM;SG	N;MASC;SG
smaga	pesadas	smaga	pesar	ADJ;NOM;FEM;SG	V;FEM;PL;V.PTCP
smaga	pesados	smaga	pesar	ADJ;NOM;FEM;SG	V;MASC;PL;V.PTCP
smaga	pesada	smaga	pesar	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP
smaga	severo	smaga	severo	ADJ;NOM;FEM;SG	N;MASC;SG
smaga	severas	smaga	severa	ADJ;NOM;FEM;SG	ADJ;FEM;PL
zīmogs	foca	zīmogs	focar	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
atdalīts	separadas	atdalīt	separar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
atdalīts	separados	atdalīt	separar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
andra	andra	andrs	andrar	PROPN;NOM;FEM;SG	N;MASC;SG
plaknes	avião	plakne	avião	N;NOM;FEM;PL	N;MASC;SG
tradicionālā	tradicionais	tradicionāla	tradicional	ADJ;NOM;FEM;SG	ADJ;MASC;PL
verdi	verdi	verds	verdi	PROPN	N;MASC;SG
saistības	passivo	saistība	passivo	N;NOM;FEM;PL	ADJ;MASC;SG
saistības	passivos	saistība	passivo	N;NOM;FEM;PL	ADJ;MASC;PL
saistības	empenho	saistība	empenho	N;NOM;FEM;PL	N;MASC;SG
saistības	compromisso	saistība	compromisso	N;NOM;FEM;PL	N;MASC;SG
saistības	empenhamento	saistība	empenhamento	N;NOM;FEM;PL	N;MASC;SG
saistības	comprometimento	saistība	comprometimento	N;NOM;FEM;PL	N;MASC;SG
līdzskanis	consoante	līdzskanis	consoante	N;NOM;MASC;SG	ADV
kolēģijas	faculdade	kolēģija	faculdade	N;NOM;FEM;PL	N;FEM;SG
kolēģijas	colégio	kolēģija	colégio	N;NOM;FEM;PL	N;MASC;SG
kolēģijas	college	kolēģija	college	N;NOM;FEM;PL	N;MASC;SG
kolēģijas	universidade	kolēģija	universidade	N;NOM;FEM;PL	N;FEM;SG
parādīt	espetáculo	parādīt	espetáculo	V;POS;NFIN	N;MASC;SG
parādīt	show	parādīt	show	V;POS;NFIN	N;MASC;SG
pārveidots	modificados	pārveidot	modificar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
osaka	osaka	osacīt	osako	PROPN;NOM;FEM;SG	N;MASC;SG
parametru	parâmetros	parametrs	parâmetro	N;ACC;MASC;SG	N;MASC;PL
pomerānijas	pomerânia	pomerānija	pomerânia	N;NOM;FEM;PL	N;FEM;SG
pomerānijas	pomerânia	pomerānija	pomerânia	N;NOM;FEM;PL	N;FEM;SG
karsta	karst	karsta	karst	ADJ;NOM;FEM;SG	N;MASC;SG
atlaists	despedida	atlaist	despedida	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;FEM;SG
atlaists	dispensados	atlaist	dispensar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
uzturēšanas	manutenção	uzturēšana	manutenção	N;NOM;FEM;PL	N;FEM;SG
ceļoja	viajei	ceļot	viajar	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
ceļoja	viajava	ceļot	viajar	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
piešķirti	atribuído	piešķirt	atribuir	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
piešķirti	atribuída	piešķirt	atribuir	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
piešķirti	atribuído	piešķirt	atribuir	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
albert	albert	albert	albert		N;MASC;SG
albert	alberto	albert	alberto		N;MASC;SG
ejot	caminhada	iet	caminhar		N;FEM;SG
ejot	passear	iet	passear		V;NFIN
ejot	andar	iet	andar		V;NFIN
ejot	caminhar	iet	caminhar		V;NFIN
dzeltenas	amarelo	dzeltena	amarelo	ADJ;NOM;FEM;PL	ADJ;MASC;SG
dzeltenas	amarelos	dzeltena	amarelo	ADJ;NOM;FEM;PL	N;MASC;PL
dzeltenas	amarela	dzeltena	amarela	ADJ;NOM;FEM;PL	N;FEM;SG
nafta	óleos	nafta	óleos	N;NOM;FEM;SG	N;MASC;PL
veci	antiga	vecs	antigo	ADJ;NOM;MASC;PL	N;FEM;SG
veci	velho	vecs	velho	ADJ;NOM;MASC;PL	ADJ;MASC;SG
veci	antigo	vecs	antigo	ADJ;NOM;MASC;PL	ADJ;MASC;SG
veci	velha	vecs	velho	ADJ;NOM;MASC;PL	ADJ;FEM;SG
veci	velhos	vecs	velho	ADJ;NOM;MASC;PL	N;MASC;PL
aparatūra	ferragens	aparatūra	ferragem	N;NOM;FEM;SG	N;FEM;PL
aparatūra	aparelhos	aparatūra	aparelho	N;NOM;FEM;SG	N;MASC;PL
