категория	الفئة	категория	فِئَة	N;INDF;FEM;SG	N;NOM;DEF;SG
него	هو	аз	هُوَ	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
тези	هذه	този	هٰذَا	DET;PL	DET;NOM;FEM;SG
тези	اولئك	този	اولئك	DET;PL	
души	ارواح	души	ارواح	N;INDF	N;NOM;INDF;PL
души	النفوس	души	نَفس	N;INDF	N;NOM;DEF;PL
души	الارواح	души	رُوح	N;INDF	N;NOM;DEF;PL
мини	mini	мина	أَثَّث	N;INDF;FEM;PL	
мини	مصغرة	мина	مُصَغَّر	N;INDF;FEM;PL	ADJ;NOM;INDF;FEM;SG
мини	ميني	мина	ميني	N;INDF;FEM;PL	
мини	مصغر	мина	مَصغَر	N;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
мини	الالغام	мина	لَغَم	N;INDF;FEM;PL	N;NOM;DEF;PL
мини	الغام	мина	غَام	N;INDF;FEM;PL	
мини	المناجم	мина	مَنجَم	N;INDF;FEM;PL	N;NOM;DEF;PL
мини	ميني	мина	ميني	N;INDF;FEM;PL	
република	الجمهورية	република	جُمهُورِيَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
късно	اواخر	късно	آخِر	ADV	ADJ;NOM;INDF;MASC;PL
късно	تاخر	късно	تَأَخُّر	ADV	N;NOM;INDF;SG
късно	متاخرة	късно	مُتَاخِر	ADV	ADJ;NOM;INDF;FEM;SG
късно	متاخر	късно	مُتَأَخِّر	ADV	ADJ;NOM;INDF;MASC;SG
май	قد	май	قَد	PROPN;INDF;MASC;SG	PART
май	ماي	май	مَاي	PROPN;INDF;MASC;SG	
май	مايو	май	مَايُو	PROPN;INDF;MASC;SG	N;GEN;INDF;SG
май	ايار	май	أَيَّار	PROPN;INDF;MASC;SG	N;NOM;INDF;SG
път	الصراط	път	صِرَاط	N;INDF;MASC;SG	N;NOM;DEF;SG
път	الدرب	път	دَرب	N;INDF;MASC;SG	N;NOM;DEF;SG
път	المسار	път	مَسَار	N;INDF;MASC;SG	N;NOM;DEF;SG
път	الطريق	път	طَرِيق	N;INDF;MASC;SG	N;NOM;DEF;SG
отбор	الفريق	отбор	فَرِيق	N;INDF;MASC;SG	N;NOM;DEF;SG
няколко	قليلون	няколко	قليلون	PRO;INDF	ADJ;NOM;INDF;MASC;PL
няколко	قليلة	няколко	قَلِيل	PRO;INDF	ADJ;NOM;INDF;FEM;SG
няколко	قلة	няколко	قِلَّة	PRO;INDF	N;NOM;INDF;SG
няколко	عدة	няколко	عِدَّة	PRO;INDF	N;NOM;INDF;SG
август	اوغست	август	أَوغَس	N;INDF;MASC;SG	
роден	ولد	родя-(се)	وَلَد	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;NOM;INDF;SG
роден	تولد	родя-(се)	تَوَلُّد	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;IPFV;FEM;IND;SG;3;FIN;ACT
роден	مولود	родя-(се)	مولود	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;NOM;INDF;SG
роден	يولد	родя-(се)	وَلَّد	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
беседа	المحادثة	бесед	مُحَادَثَة	N;INDF;FEM;SG	N;NOM;DEF;SG
името	اسم	име	اِسم	N;DEF;NEUT;SG	N;NOM;INDF;SG
група	الفرقة	група	فِرقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
група	المجموعة	група	مَجمُوعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
език	اللسان	език	لِسَان	N;INDF;MASC;SG	N;NOM;DEF;SG
език	اللغة	език	لُغَة	N;INDF;MASC;SG	N;NOM;DEF;SG
някои	البعض	някой	بَعض	PRO;NOM;PL	N;NOM;DEF;SG
някои	بعض	някой	بَعض	PRO;NOM;PL	N;NOM;INDF;SG
тях	هم	аз	هُوَ	PRO;ACC;PL;3	PRO;NOM;MASC;PL;3
река	ريفر	река	رِيفِر	N;INDF;FEM;SG	
река	النهر	река	نَهر	N;INDF;FEM;SG	N;NOM;DEF;SG
две	اثنان	два	اِثنَان	NUM;INDF;FEM;PL	N;NOM;INDF;SG
име	الاسم	име	اِسم	N;INDF;NEUT;SG	N;NOM;DEF;SG
заедно	سويا	заедно	سُويَا	ADV	
заедно	سوية	заедно	سُوِيّ	ADV	
заедно	معا	заедно	مَعًا	ADV	
фон	الخلفية	фон	خَلفِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
американски	امريكيون	американски	أَمرِيكِيّ	ADJ;INDF;MASC;SG	N;NOM;INDF;PL
американски	الامريكي	американски	أَمرِيكِيّ	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
март	المسيرة	март	مَسِيرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
чрез	فيا	чрез	فِيَا	ADP	
история	ستوري	история	ستوري	N;INDF;FEM;SG	
история	القصة	история	قِصَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
история	قصه	история	قَصه	N;INDF;FEM;SG	
история	التاريخ	история	تَارِيخ	N;INDF;FEM;SG	N;NOM;DEF;SG
жители	ساكن	жител	سَاكِن	N;INDF;MASC;PL	ADJ;NOM;INDF;MASC;SG
жители	السكان	жител	سَاكِن	N;INDF;MASC;PL	N;NOM;DEF;PL
жители	المقيمون	жител	مُقَيَّم	N;INDF;MASC;PL	N;NOM;DEF;PL
жители	المقيمين	жител	مُقِيم	N;INDF;MASC;PL	ADJ;ACC;DEF;MASC;PL
различни	مختلف	различен	مُختَلِف	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
различни	مختلفة	различен	مُختَلِف	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
различни	مختلفا	различен	مُختَلِف	ADJ;INDF;PL	ADJ;ACC;INDF;MASC;SG
различни	شتى	различен	شتى	ADJ;INDF;PL	N;NOM;INDF;SG
различни	المتنوعة	различен	مُتَنَوِّع	ADJ;INDF;PL	ADJ;NOM;DEF;FEM;SG
различни	متنوع	различен	مُتَنَوِّع	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
различни	متنوعة	различен	مُتَنَوِّع	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
без	بدون	без	بدون	ADP	
често	غالبا	често	غَالِب	ADV	ADJ;ACC;INDF;MASC;SG
работи	العمل	работя	عَمَل	V;IPFV;IMP;SG;2;FIN	N;NOM;DEF;SG
работи	اعمل	работя	عَمَل	V;IPFV;IMP;SG;2;FIN	
работи	عمل	работя	عَمَل	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;SG
работи	يعمل	работя	عَمِل	V;IPFV;IMP;SG;2;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
работи	يشتغل	работя	اِشتَغَل	V;IPFV;IMP;SG;2;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
работи	اشغال	работя	شُغل	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;PL
работи	ينفع	работя	نَفَع	V;IPFV;IMP;SG;2;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
провинция	المحافظة	провинция	مُحَافَظَة	N;INDF;FEM;SG	N;NOM;DEF;SG
провинция	الاقليم	провинция	إِقلِيم	N;INDF;FEM;SG	
провинция	اقليم	провинция	اقليم	N;INDF;FEM;SG	
провинция	المقاطعة	провинция	مُقَاطَعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
империя	الامبراطورية	империя	الامبراطورية	N;INDF;FEM;SG	N;NOM;DEF;SG
иван	ايفان	иван	إِيفَان	PROPN;INDF;MASC;SG	
център	سنتر	център	سنتر	N;INDF;MASC;SG	
център	المركز	център	مَركَز	N;INDF;MASC;SG	N;NOM;DEF;SG
център	المنتصف	център	مُنتَصَف	N;INDF;MASC;SG	N;NOM;DEF;SG
център	الوسط	център	وَسط	N;INDF;MASC;SG	N;NOM;DEF;SG
център	المركز	център	مَركَز	N;INDF;MASC;SG	N;NOM;DEF;SG
повече	المزيد	повече	مَزِيد	ADV;INDF;PL	N;NOM;DEF;SG
повече	اكتر	повече	أَكتَر	ADV;INDF;PL	
повече	اكثر	повече	أَكثَر	ADV;INDF;PL	ADJ;NOM;INDF;MASC;SG
повече	مزيد	повече	مَزِيد	ADV;INDF;PL	N;NOM;INDF;SG
три	th	три	th	NUM;INDF;PL	
три	ثلاثه	три	ثلاثه	NUM;INDF;PL	
страна	البلاد	страна	بَلَد	N;INDF;FEM;SG	N;NOM;DEF;PL
страна	بلاد	страна	بَلَد	N;INDF;FEM;SG	N;NOM;INDF;PL
страна	البلد	страна	بَلَد	N;INDF;FEM;SG	N;NOM;DEF;SG
страна	جنب	страна	جَنب	N;INDF;FEM;SG	
страна	الجانب	страна	جَانِب	N;INDF;FEM;SG	N;NOM;DEF;SG
градове	البلدات	град	بَلدَة	N;INDF;MASC;PL	N;NOM;DEF;PL
градове	المدن	град	مَدِينَة	N;INDF;MASC;PL	N;NOM;DEF;PL
градове	المدن	град	مَدِينَة	N;INDF;MASC;PL	N;NOM;DEF;PL
население	الديمغرافية	население	دِيمُغرَافِيّ	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
население	السكان	население	سَاكِن	N;INDF;NEUT;SG	N;NOM;DEF;PL
бил	بيل	съм	بِيل	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	
бил	فاتورة	съм	فَاتُورَة	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;NOM;INDF;SG
бил	الفاتورة	съм	فَاتُورَة	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;NOM;DEF;SG
малко	الصغير	малко	صَغِير	ADV;INDF;PL	
малко	قليل	малко	قَلِيل	ADV;INDF;PL	ADJ;NOM;INDF;MASC;SG
малко	القليل	малко	قَلِيل	ADV;INDF;PL	
хора	اشخاص	хора	شَخص	N;INDF	N;NOM;INDF;PL
хора	اناس	хора	اناس	N;INDF	N;NOM;INDF;PL
хора	الاشخاص	хора	شَخص	N;INDF	N;NOM;DEF;PL
хора	الناس	хора	إِنسَان	N;INDF	N;NOM;DEF;PL
хора	ناس	хора	نَاسِي	N;INDF	
университет	الجامعة	университет	جَامِعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
германия	المانيا	германия	أَلمَانِيَا	PROPN;INDF;FEM;SG	
могат	يستطيع	мога	اِستَطَاع	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
могат	يمكن	мога	أَمكَن	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
могат	يم	мога	يم	V;IPFV;IND;PL;3;PRS;FIN;ACT	
син	بلو	син	بِلُو	N;INDF;MASC;SG	
син	ازرق	син	أَزرَق	N;INDF;MASC;SG	
син	الزرقاء	син	أَزرَق	N;INDF;MASC;SG	
син	الازرق	син	أَزرَق	N;INDF;MASC;SG	N;NOM;DEF;SG
син	زرقاء	син	زَرِيق	N;INDF;MASC;SG	N;NOM;INDF;PL
син	ابن	син	ابن	N;INDF;MASC;SG	
син	بني	син	بني	N;INDF;MASC;SG	
син	الابن	син	اِبن	N;INDF;MASC;SG	N;NOM;DEF;SG
награда	ثواب	награда	ثَابِيَة	N;INDF;FEM;SG	N;NOM;INDF;PL
награда	الجائزة	награда	جَائِزَة	N;INDF;FEM;SG	N;NOM;DEF;SG
награда	الجائزة	награда	جَائِزَة	N;INDF;FEM;SG	N;NOM;DEF;SG
голяма	الكبير	голям	كَبِير	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
голяма	كبيره	голям	كبيره	ADJ;INDF;FEM;SG	
италия	ايطاليا	италия	إِيطَالِيَا	PROPN;INDF;FEM;SG	
край	نهاية	край	نِهَايَة	ADP	N;NOM;INDF;SG
край	النهاية	край	نِهَايَة	ADP	N;NOM;DEF;SG
уикипедия	ويكيبيديا	уикипедия	ويكيبيديا	N;INDF;FEM;SG	N;NOM;DEF;SG
използва	الاستخدامات	използвам	اِستِخدَام	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;DEF;PL
използва	استخدامات	използвам	اِستِخدَام	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;PL
сезон	الموسم	сезон	مَوسِم	N;INDF;MASC;SG	N;NOM;DEF;SG
окръг	المقاطعة	окръг	مُقَاطَعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
окръг	المنطقة	окръг	مِنطَقَة	N;INDF;MASC;SG	N;NOM;DEF;SG
окръг	المقاطعة	окръг	مُقَاطَعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
днес	اليوم	днес	يَوم	ADV	N;ACC;DEF;SG
смъртта	موت	смърт	مَوت	N;DEF;FEM;SG	
смъртта	وفاة	смърт	وَفَاة	N;DEF;FEM;SG	N;NOM;INDF;SG
франция	وفرنسا	франция	وفرنسا	PROPN;INDF;FEM;SG	
франция	فرانس	франция	فرَانس	PROPN;INDF;FEM;SG	
франция	فرنسا	франция	فَرَنسَا	PROPN;INDF;FEM;SG	
национален	الوطنية	национален	وَطَنِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
национален	ناشيونال	национален	ناشيونال	ADJ;INDF;MASC;SG	
гърция	يونان	гърция	يونان	PROPN;INDF;FEM;SG	
гърция	اليونان	гърция	يُونَان	PROPN;INDF;FEM;SG	N;NOM;DEF;SG
вижте	شاهد	видя-(се)	شَاهَد	V;PFV;IMP;PL;2;FIN	
вижте	ترى	видя-(се)	رَأَى	V;PFV;IMP;PL;2;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
русия	روسيا	русия	رُوسِيَا	PROPN;INDF;FEM;SG	
английски	الانجليزية	английски	إِنجلِيزِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
английски	انجليزي	английски	أَنجِلِيزِيّ	ADJ;INDF;MASC;SG	
английски	الانكليزية	английски	الانكليزية	ADJ;INDF;MASC;SG	
английски	بالانكليزية	английски	بَالانكلِيزِيّ	ADJ;INDF;MASC;SG	
едно	احد	един	أَحَد	NUM;INDF;NEUT;SG	N;NOM;INDF;SG
едно	واحدة	един	وَاحِد	NUM;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
едно	واحد	един	وَاحِد	NUM;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
едно	واحده	един	واحده	NUM;INDF;NEUT;SG	PRO;NOM;MASC;SG;3
първи	الاول	първи	أَوَّل	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
първи	الاولى	първи	أَوَّل	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
отново	مجددا	отново	مُجَدَّد	ADV	ADJ;ACC;INDF;MASC;SG
отново	ثانية	отново	ثَانِي	ADV	ADJ;NOM;INDF;FEM;SG
член	العضو	член	عُضو	N;INDF;MASC;SG	N;NOM;DEF;SG
член	المقالة	член	مُقَال	N;INDF;MASC;SG	N;NOM;DEF;SG
член	المادة	член	مَادَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
височина	الارتفاع	височина	اِرتِفَاع	N;INDF;FEM;SG	N;NOM;DEF;SG
височина	الارتفاع	височина	اِرتِفَاع	N;INDF;FEM;SG	N;NOM;DEF;SG
височина	الطول	височина	طُول	N;INDF;FEM;SG	N;NOM;DEF;SG
височина	الارتفاع	височина	اِرتِفَاع	N;INDF;FEM;SG	N;NOM;DEF;SG
дъщеря	الابنة	дъщеря	الابنة	N;INDF;FEM;SG	N;NOM;DEF;SG
дъщеря	البنت	дъщеря	بَنت	N;INDF;FEM;SG	N;NOM;DEF;SG
дъщеря	بنت	дъщеря	بَنَى	N;INDF;FEM;SG	V;PFV;FEM;SG;3;ACT
система	النظام	система	نِظَام	N;INDF;FEM;SG	N;NOM;DEF;SG
система	المنظومة	система	مَنظُومَة	N;INDF;FEM;SG	N;NOM;DEF;SG
нея	لها	аз	لها	PRO;ACC;FEM;SG;3	
нея	هي	аз	هُوَ	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
училище	مدرسه	училище	مدرسه	N;INDF;NEUT;SG	PRO;NOM;MASC;SG;3
училище	المدرسة	училище	مَدرَسَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
училище	المدارس	училище	مَدرَسَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
били	بيلي	съм	بِيلِيّ	V;IPFV;INDF;IND;PL;V.PTCP;ACT	
били	بيلى	съм	بَيلِيّ	V;IPFV;INDF;IND;PL;V.PTCP;ACT	
света	عالم	свят	عَالَم	N;DEF;MASC;SG	N;NOM;INDF;SG
света	العالمي	свят	عَالَمِيّ	N;DEF;MASC;SG	ADJ;NOM;DEF;MASC;SG
света	world	свят	world	N;DEF;MASC;SG	
села	القرى	село	قَريَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
филми	الافلام	филм	فِيلم	N;INDF;MASC;PL	N;NOM;DEF;PL
филми	الافلام	филм	فِيلم	N;INDF;MASC;PL	N;NOM;DEF;PL
александър	الكسندر	александър	أَلِكسَندر	PROPN;INDF;MASC;SG	
александър	اليكساندر	александър	اليكساندر	PROPN;INDF;MASC;SG	
александър	الكساندر	александър	كُسَانُدر	PROPN;INDF;MASC;SG	
александър	الاسكندر	александър	الاسكندر	PROPN;INDF;MASC;SG	N;NOM;DEF;SG
умира	اموت	умирам	أَمَا	V;IPFV;IND;SG;3;PRS;FIN;ACT	
южна	جنوب	южен	جَنُوب	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
южна	جنوبا	южен	جَنُوب	ADJ;INDF;FEM;SG	N;ACC;INDF;SG
южна	الجنوب	южен	جَنُوب	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
южна	جنوب	южен	جَنُوب	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
южна	ساوث	южен	سَاوث	ADJ;INDF;FEM;SG	
европа	اوروبا	европа	أُورُوبَا	PROPN;INDF;FEM;SG	
европа	اوربا	европа	أُورُبَّا	PROPN;INDF;FEM;SG	
европа	يوروبا	европа	يُورُوبَا	PROPN;INDF;FEM;SG	
всеки	الجميع	всеки	جَمِيع	PRO;NOM;MASC;SG	N;NOM;DEF;SG
части	الاجزاء	част	جُزء	N;INDF;FEM;PL	N;NOM;DEF;SG
баща	الاب	баща	الاب	N;INDF;MASC;SG	
баща	ابت	баща	أَبتَ	N;INDF;MASC;SG	
баща	اب	баща	آب	N;INDF;MASC;SG	
нова	جدد	нов	جَدَّد	ADJ;INDF;FEM;SG	V;PFV;MASC;SG;3;ACT
нова	الجديد	нов	جَدِيد	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
нова	نوفا	нов	نوفا	ADJ;INDF;FEM;SG	
крал	ملك	крал	مَلِك	N;INDF;MASC;SG	
крал	كينغ	крал	كينغ	N;INDF;MASC;SG	
крал	الملك	крал	مَلِك	N;INDF;MASC;SG	N;NOM;DEF;SG
крал	كينج	крал	كينج	N;INDF;MASC;SG	
армия	الجيش	армия	جَيش	N;INDF;FEM;SG	N;NOM;DEF;SG
църква	كنيسه	църква	كنيسه	N;INDF;FEM;SG	PRO;NOM;MASC;SG;3
църква	كنيست	църква	كَنِيس	N;INDF;FEM;SG	
църква	الكنيسة	църква	كَنِيسَة	N;INDF;FEM;SG	N;NOM;DEF;SG
докато	بينما	докато	بَينَمَا	CONJ	CONJ
докато	حتى	докато	حَتَّى	CONJ	ADV
официален	الرسمي	официален	رَسمِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
официален	مسؤول	официален	مَسؤُول	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
официален	الرسمي	официален	رَسمِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
северна	نورث	северен	نورث	ADJ;INDF;FEM;SG	
северна	شمالي	северен	شمالي	ADJ;INDF;FEM;SG	
северна	شمال	северен	شَمَال	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
северна	شمالا	северен	شَمَال	ADJ;INDF;FEM;SG	N;ACC;INDF;SG
северна	الشمال	северен	شَمَال	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
северна	الشمالية	северен	شَمَالِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
северна	شمال	северен	شَمَال	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
северна	الشمالي	северен	شَمَالِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
северна	شمالي	северен	شمالي	ADJ;INDF;FEM;SG	
времето	طقس	време	طَقس	N;DEF;NEUT;SG	N;NOM;INDF;SG
времето	وقت	време	وَقت	N;DEF;NEUT;SG	N;NOM;INDF;SG
