और	och	और	och		CONJ
जो	vem	जो	vem	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
जो	who	जो	who	PRO;NOM;SG;3	N;NOM;INDF;NEUT;SG
ही	hee	ही	hee	PART	PROPN;NOM
रूप	bilda	रूप	bilda	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
रूप	framträdande	रूप	framträdande	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
कर	skatt	कर	skatt	V;ACT	N;NOM;INDF;MASC+FEM;SG
कर	skatt	कर	skatt	V;ACT	N;NOM;INDF;MASC+FEM;SG
कर	skatter	कर	skatt	V;ACT	N;NOM;INDF;MASC+FEM;PL
नहीं	nix	नहीं	nix	PART;NEG	N;NOM;INDF;NEUT;SG
नहीं	nope	नहीं	nope	PART;NEG	N;NOM;INDF;MASC+FEM;SG
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
साथ	utmed	साथ	utmed	ADV;NOM;MASC;SG;3	ADP
साथ	med	साथ	med	ADV;NOM;MASC;SG;3	ADP
पूर्व	östra	पूर्व	östra	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;SG
पूर्व	öst	पूर्व	öst	ADV;NOM;MASC;SG;3	N
पूर्व	öster	पूर्व	öster	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
होता	skulle	हो	skola	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;ACT
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बाद	efter	बाद	efter	ADV;NOM;MASC;SG;3	ADP
तक	tills	तक	tills	CONJ	ADV
तक	tills	तक	tills	CONJ	ADV
तक	tak	तक	tak	CONJ	N;NOM;INDF;NEUT;SG
अपने	äga	अपना	äga	PRO;NOM;MASC	V;IMP;FIN;ACT
अपने	eget	अपना	egen	PRO;NOM;MASC	ADJ;NOM;NEUT;SG
अपने	egen	अपना	egen	PRO;NOM;MASC	ADJ;NOM;MASC+FEM;SG
अपने	egna	अपना	egen	PRO;NOM;MASC	ADJ;NOM;PL
जिले	distrikten	जिला	distrikt	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;PL
जिले	stadsdelar	जिला	stadsdel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
था	had	था	had	V;MASC;IND;SG;PST;FIN;ACT	V;IMP;FIN;ACT
था	hadde	था	ha	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
था	hade	था	ha	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
था	haft	था	ha	V;MASC;IND;SG;PST;FIN;ACT	V;V.CVB;ACT
था	var	था	var	V;MASC;IND;SG;PST;FIN;ACT	PRO;INDF;MASC+FEM;SG
राज्य	staterna	राज्य	stat	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
राज्य	stater	राज्य	stat	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
राज्य	delstater	राज्य	delstat	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
राज्य	statliga	राज्य	statlig	N;NOM;MASC;SG;3	ADJ;NOM;PL
राज्य	statligt	राज्य	statlig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
बाहरी	utomhus	बाहरी	utomhus	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
बाहरी	externt	बाहरी	extern	ADJ;NOM	ADV
बाहरी	externa	बाहरी	ext	ADJ;NOM	N;NOM;DEF;MASC+FEM;PL
बाहरी	utomhus	बाहरी	utomhus	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
बाहरी	uteservering	बाहरी	uteservering	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
कुछ	vissa	कुछ	vissa	DET	PRO;INDF;PL
कुछ	somliga	कुछ	somlig	DET	PRO;INDF;PL
कुछ	nånting	कुछ	nånting	DET	PRO;INDF;NEUT;SG
कुछ	något	कुछ	någon	DET	PRO;INDF;NEUT;SG
कुछ	någonting	कुछ	någonting	DET	PRO;INDF;NEUT;SG
कुछ	nåt	कुछ	nåt	DET	PRO;INDF;NEUT;SG
ईसा	jesus	ईसा	jesus	N;NOM;MASC;SG;3	PROPN;NOM
गाँव	byn	गाँव	byn	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;SG
गाँव	by	गाँव	by	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
गाँव	village	गाँव	village	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
कड़ियाँ	anknyter	कड़ी	anknyta	N;NOM;FEM;PL;3	V;IND;PRS;FIN;ACT
इसके	its	यह	its	PRO;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
दिया	givet	दे	giv	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
दिया	given	दे	given	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
दिया	givna	दे	givna	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;PL;PST;V.PTCP
अन्य	annan	अन्य	annan	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
अन्य	övrig	अन्य	övrig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
अन्य	övriga	अन्य	övrig	N;NOM;MASC;SG;3	ADJ;NOM;PL
अन्य	andra	अन्य	annan	N;NOM;MASC;SG;3	PRO;INDF;PL
अन्य	övrigt	अन्य	övrigt	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
अन्य	annat	अन्य	annan	N;NOM;MASC;SG;3	PRO;INDF;NEUT;SG
अन्य	andra	अन्य	annan	N;NOM;MASC;SG;3	PRO;INDF;PL
अन्य	övriga	अन्य	övrig	N;NOM;MASC;SG;3	ADJ;NOM;PL
जा	jaa	जा	ja	V;ACT	INTJ
वर्ष	åratal	वर्ष	åratal	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
वर्ष	åren	वर्ष	år	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;PL
समय	tidpunkter	समय	tidpunkt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
नाम	namnge	नाम	namnge	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
वे	de	वह	de	PRO;NOM;SG;3	PRO;NOM;DEF;PL
वे	dom	वह	de	PRO;NOM;SG;3	PRO;NOM;DEF;PL
प्रकार	snäll	प्रकार	snäll	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
प्रकार	typer	प्रकार	typ	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
भारतीय	indiska	भारतीय	indisk	PROPN;NOM;SG;3	ADJ;NOM;PL
भारतीय	indier	भारतीय	indi	PROPN;NOM;SG;3	N;NOM;INDF;NEUT;SG
भारतीय	indisk	भारतीय	indisk	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
भारतीय	indiskt	भारतीय	indisk	PROPN;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG
भारतीय	indian	भारतीय	indian	PROPN;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
किसी	någon	कोई	någon	PRO;ACC;SG;3	PRO;INDF;MASC+FEM;SG
किसी	nån	कोई	nån	PRO;ACC;SG;3	PRO;INDF;MASC+FEM;SG
तहसील	tehsil	तहसील	tehsil	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
क्षेत्र	områden	क्षेत्र	område	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
अधिक	mera	अधिक	mycket	DET	ADV;CMPR
अधिक	more	अधिक	more	DET	
अधिक	fler	अधिक	mången	DET	PRO;INDF;PL
अधिक	mer	अधिक	mycket	DET	ADV;CMPR
कई	många	कई	mången	DET	PRO;INDF;PL
कई	flera	कई	flera	DET	PRO;INDF;PL
वाले	wale	वाला	wale	V;MASC;PL;FIN;ACT	PROPN;NOM
स्थित	ligger	स्थित	ligga	ADJ	V;IND;PRS;FIN;ACT
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मण्डल	zonen	मण्डल	zon	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
मण्डल	zon	मण्डल	zon	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
आधिकारिक	tjänsteman	आधिकारिक	tjänsteman	ADJ	N;NOM;INDF;MASC+FEM;SG
कारण	anledningar	कारण	anledning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
कारण	orsaker	कारण	orsak	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
कारण	orsaka	कारण	orsak	N;NOM;MASC;SG;3	V;IMP;NFIN;ACT
कारण	orsakar	कारण	orsak	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
कारण	orsaker	कारण	orsak	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
जैसे	gilla	जैसे	gilla	CONJ	V;IMP;FIN;ACT
जैसे	gillar	जैसे	gilla	CONJ	V;IND;PRS;FIN;ACT
जैसे	like	जैसे	like	CONJ	V;IMP;FIN;ACT
करता	översittare	कर	översittare	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
करता	mobbare	कर	mobbare	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;PL
उनके	sina	वह	sig	PRO;MASC;SG;3;FORM	PRO;DEF;PL
उनके	dem	वह	de	PRO;MASC;SG;3;FORM	PRO;ACC;DEF;PL
उनके	dom	वह	de	PRO;MASC;SG;3;FORM	PRO;NOM;DEF;PL
सबसे	most	सबसे	most	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
सबसे	mest	सबसे	mycket	ADJ;NOM	ADV;RL
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
बहुत	mycket	बहुत	mycket	DET	ADV
पहले	före	पहले	före	ADV;NOM;MASC;SG;3	ADP
पहले	innan	पहले	innan	ADV;NOM;MASC;SG;3	CONJ
पहले	första	पहले	en	ADV;NOM;MASC;SG;3	ADJ;NOM
अपनी	äga	अपना	äga	PRO;NOM;FEM	V;IMP;FIN;ACT
अपनी	eget	अपना	egen	PRO;NOM;FEM	ADJ;NOM;NEUT;SG
अपनी	egen	अपना	egen	PRO;NOM;FEM	ADJ;NOM;MASC+FEM;SG
अपनी	egna	अपना	egen	PRO;NOM;FEM	ADJ;NOM;PL
अपनी	carnal	अपना	carnal	PRO;NOM;FEM	N;NOM;INDF;MASC+FEM;SG
जिला	valdistrikt	जिला	valdistrikt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
जब	när	जब	när	PRO;NOM	ADV
उन्होंने	de	वह	de	PRO;SG;3;FORM	PRO;NOM;DEF;PL
उन्होंने	dom	वह	de	PRO;SG;3;FORM	PRO;NOM;DEF;PL
उन्होंने	egyptierna	वह	egyptium	PRO;SG;3;FORM	N;NOM;DEF;MASC+FEM;PL
उन्होंने	egyptier	वह	egypti	PRO;SG;3;FORM	N;NOM;INDF;MASC+FEM;PL
जन्म	född	जन्म	född	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
जन्म	födda	जन्म	född	N;NOM;MASC;SG;3	ADJ;NOM;PL;PST;V.PTCP
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;NOM;INDF;NEUT;SG
कोई	någon	कोई	någon	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
इन	inn	यह	inn	DET;ACC;PL;3	N;NOM;INDF;NEUT;SG
इन	värdshus	यह	värdshus	DET;ACC;PL;3	N;NOM;INDF;NEUT;SG
ये	denna	यह	denna	PRO;NOM;PL;3	PRO;DEF;MASC+FEM;SG
ये	detta	यह	denna	PRO;NOM;PL;3	PRO;DEF;NEUT;SG
ये	dessa	यह	denna	PRO;NOM;PL;3	PRO;DEF;PL
कम	låga	कम	låg	DET	ADJ;NOM;PL
कम	lågt	कम	låg	DET	ADJ;NOM;INDF;NEUT;SG
कम	low	कम	low	DET	N;NOM;INDF;MASC+FEM;SG
कम	låg	कम	låg	DET	INTJ
कम	färre	कम	få	DET	ADJ;NOM;CMPR
कम	mindre	कम	lite	DET	ADV;CMPR
कम	färre	कम	få	DET	ADJ;NOM;CMPR
कहा	sagda	कह	sagda	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;PL;PST;V.PTCP
लोग	people	लोग	people	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
आदि	etc	आदि	etc	PART	ADV
आदि	osv	आदि	osv	PART	ADV
आदि	mera	आदि	mycket	PART	ADV;CMPR
आदि	more	आदि	more	PART	
आदि	fler	आदि	mången	PART	PRO;INDF;PL
आदि	mer	आदि	mycket	PART	ADV;CMPR
आदि	adi	आदि	adi	PART	PROPN;NOM
उसके	her	वह	her	PRO;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
उसके	henne	वह	hon	PRO;MASC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
प्राचीन	antikens	प्राचीन	antik	ADJ;NOM	N;GEN;DEF;MASC+FEM;SG
प्राचीन	praetor	प्राचीन	praetor	ADJ;NOM	N;NOM;INDF;NEUT;SG
देखें	klocka	देख	klocka	V;SBJV;PL;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
देखें	titta	देख	titta	V;SBJV;PL;FIN;ACT	V;IMP;FIN;ACT
देखें	see	देख	see	V;SBJV;PL;FIN;ACT	V;IMP;FIN;ACT
देखें	se	देख	se	V;SBJV;PL;FIN;ACT	V;IMP;FIN;ACT
देखें	utsikt	देख	utsikt	V;SBJV;PL;FIN;ACT	N;NOM;INDF;NEUT;SG
देखें	vy	देख	vy	V;SBJV;PL;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
देखें	visa	देख	visa	V;SBJV;PL;FIN;ACT	V;IMP;FIN;ACT
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
उत्तर	besvara	उत्तर	besvara	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
उत्तर	svara	उत्तर	svara	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
उत्तर	norr	उत्तर	norr	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
उत्तर	norra	उत्तर	norra	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;SG
उत्तर	norrut	उत्तर	norrut	PROPN;NOM;MASC;SG;3	ADV
उत्तर	nord	उत्तर	nord	PROPN;NOM;MASC;SG;3	PROPN;NOM
उत्तर	svar	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
उत्तर	svaren	उत्तर	svar	PROPN;NOM;MASC;SG;3	N;NOM;DEF;NEUT;PL
भाषा	språken	भाषा	språk	N;NOM;FEM;SG;3	N;NOM;DEF;NEUT;PL
लिये	för	ले	för	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	alla	सब	all	PRO;NOM;3	PRO;INDF;PL
प्राप्त	erhållits	प्राप्त	erhålla	ADJ	V;V.CVB;PASS
प्राप्त	fått	प्राप्त	få	ADJ	V;V.CVB;ACT
प्राप्त	mottaget	प्राप्त	mottagen	ADJ	N;NOM;DEF;NEUT;SG
प्राप्त	fick	प्राप्त	få	ADJ	V;IND;PST;FIN;ACT
इसका	its	यह	its	PRO;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रयोग	experiment	प्रयोग	experiment	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
प्रयोग	experiment	प्रयोग	experiment	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
प्रयोग	experimentera	प्रयोग	experimentera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
शामिल	inkluderar	शामिल	inkludera	ADJ	V;IND;PRS;FIN;ACT
शामिल	innefattar	शामिल	innefatta	ADJ	V;IND;PRS;FIN;ACT
शामिल	ingår	शामिल	ingå	ADJ	V;IND;PRS;FIN;ACT
शामिल	inbegriper	शामिल	inbegripa	ADJ	V;IND;PRS;FIN;ACT
शामिल	ingår	शामिल	ingå	ADJ	V;IND;PRS;FIN;ACT
शामिल	inkluderar	शामिल	inkludera	ADJ	V;IND;PRS;FIN;ACT
शामिल	inkludera	शामिल	inkludera	ADJ	V;IMP;FIN;ACT
उन्हें	dem	वह	de	PRO;SG;3;FORM	PRO;ACC;DEF;PL
उन्हें	dom	वह	de	PRO;SG;3;FORM	PRO;NOM;DEF;PL
उस	att	वह	att	DET;ACC;SG;3	PART
स्थान	platser	स्थान	plats	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
स्थान	ställen	स्थान	ställe	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
स्थान	platser	स्थान	plats	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
स्थान	placera	स्थान	placera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
प्रमुख	större	प्रमुख	stor	N;NOM;MASC;SG;3	ADJ;NOM;CMPR
प्रमुख	huvudsakliga	प्रमुख	huvudsaklig	N;NOM;MASC;SG;3	ADJ;NOM;PL
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	PROPN;NOM
प्रमुख	huvudsaklig	प्रमुख	huvudsaklig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
प्रमुख	viktigaste	प्रमुख	viktig	N;NOM;MASC;SG;3	ADJ;NOM;DEF;RL
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	PROPN;NOM
बीच	stranden	बीच	strand	ADV;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
बीच	strand	बीच	strand	ADV;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बीच	centrum	बीच	centrum	ADV;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
बीच	center	बीच	cent	ADV;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
बीच	mitten	बीच	mitt	ADV;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
गए	borta	जा	borta	V;PFV;MASC;PL;V.PTCP;ACT	ADV
मुख्य	chef	मुख्य	chef	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मुख्य	chief	मुख्य	chief	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मुख्य	chefen	मुख्य	chef	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
मुख्य	hövding	मुख्य	hövding	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मुख्य	huvudsakliga	मुख्य	huvudsaklig	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	PROPN;NOM
मुख्य	huvudsaklig	मुख्य	huvudsaklig	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
मुख्य	viktigaste	मुख्य	viktig	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;RL
थी	var	था	var	V;FEM;IND;SG;PST;FIN;ACT	PRO;INDF;MASC+FEM;SG
बिहार	bihar	बिहार	bih	PROPN;NOM;MASC;SG;3	PROPN;NOM
उसे	honom	वह	han	PRO;SG;3	PRO;ACC;DEF;MASC+FEM;SG
उसे	her	वह	her	PRO;SG;3	N;NOM;INDF;MASC+FEM;SG
उसे	henne	वह	hon	PRO;SG;3	PRO;ACC;DEF;MASC+FEM;SG
कार्य	arbetsuppgifter	कार्य	arbetsuppgift	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
कार्य	uppgifter	कार्य	uppgift	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
कार्य	arbeta	कार्य	arbeta	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
कार्य	jobba	कार्य	jobba	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
कार्य	arbetstillfällen	कार्य	arbetstillfälle	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
कार्य	arbeten	कार्य	arbete	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
उनकी	sina	वह	sig	PRO;FEM;SG;3;FORM	PRO;DEF;PL
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	PROPN;NOM
उपयोग	använda	उपयोग	använda	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
उपयोग	använd	उपयोग	använda	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
उपयोग	användningsområden	उपयोग	användningsområde	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
उपयोग	användningar	उपयोग	användning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
उपयोग	använder	उपयोग	använda	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
लोगों	människor	लोग	människa	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
लोगों	personer	लोग	person	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
लोगों	folk	लोग	folk	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;PL
लोगों	people	लोग	people	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
आधार	basera	आधार	basera	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
काम	arbeta	काम	arbeta	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
काम	jobba	काम	jobba	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
भाग	avsnitt	भाग	avsnitt		N;NOM;INDF;NEUT;SG
भाग	sektioner	भाग	sektion		N;NOM;INDF;MASC+FEM;PL
भाग	delen	भाग	del		N;NOM;DEF;MASC+FEM;SG
भाग	del	भाग	del		N;NOM;INDF;MASC+FEM;SG
भाग	delar	भाग	del		N;NOM;INDF;MASC+FEM;PL
निर्माण	skapande	निर्माण	skapande	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
निर्माण	byggande	निर्माण	bygga	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
निर्माण	bygg	निर्माण	bygg	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
निर्माण	bygga	निर्माण	bygga	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
दोनों	båda	दो	båda	N;ACC;MASC;PL;3	PRO;DEF;PL
दोनों	både	दो	både	N;ACC;MASC;PL;3	CONJ
राष्ट्रीय	nationella	राष्ट्रीय	nationell	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
राष्ट्रीय	nationellt	राष्ट्रीय	nationell	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
राष्ट्रीय	nationell	राष्ट्रीय	nationell	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
जानकारी	upplysningar	जानकारी	upplysning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
जानकारी	uppgifter	जानकारी	uppgift	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
शहर	städer	शहर	stad	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
शहर	orter	शहर	ort	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
शहर	städerna	शहर	stad	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
बार	barer	बार	bar	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
बार	gånger	बार	gång	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
बार	tider	बार	tid	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
बार	tiderna	बार	tid	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;PL
बार	times	बार	tim	N;NOM;FEM;SG;3	PROPN;NOM
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
लगभग	nästan	लगभग	nästan	PART	ADV
लगभग	cirka	लगभग	cirka	PART	ADV
लगभग	ungefär	लगभग	ungefär	PART	ADV
फिल्म	filma	फिल्म	filma	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
यहाँ	här	यहाँ	här	PRO;NOM	ADV
केवल	bara	केवल	bara	PART	ADV
केवल	enbart	केवल	enbart	PART	ADV
केवल	endast	केवल	endast	PART	ADV
देश	länderna	देश	land	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;PL
देश	länder	देश	land	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
अलग	annorlunda	अलग	annorlunda	ADJ	ADV
अलग	separera	अलग	separera	ADJ	V;IMP;NFIN;ACT
विशेष	ensamrätt	विशेष	ensamrätt	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
विशेष	speciellt	विशेष	speciell	ADJ;NOM	ADV
इसकी	its	यह	its	PRO;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कभी	någonsin	कभी	någonsin	PRO	ADV
