月	μουν	月	μουν	N	
魚	ιχθείς	魚	ιχθής	N	ADJ;NOM;MASC;PL
回	πλάτη	回	πλάτος	PROPN	N;NOM;FEM;SG
回	πισω	回	πισω	PROPN	ADV
回	πίσω	回	πίσω	PROPN	ADV
無	καμία	無	κανένας	V	PRO;NOM;FEM;SG;3
無	κανένα	無	κανένας	V	PRO;NOM;NEUT;SG;3
無	ουδέν	無	ουδέν	V	
吉	kat	吉	kat	PROPN	
你	εσύ	你	εσύ	PRO;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
你	εσυ	你	εσυ	PRO;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
方	φανγκ	方	φανγκ	N	
東	ανατολική	東	ανατολικός	N	ADJ;NOM;FEM;SG
東	ανατολικά	東	ανατολικά	N	ADV
東	ανατολικό	東	ανατολικός	N	ADJ;NOM;NEUT;SG
東	ιστ	東	ιστ	N	NUM;NOM;MASC;SG
東	ντονγκ	東	ντονγκ	N	
英國	αγγλία	英國	αγγλία	PROPN	PROPN;ACC;FEM;SG
周	βδομάδα	周	βδομάδα	PROPN	N;ACC;FEM;SG
周	εβδομάδα	周	εβδομάδα	PROPN	N;ACC;FEM;SG
周	βδομάδες	周	βδομάδα	PROPN	N;NOM;FEM;PL
周	εβδομάδων	周	εβδομάδα	PROPN	N;GEN;FEM;PL
周	εβδομάδες	周	εβδομάδα	PROPN	N;NOM;FEM;PL
周	ζου	周	ζου	PROPN	N
周	τσάο	周	τσάος	PROPN	
周	τσόου	周	τσόος	PROPN	N;NOM;NEUT;SG
石	stone	石	stone	N	
石	στόουν	石	στόω	N	PROPN;NOM;NEUT;SG
事件	περιστατικά	事件	περιστατικά	N	ADV
建立	δημιουργία	建立	δημιουργία	V	N;ACC;FEM;SG
建立	ίδρυση	建立	ίδρυση	V	N;NOM;FEM;SG
生活	life	生活	life	V	
生活	ζωή	生活	ζωή	V	N;ACC;FEM;SG
生活	ζωη	生活	ζωη	V	N;ACC;FEM;SG
派	πίτα	派	πίτα	V;CAUS	N;NOM;FEM;SG
教育	εκπαιδευτική	教育	εκπαιδευτικός	N	ADJ;NOM;FEM;SG
教育	εκπαιδευτικό	教育	εκπαιδευτικός	N	ADJ;NOM;NEUT;SG
之後	μετα	之後	μετα	N	ADV
之後	μετά	之後	μετά	N	ADV
萬	γουάν	萬	γουάν	PROPN	
國際	international	國際	international	N	
國際	διεθνείς	國際	διεθνής	N	ADJ;NOM;FEM;PL
國際	διεθνής	國際	διεθνής	N	ADJ;NOM;FEM;SG
國際	διεθνή	國際	διεθνής	N	ADV
國際	διεθνές	國際	διεθνής	N	ADJ;NOM;NEUT;SG
完成	τελείωμα	完成	τελείωμα	V	N;NOM;NEUT;SG
完成	ολοκλήρωση	完成	ολοκλήρωση	V	N;ACC;FEM;SG
完成	πλήρη	完成	πλήρης	V	ADJ;NOM;FEM;SG
完成	πλήρες	完成	πλήρης	V	N;NOM;NEUT;SG
完成	πλήρης	完成	πλήρης	V	ADJ;NOM;FEM;SG
白	λευκός	白	λευκός	N	ADJ;NOM;MASC;SG
白	λευκή	白	λευκός	N	ADJ;NOM;FEM;SG
音樂	μουσική	音樂	μουσικός	N	ADJ;NOM;FEM;SG
音樂	μουσικές	音樂	μουσικός	N	ADJ;NOM;FEM;PL
沙	άμμου	沙	άμμος	PROPN	N;GEN;FEM;SG
沙	σαντ	沙	σαντ	PROPN	
沙	άμμος	沙	άμμος	PROPN	N;NOM;FEM;SG
沙	άμμο	沙	άμμος	PROPN	N;NOM;FEM;SG
沙	σάχη	沙	σάχη	PROPN	
可能	πιθανός	可能	πιθανός	N	ADJ;NOM;MASC;SG
可能	δυνατόν	可能	δυνατός	N	ADJ;NOM;NEUT;SG
可能	πιθανό	可能	πιθανός	N	ADJ;NOM;NEUT;SG
可能	πιθανή	可能	πιθανής	N	ADJ;NOM;FEM;SG
分布	διανομές	分布	διανομή	V	N;NOM;FEM;PL
分布	διανομής	分布	διανομή	V	N;GEN;FEM;SG
分布	κατανομή	分布	κατανομή	V	N;NOM;FEM;SG
分布	διανομή	分布	διανομή	V	N;NOM;FEM;SG
車	car	車	car	N	
官	αξιωματικός	官	αξιωματικός	N	ADJ;NOM;MASC;SG
梅	μάη	梅	μάη	PROPN	ADP
梅	μάιος	梅	μάιος	PROPN	N;NOM;MASC;SG
梅	μέι	梅	μέι	PROPN	
梅	μάης	梅	μάος	PROPN	N;NOM;MASC;SG
梅	μέι	梅	μέι	PROPN	
中文	κινεζική	中文	κινεζικός	N	ADJ;NOM;FEM;SG
中文	κινέζικο	中文	κινέζικος	N	ADJ;NOM;NEUT;SG
自由	λίμπερτι	自由	λίμπερτι	N	
自由	δωρεάν	自由	δωρεάν	N	
自由	free	自由	free	N	
自由	ελεύθερος	自由	ελεύθερος	N	ADJ;NOM;MASC;SG
自由	ελεύθερη	自由	ελεύθερος	N	ADJ;NOM;FEM;SG
黃	γουόνγκ	黃	γουόνγκ	PROPN	
黃	χουάνγκ	黃	χουάνγκ	PROPN	
黃	κίτρινα	黃	κίτρινος	PROPN	N;NOM;NEUT;PL
黃	κίτρινος	黃	κίτρινος	PROPN	ADJ;NOM;MASC;SG
黃	κίτρινη	黃	κίτρινος	PROPN	ADJ;NOM;FEM;SG
黃	κίτρινο	黃	κίτρινος	PROPN	N;NOM;NEUT;SG
光	light	光	light	N	
光	ελαφριά	光	ελαφριά	N	ADJ;NOM;FEM;SG
光	hikari	光	hikari	N	
重要	σπουδαιότητα	重要	σπουδαιότητα	ADJ	N;ACC;FEM;SG
重要	σημασία	重要	σημασία	ADJ	N;NOM;FEM;SG
重要	σημαντικο	重要	σημαντικός	ADJ	N;NOM;SG
工程	μηχανική	工程	μηχανικός	N	ADJ;NOM;FEM;SG
工程	εργάζεται	工程	εργάζομαι	N	V;IPFV;IND;SG;3;PRS;FIN;PASS
工程	δουλεύει	工程	δουλεύω	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
港	χάρμπορ	港	χάρμπορ	PROPN	
港	λιμάνι	港	λιμάνι	PROPN	N;NOM;NEUT;SG
港	πορτ	港	πορτ	PROPN	
港	λιμένας	港	λιμένα	PROPN	N;NOM;MASC;SG
港	θύρα	港	θύρα	PROPN	N;NOM;FEM;SG
港	λιμάνι	港	λιμάνι	PROPN	N;NOM;NEUT;SG
港	harbour	港	harbour	PROPN	
列	στήλη	列	στήλλω	V	N;ACC;FEM;SG
最後	τελευταίο	最後	τελευταίος	N	ADJ;NOM;NEUT;SG
最後	τελευταίοι	最後	τελευταίος	N	ADJ;NOM;MASC;PL
最後	τελευταίος	最後	τελευταίος	N	ADJ;NOM;MASC;SG
最後	τελευταια	最後	τελευταίος	N	V;IPFV;IND;PL;3;PRS;FIN;PASS
最後	τελευταία	最後	τελευταία	N	ADV
提交	υποταγή	提交	υποταγή	V	N;ACC;FEM;SG
提交	υποβολή	提交	υποβολή	V	N;NOM;FEM;SG
提交	υποβολή	提交	υποβολή	V	N;NOM;FEM;SG
經	σούτρα	經	σούτρα	ADP	N;NOM;NEUT;SG
需要	αναγκη	需要	αναγκη	V	N;ACC;FEM;SG
需要	ανάγκη	需要	ανάγκη	V	N;ACC;FEM;SG
需要	απαραίτητος	需要	απαραίτητος	V	ADJ;NOM;MASC;SG
需要	ανάγκες	需要	ανάγκη	V	N;NOM;FEM;PL
江	ρίβερ	江	ρίβερ	PROPN	
江	ποταμός	江	ποταμός	PROPN	N;NOM;MASC;SG
江	ποτάμι	江	ποτάμι	PROPN	N;NOM;NEUT;SG
江	jiang	江	jiang	PROPN	
臺灣	ταϊβάν	臺灣	ταϊβάν	PROPN	
這	αυτο	這	αυτός	DET	PRO;NOM;NEUT;SG;3
這	αυτό	這	αυτός	DET	PRO;NOM;NEUT;SG;3
泰	ταε	泰	ο	PROPN	N
泰	τε	泰	ο	PROPN	N
泰	τάε	泰	τάε	PROPN	
泰	τάι	泰	ο	PROPN	
泰	tai	泰	tai	PROPN	
電視	tv	電視	tv	N	
黑	dark	黑	dark	N	
黑	μαύρη	黑	μαύρος	N	ADJ;NOM;FEM;SG
花	χάνα	花	χάνας	N	
遊戲	game	遊戲	game	N	
遊戲	παιχνιδι	遊戲	παιχνιδι	N	
遊戲	games	遊戲	games	N	
宗	ζονγκ	宗	ζονγκ	PROPN	N
清	qing	清	qing	PROPN	
最高	κορυφαία	最高	κορυφαία	ADJ	ADV
最高	τοπ	最高	τοπ	ADJ	N
最高	top	最高	top	ADJ	
最高	κορυφή	最高	κορυφή	ADJ	N;ACC;FEM;SG
要求	απαίτηση	要求	απαίτηση	V	N;ACC;FEM;SG
要求	απαιτήσεις	要求	απαίτηση	V	N;NOM;FEM;PL
要求	απαιτήσεις	要求	απαίτηση	V	N;NOM;FEM;PL
要求	αιτήματα	要求	αίτημα	V	N;NOM;NEUT;PL
要求	παράκληση	要求	παράκληση	V	N;ACC;FEM;SG
要求	αίτηση	要求	αίτηση	V	N;NOM;FEM;SG
要求	αίτημα	要求	αίτημα	V	N;NOM;NEUT;SG
要求	απαίτηση	要求	απαίτηση	V	N;ACC;FEM;SG
