και	وال	και	وَال	CONJ	N;NOM;DEF;SG
όλα	كله	όλος	كٰلِهَ	ADJ;NOM;NEUT;PL	
όλα	جميع	όλος	جَمِيع	ADJ;NOM;NEUT;PL	N;NOM;INDF;SG
όλα	كل	όλος	كُلّ	ADJ;NOM;NEUT;PL	N;NOM;INDF;SG
όλα	الكل	όλος	كُلّ	ADJ;NOM;NEUT;PL	
ακόμα	لسه	ακόμα	لسه	ADV	
φορές	تايمز	φορά	تَايمز	N;NOM;FEM;PL	
φορές	التايمز	φορά	تَايمز	N;NOM;FEM;PL	
ίδια	نفس	ίδιος	نَفس	ADJ;NOM;FEM;SG	N;NOM;PSSD;SG
ίδια	نفسه	ίδιος	نفسه	ADJ;NOM;FEM;SG	PRO;NOM;MASC;SG;3
χώρα	البلاد	χώρα	بَلَد	N;NOM;FEM;SG	N;NOM;DEF;PL
χώρα	بلاد	χώρα	بَلَد	N;NOM;FEM;SG	N;NOM;INDF;PL
αποτέλεσμα	الحصيلة	αποτέλεσμα	حَصِيلَة	N;ACC;NEUT;SG	N;NOM;DEF;SG
αποτέλεσμα	النتيجة	αποτέλεσμα	نَتِيجَة	N;ACC;NEUT;SG	N;NOM;DEF;SG
αποτέλεσμα	الاثر	αποτέλεσμα	أَثَر	N;ACC;NEUT;SG	N;NOM;DEF;SG
αποτέλεσμα	تاثير	αποτέλεσμα	تَأثِير	N;ACC;NEUT;SG	N;NOM;INDF;SG
αποτέλεσμα	التاثير	αποτέλεσμα	تَاثِير	N;ACC;NEUT;SG	N;NOM;DEF;SG
ιανουαρίου	يناير	ιανουάριος	يَنَايِر	PROPN;GEN;MASC;SG	N;GEN;INDF;SG
σεπτεμβρίου	ايلول	σεπτέμβριο	أَيلُول	N;GEN;MASC;SG	N;NOM;INDF;SG
αγώνες	العاب	αγώνας	لَعب	N;NOM;MASC;PL	
μέσω	فيا	μέσω	فِيَا	ADP	
μαρτίου	المسيرة	μάρτιος	مَسِيرَة	N;GEN;MASC;SG	N;NOM;DEF;SG
μαρτίου	مسيرة	μάρτιος	مَسِيرَة	N;GEN;MASC;SG	N;NOM;INDF;SG
μαρτίου	اذار	μάρτιος	آذَار	N;GEN;MASC;SG	N;NOM;INDF;SG
γεννήθηκε	ولد	γεννώ	وَلَد	V;PFV;IND;SG;3;PST;FIN;PASS	N;NOM;INDF;SG
γεννήθηκε	تولد	γεννώ	تَوَلُّد	V;PFV;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;3;FIN;ACT
γεννήθηκε	مولود	γεννώ	مولود	V;PFV;IND;SG;3;PST;FIN;PASS	N;NOM;INDF;SG
γεννήθηκε	يولد	γεννώ	وَلَّد	V;PFV;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
ιουνίου	حزيران	ιούνιος	حَزِيرَان	N;GEN;MASC;SG	N;NOM;INDF;SG
αυτές	هؤلاء	αυτός	هٰذَا	PRO;NOM;FEM;PL;3	DET;NOM;MASC;PL
αυτές	هذه	αυτός	هٰذَا	PRO;NOM;FEM;PL;3	DET;NOM;FEM;SG
πολλά	كثير	πολύς	كَثِير	ADJ;NOM;NEUT;PL	ADJ;NOM;INDF;MASC;SG
πολλά	العديد	πολύς	عَدِيد	ADJ;NOM;NEUT;PL	ADJ;NOM;DEF;MASC;SG
πολλά	الكثير	πολύς	كَثِير	ADJ;NOM;NEUT;PL	ADJ;NOM;DEF;MASC;SG
απριλίου	نيسان	απρίλιος	نِيسَان	N;GEN;MASC;SG	N;NOM;INDF;SG
τρεις	th	τρεις	th	NUM;NOM;MASC;PL	
τρεις	ثلاثه	τρεις	ثلاثه	NUM;NOM;MASC;PL	
αυγούστου	اوغست	αυγούστος	أَوغَس	N;GEN;MASC;SG	
έργα	يعمل	έργο	عَمِل	N;NOM;NEUT;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
έργα	يشتغل	έργο	اِشتَغَل	N;NOM;NEUT;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
έργα	ينفع	έργο	نَفَع	N;NOM;NEUT;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
χρήση	استعمل	χρήση	اِستَعمَل	N;ACC;FEM;SG	V;PFV;MASC;SG;3;ACT
χρήση	الاستعمال	χρήση	اِستِعمَال	N;ACC;FEM;SG	N;NOM;DEF;SG
χρήση	استخدام	χρήση	اِستِخدَام	N;ACC;FEM;SG	N;NOM;INDF;SG
χρήση	الاستخدام	χρήση	اِستِخدَام	N;ACC;FEM;SG	N;NOM;DEF;SG
χρήση	استخدم	χρήση	اِستَخدَم	N;ACC;FEM;SG	V;PFV;MASC;SG;3;ACT
πρόεδρος	رئيس	πρόεδρος	رَئِيس	N;ACC;MASC;SG	N;NOM;INDF;SG
πρόεδρος	الرئيس	πρόεδρος	رَئِيس	N;ACC;MASC;SG	N;NOM;DEF;SG
πολιτική	السياسات	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;DEF;PL
πολιτική	السياسات	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;DEF;PL
ακόμη	لسه	ακόμα	لسه	ADV	
ίδιο	نفس	ίδιος	نَفس	ADJ;NOM;NEUT;SG	N;NOM;PSSD;SG
ίδιο	نفسه	ίδιος	نفسه	ADJ;NOM;NEUT;SG	PRO;NOM;MASC;SG;3
εκλογές	انتخاب	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;INDF;SG
εκλογές	الانتخاب	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;DEF;SG
τελικά	واخيرا	τελικά	وَ	ADV	
τελικά	اخيرا	τελικά	أَخِير	ADV	ADJ;ACC;INDF;MASC;SG
εποχή	حقبة	εποχή	حِقبَة	N;ACC;FEM;SG	N;NOM;INDF;SG
εποχή	موسم	εποχή	مَوسِم	N;ACC;FEM;SG	N;NOM;INDF;SG
εποχή	الموسم	εποχή	مَوسِم	N;ACC;FEM;SG	N;NOM;DEF;SG
εποχή	عصر	εποχή	عَصر	N;ACC;FEM;SG	N;NOM;INDF;SG
εποχή	عهد	εποχή	عَهد	N;ACC;FEM;SG	N;NOM;INDF;SG
εποχή	حقبة	εποχή	حِقبَة	N;ACC;FEM;SG	N;NOM;INDF;SG
εποχή	العصر	εποχή	عَصر	N;ACC;FEM;SG	N;NOM;DEF;SG
εποχή	الحقبة	εποχή	حِقبَة	N;ACC;FEM;SG	N;NOM;DEF;SG
αρχικά	اصلا	αρχικά	أَصل	ADV	N;ACC;INDF;SG
κύπελλο	كاس	κύπελλος	كَاس	N;NOM;NEUT;SG	
κύπελλο	الكاس	κύπελλος	كَاسّ	N;NOM;NEUT;SG	
ζωή	الحياة	ζωή	حَيَاة	N;ACC;FEM;SG	N;NOM;DEF;SG
ζωή	الحياه	ζωή	حِيَاه	N;ACC;FEM;SG	N;NOM;DEF;SG
ζωή	حياة	ζωή	حَيَاة	N;ACC;FEM;SG	N;NOM;INDF;SG
ζωή	lif	ζωή	قَثحَة	N;ACC;FEM;SG	
ζωή	زوى	ζωή	زوى	N;ACC;FEM;SG	
ζωή	زوي	ζωή	زَوَى	N;ACC;FEM;SG	
έδρα	سيات	έδρα	سَاتِيّ	N;NOM;FEM;SG	
μεγάλο	كبيره	μεγάλος	كبيره	ADJ;NOM;NEUT;SG	
βάση	القاعدة	βάση	قَاعِدَة	N;ACC;FEM;SG	N;NOM;DEF;SG
βάση	قاعدة	βάση	قَاعِدَة	N;ACC;FEM;SG	N;NOM;INDF;SG
βάση	اساس	βάση	أَسَاس	N;ACC;FEM;SG	N;NOM;INDF;SG
βάση	الاساس	βάση	أَسَاس	N;ACC;FEM;SG	N;NOM;DEF;SG
κέντρο	سنتر	κέντρο	سنتر	N;NOM;NEUT;SG	
φεβρουαρίου	شباط	φεβρουάριο	شُبَاط	N;GEN;MASC;SG	N;NOM;INDF;SG
κάτι	شيء	κάτι	شَيء	PRO;NOM;NEUT;SG;3	N;NOM;INDF;SG
κάτι	شئ	κάτι	شئ	PRO;NOM;NEUT;SG;3	N;NOM;INDF;SG
κάτι	حاجه	κάτι	حَاجَه	PRO;NOM;NEUT;SG;3	
κάτι	شي	κάτι	شي	PRO;NOM;NEUT;SG;3	
κοντά	بالقرب	κοντά	بِ	ADV	N;NOM;DEF;SG
κοντά	قرب	κοντά	قُربَ	ADV	ADP;ACC
κοντά	قريب	κοντά	قَرِيب	ADV	ADJ;NOM;INDF;MASC;SG
κοντά	الوثيق	κοντά	وَثِيق	ADV	ADJ;NOM;DEF;MASC;SG
κοντά	مقرب	κοντά	مقرب	ADV	ADJ;NOM;INDF;MASC;SG
κοντά	اغلاق	κοντά	إِغلَاق	ADV	N;NOM;INDF;SG
