категорія	luokan	категорія	luokka	N;INAN;NOM;FEM;SG	N;GEN;SG
файл	tiedostoa	файл	tiedosto	N;INAN;NOM;MASC;SG	N;PRT;SG
файл	tiedoston	файл	tiedosto	N;INAN;NOM;MASC;SG	N;GEN;SG
між	väliin	між	väliin	ADP;INS	ADV
між	välillä	між	välillä	ADP;INS	ADV
між	välissä	між	välissä	ADP;INS	ADV
роки	vuotta	рік	vuosi	N;INAN;NOM;MASC;PL	N;PRT;SG
роки	vuosien	рік	vuosi	N;INAN;NOM;MASC;PL	N;GEN;PL
роки	vuosia	рік	vuosi	N;INAN;NOM;MASC;PL	N;PRT;PL
обговорення	keskustelua	обговорення	keskustelu	N;INAN;NOM;NEUT;SG	N;PRT;SG
обговорення	keskustelun	обговорення	keskustelu	N;INAN;NOM;NEUT;SG	N;GEN;SG
обговорення	keskusteluissa	обговорення	keskustelu	N;INAN;NOM;NEUT;SG	N;IN+ESS;PL
обговорення	keskustelut	обговорення	keskustelu	N;INAN;NOM;NEUT;SG	N;NOM;PL
обговорення	keskusteluja	обговорення	keskustelu	N;INAN;NOM;NEUT;SG	N;PRT;PL
обговорення	keskustele	обговорення	keskustella	N;INAN;NOM;NEUT;SG	V;IMP;SG;2;FIN;ACT
обговорення	keskustella	обговорення	keskustella	N;INAN;NOM;NEUT;SG	V;SG;NFIN;ACT
коли	kun	коли	kun	ADV	CONJ
лише	ainoastaan	лише	ainoastaan	PART	ADV
лише	vain	лише	vain	PART	ADV
список	listan	список	lista	N;INAN;NOM;MASC;SG	N;GEN;SG
список	listaa	список	lista	N;INAN;NOM;MASC;SG	N;PRT;SG
список	luetteloon	список	luettelo	N;INAN;NOM;MASC;SG	N;IN+ALL;SG
вересня	syys	вересень	syys	N;INAN;GEN;MASC;SG	N;NOM;SG
вересня	syyskuuta	вересень	syyskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
вересня	syyskuu	вересень	syyskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
цей	tämän	цей	tämä	DET;NOM;MASC;SG	PRO;GEN;SG
цей	tätä	цей	tämä	DET;NOM;MASC;SG	PRO;PRT;SG
цей	tästä	цей	tämä	DET;NOM;MASC;SG	PRO;IN+ABL;SG
цей	tämä	цей	tämä	DET;NOM;MASC;SG	PRO;NOM;SG
березня	marssi	березень	marssia	N;INAN;GEN;MASC;SG	V;IND;SG;3;PST;FIN;ACT
березня	maaliskuu	березень	maaliskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
березня	maaliskuuta	березень	maaliskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
березня	marssia	березень	marssi	N;INAN;GEN;MASC;SG	V;SG;NFIN;ACT
місце	paikassa	місце	paikka	N;INAN;NOM;NEUT;SG	N;IN+ESS;SG
місце	place	місце	place	N;INAN;NOM;NEUT;SG	
місце	istuimen	місце	istua	N;INAN;NOM;NEUT;SG	N;GEN;SG
місце	istuin	місце	istua	N;INAN;NOM;NEUT;SG	V;IND;SG;1;PST;FIN;ACT
україні	ukrainassa	україна	ukraina	PROPN;INAN;DAT;FEM;SG	N;IN+ESS;SG
україні	ukraina	україна	ukraina	PROPN;INAN;DAT;FEM;SG	N;NOM;SG
україні	ukrainasta	україна	ukraina	PROPN;INAN;DAT;FEM;SG	N;IN+ABL;SG
україні	ukrainan	україна	ukraina	PROPN;INAN;DAT;FEM;SG	N;GEN;SG
серпня	elokuu	серпень	elokuu	N;INAN;GEN;MASC;SG	N;NOM;SG
серпня	elokuuta	серпень	elokuu	N;INAN;GEN;MASC;SG	N;PRT;SG
серпня	elokuussa	серпень	elokuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
серпня	august	серпень	august	N;INAN;GEN;MASC;SG	N;NOM;SG
січня	tammikuu	січень	tammikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
січня	tammikuussa	січень	tammikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
січня	tammikuuta	січень	tammikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
травня	touko	травень	touko	N;INAN;GEN;MASC;SG	N;NOM;SG
травня	toukokuu	травень	toukokuu	N;INAN;GEN;MASC;SG	N;NOM;SG
травня	voi	травень	voi	N;INAN;GEN;MASC;SG	INTJ
травня	toukokuuta	травень	toukokuu	N;INAN;GEN;MASC;SG	N;PRT;SG
грудня	joulukuu	грудень	joulukuu	N;INAN;GEN;MASC;SG	N;NOM;SG
грудня	joulukuussa	грудень	joulukuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
грудня	joulukuuta	грудень	joulukuu	N;INAN;GEN;MASC;SG	N;PRT;SG
інших	muu	інший	muu	DET;GEN;PL	PRO;NOM;SG
інших	muut	інший	muu	DET;GEN;PL	PRO;NOM;PL
інших	muut	інший	muu	DET;GEN;PL	PRO;NOM;PL
інших	toiset	інший	toinen	DET;GEN;PL	PRO;NOM;PL
інших	muita	інший	muu	DET;GEN;PL	PRO;PRT;PL
жовтня	lokakuussa	жовтень	lokakuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
жовтня	lokakuu	жовтень	lokakuu	N;INAN;GEN;MASC;SG	N;NOM;SG
жовтня	mma	жовтень	mma	N;INAN;GEN;MASC;SG	N;NOM;SG
жовтня	lokakuu	жовтень	lokakuu	N;INAN;GEN;MASC;SG	N;NOM;SG
серед	joukossa	серед	joukko	ADP;GEN	N;IN+ESS;SG
серед	keskuudessa	серед	keskuudessa	ADP;GEN	ADV
серед	joukossa	серед	joukko	ADP;GEN	N;IN+ESS;SG
серед	keskuudessa	серед	keskuudessa	ADP;GEN	ADV
один	yhden	один	yksi	NUM;NOM;MASC	NUM;GEN;SG
один	one	один	oni	NUM;NOM;MASC	
липня	heinäkuu	липень	heinäkuu	N;INAN;GEN;MASC;SG	N;NOM;SG
липня	heinäkuussa	липень	heinäkuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
липня	heinä	липень	hän	N;INAN;GEN;MASC;SG	N;NOM;SG
липня	heinäkuuta	липень	heinäkuu	N;INAN;GEN;MASC;SG	N;PRT;SG
участь	osallistuu	участь	osallistua	N;INAN;ACC;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
участь	osallistuvat	участь	osallistua	N;INAN;ACC;FEM;SG	V;PL;V.PTCP;ACT
участь	osallistumista	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;PRT;SG
участь	osallisuus	участь	osallisuus	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	osallistumisen	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;GEN;SG
участь	osallistuminen	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	osallistumista	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;PRT;SG
участь	osallistumisen	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;GEN;SG
участь	osallistuminen	участь	osallistuminen	N;INAN;ACC;FEM;SG	N;NOM;SG
участь	osallistu	участь	osallistua	N;INAN;ACC;FEM;SG	V;IMP;SG;2;FIN;ACT
участь	osallistua	участь	osallistua	N;INAN;ACC;FEM;SG	V;SG;NFIN;ACT
вид	lajit	вид	laji	N;INAN;NOM;MASC;SG	N;NOM;PL
вид	lajien	вид	laji	N;INAN;NOM;MASC;SG	N;GEN;PL
вид	näytä	вид	näyttää	N;INAN;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
вид	mieltä	вид	mieli	N;INAN;NOM;MASC;SG	N;PRT;SG
можна	voi	можна	voi	ADV	INTJ
червня	kesäkuu	червень	kesäkuu	N;INAN;GEN;MASC;SG	N;NOM;SG
червня	kesäkuuta	червень	kesäkuu	N;INAN;GEN;MASC;SG	N;PRT;SG
червня	kesäkuussa	червень	kesäkuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
місто	city	місто	city	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG
життя	life	життя	life	N;INAN;NOM;NEUT;SG	
життя	elämää	життя	elämä	N;INAN;NOM;NEUT;SG	N;PRT;SG
життя	elämän	життя	elämä	N;INAN;NOM;NEUT;SG	N;GEN;SG
срср	neuvostoliiton	срср	neuvosto#liitto	PROPN;INAN;NOM;FEM;SG	N;GEN;SG
срср	neuvostoliitto	срср	neuvosto#liitto	PROPN;INAN;NOM;FEM;SG	N;NOM;SG
квітня	huhtikuu	квітень	huhtikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
квітня	huhtikuuta	квітень	huhtikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
квітня	huhtikuussa	квітень	huhtikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
квітня	huhti	квітень	huhti	N;INAN;GEN;MASC;SG	N;NOM;SG
листопада	marraskuuta	листопад	marraskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
листопада	marraskuussa	листопад	marraskuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
листопада	marraskuu	листопад	marraskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
лютого	helmikuuta	лютий	helmikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
лютого	helmikuussa	лютий	helmikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
лютого	helmikuu	лютий	helmikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
лютого	helmikuu	лютий	helmikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
центр	keskelle	центр	keskelle	N;INAN;NOM;MASC;SG	ADV
захід	west	захід	west	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
захід	lännessä	захід	länsi	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
захід	läntinen	захід	läntinen	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
тільки	ainoastaan	тільки	ainoastaan	PART	ADV
тільки	vain	тільки	vain	PART	ADV
франції	ranska	франція	ranska	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG
франції	ranskan	франція	ranska	PROPN;INAN;GEN;FEM;SG	N;GEN;SG
століття	vuosisatojen	століття	vuosi#sata	N;INAN;NOM;NEUT;SG	N;GEN;PL
століття	vuosisatoja	століття	vuosi#sata	N;INAN;NOM;NEUT;SG	N;PRT;PL
століття	vuosisadan	століття	vuosi#sata	N;INAN;NOM;NEUT;SG	N;GEN;SG
схід	itään	схід	itä	N;INAN;NOM;MASC;SG	N;IN+ALL;SG
схід	itäinen	схід	itäinen	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
статті	artikkeleita	стаття	artikkeli	N;INAN;NOM;FEM;PL	N;PRT;PL
склад	varastossa	склад	varasto	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
міні	mini	міні	mini		N;NOM;SG
особи	henkilöitä	особа	henkilö	N;ANIM;NOM;FEM;PL	N;PRT;PL
особи	henkilöiden	особа	henkilö	N;ANIM;NOM;FEM;PL	N;GEN;PL
особи	ihminen	особа	ihminen	N;ANIM;NOM;FEM;PL	N;NOM;SG
особи	henkilö	особа	henkilö	N;ANIM;NOM;FEM;PL	N;NOM;SG
особи	henkilöä	особа	henkilö	N;ANIM;NOM;FEM;PL	N;PRT;SG
над	ohi	над	ohi	ADP;ACC	ADV
над	yli	над	yli	ADP;ACC	ADV
історія	tarinaa	історія	tarina	N;INAN;NOM;FEM;SG	N;PRT;SG
історія	tarinan	історія	tarina	N;INAN;NOM;FEM;SG	N;GEN;SG
історія	historiaan	історія	historia	N;INAN;NOM;FEM;SG	N;IN+ALL;SG
історія	historiaa	історія	historia	N;INAN;NOM;FEM;SG	N;PRT;SG
історія	historian	історія	historia	N;INAN;NOM;FEM;SG	N;GEN;SG
історія	historiasta	історія	historia	N;INAN;NOM;FEM;SG	N;IN+ABL;SG
зображення	kuvien	зображення	kuva	N;INAN;NOM;NEUT;SG	N;GEN;PL
зображення	kuvia	зображення	kuva	N;INAN;NOM;NEUT;SG	N;PRT;PL
зображення	kuvat	зображення	kuva	N;INAN;NOM;NEUT;SG	N;NOM;PL
зображення	kuvaa	зображення	kuva	N;INAN;NOM;NEUT;SG	N;PRT;SG
зображення	kuvan	зображення	kuva	N;INAN;NOM;NEUT;SG	N;GEN;SG
зображення	kuvia	зображення	kuva	N;INAN;NOM;NEUT;SG	N;PRT;PL
зображення	kuvat	зображення	kuva	N;INAN;NOM;NEUT;SG	N;NOM;PL
зображення	valokuvia	зображення	valo#kuva	N;INAN;NOM;NEUT;SG	N;PRT;PL
пункти	kohteita	пункт	kohde	N;INAN;NOM;MASC;PL	N;PRT;PL
пункти	pisteitä	пункт	piste	N;INAN;NOM;MASC;PL	N;PRT;PL
пункти	pistettä	пункт	piste	N;INAN;NOM;MASC;PL	N;PRT;SG
пункти	vaihtoehtoja	пункт	vaihto#ehto	N;INAN;NOM;MASC;PL	N;PRT;PL
сайт	sivuston	сайт	sivusto	N;INAN;NOM;MASC;SG	N;GEN;SG
сайт	sivuston	сайт	sivusto	N;INAN;NOM;MASC;SG	N;GEN;SG
інші	muu	інший	muu	DET;NOM;PL	PRO;NOM;SG
інші	muut	інший	muu	DET;NOM;PL	PRO;NOM;PL
інші	muut	інший	muu	DET;NOM;PL	PRO;NOM;PL
інші	toiset	інший	toinen	DET;NOM;PL	PRO;NOM;PL
інші	muita	інший	muu	DET;NOM;PL	PRO;PRT;PL
тут	tässä	тут	tämä	ADV	PRO;IN+ESS;SG
український	ukraina	український	ukraina	ADJ;NOM;MASC;SG	N;NOM;SG
український	ukrainan	український	ukraina	ADJ;NOM;MASC;SG	N;GEN;SG
мова	kielet	мова	kieli	N;INAN;NOM;FEM;SG	N;NOM;PL
історії	kertomuksia	історія	kertomus	N;INAN;NOM;FEM;PL	N;PRT;PL
історії	tarinoita	історія	tarina	N;INAN;NOM;FEM;PL	N;PRT;PL
історії	tarinoiden	історія	tarina	N;INAN;NOM;FEM;PL	N;GEN;PL
історії	historia	історія	historia	N;INAN;NOM;FEM;PL	N;NOM;SG
історії	historiaan	історія	historia	N;INAN;NOM;FEM;PL	N;IN+ALL;SG
історії	historiaa	історія	historia	N;INAN;NOM;FEM;PL	N;PRT;SG
історії	historian	історія	historia	N;INAN;NOM;FEM;PL	N;GEN;SG
історії	historiasta	історія	historia	N;INAN;NOM;FEM;PL	N;IN+ABL;SG
всі	kaikille	весь	kaikki	DET;NOM;PL	PRO;AT+ALL;PL
всі	kaikki	весь	kaikki	DET;NOM;PL	PRO;NOM;SG
багато	monet	багато	moni	ADV	PRO;NOM;PL
багато	monia	багато	moni	ADV	PRO;PRT;PL
багато	monta	багато	moni	ADV	PRO;PRT;SG
багато	moni	багато	moni	ADV	PRO;NOM;SG
багато	much	багато	much	ADV	
більше	suuremmat	більше	suuri	ADV;CMPR	ADJ;NOM;CMPR;PL
більше	suurempi	більше	suuri	ADV;CMPR	ADJ;NOM;CMPR;SG
більше	isommat	більше	iso	ADV;CMPR	ADJ;NOM;CMPR;PL
більше	isompia	більше	iso	ADV;CMPR	ADJ;PRT;CMPR;PL
більше	suurempi	більше	suuri	ADV;CMPR	ADJ;NOM;CMPR;SG
більше	isompi	більше	iso	ADV;CMPR	ADJ;NOM;CMPR;SG
кількість	laske	кількість	laskea	N;INAN;NOM;FEM;SG	V;IMP;SG;2;FIN;ACT
шаблони	malleja	шаблон	malli	N;INAN;NOM;MASC;PL	N;PRT;PL
шаблони	kuvioita	шаблон	kuvio	N;INAN;NOM;MASC;PL	N;PRT;PL
перший	ensin	перший	ensin	ADJ;NOM;MASC;SG	ADV
перший	eka	перший	ensin	ADJ;NOM;MASC;SG	N;NOM;SG
перший	ensiksi	перший	ensiksi	ADJ;NOM;MASC;SG	ADV
площа	torille	площа	tori	N;INAN;NOM;FEM;SG	N;AT+ALL;SG
площа	torilla	площа	tori	N;INAN;NOM;FEM;SG	N;AT+ESS
;SG
країни	maa	країна	maa	N;INAN;NOM;FEM;PL	N;NOM;SG
країни	valtio	країна	valtio	N;INAN;NOM;FEM;PL	N;NOM;SG
країни	maata	країна	maa	N;INAN;NOM;FEM;PL	N;PRT;SG
країни	maan	країна	maa	N;INAN;NOM;FEM;PL	N;GEN;SG
країни	maissa	країна	maa	N;INAN;NOM;FEM;PL	N;IN+ESS;PL
країни	maiden	країна	maa	N;INAN;NOM;FEM;PL	N;GEN;PL
назва	nimeä	назва	nimi	N;INAN;NOM;FEM;SG	N;PRT;SG
наук	tieteet	наука	tiede	N;INAN;GEN;FEM;PL	N;NOM;PL
розташований	sijaitsee	розташований	sijaita	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;IND;SG;3;PRS;FIN;ACT
без	ilman	без	ilman	ADP;GEN	ADV
голова	head	голова	head	N;ANIM;NOM;FEM;SG	
голова	päätä	голова	pää	N;ANIM;NOM;FEM;SG	N;PRT;SG
голова	pään	голова	pää	N;ANIM;NOM;FEM;SG	N;GEN;SG
голова	puheenjohtajan	голова	puheen#johtaja	N;ANIM;NOM;FEM;SG	N;GEN;SG
народився	syntyneet	народитися	syntyä	V;PFV;MASC;IND;SG;PST;FIN	V;NOM;PL;V.PTCP;ACT
щодо	noin	щодо	noin	ADP;GEN	ADV
сторінка	sivulla	сторінка	sivu	N;INAN;NOM;FEM;SG	N;AT+ESS
;SG
той	tuo	той	tuo	DET;NOM;MASC;SG	PRO;NOM;SG
той	että	той	että	DET;NOM;MASC;SG	CONJ
росії	venäjän	росія	venäjä	PROPN;INAN;GEN;FEM;SG	N;GEN;SG
росії	venäjää	росія	venäjä	PROPN;INAN;GEN;FEM;SG	N;PRT;SG
росії	venäjä	росія	venäjä	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG
все	kaikki	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;NOM;SG
все	kaiken	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;GEN;SG
все	kaikille	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;AT+ALL;PL
все	kaikki	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;NOM;SG
київ	kiova	Київ	kiova	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;SG
київ	kiovan	Київ	kiova	PROPN;INAN;NOM;MASC;SG	PROPN;GEN;SG
роботи	työn	робота	työ	N;INAN;NOM;FEM;PL	N;GEN;SG
роботи	työ	робота	työ	N;INAN;NOM;FEM;PL	N;NOM;SG
роботи	työtä	робота	työ	N;INAN;NOM;FEM;PL	N;PRT;SG
біля	läheltä	біля	läheltä	ADP;GEN	ADV
біля	lähellä	біля	lähellä	ADP;GEN	ADV
біля	lähelle	біля	lähelle	ADP;GEN	ADV
веб	web	вебти	web		N;NOM;SG
статтю	momentti	стаття	momentti	N;INAN;ACC;FEM;SG	N;NOM;SG
статтю	artikkeli	стаття	artikkeli	N;INAN;ACC;FEM;SG	N;NOM;SG
статтю	artikla	стаття	artikla	N;INAN;ACC;FEM;SG	N;NOM;SG
землі	maa	земля	maa	N;INAN;NOM;FEM;PL	N;NOM;SG
землі	maapallo	земля	maa#pallo	N;INAN;NOM;FEM;PL	N;NOM;SG
землі	maan	земля	maa	N;INAN;NOM;FEM;PL	N;GEN;SG
армії	armeijat	армія	armeija	N;INAN;GEN;FEM;SG	N;NOM;PL
армії	armeija	армія	armeija	N;INAN;GEN;FEM;SG	N;NOM;SG
однак	kuitenkin	однак	kuitenkin	CONJ	ADV
саме	nimenomaan	саме	nimen#omaan	PART	ADV
північний	pohjoinen	північний	pohjoinen	ADJ;NOM;MASC;SG	N;NOM;SG
північний	pohjoiseen	північний	pohjoinen	ADJ;NOM;MASC;SG	N;IN+ALL;SG
північний	pohjois	північний	pohjois	ADJ;NOM;MASC;SG	N;NOM;SG
північний	pohjoinen	північний	pohjoinen	ADJ;NOM;MASC;SG	N;NOM;SG
північний	pohjois	північний	pohjois	ADJ;NOM;MASC;SG	N;NOM;SG
день	päivän	день	päivä	N;INAN;NOM;MASC;SG	N;GEN;SG
частина	osaa	частина	osata	N;INAN;NOM;FEM;SG	V;IMP;SG;2;FIN;ACT
частина	osittain	частина	osittain	N;INAN;NOM;FEM;SG	ADV
південний	etelä	південний	etelä	ADJ;NOM;MASC;SG	N;NOM;SG
південний	etelän	південний	etelä	ADJ;NOM;MASC;SG	N;GEN;SG
південний	etelä	південний	etelä	ADJ;NOM;MASC;SG	N;NOM;SG
південний	etelään	південний	etelä	ADJ;NOM;MASC;SG	N;IN+ALL;SG
смерті	kuolemaa	смерть	kuolema	N;INAN;NOM;FEM;PL	N;PRT;SG
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	
смерті	kuoleman	смерть	kuolema	N;INAN;NOM;FEM;PL	N;GEN;SG
смерті	kuolema	смерть	kuolema	N;INAN;NOM;FEM;PL	N;NOM;SG
перша	ensin	перший	ensin	ADJ;NOM;FEM;SG	ADV
перша	eka	перший	ensin	ADJ;NOM;FEM;SG	N;NOM;SG
перша	ensiksi	перший	ensiksi	ADJ;NOM;FEM;SG	ADV
такі	seuraan	такий	seurata	DET;NOM;PL	N;IN+ALL;SG
такі	seuraavat	такий	seuraava	DET;NOM;PL	ADJ;NOM;PL
такі	tällainen	такий	tällainen	DET;NOM;PL	ADJ;NOM;SG
двох	kaksi	два	kaksi	NUM;ACC	NUM;NOM;SG
