το	els	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;MASC;PL
ελλάδα	grècia	ελλάδα	grècia	PROPN;ACC;FEM;SG	ADJ;FEM;SG
μέρος	part	μέρος	part	N;NOM;NEUT;SG	
μέρος	place	μέρος	place	N;NOM;NEUT;SG	
μέσα	inside	μέσα	inside	ADV	
μέσα	endins	μέσα	endins	ADV	
μέσα	dins	μέσα	dins	ADV	
μαζί	junts	μαζί	junt	ADV	ADJ;MASC;PL
νέα	nova	νέος	nou	ADJ;NOM;NEUT;PL	ADJ;FEM;SG
νέα	nou	νέος	nou	ADJ;NOM;NEUT;PL	ADJ;MASC;SG
νέα	notícia	νέος	notícia	ADJ;NOM;NEUT;PL	N;FEM;SG
νέα	notícies	νέος	notícia	ADJ;NOM;NEUT;PL	N;FEM;PL
περίπου	about	περίπου	about	ADV	
αυτά	aquestes	αυτός	aquest	PRO;NOM;NEUT;PL;3	DET;FEM;PL
αυτά	aquests	αυτός	aquest	PRO;NOM;NEUT;PL;3	DET;MASC;PL
αρχείο	arxiva	αρχείο	arxivar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
φορά	time	φορά	time	N;ACC;FEM;SG	
πάνω	dalt	πάνω	dalt	ADV	
πρώτο	primer	πρώτος	primer	NUM;NOM;NEUT;SG	ADJ;MASC;SG
πρώτο	primera	πρώτος	primer	NUM;NOM;NEUT;SG	ADJ;FEM;SG
πρώτο	primers	πρώτος	primer	NUM;NOM;NEUT;SG	ADJ;MASC;PL
όχι	no	όχι	no	PART	ADV;NEG
υπό	arres	υπό	arre	ADP	
έως	fins	ώς	fins	ADP	ADV
σαν	com	σαν	com	ADV	CONJ
σαν	like	σαν	like	ADV	
εκεί	hi	εκεί	hi	ADV	PRO;3
ωστόσο	tanmateix	ωστόσο	tanmateix	CONJ	ADV
τέλος	final	τέλος	final	ADV	ADJ;SG
σειρά	sèries	σειρά	sèrie	N;ACC;FEM;SG	N;FEM;PL
σειρά	sèrie	σειρά	sèrie	N;ACC;FEM;SG	
σειρά	orde	σειρά	orde	N;ACC;FEM;SG	
σειρά	ordre	σειρά	ordre	N;ACC;FEM;SG	
σειρά	fila	σειρά	fila	N;ACC;FEM;SG	
σειρά	filera	σειρά	filera	N;ACC;FEM;SG	
εκτός	excepte	εκτός	excepte	ADV	ADP
συνέχεια	continuat	συνέχεια	continuat	N;ACC;FEM;SG	ADJ;MASC;SG;V.PTCP
συνέχεια	continuada	συνέχεια	continuat	N;ACC;FEM;SG	ADJ;FEM;SG;V.PTCP
κάτω	down	κάτω	down	ADV	
πολλές	moltes	πολύς	molt	ADJ;NOM;FEM;PL	PRO;FEM;PL
πολλές	molts	πολύς	molt	ADJ;NOM;FEM;PL	PRO;MASC;PL
όλα	everything	όλος	everything	ADJ;NOM;NEUT;PL	
όλα	tot	όλος	tot	ADJ;NOM;NEUT;PL	PRO;MASC;SG
όλα	tots	όλος	tot	ADJ;NOM;NEUT;PL	PRO;MASC;PL
όλα	totes	όλος	tot	ADJ;NOM;NEUT;PL	PRO;FEM;PL
σύστημα	system	σύστημα	ser	N;NOM;NEUT;SG	
ίδια	idèntiques	ίδιος	idèntic	ADJ;NOM;FEM;SG	ADJ;FEM;PL
ίδια	mateixa	ίδιος	mateix	ADJ;NOM;FEM;SG	PRO;FEM;SG
ίδια	mateix	ίδιος	mateix	ADJ;NOM;FEM;SG	PRO;MASC;SG
χώρα	país	χώρα	país	N;NOM;FEM;SG	
ιανουαρίου	gener	ιανουάριος	gener	PROPN;GEN;MASC;SG	N
αγώνες	coincideix	αγώνας	coincidir	N;NOM;MASC;PL	V;IND;SG;3;PRS;FIN
μέσω	via	μέσω	via	ADP	
μαρτίου	march	μάρτιος	march	N;GEN;MASC;SG	PROPN
γεννήθηκε	nascut	γεννώ	nascut	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;MASC;SG;V.PTCP
γεννήθηκε	born	γεννώ	born	V;PFV;IND;SG;3;PST;FIN;PASS	
αυτές	aquestes	αυτός	aquest	PRO;NOM;FEM;PL;3	DET;FEM;PL
αυτές	aquests	αυτός	aquest	PRO;NOM;FEM;PL;3	DET;MASC;PL
πολλά	moltes	πολύς	molt	ADJ;NOM;NEUT;PL	PRO;FEM;PL
πολλά	molts	πολύς	molt	ADJ;NOM;NEUT;PL	PRO;MASC;PL
τρεις	valldoreix	τρεις	valldorir	NUM;NOM;MASC;PL	
χρήση	usa	χρήση	usar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
πολιτική	política	πολιτική	polític	N;NOM;FEM;SG	ADJ;FEM;SG
πολιτική	política	πολιτική	polític	N;NOM;FEM;SG	ADJ;FEM;SG
ίδιο	mateixa	ίδιος	mateix	ADJ;NOM;NEUT;SG	PRO;FEM;SG
ίδιο	mateix	ίδιος	mateix	ADJ;NOM;NEUT;SG	PRO;MASC;SG
εποχή	època	εποχή	època	N;ACC;FEM;SG	
εποχή	era	εποχή	ser	N;ACC;FEM;SG	V;IND;SG;3;IPFV;FIN
αρχικά	inicials	αρχικά	inicial	ADV	ADJ;PL
ζωή	life	ζωή	life	N;ACC;FEM;SG	
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	
έδρα	seu	έδρα	seu	N;NOM;FEM;SG	DET;MASC;SG;3
έδρα	seat	έδρα	seat	N;NOM;FEM;SG	PROPN
έδρα	seient	έδρα	seient	N;NOM;FEM;SG	
μεγάλο	grans	μεγάλος	gran	ADJ;NOM;NEUT;SG	ADJ;PL
βάση	base	βάση	base	N;ACC;FEM;SG	
βάση	base	βάση	base	N;ACC;FEM;SG	
κέντρο	centra	κέντρο	centrar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
κέντρο	center	κέντρο	center	N;NOM;NEUT;SG	
κάτι	quelcom	κάτι	quelcom	PRO;NOM;NEUT;SG;3	
κάτι	algo	κάτι	algo	PRO;NOM;NEUT;SG;3	
κοντά	tanca	κοντά	tancar	ADV	V;IND;SG;3;PRS;FIN
μορφή	forma	μορφή	formar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
μορφή	format	μορφή	format	N;NOM;FEM;SG	ADJ;MASC;SG;V.PTCP
χρόνο	time	χρόνος	time	N;ACC;MASC;SG	
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	
κόμμα	coma	κόμμα	coma	N;NOM;NEUT;SG	
γιατί	perque	γιατί	perque	CONJ	
γιατί	perqué	γιατί	perqué	CONJ	
ρόλο	rollo	ρόλος	rollo	N;ACC;MASC;SG	
ρόλο	rol	ρόλος	rol	N;ACC;MASC;SG	
άλμπουμ	àlbums	άλμπουμ	àlbum	N;MASC;SG	N;MASC;PL
επειδή	perque	επειδή	perque	CONJ	
γκολ	objectius	γκολ	objectiu		N;MASC;PL
γκολ	objectiu	γκολ	objectiu		N;MASC;SG
ονομασία	nom	ονομασία	nom	N;NOM;FEM;SG	
τελευταία	darrer	τελευταία	darrer	ADV	ADJ;MASC;SG
τελευταία	últim	τελευταία	últim	ADV	ADJ;MASC;SG
τελευταία	última	τελευταία	últim	ADV	ADJ;FEM;SG
τελευταία	darrera	τελευταία	darrer	ADV	ADJ;FEM;SG
έκανε	fetes	κάνω	fet	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;FEM;PL;V.PTCP
έκανε	feta	κάνω	fet	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
ξεκίνησε	començat	ξεκινώ	començar	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
ξεκίνησε	iniciat	ξεκινώ	iniciat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
πρώτος	primer	πρώτος	primer	NUM;NOM;MASC;SG	ADJ;MASC;SG
πρώτος	primera	πρώτος	primer	NUM;NOM;MASC;SG	ADJ;FEM;SG
πρώτος	primers	πρώτος	primer	NUM;NOM;MASC;SG	ADJ;MASC;PL
κάνει	fet	κάνω	fet	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG;V.PTCP
ηπα	usa	λπο	usar	N	V;IND;SG;3;PRS;FIN
ανάμεσα	entre	ανάμεσα	entre	ADV	ADP
δεύτερη	segon	δεύτερος	segon	NUM;NOM;FEM;SG	ADJ;MASC;SG
δεύτερη	segona	δεύτερος	segon	NUM;NOM;FEM;SG	ADJ;FEM;SG
γλώσσα	llengua	γλώσσα	llengua	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
γλώσσα	llengua	γλώσσα	llengua	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
μάχη	combat	μάχη	combat	N;ACC;FEM;SG	
μάχη	lluita	μάχη	lluitar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
όλες	tots	όλος	tot	ADJ;NOM;FEM;PL	PRO;MASC;PL
όλες	totes	όλος	tot	ADJ;NOM;FEM;PL	PRO;FEM;PL
δείτε	veure	βλέπω	veure	V;PFV;IMP;PL;2;FIN;ACT	
δείτε	rellotge	βλέπω	rellotge	V;PFV;IMP;PL;2;FIN;ACT	
πόλεμο	guerra	πόλεμος	guerra	N;ACC;MASC;SG	
πρώην	antiga	πρώην	antic	ADV	ADJ;FEM;SG
παράδειγμα	exemple	παράδειγμα	exemple	N;NOM;NEUT;SG	
έλαβε	rebut	λαμβάνω	rebut	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
έλαβε	rebé	λαμβάνω	rebé	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
έλαβε	rebuda	λαμβάνω	rebuda	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
επίσημη	official	επίσημος	official	ADJ;NOM;FEM;SG	
επίσημη	formals	επίσημος	formal	ADJ;NOM;FEM;SG	ADJ;PL
βόρεια	nord	βόρεια	nord	ADV	N;MASC;SG
βόρεια	northern	βόρεια	northern	ADV	N;SG
αγώνα	lluita	αγώνας	lluitar	N;ACC;MASC;SG	V;IND;SG;3;PRS;FIN
σελίδα	pàgina	σελίδα	pàgina	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
θέμα	subjecte	θέμα	subjecte	N;NOM;NEUT;SG	ADJ;MASC;SG
θέμα	subjectes	θέμα	subjecte	N;NOM;NEUT;SG	
χρησιμοποιείται	emprat	χρησιμοποιώ	emprat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
χρησιμοποιείται	utilitzat	χρησιμοποιώ	utilitzat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
χρησιμοποιείται	utilitzats	χρησιμοποιώ	utilitzat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;PL;V.PTCP
χρησιμοποιείται	usat	χρησιμοποιώ	usat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
πρώτα	primer	πρώτα	primer	ADV	ADJ;MASC;SG
πρώτα	primera	πρώτα	primer	ADV	ADJ;FEM;SG
πρώτα	primers	πρώτα	primer	ADV	ADJ;MASC;PL
θεωρείται	considerades	θεωρώ	considerat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;FEM;PL;V.PTCP
θεωρείται	considerat	θεωρώ	considerat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
εδώ	aqui	εδώ	aqui	ADV	
εδώ	ací	εδώ	ací	ADV	
νότια	sud	νότιος	sud	ADV	N;MASC;SG
περίπτωση	cas	περίπτωση	cas	N;ACC;FEM;SG	
νέο	noves	νέος	nou	ADJ;ACC;NEUT;SG	ADJ;FEM;PL
ένωση	union	ένωση	unió	N;NOM;FEM;SG	
ένωση	association	ένωση	association	N;NOM;FEM;SG	
βασιλιά	king	βασιλιάς	king	N;ACC;MASC;SG	PROPN
πέθανε	die	πεθαίνω	die	V;PFV;IND;SG;3;PST;FIN;ACT	
πέθανε	morí	πεθαίνω	morí	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
μουσική	música	μουσικός	música	ADJ;NOM;FEM;SG	N;FEM;SG
κόσμο	cosmo	κόσμος	cosmo	N;ACC;MASC;SG	
κόσμο	world	κόσμος	world	N;ACC;MASC;SG	
άτομα	particulars	άτομο	particular	N;NOM;NEUT;PL	ADJ;PL
άτομα	gent	άτομο	gent	N;NOM;NEUT;PL	N;FEM;SG
δεύτερο	segon	δεύτερος	segon	NUM;NOM;NEUT;SG	ADJ;MASC;SG
δεύτερο	segona	δεύτερος	segon	NUM;NOM;NEUT;SG	ADJ;FEM;SG
είδος	espècies	είδος	espècie	N;NOM;NEUT;SG	N;FEM;PL
αρκετά	suficient	αρκετά	suficient	ADV	ADJ;SG
εκείνη	ella	εκείνος	ell	PRO;ACC;FEM;SG;3	PRO;FEM;SG;3
εναντίον	against	εναντίον	against	ADP	
τρία	valldoreix	τρεις	valldorir	NUM;NOM;NEUT;PL	
όρος	mont	όρος	mont	N;NOM;MASC;SG	
ιδρύθηκε	fundat	ιδρύω	fundar	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;MASC;SG;V.PTCP
ιδρύθηκε	fundada	ιδρύω	fundat	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;FEM;SG;V.PTCP
βασιλιάς	king	βασιλιάς	king	N;NOM;MASC;SG	PROPN
άρχισε	començat	αρχίζω	començar	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
άρχισε	iniciat	αρχίζω	iniciat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
κυκλοφόρησε	estrenat	κυκλοφορώ	estrenar	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
κυκλοφόρησε	estrenats	κυκλοφορώ	estrenar	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
τι	quins	τι	quin	PRO;NOM;NEUT;SG;3	PRO;MASC;PL
συμμετείχε	participat	συμμετέχω	participat	V;IPFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
ελληνικά	grec	ελληνικός	grec	ADV	ADJ;MASC;SG
γαλλία	frança	γαλλία	frança	PROPN;ACC;FEM;SG	
ευρώπη	europe	ευρώπη	europe	PROPN;ACC;FEM;SG	
ευρώπη	europa	ευρώπη	europar	PROPN;ACC;FEM;SG	
παγκόσμιο	globals	παγκόσμιος	global	ADJ;NOM;NEUT;SG	ADJ;PL
διάστημα	interval	διάστημα	interval	N;NOM;NEUT;SG	
οικογένεια	familia	οικογένεια	familia	N;NOM;FEM;SG	
σημαίνει	mitjans	σημαίνω	mitjà	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
πέντε	five	πέντε	five	NUM;NOM;MASC;PL	N;SG
πρότυπο	estàndard	πρότυπο	estàndard	N;NOM;NEUT;SG	
θάνατο	mort	θάνατος	mort	N;ACC;MASC;SG	ADJ;MASC;SG;V.PTCP
σύνολο	total	σύνολο	total	N;NOM;NEUT;SG	ADJ;SG
γερμανία	alemanya	γερμανία	alemany	PROPN;ACC;FEM;SG	ADJ;FEM;SG
πίσω	esquena	πίσω	esquena	ADV	N;FEM;SG
δημιουργία	crear	δημιουργία	crear	N;ACC;FEM;SG	V;NFIN
δημιουργία	crea	δημιουργία	crear	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
αρχή	comença	αρχή	començar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
αρχή	principi	αρχή	principi	N;NOM;FEM;SG	
άδεια	buit	άδεια	buit	N;NOM;FEM;SG	
άδεια	buida	άδεια	buit	N;NOM;FEM;SG	ADJ;FEM;SG
σου	sue	σου	sue	V;IPFV;IND;SG;1;PRS;FIN;ACT	
επιπλέον	addicional	επιπλέον	addicional	ADV	ADJ;SG
επιπλέον	addicionals	επιπλέον	addicional	ADV	ADJ;PL
περισσότερα	més	πολύς	més	ADJ;NOM;CMPR;NEUT;PL	ADV
αυτόν	ell	αυτός	ell	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
άγιος	hàgios	άγιος	hàgio	ADJ;NOM;MASC;SG	
άγιος	saint	άγιος	saint	ADJ;NOM;MASC;SG	
γ΄	iii	γ΄	iii	N	
τραγούδι	cant	τραγούδι	cant	N;NOM;NEUT;SG	
τραγούδι	song	τραγούδι	song	N;NOM;NEUT;SG	
ιωάννης	john	ιωάννης	john	PROPN;NOM;MASC;SG	PROPN
ιωάννης	joan	ιωάννης	joan	PROPN;NOM;MASC;SG	
ιωάννης	ioannis	ιωάννης	ioani	PROPN;NOM;MASC;SG	PROPN
θεσσαλονίκη	tessalònica	θεσσαλονίκη	tessalònic	PROPN;NOM;FEM;SG	ADJ;FEM;SG
αγγλικά	anglès	αγγλικός	anglès	ADV	N;MASC;SG
κέρδισε	guanyat	κερδίζω	guanyat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
βασίλειο	regne	βασίλειο	regne	N;NOM;NEUT;SG	
συνολικά	total	συνολικά	total	ADV	ADJ;SG
πληροφορίες	info	πληροφορία	info	N;NOM;FEM;PL	
πληροφορίες	informació	πληροφορία	informació	N;NOM;FEM;PL	N;FEM;SG
πλευρά	side	πλευρά	side	N;ACC;FEM;SG	
χιλιόμετρα	quilometratge	χιλιόμετρο	quilometratge	N;NOM;NEUT;PL	N;MASC;SG
γεώργιος	georgios	γεώργιος	georgi	PROPN;NOM;MASC;SG	ADJ;MASC;SG
γεώργιος	george	γεώργιος	george	PROPN;NOM;MASC;SG	PROPN
τύπου	press	τύπος	pres	N;GEN;MASC;SG	PROPN
πόλεμος	guerra	πόλεμος	guerra	N;NOM;MASC;SG	
εφημερίδα	periòdic	εφημερίδα	periòdic	N;NOM;FEM;SG	ADJ;MASC;SG
εφημερίδα	periódico	εφημερίδα	periódico	N;NOM;FEM;SG	ADJ;MASC;SG
μικρό	petites	μικρός	petit	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
τόπος	place	τόπος	place	N;NOM;MASC;SG	
ονομάζεται	cridat	ονομάζω	cridat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
συγκεκριμένα	específics	συγκεκριμένα	específic	ADV	ADJ;MASC;PL
συγκεκριμένα	específic	συγκεκριμένα	específic	ADV	ADJ;MASC;SG
είδη	espècie	είδος	espècie	N;NOM;NEUT;PL	N;FEM;SG
ιταλία	itàlia	ιταλία	itàlia	PROPN;ACC;FEM;SG	
αναφέρει	mencions	αναφέρω	menció	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
περισσότερες	més	πολύς	més	ADJ;NOM;CMPR;FEM;PL	ADV
γενικά	general	γενικά	general	ADV	ADJ;SG
νίκη	guanyar	νίκη	guanyar	N;ACC;FEM;SG	V;NFIN
νίκη	victòria	νίκη	victòria	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
μικρή	petites	μικρός	petit	ADJ;NOM;FEM;SG	ADJ;FEM;PL
αμερικανός	american	Αμερικανός	american	ADJ;NOM;MASC;SG	
συγκρότημα	banda	συγκρότημα	banda	N;NOM;NEUT;SG	
συγκρότημα	complexes	συγκρότημα	complex	N;NOM;NEUT;SG	ADJ;FEM;PL
συγκρότημα	complex	συγκρότημα	complex	N;NOM;NEUT;SG	ADJ;MASC;SG
επόμενη	next	επόμενος	next	ADJ;ACC;FEM;SG	
ύψος	altitud	ύψος	altitud	N;NOM;NEUT;SG	
πολλοί	moltes	πολύς	molt	ADJ;NOM;MASC;PL	PRO;FEM;PL
πολλοί	molts	πολύς	molt	ADJ;NOM;MASC;PL	PRO;MASC;PL
όλοι	tots	όλος	tot	ADJ;NOM;MASC;PL	PRO;MASC;PL
όλοι	totes	όλος	tot	ADJ;NOM;MASC;PL	PRO;FEM;PL
όλοι	tothom	όλος	tothom	ADJ;NOM;MASC;PL	PRO;SG
προπονητής	coach	προπονητής	coach	N;NOM;MASC;SG	
θέατρο	theater	θέατρο	theater	N;NOM;NEUT;SG	PROPN
σημαντική	significatives	σημαντικός	significatiu	ADJ;NOM;FEM;SG	ADJ;FEM;PL
σημαντική	significatius	σημαντικός	significatiu	ADJ;NOM;FEM;SG	ADJ;MASC;PL
διάφορα	divers	διάφορος	divers	ADV	ADJ;MASC;SG
κατέκτησε	conquerit	κατακτώ	conquerir	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
επίθεση	assalt	επίθεση	assalt	N;ACC;FEM;SG	
τραγούδια	songs	τραγούδιο	songs	N;NOM;NEUT;PL	N;SG
λέξη	paraula	λέξη	paraula	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
κατάφερε	gestionades	καταφέρνω	gestionat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;FEM;PL;V.PTCP
κατάφερε	gestionat	καταφέρνω	gestionar	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
έχοντας	havent	έχω	haver	V;IPFV;V.CVB;ACT	V;V.MSDR
δύναμη	força	δύναμη	força	N;ACC;FEM;SG	
δύναμη	força	δύναμη	força	N;ACC;FEM;SG	
δύναμη	poder	δύναμη	poder	N;ACC;FEM;SG	
τύπος	press	τύπος	pres	N;NOM;MASC;SG	PROPN
τύπος	fórmula	τύπος	fórmula	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
εκατομμύρια	milió	εκατομμύριο	milió	N;NOM;NEUT;PL	N;MASC;SG
τέσσερις	four	τέσσερις	four	NUM;NOM;MASC;PL	
πορεία	rumb	πορεία	rumb	N;ACC;FEM;SG	
αγωνίστηκε	lluitat	αγωνίζομαι	lluitar	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;MASC;SG;V.PTCP
τοπική	locals	τοπικός	local	ADJ;NOM;FEM;SG	ADJ;PL
έξι	six	έξι	six	NUM;NOM;MASC;PL	PROPN
δομή	estructura	δομή	estructurar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
παρίσι	paris	παρίσι	pari	PROPN;NOM;NEUT;SG	
παρίσι	parís	παρίσι	parís	PROPN;NOM;NEUT;SG	
κατασκευή	construeix	κατασκευή	construir	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
μαρία	maria	μαρία	maria	PROPN;NOM;FEM;SG	
κοινό	públic	κοινό	públic	N;NOM;NEUT;SG	ADJ;MASC;SG
διαγραφή	supressió	διαγραφή	supressió	ADV	N;FEM;SG
διαγραφή	esborra	διαγραφή	esborra	ADV	V;IND;SG;3;PRS;FIN
συλλογή	recollida	συλλογή	recollit	N;NOM;FEM;SG	ADJ;FEM;SG;V.PTCP
τρίτη	dimarts	τρίτος	dimarts	NUM;NOM;FEM;SG	N
τρίτη	tercera	τρίτος	tercer	NUM;NOM;FEM;SG	ADJ;FEM;SG
τρίτη	tercer	τρίτος	tercer	NUM;NOM;FEM;SG	ADJ;MASC;SG
βοήθεια	auxili	βοήθεια	auxili	N;ACC;FEM;SG	
βοήθεια	ajuda	βοήθεια	ajudar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
βοήθεια	ajut	βοήθεια	ajut	N;ACC;FEM;SG	
απόσταση	interval	απόσταση	interval	N;ACC;FEM;SG	
νέων	juvenil	νέος	juvenil	ADJ;GEN;FEM;PL	ADJ;SG
νέων	jovent	νέος	jovent	ADJ;GEN;FEM;PL	
νέων	joventut	νέος	joventut	ADJ;GEN;FEM;PL	
αναφορά	referència	αναφορά	referència	N;NOM;FEM;SG	
λιγκ	lliga	λιγκ	lliga		N;FEM;SG
γιώργος	george	γιώργος	george	N;NOM;MASC;SG	PROPN
γιώργος	georgios	γιώργος	georgi	N;NOM;MASC;SG	ADJ;MASC;SG
γεγονότα	fets	γεγονός	fet	N;NOM;NEUT;PL	ADJ;MASC;PL;V.PTCP
σύντομο	curt	σύντομο	curt	N;NOM;NEUT;SG	ADJ;MASC;SG
σύντομο	breu	σύντομο	breu	N;NOM;NEUT;SG	ADJ;SG
κράτος	estat	κράτος	ser	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
κωνσταντίνος	konstandinos	κωνσταντίνος	konstandinos	PROPN;NOM;MASC;SG	ADJ;MASC;SG
κωνσταντίνος	constantí	κωνσταντίνος	constantí	PROPN;NOM;MASC;SG	ADJ;MASC;SG
αγία	saint	αγία	saint	PROPN;NOM;FEM;SG	
ιστορικό	antecedents	ιστορικός	antecedent	ADJ;NOM;NEUT;SG	N;MASC;PL
ιστορικό	fons	ιστορικός	fon	ADJ;NOM;NEUT;SG	N;MASC;PL
ιστορικό	història	ιστορικός	història	ADJ;NOM;NEUT;SG	N;FEM;SG
τζον	john	τζο	john		PROPN
τζον	joan	τζο	joan		
τζον	jon	τζο	jon		PROPN
αρκετές	diverses	αρκετός	divers	PRO;NOM;FEM;PL;3	ADJ;FEM;PL
λειτουργία	funcionament	λειτουργία	funcionament	N;ACC;FEM;SG	
πρωθυπουργός	premier	πρωθυπουργός	premier	N;NOM;MASC;SG	
γραμμή	línia	γραμμή	línia	N;NOM;FEM;SG	
σχέδιο	esborrany	σχέδιο	esborrany	N;NOM;NEUT;SG	ADJ;MASC;SG
γη	earth	γη	earth	N;NOM;FEM;SG	
γη	terra	γη	terra	N;NOM;FEM;SG	
γη	land	γη	land	N;NOM;FEM;SG	PROPN
εμφανίζεται	mostrat	εμφανίζω	mostrar	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG;V.PTCP
