인피니티	nieskończoność	인피니티	nieskończoność		N;NOM;FEM;SG
캘거리	calgary	캘거리	calgary	PROPN	N;NOM;MASC;SG
친절한	rodzaj	친절+하+ㄴ	rodzaj	V	N;NOM;MASC;SG
로테르담	rotterdam	로테르담	rotterdać	PROPN	N;NOM;MASC;SG
빌드	zbudować	빌드	zbudować	N	V;PFV;NFIN;ACT
빌드	budować	빌드	budować	N	V;IPFV;NFIN;ACT
빌드	buduje	빌드	budować	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
학술지	journal	학술지	journal	N	
생선	ryby	생선	ryba		V;IPFV;IND;SG;1;PRS;FIN;ACT
생선	ryba	생선	ryba		N;NOM;FEM;SG
생선	rybka	생선	rybka		N;NOM;FEM;SG
생선	rybki	생선	rybka		N;ACC;FEM;PL
레프	lew	레프	lew		N;NOM;MASC;SG
브루나이	brunei	브루나이	brunej	PROPN	
쌓인	ułożone	쌓이+ㄴ	ułożyć		ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
급속한	szybkie	급속+하+ㄴ	szybki	V	ADJ;NOM;NEUT;SG
급속한	rapid	급속+하+ㄴ	rapid	V	
정화	oczyszczenie	정화	oczyszczyć		N;PFV;NOM;NEUT;SG;POS;V.MSDR
정화	oczyszczania	정화	oczyszczać		N;IPFV;GEN;NEUT;SG;POS;V.MSDR
정화	oczyszczanie	정화	oczyszczanie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
원고	powód	원+고	powód		N;NOM;MASC;SG
원고	powodów	원+고	powód		N;GEN;MASC;PL
해외로	zamorskich	해외+로	zamorski	ADV	ADJ;GEN;MASC;PL
해외로	zagranicą	해외+로	zagranica	ADV	N;INS;FEM;SG
해외로	zagranicy	해외+로	zagranica	ADV	N;GEN;FEM;SG
컴파일러	kompilacji	컴파일러	kompilacja		N;GEN;FEM;SG
컴파일러	kompilatory	컴파일러	kompilator		N;NOM;MASC;PL
컴파일러	kompilatora	컴파일러	kompilator		N;ACC;MASC;SG
시체	body	시체	bód	N	
시체	nadwozia	시체	nadwóziać	N	
시체	trupy	시체	trup	N	
시체	zwłok	시체	zwłok	N	
거미	spider	거미	spider	N	
그릇	miski	그릇	misko		N;ACC;FEM;PL
그릇	miska	그릇	misko		N;NOM;FEM;SG
그릇	miski	그릇	misko		N;ACC;FEM;PL
힐러리	hillary	힐러리	hillar	PROPN	
힐러리	hilary	힐러리	hilary	PROPN	
캅카스	kaukazu	캅카스	kaukaz	PROPN	N;GEN;MASC;SG
캅카스	policjant	캅카스	policjant	PROPN	N;NOM;MASC;SG
캅카스	gliny	캅카스	glina	PROPN	
캅카스	glina	캅카스	glina	PROPN	
캅카스	gliniarz	캅카스	gliniarz	PROPN	N;NOM;MASC;SG
촛불	świeca	촛불	świeca		N;NOM;FEM;SG
촛불	świecę	촛불	świeca		N;ACC;FEM;SG
촛불	świece	촛불	świeca		N;NOM;FEM;PL
촛불	świece	촛불	świeca		N;NOM;FEM;PL
촛불	świeczki	촛불	świeczka		N;NOM;FEM;PL
촛불	świece	촛불	świeca		N;NOM;FEM;PL
웨딩	weselny	웨딩	weselny	N	ADJ;NOM;MASC;SG
무스카트	muscat	무스카트	muscat	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
우랄	ural	우랄	ural		PROPN;NOM;MASC;SG
상점	store	상점	stór	N	
스티븐스	stevena	스티븐스	steryn	PROPN	N;ACC;MASC;SG
스티븐스	steven	스티븐스	steven	PROPN	PROPN;NOM;MASC;SG
스티븐스	stevensa	스티븐스	stevens	PROPN	
스티븐스	stevens	스티븐스	stevens	PROPN	PROPN;NOM;MASC;SG
부재	brak	부재	brak	N	V;IND;PRS;FIN
바꾸기	przełącznik	바꾸+기	przełącznik	V	N;ACC;MASC;SG
바꾸기	wymiany	바꾸+기	wymiana	V	
바꾸기	swap	바꾸+기	swap	V	
바꾸기	zmiana	바꾸+기	zmiana	V	N;NOM;FEM;SG
바꾸기	zmiany	바꾸+기	zmiana	V	N;ACC;FEM;PL
카운트다운	odliczanie	카운트+답+ㄴ	odliczać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
분홍색	różowa	분홍색	różowy		ADJ;NOM;FEM;SG
분홍색	różowe	분홍색	różowy		ADJ;NOM;NEUT;SG
분홍색	różowo	분홍색	różowo		ADV
요리사	cook	요리사	cook		PROPN;NOM;MASC;SG
요리사	kucharza	요리사	kucharz		N;ACC;MASC;SG
요리사	kucharz	요리사	kucharz		N;NOM;MASC;SG
요리사	gotować	요리사	gotować		V;IPFV;NFIN;ACT
요리사	kucharz	요리사	kucharz		N;NOM;MASC;SG
할당된	przypisana	할당+되+ㄴ	przypisać	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
할당된	przydzielony	할당+되+ㄴ	przydzielić	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
할당된	przypisany	할당+되+ㄴ	przypisać	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
할당된	przypisane	할당+되+ㄴ	przypisać	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
저작권자	autorskie	저작권자	autorski	N	ADJ;NOM;NEUT;SG
말하기	mówienie	말하+기	mówić	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
헤더	nagłówka	헤더	nagłówka		N;NOM;NEUT;SG
헤더	nagłówek	헤더	nagłówek		N;ACC;MASC;SG
헤더	heather	헤더	heather		PROPN;NOM;FEM;SG
헤더	nagłówki	헤더	nagłówka		N;NOM;FEM;PL
십자	krzyż	십자	krzyż		N;ACC;MASC;SG
십자	krzyżyk	십자	krzyżyk		N;NOM;MASC;SG
십자	krzyża	십자	krzyż		N;GEN;MASC;SG
레일	kolei	레일	kolej	N	
레일	szyn	레일	szyn	N	
간격	luka	간격	luka	N	
간격	gap	간격	gapić	N	
간격	przerwa	간격	przerwa	N	
간격	luk	간격	luk	N	
간격	luki	간격	luk	N	
카스트로	castro	카스트+로	castro		PROPN;NOM;MASC;SG
라이스	ryż	라이스	ryż		N;NOM;MASC;SG
페르미	fermi	페르미	fermia	N	
사춘기	dojrzewanie	사춘기	dojrzewać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
사춘기	dojrzewania	사춘기	dojrzewanie		N;IPFV;GEN;NEUT;SG;POS;V.MSDR
사춘기	dojrzewanie	사춘기	dojrzewać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
베넷	bennett	베넷	bennett		N;NOM;MASC;SG
베넷	bennet	베넷	bennet		V;IPFV;IND;SG;2;PRS;FIN;ACT
액정	lcd	액정	lecdyć	N	
후드	kaptur	후드	kaptura		N;ACC;MASC;SG
요셉	józefie	요셉	józefia		N;VOC;MASC;SG
요셉	joseph	요셉	joseph		PROPN;NOM;MASC;SG
요셉	józef	요셉	józef		PROPN;NOM;MASC;SG
포커	poker	포커	poker	N	
포커	pokera	포커	poker	N	
프론티어	granic	프론티어	granica		N;GEN;FEM;PL
프론티어	granica	프론티어	granica		N;NOM;FEM;SG
디아블로	diablo	디아블+로	diablo	ADV	
커플	par	커플	par	N	
커플	pary	커플	para	N	
커플	para	커플	para	N	
불안	niepewne	불안	niepewny	N	ADJ;NOM;NEUT;SG
불안	niepewna	불안	niepewna	N	ADJ;NOM;FEM;SG
불안	niepewnie	불안	niepewnie	N	ADV
불안	niepewny	불안	niepewny	N	ADJ;NOM;MASC;SG
퀸즈	królowe	퀸즈	królowy		N;NOM;MASC;PL
터미네이터	terminator	터미레이터	terminator		V;IPFV;IND;SG;2;FIN;ACT
인문학	humanistycznych	인문학	humanistyczny	N	ADJ;GEN;MASC;PL
채소	warzywa	채소	warzywo	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
채소	warzyw	채소	warzyw	N	
채소	warzywa	채소	warzywo	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
채소	warzyw	채소	warzyw	N	
문구	opis	문구	opis	N	
문구	text	문구	text	N	
문구	tekstowe	문구	tekstowy	N	ADJ;NOM;NEUT;SG
스트라스부르	strasburgu	스트라스부르	strasburg	PROPN	N;GEN;MASC;SG
키르기스스탄	kirgistanie	키르기스스탄	kirgistan	PROPN	N;ACC;MASC;SG
단층	wina	단층	wino	N	
무라타	murata	무라타	murata		N;ACC;MASC;SG
이끼	moss	이끼	moss	N	PROPN;NOM;MASC;SG
바트	bart	바트	bart		PROPN;NOM;MASC;SG
바트	barta	바트	barta		N;ACC;MASC;SG
시리우스	syriusz	시리우스	syriusz	PROPN	N;NOM;MASC;SG
소실	zanik	소실	zanik	N	V;IPFV;IND;SG;PRS;FIN;ACT
협조	współpracować	협조	współpracować	N	V;IPFV;NFIN;ACT
협조	współpracują	협조	współpracować	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
랄프	ralph	랄프	ralph		PROPN;NOM;MASC;SG
클릭	kliknij	클릭	klikni	N	V;PFV;IMP;SG;2;FIN;ACT
하디	hardy	하디	harda		PROPN;NOM;MASC;SG
직물	włókiennicze	직물	włókieniczy	N	ADJ;NOM;NEUT;SG
직물	włókienniczych	직물	włókieniczy	N	ADJ;GEN;MASC;PL
북서	northwest	북서	northwest		N;NOM;MASC;SG
페르시아어	perski	페르시아어	perski	PROPN	ADJ;NOM;MASC;SG
매리너스	marynarze	매리너스	marynarz		N;NOM;MASC;PL
매리너스	marynarzy	매리너스	marynarz		N;GEN;MASC;PL
플랜	plan	플랜	plan		N;NOM;MASC;SG
플랜	planów	플랜	plan		N;GEN;MASC;PL
플랜	planuje	플랜	planować		V;IPFV;IND;SG;3;PRS;FIN;ACT
플랜	plany	플랜	plan		N;NOM;MASC;PL
신용	credit	신용	credit	N	
야채	warzywa	야채	warzywo	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
야채	warzyw	야채	warzyw	N	
야채	warzywa	야채	warzywo	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
야채	warzyw	야채	warzyw	N	
렌더링	uczynić	렌더링	uczynić	N	V;PFV;NFIN;ACT
적분	integralną	적분	integralny	N	ADJ;ACC;FEM;SG
삼각주	delta	삼각주	delt	PROPN	
사각형	plac	사각형	plac		N;NOM;MASC;SG
사각형	kwadrat	사각형	kwadrat		N;NOM;MASC;SG
사각형	kwadratowy	사각형	kwadratowy		ADJ;NOM;MASC;SG
사각형	kwadratowe	사각형	kwadratowy		ADJ;NOM;NEUT;SG
사각형	czworokąt	사각형	czworokąt		N;ACC;MASC;SG
사각형	prostokąt	사각형	prostokąt		N;NOM;MASC;SG
사각형	prostokątne	사각형	prostokątny		ADJ;NOM;NEUT;SG
청소	chemiczna	청소	chemiczny	N	ADJ;NOM;FEM;SG
청소	czysty	청소	czysty	N	ADJ;NOM;MASC;SG
청소	czysta	청소	czysty	N	
청소	czyste	청소	czysty	N	ADJ;NOM;NEUT;SG
청소	oczyszczony	청소	oczyszczony	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
청소	oczyszczone	청소	oczyszczony	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
거기	tam	거기	tam		ADV
중등	wtórne	중등	wtórny	N	
중등	drugorzędne	중등	drugorzędny	N	ADJ;NOM;NEUT;SG
중등	wtórnego	중등	wtórny	N	ADJ;ACC;MASC;SG
베이시스트	basista	베이시스트	basisty	PROPN	N;NOM;MASC;SG
캐롤	carol	캐롤	carol		PROPN;NOM;FEM;SG
캐롤	carroll	캐롤	carroll		PROPN;NOM;MASC;SG
캐롤	carole	캐롤	caroły		V;IPFV;IND;SG;2;PRS;FIN;ACT
엘리	ellie	엘리	ella		V;IPFV;IND;SG;1;PRS;FIN;ACT
엘리	ela	엘리	ela		PROPN;NOM;FEM;SG
부채	zobowiązania	부채	zobowiązanie		N;NOM;NEUT;PL
부채	zobowiązań	부채	zobowiązanie		N;GEN;NEUT;PL
부채	długu	부채	dług		N;GEN;MASC;SG
부채	dług	부채	dług		N;NOM;MASC;SG
부채	zadłużenie	부채	zadłużenie		N;NOM;NEUT;SG
친족	kin	친족	kin	N	
경관	oficerze	경관	oficerz	N	
수용체	receptora	수용체	receptor	N	
버섯	grzybów	버섯	grzyb		N;GEN;MASC;PL
버섯	grzyby	버섯	grzyb		N;NOM;MASC;PL
버섯	grzybki	버섯	grzybka		N;NOM;MASC;PL
버섯	grzyb	버섯	grzyb		N;NOM;MASC;SG
버섯	grzyby	버섯	grzyb		N;NOM;MASC;PL
익숙한	znajome	익숙+하+ㄴ	znajomy	V	
익숙한	znajomy	익숙+하+ㄴ	znajomy	V	N;NOM;MASC;SG
파이팅	walka	파이팅	walka		N;NOM;FEM;SG
파이팅	walki	파이팅	walka		N;ACC;FEM;SG
튀니스	tunezja	튀니스	tunezja	PROPN	
튀니스	tunis	튀니스	tunis	PROPN	PROPN;NOM;MASC;SG
매력	glamour	매력	glamour	N	
매력	allure	매력	allur	N	
매력	wdzięk	매력	wdzięk	N	
매력	uroku	매력	urok	N	
매력	urocze	매력	uroczy	N	
매력	uroczy	매력	uroczyć	N	
태양광	słoneczna	태양광	słoneczny	N	ADJ;NOM;FEM;SG
태양광	słoneczny	태양광	słoneczny	N	ADJ;NOM;MASC;SG
태양광	słoneczne	태양광	słoneczny	N	ADJ;NOM;NEUT;SG
선진	rozwijane	선진	rozwijać		ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
선진	rozwiniętych	선진	rozwinąć		ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
선진	opracowane	선진	opracować		ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
선진	rozwinięte	선진	rozwinąć		ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
선진	opracowany	선진	opracować		ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
조건부	warunkowe	조건부	warunkowy		ADJ;NOM;NEUT;SG
조건부	warunkowego	조건부	warunkowy		ADJ;ACC;MASC;SG
메세지	komunikat	메세지	komunikat		N;NOM;MASC;SG
메세지	wiadomość	메세지	wiadomość		N;NOM;FEM;SG
메세지	wiadomości	메세지	wiadomość		N;ACC;FEM;PL
아우디	audi	아우디	audia	N	
비엔나	wiedeń	비엔나	wiedeń	PROPN	N;NOM;MASC;SG
비엔나	wiedniu	비엔나	wieśń	PROPN	PROPN;DAT;MASC;SG
예의	maniery	예의	manier	N	
예의	uprzejmy	예의	uprzejmy	N	V;PFV;IMP;SG;2;FIN;ACT
예의	grzecznie	예의	grzecznie	N	ADV
예의	grzeczny	예의	grzeczny	N	ADJ;NOM;MASC;SG
예의	uprzejmy	예의	uprzejmy	N	V;PFV;IMP;SG;2;FIN;ACT
노리치	norwich	노리치	norwić	PROPN	N;NOM;NEUT;SG
받았습니다	otrzymana	받+았+습니다	otrzymać	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
받았습니다	otrzymany	받+았+습니다	otrzymać	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
받았습니다	otrzymane	받+았+습니다	otrzymać	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
블라디보스토크	władywostoku	블라디보스토크	władywostok	PROPN	N;GEN;MASC;SG
인질	zakładnicy	인질	zakładnik	N	
켈트	celtyckie	켈트	celtycki	N	ADJ;NOM;NEUT;SG
후지사와	fujisawa	후지사+와	fujisaw	CONJ	
생태	ekologiczny	생태	ekologiczny	N	ADJ;NOM;MASC;SG
생태	ekologiczna	생태	ekologiczny	N	ADJ;NOM;FEM;SG
생태	ekologiczne	생태	ekologiczny	N	ADJ;NOM;NEUT;SG
증언	zeznawać	증언	zeznawać	N	V;IPFV;NFIN;ACT
트루먼	truman	트루+어	truman		PROPN;NOM;MASC;SG
노보루	noboru	노보루	nobór		N;GEN;MASC;SG
모하마드	mohammad	모하마드	mohammad	PROPN	N;NOM;MASC;SG
오마르	omar	오마르	omar	PROPN	PROPN;NOM;MASC;SG
오마르	omara	오마르	omar	PROPN	
일반인	generał	일반+이+ㄴ	generał		N;NOM;MASC;SG
일반인	ogólny	일반+이+ㄴ	ogólny		ADJ;NOM;MASC;SG
일반인	ogólnie	일반+이+ㄴ	ogólnie		ADV
일반인	ogólna	일반+이+ㄴ	ogólny		ADJ;NOM;FEM;SG
일반인	ogólne	일반+이+ㄴ	ogólny		ADJ;NOM;NEUT;SG
싱어	piosenkarz	싱어	piosenkarz		N;NOM;MASC;SG
싱어	wokalista	싱어	wokalista		N;NOM;MASC;SG
싱어	piosenkarka	싱어	piosenkarka		N;NOM;FEM;SG
바바	baba	바바	baba		N;NOM;FEM;SG
바바	babę	바바	baba		N;ACC;FEM;SG
관세	celne	관세	celny	N	ADJ;NOM;NEUT;SG
관세	cła	관세	cza	N	
관세	cło	관세	cło	N	
벨파스트	belfast	벨파스트	belfast	PROPN	PROPN;NOM;MASC;SG
잔혹한	okrutna	잔혹+하+ㄴ	okrutny	V	ADJ;NOM;FEM;SG
잔혹한	okrutny	잔혹+하+ㄴ	okrutny	V	ADJ;NOM;MASC;SG
잔혹한	okrucieństwo	잔혹+하+ㄴ	okrucieństwo	V	N;NOM;NEUT;SG
잔혹한	okrutne	잔혹+하+ㄴ	okrutny	V	ADJ;NOM;NEUT;SG
얼라이언스	sojusz	얼라이언스	sojusz		N;NOM;MASC;SG
얼라이언스	sojuszu	얼라이언스	sojusz		N;GEN;MASC;SG
네번째	czwarty	네+번+째	czwarty	N	ADJ;NOM;MASC;SG
네번째	czwartego	네+번+째	czwarty	N	ADJ;ACC;MASC;SG
네번째	czwarte	네+번+째	czwarty	N	
네번째	czwarta	네+번+째	czwarty	N	
브릿	brit	브릿	brit	PROPN	
잉글리시	angielski	잉글리시	angielski		ADJ;NOM;MASC;SG
잉글리시	anglik	잉글리시	anglik		N;NOM;MASC;SG
레즈비언	lesbijki	레즈비언	lesbijka	N	
레즈비언	lesbijek	레즈비언	lesbijek	N	
레즈비언	lesbijki	레즈비언	lesbijka	N	
차단되었습니다	zablokowany	차단+되+었+습니다	zablokować	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
차단되었습니다	zablokowana	차단+되+었+습니다	zablokować	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
차단되었습니다	zablokowane	차단+되+었+습니다	zablokować	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
새크라멘토	sacramento	새크라멘토	sacramento	PROPN	N;NOM;MASC;SG
힉스	hicks	힉스	hicks	PROPN	
힉스	higgsa	힉스	higgsa	PROPN	
영화관	kin	영화관	kin	N	
레지옹	legia	레지옹	legia	N	
깨진	rozbite	깨+어+지+ㄴ	rozbić	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
깨진	złamane	깨+어+지+ㄴ	złamać	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
깨진	łamane	깨+어+지+ㄴ	łamać	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
깨진	złamana	깨+어+지+ㄴ	złamać	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
깨진	złamany	깨+어+지+ㄴ	złamać	V	
특공대	commando	특공대	commando	N	
풀기	wyciąg	풀+기	wyciąg	V	
풀기	ekstrakt	풀+기	ekstrakt	V	N;NOM;MASC;SG
딜런	dillon	디런	dillon		PROPN;NOM;MASC;SG
딜런	dylan	디런	dylan		PROPN;NOM;MASC;SG
선샤인	słońce	선샤인	słońce		N;NOM;NEUT;SG
선샤인	słoneczna	선샤인	słoneczny		ADJ;NOM;FEM;SG
폴란드어	polsko	폴란드어	polski		ADJ
폴란드어	polskie	폴란드어	polski		ADJ;NOM;NEUT;SG
폴란드어	polski	폴란드어	polski		ADJ;NOM;MASC;SG
마스터즈	masters	마스터즈	masters	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
표본	przykładowe	표본	przykładowy	N	ADJ;NOM;NEUT;SG
보내기	wysyłanie	보내+기	wysyłać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
보내기	wysłanie	보내+기	wysłać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
보내기	wysyłanie	보내+기	wysyłać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
황소자리	tauri	황소자리	tauri	N	
황소자리	taurus	황소자리	taurus	N	
위조	fałszerz	위조	fałszerz	N	
위조	wykuty	위조	wykut	N	
모가미	mogami	모가미	móc	PROPN	N;INS;FEM;PL
게오르기	gieorgij	게오르+기	gieorgij	PROPN	PROPN;NOM;MASC;SG
고추	papryka	고추	papryka		N;NOM;FEM;SG
가슴이	piersi	가슴+이	pierś	N	
인용된	notowane	인용+되+ㄴ	notować	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
아나톨리아	anatolii	아나톨리아	anatolia	PROPN	PROPN;GEN;FEM;SG
스탠더드	standardowy	스탠더드	standardowy		ADJ;NOM;MASC;SG
스탠더드	standardowa	스탠더드	standardowy		ADJ;NOM;FEM;SG
스탠더드	norma	스탠더드	norma		V;IPFV;IND;SG;PRS;FIN;ACT
스탠더드	standardowe	스탠더드	standardowy		ADJ;NOM;NEUT;SG
스토어	sklepy	스토어	sklep		N;NOM;MASC;PL
스토어	sklepie	스토어	sklep		N;DAT;MASC;SG
스토어	sklep	스토어	sklep		N;NOM;MASC;SG
포트리스	twierdza	포트리스	twierdzać	PROPN	
포트리스	fortecy	포트리스	fortek	PROPN	N;GEN;FEM;SG
포트리스	forteca	포트리스	forteca	PROPN	N;NOM;FEM;SG
탐험	explorer	탐험	explorer	N	
대처	thatcher	대처	thatcher		V;IPFV;IND;SG;1;PRS;FIN;ACT
덕이	doug	덕+이	doug		PROPN;NOM;MASC;SG
제레미	jeremy	제레미	jeremć		PROPN;NOM;MASC;SG
강아지	szczeniak	강아지	szczeniak		N;NOM;MASC;SG
버터	masło	버터	masło		N;NOM;NEUT;SG
버터	masła	버터	masło		N;GEN;NEUT;SG
캐피탈	kapitolu	캐피탈	kapitol		N;GEN;MASC;SG
캐피탈	capitol	캐피탈	capitol		N;NOM;MASC;SG
캐피탈	kapitał	캐피탈	kapitał		N;ACC;MASC;SG
캐피탈	stolica	캐피탈	stolica		N;NOM;FEM;SG
캐피탈	kapitału	캐피탈	kapitał		N;GEN;MASC;SG
평형	równowadze	평형	równowadzić	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
제곱	plac	제곱	plac		N;NOM;MASC;SG
제곱	kwadrat	제곱	kwadrat		N;NOM;MASC;SG
제곱	kwadratowy	제곱	kwadratowy		ADJ;NOM;MASC;SG
제곱	kwadratowe	제곱	kwadratowy		ADJ;NOM;NEUT;SG
마트	mart	마트	marta		PROPN;NOM;MASC;SG
면책	odporność	면책	odporność		N;ACC;FEM;SG
면책	immunitet	면책	immunitet		N;NOM;MASC;SG
앨리슨	alison	앨리슨	alison		PROPN;NOM;FEM;SG
쇼팽	chopin	쇼팽	chopin	PROPN	
애너하임	anaheim	애너하+이+ㄹ	anaheim	PROPN	N;NOM;MASC;SG
자동화	zautomatyzować	자동화	zautomatyzować	N	V;PFV;NFIN;ACT
매력적인	urocze	매력+적+이+ㄴ	uroczy	V	
매력적인	uroczy	매력+적+이+ㄴ	uroczyć	V	
채워	wypełnij	채우+어	wypełnić		V;PFV;IMP;SG;2;FIN;ACT
채워	wypełnić	채우+어	wypełnić		V;PFV;NFIN;ACT
백조자리	cygni	백조+자리	cygny	N	
양곤	rangun	양곤	rangun	PROPN	N;NOM;MASC;SG
포츠머스	portsmouth	포츠머스	portsmouth	PROPN	N;NOM;MASC;SG
기차	pociągiem	기차	pociąg		N;INS;MASC;SG
기차	pociągu	기차	pociąg		N;GEN;MASC;SG
기차	pociąg	기차	pociąg		N;NOM;MASC;SG
기차	pociągi	기차	pociąg		N;NOM;MASC;PL
기차	pociągów	기차	pociąg		N;GEN;MASC;PL
기차	pociągi	기차	pociąg		N;NOM;MASC;PL
이오니아	jońskie	이오니아	joński	PROPN	ADJ;NOM;NEUT;SG
발명	wymyślić	발명	wymyślić	N	V;PFV;NFIN;ACT
발명	wymyślone	발명	wymyślić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
발명	wymyślił	발명	wymyślić	N	V;PFV;MASC;IND;SG;PST;FIN;ACT
발명	wynalazł	발명	wynaleźć	N	V;PFV;MASC;IND;SG;PST;FIN;ACT
편견	uprzedzony	편견	uprzedzić	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
조지타운	georgetown	조지럽+ㄴ	georgetowny		N;NOM;MASC;SG
버퍼	bufora	버퍼	bufor	N	
모니카	monika	모니카	monik		PROPN;NOM;FEM;SG
모니카	monica	모니카	monica		V;IPFV;IND;SG;1;PRS;FIN;ACT
응답하라	odpowiedz	응답+하+라	odpowiedzieć	V	
평화로운	pokojowe	평화+롭+ㄴ	pokojowy		ADJ;NOM;NEUT;SG
