של	shel	של	shel	PART;GEN	PROPN;NOM;MASC;SG;POS
אלה	tyto	אלה	tento	PRO;MASC;PL;3	DET;NOM;MASC;PL
אלה	tyhle	אלה	tenhle	PRO;MASC;PL;3	DET;NOM;MASC;PL
אלה	ella	אלה	ello	PRO;MASC;PL;3	PROPN;NOM;FEM;SG;POS
אלה	bohyni	אלה	bohyně	PRO;MASC;PL;3	N;ACC;FEM;SG;POS
אלה	bohyně	אלה	bohyně	PRO;MASC;PL;3	N;NOM;FEM;SG;POS
ירושלים	jeruzaléma	ירושלים	jeruzalý	PROPN	ADJ;INAN;GEN;MASC;SG;POS
ירושלים	jeruzalém	ירושלים	jeruzalém	PROPN	PROPN;INAN;NOM;MASC;SG;POS
המדינה	stát	המדין	stát	V;FEM;SG;3;PST;ACT	N;INAN;NOM;MASC;SG;POS
המדינה	státní	המדין	státní	V;FEM;SG;3;PST;ACT	ADJ;NOM;MASC;SG;POS
יהודים	židovská	יהודי	židovský	N;MASC;PL	ADJ;NOM;FEM;SG;POS
יהודים	židovský	יהודי	židovský	N;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
יהודים	žid	יהודי	žid	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
יהודים	židovské	יהודי	židovský	N;MASC;PL	ADJ;NOM;NEUT;SG;POS
רבות	mnohé	רב	mnohý	N;FEM;PL	ADJ;NOM;MASC;PL;POS
רבות	mnozí	רב	mnohý	N;FEM;PL	ADJ;ANIM;NOM;MASC;PL;POS
רבות	mnoha	רב	mnoho	N;FEM;PL	DET;INS
רבות	mnoho	רב	mnoho	N;FEM;PL	DET;NOM
מטר	nohy	מטר	noha	PROPN	N;NOM;FEM;PL;POS
מטר	chodidla	מטר	chodidlo	PROPN	N;NOM;NEUT;PL;POS
מטר	nožky	מטר	nožka	PROPN	N;NOM;FEM;PL;POS
מטר	metr	מטר	metr	PROPN	N;INAN;NOM;MASC;SG;POS
מטר	metry	מטר	metr	PROPN	N;INAN;NOM;MASC;PL;POS
מטר	metrů	מטר	metr	PROPN	N;INAN;GEN;MASC;PL;POS
מטר	měřiče	מטר	měřič	PROPN	N;INAN;NOM;MASC;PL;POS
מטר	metr	מטר	metr	PROPN	N;INAN;NOM;MASC;SG;POS
מטר	metry	מטר	metr	PROPN	N;INAN;NOM;MASC;PL;POS
מטר	metrů	מטר	metr	PROPN	N;INAN;GEN;MASC;PL;POS
דרך	prostřednictvím	דרך	prostřednictví		N;INS;NEUT;SG;POS
דרך	via	דרך	via		PROPN;FEM;SG;POS
דרך	přes	דרך	přes		ADP;ACC
דרך	prostřednictvím	דרך	prostřednictví		N;INS;NEUT;SG;POS
דרך	přes	דרך	přes		ADP;ACC
דרך	skrze	דרך	skrz		ADP;ACC
דרך	způsob	דרך	způsob		N;INAN;NOM;MASC;SG;POS
יכול	mohl	None	moci	V;MASC;SG;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
יכול	mohla	None	moci	V;MASC;SG;V.PTCP	V;POS;PST;V.PTCP;ACT
יכול	může	None	moci	V;MASC;SG;V.PTCP	V;IND;SG;3;POS;PRS;FIN;ACT
יכול	mohou	None	moci	V;MASC;SG;V.PTCP	V;IND;PL;3;POS;PRS;FIN;ACT
באמצעות	prostřednictvím	באמצעות	prostřednictví	ADP	N;INS;NEUT;SG;POS
באמצעות	via	באמצעות	via	ADP	PROPN;FEM;SG;POS
בעלי	manžela	בעל	manžel	N;PSSD;MASC;PL	N;ANIM;ACC;MASC;SG;POS
בעלי	manžel	בעל	manžel	N;PSSD;MASC;PL	N;ANIM;NOM;MASC;SG;POS
בשל	zralý	בשל	zralý	ADP	ADJ;ANIM;NOM;MASC;SG;POS
בשל	zralé	בשל	zralý	ADP	ADJ;NOM;NEUT;SG;POS
בשל	zralá	בשל	zralý	ADP	ADJ;NOM;FEM;SG;POS
בשל	splatné	בשל	splatný	ADP	ADJ;NOM;MASC;PL;POS
פרס	odměna	פרס	odměna	PROPN	N;NOM;FEM;SG;POS
פרס	odměnou	פרס	odměna	PROPN	N;INS;FEM;SG;POS
פרס	odměnu	פרס	odměna	PROPN	N;ACC;FEM;SG;POS
פרס	cena	פרס	cena	PROPN	N;NOM;FEM;SG;POS
פרס	ocenění	פרס	ocenění	PROPN	N;NOM;NEUT;SG;POS
פרס	zadání	פרס	zadání	PROPN	N;NOM;NEUT;SG;POS
ראו	rao	ראה	rao	V;PL;3;PST;ACT	PROPN;ANIM;NOM;MASC;SG;POS
דוד	dodd	דוד	dodde	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
דוד	strýc	דוד	strýc	PROPN	N;ANIM;NOM;MASC;SG;POS
דוד	strejda	דוד	strejda	PROPN	N;ANIM;NOM;MASC;SG;POS
דוד	davide	דוד	davide	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
דוד	david	דוד	david	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
בעל	manželi	בעל	manžel	N;MASC;SG	N;ANIM;INS;MASC;PL;POS
שלה	její	של	jeho		DET;NOM;FEM;SG;3
שלה	její	של	jeho		DET;NOM;FEM;SG;3
שלה	jí	של	on		PRO;DAT;FEM;SG;3
שלה	ji	של	on		PRO;ACC;FEM;SG;3
שלה	ní	של	on		PRO;DAT;FEM;SG;3
בנוסף	plus	בנוסף	plus	ADV	N;INAN;NOM;MASC;SG;POS
תחת	prdel	תחת	prdel	ADP	N;NOM;FEM;SG;POS
תחת	zadek	תחת	zadek	ADP	N;INAN;NOM;MASC;SG;POS
תחת	zadek	תחת	zadek	ADP	N;INAN;NOM;MASC;SG;POS
תחת	zadeček	תחת	zadeček	ADP	N;INAN;NOM;MASC;SG;POS
תמונה	photo	תמונה	photo	N;FEM;SG	PROPN;NOM;MASC;SG;POS
כתב	psal	כתב	psát	N;MASC;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
כתב	napsal	כתב	napsat	N;MASC;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
כתב	napsali	כתב	napsat	N;MASC;SG	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
כתב	napsala	כתב	napsat	N;MASC;SG	V;POS;PST;V.PTCP;ACT
הקבוצה	skupinu	הקבוצה	skupina	PROPN	N;ACC;FEM;SG;POS
הקבוצה	skupiny	הקבוצה	skupina	PROPN	N;NOM;FEM;PL;POS
הקבוצה	skupina	הקבוצה	skupina	PROPN	N;NOM;FEM;SG;POS
הערך	hodnota	הערך	hodnota		N;NOM;FEM;SG;POS
הערך	hodnotu	הערך	hodnota		N;ACC;FEM;SG;POS
היום	dnešek	היום	dnešek	ADV	N;INAN;NOM;MASC;SG;POS
רבי	rabín	רבי	rabín	PROPN	N;ANIM;NOM;MASC;SG;POS
מי	ktery	מי	kter	ADV	PROPN;ANIM;GEN;MASC;SG;POS
מי	kdo	מי	kdo	ADV	PRO;ANIM;NOM;MASC
מי	který	מי	který	ADV	DET;NOM;MASC;SG
מי	koho	מי	kdo	ADV	PRO;ANIM;ACC;MASC
מי	who	מי	who	ADV	PROPN;FEM;POS
למרות	navzdory	למרות	navzdory	ADP	ADV
למרות	ačkoliv	למרות	ačkoliv	ADP	CONJ
למרות	ačkoli	למרות	ačkoliv	ADP	CONJ
למרות	třebaže	למרות	třebaže	ADP	CONJ
למרות	ačkoliv	למרות	ačkoliv	ADP	CONJ
למרות	ačkoli	למרות	ačkoliv	ADP	CONJ
אחרות	jiné	אחר	jiný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG;POS
החברה	společnosti	החברה	společnost	N;FEM;SG	N;NOM;FEM;PL;POS
החברה	společnosti	החברה	společnost	N;FEM;SG	N;NOM;FEM;PL;POS
המלחמה	válka	המלחם	válka	PROPN	N;NOM;FEM;SG;POS
המלחמה	války	המלחם	válka	PROPN	N;NOM;FEM;PL;POS
המלחמה	válce	המלחם	válka	PROPN	N;DAT;FEM;SG;POS
המלחמה	válku	המלחם	válka	PROPN	N;ACC;FEM;SG;POS
שונות	jiný	שונה	jiný	ADJ;FEM;PL	ADJ;ANIM;NOM;MASC;SG;POS
שונות	jiná	שונה	jiný	ADJ;FEM;PL	ADJ;NOM;FEM;SG;POS
שונות	jiné	שונה	jiný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG;POS
הארץ	zemi	הארץ	země		N;ACC;FEM;SG;POS
הארץ	země	הארץ	země		N;NOM;FEM;SG;POS
הארץ	zem	הארץ	země		N;ACC;FEM;SG;POS
תאריך	datum	תאריך	datum	PROPN	N;NOM;NEUT;SG;POS
תאריך	rande	תאריך	rande	PROPN	N;NOM;NEUT;SG;POS
בלבד	jen	בלבד	jen	ADV	PART
בלבד	jenom	בלבד	jenom	ADV	PART
עבר	minulé	עבר	minulý	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
עבר	prošla	עבר	projít	N;MASC;SG	V;POS;PST;V.PTCP;ACT
עבר	prošel	עבר	projít	N;MASC;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
אפשר	povolit	אפשר	povolit	V	V;PFV;POS;NFIN
אפשר	umožnit	אפשר	umožnit	V	V;PFV;POS;NFIN
אפשר	povolit	אפשר	povolit	V	V;PFV;POS;NFIN
אפשר	umožnit	אפשר	umožnit	V	V;PFV;POS;NFIN
נוסף	přidáno	None	přidaný	ADP	ADJ;NEUT;SG;POS;V.PTCP;PASS
נוסף	přidána	None	přidaný	ADP	ADJ;POS;V.PTCP;PASS
נוסף	přidané	None	přidaný	ADP	ADJ;NOM;FEM;SG;POS
נוסף	přidán	None	přidaný	ADP	ADJ;MASC;SG;POS;V.PTCP;PASS
נוסף	přidány	None	přidaný	ADP	ADJ;INAN;PL;POS;V.PTCP;PASS
מרכז	ústřední	מרכז	ústřední	N;MASC;SG	ADJ;NOM;MASC;SG;POS
מרכז	centrální	מרכז	centrální	N;MASC;SG	ADJ;NOM;MASC;SG;POS
מרכז	center	מרכז	centrum	N;MASC;SG	N;NOM;NEUT;PL;POS
מרכז	centre	מרכז	centre	N;MASC;SG	PROPN;NOM;MASC;SG;POS
שימוש	používám	שימוש	používat	N;MASC;SG	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
שימוש	použijte	שימוש	použít	N;MASC;SG	V;PFV;IMP;PL;2;POS;FIN
שימוש	použít	שימוש	použít	N;MASC;SG	V;POS;NFIN
שיש	mramor	שיש	mramor		N;INAN;NOM;MASC;SG;POS
שיש	kulička	שיש	kulička		N;NOM;FEM;SG;POS
שיש	mramoru	שיש	mramor		N;INAN;GEN;MASC;SG;POS
רוב	nejvíc	רוב	hodně	N;MASC;SG	ADV;RL;POS
רוב	nejvíce	רוב	hodně	N;MASC;SG	ADV;RL;POS
רוב	rob	רוב	rob	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
רוב	robe	רוב	robe	N;MASC;SG	PROPN;NOM;MASC;SG;POS
כולל	zahrnuje	כלל	zahrnovat	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
כולל	včetně	כלל	včetně	V;MASC;SG;V.PTCP;ACT	ADP;GEN
