van	soyadın	van	soya		N;NOM;SG;3
afrika	afrikalı	afrika	afrikalı	PROPN;SG	
oor	hakkında	oor	hak	ADP	N;ESS;SG;3
oor	yaklaşık	oor	yaklaşık	ADP	
oor	kulak	oor	kulak	ADP	
oor	kaldı	oor	kal	ADP	V;PFV;IND;SG;3;POS;PST
oor	kalan	oor	kal	ADP	V;PFV;IND;POS;PRS;V.PTCP
een	biri	een	biri	NUM	PRO;NOM;SG;3
een	bir	een	bir	NUM	
gebruik	kullanımı	gebruik	kullanım	V;PRS	N;NOM;SG;3
gebruik	kullanım	gebruik	kullanım	V;PRS	
gebruik	kullanımı	gebruik	kullanım	V;PRS	N;NOM;SG;3
gebruik	kullanım	gebruik	kullanım	V;PRS	
gebruik	kullan	gebruik	kullan	V;PRS	
afrikaanse	afrika	afrikaans	afrika	N;PL	
afrikaanse	afrikalı	afrikaans	afrikalı	N;PL	
groot	harika	groot	harik	V;PRS	
meer	gol	baie	gol	DET	N;NOM;SG;3
meer	lake	baie	lake	DET	N;NOM;SG;3
meer	göl	baie	göl	DET	
meer	gölü	baie	göl	DET	N;ACC;SG;3
meer	daha	baie	daha	DET	ADV
meer	devamı	baie	devam	DET	
meer	more	baie	more	DET	
onder	aşağıda	onder	aşağı	ADP	ADJ;ESS;SG;3
onder	aşağı	onder	aşağ	ADP	
onder	aşağıya	onder	aşağı	ADP	ADJ;DAT;SG;3
onder	aşağıdan	onder	aşağı	ADP	ADJ;AT+ABL;SG;3
onder	altta	onder	altta	ADP	
onder	alt	onder	alt	ADP	
onder	alttaki	onder	alttaki	ADP	
onder	dibi	onder	dibi	ADP	
onder	dibe	onder	dibe	ADP	
twee	iki	twee	iki	NUM	
kerk	kerk	kerk	kerk		PROPN;NOM;SG;3
kerk	church	kerk	church		PROPN;NOM;SG;3
kerk	kiliseye	kerk	kili		N;DAT;SG;3
tussen	arasında	tussen	ara	ADP	ADJ;ESS;SG;3
tussen	arasına	tussen	ara	ADP	ADJ;DAT;SG;3
tussen	arası	tussen	ara	ADP	ADJ;NOM;SG;3
tussen	arasındaki	tussen	ara	ADP	ADJ;ESS;SG;3
gemeente	cemaat	gemeent	cemaat	N;SG	
gemeente	montaj	gemeent	montaj	N;SG	
gemeente	toplanma	gemeent	toplanma	N;SG	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR
gemeente	meclisi	gemeent	mecli	N;SG	
baie	cok	baie	cok	DET	
baie	çok	baie	çok	DET	
begin	başla	begin	başla	V;PRS	
begin	başlangıç	begin	başlangıç	V;PRS	
begin	başlat	begin	başlat	V;PRS	
hul	onların	hul	o	PRO;PL;3	PRO;GEN;PL;3
hul	onlarin	hul	o	PRO;PL;3	
waar	nerde	waar	nere	PRO	
waar	nere	waar	nere	PRO	
waar	doğru	waar	doğru	PRO	
waar	dogru	waar	dogru	PRO	
waar	true	waar	tru	PRO	
waar	gerçek	waar	gerçek	PRO	
dié	bu	dié	bu	DET	
dié	bunu	dié	bu	DET	PRO;ACC;SG;3
haar	onun	haar	o	PRO;ACC;SG;3	PRO;GEN;SG;3
eksterne	harici	ekstern	harici	V;PRS	
leë	boş	leë	boş		ADJ
leë	boş	leë	boş		ADJ
hom	onu	hom	o	PRO;NOM;SG;3	PRO;ACC;SG;3
voor	öne	voor	ön	ADP	
voor	cephe	voor	cephe	ADP	
voor	ön	voor	ön	ADP	
voor	önceki	voor	önceki	ADP	
voor	önceden	voor	önceden	ADP	ADV
voor	önce	voor	önce	ADP	
voor	öncesi	voor	önce	ADP	N;NOM;SG;3
voor	öncesinde	voor	önce	ADP	N;ESS;SG;3
stad	sehir	stad	sehir	N;SG	
stad	city	stad	city	N;SG	PROPN;NOM;SG;3
stad	şehir	stad	şehir	N;SG	
land	ülke	land	ülke	N;SG	
land	vatan	land	vat	N;SG	
skakels	bağlar	skakel	bağla	N;PL	
later	sonradan	laat	sonradan	ADV;CMPR	
nog	nogay	nog	nogay	ADV	
nog	devamı	nog	devam	ADV	
nog	more	nog	more	ADV	
net	just	net	just	ADV	
tydens	esnasında	tydens	esna	ADP	N;ESS;SG;3
tydens	sırasında	tydens	sıra	ADP	N;ESS;SG;3
naam	adın	naam	ad	N;SG	
deel	paylaşım	deel	paylaşım	V;PRS	N;NOM;SG;3
deel	paylaş	deel	paylaş	V;PRS	N;INS;SG;3
deel	kısım	deel	kısım	V;PRS	
deel	parçası	deel	parça	V;PRS	N;NOM;SG;3
deel	bölüm	deel	bölüm	V;PRS	
deel	part	deel	part	V;PRS	
deel	kısmen	deel	kısmen	V;PRS	
drie	three	drie	three	NUM	
egter	ancak	egter	ancak	PART	
sal	will	sal	will	V;PRS	
ons	bizim	ons	biz	PRO;PL;1	PRO;GEN;PL;1
mense	halk	mens	halk	N;PL	
mense	millet	mens	millet	N;PL	
svg	svg	svg	svg	N;SG	
nasionale	millî	nasionaal	millî	ADJ;NOM	
nasionale	national	nasionaal	national	ADJ;NOM	N;DAT;SG;3
nasionale	ulusal	nasionaal	ulusal	ADJ;NOM	
kom	gelin	kom	gel	V;PRS	
noord	kuzeyde	noord	kuzeyde		N;ESS;SG;3
noord	north	noord	north		PROPN;NOM;SG;3
noord	kuzeye	noord	kuze		N;DAT;SG;3
gebied	bölge	bied	bölge	V;PST;V.PTCP	
gebied	bölgesi	bied	bölge	V;PST;V.PTCP	N;NOM;SG;3
gebied	bölge	bied	bölge	V;PST;V.PTCP	
gebied	alanı	bied	alan	V;PST;V.PTCP	N;NOM;SG;3
gebied	alan	bied	al	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP
vanaf	from	vanaf	from	ADP	
laat	gec	laat	gec	V;PRS	
laat	geç	laat	geç	V;PRS	
saam	beraber	saam	beraber	ADV	
saam	beraberce	saam	beraberce	ADV	
saam	birlikte	saam	birlikte	ADV	
veral	özellikle	veral	özellikle	ADV	
veral	özelliklede	veral	özellikle	ADV	N;ESS;SG;3
veral	bilhassa	veral	bilhassa	ADV	
weer	yine	weer	yine		ADV
weer	gene	weer	gene		ADV
weer	yeniden	weer	yeniden		ADV
werk	çalış	werk	çalış	V;PRS	
werk	iş	werk	iş	V;PRS	N;NOM;SG;3
werk	eyüp	werk	eyüp	V;PRS	PROPN;NOM;SG;3
werk	iş	werk	iş	V;PRS	N;NOM;SG;3
klein	küçük	klein	küçük		ADJ
oos	doğuya	oos	doğu		ADJ;DAT;SG;3
oos	doğuda	oos	doğu		N;ESS;SG;3
hier	burada	hier	bura	ADV	N;ESS;SG;3
hier	burda	hier	bura	ADV	N;ESS;SG;3
tyd	vakit	tyd	vakit	N;SG	
tyd	time	tyd	tim	N;SG	
geword	haline	word	hal	V;PST;FIN	N;DAT;SG;3
vlag	bayrak	vlag	bayrak	N;SG	
verskeie	çeşitli	verskeie	çeşitli	ADJ;NOM	
verskeie	çeşitli	verskeie	çeşitli	ADJ;NOM	
verenigde	birleşik	verenig	birleşik	ADJ;NOM	
verenigde	birlik	verenig	birlik	ADJ;NOM	
verenigde	united	verenig	united	ADJ;NOM	
verenigde	birleşmiş	verenig	birleş	ADJ;NOM	
wes	west	wes	west		PROPN;NOM;SG;3
wes	batıya	wes	bat		N;DAT;SG;3
wes	batıda	wes	batı		N;ESS;SG;3
vorm	şekil	vorm	şekil	V;PRS	
vorm	şekli	vorm	şekli	V;PRS	N;ACC;SG;3
vorm	biçim	vorm	biçim	V;PRS	
staan	ayakta	staan	ayak	V;PRS	N;ESS;SG;3
staan	ayağa	staan	ayak	V;PRS	N;DAT;SG;3
staan	stand	staan	stand	V;PRS	
genoem	bahsedilen	noem	bahset	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
dan	öyleyse	dan	öyleyse	ADV	
dan	ozaman	dan	oza	ADV	
bevolking	nüfus	bevolking	nüfus	N;SG	
gebou	inşaat	bou	inşaat	V;PST;V.PTCP	
gebou	bina	bou	bina	V;PST;V.PTCP	
gebou	inşa	bou	inşa	V;PST;V.PTCP	
jare	yıllarca	jaar	yıllarca	N;PL	ADV
jare	yıllardır	jaar	yıl	N;PL	V;IPFV;IND;PL;3;POS
jare	seneler	jaar	sene	N;PL	
amerikaanse	amerikalı	amerikaans	amerikalı	ADJ;NOM	
amerikaanse	amerikan	amerikaans	amerikan	ADJ;NOM	
amerikaanse	american	amerikaans	american	ADJ;NOM	N;NOM;SG;3
slegs	just	slegs	just	ADV	
nadat	sonrası	nadat	sonra	CONJ	
nadat	ardından	nadat	ardından	CONJ	ADV
nadat	sonrasında	nadat	sonra	CONJ	N;ESS;SG;3
nadat	sonra	nadat	sonra	CONJ	ADV
lank	uzundu	lank	uzun	ADV	V;PFV;IND;SG;3;POS;PST;PASS
lank	uzun	lank	uzun	ADV	ADJ
lank	uzun	lank	uzun	ADV	ADJ
lank	long	lank	long	ADV	
gestig	kurulan	stig	kur	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
sedert	başlatılan	sedert	başla	ADP	V;PFV;IND;POS;PRS;V.PTCP;PASS
sedert	başlattı	sedert	başla	ADP	V;PFV;IND;SG;3;POS;PST;CAUS
reeds	çoktan	reeds	çok	ADV	ADJ;AT+ABL;SG;3
kaapstad	barcelona	kaapstad	barcelon		N;NOM;SG;3
kaapstad	barselona	kaapstad	barselon		PROPN;NOM;SG;3
party	parti	party	parti	V;PRS	
party	party	party	party	V;PRS	
desember	aralık	desember	aralık		N;NOM;SG;3
alle	all	al	all	DET	
alle	hepsini	al	hepsi	DET	PRO;ACC;PL;3
alle	tamamı	al	tamam	DET	
alle	hepsi	al	hepsi	DET	PRO;NOM;PL;3
alle	tümü	al	tümü	DET	
gaan	gitmek	gaan	git		V;PFV;NOM;IND;POS;PRS;V.MSDR
gaan	gidiyorum	gaan	git		V;PROG;IND;SG;1;POS;INFM;PRS
gaan	gidiyor	gaan	git		V;PROG;IND;SG;3;POS;INFM;PRS
nou	simdi	nou	simdi	ADV	
meeste	çoğu	baie	çok		
meeste	çogu	baie	çogu		
gebore	doğan	gebore	doğ	V;PRS	
gebore	doğuştan	gebore	doğuş	V;PRS	N;AT+ABL;SG;3
gebore	doğdu	gebore	doğ	V;PRS	V;PFV;IND;SG;3;POS;PST
gebore	doğmuş	gebore	doğ	V;PRS	V;PFV;NFH;IND;SG;3;POS;PST
gebore	doğdum	gebore	doğ	V;PRS	V;PFV;IND;SG;1;POS;PST
provinsie	il	provinsie	il	N;SG	
provinsie	ilçe	provinsie	ilçe	N;SG	
provinsie	county	provinsie	county	N;SG	PROPN;NOM;SG;3
provinsie	state	provinsie	state	N;SG	
provinsie	eyalet	provinsie	eyalet	N;SG	
universiteit	üniversite	universiteit	üniversite	N;SG	
universiteit	university	universiteit	university	N;SG	PROPN;NOM;SG;3
lewe	life	lewe	life	N;SG	
lewe	hayat	lewe	hayat	N;SG	
lewe	ömür	lewe	ömür	N;SG	
vier	four	vier	four	V;PRS	
vier	dört	vier	dört	V;PRS	NUM
vier	kutlama	vier	kutlam	V;PRS	
vier	kutlama	vier	kutlam	V;PRS	
franse	fransızlar	frans	fransız	ADJ;NOM	N;NOM;PL;3
franse	fransız	frans	fransız	ADJ;NOM	
franse	fransızca	frans	fransızca	ADJ;NOM	
dood	olum	dood	ol	N;SG	
dood	ölüm	dood	ölüm	N;SG	
dood	death	dood	death	N;SG	
dood	ölüler	dood	ölü	N;SG	ADJ;NOM;PL;3
dood	öldü	dood	öl	N;SG	V;PFV;IND;SG;3;POS;PST
dood	ölü	dood	ölü	N;SG	
dood	dead	dood	dead	N;SG	
amptelike	resmî	amptelik	resmî	ADJ;NOM	
amptelike	official	amptelik	official	ADJ;NOM	N;NOM;SG;3
amptelike	resmi	amptelik	resmi	ADJ;NOM	
moes	vardı	moet	var	V;PST;FIN	V;PFV;IND;SG;3;POS;PST
dieselfde	aynısından	dieselfde	aynı	ADJ;NOM	ADJ;AT+ABL;SG;3
dieselfde	aynen	dieselfde	aynen	ADJ;NOM	
dieselfde	ayni	dieselfde	ayni	ADJ;NOM	
dieselfde	aynısı	dieselfde	aynı	ADJ;NOM	N;NOM;SG;3
wêreld	world	wêreld	world	N;SG	
wêreld	dünya	wêreld	dünya	N;SG	
wêreld	dunya	wêreld	dunya	N;SG	
volgende	sonraki	volg	sonraki	N;SG	
volgende	sıradaki	volg	sıradaki	N;SG	
miljoen	milyon	miljoen	milyon	NUM	
aantal	miktar	aantal	miktar	N;SG	
plaaslike	yerli	plaaslik	yerli	ADJ;NOM	
plaaslike	lokal	plaaslik	lokal	ADJ;NOM	
plaaslike	yöresel	plaaslik	yöresel	ADJ;NOM	
plaaslike	yerel	plaaslik	yerel	ADJ;NOM	
regs	doğru	regs	doğru	ADP	
regs	sağa	regs	sağ	ADP	
regs	sağ	regs	sağ	ADP	
regs	dogru	regs	dogru	ADP	
dikwels	sıklıkla	dikwels	sıklık	ADV	
dikwels	sıkça	dikwels	sıkça	ADV	
internasionale	international	internasionaal	international	ADJ;NOM	N;NOM;SG;3
internasionale	yurtdışı	internasionaal	yurtdışı	ADJ;NOM	
internasionale	uluslararası	internasionaal	uluslararası	ADJ;NOM	
eie	kendi	eie	kendi	ADJ;NOM	PRO;NOM;SG;3;REFL
eers	öncelikle	eers	öncelik		N;INS;SG;3
pretoria	pretoria	pretoria	pretoria		PROPN;NOM;SG;3
steeds	hâlâ	steeds	hul	ADV	
steeds	halen	steeds	halen	ADV	
groep	gurup	groep	gur	N;SG	
groep	grup	groep	grup	N;SG	
groep	grubu	groep	grup	N;SG	
stel	set	stel	set	V;PRS	
stel	seti	stel	set	V;PRS	
sluit	istifa	sluit	istifa	V;PRS	
sluit	yakın	sluit	yakın	V;PRS	
sluit	yakına	sluit	yakın	V;PRS	
sluit	yakin	sluit	yakin	V;PRS	
frankryk	fransa	frankryk	fra		PROPN;NOM;SG;3
frankryk	france	frankryk	france		PROPN;NOM;SG;3
naby	yakın	naby	yakın	ADP	
naby	yakınında	naby	yakın	ADP	ADJ;ESS;SG;3
naby	yakınındaki	naby	yakınındaki	ADP	ADJ;ESS;SG;3
naby	yakındaki	naby	yakındaki	ADP	ADJ;ESS;SG;3
naby	yakınlardaki	naby	yakınlardaki	ADP	ADJ;ESS;PL;3
naby	yakınında	naby	yakın	ADP	ADJ;ESS;SG;3
naby	yakınlarda	naby	yakın	ADP	ADJ;ESS;PL;3
naby	yakın	naby	yakın	ADP	
hoofstad	başkent	hoofstad	başkent	N;SG	
hoofstad	sermaye	hoofstad	sermaye	N;SG	
water	su	water	su	N;SG	
einde	bitir	einde	bitir	N;SG	V;PFV;IMP;SG;2;POS;PRS
einde	bitiş	einde	bitiş	N;SG	
einde	bitir	einde	bitir	N;SG	V;PFV;IMP;SG;2;POS;PRS
einde	son	einde	son	N;SG	
einde	sonu	einde	son	N;SG	
einde	bitiş	einde	bitiş	N;SG	
duitsland	almanya	duitsland	al	N;SG	PROPN;NOM;SG;3
regering	hükümet	regering	hükümet	N;SG	
elke	her	elk	her	PRO	DET
kaap	pelerin	kaap	pe		N;GEN;PL;3
kaap	cape	kaap	cape		PROPN;NOM;SG;3
kaap	pelerini	kaap	pe		N;ACC;PL;3
kaap	burnu	kaap	burun		N;NOM;SG;3
dae	günlerce	dag	günlerce	N;PL	ADV
oorlog	war	oorlog	war	N;SG	
oorlog	savas	oorlog	savas	N;SG	
laaste	sonuncusu	laaste	sonuncu	DET	NUM;NOM;SG;3
laaste	last	laaste	last	DET	
laaste	sonuncu	laaste	sonuncu	DET	
laaste	son	laaste	son	DET	
politieke	siyasi	politiek	siyasi	ADJ;NOM	
politieke	politik	politiek	politik	ADJ;NOM	
politieke	siyasal	politiek	siyasal	ADJ;NOM	
besluit	karar	besluit	karar	V;PRS	N;NOM;SG;3
besluit	kararı	besluit	karar	V;PRS	N;NOM;SG;3
besluit	karar	besluit	karar	V;PRS	N;NOM;SG;3
ryk	imparatorluk	ryk	imparatorluk		N;NOM;SG;3
ryk	imparatorluğu	ryk	imparatorluk		N;NOM;SG;3
ryk	zenginler	ryk	zengin		N;NOM;PL;3
asook	hayırseverlik	asook	hayırseverlik	CONJ	N;NOM;SG;3
sommige	bazıları	sommige	bazı	DET	
sommige	bazılarını	sommige	bazı	DET	PRO;ACC;PL;3
sommige	kimisi	sommige	kimi	DET	
geskiedenis	tarihi	geskiedenis	tarih	N;SG	
geskiedenis	geçmiş	geskiedenis	geç	N;SG	
vis	balık	vis	balık	N;SG	
vis	balik	vis	balik	N;SG	
vis	balıklar	vis	balık	N;SG	ADJ;NOM;PL;3
plaas	çiftlik	plaas	çiftlik	V;PRS	N;NOM;SG;3
plaas	post	plaas	post	V;PRS	
plaas	gönderi	plaas	gönder	V;PRS	N;NOM;SG;3
wetenskaplike	bilimadamı	wetenskaplik	bil	ADJ;NOM	
ontwikkel	gelişmiş	ontwikkel	geliş	V;PRS	V;PFV;NFH;IND;POS;PST;V.PTCP
ontwikkel	geliştirilmiş	ontwikkel	geliş	V;PRS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
ontwikkel	geliştirildi	ontwikkel	geliş	V;PRS	V;PFV;IND;SG;3;POS;PST;PASS
seun	cocuk	seun	cocuk	N;SG	
seun	evlat	seun	evlat	N;SG	
seun	oğul	seun	oğul	N;SG	
seun	evlat	seun	evlat	N;SG	
algemene	genel	algemeen	genel	ADV	ADJ
algemene	general	algemeen	general	ADV	
verskillende	farkli	verskil	farkli	ADJ;NOM	
verskillende	değişik	verskil	değişik	ADJ;NOM	
stadion	stadyumu	stadion	stadyum		N;NOM;SG;3
stadion	stadyum	stadion	stadyum		N;NOM;SG;3
belangrike	önemlidir	belangrik	önemli	ADJ;NOM	
belangrike	önemli	belangrik	önemli	ADJ;NOM	
kinders	çocuk	kind	çocuk	N;PL	N;NOM;SG;3
gedurende	esnasında	gedurende	esna	ADP	N;ESS;SG;3
gedurende	sırasında	gedurende	sıra	ADP	N;ESS;SG;3
vertaal	tercüme	vertaal	tercüme	V;PRS	
vertaal	çevir	vertaal	çevir	V;PRS	
vertaal	çeviri	vertaal	çevir	V;PRS	
munisipaliteit	borough	munisipaliteit	borough	N;SG	
munisipaliteit	belediye	munisipaliteit	beledi	N;SG	
munisipaliteit	belediyesi	munisipaliteit	belediye	N;SG	
tans	simdi	tans	simdi	ADV	
tans	hediye	tans	hedi	ADV	N;NOM;SG;3
tans	şimdiki	tans	şimdiki	ADV	
tans	mevcut	tans	mevcut	ADV	
republiek	cumhuriyet	republiek	cumhuriyet	N;SG	
kort	kısa	kort	kısa		ADJ
self	self	self	self	PRO;SG;3;REFL	
verder	devamı	ver	devam	ADV;CMPR	
mens	insan	mens	insan		N;NOM;SG;3
plek	mekan	plek	mekan	N;SG	
plek	mekân	plek	mekân	N;SG	
ongeveer	yaklaşık	ongeveer	yaklaşık	ADV	
binne	içi	binne	iç	ADP	
binne	içeride	binne	içeri	ADP	N;ESS;SG;3
binne	içinde	binne	içinde	ADP	ADV
binne	içerde	binne	içeri	ADP	N;ESS;SG;3
binne	içinde	binne	içinde	ADP	ADV
europese	avrupa	europees	avrupa	ADJ;NOM	
europese	avrupalı	europees	avrupalı	ADJ;NOM	
moontlik	muhtemel	moontlik	muhtemel	ADV	
moontlik	mümkün	moontlik	mümkün	ADV	
moontlik	olası	moontlik	olası	ADV	
selfs	hatta	selfs	hatta	ADV	CONJ
enige	herhangi	enig	herhangi	PRO	
gehou	beğenilen	hou	beğen	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
maande	ay	maand	ay	N;PL	N;NOM;SG;3
maande	aylardır	maand	ayla	N;PL	V;IPFV;IND;SG;3;POS
maande	aylar	maand	ay	N;PL	
maande	aylarca	maand	aylarca	N;PL	ADV
skool	okul	skool	okul	N;SG	
skool	school	skool	school	N;SG	
per	per	per	per	ADP	
vroeë	erken	vroeg	erken	ADJ;NOM	
vroeë	erkenden	vroeg	erken	ADJ;NOM	ADJ;AT+ABL;SG;3
familie	family	familie	family	N;SG	
familie	aile	familie	aile	N;SG	
mag	may	mag	may	V;PRS	
mag	mayis	mag	mayis	V;PRS	
mag	mayıs	mag	mayıs	V;PRS	
geneem	alınan	neem	al	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
geneem	alınır	neem	al	V;PST;V.PTCP	V;IPFV;IND;SG;3;POS;PASS
hoe	nasil	hoe	nasil	PRO	
hoe	nası	hoe	nası	PRO	
hoe	nasıl	hoe	nasıl	PRO	
eiland	ada	eiland	ada	N;SG	
volg	pist	volg	pist	V;PRS	
volg	takip	volg	takip	V;PRS	
volg	follow	volg	follow	V;PRS	
volg	takip	volg	takip	V;PRS	
volg	takip	volg	takip	V;PRS	
soms	bazen	soms	bazen	PART	ADV
engeland	ingiltere	engeland	ingiltere		PROPN;NOM;SG;3
johannes	johannes	johannes	johannes		PROPN;NOM;SG;3
vyf	five	vyf	fiv	NUM	
vyf	beş	vyf	beş	NUM	
sonder	olmadan	sonder	ol	ADP	V;PFV;IND;NEG;PRS;V.CVB
sonder	onsuz	sonder	onsuz	ADP	
johannesburg	johannesburg	johannesburg	johannesburg	PROPN;SG	PROPN;NOM;SG;3
ontwerp	tasarım	ontwerp	tas	V;PRS	
ontwerp	dizayn	ontwerp	dizayn	V;PRS	N;NOM;SG;3
aarde	earth	aarde	earth	N;SG	
aarde	toprak	aarde	toprak	N;SG	
aarde	dünya	aarde	dünya	N;SG	
aarde	yeryüzü	aarde	yeryüzü	N;SG	
gee	ver	gee	ver	V;PRS	
paar	birkaç	paar	birkaç		DET
rol	rolün	rol	rolün	N;SG	
rol	rol	rol	rol	N;SG	
rol	rulo	rol	rulo	N;SG	
rol	roll	rol	roll	N;SG	
vrou	kadin	vrou	kadin	N;SG	
vrou	kadın	vrou	kadın	N;SG	
vrou	eş	vrou	eş	N;SG	
vrou	eşi	vrou	eş	N;SG	ADJ;NOM;SG;3
vrou	karın	vrou	kar	N;SG	
derde	üçüncü	derde	üçüncü	ADJ;NOM	
dag	gündüz	dag	gündüz	N;SG	
dag	gun	dag	gun	N;SG	
moderne	modern	modern	modern	N;SG	
moderne	çağdaş	modern	çağdaş	N;SG	
woord	kelime	woord	kelim	N;SG	
woord	laf	woord	laf	N;SG	
woord	söz	woord	söz	N;SG	
woord	sözcük	woord	sözcük	N;SG	
president	başkan	president	başkan	N;SG	
president	baskan	president	baskan	N;SG	
tale	dil	taal	dil	N;PL	
ontvang	alındı	ontvang	al	V;PRS	V;PFV;IND;SG;3;POS;PST;PASS
ontvang	aldı	ontvang	al	V;PRS	V;PFV;IND;SG;3;POS;PST
bly	bly	bly	bly	V;PRS	
bly	kalın	bly	kalın	V;PRS	
bly	kal	bly	kal	V;PRS	
amerika	amerika	amerika	amerik	N;SG	
hoewel	gerçi	hoewel	gerçi	CONJ	
staat	state	staat	state	N;SG	
staat	eyalet	staat	eyalet	N;SG	
staat	levha	staat	levha	N;SG	
staat	çarşaf	staat	çarşaf	N;SG	
staat	yaprak	staat	yaprak	N;SG	
weens	vadesi	weens	vade	ADP	N;NOM;SG;3
weens	nedeniyle	weens	neden	ADP	N;INS;SG;3
vandag	bugün	vandag	bugün	ADV	N;NOM;SG;3
vandag	bugünde	vandag	bugün	ADV	N;ESS;SG;3
vandag	bügün	vandag	bügün	ADV	
vandag	bugun	vandag	bugun	ADV	
daardie	bunlar	daardie	bu	DET	PRO;NOM;PL;3
daardie	şunlar	daardie	şu	DET	
aanvaar	kabul	aanvaar	kabul	V;PRS	N;NOM;SG;3
aanvaar	kabul	aanvaar	kabul	V;PRS	N;NOM;SG;3
hou	devam	hou	devam	V;PRS	N;NOM;SG;3
geskryf	yazan	skryf	yaz	V;PST;V.PTCP	
geskryf	yazılı	skryf	yazılı	V;PST;V.PTCP	
geskryf	yazılan	skryf	yaz	V;PST;V.PTCP	V;PFV;IND;POS;PRS;V.PTCP;PASS
hele	tamamı	heel	tamam	ADJ;NOM	
hele	tüm	heel	tüm	ADJ;NOM	DET
hele	tamamı	heel	tamam	ADJ;NOM	
bevat	içerdiği	bevat	içer	V;PRS	V;PFV;IND;POS;PST;V.PTCP
bevat	içerir	bevat	içeri	V;PRS	
skrywer	yazar	skrywer	yazar	N;SG	
skrywer	yazar	skrywer	yazar	N;SG	
skrywer	yazarı	skrywer	yazar	N;SG	
verander	iptal	verander	iptal	V;PRS	
verander	değişiklikler	verander	değişiklik	V;PRS	N;NOM;PL;3
verander	değişimler	verander	değişim	V;PRS	N;NOM;PL;3
verander	değişiklik	verander	değişiklik	V;PRS	N;NOM;SG;3
verander	değişiklikleri	verander	değişiklik	V;PRS	N;ACC;PL;3
verander	modifiye	verander	modif	V;PRS	N;DAT;SG;3
verander	düzenle	verander	düzen	V;PRS	N;INS;SG;3
verander	değiştir	verander	değiş	V;PRS	
verander	değişim	verander	değişim	V;PRS	
verander	değiştir	verander	değiş	V;PRS	
verander	değişiklik	verander	değişiklik	V;PRS	N;NOM;SG;3
bereik	erişim	bereik	erişim	V;PRS	N;NOM;SG;3
bereik	ulaştı	bereik	ulaş	V;PRS	V;PFV;IND;SG;3;POS;PST
russiese	rus	russies	rus	ADJ;NOM	
russiese	rusça	russies	rusça	ADJ;NOM	PROPN;NOM;SG;3
weg	uzakta	weg	uzak		ADJ;ESS;SG;3
weg	uzağa	weg	uzak		ADJ;DAT;SG;3
weg	uzaklara	weg	uzak		ADJ;DAT;PL;3
beteken	anlamı	beteken	anlam	V;PRS	N;ACC;SG;3
man	kocası	man	koca	N;SG	ADJ;NOM;SG;3
man	koca	man	koca	N;SG	
man	man	man	man	N;SG	
man	erkek	man	erkek	N;SG	
huis	yuva	huis	yuva	N;SG	
huis	house	huis	hou	N;SG	PROPN;NOM;SG;3
besoek	izlenim	besoek	izlenim	V;PRS	
besoek	gösterim	besoek	göster	V;PRS	
