австралийский	australiska	австралийский	australisk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
рой	roy	рой	roy	N;ANIM;NOM;MASC;SG	PROPN;NOM
альберто	alberto	альберто	alberto	N;INAN;NOM;MASC;SG	PROPN;NOM
электроэнергии	el	электроэнергия	el	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
электроэнергии	elektricitet	электроэнергия	elektricitet	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
пьетро	pietro	пьетро	pietro	N;INAN;NOM;MASC;SG	PROPN;NOM
кубы	cuba	куба	cuba	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
кубы	kuba	куба	kuba	N;INAN;NOM;FEM;PL	PROPN;NOM
задняя	bakre	задний	bakre	ADJ;NOM;FEM;SG	ADJ;NOM;CMPR
задняя	bak	задний	bak	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
камер	chambers	камера	chamber	N;INAN;GEN;FEM;PL	PROPN;NOM
камер	avdelningar	камера	avdelning	N;INAN;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;PL
камер	kammare	камера	kammare	N;INAN;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;SG
возражения	invändning	возражение	invändning	N;INAN;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
возражения	invändningen	возражение	invändning	N;INAN;NOM;NEUT;PL	N;NOM;DEF;MASC+FEM;SG
уилсон	wilson	уилсон	wilson	N;ANIM;NOM;MASC;SG	PROPN;NOM
старших	senior	старший	senio	ADJ;GEN;PL	N;NOM;INDF;MASC+FEM;SG
юбилейная	jubilee	юбилейный	jubil	ADJ;NOM;FEM;SG	PROPN;NOM
юбилейная	jubileum	юбилейный	jubileum	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
исаак	isaac	исаак	isaac	N;ANIM;NOM;MASC;SG	PROPN;NOM
исаак	isak	исаак	isak	N;ANIM;NOM;MASC;SG	PROPN;NOM
бесплатно	gratis	бесплатно	gratis	ADV	ADJ;NOM
бесплатно	fri	бесплатно	fri	ADV	ADJ;NOM;INDF;MASC+FEM;SG
бесплатно	free	бесплатно	free	ADV	V;IMP;FIN;ACT
бесплатно	ledig	бесплатно	ledig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
бесплатно	fria	бесплатно	fri	ADV	ADJ;NOM;PL
стекла	glas	стекло	glas	N;INAN;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
показания	vittnesbörd	показание	vittnesbörd	N;INAN;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
показания	vittnesmål	показание	vittnesmål	N;INAN;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
янг	unga	янг	ung	N;ANIM;NOM;MASC;SG	ADJ;NOM;PL
янг	yngre	янг	ung	N;ANIM;NOM;MASC;SG	ADJ;NOM;CMPR
янг	ung	янг	ung	N;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
кинотеатр	theater	кинотеатр	theat	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
кинотеатр	biografer	кинотеатр	biograf	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
центральное	centrala	центральный	central	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
центральное	centralen	центральный	central	ADJ;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
центральное	central	центральный	central	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
центральное	centralt	центральный	central	ADJ;NOM;NEUT;SG	ADV
центральное	mellersta	центральный	mellersta	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;RL
ушли	borta	уйти	borta	V;PFV;IND;PL;PST;FIN;ACT	ADV
эфиопии	etiopien	эфиопия	etiopien	N;INAN;NOM;FEM;PL	PROPN;NOM
эфиопии	etiopiska	эфиопия	etiopisk	N;INAN;NOM;FEM;PL	ADJ;NOM;PL
подробное	detaljerade	подробный	detaljera	ADJ;NOM;NEUT;SG	ADJ;NOM;PL;PST;V.PTCP
неудачно	olyckligt	неудачно	olycklig	ADV	ADJ;NOM;INDF;NEUT;SG
неудачно	olyckliga	неудачно	olycklig	ADV	ADJ;NOM;PL
неудачно	olycklig	неудачно	olycklig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
разновидности	sort	разновидность	sort	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
разновидности	variation	разновидность	variation	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
венесуэлы	venezuelanska	венесуэла	venezuelansk	N;INAN;NOM;FEM;PL	ADJ;NOM;PL
венесуэлы	venezuela	венесуэла	venezuel	N;INAN;NOM;FEM;PL	PROPN;NOM
настоящая	real	настоящий	real	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
настоящая	riktigt	настоящий	riktig	ADJ;NOM;FEM;SG	ADV
навигации	navigering	навигация	navigering	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
навигации	navigation	навигация	navigation	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
навигации	sjöfart	навигация	sjöfart	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
развиваться	utvecklas	развиваться	utveckla	V;IPFV;NFIN;MID	V;IND;FIN;PASS
хозяин	ägare	хозяин	gg	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
хозяин	mäster	хозяин	mästa	N;ANIM;NOM;MASC;SG	PROPN;NOM
дополнительное	ytterligare	дополнительный	ytterlig	ADJ;NOM;NEUT;SG	ADV;CMPR
арнольд	arnold	арнольд	arnold	N;ANIM;NOM;MASC;SG	PROPN;NOM
борцы	brottare	борец	brott	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
боги	gudars	бог	gud	N;ANIM;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
обложка	täcka	обложка	täcka	N;INAN;NOM;FEM;SG	V;IMP;FIN;ACT
классическая	klassiska	классический	klassisk	ADJ;NOM;FEM;SG	ADJ;NOM;PL
классическая	klassiker	классический	klassik	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
классическая	classic	классический	classic	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
классическая	klassiska	классический	klassisk	ADJ;NOM;FEM;SG	ADJ;NOM;PL
картинки	pictures	картинка	pictures	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
нынешней	aktuell	нынешний	aktuell	ADJ;INS;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
нынешней	nuvarande	нынешний	nuvarande	ADJ;INS;FEM;SG	ADJ;NOM;PRS;V.PTCP
нынешней	aktuellt	нынешний	aktuell	ADJ;INS;FEM;SG	ADJ;NOM;INDF;NEUT;SG
нынешней	aktuella	нынешний	aktuell	ADJ;INS;FEM;SG	ADJ;NOM;PL
швейцарский	schweiziska	швейцарский	schweizisk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
зубов	tänder	зуб	tand	N;INAN;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
грант	bevilja	грант	bevilja	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
грант	grant	грант	grant	N;INAN;NOM;MASC;SG	PROPN;NOM
дискуссия	diskussioner	дискуссия	diskussion	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
студент	studerande	студент	studerande	N;ANIM;NOM;MASC;SG	ADJ;NOM;PRS;V.PTCP
водорода	väte	водород	väte	N;INAN;GEN;MASC;SG	N;NOM;INDF;NEUT;SG
водорода	vätgas	водород	vätga	N;INAN;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
укр	ukr	укр	ukr		N
шотландский	skotte	шотландский	skotte	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
шотландский	skotska	шотландский	skotsk	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
шотландский	scottish	шотландский	scottish	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
охоты	jakt	охота	jakt	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
охоты	jaga	охота	jaga	N;INAN;NOM;FEM;PL	V;IMP;FIN;ACT
охоты	jagar	охота	jaga	N;INAN;NOM;FEM;PL	V;IND;PRS;FIN;ACT
вон	vaughn	вон	vaughn	PART	PROPN;NOM
домашние	hemmagjord	домашний	hemmagjord	ADJ;NOM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
дэн	dan	дэн	dan	N;ANIM;NOM;MASC;SG	PROPN;NOM
дэн	deng	дэн	deng	N;ANIM;NOM;MASC;SG	PROPN;NOM
приборы	instrument	прибор	instrument	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
приборы	instrument	прибор	instrument	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
квартиру	platt	квартира	platt	N;INAN;ACC;FEM;SG	ADV
квартиру	platta	квартира	platta	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
квартиру	lägenhet	квартира	lägenhet	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
квартиру	flat	квартира	flat	N;INAN;ACC;FEM;SG	N;NOM;INDF;NEUT;SG
арест	arrestera	арест	arrestera	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
рисунки	pictures	рисунок	pictures	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
заказ	beställa	заказ	beställa	N;INAN;NOM;MASC;SG	V;NFIN;ACT
павлов	pavlov	павл	pavlov	N;ANIM;NOM;MASC;SG	PROPN;NOM
социальный	sociala	социальный	social	ADJ;NOM;MASC;SG	ADJ;NOM;PL
обсуждается	diskuterar	обсуждать	diskutera	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;PRS;FIN;ACT
выразил	uttryckta	выразить	uttryckt	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
выразил	uttrycks	выразить	uttrycka	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PRS;FIN;PASS
выразил	uttryckt	выразить	uttrycka	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
хасан	hasan	хасан	hasa	N;ANIM;NOM;MASC;SG	PROPN;NOM
хасан	hassan	хасан	hassa	N;ANIM;NOM;MASC;SG	PROPN;NOM
намерения	uppsåt	намерение	uppsåt	N;INAN;NOM;NEUT;PL	N;NOM;INDF;NEUT;SG
намерения	avsikt	намерение	avsikt	N;INAN;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
гонсалес	gonzales	гонсалес	gonzal	N;ANIM;NOM;MASC;SG	PROPN;NOM
гонсалес	gonzales	гонсалес	gonzal	N;ANIM;NOM;MASC;SG	PROPN;NOM
гонсалес	gonzález	гонсалес	gonzález	N;ANIM;NOM;MASC;SG	PROPN;NOM
юлий	julius	юлий	julius	N;ANIM;NOM;MASC;SG	PROPN;NOM
арбитр	skiljedomare	арбитр	skiljedomare	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
арбитр	domare	арбитр	dom	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
вреда	skada	вред	skada	N;INAN;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
журналистики	journalistik	журналистика	journalistik	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
преобразование	konverterar	преобразование	konvertera	N;INAN;NOM;NEUT;SG	V;IND;PRS;FIN;ACT
преобразование	konvertera	преобразование	konvertera	N;INAN;NOM;NEUT;SG	V;IMP;NFIN;ACT
преобразование	förvandla	преобразование	förvandla	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
преобразование	omvandla	преобразование	omvandla	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
ученый	forskare	ученый	forskare	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ученый	lärd	ученый	lärd	N;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
содружества	samväldet	содружество	samväld	N;INAN;NOM;NEUT;PL	N;NOM;DEF;NEUT;SG
гитары	gitarr	гитара	gita	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
крейсеров	kryssare	крейсер	kryss	N;INAN;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
неба	himmel	небо	himmel	N;INAN;GEN;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
неба	sky	небо	sky	N;INAN;GEN;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
неба	himlen	небо	himle	N;INAN;GEN;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
политехнический	polytechnic	политехнический	polytechnic	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
закрыто	stängda	закрыть	stänga	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
закрыто	stängd	закрыть	stänga	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
закрыто	sluten	закрыть	slut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
закрыто	stängt	закрыть	stänga	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
механик	mekaniker	механик	mekanik	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
склад	lager	склад	lag	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
джейсон	jason	джейсон	jason	N;ANIM;NOM;MASC;SG	PROPN;NOM
чрезвычайный	extraordinär	чрезвычайный	extraordinär	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
чрезвычайный	extraordinära	чрезвычайный	extraordinär	ADJ;NOM;MASC;SG	ADJ;NOM;PL
чрезвычайный	extraordinärt	чрезвычайный	extraordinär	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
критическое	kritiska	критический	kritisk	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
используемые	använda	использовать	använda	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	V;IMP;FIN;ACT
используемые	använt	использовать	använda	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	V;V.CVB;ACT
используемые	begagnad	использовать	begagnad	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
используемые	begagnade	использовать	begagnad	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
прощения	förlåtelse	прощение	förlåtelse	N;INAN;NOM;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
райан	ryan	райан	ryan	N;ANIM;NOM;MASC;SG	PROPN;NOM
ближайшее	närmaste	ближайший	nära	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;RL
ближайшее	närmast	ближайший	nära	ADJ;NOM;NEUT;SG	ADV;RL
ближайшее	närmsta	ближайший	nära	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;RL
избрана	valda	избрать	välja	V;PFV;FEM;SG;PST;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
избрана	vald	избрать	välja	V;PFV;FEM;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
сады	gardens	сад	gard	N;INAN;NOM;MASC;PL	N;GEN;DEF;MASC+FEM;SG
слоя	lager	слой	lag	N;INAN;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;PL
слоя	skikt	слой	skikt	N;INAN;GEN;MASC;SG	N;NOM;INDF;NEUT;SG
движок	motorns	движок	motor	N;INAN;NOM;MASC;SG	N;GEN;DEF;MASC+FEM;SG
девочки	girls	девочка	girls	N;ANIM;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
освободить	frigörande	освободить	frigörande	V;PFV;NFIN;ACT	N;NOM;INDF;NEUT;SG
освободить	frisläppande	освободить	frisläppande	V;PFV;NFIN;ACT	ADJ;NOM;PRS;V.PTCP
освободить	utgåva	освободить	utgåva	V;PFV;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
освободить	release	освободить	release	V;PFV;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
медицинская	medicinska	медицинский	medicinsk	ADJ;NOM;FEM;SG	ADJ;NOM;PL
логично	logiska	логичный	logisk	ADJ;NEUT;SG	ADJ;NOM;PL
выпускников	alumner	выпускник	alumner	N;ANIM;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
выпускников	akademiker	выпускник	akademik	N;ANIM;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
жаль	synd	жаль	synd	ADV	N;NOM;INDF;MASC+FEM;SG
жаль	medlidande	жаль	medlidande	ADV	ADJ;NOM;PRS;V.PTCP
месяцы	månaders	месяц	månad	N;INAN;NOM;MASC;PL	N;GEN;INDF;MASC+FEM;PL
стремится	strävar	стремиться	sträva	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IND;PRS;FIN;ACT
индонезия	indonesien	индонезия	indonesien	N;INAN;NOM;FEM;SG	PROPN;NOM
дизайнер	designer	дизайнер	design	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
дизайнер	formgivare	дизайнер	formgivare	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
луиджи	luigi	луидж	luigi	N;INAN;NOM;MASC;SG	PROPN;NOM
исчезли	försvunnen	исчезнуть	försvinn	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
могилы	graves	могила	grav	N;INAN;NOM;FEM;PL	PROPN;NOM
томми	tommy	то	tommy	N;ANIM;NOM;MASC;SG	PROPN;NOM
королевская	kungliga	королевский	kunglig	ADJ;NOM;FEM;SG	ADJ;NOM;PL
королевская	royal	королевский	royal	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
белков	proteiner	белок	protein	N;INAN;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
способствовало	bidragit	способствовать	bidra	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
способствовало	medverkade	способствовать	medverkad	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	ADJ;NOM;PL;PST;V.PTCP
соглашается	samtycker	соглашаться	samtyck	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IND;PRS;FIN;ACT
соглашается	instämmer	соглашаться	instämma	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IND;PRS;FIN;ACT
чан	chang	чан	chang	PART	N;NOM;INDF;MASC+FEM;SG
чан	chan	чан	chan	PART	N;NOM;INDF;MASC+FEM;SG
чан	jang	чан	jang	PART	N;NOM;INDF;MASC+FEM;SG
улицах	gator	улица	gata	N;INAN;ESS;FEM;PL	N;NOM;INDF;MASC+FEM;PL
улицах	streets	улица	stre	N;INAN;ESS;FEM;PL	N;GEN;DEF;NEUT;SG
улицах	gatorna	улица	gata	N;INAN;ESS;FEM;PL	N;NOM;DEF;MASC+FEM;PL
казнь	verkställande	казнь	verkställande	N;INAN;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
казнь	utförande	казнь	utförande	N;INAN;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
морис	maurice	морис	maurice	N;ANIM;NOM;MASC;SG	PROPN;NOM
технику	teknik	техника	teknik	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
технику	tekniken	техника	teknik	N;INAN;ACC;FEM;SG	N;NOM;DEF;MASC+FEM;SG
частного	privat	частный	privat	ADJ;GEN;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
частного	basse	частный	basse	ADJ;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
частного	privata	частный	privat	ADJ;GEN;MASC;SG	ADJ;NOM;PL
оригинальные	ursprungligt	оригинальный	ursprunglig	ADJ;NOM;PL	ADJ;NOM;INDF;NEUT;SG
оригинальные	originellt	оригинальный	originell	ADJ;NOM;PL	ADJ;NOM;INDF;NEUT;SG
оригинальные	original	оригинальный	original	ADJ;NOM;PL	N;NOM;INDF;MASC+FEM;SG
оригинальные	ursprunglig	оригинальный	ursprunglig	ADJ;NOM;PL	ADJ;NOM;INDF;MASC+FEM;SG
цветы	flowers	цветы	flopa	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
рыцарь	riddare	рыцарь	riddare	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
рыцарь	knight	рыцарь	knight	N;ANIM;NOM;MASC;SG	PROPN;NOM
рыцарь	springare	рыцарь	spring	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
прокат	hyra	прокат	hyra	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
прокат	hyr	прокат	hyr	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
прокат	hyra	прокат	hyra	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
литве	litauen	литв	litauen	N;INAN;NOM;FEM;SG	PROPN;NOM
родригес	rodriguez	родригес	rodriguez	N;ANIM;NOM;MASC;SG	PROPN;NOM
родригес	rodríguez	родригес	rodríguez	N;ANIM;NOM;MASC;SG	PROPN;NOM
родригес	rodrigues	родригес	rodrigues	N;ANIM;NOM;MASC;SG	PROPN;NOM
