در	dveře	در	dveře	ADP	N;NOM;FEM;PL;POS
تا	májový	تا	májový	ADP	ADJ;INAN;NOM;MASC;SG;POS
تا	máj	تا	máj	ADP	N;INAN;NOM;MASC;SG;POS
تا	květen	تا	květen	ADP	N;INAN;NOM;MASC;SG;POS
تا	května	تا	květen	ADP	N;INAN;GEN;MASC;SG;POS
تا	dokud	تا	dokud	ADP	CONJ
تا	dokud	تا	dokud	ADP	CONJ
ساعت	hodin	ساعت	hodina	N;SG	N;GEN;FEM;PL;POS
ساعت	hodiny	ساعت	hodina	N;SG	N;NOM;FEM;PL;POS
ساعت	hodinový	ساعت	hodinový	N;SG	ADJ;INAN;NOM;MASC;SG;POS
ساعت	hodinové	ساعت	hodinový	N;SG	ADJ;NOM;NEUT;SG;POS
ساعت	hodiny	ساعت	hodina	N;SG	N;NOM;FEM;PL;POS
پایه	základy	پایه	základ	N;SG	N;INAN;NOM;MASC;PL;POS
پایه	základy	پایه	základ	N;SG	N;INAN;NOM;MASC;PL;POS
پایه	základní	پایه	základní	N;SG	ADJ;NOM;MASC;SG;POS
تاریخ	dějiny	تاریخ	dějiny	N;SG	N;NOM;FEM;PL;POS
فیلم	filmová	فیلم	filmový	N;SG	ADJ;NOM;FEM;SG;POS
فیلم	filmová	فیلم	filmový	N;SG	ADJ;NOM;FEM;SG;POS
فیلم	filmy	فیلم	film	N;SG	N;INAN;NOM;MASC;PL;POS
فیلم	kina	فیلم	kino	N;SG	N;NOM;NEUT;PL;POS
جمعیت	davy	جمعیت	dav	N;SG	N;INAN;NOM;MASC;PL;POS
دو	dvojka	دو	dvojka	NUM	N;NOM;FEM;SG;POS
یکی	nekdo	یک	nekdo	NUM	PROPN;ANIM;NOM;MASC;SG;POS
یکی	někoho	یک	někdo	NUM	PRO;ANIM;ACC;MASC
یکی	někdo	یک	někdo	NUM	PRO;ANIM;NOM;MASC
وی	wei	وی	wei	PRO;SG;3	PROPN;ANIM;NOM;MASC;SG;POS
وی	wii	وی	wii	PRO;SG;3	PROPN;MASC;POS
روستاهای	vesnice	روستا	vesnice	N;PL	N;NOM;FEM;SG;POS
دیگر	další	دیگر	další	ADV	ADJ;NOM;MASC;SG;POS
دیگر	more	دیگر	more	ADV	N;MASC;SG;POS
دیگر	ostatní	دیگر	ostatní	ADV	ADJ;ANIM;NOM;MASC;PL;POS
دیگر	jiná	دیگر	jiný	ADV	ADJ;NOM;FEM;SG;POS
دیگر	jiné	دیگر	jiný	ADV	ADJ;NOM;NEUT;SG;POS
دیگر	jiný	دیگر	jiný	ADV	ADJ;ANIM;NOM;MASC;SG;POS
دیگر	další	دیگر	další	ADV	ADJ;NOM;MASC;SG;POS
دیگر	ostatní	دیگر	ostatní	ADV	ADJ;ANIM;NOM;MASC;PL;POS
دیگر	jiní	دیگر	jiný	ADV	ADJ;ANIM;NOM;MASC;PL;POS
دیگر	jiné	دیگر	jiný	ADV	ADJ;NOM;NEUT;SG;POS
می	májový	می	májový		ADJ;INAN;NOM;MASC;SG;POS
می	máj	می	máj		N;INAN;NOM;MASC;SG;POS
می	květen	می	květen		N;INAN;NOM;MASC;SG;POS
می	května	می	květen		N;INAN;GEN;MASC;SG;POS
می	mei	می	mei		PROPN;NOM;MASC;SG;POS
پیوند	propojené	پیوند	propojený	N;SG	ADJ;NOM;MASC;PL;POS
پیوند	bond	پیوند	bond	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
پیش	než	پیش	než	ADP	CONJ
پیش	před	پیش	před	ADP	N;FEM;SG;POS
پیش	předtím	پیش	předtím	ADP	ADV
بیرون	out	بیرون	out	ADV;ESS	N;INAN;NOM;MASC;SG;POS
افراد	people	فرد	people	N;PL	N;MASC;SG;POS
دهه	desetiletí	دهه	desetiletí	N;SG	N;NOM;NEUT;PL;POS
دهه	dekády	دهه	dekáda	N;SG	N;NOM;FEM;PL;POS
دهه	desetiletí	دهه	desetiletí	N;SG	N;NOM;NEUT;PL;POS
دهه	dekády	دهه	dekáda	N;SG	N;NOM;FEM;PL;POS
متر	metry	متر	metr	N;SG	N;INAN;NOM;MASC;PL;POS
متر	metrů	متر	metr	N;SG	N;INAN;GEN;MASC;PL;POS
متر	měřiče	متر	měřič	N;SG	N;INAN;NOM;MASC;PL;POS
متر	metry	متر	metr	N;SG	N;INAN;NOM;MASC;PL;POS
متر	metrů	متر	metr	N;SG	N;INAN;GEN;MASC;PL;POS
کاربر	uživatele	کاربر	uživatel	N;SG	N;ANIM;ACC;MASC;PL;POS
باشگاه	club	باشگاه	club	N;SG	PROPN;INAN;NOM;MASC;SG;POS
باشگاه	klubová	باشگاه	klubový	N;SG	ADJ;NOM;FEM;SG;POS
باشگاه	gym	باشگاه	gym	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
باشگاه	tělocvičně	باشگاه	tělocvična	N;SG	ADV;POS
باشگاه	posilovny	باشگاه	posilovna	N;SG	N;NOM;FEM;PL;POS
شهرهای	obcí	شهر	obec	N;PL	N;INS;FEM;SG;POS
دانشگاه	university	دانشگاه	univerzita	N;SG	N;NOM;FEM;PL;POS
دانشگاه	univerzity	دانشگاه	univerzita	N;SG	N;NOM;FEM;PL;POS
دانشگاه	vysoká	دانشگاه	vysoký	N;SG	ADJ;NOM;FEM;SG;POS
مورد	case	مورد	casa	N;SG	PROPN;NOM;MASC;SG;POS
زبان	jazyky	زبان	jazyk	N;SG	N;INAN;NOM;MASC;PL;POS
زبان	jazyků	زبان	jazyk	N;SG	N;INAN;GEN;MASC;PL;POS
زادگان	potomek	زاده	potomek	N;PL	N;ANIM;NOM;MASC;SG;POS
مسکونی	obytné	None	obytný	N;SG	ADJ;NOM;MASC;PL;POS
کار	job	کار	job	N;SG	PROPN;INAN;NOM;MASC;SG;POS
کار	pracovní	کار	pracovní	N;SG	ADJ;NOM;MASC;SG;POS
کار	pracovat	کار	pracovat	N;SG	V;IPFV;POS;NFIN
کار	pracující	کار	pracující	N;SG	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
کار	pracovní	کار	pracovní	N;SG	ADJ;NOM;MASC;SG;POS
بازیگران	natáčení	بازیگر	natáčení	N;PL	N;NOM;NEUT;SG;POS
روی	roy	رو	roy	ADP	PROPN;ANIM;NOM;MASC;SG;POS
روی	zinku	رو	zinka	ADP	N;INAN;GEN;MASC;SG;POS
فرودگاه	letištní	فرودگاه	letištní	N;SG	ADJ;NOM;MASC;SG;POS
مرکز	ústřední	مرکز	ústřední	N;SG	ADJ;NOM;MASC;SG;POS
مرکز	centrální	مرکز	centrální	N;SG	ADJ;NOM;MASC;SG;POS
مرکز	center	مرکز	centrum	N;SG	N;NOM;NEUT;PL;POS
مرکز	centre	مرکز	centre	N;SG	PROPN;NOM;MASC;SG;POS
زمان	dob	زمان	doba	N;SG	N;GEN;FEM;PL;POS
شرکت	firemní	شرکت	firemní	N;SG	ADJ;NOM;MASC;SG;POS
شرکت	korporátní	شرکت	korporátní	N;SG	ADJ;NOM;MASC;SG;POS
شرکت	společnosti	شرکت	společnost	N;SG	N;NOM;FEM;PL;POS
مقاله	předměty	مقاله	předmět	N;SG	N;INAN;NOM;MASC;PL;POS
مقاله	článků	مقاله	článek	N;SG	N;INAN;GEN;MASC;PL;POS
مقاله	výrobky	مقاله	výrobek	N;SG	N;INAN;NOM;MASC;PL;POS
مقاله	články	مقاله	článek	N;SG	N;INAN;NOM;MASC;PL;POS
مرد	man	مرد	man	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
انگلیسی	česky	انگلیسی	česky	N;SG	ADV;POS
انگلیسی	anglické	انگلیسی	anglický	N;SG	ADJ;NOM;NEUT;SG;POS
انگلیسی	anglicky	انگلیسی	anglicky	N;SG	ADV;POS
نظر	komentovat	نظر	komentovat	N;SG	V;POS;NFIN
نظر	komentáře	نظر	komentář	N;SG	N;INAN;NOM;MASC;PL;POS
جهانی	international	جهانی	international	N;SG	PROPN;FEM;POS
جهانی	mezinárodní	جهانی	mezinárodní	N;SG	ADJ;NOM;MASC;SG;POS
جهانی	univerzální	جهانی	univerzální	N;SG	ADJ;NOM;MASC;SG;POS
جهانی	celosvětová	جهانی	celosvětový	N;SG	ADJ;NOM;FEM;SG;POS
جهانی	global	جهانی	global	N;SG	PROPN;INAN;NOM;MASC;SG;POS
جهانی	globální	جهانی	globální	N;SG	ADJ;NOM;MASC;SG;POS
جهانی	world	جهانی	world	N;SG	ADJ;POS
جهانی	světový	جهانی	světový	N;SG	ADJ;INAN;NOM;MASC;SG;POS
جهانی	světová	جهانی	světový	N;SG	ADJ;NOM;FEM;SG;POS
جهانی	světové	جهانی	světový	N;SG	ADJ;NOM;FEM;SG;POS
همچنین	rovněž	همچنین	rovněž	CONJ	ADV
همچنین	také	همچنین	také	CONJ	ADV
همچنین	též	همچنین	též	CONJ	ADV
همچنین	taky	همچنین	také	CONJ	ADV
همچنین	taky	همچنین	také	CONJ	ADV
زندگی	žijící	زندگی	žijící	N;SG	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
زندگی	life	زندگی	life	N;SG	PROPN;INAN;NOM;MASC;SG;POS
زندگی	životní	زندگی	životní	N;SG	ADJ;NOM;MASC;SG;POS
زن	ženská	زن	ženský	N;SG	ADJ;NOM;FEM;SG;POS
زن	ženská	زن	ženský	N;SG	ADJ;NOM;FEM;SG;POS
زیر	níže	زیر	nízko	ADP	ADV;CMPR;POS
زیر	podpalubí	زیر	podpalubí	ADP	N;NOM;NEUT;SG;POS
جوایز	ocenění	جایزه	ocenění	N;PL	N;NOM;NEUT;SG;POS
تهران	teheránu	تهران	teherán	N;SG	PROPN;INAN;GEN;MASC;SG;POS
بازی	hry	بازی	hra	N;SG	N;NOM;FEM;PL;POS
بازی	hrách	بازی	hra	N;SG	N;DAT;FEM;PL;POS
بازی	hrajte	بازی	hrát	N;SG	V;PFV;IMP;PL;2;POS;FIN
بازی	přehrát	بازی	přehrát	N;SG	V;POS;NFIN
بازی	hrát	بازی	hrát	N;SG	V;POS;NFIN
فرانسه	francouzské	فرانسه	francouzský	N;SG	ADJ;NOM;NEUT;SG;POS
فرانسه	francouzsky	فرانسه	francouzsky	N;SG	ADV;POS
فرانسه	francouzská	فرانسه	francouzský	N;SG	ADJ;NOM;FEM;SG;POS
فرانسه	francii	فرانسه	francie	N;SG	PROPN;ACC;FEM;SG;POS
فرانسه	francie	فرانسه	francie	N;SG	PROPN;NOM;FEM;SG;POS
جنگ	války	جنگ	válka	N;SG	N;NOM;FEM;PL;POS
باید	musí	بایست#باید	muset	V;NFIN	V;IND;SG;3;POS;PRS;FIN;ACT
دست	ruce	دست	ruka	N;SG	N;NOM;FEM;PL;POS
دست	paže	دست	paže	N;SG	N;NOM;FEM;PL;POS
شورای	rady	شورا	rada	N;SG	N;NOM;FEM;PL;POS
محل	lokace	محل	lokace	N;SG	N;NOM;FEM;PL;POS
های	hai	ها	hai	N;PL	PROPN;ANIM;NOM;MASC;SG;POS
کتاب	rezervovat	کتاب	rezervovat	N;SG	V;POS;NFIN
کتاب	knihy	کتاب	kniha	N;SG	N;NOM;FEM;PL;POS
کتاب	knih	کتاب	kniha	N;SG	N;GEN;FEM;PL;POS
کتاب	knížky	کتاب	knížka	N;SG	N;NOM;FEM;PL;POS
آلمان	německý	آلمان	německý	N;SG	ADJ;ANIM;NOM;MASC;SG;POS
آلمان	německy	آلمان	německy	N;SG	ADV;POS
آلمان	německá	آلمان	německý	N;SG	ADJ;NOM;FEM;SG;POS
آلمان	němec	آلمان	němec	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
آلمان	německé	آلمان	německý	N;SG	ADJ;NOM;MASC;PL;POS
آلمان	německo	آلمان	německý	N;SG	PROPN;NOM;NEUT;SG;POS
سطح	hladiny	سطح	hladina	N;SG	N;NOM;FEM;PL;POS
اصلی	main	اصلی	main	ADJ	PROPN;INAN;NOM;MASC;SG;POS
اصلی	originál	اصلی	originál	ADJ	N;INAN;NOM;MASC;SG;POS
ساخت	zpracovatelský	ساخت	zpracovatelský	N;SG	ADJ;INAN;NOM;MASC;SG;POS
ساخت	výrobní	ساخت	výrobní	N;SG	ADJ;NOM;MASC;SG;POS
المپیک	olympijské	المپیک	olympijský	N;SG	ADJ;NOM;MASC;PL;POS
المپیک	olympijský	المپیک	olympijský	N;SG	ADJ;ANIM;NOM;MASC;SG;POS
اول	nejdřív	اول	brzy	ADJ	ADV;RL;POS
اول	nejprve	اول	nejprve	ADJ	ADV
اول	nejdříve	اول	brzy	ADJ	ADV;RL;POS
کند	dělá	کرد#کن	dělat	V;SBJV;SG;3;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
مرکزی	středem	مرکزی	střed	ADJ	N;INAN;INS;MASC;SG;POS
مرکزی	centrála	مرکزی	centrála	ADJ	N;NOM;FEM;SG;POS
ایالت	státní	ایالت	státní	N;SG	ADJ;NOM;MASC;SG;POS
فارسی	perské	فارسی	perský	N;SG	ADJ;NOM;NEUT;SG;POS
بین	fazole	بین	fazole	ADP	N;NOM;FEM;PL;POS
انگلستان	england	انگلستان	england	N;SG	PROPN;INAN;NOM;MASC;SG;POS
انگلستان	anglie	انگلستان	anglie	N;SG	PROPN;NOM;FEM;SG;POS
موسیقی	music	موسیقی	music	N;SG	PROPN;FEM;POS
موسیقی	hudební	موسیقی	hudební	N;SG	ADJ;NOM;MASC;SG;POS
گروه	skupiny	گروه	skupina	N;SG	N;NOM;FEM;PL;POS
جایزه	prémie	جایزه	prémie	N;SG	N;NOM;FEM;PL;POS
جایزه	bonusy	جایزه	bonus	N;SG	N;INAN;NOM;MASC;PL;POS
بیشتر	nejvíc	بیش	hodně	ADJ;CMPR	ADV;RL;POS
بیشتر	většina	بیش	většina	ADJ;CMPR	N;NOM;FEM;SG;POS
بیشتر	nejvíce	بیش	hodně	ADJ;CMPR	ADV;RL;POS
بیشتر	další	بیش	další	ADJ;CMPR	ADJ;NOM;MASC;SG;POS
بیشتر	více	بیش	hodně	ADJ;CMPR	ADV;CMPR;POS
بیشتر	víc	بیش	hodně	ADJ;CMPR	ADV;CMPR;POS
بیشتر	more	بیش	more	ADJ;CMPR	N;MASC;SG;POS
جنوبی	jižní	جنوبی	jižní	N;SG	ADJ;NOM;FEM;SG;POS
جنوبی	jižní	جنوبی	jižní	N;SG	ADJ;NOM;FEM;SG;POS
روز	denní	روز	denní	N;SG	ADJ;NOM;MASC;SG;POS
جمهوری	republiky	جمهوری	republika	N;SG	N;NOM;FEM;PL;POS
جمهوری	republic	جمهوری	republic	N;SG	PROPN;INAN;MASC;SG;POS
داد	dodd	داد#ده	dodde	V;SG;3;PST	PROPN;ANIM;NOM;MASC;SG;POS
آمریکایی	američan	آمریکایی	američan	ADJ	N;ANIM;NOM;MASC;SG;POS
آمریکایی	american	آمریکایی	american	ADJ	PROPN;MASC;SG;POS
منطقه	oblasti	منطقه	oblast	N;SG	N;NOM;FEM;PL;POS
بسیار	mnohé	بسیار	mnohý	ADV	ADJ;NOM;MASC;PL;POS
بسیار	mnozí	بسیار	mnohý	ADV	ADJ;ANIM;NOM;MASC;PL;POS
بسیار	mnoha	بسیار	mnoho	ADV	DET;INS
بسیار	mnoho	بسیار	mnoho	ADV	DET;NOM
بسیار	moc	بسیار	moc	ADV	N;NOM;FEM;SG;POS
بسیار	mnoho	بسیار	mnoho	ADV	DET;NOM
اروپا	europe	اروپا	europe	N;SG	PROPN;MASC;SG;POS
اروپا	evropě	اروپا	evropa	N;SG	PROPN;DAT;FEM;SG;POS
اروپا	evropa	اروپا	evropa	N;SG	PROPN;NOM;FEM;SG;POS
اروپا	evropy	اروپا	evropa	N;SG	PROPN;NOM;FEM;SG;POS
اروپا	evropu	اروپا	evropa	N;SG	PROPN;ACC;FEM;SG;POS
روستایی	venkovské	روستایی	venkovský	N;SG	ADJ;NOM;NEUT;PL;POS
آمار	statistiky	آمار	statistika	N;SG	N;NOM;FEM;PL;POS
فعالیت	aktivity	فعالیت	aktivita	N;SG	N;NOM;FEM;PL;POS
زاده	narodil	زاده	narodit	N;SG	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
زاده	narozena	زاده	narozený	N;SG	ADJ;POS;V.PTCP;PASS
زاده	narozen	زاده	narozený	N;SG	ADJ;MASC;SG;POS;V.PTCP;PASS
محمد	mohammad	محمد	mohammad	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
بریتانیا	británie	None	británie	N;SG	PROPN;NOM;FEM;SG;POS
بریتانیا	britská	None	britský	N;SG	ADJ;NOM;FEM;SG;POS
بریتانیا	britové	None	britový	N;SG	PROPN;ANIM;NOM;MASC;PL;POS
بریتانیا	britský	None	britský	N;SG	ADJ;ANIM;NOM;MASC;SG;POS
بریتانیا	british	None	british	N;SG	ADJ;POS
بریتانیا	britské	None	britský	N;SG	ADJ;NOM;MASC;SG;POS
بریتانیا	británie	None	británie	N;SG	PROPN;NOM;FEM;SG;POS
مانند	jako	مانند	jako	ADV	CONJ
مانند	like	مانند	like	ADV	N;MASC;SG;POS
چند	málokdo	چند	málokdo	ADJ	PRO;ANIM;NOM;MASC
چند	multi	چند	mulet	ADJ	N;INAN;NOM;MASC;SG;POS
شمالی	severní	شمالی	severní	N;SG	ADJ;NOM;MASC;SG;POS
شمالی	severní	شمالی	severní	N;SG	ADJ;NOM;MASC;SG;POS
آب	vody	آب	voda	N;SG	N;NOM;FEM;PL;POS
ایرانی	perské	ایرانی	perský	N;SG	ADJ;NOM;NEUT;SG;POS
ایرانی	íránský	ایرانی	íránský	N;SG	ADJ;ANIM;NOM;MASC;SG;POS
ایرانی	íránské	ایرانی	íránský	N;SG	ADJ;NOM;MASC;PL;POS
اطلاعات	info	اطلاع	info	N;PL	N;NOM;FEM;SG;POS
اطلاعات	informování	اطلاع	informování	N;PL	N;NOM;NEUT;SG;POS
ایجاد	vytvořit	ایجاد	vytvořit	N;SG	V;PFV;POS;NFIN
امنیت	bezpečnostní	امنیت	bezpečnostní	N;SG	ADJ;NOM;MASC;SG;POS
مردم	lidí	مردم	člověk	N;SG	N;ANIM;GEN;MASC;PL;POS
مردم	lidi	مردم	člověk	N;SG	N;ANIM;NOM;MASC;PL;POS
مردم	lidé	مردم	člověk	N;SG	N;ANIM;NOM;MASC;PL;POS
مردم	lidem	مردم	člověk	N;SG	N;ANIM;DAT;MASC;PL;POS
دور	daleko	دور	daleko	ADP	ADV;POS
دور	pryč	دور	pryč	ADP	ADV
اولین	evelyn	اولین	evelyn	ADJ;RL	N;NOM;FEM;SG;POS
بار	naložit	بار	naložit	N;SG	V;PFV;POS;NFIN
بار	načíst	بار	načíst	N;SG	V;POS;NFIN
بار	barr	بار	barr	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
دریا	mořská	دریا	mořský	N;SG	ADJ;NOM;FEM;SG;POS
شما	jsi	شما	být	PRO;PL;2	V;IND;SG;2;POS;PRS;FIN;ACT
شما	ty	شما	ten	PRO;PL;2	DET;NOM;MASC;PL
شما	vaše	شما	tvůj	PRO;PL;2	DET;NOM;SG;2
شما	váš	شما	tvůj	PRO;PL;2	DET;NOM;MASC;SG;2
شما	tvůj	شما	tvůj	PRO;PL;2	DET;NOM;MASC;SG;1
شما	tvoje	شما	tvoj	PRO;PL;2	ADJ;NOM;FEM;SG;POS
شما	vaši	شما	tvůj	PRO;PL;2	DET;NOM;FEM;SG;2
برابر	rovni	برابر	rovný	ADP	ADJ;ANIM;MASC;PL;POS
برابر	rovný	برابر	rovný	ADP	ADJ;INAN;NOM;MASC;SG;POS
برابر	rovné	برابر	rovný	ADP	ADJ;NOM;NEUT;SG;POS
برابر	rovná	برابر	rovnat	ADP	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
تولید	generovat	تولید	generovat	N;SG	V;IPFV;POS;NFIN
تپه	kopce	تپه	kopec	N;SG	N;INAN;NOM;MASC;PL;POS
تپه	hill	تپه	hill	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
تنها	samotná	تنها	samotný	ADV	ADJ;NOM;FEM;SG;POS
تنها	sama	تنها	sám	ADV	DET;NOM;FEM;SG
تنها	sám	تنها	sám	ADV	DET;NOM;MASC;SG
تنها	jen	تنها	jen	ADV	PART
تنها	jenom	تنها	jenom	ADV	PART
تنها	osamělý	تنها	osamělý	ADV	ADJ;ANIM;NOM;MASC;SG;POS
تنها	osamělá	تنها	osamělý	ADV	ADJ;NOM;FEM;SG;POS
تنها	osamělé	تنها	osamělý	ADV	ADJ;NOM;NEUT;SG;POS
علی	ali	علی	ali	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
شرقی	východní	شرقی	východní	N;SG	ADJ;NOM;FEM;SG;POS
شرقی	orientální	شرقی	orientální	N;SG	ADJ;NOM;MASC;SG;POS
شرقی	východní	شرقی	východní	N;SG	ADJ;NOM;FEM;SG;POS
یونسکو	stránky	یونسکو	stránka	N;SG	N;NOM;FEM;PL;POS
یونسکو	weby	یونسکو	weby	N;SG	N;INAN;NOM;MASC;PL;POS
یونسکو	lokality	یونسکو	lokalita	N;SG	N;NOM;FEM;PL;POS
برخی	nějaké	برخی	nějaký	PRO	DET;NOM;NEUT;PL
برخی	některý	برخی	některý	PRO	DET;NOM;MASC;SG
برخی	někteří	برخی	některý	PRO	DET;ANIM;NOM;MASC;PL
برخی	některé	برخی	některý	PRO	DET;NOM;MASC;PL
برخی	některým	برخی	některý	PRO	DET;DAT;PL
جهان	world	جهان	world	N;SG	ADJ;POS
جهان	světový	جهان	světový	N;SG	ADJ;INAN;NOM;MASC;SG;POS
جهان	světová	جهان	světový	N;SG	ADJ;NOM;FEM;SG;POS
جهان	světové	جهان	světový	N;SG	ADJ;NOM;FEM;SG;POS
ها	huh	None	huh	N;SG	PROPN;MASC;SG;POS
ها	hm	None	hm	N;SG	PROPN;MASC;POS
ها	hmmm	None	hmmm	N;SG	INTJ
ارتفاع	výšky	ارتفاع	výška	N;SG	N;NOM;FEM;PL;POS
کشف	objevil	کشف	objevit	N;SG	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
کشف	objeven	کشف	objevený	N;SG	ADJ;MASC;SG;POS;V.PTCP;PASS
کشف	objevili	کشف	objevit	N;SG	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
کشف	objevila	کشف	objevit	N;SG	V;PFV;POS;PST;V.PTCP;ACT
کشف	objevit	کشف	objevit	N;SG	V;PFV;POS;NFIN
کشف	objevovat	کشف	objevovat	N;SG	V;IPFV;POS;NFIN
کشف	discovery	کشف	discovery	N;SG	PROPN;FEM;POS
حذف	odstranit	حذف	odstranit	N;SG	V;PFV;POS;NFIN
حذف	odebrat	حذف	odebrat	N;SG	V;POS;NFIN
حذف	odstranit	حذف	odstranit	N;SG	V;PFV;POS;NFIN
حذف	vymazat	حذف	vymazat	N;SG	V;PFV;POS;NFIN
تلویزیونی	tv	تلویزیونی	televizní	ADJ	N;FEM;POS
تلویزیونی	televize	تلویزیونی	televize	ADJ	N;NOM;FEM;SG;POS
غربی	west	غربی	west	ADJ	PROPN;INAN;NOM;MASC;SG;POS
غربی	západ	غربی	západ	ADJ	N;INAN;NOM;MASC;SG;POS
غربی	západ	غربی	západ	ADJ	N;INAN;NOM;MASC;SG;POS
غربی	western	غربی	western	ADJ	PROPN;INAN;NOM;MASC;SG;POS
گرفته	přijata	گرفت#گیر	přijatý	V;SG;3;V.PTCP	ADJ;POS;V.PTCP;PASS
گرفته	přijatá	گرفت#گیر	přijatý	V;SG;3;V.PTCP	ADJ;NOM;FEM;SG;POS
دوران	doby	دوره	doba	N;SG	N;NOM;FEM;PL;POS
شامل	včetně	شامل	včetně	ADJ	ADP;GEN
شامل	zahrnovat	شامل	zahrnovat	ADJ	V;IPFV;POS;NFIN
شامل	zahrnout	شامل	zahrnout	ADJ	V;POS;NFIN
شامل	zahrnuje	شامل	zahrnovat	ADJ	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
شدن	dostávám	شدن	dostávat	N;SG	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
بهترین	nejlépe	به	dobře	ADJ;RL	ADV;RL;POS
بهترین	nej	به	nej	ADJ;RL	N;NOM;MASC;SG;POS
بهترین	best	به	good	ADJ;RL	PROPN;NOM;MASC;SG;POS
دولت	státní	دولت	státní	N;SG	ADJ;NOM;MASC;SG;POS
دولت	vlády	دولت	vláda	N;SG	N;NOM;FEM;PL;POS
همراه	mobil	همراه	mobil	ADP	N;INAN;NOM;MASC;SG;POS
همراه	mobilní	همراه	mobilní	ADP	ADJ;NOM;MASC;SG;POS
همراه	doprovázen	همراه	doprovázený	ADP	ADJ;MASC;SG;POS;V.PTCP;PASS
همراه	průvodní	همراه	průvodní	ADP	ADJ;NOM;MASC;SG;POS
همراه	doprovázející	همراه	doprovázející	ADP	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
چپ	levá	چپ	levý	N;SG	ADJ;NOM;FEM;SG;POS
چپ	vlevo	چپ	vlevo	N;SG	ADV
چپ	levý	چپ	levý	N;SG	ADJ;INAN;NOM;MASC;SG;POS
چپ	doleva	چپ	doleva	N;SG	ADV
ایتالیا	italia	ایتالیا	italia	N;SG	PROPN;NOM;FEM;SG;POS
ایتالیا	itálie	ایتالیا	itálie	N;SG	PROPN;NOM;FEM;SG;POS
ایتالیا	italské	ایتالیا	italský	N;SG	ADJ;NOM;NEUT;SG;POS
ایتالیا	itálie	ایتالیا	itálie	N;SG	PROPN;NOM;FEM;SG;POS
ایتالیا	italská	ایتالیا	italský	N;SG	ADJ;NOM;FEM;SG;POS
ایتالیا	italský	ایتالیا	italský	N;SG	ADJ;ANIM;NOM;MASC;SG;POS
ایتالیا	italsky	ایتالیا	italsky	N;SG	ADV;POS
