right	prawo	righta	prawo		N;NOM;NEUT;SG
del	częściowo	del	częściowo	N;NOM;MASC;SG	ADV
del	del	del	del	N;NOM;MASC;SG	
kjer	gdzie	kjer	gdzie	CONJ	ADV
jih	je	on	on	PRO;ACC;MASC;PL;3	PRO;ACC;NEUT;PL;3
jih	ich	on	on	PRO;ACC;MASC;PL;3	PRO;GEN;MASC;PL;3
jih	im	on	on	PRO;ACC;MASC;PL;3	PRO;DAT;MASC;PL;3
mesto	town	mesto	town	N;NOM;NEUT;SG	
mesto	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
mesto	city	mesto	city	N;NOM;NEUT;SG	
mesto	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
september	wrzesień	september	wrzesień	N;NOM;MASC;SG	
september	września	september	wrzesień	N;NOM;MASC;SG	
opombe	nuty	opomba	nuta	N;NOM;FEM;PL	
opombe	notatek	opomba	notatka	N;NOM;FEM;PL	N;GEN;FEM;PL
opombe	zauważa	opomba	zauważać	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
opombe	uwagi	opomba	uwaga	N;NOM;FEM;PL	N;ACC;FEM;SG
opombe	komentarzy	opomba	komentarz	N;NOM;FEM;PL	N;GEN;MASC;PL
opombe	uwagi	opomba	uwaga	N;NOM;FEM;PL	N;ACC;FEM;SG
pred	zanim	pred	zanim	ADP;INS	CONJ
pred	wcześniej	pred	wcześnie	ADP;INS	ADV;CMPR
vse	wszystko	ves	wszystko	DET;NOM;NEUT;SG	PRO;NOM;NEUT;SG
vse	wszystkie	ves	wszystek	DET;NOM;NEUT;SG	DET;NOM;MASC;PL
vse	wszystko	ves	wszystko	DET;NOM;NEUT;SG	PRO;NOM;NEUT;SG
vse	all	ves	all	DET;NOM;NEUT;SG	
vse	wszyscy	ves	wszyscy	DET;NOM;NEUT;SG	PRO;NOM;MASC;PL
center	centrum	center	centrum	N;NOM;MASC;SG	N;ACC;NEUT;SG
center	center	center	center	N;NOM;MASC;SG	
center	centrum	center	centrum	N;NOM;MASC;SG	N;ACC;NEUT;SG
center	centre	center	centry	N;NOM;MASC;SG	
viri	źródeł	vir	źródło	N;NOM;MASC;PL	N;GEN;NEUT;PL
viri	zasobów	vir	zasób	N;NOM;MASC;PL	N;GEN;MASC;PL
ljubljana	lublanie	ljubljana	lublanin	PROPN;NOM;FEM;SG	N;NOM;NEUT;SG
prvi	pierwszy	prvi	pierwszy	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
prvi	pierwsze	prvi	pierwszy	ADJ;NOM;MASC;PL	ADJ;NOM;NEUT;SG
prvi	najpierw	prvi	najpierw	ADJ;NOM;MASC;PL	ADV
prvi	pierwsza	prvi	pierwszy	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
proti	przeciw	proti	przeciw	ADP;DAT	
oktober	października	oktober	październik	N;NOM;MASC;SG	N;GEN;MASC;SG
let	lotu	leto	lot	N;GEN;NEUT;PL	N;GEN;MASC;SG
let	lot	leto	lot	N;GEN;NEUT;PL	N;NOM;MASC;SG
let	lata	leto	rok	N;GEN;NEUT;PL	N;NOM;MASC;PL
polk	pułku	polk	pułka	N;NOM;MASC;SG	N;GEN;MASC;SG
polk	polk	polk	polk	N;NOM;MASC;SG	
bili	były	biti	być	V;MASC;PL;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
slovenski	słoweńskiej	slovenski	słoweński	ADJ;NOM;DEF;MASC;SG	ADJ;GEN;FEM;SG
slovenije	slovenije	slovenija	slovenija	N;NOM;FEM;PL	
marec	marzec	marec	marzec	N;NOM;MASC;SG	
marec	marca	marec	marza	N;NOM;MASC;SG	
zda	stany	zdati	stany	PROPN;GEN;FEM;PL	N;NOM;MASC;PL
zda	ameryka	zdati	ameryka	PROPN;GEN;FEM;PL	
zda	usa	zdati	usać	PROPN;GEN;FEM;PL	PROPN;NOM;NEUT;PL
veliko	dużo	veliko	dużo	DET	ADV
veliko	much	veliko	much	DET	
veliko	dużo	veliko	dużo	DET	ADV
veliko	weliko	veliko	weliko	DET	
avgust	sierpnia	avgust	sierpień	N;NOM;MASC;SG	N;GEN;MASC;SG
avgust	augusta	avgust	augusta	N;NOM;MASC;SG	
avgust	sierpień	avgust	sierpienie	N;NOM;MASC;SG	
strani	stron	stran	strona	N;NOM;FEM;PL	
tega	tym	ta	to	DET;GEN;NEUT;SG	PRO;INS;NEUT;SG
delo	pracy	delo	praca	N;NOM;NEUT;SG	N;GEN;FEM;SG
delo	pracuj	delo	pracować	N;NOM;NEUT;SG	V;IPFV;IMP;SG;2;FIN;ACT
delo	prace	delo	praca	N;NOM;NEUT;SG	N;NOM;FEM;PL
delo	pracy	delo	praca	N;NOM;NEUT;SG	N;GEN;FEM;SG
delo	roboty	delo	robota	N;NOM;NEUT;SG	N;ACC;FEM;PL
ker	ponieważ	ker	ponieważ	CONJ	PART
nekaj	niektóre	nekaj	niektóry	PRO;ACC;NEUT;SG	DET;NOM;MASC;SG
nekaj	niektórzy	nekaj	niektóry	PRO;ACC;NEUT;SG	DET;NOM;MASC;PL
nekaj	trochę	nekaj	trochę	PRO;ACC;NEUT;SG	ADV
nekaj	coś	nekaj	coś	PRO;ACC;NEUT;SG	PRO;NOM;NEUT;SG
januar	styczeń	januar	styczenie	N;NOM;MASC;SG	
januar	stycznia	januar	styczeń	N;NOM;MASC;SG	N;GEN;MASC;SG
januar	styczniu	januar	styczeń	N;NOM;MASC;SG	N;GEN;MASC;SG
fff	fff	fff	fff	N;NOM;MASC;SG	
december	grudnia	december	grudzień	N;NOM;MASC;SG	
december	grudniu	december	grudzień	N;NOM;MASC;SG	N;GEN;MASC;SG
november	listopada	november	listopada	N;NOM;MASC;SG	N;GEN;MASC;SG
november	listopadzie	november	listopad	N;NOM;MASC;SG	N;ACC;MASC;SG
november	listopad	november	listopad	N;NOM;MASC;SG	
november	listopada	november	listopada	N;NOM;MASC;SG	N;GEN;MASC;SG
november	listopad	november	listopad	N;NOM;MASC;SG	
nato	nato	nato	nato	ADV	
letih	lat	leto	rok	N;ESS;NEUT;PL	N;GEN;MASC;PL
letih	lata	leto	rok	N;ESS;NEUT;PL	N;NOM;MASC;PL
drugi	innych	drug	inny	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;PL
drugi	pozostał	drug	pozostać	ADJ;NOM;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
drugi	pozostał	drug	pozostać	ADJ;NOM;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
drugi	inni	drug	inny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
april	kwietnia	april	kwiecia	N;NOM;MASC;SG	
april	april	april	april	N;NOM;MASC;SG	
druge	innych	drug	inny	ADJ;NOM;FEM;PL	ADJ;GEN;MASC;PL
druge	inne	drug	inny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
druge	pozostał	drug	pozostać	ADJ;NOM;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
druge	inny	drug	inny	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
druge	inne	drug	inny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
druge	pozostał	drug	pozostać	ADJ;NOM;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
vojne	wojen	vojna	wojen	N;NOM;FEM;PL	
vojne	wojny	vojna	wojna	N;NOM;FEM;PL	N;GEN;FEM;SG
vojne	wojnę	vojna	wojna	N;NOM;FEM;PL	N;ACC;FEM;SG
vojne	wojna	vojna	wojna	N;NOM;FEM;PL	N;NOM;FEM;SG
vojne	wojny	vojna	wojna	N;NOM;FEM;PL	N;GEN;FEM;SG
vojne	war	vojna	war	N;NOM;FEM;PL	
februar	luty	februar	luty	N;NOM;MASC;SG	
februar	lutego	februar	luty	N;NOM;MASC;SG	
stoletja	wieków	stoletje	wiek	N;ACC;NEUT;PL	N;GEN;MASC;PL
stoletja	stulecia	stoletje	stulecie	N;ACC;NEUT;PL	N;NOM;NEUT;SG
okoli	okolice	okoli	okolica	ADP;GEN	N;ACC;FEM;SG
okoli	dookoła	okoli	dookoła	ADP;GEN	
zajema	okładki	zajema	okładka	V;IPFV;IND;SG;3;PRS;FIN	N;ACC;FEM;PL
zajema	pokrywy	zajema	pokrywy	V;IPFV;IND;SG;3;PRS;FIN	N;ACC;FEM;PL
liga	league	liga	leagu	N;NOM;FEM;SG	
liga	lidze	liga	liga	N;NOM;FEM;SG	N;DAT;FEM;SG
liga	ligi	liga	liga	N;NOM;FEM;SG	N;ACC;FEM;SG
kasneje	pozniej	kasno	pozno	ADV;CMPR	V;PFV;IND;SG;FIN;ACT
dela	pracuj	delo	pracować	N;NOM;NEUT;PL	V;IPFV;IMP;SG;2;FIN;ACT
dela	pracy	delo	praca	N;NOM;NEUT;PL	N;GEN;FEM;SG
dela	praca	delo	praca	N;NOM;NEUT;PL	N;NOM;FEM;SG
dela	roboty	delo	robota	N;NOM;NEUT;PL	N;ACC;FEM;PL
dela	działa	delo	działać	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
dela	dziala	delo	dzialać	N;NOM;NEUT;PL	V;IPFV;IND;SG;PST;FIN;ACT
dela	pracujący	delo	pracować	N;NOM;NEUT;PL	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
dela	pracujemy	delo	pracować	N;NOM;NEUT;PL	V;IPFV;IND;PL;1;PRS;FIN;ACT
maj	majowe	maj	majowy		ADJ;NOM;NEUT;SG
maj	może	maj	móc		V;IPFV;IND;SG;3;PRS;FIN;ACT
maj	majowy	maj	majowy		ADJ;NOM;MASC;SG
bolj	more	bolj	more	ADV;CMPR	
danes	today	danes	toda	ADV	
skupaj	całkowita	skupaj	całkowity	ADV	ADJ;NOM;FEM;SG
skupaj	ogółem	skupaj	ogół	ADV	N;INS;MASC;SG
skupaj	suma	skupaj	suma	ADV	N;NOM;FEM;SG
predvsem	głownie	predvsem	głownie	PART	ADV
republike	republiki	republika	republika	N;NOM;FEM;PL	
republike	republika	republika	republik	N;NOM;FEM;PL	N;NOM;FEM;SG
najbolj	większość	najbolj	większość	ADV;RL	N;NOM;FEM;SG
najbolj	większości	najbolj	większość	ADV;RL	N;GEN;FEM;SG
cest	dróg	cesta	droga	N;GEN;FEM;PL	
cest	drogi	cesta	droga	N;GEN;FEM;PL	
stran	dala	stran	dala	N;NOM;FEM;SG	
stran	stronę	stran	strona	N;NOM;FEM;SG	N;ACC;FEM;SG
stran	stronie	stran	strona	N;NOM;FEM;SG	N;DAT;FEM;SG
stran	page	stran	page	N;NOM;FEM;SG	
stran	strony	stran	strona	N;NOM;FEM;SG	N;NOM;FEM;PL
julij	julius	julij	julius	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
julij	juliusz	julij	juliusz	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
julij	lipca	julij	lipiec	N;NOM;MASC;SG	
julij	lipiec	julij	lipiec	N;NOM;MASC;SG	
prebivalcev	mieszkańców	prebivalec	mieszkaniec	N;GEN;MASC;PL	N;ACC;MASC;PL
prebivalcev	mieszkańcy	prebivalec	mieszkaniec	N;GEN;MASC;PL	N;NOM;MASC;PL
prebivalcev	rezydentów	prebivalec	rezydent	N;GEN;MASC;PL	N;ACC;MASC;PL
prebivalcev	mieszkańców	prebivalec	mieszkaniec	N;GEN;MASC;PL	N;ACC;MASC;PL
prebivalcev	mieszkańcy	prebivalec	mieszkaniec	N;GEN;MASC;PL	N;NOM;MASC;PL
svetovno	świat	svetoven	świat	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
svetovno	swiat	svetoven	swiat	ADJ;NOM;NEUT;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
svetovno	świata	svetoven	świat	ADJ;NOM;NEUT;SG	N;GEN;MASC;SG
svetovno	świecie	svetoven	świat	ADJ;NOM;NEUT;SG	N;DAT;MASC;SG
svetovno	world	svetoven	world	ADJ;NOM;NEUT;SG	
svetovno	global	svetoven	global	ADJ;NOM;NEUT;SG	
svetovno	globalnego	svetoven	globalny	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
leto	leto	leto	leto	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
leto	roku	leto	rok	N;NOM;NEUT;SG	N;GEN;MASC;SG
prvenstvo	mistrzostwa	prvenstvo	mistrzostwa	N;NOM;NEUT;SG	N;NOM;NEUT;PL
prvenstvo	championship	prvenstvo	championship	N;NOM;NEUT;SG	
prvenstvo	mistrzostw	prvenstvo	mistrzostwa	N;NOM;NEUT;SG	N;GEN;NEUT;PL
mesta	miasta	mesto	miasto	N;NOM;NEUT;PL	N;GEN;NEUT;SG
mesta	miejscowości	mesto	miejscowość	N;NOM;NEUT;PL	N;GEN;FEM;SG
mesta	miasteczka	mesto	miasteczko	N;NOM;NEUT;PL	N;NOM;NEUT;SG
mesta	miasta	mesto	miasto	N;NOM;NEUT;PL	N;GEN;NEUT;SG
vojno	wojna	vojna	wojna	N;ACC;FEM;SG	N;NOM;FEM;SG
vojno	wojny	vojna	wojna	N;ACC;FEM;SG	N;GEN;FEM;SG
vojno	war	vojna	war	N;ACC;FEM;SG	
njegov	jego	njegov	on	DET;NOM;MASC;SG;3	PRO;GEN;MASC;SG;3
cerkev	kościoła	cerkev	kościół	N;NOM;FEM;SG	N;GEN;MASC;SG
cerkev	church	cerkev	chury	N;NOM;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
primer	case	primer	cas	N;NOM;MASC;SG	
primer	przykładowy	primer	przykładowy	N;NOM;MASC;SG	ADJ;ACC;MASC;SG
primer	przykładowe	primer	przykładowy	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
sicer	inaczej	sicer	inaczej	PART	ADV
dan	dan	dan	dana	N;NOM;MASC;SG	
dan	dnia	dan	dzień	N;NOM;MASC;SG	N;GEN;MASC;SG
dan	dzien	dan	dzien	N;NOM;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
imena	nazwy	ime	nazwa	N;NOM;NEUT;PL	
velika	velika	velik	velika	ADJ;NOM;FEM;SG	PROPN;NOM;FEM;SG
velika	big	velik	big	ADJ;NOM;FEM;SG	
velika	dużych	velik	duży	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;PL
hms	hms	hms	hmsieć	N;NOM;FEM;SG	
drugih	inne	drug	inny	ADJ;GEN;MASC;PL	ADJ;NOM;NEUT;SG
drugih	pozostał	drug	pozostać	ADJ;GEN;MASC;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
drugih	inni	drug	inny	ADJ;GEN;MASC;PL	ADJ;NOM;MASC;PL
dve	dwie	dva	dwa	NUM;NOM;FEM;DU	NUM;ACC;FEM;PL
dve	dwóch	dva	dwa	NUM;NOM;FEM;DU	NUM;ACC;MASC;PL
dve	dwa	dva	dwa	NUM;NOM;FEM;DU	NUM;ACC;MASC;PL
vseh	wszystkie	ves	wszystek	DET;GEN;MASC;PL	DET;NOM;MASC;PL
vseh	wszystko	ves	wszystko	DET;GEN;MASC;PL	PRO;NOM;NEUT;SG
vseh	all	ves	all	DET;GEN;MASC;PL	
vseh	wszyscy	ves	wszyscy	DET;GEN;MASC;PL	PRO;NOM;MASC;PL
prav	prawo	prav	prawo	PART	N;NOM;NEUT;SG
junij	czerwca	junij	czerwiec	N;NOM;MASC;SG	N;GEN;MASC;SG
junij	june	junij	juny	N;NOM;MASC;SG	
junij	czerwiec	junij	czerwiec	N;NOM;MASC;SG	
observatorij	obserwatorium	observatorij	obserwatorium	N;NOM;MASC;SG	N;DAT;NEUT;SG
uss	uss	uss	usies	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
jpg	jpg	jpg	jeść	N;NOM;MASC;SG	
mestu	town	mesto	town	N;DAT;NEUT;SG	
mestu	miasta	mesto	miasto	N;DAT;NEUT;SG	N;GEN;NEUT;SG
mestu	miejscowość	mesto	miejscowość	N;DAT;NEUT;SG	N;NOM;FEM;SG
mestu	miasto	mesto	miasto	N;DAT;NEUT;SG	N;NOM;NEUT;SG
mestu	city	mesto	city	N;DAT;NEUT;SG	
mestu	miejscowość	mesto	miejscowość	N;DAT;NEUT;SG	N;NOM;FEM;SG
mestu	miasta	mesto	miasto	N;DAT;NEUT;SG	N;GEN;NEUT;SG
mestu	miasto	mesto	miasto	N;DAT;NEUT;SG	N;NOM;NEUT;SG
občina	gmina	občina	gmina	N;NOM;FEM;SG	
drugo	innych	drug	inny	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
drugo	pozostał	drug	pozostać	ADJ;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
vojna	wojnę	vojna	wojna	N;NOM;FEM;SG	N;ACC;FEM;SG
vojna	wojny	vojna	wojna	N;NOM;FEM;SG	N;GEN;FEM;SG
vojna	war	vojna	war	N;NOM;FEM;SG	
pesmi	wierszy	pesem	wierszyć	N;NOM;FEM;PL	N;GEN;MASC;PL
pesmi	pieśni	pesem	pieśń	N;NOM;FEM;PL	
pesmi	piosenki	pesem	piosenka	N;NOM;FEM;PL	N;ACC;FEM;PL
tri	trzy	trije	trzy	NUM;NOM;FEM;PL	NUM;ACC;MASC;PL
slovenska	słoweńskiej	slovenski	słoweński	ADJ;NOM;FEM;SG	ADJ;GEN;FEM;SG
dva	dva	dva	dva	NUM;NOM;MASC;DU	
dva	dwie	dva	dwa	NUM;NOM;MASC;DU	NUM;ACC;FEM;PL
dva	dwóch	dva	dwa	NUM;NOM;MASC;DU	NUM;ACC;MASC;PL
dva	dwa	dva	dwa	NUM;NOM;MASC;DU	NUM;ACC;MASC;PL
veliki	veliki	velik	velika	ADJ;NOM;DEF;MASC;SG	
veliki	big	velik	big	ADJ;NOM;DEF;MASC;SG	
ameriški	american	ameriški	american	ADJ;NOM;DEF;MASC;SG	
ameriški	amerykanin	ameriški	amerykanin	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG
cet	cet	ceto	cet	N;NOM;MASC;SG	
slika	zdjecie	slika	zdjecie	N;NOM;FEM;SG	V;PFV;IND;SG;FIN;ACT
slika	wizerunek	slika	wizerunek	N;NOM;FEM;SG	N;ACC;MASC;SG
katerih	które	kateri	który	DET;GEN;MASC;PL	DET;ACC;MASC;SG
katerih	która	kateri	który	DET;GEN;MASC;PL	DET;NOM;FEM;SG
katerih	który	kateri	który	DET;GEN;MASC;PL	DET;NOM;MASC;SG
prva	najpierw	prvi	najpierw	ADJ;NOM;FEM;SG	ADV
njegova	jego	njegov	on	DET;NOM;FEM;SG;3	PRO;GEN;MASC;SG;3
van	vana	van	van		N;ACC;MASC;SG
van	furgonetka	van	furgonetka		N;NOM;FEM;SG
van	van	van	van		PROPN;NOM;MASC;SG
druga	innych	drug	inny	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;PL
druga	pozostał	drug	pozostać	ADJ;NOM;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
vojske	armii	vojska	armia	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
pogosto	czesto	pogosto	czesto	ADV	
pogosto	wspólnej	pogosto	wspólny	ADV	ADJ;GEN;FEM;SG
pogosto	wspólny	pogosto	wspólny	ADV	ADJ;NOM;MASC;SG
pogosto	częste	pogosto	częsty	ADV	
pogosto	wspólne	pogosto	wspólny	ADV	ADJ;NOM;NEUT;SG
eno	jeden	en	jeden	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG
eno	jedna	en	jeden	NUM;NOM;NEUT;SG	ADJ;NOM;FEM;SG
življenje	zycie	življenje	zyt	N;NOM;NEUT;SG	V;IPFV;IND;SG;1;FIN;ACT
življenje	life	življenje	lifa	N;NOM;NEUT;SG	
življenje	życia	življenje	życie	N;NOM;NEUT;SG	N;GEN;NEUT;SG
john	jan	john	jan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
john	johna	john	johny	PROPN;NOM;MASC;SG	
john	janek	john	janek	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
john	john	john	john	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
john	jana	john	jani	PROPN;NOM;MASC;SG	
prvo	pierwszy	prvi	pierwszy	ADJ;ACC;NEUT;SG	ADJ;NOM;MASC;SG
prvo	pierwsze	prvi	pierwszy	ADJ;ACC;NEUT;SG	ADJ;NOM;NEUT;SG
prvo	najpierw	prvi	najpierw	ADJ;ACC;NEUT;SG	ADV
prvo	pierwsza	prvi	pierwszy	ADJ;ACC;NEUT;SG	ADJ;NOM;FEM;SG
skupina	grupie	skupina	grupa	N;NOM;FEM;SG	N;DAT;FEM;SG
skupina	grupy	skupina	grupa	N;NOM;FEM;SG	N;ACC;FEM;SG
nagrada	nagrodę	nagrada	nagroda	N;NOM;FEM;SG	N;ACC;FEM;SG
nagrada	nagrodę	nagrada	nagroda	N;NOM;FEM;SG	N;ACC;FEM;SG
nagrada	nagrody	nagrada	nagroda	N;NOM;FEM;SG	N;NOM;FEM;PL
nagrada	nagrodę	nagrada	nagroda	N;NOM;FEM;SG	N;ACC;FEM;SG
nagrada	nagrody	nagrada	nagroda	N;NOM;FEM;SG	N;NOM;FEM;PL
njegovo	jego	njegov	on	DET;NOM;NEUT;SG;3	PRO;GEN;MASC;SG;3
katerega	które	kateri	który	DET;GEN;MASC;SG	DET;ACC;MASC;SG
katerega	która	kateri	który	DET;GEN;MASC;SG	DET;NOM;FEM;SG
katerega	który	kateri	który	DET;GEN;MASC;SG	DET;NOM;MASC;SG
priimek	nazwiska	priimek	nazwisko	N;NOM;MASC;SG	N;NOM;NEUT;PL
čeprav	chociaż	čeprav	chociaż	CONJ	PART
čeprav	aczkolwiek	čeprav	aczkolwiek	CONJ	
čeprav	choć	čeprav	choć	CONJ	
čeprav	chociaż	čeprav	chociaż	CONJ	PART
čeprav	choć	čeprav	choć	CONJ	
izvirno	pierwotnym	izviren	pierwotny	ADJ;NOM;NEUT;SG	ADJ;INS;MASC;SG
izvirno	oryginał	izviren	oryginał	ADJ;NOM;NEUT;SG	N;ACC;MASC;SG
isbn	isbn	isbn	isbny		
skupine	grup	skupina	grupa	N;NOM;FEM;PL	
skupine	grupy	skupina	grupa	N;NOM;FEM;PL	N;ACC;FEM;SG
skupine	grupach	skupina	grupa	N;NOM;FEM;PL	N;GEN;MASC;PL
von	von	von	von		
francoski	french	francoski	fren	ADJ;NOM;DEF;MASC;SG	
ena	jeden	en	jeden	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
ena	jedna	en	jeden	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
časa	czas	čas	czas	N;GEN;MASC;SG	N;NOM;MASC;SG
smrti	zmarli	smrt	zemrzeć	N;NOM;FEM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
divizija	podział	divizija	podziać	N;NOM;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
divizija	dywizji	divizija	dywizja	N;NOM;FEM;SG	N;GEN;FEM;SG
pomeni	znaczenie	pomeniti	znaczenie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
pomeni	rozumieniu	pomeniti	rozumienie	V;IND;SG;3;PRS;FIN	N;IPFV;DAT;NEUT;SG
pomeni	środki	pomeniti	środek	V;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
kralj	king	kralj	king	N;NOM;MASC;SG	
kralj	króla	kralj	król	N;NOM;MASC;SG	N;ACC;MASC;SG
kralj	kinga	kralj	kinga	N;NOM;MASC;SG	PROPN;NOM;FEM;SG
eden	edenu	eden	eden	NUM;NOM;MASC;SG	N;GEN;MASC;SG
eden	eden	eden	eden	NUM;NOM;MASC;SG	
eden	jeden	eden	jeden	NUM;NOM;MASC;SG	ADJ;NOM;MASC;SG
eden	jedna	eden	jeden	NUM;NOM;MASC;SG	ADJ;NOM;FEM;SG
saint	święty	saint	święty	PROPN;NOM;MASC;SG	
saint	święta	saint	święto	PROPN;NOM;MASC;SG	
saint	saint	saint	saint	PROPN;NOM;MASC;SG	
kateri	które	kateri	który	DET;NOM;MASC;SG	DET;ACC;MASC;SG
http	http	http	http	N;NOM;MASC;SG	
čas	czasu	čas	czas	N;NOM;MASC;SG	N;GEN;MASC;SG
palomar	palomar	palomar	palomar	N;NOM;MASC;SG	
skozi	poprzez	skozi	poprzez	ADP;ACC	
začel	rozpoczęte	začeti	rozpocząć	V;PFV;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
začel	rozpoczęty	začeti	rozpocząć	V;PFV;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
decembra	grudzień	december	grudzienie	N;GEN;MASC;SG	N;NOM;MASC;SG
decembra	grudnia	december	grudzień	N;GEN;MASC;SG	
približno	przybliżony	približno	przyblić	ADV	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
približno	około	približno	około	ADV	PART
nemški	niemcy	nemški	niemiec	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;PL
nemški	niemieckim	nemški	niemiecki	ADJ;NOM;DEF;MASC;SG	ADJ;INS;MASC;SG
ljudi	osoby	človek	osoba	N;ACC;MASC;PL	N;NOM;FEM;PL
