maurice	maurice	maurizar	maurice	PROPN	
manchester	manchester	manchester	manchester	N;MASC;SG	N;INDF;MASC+FEM;PL
beatles	beatles	beatle	beatel	N;MASC;PL	N;INDF;MASC+FEM;SG
higgins	higgins	higgin	higgins	PROPN	N;INDF;MASC+FEM;SG
celebrada	afholdte	celebrado	afholde	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
celebrada	holdt	celebrado	holde	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
celebrada	afholdt	celebrado	afholde	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
celebrada	hyldet	celebrado	hylde	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
celebrada	fejret	celebrado	fejre	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
celebrada	fejres	celebrado	fejre	ADJ;FEM;SG;V.PTCP	V;IND;PRS;FIN;PASS
celebrada	fejrede	celebrado	fejre	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
receptor	modtager	receptor	modtage	N;MASC;SG	V;IND;PRS;FIN;ACT
receptor	modtager	receptor	modtage	N;MASC;SG	V;IND;PRS;FIN;ACT
receptor	modtagende	receptor	modtagende	N;MASC;SG	ADJ
personalmente	personlig	personalmente	personlig	ADV	ADJ;INDF;MASC+FEM;SG
force	tving	force	tving	N	V;IMP
force	force	force	force	N	
tramos	strækker	tramo	strække	N;MASC;PL	V;IND;PRS;FIN;ACT
contemporáneos	nutidige	contemporáneo	nutidig	N;MASC;PL	ADJ;PL
contemporáneos	moderne	contemporáneo	moderne	N;MASC;PL	ADJ
ken	ken	ken	ken	PROPN	
campeona	champ	campeona	champ	N;FEM;SG	
automáticamente	automatisk	automáticamente	automatisk	ADV	ADJ;INDF;SG
centre	centreret	centre	centerere	N;MASC;SG	V;INDF;SG;PST;V.PTCP
pacheco	pacheco	pacheco	pacheco	N;MASC;SG	
necesarias	nødvendig	necesario	nødvendig	ADJ;FEM;PL	ADJ;INDF;MASC+FEM;SG
necesarias	nødvendigt	necesario	nødvendig	ADJ;FEM;PL	ADJ;INDF;NEUT;SG
abraham	abraham	abraham	abraham	PROPN	N;INDF;MASC+FEM;SG
lost	tabte	lost	tabe	N	V;IND;PST;FIN;ACT
lost	fortabt	lost	fortabe	N	ADJ;INDF;SG
lost	mistede	lost	miste	N	V;IND;PST;FIN;ACT
lost	lost	lost	lost	N	
lost	tabt	lost	tabe	N	V;INDF;SG;PST;V.PTCP
lost	mistet	lost	miste	N	V;INDF;SG;PST;V.PTCP
baterista	trommeslager	baterista	trommeslag	N;SG	N;INDF;MASC+FEM;PL
caras	dyre	cara	dyr	N;FEM;PL	ADJ;PL
caras	dyrt	cara	dyr	N;FEM;PL	ADJ;INDF;NEUT;SG
supercopa	supercopa	supercopa	supercopa	N;FEM;SG	
turín	torino	turín	torino	N;MASC;SG	PROPN
turín	torino	turín	torino	N;MASC;SG	PROPN
lesiones	personskade	lesión	personskade	N;FEM;PL	N;INDF;MASC+FEM;SG
lesiones	skade	lesión	skade	N;FEM;PL	N;INDF;MASC+FEM;SG
lesiones	tilskadekomne	lesión	tilskadekomn	N;FEM;PL	N;INDF;MASC+FEM;SG
lesiones	kvæstede	lesión	kvæstet	N;FEM;PL	ADJ;PL
disminución	afslå	disminución	afslå	N;FEM;SG	V;NFIN;ACT
apoyó	understøttede	apoyar	understøttet	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
aceptación	accepterer	aceptación	acceptere	N;FEM;SG	V;IND;PRS;FIN;ACT
sídney	sydney	sídney	sydney	N;MASC;SG	
parra	parra	parra	parra	PROPN	
facilidad	lette	facilidad	let	N;FEM;SG	ADJ;PL
libras	pund	libra	pund	N;MASC;PL	N;INDF;MASC+FEM;SG
libras	kilo	libra	kilo	N;MASC;PL	N;INDF;NEUT;SG
land	lander	land	land	N	V;IND;PRS;FIN;ACT
cedido	overdraget	cedido	overdrage	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
cedido	afstået	cedido	afstå	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
cedido	udlånt	cedido	udlån	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
definido	fastlagt	definido	fastlægge	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
definido	afgrænset	definido	afgrænse	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
definido	definerede	definido	definere	ADJ;MASC;SG;V.PTCP	V;PST;V.PTCP
definido	defineret	definido	definere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
terrestres	jordbaseret	terrestre	jordbasere	N;PL	V;INDF;SG;PST;V.PTCP
terrestres	jordbaserede	terrestre	jordbasere	N;PL	V;PL;PST;V.PTCP
rara	sjældne	raro	sjælden	ADJ;FEM;SG	ADJ;PL
rara	sjældent	raro	sjældent	ADJ;FEM;SG	ADV
soviéticos	sovjet	soviético	sovjet	N;MASC;PL	N;INDF;MASC+FEM;SG
adquirido	erhvervede	adquirido	erhvervet	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
adquirido	anskaffet	adquirido	anskaffet	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
adquirido	erhvervet	adquirido	erhvervet	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
adquirido	indkøbt	adquirido	indkøbe	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
adquirido	købt	adquirido	købe	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
adquirido	købes	adquirido	købe	ADJ;MASC;SG;V.PTCP	V;IND;PRS;NFIN;PASS
adquirido	købte	adquirido	købe	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
pérdidas	tab	pérdida	tab	N;FEM;PL	N;INDF;NEUT;SG
pérdidas	tab	pérdida	tab	N;FEM;PL	N;INDF;NEUT;SG
pérdidas	svind	pérdida	svind	N;FEM;PL	N;INDF;NEUT;SG
fantasía	fantasier	fantasía	fantasi	N;FEM;SG	N;INDF;MASC+FEM;PL
fantasía	fantasia	fantasía	fantasia	N;FEM;SG	
fenómenos	fænomen	fenómeno	fænomen	N;MASC;PL	N;INDF;NEUT;SG
fenómenos	freaks	fenómeno	freaks	N;MASC;PL	
conecta	tilslut	conectar	tilslut	V;IND;SG;3;PRS;FIN	V;IMP
conecta	connect	conectar	connect	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
mini	mini	mini	mini		
master	master	master	mast	N;MASC;SG	N;INDF;MASC+FEM;PL
africano	afrikanske	africano	afrikansk	ADJ;MASC;SG	ADJ;PL
africano	afrika	africano	afrika	ADJ;MASC;SG	
otomano	ottoman	otomano	ottoman	N;MASC;SG	
over	over	over	over	PROPN	ADV
over	derover	over	derover	PROPN	ADV
over	slut	over	slut	PROPN	N
finanzas	finansiere	finanzas	finansiere	N;FEM;PL	V;NFIN;ACT
finanzas	finans	finanzas	finans	N;FEM;PL	
finanzas	finansiering	finanzas	finansiering	N;FEM;PL	N;INDF;MASC+FEM;SG
sinfónica	symfoni	sinfónico	symfoni	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
ocupada	travlt	ocupado	travlt	ADJ;FEM;SG;V.PTCP	ADV
ocupada	optaget	ocupado	optage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ocupada	optaget	ocupado	optage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ocupada	besat	ocupado	besætte	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ocupada	beskæftiget	ocupado	beskæftige	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ocupada	besatte	ocupado	besætte	ADJ;FEM;SG;V.PTCP	V;PST;FIN;ACT
raymond	raymond	raymond	raymond	N;MASC;SG	
comparte	dele	compartir	del	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
comparte	del	compartir	del	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
comparte	andel	compartir	andel	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
comparte	deling	compartir	deling	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
comparte	delinger	compartir	deling	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
comparte	aktier	compartir	aktie	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
comparte	andele	compartir	anden	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
jerry	jerry	jerry	jerry	N;MASC;SG	
favorable	gunstige	favorable	gunstig	ADJ;SG	ADJ;PL
favorable	favorable	favorable	favorable	ADJ;SG	ADJ;PL
bizantino	byzantinske	bizantino	byzantinsk	ADJ;MASC;SG	ADJ;PL
significativa	meningsfuldt	significativo	meningsfuldt	ADJ;FEM;SG	ADV
significativa	meningsfyldt	significativo	meningsfyldt	ADJ;FEM;SG	N;DEF;NEUT;SG
significativa	betydelige	significativo	betydelig	ADJ;FEM;SG	ADJ;PL
protegida	beskyttet	protegido	beskytte	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
protegida	fredede	protegido	frede	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
protegida	beskyttede	protegido	beskytte	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
protegida	fredet	protegido	fred	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
fiel	trofaste	fiel	trofaste	ADJ;SG	ADJ;PL
derivado	afledede	derivado	aflede	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
derivado	afledt	derivado	aflede	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
derivado	afledte	derivado	aflede	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
rodaje	filmer	rodaje	film	N;MASC;SG	V;IND;PRS;FIN;ACT
rodaje	filme	rodaje	filme	N;MASC;SG	V;NFIN;ACT
rodaje	skyde	rodaje	skyde	N;MASC;SG	V;NFIN;ACT
rodaje	skyder	rodaje	skyde	N;MASC;SG	V;IND;PRS;FIN;ACT
escalera	stige	escalera	stige	N;FEM;SG	V;NFIN;ACT
escalera	trapperne	escalera	trappe	N;FEM;SG	N;DEF;MASC+FEM;PL
escalera	trapper	escalera	trappe	N;FEM;SG	N;INDF;MASC+FEM;PL
heinrich	heinrich	heinrich	heinrich	N;MASC;SG	
reglamento	forordninger	reglamento	forordning	N;MASC;SG	N;INDF;MASC+FEM;PL
reglamento	regulativer	reglamento	regulativ	N;MASC;SG	N;INDF;NEUT;PL
reglamento	regler	reglamento	regel	N;MASC;SG	N;INDF;MASC+FEM;PL
reglamento	bestemmelser	reglamento	bestemmelse	N;MASC;SG	N;INDF;MASC+FEM;PL
gigantes	giants	gigante	giant	N;PL	N;INDF;MASC+FEM;SG
gigantes	kæmper	gigante	kæmpe	N;PL	V;IND;PRS;FIN;ACT
gigantes	kæmpe	gigante	kæmpe	N;PL	ADJ
gigantes	gigant	gigante	gigant	N;PL	N;INDF;MASC+FEM;SG
gigantes	giant	gigante	giant	N;PL	N;INDF;NEUT;SG
gigantes	gigantisk	gigante	gigantisk	N;PL	ADJ;INDF;SG
experimentos	forsøg	experimento	forsøg	N;MASC;PL	N;INDF;NEUT;SG
paisajes	landskab	paisaje	landskab	N;MASC;PL	N;INDF;NEUT;SG
paisajes	landskabet	paisaje	landskab	N;MASC;PL	N;DEF;NEUT;SG
cuesta	cuesta	costar	cuesta	V;IND;SG;3;PRS;FIN	
mito	myter	mito	myte	N;MASC;SG	N;INDF;MASC+FEM;PL
dispuesto	villigt	dispuesto	villigt	ADJ;MASC;SG;V.PTCP	ADV
dispuesto	villige	dispuesto	villig	ADJ;MASC;SG;V.PTCP	ADJ;PL
dei	dei	dei	dei	N;MASC	
grabados	indgravering	grabado	indgravering	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;SG
grabados	indspillet	grabado	indspille	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
grabados	optaget	grabado	optage	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
grabados	registreret	grabado	registrere	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
grabados	indspillede	grabado	indspille	ADJ;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
grabados	udskriver	grabado	udskrive	ADJ;MASC;PL;V.PTCP	V;IND;PRS;FIN;ACT
grabados	fingeraftryk	grabado	fingeraftryk	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;PL
grabados	aftryk	grabado	aftryk	ADJ;MASC;PL;V.PTCP	N;INDF;NEUT;SG
efectivo	cash	efectivo	cash	ADJ;MASC;SG	N;INDF;NEUT;SG
efectivo	kontanter	efectivo	kontant	ADJ;MASC;SG	N;INDF;MASC+FEM;PL
sra	fru	ser	frue	N;FEM;SG	
cárdenas	cárdenas	cárdena	cørdenas	N;FEM;PL	N;INDF;MASC+FEM;SG
cuota	kvoter	cuota	kvote	N;FEM;SG	N;INDF;MASC+FEM;PL
roland	roland	roland	roland	PROPN	N;INDF;MASC+FEM;SG
sagrada	hellige	sagrado	hellig	ADJ;FEM;SG	ADJ;PL
primarias	primære	primaria	primær	N;FEM;PL	ADJ;PL
primarias	primært	primaria	primært	N;FEM;PL	ADV
primarias	primær	primaria	primær	N;FEM;PL	N;INDF;NEUT;SG
hembra	kvindelig	hembra	kvindelig	N;FEM;SG	ADJ;INDF;MASC+FEM;SG
hembra	kvindelige	hembra	kvindelig	N;FEM;SG	ADJ;PL
diseñada	designede	diseñado	designe	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
diseñada	designet	diseñado	designe	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
diseñada	udformet	diseñado	udforme	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
diseñada	konstrueret	diseñado	konstruere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gold	gold	gold	gold	N	
dominante	dominerer	dominante	dominere	ADJ;SG	V;IND;PRS;FIN;ACT
dominante	dominerende	dominante	dominere	ADJ;SG	V;PRS;V.PTCP
fred	fred	fred	fred	PROPN	N;INDF;MASC+FEM;SG
rob	rob	rob	rob	PROPN	
rob	røver	rob	røve	PROPN	N;INDF;MASC+FEM;SG
rob	røve	rob	røve	PROPN	V;NFIN;ACT
chaco	chaco	chaco	chaco	N;MASC;SG	
luchador	kæmper	luchador	kæmpe	N;MASC;SG	V;IND;PRS;FIN;ACT
luchador	bryder	luchador	bryde	N;MASC;SG	V;IND;PRS;FIN;ACT
ligera	tænd	ligero	tænd	ADJ;FEM;SG	V;IMP
ligera	light	ligero	light	ADJ;FEM;SG	
ligera	lys	ligero	lys	ADJ;FEM;SG	N;INDF;NEUT;SG
tocando	berøring	tocar	berøring	V;V.MSDR	N;INDF;MASC+FEM;SG
tocando	rørende	tocar	rørende	V;V.MSDR	ADJ
tocando	afspilning	tocar	afspilning	V;V.MSDR	N;INDF;MASC+FEM;SG
recuerdos	memories	recuerdo	memorie	N;MASC;PL	
recuerdos	minder	recuerdo	minde	N;MASC;PL	V;IND;PRS;FIN;ACT
recuerdos	souvenirs	recuerdo	souvenirs	N;MASC;PL	N;INDF;NEUT;SG
recuerdos	minde	recuerdo	minde	N;MASC;PL	N;INDF;NEUT;SG
recuerdos	erindring	recuerdo	erindring	N;MASC;PL	N;INDF;MASC+FEM;SG
recuerdos	hukommelse	recuerdo	hukommelse	N;MASC;PL	N;INDF;MASC+FEM;SG
recuerdos	hukommelsen	recuerdo	hukommelse	N;MASC;PL	N;DEF;MASC+FEM;SG
recuerdos	memory	recuerdo	memory	N;MASC;PL	
mantenido	bibeholdt	mantener	bibeholde	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mantenido	vedligeholdt	mantener	vedligeholdt	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
mantenido	fastholdt	mantener	fastholde	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mantenido	bevarede	mantener	bevare	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
mantenido	opretholdt	mantener	opretholde	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mantenido	holdte	mantener	holde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
mantenido	holdt	mantener	holde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
mantenido	beholdt	mantener	beholde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
específicos	specifik	específico	specifik	ADJ;MASC;PL	ADJ;INDF;MASC+FEM;SG
específicos	specifikt	específico	specifikt	ADJ;MASC;PL	ADV
wright	wright	wright	wright	PROPN	
falla	fejle	fallar	fejle	N;FEM;SG	V;NFIN;ACT
falla	fejler	fallar	fejle	N;FEM;SG	V;IND;PRS;FIN;ACT
falla	mislykkes	fallar	mislykke	N;FEM;SG	V;NFIN;PASS
falla	fejler	fallar	fejle	N;FEM;SG	V;IND;PRS;FIN;ACT
falla	svigter	fallar	svigte	N;FEM;SG	V;IND;PRS;FIN;ACT
falla	mislykkes	fallar	mislykke	N;FEM;SG	V;NFIN;PASS
llano	llano	llano	llano	ADJ;MASC;SG	
llano	plain	llano	plain	ADJ;MASC;SG	
romper	pause	romper	pause	V;NFIN	N;INDF;MASC+FEM;SG
romper	break	romper	break	V;NFIN	
romper	breaking	romper	breaking	V;NFIN	N;INDF;MASC+FEM;SG
huerta	huerta	huerta	huerta	N;FEM;SG	
septentrional	nordlige	septentrional	nordlig	ADJ;SG	ADJ;PL
seguimiento	sporer	seguimiento	spore	N;MASC;SG	V;IND;PRS;FIN;ACT
difíciles	svært	difícil	svær	ADJ;PL	ADJ;INDF;NEUT;SG
difíciles	vanskelig	difícil	vanskelig	ADJ;PL	ADJ;INDF;MASC+FEM;SG
difíciles	vanskeligt	difícil	vanskeligt	ADJ;PL	ADJ;INDF;NEUT;SG
difíciles	svær	difícil	svær	ADJ;PL	ADJ;INDF;MASC+FEM;SG
neerlandés	nederlandske	neerlandés	nederlandsk	N;MASC;SG	ADJ;PL
neerlandés	nederlandsk	neerlandés	nederlandsk	N;MASC;SG	ADJ;INDF;SG
neerlandés	hollandske	neerlandés	hollandsk	N;MASC;SG	ADJ;PL
neerlandés	hollandsk	neerlandés	hollandsk	N;MASC;SG	ADJ;INDF;SG
chiapas	chiapas	chiapa	chiapas	N;FEM;PL	
compuestas	sammensat	compuesto	sammensætte	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
compuestas	sammensatte	compuesto	sammensætte	ADJ;FEM;PL;V.PTCP	V;PL;PST;V.PTCP
compuestas	sammensatte	compuesto	sammensætte	ADJ;FEM;PL;V.PTCP	V;PL;PST;V.PTCP
bloqueado	låst	bloqueado	låse	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
bloqueado	låste	bloqueado	låse	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
bloqueado	aflåst	bloqueado	aflåse	ADJ;MASC;SG;V.PTCP	N;DEF;NEUT;SG
bloqueado	blokeret	bloqueado	blokere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
bloqueado	blokerede	bloqueado	blokere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
bloqueado	spærret	bloqueado	spærre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gastos	udgift	gasto	udgift	N;MASC;PL	N;INDF;MASC+FEM;SG
gastos	udgift	gasto	udgift	N;MASC;PL	N;INDF;MASC+FEM;SG
gastos	bekostning	gasto	bekostning	N;MASC;PL	N;INDF;MASC+FEM;SG
africana	afrikanske	africano	afrikansk	ADJ;FEM;SG	ADJ;PL
africana	afrika	africano	afrika	ADJ;FEM;SG	
lucio	lucio	lucio	lucio	N;MASC;SG	
lucio	pike	lucio	pike	N;MASC;SG	
montenegro	montenegro	montenegro	montenegro	N;FEM;SG	PROPN
avanzada	avancerede	avanzado	avanceret	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
avanzada	avanceret	avanzado	avanceret	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
avanzada	fremskreden	avanzado	fremskrede	ADJ;FEM;SG;V.PTCP	N;DEF;MASC+FEM;SG
emma	emma	emma	emma	N;FEM;SG	
terry	terry	terry	terry	PROPN	
lobos	wolf	lobo	wolf	N;MASC;PL	
lobos	ulven	lobo	ulv	N;MASC;PL	N;DEF;NEUT;SG
lobos	ulv	lobo	ulv	N;MASC;PL	N;INDF;MASC+FEM;SG
lobos	lobos	lobo	lobos	N;MASC;PL	
octava	oktav	octavo	oktav	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
pendiente	hældning	pendiente	hældning	ADJ;SG	N;INDF;MASC+FEM;SG
pendiente	ørering	pendiente	ørering	ADJ;SG	N;INDF;MASC+FEM;SG
pendiente	verserende	pendiente	verserende	ADJ;SG	V;PRS;V.PTCP
pendiente	ventende	pendiente	vente	ADJ;SG	V;PRS;V.PTCP
pendiente	afventende	pendiente	afvente	ADJ;SG	V;PRS;V.PTCP
