château	σατό	châti	σατός	V;IND;PL;3;IPFV;FIN	N
istoricii	ιστορικοί	istoric	ιστορικός	N;DEF;MASC;PL	ADJ;NOM;MASC;PL
istoricii	ιστορικούς	istoric	ιστορικός	N;DEF;MASC;PL	ADJ;ACC;MASC;PL
străină	ξένος	străin	ξένος	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
străină	ξένο	străin	ξένος	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
străină	ξένη	străin	ξένος	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
străină	ξένα	străin	ξένος	N;INDF;FEM;SG	ADJ;NOM;NEUT;PL
iubit	αγάπησα	iubit	αγάπησα	ADJ;INDF;MASC;SG	V;PFV;IND;SG;1;PST;FIN;ACT
iubit	αγάπησε	iubit	αγαπίζω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
iubit	αγαπούσε	iubit	αγαπούσσω	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;3;PST;FIN;ACT
iubit	αγαπημένος	iubit	αγαπημένος	ADJ;INDF;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
iubit	αγαπημένη	iubit	αγαπημένος	ADJ;INDF;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
entitate	οντότητα	entitate	οντότητα	N;INDF;FEM;SG	N;NOM;FEM;SG
platină	πλατίνα	platină	πλατίνα	N;INDF;FEM;SG	N;NOM;FEM;SG
rezolva	επίλυση	rezolva	επίλυση	V;IND;SG;3;IPFV;FIN	N;ACC;FEM;SG
continental	ηπειρωτική	continental	ηπειρωτικός	ADV	ADJ;NOM;FEM;SG
caesar	καίσαρ	caesar	καίσαρ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
maiorescu	μαγιορέσκου	maiorescu	μαγιόρεσκος	PROPN	N;NOM;MASC;SG
pcupdate	pcupdate	pcupat	pcupdate	ADJ;INDF;FEM;PL	
pierdute	χάθηκε	pierdut	χάνω	ADJ;INDF;FEM;PL	V;PFV;IND;SG;3;PST;FIN;PASS
pierdute	χαμένος	pierdut	χαμένος	ADJ;INDF;FEM;PL	V;PFV;NOM;MASC;SG;V.PTCP;PASS
pierdute	χάσαμε	pierdut	χάνω	ADJ;INDF;FEM;PL	V;PFV;IND;PL;1;PST;FIN;ACT
pierdute	χαμένη	pierdut	χαμένος	ADJ;INDF;FEM;PL	V;PFV;NOM;FEM;SG;V.PTCP;PASS
pierdute	χάσει	pierdut	χάνω	ADJ;INDF;FEM;PL	V;PFV;NFIN;ACT
pierdute	χαμένοι	pierdut	χάνω	ADJ;INDF;FEM;PL	V;PFV;NOM;MASC;PL;V.PTCP;PASS
perioadele	περίοδοι	perioadă	περίοδος	N;DEF;FEM;PL	N;NOM;FEM;PL
perioadele	περιόδους	perioadă	περίοδος	N;DEF;FEM;PL	N;NOM;FEM;PL
bianco	μπιάνκο	bianco	μπιάνκο	N;INDF;MASC;SG	
moștenit	κληρονόμησε	moștenit	κληρονομώ	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
curentului	τρέχουσα	curent	τρέχων	N;DEF;MASC;SG	ADJ;NOM;FEM;SG
curentului	ρεύμα	curent	ρεύμα	N;DEF;MASC;SG	N;NOM;NEUT;SG
curentului	τρέχουσες	curent	τρέχων	N;DEF;MASC;SG	ADJ;NOM;FEM;PL
curentului	τρέχον	curent	τρέχον	N;DEF;MASC;SG	ADJ;NOM;NEUT;SG
destinație	προορισμός	destinație	προορισμός	N;INDF;FEM;SG	N;NOM;MASC;SG
destinație	προορισμό	destinație	προορισμός	N;INDF;FEM;SG	N;ACC;MASC;SG
hawaii	χαβάη	hawai	χαβά	PROPN	PROPN;NOM;FEM;SG
sunetul	ήχο	sunet	ήχο	N;DEF;MASC;SG	N;ACC;MASC;SG
sunetul	ήχος	sunet	ήχος	N;DEF;MASC;SG	N;NOM;MASC;SG
xbox	xbox	xbox	xbox	N;INDF;MASC;SG	
inca	ακόμη	inca	ακόμα		ADV
inca	ακομα	inca	ακομα		ADV
inca	ακόμα	inca	ακόμα		ADV
gama	γάμμα	gamă	γάμμα	N;DEF;FEM;SG	N;NOM;SG
baby	μωρό	baby	μωρός		N;NOM;NEUT;SG
evaluarea	αποτίμησης	evaluare	αποτίμηση	N;DEF;FEM;SG	N;GEN;FEM;SG
evaluarea	αποτίμηση	evaluare	αποτίμηση	N;DEF;FEM;SG	N;ACC;FEM;SG
evaluarea	εκτίμηση	evaluare	εκτίμηση	N;DEF;FEM;SG	N;ACC;FEM;SG
evaluarea	αξιολόγηση	evaluare	αξιολόγηση	N;DEF;FEM;SG	N;ACC;FEM;SG
evaluarea	αξιολόγηση	evaluare	αξιολόγηση	N;DEF;FEM;SG	N;ACC;FEM;SG
cinematografie	κινηματογραφία	cinematografie	κινηματογραφία	N;INDF;FEM;SG	N;NOM;FEM;SG
danez	δανοί	danez	δανός	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;PL
danez	δανικά	danez	δανικά	ADJ;INDF;MASC;SG	ADV
raportat	αναφέρθηκε	raporta	αναφέρω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
raportat	αναφέρθηκαν	raporta	αναφέρω	ADJ;INDF;MASC;SG	V;PFV;IND;PL;3;PST;FIN;PASS
râurilor	ποτάμια	râu	ποτάμιο	N;DEF;FEM;PL	N;NOM;NEUT;PL
râurilor	ρίβερς	râu	ρίβη	N;DEF;FEM;PL	
râurilor	ποταμών	râu	ποταμός	N;DEF;FEM;PL	N;GEN;MASC;PL
râurilor	ποταμούς	râu	ποταμός	N;DEF;FEM;PL	N;ACC;MASC;PL
paula	πόλα	paulă	πόλα	N;DEF;FEM;SG	
paula	πάολα	paulă	πάολα	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
conferință	σύσκεψη	conferință	σύσκεψη	N;INDF;FEM;SG	N;ACC;FEM;SG
conferință	συνδιάσκεψη	conferință	συνδιάσκεψη	N;INDF;FEM;SG	N;NOM;FEM;SG
conferință	διάσκεψη	conferință	διάσκεψη	N;INDF;FEM;SG	N;NOM;FEM;SG
conferință	συνέδριο	conferință	συνέδριο	N;INDF;FEM;SG	N;NOM;NEUT;SG
legală	νομικά	legal	νομικά	ADJ;INDF;FEM;SG	ADV
legală	νόμιμη	legal	νόμιμος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
legală	νομικός	legal	νομικός	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
legală	νομικό	legal	νομικός	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
legală	νομική	legal	νομικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
elisabeth	ελισάβετ	elisabeth	ελισάβετ	PROPN	N
citește	διάβαζε	citi	διαβάζω	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
citește	ανάγνωση	citi	ανάγνωση	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
citește	διαβάστε	citi	διαβάζω	V;IND;SG;3;PRS;FIN	N
citește	διάβασε	citi	διαβάζω	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
bros	αδέρφια	bros	αδέρφι	PROPN	N;NOM;NEUT;PL
bros	bros	bros	bros	PROPN	
prăbușit	συνετρίβη	prăbuși	συνετρίβος	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;PASS
prăbușit	κατέρρευσε	prăbuși	καταρρέω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
clasificate	απόρρητα	clasificat	απόρρητος	ADJ;INDF;FEM;PL	ADV
clasificate	απόρρητο	clasificat	απόρρητος	ADJ;INDF;FEM;PL	N;NOM;NEUT;SG
clasificate	αγγελίες	clasificat	αγγελία	ADJ;INDF;FEM;PL	N;NOM;FEM;PL
pic	pic	pic	pic	ADV	
pic	φωτό	pic	φωτός	ADV	N;ACC;FEM;SG
administrare	διοίκηση	administrare	διοίκηση	N;INDF;FEM;SG	N;ACC;FEM;SG
administrare	χορήγηση	administrare	χορήγηση	N;INDF;FEM;SG	N;ACC;FEM;SG
cereale	δημητριακά	cereală	δημητριακός	N;INDF;FEM;PL	ADV
cereale	δημητριακά	cereală	δημητριακός	N;INDF;FEM;PL	ADV
warren	γουόρεν	warren	γουόρεν	PROPN	
warren	γουώρεν	warren	γουώρεν	PROPN	N;FEM;SG
warren	warren	warren	warren	PROPN	
parlamentară	κοινοβουλευτική	parlamentar	κοινοβουλευτικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
parlamentară	κοινοβουλευτικές	parlamentar	κοινοβουλευτικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
ferenc	ferenc	ferenc	ferenc	PROPN	
stein	στάιν	stein	στώ	N;INDF;MASC;SG	
basel	βασιλείας	basel	βασιλεία	PROPN	N;GEN;FEM;SG
basel	βασιλεία	basel	βασίλεια	PROPN	N;ACC;FEM;SG
doo	ντου	doo	ντου	N;INDF;MASC;SG	
baraj	dam	baraj	dam	N;INDF;MASC;SG	
absolvent	απόφοιτος	absolvent	απόφοιτος	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
islamică	ισλαμική	islamic	ισλαμικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
islamică	ισλαμικό	islamic	ισλαμικός	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
islamică	ισλαμιστές	islamic	ισλαμιστής	ADJ;INDF;FEM;SG	N;NOM;MASC;PL
derivă	παρασύρεται	deriv	παρασύρω	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
balta	λιμνούλα	baltă	λιμνούλα	N;DEF;FEM;SG	N;NOM;FEM;SG
balta	λίμνη	baltă	λίμνη	N;DEF;FEM;SG	N;NOM;FEM;SG
balta	λακκούβα	baltă	λακκούβος	N;DEF;FEM;SG	N;NOM;FEM;SG
aires	άιρες	aires	άιρα	PROPN	PROPN;NOM;FEM;PL
roberts	ρόμπερτς	roberts	ρόμπερτς	PROPN	PROPN;NOM;MASC;SG
statuie	άγαλμα	statuie	άγαλμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
tennessee	τενεσί	tennessee	τενεσί	PROPN	
toamnă	φθινόπωρο	toamnă	φθινόπωρος	N;INDF;FEM;SG	N;NOM;NEUT;SG
moștenirea	κληρονομιά	moștenire	κληρονομιά	N;DEF;FEM;SG	N;NOM;FEM;SG
moștenirea	κληρονομιά	moștenire	κληρονομιά	N;DEF;FEM;SG	N;NOM;FEM;SG
oslo	όσλο	oslo	όσλο	PROPN	PROPN;ACC;NEUT;SG
turner	turner	turner	turner	PROPN	
turner	τέρνερ	turner	τέρνερ	PROPN	
adăugate	πρόσθεσε	adăuga	προσθέτω	ADJ;INDF;FEM;PL	V;PFV;IND;SG;3;PST;FIN;ACT
adăugate	προστέθηκε	adăuga	προσθέτω	ADJ;INDF;FEM;PL	V;PFV;IND;SG;3;PST;FIN;PASS
adăugate	προστέθηκαν	adăuga	προσθέτω	ADJ;INDF;FEM;PL	V;PFV;IND;PL;3;PST;FIN;PASS
adăugate	προστίθεται	adăuga	προστίθεμαι	ADJ;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;PASS
beta	beta	beta	beta	N;INDF;MASC	
interzisă	απαγορεύεται	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
interzisă	απαγορευμένα	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
interzisă	απαγορευμένη	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
interzisă	απαγορευμένο	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
interzisă	απαγορεύονται	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
interzisă	απαγορευμένο	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
interzisă	απαγορευμένη	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
interzisă	απαγορεύεται	interzice	απαγορεύω	ADJ;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
numirea	ραντεβού	numire	ραντεβός	N;DEF;FEM;SG	N;NOM;NEUT;SG
numirea	διορισμός	numire	διορισμός	N;DEF;FEM;SG	N;NOM;MASC;SG
contactul	επικοινωνήστε	contact	επικοινωνώ	N;DEF;MASC;SG	V;PFV;IMP;PL;2;FIN;ACT
contactul	επαφη	contact	επαφη	N;DEF;MASC;SG	N;NOM;FEM;SG
contactul	επαφή	contact	επαφή	N;DEF;MASC;SG	N;ACC;FEM;SG
contactul	επικοινωνία	contact	επικοινωνία	N;DEF;MASC;SG	N;NOM;FEM;SG
java	java	javă	java	N;DEF;FEM;SG	
alexandre	αλεξάντρ	alexandre	αλεξάντρ	PROPN	
siberia	σιβηρία	siberie	σιβηρία	N;DEF;FEM;SG	N;ACC;FEM;SG
ocean	ωκεανός	ocean	ωκεανός	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
claudia	κλαούντια	claudie	κλαούντια	PROPN	N;NOM;FEM;SG
claudia	κλόντια	claudie	κλόντια	PROPN	ADV
claudia	κλώντια	claudie	κλώντια	PROPN	ADV
plăcut	άρεσε	plăcut	αρώνω	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
plăcut	ευχάριστα	plăcut	ευχάριστα	ADJ;INDF;MASC;SG	ADV
evans	έβανς	evans	έβανς	PROPN	
evans	evans	evans	evans	PROPN	
franceza	γάλλοι	franceza	γάλλος	N;DEF;FEM;SG	PROPN;NOM;MASC;PL
franceza	γάλλος	franceza	γάλλος	N;DEF;FEM;SG	N;NOM;MASC;SG
franceza	γαλλική	franceza	γαλλική	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
franceza	γαλλικό	franceza	γαλλικός	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
franceza	γαλλικά	franceza	γαλλικά	N;DEF;FEM;SG	ADV
wien	wien	wien	wien	PROPN	
declarație	δήλωση	declarație	δήλωση	N;INDF;FEM;SG	N;ACC;FEM;SG
declarație	διακήρυξη	declarație	διακήρυξη	N;INDF;FEM;SG	N;ACC;FEM;SG
declarație	δήλωση	declarație	δήλωση	N;INDF;FEM;SG	N;ACC;FEM;SG
discursul	λόγος	discurs	λόγος	N;DEF;MASC;SG	N;NOM;MASC;SG
discursul	ομιλία	discurs	ομιλία	N;DEF;MASC;SG	N;ACC;FEM;SG
alabama	αλαμπάμα	alabama	αλαμπάμα	N;INDF;MASC;SG	
intrând	είσοδος	intrând	είσοδος		N;NOM;FEM;SG
indiei	ινδία	indie	ινδία	PROPN;DEF;FEM;SG	PROPN;NOM;FEM;SG
indiei	ινδίας	indie	ινδία	PROPN;DEF;FEM;SG	PROPN;GEN;FEM;SG
keith	κηθ	keith	κηθ	PROPN	N
keith	keith	keith	keith	PROPN	
keith	κιθ	keith	κιθ	PROPN	
asigurată	ασφαλισμένο	asigura	ασφαλισμένος	ADJ;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
emise	εκδοθέν	emite	εκδοθέν	V;IND;SG;3;PST;FIN	N
emise	εκδίδεται	emite	εκδίδω	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
campionatele	πρωταθλήματα	campionat	πρωτάθλημα	N;DEF;FEM;PL	N;NOM;NEUT;PL
manastirea	μοναστήρι	manastire	μοναστήρι	N;DEF;FEM;SG	N;NOM;NEUT;SG
