del	del	di	del	ADJ;SG	ADP;MASC;SG
stato	estado	essere	estado	V;MASC;SG;PST;V.PTCP	N;MASC;SG
stato	situación	essere	situación	V;MASC;SG;PST;V.PTCP	N;FEM;SG
stato	state	essere	state	V;MASC;SG;PST;V.PTCP	N
stato	estado	essere	estado	V;MASC;SG;PST;V.PTCP	N;MASC;SG
altri	otro	altro	otro	PRO;MASC;PL	PRO;MASC;SG
italiano	italianos	italiano	italiano	ADJ;MASC;SG	N;MASC;PL
italiano	italiano	italiano	italiano	ADJ;MASC;SG	N;MASC;SG
essere	estar	essere	estar	V;NFIN	V;NFIN
questo	este	questo	este	DET;MASC;SG	PRO;MASC;SG
questo	esto	questo	este	DET;MASC;SG	PRO;SG
questo	esta	questo	este	DET;MASC;SG	PRO;FEM;SG
esterni	externa	esterno	externo	ADJ;MASC;PL	ADJ;FEM;SG
esterni	externo	esterno	externo	ADJ;MASC;PL	ADJ;MASC;SG
esterni	exterior	esterno	exterior	ADJ;MASC;PL	ADJ;SG
esterni	exterior	esterno	exterior	ADJ;MASC;PL	ADJ;SG
nell	nell	nell	nell		N;FEM;SG
cet	cet	cet	cet		N
questa	este	questo	este	DET;FEM;SG	PRO;MASC;SG
questa	esto	questo	este	DET;FEM;SG	PRO;SG
questa	esta	questo	este	DET;FEM;SG	PRO;FEM;SG
regia	dirigiendo	regia	dirigir	N;FEM;SG	V;V.MSDR
regia	dirigir	regia	dirigir	N;FEM;SG	V;NFIN
regia	regia	regia	regia	N;FEM;SG	ADJ;FEM;SG
solo	just	solo	justo	ADV	N
uno	una	uno	uno	PRO;MASC;SG	DET;INDF;FEM;SG
uno	one	uno	one	PRO;MASC;SG	N
loro	sus	loro	su	PRO;PL;3	DET;PL;3
loro	su	loro	su	PRO;PL;3	DET;SG;3
primo	primo	primo	primo	ADJ;MASC;SG	N;MASC;SG
primo	primeras	primo	primero	ADJ;MASC;SG	ADJ;FEM;PL
primo	primeros	primo	primero	ADJ;MASC;SG	ADJ;MASC;PL
primo	primero	primo	primero	ADJ;MASC;SG	ADV
dall	dall	dall	dall	ADJ;SG	N
san	san	sano	san	PROPN	N;MASC;SG
secondo	segundos	secondo	segundo	ADJ;MASC;SG	N;MASC;PL
secondo	segundas	secondo	segundo	ADJ;MASC;SG	ADJ;FEM;PL
sia	aie	sia	aie	CONJ	N;FEM;SG
sia	sia	sia	sia	CONJ	N
dove	where	dove	where	ADV	N
dove	donde	dove	donde	ADV	PRO
dove	adonde	dove	adonde	ADV	
dove	dónde	dove	dónde	ADV	PRO
quando	cuándo	quando	cuándo	ADV	PRO
quando	when	quando	when	ADV	N
quando	cuando	quando	cuando	ADV	CONJ
italia	italia	italiare	italia	ADJ;FEM;SG	PROPN
fino	hasta	fino	hasta	ADV	ADP
tre	tre	tre	tre	NUM	
molto	very	molto	ver	ADV	N
molto	much	molto	much	ADV	N
from	from	from	from		N
from	de	from	de		ADP
from	desde	from	desde		ADP
può	may	potere	maber	V;IND;SG;3;PRS;FIN	
può	mayo	potere	mayo	V;IND;SG;3;PRS;FIN	N
può	pueden	potere	poder	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
può	puedo	potere	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
può	lata	potere	lata	V;IND;SG;3;PRS;FIN	N;FEM;SG
può	can	potere	can	V;IND;SG;3;PRS;FIN	PROPN
può	puede	potere	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
hanno	tengan	avere	tener	V;IND;PL;3;PRS;FIN	V;IMP;PL;3;PRS;FIN
hanno	han	avere	haber	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
comune	comunes	comune	común	ADJ;SG	ADJ;PL
comune	frecuentes	comune	frecuente	ADJ;SG	ADJ;PL
comune	common	comune	common	ADJ;SG	N
stesso	misma	stesso	mismo	ADJ;MASC;SG	DET;FEM;SG
stesso	igual	stesso	igual	ADJ;MASC;SG	ADV
tutti	all	tutto	all	PRO;MASC;PL	N
tutti	todo	tutto	todo	PRO;MASC;PL	PRO;MASC;SG
gruppo	agrupar	gruppo	agrupar	N;MASC;SG	V;NFIN
stati	estados	essere	estado	V;MASC;PL;PST;V.PTCP	N;MASC;PL
contro	against	contro	against	ADP	N
dai	dai	dai	dai	ADJ;SG	
grande	large	grande	large	ADJ;SG	N
grande	grandes	grande	grande	ADJ;SG	ADJ;PL
grande	big	grande	big	ADJ;SG	N
grande	grandes	grande	grande	ADJ;SG	ADJ;PL
secolo	century	secolo	century	N;MASC;SG	PROPN
sempre	always	sempre	alway	ADV	N
fatto	hecha	fare	hecho	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
fatto	made	fare	mader	V;MASC;SG;PST;V.PTCP	N
fatto	hecho	fare	hecho	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
fatto	hecho	fare	hecho	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
fatto	hecho	fare	hecho	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
erano	estaban	essere	estar	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
erano	fueron	essere	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
seguito	seguido	seguito	seguido	N;MASC;SG	ADJ;MASC;SG;V.PTCP
seguito	seguí	seguito	seguir	N;MASC;SG	V;IND;SG;1;PST;FIN
seguito	siguió	seguito	seguir	N;MASC;SG	V;IND;SG;3;PST;FIN
seguito	seguida	seguito	seguido	N;MASC;SG	ADJ;FEM;SG;V.PTCP
aveva	tenido	avere	tener	V;IND;SG;3;IPFV;FIN	ADJ;MASC;SG;V.PTCP
aveva	tuvo	avere	tener	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
aveva	había	avere	haber	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
altre	otras	altro	otro	DET;FEM;PL	PRO;FEM;PL
altre	otro	altro	otro	DET;FEM;PL	PRO;MASC;SG
altre	otros	altro	otro	DET;FEM;PL	PRO;MASC;PL
altre	otras	altro	otro	DET;FEM;PL	PRO;FEM;PL
altre	otros	altro	otro	DET;FEM;PL	PRO;MASC;PL
alcuni	some	alcuno	some	PRO;MASC;PL	N
ancora	again	ancora	again	ADV	N
ancora	todavia	ancora	todavia	ADV	INTJ
ancora	still	ancora	still	ADV	N
francese	francés	francese	francés	ADJ;SG	N;MASC;SG
francese	franceses	francese	francés	ADJ;SG	N;MASC;PL
seconda	segundos	secondo	segundo	ADJ;FEM;SG	N;MASC;PL
seconda	segundas	secondo	segundo	ADJ;FEM;SG	ADJ;FEM;PL
finale	final	finale	final	ADJ;SG	N;MASC;SG
finale	finales	finale	final	ADJ;SG	N;MASC;PL
finale	final	finale	final	ADJ;SG	N;MASC;SG
finale	terminando	finale	terminar	ADJ;SG	V;V.MSDR
campionato	campeonatos	campionato	campeonato	N;MASC;SG	N;MASC;PL
mondo	mundial	mondo	mundial	N;MASC;SG	ADJ;SG
tutto	everything	tutto	everything	PRO;MASC;SG	N
tutto	todas	tutto	todo	PRO;MASC;SG	PRO;FEM;PL
tutto	all	tutto	all	PRO;MASC;SG	N
tutto	todos	tutto	todo	PRO;MASC;SG	PRO;MASC;PL
nazionale	nacionales	nazionale	nacional	ADJ;SG	ADJ;PL
italiana	italianos	italiano	italiano	ADJ;FEM;SG	N;MASC;PL
italiana	italiano	italiano	italiano	ADJ;FEM;SG	N;MASC;SG
circa	sobre	circa	sobre	ADV	ADP
circa	circa	circa	circa	ADV	N;SG
altro	otras	altro	otro	PRO;MASC;SG	PRO;FEM;PL
altro	otros	altro	otro	PRO;MASC;SG	PRO;MASC;PL
altro	más	altro	más	PRO;MASC;SG	ADV
altro	mas	altro	mas	PRO;MASC;SG	ADV
altro	more	altro	more	PRO;MASC;SG	
sotto	debajo	sotto	debajo	ADP	ADV
sotto	abajo	sotto	abajo	ADP	ADV
sotto	debajo	sotto	debajo	ADP	ADV
sotto	under	sotto	under	ADP	PROPN
famiglia	familiar	famiglia	familiar	N;FEM;SG	ADJ;SG
famiglia	familiares	famiglia	familiar	N;FEM;SG	N;MASC;PL
oltre	over	oltre	over	ADV	PROPN
oltre	beyond	oltre	beyond	ADV	N
inoltre	tambien	inoltre	tambien	ADV	
milano	milán	milano	milán	ADJ;MASC;SG	N;MASC;SG
milano	milan	milano	milar	ADJ;MASC;SG	N;MASC;SG
via	away	via	away	ADV	N
via	via	via	via	ADV	
via	vía	via	vía	ADV	
maggio	may	maggio	maber	N;MASC;SG	
nuovo	novedad	nuovo	novedad	ADJ;MASC;SG	N;FEM;SG
nuovo	nuevas	nuovo	nuevo	ADJ;MASC;SG	ADJ;FEM;PL
nuovo	nuevos	nuovo	nuevo	ADJ;MASC;SG	ADJ;MASC;PL
nuovo	novedades	nuovo	novedad	ADJ;MASC;SG	N;FEM;PL
perché	porque	perché	porque	ADV	CONJ
perché	porqué	perché	porqué	ADV	
perché	why	perché	why	ADV	
generale	generalidades	generale	generalidad	ADJ;SG	N;FEM;PL
generale	generales	generale	general	ADJ;SG	N;MASC;PL
generale	general	generale	general	ADJ;SG	N;SG
marzo	marchen	marzo	marchen	N;MASC;SG	V;IMP;PL;3;FIN
sue	sue	suo	ser	DET;FEM;PL	PROPN
sue	demandar	suo	demandar	DET;FEM;PL	V;NFIN
giugno	june	giugno	june	N;MASC;SG	PROPN
agosto	august	agosto	augusto	N;MASC;SG	PROPN
agosto	ago	agosto	ago	N;MASC;SG	
opera	opera	opera	operar	N;FEM;SG	V;IND;SG;3;PRS;FIN
fra	fra	fra	fra	ADP	
verso	hacia	verso	hacia	N;MASC;SG	ADP
aprile	april	aprile	april	N;MASC;SG	PROPN
giovanni	juan	giovanne	juan	N;MASC;SG	PROPN
giovanni	john	giovanne	john	N;MASC;SG	PROPN
insieme	juntos	insieme	junto	ADV	ADJ;MASC;PL
insieme	juntas	insieme	junto	ADV	ADJ;FEM;PL
insieme	together	insieme	together	ADV	N
maria	maria	maria	mario	N;FEM;SG	
maria	maria	maria	mario	N;FEM;SG	
nuova	novedad	nuovo	novedad	ADJ;FEM;SG	N;FEM;SG
nuova	nuevas	nuovo	nuevo	ADJ;FEM;SG	ADJ;FEM;PL
nuova	nuevos	nuovo	nuevo	ADJ;FEM;SG	ADJ;MASC;PL
nuova	novedades	nuovo	novedad	ADJ;FEM;SG	N;FEM;PL
john	juan	john	juan	N;SG	PROPN
john	john	john	john	N;SG	PROPN
centro	centrar	centro	centrar	N;MASC;SG	V;NFIN
inglese	ingles	inglese	ingle	N;SG	
quattro	four	quattro	four	NUM	N
interno	interior	interno	interior	ADJ;MASC;SG	N;MASC;SG
interno	interiores	interno	interior	ADJ;MASC;SG	ADJ;PL
interno	interior	interno	interior	ADJ;MASC;SG	N;MASC;SG
alcune	algunas	alcuno	alguno	DET;FEM;PL	PRO;FEM;PL
alcune	algunos	alcuno	alguno	DET;FEM;PL	PRO;MASC;PL
alcune	some	alcuno	some	DET;FEM;PL	N
tutte	todas	tutto	todo	DET;FEM;PL	PRO;FEM;PL
tutte	all	tutto	all	DET;FEM;PL	N
tutte	todo	tutto	todo	DET;FEM;PL	PRO;MASC;SG
tutte	todos	tutto	todo	DET;FEM;PL	PRO;MASC;PL
qui	aca	qui	acair	ADV	INTJ
qui	aqui	qui	aqui	ADV	INTJ
nord	nord	nord	nord	N;MASC;SG	
diretto	directamente	diretto	directamente	ADJ;MASC;SG	ADV
diretto	direct	diretto	directo	ADJ;MASC;SG	N
diretto	directos	diretto	directo	ADJ;MASC;SG	ADJ;MASC;PL
diretto	directas	diretto	directo	ADJ;MASC;SG	ADJ;FEM;PL
ultimo	last	ultimo	last	ADJ;MASC;SG	N
ultimo	últimos	ultimo	último	ADJ;MASC;SG	ADJ;MASC;PL
sfondo	antecedentes	sfondo	antecedente	N;MASC;SG	N;MASC;PL
codice	códigos	codice	código	N;MASC;SG	N;MASC;PL
oggi	today	oggi	today	ADV	N
trova	encuentre	trovare	encontrar	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
trova	hallazgo	trovare	hallazgo	V;IND;SG;3;PRS;FIN	N;MASC;SG
trova	hallazgos	trovare	hallazgo	V;IND;SG;3;PRS;FIN	N;MASC;PL
allenatore	formadores	allenatore	formador	N;MASC;SG	N;MASC;PL
maggiore	comandante	maggiore	comandante	ADJ;CMPR;SG	N;SG
maggiore	major	maggiore	major	ADJ;CMPR;SG	N
sud	sud	sud	sud	N;MASC;SG	
sud	sureña	sud	sureño	N;MASC;SG	ADJ;FEM;SG
sud	meridional	sud	meridional	N;MASC;SG	ADJ;SG
sud	sureño	sud	sureño	N;MASC;SG	ADJ;MASC;SG
discussione	discusiones	discussione	discusión	N;FEM;SG	N;FEM;PL
discussione	debatir	discussione	debatir	N;FEM;SG	V;NFIN
linea	line	linea	line	N;FEM;SG	
santa	santo	santo	santo	N;FEM;SG	
santa	santa	santo	santo	N;FEM;SG	ADJ;FEM;SG
santa	santa	santo	santo	N;FEM;SG	ADJ;FEM;SG
pubblicato	publicados	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
pubblicato	publicado	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
pubblicato	publicada	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
pubblicato	publicados	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
pubblicato	publicadas	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
pubblicato	publicada	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
pubblicato	publicado	pubblicare	publicado	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
carlo	carl	carlo	carl	N;MASC;SG	PROPN
carlo	carlo	carlo	carlo	N;MASC;SG	PROPN
carlo	karl	carlo	karl	N;MASC;SG	PROPN
progetto	proyectar	progetto	proyectar	N;MASC;SG	V;NFIN
primi	primera	primo	primero	ADJ;MASC;PL	ADJ;FEM;SG
primi	primer	primo	primero	ADJ;MASC;PL	ADJ;MASC;SG
primi	primero	primo	primero	ADJ;MASC;PL	ADV
possono	pueden	potere	poder	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
possono	puedo	potere	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;1;PRS;FIN
possono	lata	potere	lata	V;IND;PL;3;PRS;FIN	N;FEM;SG
possono	can	potere	can	V;IND;PL;3;PRS;FIN	PROPN
possono	puede	potere	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
mai	mai	mai	mai	ADV	N;MASC
mai	never	mai	never	ADV	N
mai	jamas	mai	jama	ADV	
lungo	largos	lungo	largo	ADJ;MASC;SG	ADJ;MASC;PL
lungo	long	lungo	long	ADJ;MASC;SG	
uso	usar	uso	usar	N;MASC;SG	V;NFIN
uso	utilizar	uso	utilizar	N;MASC;SG	V;NFIN
tedesco	alemanes	tedesco	alemán	ADJ;MASC;SG	N;MASC;PL
tedesco	alemán	tedesco	alemán	ADJ;MASC;SG	N;MASC;SG
tedesco	aleman	tedesco	alemar	ADJ;MASC;SG	N;MASC;SG
uniti	united	unito	united	ADJ;MASC;PL	N;SG
uniti	unido	unito	unido	ADJ;MASC;PL	ADJ;MASC;SG;V.PTCP
uniti	unió	unito	unir	ADJ;MASC;PL	V;IND;SG;3;PST;FIN
uniti	unida	unito	unido	ADJ;MASC;PL	ADJ;FEM;SG;V.PTCP
lavoro	job	lavoro	job	N;MASC;SG	INTJ
lavoro	trabajos	lavoro	trabajo	N;MASC;SG	N;MASC;PL
lavoro	trabaje	lavoro	trabaje	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
lavoro	trabajar	lavoro	trabajar	N;MASC;SG	V;NFIN
giorno	day	giorno	day	N;MASC;SG	
principale	main	principale	main	ADJ;SG	N
principale	principales	principale	principal	ADJ;SG	ADJ;PL
spesso	frecuente	spesso	frecuente	ADV	ADJ;SG
spesso	frecuentes	spesso	frecuente	ADV	ADJ;PL
spesso	menudo	spesso	menudo	ADV	N
regno	reinar	regno	reinar	N;MASC;SG	V;NFIN
regno	reinado	regno	reinado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
ben	ben	bene	ben	ADV	PROPN
persone	pueblo	persona	pueblo	N;FEM;PL	N;MASC;SG
persone	gente	persona	gente	N;FEM;PL	N;FEM;SG
pagine	pagina	pagina	pagina	N;FEM;PL	N;FEM;SG
pagine	página	pagina	página	N;FEM;PL	N;FEM;SG
set	fijado	set	fijado	N;MASC	ADJ;MASC;SG;V.PTCP
inizio	empezar	inizio	empezar	N;MASC;SG	V;NFIN
inizio	empezando	inizio	empezar	N;MASC;SG	V;V.MSDR
inizio	comenzando	inizio	comenzar	N;MASC;SG	V;V.MSDR
jpg	jpg	jpg	jpg	N	PROPN
rispetto	respeten	rispetto	respetar	ADV	V;IMP;PL;3;FIN
rispetto	respeto	rispetto	respeto	ADV	N;MASC;SG
rispetto	respetar	rispetto	respetar	ADV	V;NFIN
rispetto	respeta	rispetto	respetar	ADV	V;IND;SG;3;PRS;FIN
francesco	francisco	francesco	francisco	ADJ;MASC;SG	N;MASC;SG
francesco	francis	francesco	francis	ADJ;MASC;SG	PROPN
francesco	francesco	francesco	francesco	ADJ;MASC;SG	N;MASC;SG
queste	éstas	questo	este	DET;FEM;PL	PRO;FEM;PL
queste	estos	questo	este	DET;FEM;PL	PRO;MASC;PL
queste	estas	questo	este	DET;FEM;PL	PRO;FEM;PL
queste	éstos	questo	este	DET;FEM;PL	PRO;MASC;PL
militare	ejército	militare	ejército	ADJ;SG	N;MASC;SG
militare	militares	militare	militar	ADJ;SG	N;PL
carriera	carreras	carriera	carrera	N;FEM;SG	N;FEM;PL
scritto	escrito	scrivere	escrito	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
scritto	escritas	scrivere	escrito	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
scritto	escrita	scrivere	escrito	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
scritto	escritos	scrivere	escrito	V;MASC;SG;PST;V.PTCP	N;MASC;PL
scritto	escribía	scrivere	escribir	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
ora	now	ora	now	ADV	
antonio	anthony	antonio	anthony	N;MASC;SG	PROPN
giuseppe	josé	giuseppo	josé	N;MASC;SG	PROPN
giuseppe	giuseppe	giuseppo	giuseppe	N;MASC;SG	PROPN
diversi	distinta	diverso	distinto	DET;MASC;PL	ADJ;FEM;SG
diversi	diferente	diverso	diferente	DET;MASC;PL	ADJ;SG
diversi	distintos	diverso	distinto	DET;MASC;PL	PRO;MASC;PL
diversi	distinto	diverso	distinto	DET;MASC;PL	ADJ;MASC;SG
diversi	diferentes	diverso	diferente	DET;MASC;PL	ADJ;PL
diversi	varios	diverso	varios	DET;MASC;PL	PRO;MASC;PL
diversi	varias	diverso	varios	DET;MASC;PL	PRO;FEM;PL
quasi	cuasi	quasi	cuasi	ADV	
data	cita	dare	cita	V;FEM;SG;PST;V.PTCP	N;FEM;SG
data	fecha	dare	fecha	V;FEM;SG;PST;V.PTCP	N;FEM;SG
data	date	dare	date	V;FEM;SG;PST;V.PTCP	V;IND;SG;2;PRS;FIN
data	data	dare	datar	V;FEM;SG;PST;V.PTCP	N;FEM;SG
data	dato	dare	dato	V;FEM;SG;PST;V.PTCP	N;MASC;SG
data	datos	dare	dato	V;FEM;SG;PST;V.PTCP	N;MASC;PL
terra	terrestre	terra	terrestre	N;FEM;SG	ADJ;SG
terra	terrenos	terra	terreno	N;FEM;SG	N;MASC;PL
terra	tierras	terra	tierra	N;FEM;SG	N;FEM;PL
successo	exitos	successo	exito	N;MASC;SG	N;MASC;PL
successo	éxitos	successo	éxito	N;MASC;SG	N;MASC;PL
opere	trabaja	opera	trabajar	N;FEM;PL	V;IND;SG;3;PRS;FIN
opere	funciona	opera	funcionar	N;FEM;PL	V;IND;SG;3;PRS;FIN
ordine	ordenar	ordine	ordenar	N;MASC;SG	V;NFIN
ordine	pedido	ordine	pedido	N;MASC;SG	ADJ;MASC;SG;V.PTCP
ordine	pedidos	ordine	pedido	N;MASC;SG	ADJ;MASC;PL;V.PTCP
strada	calles	strada	calle	N;FEM;SG	N;FEM;PL
corpo	corporal	corpo	corporal	N;MASC;SG	ADJ;SG
corpo	carrocería	corpo	carrocería	N;MASC;SG	V;COND;SG;3;FIN
col	col	col	col	ADJ;SG	
quest	quest	quest	quest	ADJ;SG	N
lug	lug	lug	lug	N	
ultima	last	ultimo	last	ADJ;FEM;SG	N
ultima	últimos	ultimo	último	ADJ;FEM;SG	ADJ;MASC;PL
cura	cure	cura	cure	N;FEM;SG	V;IMP;SG;3;FIN
cura	curar	cura	curar	N;FEM;SG	V;NFIN
cura	cuidados	cura	cuidado	N;FEM;SG	ADJ;MASC;PL;V.PTCP
cura	cuidado	cura	cuidado	N;FEM;SG	ADJ;MASC;SG;V.PTCP
cura	care	cura	care	N;FEM;SG	PROPN
francia	francia	francia	francia	N;FEM;SG	PROPN
lingua	idiomas	lingua	idioma	N;FEM;SG	N;MASC;PL
livello	capas	livello	capa	N;MASC;SG	N;FEM;PL
battaglia	batallas	battaglia	batalla	N;FEM;SG	N;FEM;PL
premio	premiado	premio	premiado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
premio	premios	premio	premio	N;MASC;SG	N;MASC;PL
ott	ott	ott	ott	N	PROPN
disciplina	disciplina	disciplinare	disciplina	V;IND;SG;3;PRS;FIN	N;FEM;SG
sui	sui	sui	sui	ADJ;SG	
studio	estudiar	studio	estudiar	N;MASC;SG	V;NFIN
studio	estudia	studio	estudiar	N;MASC;SG	V;IND;SG;3;PRS;FIN
oro	dorada	oro	dorado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
oro	dorado	oro	dorado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
singolo	soltero	singolo	soltero	ADJ;MASC;SG	N;MASC;SG
singolo	soltera	singolo	soltera	ADJ;MASC;SG	N;FEM;SG
singolo	single	singolo	single	ADJ;MASC;SG	N;MASC;SG
diverse	distinta	diverso	distinto	ADJ;FEM;PL	ADJ;FEM;SG
diverse	diferente	diverso	diferente	ADJ;FEM;PL	ADJ;SG
diverse	distintos	diverso	distinto	ADJ;FEM;PL	PRO;MASC;PL
diverse	distinto	diverso	distinto	ADJ;FEM;PL	ADJ;MASC;SG
cantante	singer	cantante	singer	N;SG	PROPN
storico	históricas	storico	histórico	ADJ;MASC;SG	ADJ;FEM;PL
storico	históricos	storico	histórico	ADJ;MASC;SG	ADJ;MASC;PL
storico	historiador	storico	historiador	ADJ;MASC;SG	N;MASC;SG
storico	históricas	storico	histórico	ADJ;MASC;SG	ADJ;FEM;PL
storico	históricos	storico	histórico	ADJ;MASC;SG	ADJ;MASC;PL
york	york	york	york	ADJ;MASC	PROPN
precedente	precedentes	precedente	precedente	ADJ;SG	N;MASC;PL
precedente	precedente	precedente	precedente	ADJ;SG	
precedente	anteriores	precedente	anterior	ADJ;SG	ADJ;PL
precedente	previos	precedente	previo	ADJ;SG	ADJ;MASC;PL
chi	chi	chi	chi	PRO	N;MASC;SG
chi	ji	chi	ji	PRO	N
chi	oms	chi	oms	PRO	N;FEM;SG
chi	quiénes	chi	quién	PRO	PRO;PL
chi	quién	chi	quién	PRO	PRO;SG
paolo	paul	paolo	paul	N;MASC;SG	PROPN
attraverso	through	attraverso	through	ADP	N
possibile	posibles	possibile	posible	ADJ;SG	ADJ;PL
nov	nov	nov	nov	N;MASC	
avere	han	avere	haber	V;NFIN	V;IND;PL;3;PRS;FIN
fosse	fosse	essere	fosse	V;SBJV;SG;3;IPFV;FIN	N;SG
fosse	foso	essere	foso	V;SBJV;SG;3;IPFV;FIN	N;MASC;SG
dato	dados	dare	dado	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
originale	originales	originale	original	ADJ;SG	ADJ;PL
apr	apr	apr	apr	N;MASC	
grandi	large	grande	large	ADJ;PL	N
grandi	grande	grande	grande	ADJ;PL	ADJ;SG
grandi	grandi	grande	grandi	ADJ;PL	PROPN
grandi	grandioso	grande	grandioso	ADJ;PL	ADJ;MASC;SG
grandi	genial	grande	genial	ADJ;PL	ADJ;SG
grandi	estupendo	grande	estupendo	ADJ;PL	ADJ;MASC;SG
grandi	gran	grande	gran	ADJ;PL	ADJ;SG
grandi	big	grande	big	ADJ;PL	N
grandi	grande	grande	grande	ADJ;PL	ADJ;SG
grandi	gran	grande	gran	ADJ;PL	ADJ;SG
capo	chief	capo	chief	N;MASC;SG	PROPN
dic	dec	dire	dec	N	
dic	dic	dire	decir	N	
dic	dic	dire	decir	N	
iii	iii	iii	iii	ADJ;SG	
parigi	parís	parigo	parís	N;MASC;SG	PROPN
nonostante	apesar	nonostante	apesar	ADV	
sembra	miradas	sembrare	mirada	V;IND;SG;3;PRS;FIN	N;FEM;PL
sembra	aspecto	sembrare	aspecto	V;IND;SG;3;PRS;FIN	N;MASC;SG
sembra	looks	sembrare	look	V;IND;SG;3;PRS;FIN	N;MASC;PL
terzo	terceros	terzo	tercero	ADJ;MASC;SG	N;MASC;PL
ufficiale	funcionario	ufficiale	funcionario	ADJ;SG	N;MASC;SG
ufficiale	official	ufficiale	official	ADJ;SG	N
ufficiale	funcionaria	ufficiale	funcionaria	ADJ;SG	N;FEM;SG
