for	varten	for	varten	ADP	ADV
alle	kaikki	al	kaikki	ADJ;PL	PRO;NOM;SG
alle	jokainen	al	jokainen	ADJ;PL	PRO;NOM;SG
alle	kaikille	al	kaikki	ADJ;PL	PRO;AT+ALL;PL
alle	kaikki	al	kaikki	ADJ;PL	PRO;NOM;SG
danmark	tanska	danmark	tanska		PROPN;NOM;SG
mange	monet	mange	moni	ADJ;PL	PRO;NOM;PL
mange	monia	mange	moni	ADJ;PL	PRO;PRT;PL
mange	monta	mange	moni	ADJ;PL	PRO;PRT;SG
mange	moni	mange	moni	ADJ;PL	PRO;NOM;SG
team	team	team	team	N;INDF;NEUT;SG	
kunne	vois	kunne	voida	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
kunne	voisi	kunne	voida	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
danske	tanskan	dansk	tanska	ADJ;PL	N;GEN;SG
danske	tanska	dansk	tanska	ADJ;PL	PROPN;NOM;SG
danske	tanskalainen	dansk	tanskalainen	ADJ;PL	ADJ;NOM;SG
danske	danske	dansk	danske	ADJ;PL	PROPN;NOM;SG
senere	myöhempi	senere	myöhä	ADV;CMPR	ADJ;NOM;CMPR;SG
tidligere	aikaisempi	tidligere	aikainen	ADV;CMPR	ADJ;NOM;CMPR;SG
tidligere	aiempi	tidligere	aiempi	ADV;CMPR	ADJ;NOM;SG
tidligere	entinen	tidligere	entinen	ADV;CMPR	ADJ;NOM;SG
tidligere	entiset	tidligere	entinen	ADV;CMPR	ADJ;NOM;PL
tidligere	aikaisemmat	tidligere	aikainen	ADV;CMPR	ADJ;NOM;CMPR;PL
tidligere	aiempi	tidligere	aiempi	ADV;CMPR	ADJ;NOM;SG
tidligere	edellinen	tidligere	edellinen	ADV;CMPR	ADJ;NOM;SG
tidligere	edelliset	tidligere	edellinen	ADV;CMPR	ADJ;NOM;PL
tidligere	aiemmat	tidligere	aiempi	ADV;CMPR	ADJ;NOM;PL
siden	sivu	siden	sivu	ADV	N;NOM;SG
siden	sivulla	siden	sivu	ADV	N;AT+ESS
;SG
skal	pitäisi	skulle	pitää	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN;ACT
skal	pitäis	skulle	pitää	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN;ACT
skal	pitäisikö	skulle	pitää	V;IND;PRS;FIN;ACT	V;COND;SG;3;FIN;ACT
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	PROPN;NOM;SG
skal	kuori	skulle	kuori	V;IND;PRS;FIN;ACT	N;NOM;SG
skal	täytyy	skulle	täytyä	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
have	puutarha	have	puu#tarha	V;NFIN;ACT	N;NOM;SG
store	iso	stor	iso	ADJ;PL	ADJ;NOM;SG
store	suuri	stor	suuri	ADJ;PL	ADJ;NOM;SG
store	iso	stor	iso	ADJ;PL	ADJ;NOM;SG
store	suuri	stor	suuri	ADJ;PL	ADJ;NOM;SG
meget	hyvin	meget	hyvin	ADJ;INDF;SG	ADV
meget	erittäin	meget	erittäin	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	
meget	paljon	meget	paljon	ADJ;INDF;SG	ADV
meget	paljo	meget	paljon	ADJ;INDF;SG	ADV
været	ollut	være	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
været	ollu	være	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
været	oltu	være	olla	V;INDF;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
samme	sama	samme	sama	ADJ	PRO;NOM;SG
samme	samoin	samme	samoin	ADJ	ADV
samme	samaa	samme	sama	ADJ	PRO;PRT;SG
vil	will	ville	will	V;IND;PRS;FIN;ACT	
vil	tahto	ville	tahto	V;IND;PRS;FIN;ACT	N;NOM;SG
vil	haluu	ville	haluta	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
seed	siemeniä	seed	siemen		N;PRT;PL
seed	siemen	seed	siemi		N;NOM;SG
seed	siemenet	seed	siemen		N;NOM;PL
seed	siementen	seed	siemen		N;GEN;PL
omkring	maisemissa	omkring	maisema	ADV	N;IN+ESS;PL
selv	edes	selv	edes	PRO	ADV
selv	jopa	selv	jopa	PRO	ADV
københavn	kööpenhaminassa	københavn	kööpen#hamina	PROPN	N;IN+ESS;SG
københavn	kööpenhaminan	københavn	kööpen#hamina	PROPN	N;GEN;SG
københavn	kööpenhamina	københavn	kööpenhama	PROPN	N;NOM;SG
kom	tulis	komme	tulis	V;IND;PST;FIN;ACT	V;COND;SG;2;FIN;ACT
skulle	pitäisi	skulle	pitää	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
skulle	pitäis	skulle	pitää	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
skulle	pitäisikö	skulle	pitää	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
and	ankka	and	ankka		N;NOM;SG
and	ankkaa	and	ankaa		N;PRT;SG
and	duck	and	duck		N;NOM;SG
tre	tre	tre	tre	NUM	INTJ
blandt	joukossa	blandt	joukko	ADP	N;IN+ESS;SG
blandt	keskuudessa	blandt	keskuudessa	ADP	ADV
blandt	joukossa	blandt	joukko	ADP	N;IN+ESS;SG
blandt	keskuudessa	blandt	keskuudessa	ADP	ADV
byen	city	by	city	N;DEF;MASC+FEM;SG	PROPN;NOM;SG
nogle	osa	nogen	osa	PRO;PL	N;NOM;SG
maj	voi	maj	voi	N;INDF;MASC+FEM;SG	INTJ
anden	toisena	anden	toinen	PRO;MASC+FEM;SG	ADJ;FRML;SG
anden	toiseksi	anden	toinen	PRO;MASC+FEM;SG	ADJ;TRANS;SG
anden	toinen	anden	toinen	PRO;MASC+FEM;SG	PRO;NOM;SG
andet	toisena	anden	toinen	PRO;NEUT;SG	ADJ;FRML;SG
andet	toiseksi	anden	toinen	PRO;NEUT;SG	ADJ;TRANS;SG
andet	toinen	anden	toinen	PRO;NEUT;SG	PRO;NOM;SG
andet	muut	anden	muu	PRO;NEUT;SG	PRO;NOM;PL
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	
her	tässä	her	tämä	ADV	PRO;IN+ESS;SG
tilbage	selkä	tilbage	selkä	ADV	N;NOM;SG
cest	cest	cest	cest		N;NOM;SG
død	death	død	death	N;INDF;MASC+FEM;SG	
død	kuolleet	død	kuolla	N;INDF;MASC+FEM;SG	V;NOM;PL;V.PTCP;ACT
død	kuollut	død	kuolla	N;INDF;MASC+FEM;SG	V;NOM;SG;V.PTCP;ACT
forskellige	erilainen	forskellig	erilainen	ADJ;PL	ADJ;NOM;SG
forskellige	erilaista	forskellig	erilainen	ADJ;PL	ADJ;PRT;SG
nye	uusi	ny	uusi	ADJ;PL	ADJ;NOM;SG
nye	uutta	ny	uusi	ADJ;PL	ADJ;PRT;SG
både	veneet	både	vene	ADV	N;NOM;PL
både	veneitä	både	vene	ADV	N;PRT;PL
både	laivat	både	laiva	ADV	N;NOM;PL
både	molemmat	både	molemmat	ADV	PRO;NOM;PL
både	molempia	både	molemmat	ADV	PRO;PRT;PL
både	kumpikin	både	kumpikin	ADV	PRO;NOM;SG
gennem	via	gennem	via	ADV	N;NOM;SG
stor	suuret	stor	suuri	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
stor	suuria	stor	suuri	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;PL
stor	isot	stor	iso	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
usa	america	usa	america	PROPN	
usa	amerikan	usa	amerikka	PROPN	N;GEN;SG
usa	amerikka	usa	amerikka	PROPN	N;NOM;SG
usa	usa	usa	usa	PROPN	N;NOM;SG
usa	yhdysvaltojen	usa	yhdysvallat	PROPN	N;GEN;PL
hold	ryhmät	holde	ryhmä	V;IMP	N;NOM;PL
hold	joukkueet	holde	joukkue	V;IMP	N;NOM;PL
hold	tiimi	holde	tiimi	V;IMP	N;NOM;SG
hold	ryhmä	holde	ryhmä	V;IMP	N;NOM;SG
hold	joukkue	holde	joukkue	V;IMP	N;NOM;SG
hold	team	holde	team	V;IMP	
når	milloin	når	milloin	CONJ	ADV
kendt	tiedossa	kendt	tieto	ADJ;INDF;SG	N;IN+ESS;SG
kendt	tunnetaan	kendt	tuntea	ADJ;INDF;SG	V;IND;PRS;FIN;PASS
kendt	tunnetut	kendt	tunnettu	ADJ;INDF;SG	ADJ;NOM;PL
kendt	kuuluisia	kendt	kuuluisa	ADJ;INDF;SG	ADJ;PRT;PL
kendt	kuuluisat	kendt	kuuluisa	ADJ;INDF;SG	ADJ;NOM;PL
hvilket	jonka	hvilken	joka	PRO;NEUT;SG	PRO;GEN;SG
hvilket	joka	hvilken	joka	PRO;NEUT;SG	PRO;NOM;SG
hvilket	jota	hvilken	joka	PRO;NEUT;SG	PRO;PRT;SG
hvilket	johon	hvilken	joka	PRO;NEUT;SG	PRO;IN+ALL;SG
hvilket	jotka	hvilken	joka	PRO;NEUT;SG	PRO;NOM;PL
mest	useimmat	mest	usea	ADV;RL	ADJ;NOM;RL;PL
mest	useimmilla	mest	usea	ADV;RL	ADJ;AT+ESS
;RL;PL
mest	useimpia	mest	usea	ADV;RL	ADJ;PRT;CMPR;PL
marts	marssi	marts	marssia	N;INDF;MASC+FEM;SG	V;IND;SG;3;PST;FIN;ACT
marts	marssia	marts	marssi	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
hele	kokonaiset	hel	kokonainen	ADJ;DEF;SG	ADJ;NOM;PL
juli	juli	juli	julin	N;INDF;MASC+FEM;SG	INTJ
række	rivit	række	rivi	N;INDF;MASC+FEM;SG	N;NOM;PL
style	style	style	style		N;NOM;SG
style	tyyliä	style	tyyli		N;PRT;SG
style	tyyli	style	tyyli		N;NOM;SG
jpg	jpg	jpg	jpg		N;NOM;SG
ville	olisi	ville	olla	V;IND;PST;FIN;ACT	V;COND;SG;3;FIN;ACT
først	ensimmäinen	først	ensimmäinen	ADV	ADJ;NOM;SG
først	eka	først	ensin	ADV	N;NOM;SG
mål	maalit	mål	maali	N;INDF;NEUT;SG	N;NOM;PL
mål	tavoitteita	mål	tavoite	N;INDF;NEUT;SG	N;PRT;PL
mål	maaleja	mål	maali	N;INDF;NEUT;SG	N;PRT;PL
mål	tavoitteet	mål	tavoite	N;INDF;NEUT;SG	N;NOM;PL
mål	kohteet	mål	kohde	N;INDF;NEUT;SG	N;NOM;PL
film	elokuva	film	elo#kuva	N;INDF;MASC+FEM;PL	N;NOM;SG
film	kalvo	film	kalvo	N;INDF;MASC+FEM;PL	N;NOM;SG
film	filmi	film	filmi	N;INDF;MASC+FEM;PL	N;NOM;SG
film	elokuvan	film	elo#kuva	N;INDF;MASC+FEM;PL	N;GEN;SG
film	elokuva	film	elo#kuva	N;INDF;MASC+FEM;PL	N;NOM;SG
film	leffa	film	leffa	N;INDF;MASC+FEM;PL	N;NOM;SG
sidste	last	sidste	last	ADJ	
sidste	viimeksi	sidste	viimeksi	ADJ	ADV
sidste	viimeisin	sidste	viimeinen	ADJ	ADJ;NOM;RL;SG
tyske	saksaa	tysk	saksa	ADJ;PL	N;PRT;SG
tyske	saksalainen	tysk	saksalainen	ADJ;PL	ADJ;NOM;SG
tyske	saksa	tysk	saksa	ADJ;PL	PROPN;NOM;SG
tyske	saksaksi	tysk	saksa	ADJ;PL	N;TRANS;SG
tyske	saksan	tysk	saksa	ADJ;PL	N;GEN;SG
fire	nelonen	fire	nelonen	NUM	N;NOM;SG
mindre	pienempiä	mindre	pieni	ADV;CMPR	ADJ;PRT;CMPR;PL
mindre	pienemmän	mindre	pieni	ADV;CMPR	ADJ;GEN;CMPR;SG
mindre	pienemmät	mindre	pieni	ADV;CMPR	ADJ;NOM;CMPR;PL
mindre	pienempi	mindre	pieni	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	alaikäinen	mindre	alaikäinen	ADV;CMPR	ADJ;NOM;SG
mindre	vähäinen	mindre	vähäinen	ADV;CMPR	ADJ;NOM;SG
christian	kristityt	christian	kristityt		N;NOM;PL
christian	kristitty	christian	kristitty		ADJ;NOM;SG
christian	christian	christian	christian		N;NOM;SG
christian	kristillinen	christian	kristillinen		ADJ;NOM;SG
christian	kristian	christian	kristian		N;NOM;SG
hjemmeside	etusivu	hjemmeside	etu#sivu	N;INDF;MASC+FEM;SG	
cet	cet	cet	cet		PROPN;NOM;SG
alt	kaikki	al	kaikki	ADJ;NEUT;SG	PRO;NOM;SG
alt	kaiken	al	kaikki	ADJ;NEUT;SG	PRO;GEN;SG
alt	kaikille	al	kaikki	ADJ;NEUT;SG	PRO;AT+ALL;PL
alt	kaikki	al	kaikki	ADJ;NEUT;SG	PRO;NOM;SG
side	puoli	side	puoli	N;INDF;MASC+FEM;SG	NUM;NOM;SG
spillede	pelattu	spille	pelata	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
spillede	soitettu	spille	soittaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
tog	juna	tage	juna	V;IND;PST;FIN;ACT	N;NOM;SG
tog	junalla	tage	juna	V;IND;PST;FIN;ACT	N;AT+ESS
;SG
tog	junan	tage	juna	V;IND;PST;FIN;ACT	N;GEN;SG
tog	junia	tage	juna	V;IND;PST;FIN;ACT	N;PRT;PL
tog	junien	tage	juni	V;IND;PST;FIN;ACT	N;GEN;PL
tog	junat	tage	juna	V;IND;PST;FIN;ACT	N;NOM;PL
amerikansk	amerikan	amerikansk	amerikka	ADJ;INDF;SG	N;GEN;SG
amerikansk	amerikkalaiset	amerikansk	amerikkalainen	ADJ;INDF;SG	N;NOM;PL
amerikansk	american	amerikansk	america	ADJ;INDF;SG	
lille	pienet	lille	pieni	ADJ;SG	ADJ;NOM;PL
lille	vähä	lille	vähän	ADJ;SG	ADV
lille	lille	lille	lille	ADJ;SG	
not	ei	not	ei		V;SG;3;NEG;FIN;ACT
hendes	hänen	hendes	hän	DET;3	PRO;GEN;SG;3
von	von	von	von		PROPN;NOM;SG
hvad	mitä	hvad	mikä	PRO;SG	PRO;PRT;SG
hvad	mikä	hvad	mikä	PRO;SG	PRO;NOM;SG
nord	nord	nord	nord	N;INDF	PROPN;NOM;SG
kort	kartta	kort	kartta	ADJ;INDF;SG	N;NOM;SG
kort	karttaa	kort	kartta	ADJ;INDF;SG	N;PRT;SG
kort	lyhyet	kort	lyhyt	ADJ;INDF;SG	ADJ;NOM;PL
kort	karttoja	kort	kartta	ADJ;INDF;SG	N;PRT;PL
kort	kartat	kort	kartta	ADJ;INDF;SG	N;NOM;PL
kort	cards	kort	cards	ADJ;INDF;SG	
kort	kortit	kort	kortti	ADJ;INDF;SG	N;NOM;PL
kort	kortteja	kort	kortti	ADJ;INDF;SG	N;PRT;PL
kort	korttia	kort	kortti	ADJ;INDF;SG	N;PRT;SG
kort	kortin	kort	kortti	ADJ;INDF;SG	N;GEN;SG
kort	kortti	kort	kortti	ADJ;INDF;SG	N;NOM;SG
begyndte	aloitettu	begynde	aloittaa	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
udgivet	vapautuu	udgive	vapautua	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN;ACT
udgivet	julkaistaan	udgive	julkaista	V;INDF;SG;PST;V.PTCP	V;IND;PRS;FIN;PASS
udgivet	julkaistut	udgive	julkaista	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
helt	sankari	helt	sankari	ADV	N;NOM;SG
gamle	vanha	gammel	vanha	ADJ;PL	ADJ;NOM;SG
gamle	vanhaa	gammel	vanha	ADJ;PL	ADJ;PRT;SG
gange	kertaa	gang	kerta	N;INDF;MASC+FEM;PL	N;PRT;SG
gange	times	gang	times	N;INDF;MASC+FEM;PL	
bedste	parhaiten	god	parhaiten	ADJ;DEF;RL	ADV
bedste	best	god	best	ADJ;DEF;RL	
døde	kuolleet	død	kuolla	ADJ;PL	V;NOM;PL;V.PTCP;ACT
døde	kuollut	død	kuolla	ADJ;PL	V;NOM;SG;V.PTCP;ACT
døde	kuolin	død	kuolla	ADJ;PL	V;IND;SG;1;PST;FIN;ACT
døde	kuoli	død	kuolla	ADJ;PL	V;IND;SG;3;PST;FIN;ACT
døde	kuolivat	død	kuolla	ADJ;PL	V;IND;PL;3;PST;FIN;ACT
amerikanske	amerikkalainen	amerikansk	amerikkalainen	ADJ;PL	ADJ;NOM;SG
amerikanske	amerikan	amerikansk	amerikka	ADJ;PL	N;GEN;SG
amerikanske	amerikkalaiset	amerikansk	amerikkalainen	ADJ;PL	N;NOM;PL
amerikanske	american	amerikansk	america	ADJ;PL	
tysk	saksaa	tysk	saksa	ADJ;INDF;SG	N;PRT;SG
tysk	saksa	tysk	saksa	ADJ;INDF;SG	PROPN;NOM;SG
tysk	saksaksi	tysk	saksa	ADJ;INDF;SG	N;TRANS;SG
tysk	saksan	tysk	saksa	ADJ;INDF;SG	N;GEN;SG
meter	metri	meter	metri	N;INDF;MASC+FEM;PL	N;NOM;SG
meter	mittari	meter	mittari	N;INDF;MASC+FEM;PL	N;NOM;SG
meter	metriä	meter	metri	N;INDF;MASC+FEM;PL	N;PRT;SG
meter	metriä	meter	metri	N;INDF;MASC+FEM;PL	N;PRT;SG
stedet	place	sted	place	N;DEF;NEUT;SG	
tyskland	saksa	tyskland	saksa	PROPN	PROPN;NOM;SG
tyskland	saksan	tyskland	saksa	PROPN	N;GEN;SG
lige	hetero	lige	hetero	ADV	N;NOM;SG
lige	suorat	lige	suora	ADV	ADJ;NOM;PL
lige	suora	lige	suora	ADV	ADJ;NOM;SG
lige	tasa	lige	tasa	ADV	N;NOM;SG
lige	equal	lige	equal	ADV	
spillet	peliä	spille	peli	V;INDF;SG;PST;V.PTCP	N;PRT;SG
spillet	pelin	spille	peli	V;INDF;SG;PST;V.PTCP	N;GEN;SG
spillet	peli	spille	peli	V;INDF;SG;PST;V.PTCP	N;NOM;SG
peter	pekka	peter	pekka		PROPN;NOM;SG
peter	petteri	peter	petteri		N;NOM;SG
peter	peter	peter	peter		PROPN;NOM;SG
peter	pietari	peter	pietari		N;NOM;SG
engelsk	englanti	engelsk	englanti	ADJ;INDF;SG	N;NOM;SG
engelsk	englantia	engelsk	englanti	ADJ;INDF;SG	N;PRT;SG
engelsk	englanniksi	engelsk	englanti	ADJ;INDF;SG	N;TRANS;SG
engelsk	englannin	engelsk	englanti	ADJ;INDF;SG	N;GEN;SG
århundrede	vuosisatojen	århundrede	vuosi#sata	N;INDF;NEUT;SG	N;GEN;PL
århundrede	vuosisatoja	århundrede	vuosi#sata	N;INDF;NEUT;SG	N;PRT;PL
john	johannes	john	johannes	PROPN	PROPN;NOM;SG
john	john	john	joka	PROPN	PROPN;NOM;SG
john	jukka	john	jukka	PROPN	PROPN;NOM;SG
sted	place	sted	place	N;INDF;NEUT;SG	
gift	naimisissa	gift	naimisissa	ADJ;INDF;SG	ADV
gift	myrkky	gift	myrkky	ADJ;INDF;SG	N;NOM;SG
gift	myrkkyä	gift	myrkky	ADJ;INDF;SG	N;PRT;SG
gift	myrkky	gift	myrkky	ADJ;INDF;SG	N;NOM;SG
gift	myrkkyä	gift	myrkky	ADJ;INDF;SG	N;PRT;SG
center	keskelle	center	keskelle	N;INDF;NEUT;SG	ADV
forhold	suhteita	forhold	suhde	N;INDF;NEUT;SG	N;PRT;PL
forhold	suhteet	forhold	suhde	N;INDF;NEUT;SG	N;NOM;PL
forhold	suhteet	forhold	suhde	N;INDF;NEUT;SG	N;NOM;PL
spiller	pelaajan	spille	pelaaja	V;IND;PRS;FIN;ACT	N;GEN;SG
spiller	pelaaja	spille	pelaaja	V;IND;PRS;FIN;ACT	N;NOM;SG
spiller	pelaa	spille	pelata	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
kommer	tulossa	komme	tulo	V;IND;PRS;FIN;ACT	N;IN+ESS;SG
kommer	tullaan	komme	tulla	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
kampe	täsmää	kamp	täsmä	N;INDF;MASC+FEM;PL	V;IMP;SG;2;FIN;ACT
kampe	taistelee	kamp	taistella	N;INDF;MASC+FEM;PL	V;IND;SG;3;PRS;FIN;ACT
kampe	taistella	kamp	taistella	N;INDF;MASC+FEM;PL	V;SG;NFIN;ACT
kampe	taistelevat	kamp	taistella	N;INDF;MASC+FEM;PL	V;IND;PL;3;PRS;FIN;ACT
går	kävelyllä	gå	kävely	V;IND;PRS;FIN;ACT	N;AT+ESS
;SG
går	kävely	gå	kävely	V;IND;PRS;FIN;ACT	N;NOM;SG
går	menossa	gå	meno	V;IND;PRS;FIN;ACT	N;IN+ESS;SG
skrevet	kirjalliset	skrive	kirjallinen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;PL
sverige	ruotsissa	sverig	ruotsi	ADJ;PL	N;IN+ESS;SG
sverige	ruotsi	sverig	ruotsi	ADJ;PL	N;NOM;SG
frederik	fredrik	frederik	fredrik	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
frankrig	ranska	frankrig	ranska		PROPN;NOM;SG
frankrig	ranskan	frankrig	ranska		N;GEN;SG
ned	down	ned	down	ADV	
ned	ned	ned	ned	ADV	PROPN;NOM;SG
form	muodosta	form	muoto	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
godt	hyvää	godt	hyvä	ADV	ADJ;PRT;SG
godt	hyvä	godt	hyvä	ADV	ADJ;NOM;SG
arbejde	työt	arbejde	työ	N;INDF;NEUT;SG	N;NOM;PL
arbejde	töissä	arbejde	työ	N;INDF;NEUT;SG	N;IN+ESS;PL
begge	molemmat	begge	molemmat	PRO;PL	PRO;NOM;PL
begge	molempia	begge	molemmat	PRO;PL	PRO;PRT;PL
begge	kumpikin	begge	kumpikin	PRO;PL	PRO;NOM;SG
norge	norjan	norge	norja	PROPN	N;GEN;SG
norge	norja	norge	norja	PROPN	PROPN;NOM;SG
europa	euroopan	europa	eurooppa	PROPN	PROPN;GEN;SG
europa	eurooppa	europa	eurooppa	PROPN	PROPN;NOM;SG
europa	europa	europa	europa	PROPN	N;NOM;SG
england	englanti	england	englanti	PROPN	N;NOM;SG
england	englannin	england	englanti	PROPN	N;GEN;SG
england	englannista	england	englanti	PROPN	N;IN+ABL;SG
england	englannissa	england	englanti	PROPN	N;IN+ESS;SG
player	pelaajan	play	pelaaja	N;INDF;MASC+FEM;PL	N;GEN;SG
player	pelaaja	play	pelaaja	N;INDF;MASC+FEM;PL	N;NOM;SG
verden	world	verden	world	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	N;NOM;SG
lang	pitkät	lang	pitkä	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
lang	kauan	lang	kauan	ADJ;INDF;MASC+FEM;SG	ADV
lang	pitkään	lang	pitkään	ADJ;INDF;MASC+FEM;SG	ADV
lang	long	lang	long	ADJ;INDF;MASC+FEM;SG	
plads	istuin	plads	istua	N;INDF;MASC+FEM;SG	V;IND;SG;1;PST;FIN;ACT
plads	place	plads	place	N;INDF;MASC+FEM;SG	
plads	space	plads	space	N;INDF;MASC+FEM;SG	
får	lampaan	få	lammas	V;IND;PRS;FIN;ACT	N;GEN;SG
får	lampaat	få	lammas	V;IND;PRS;FIN;ACT	N;NOM;PL
får	lammas	få	lammas	V;IND;PRS;FIN;ACT	N;NOM;SG
får	lampaita	få	lammas	V;IND;PRS;FIN;ACT	N;PRT;PL
samtidig	samanaikaista	samtidig	saman#aikainen	ADV	ADJ;PRT;SG
samtidig	samanaikainen	samtidig	samanaikainen	ADV	ADJ;NOM;SG
stort	suuret	stor	suuri	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
