nakład	усилия	nakład	усилие	N;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
administracja	администратора	administracja	администратор	N;NOM;FEM;SG	N;ANIM;ACC;MASC;SG
administracja	администратором	administracja	администратор	N;NOM;FEM;SG	N;ANIM;INS;MASC;SG
oryginalne	оригинально	oryginalny	оригинально	ADJ;NOM;NEUT;SG	ADV
oryginalne	оригинальные	oryginalny	оригинальный	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
oryginalne	первоначального	oryginalny	первоначальный	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;SG
oryginalne	оригинал	oryginalny	оригинал	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
owadów	насекомые	owad	насекомое	N;GEN;MASC;PL	N;ANIM;NOM;NEUT;PL
owadów	насекомыми	owad	насекомое	N;GEN;MASC;PL	N;ANIM;INS;NEUT;PL
human	человеческое	human	человеческий		ADJ;NOM;NEUT;SG
human	человеческая	human	человеческий		ADJ;NOM;FEM;SG
human	человек	human	человек		N;ANIM;NOM;MASC;SG
human	человека	human	человек		N;ANIM;ACC;MASC;SG
przepływu	поток	przepływ	поток	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
starożytnych	древний	starożytny	древний	ADJ;GEN;MASC;PL	ADJ;NOM;MASC;SG
starożytnych	древние	starożytny	древний	ADJ;GEN;MASC;PL	ADJ;NOM;PL
starożytnych	древняя	starożytny	древний	ADJ;GEN;MASC;PL	ADJ;NOM;FEM;SG
podręcznik	руководство	podręcznik	руководство	N;ACC;MASC;SG	N;INAN;NOM;NEUT;SG
podręcznik	справочник	podręcznik	справочник	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
podręcznik	вручную	podręcznik	вручную	N;ACC;MASC;SG	ADV
podręcznik	руководство	podręcznik	руководство	N;ACC;MASC;SG	N;INAN;NOM;NEUT;SG
podręcznik	учебник	podręcznik	учебник	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
mayer	майер	mayer	майер	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
liter	буквы	liter	буква	N;GEN;FEM;PL	N;INAN;NOM;FEM;PL
liter	письма	liter	письмо	N;GEN;FEM;PL	N;INAN;NOM;NEUT;PL
collins	коллинс	collins	коллинс	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
collins	коллинз	collins	коллинз	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
turecki	турецкие	turecka	турецкий	ADJ;NOM;MASC;SG	ADJ;NOM;PL
turecki	турции	turecka	турция	ADJ;NOM;MASC;SG	N;INAN;NOM;FEM;SG
juliana	джулиан	juliany	джулиан		N;ANIM;NOM;MASC;SG
juliana	джулиана	juliany	джулиан		N;ANIM;ACC;MASC;SG
dodatkowa	дополнительные	dodatkowy	дополнительный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
dodatkowa	дополнительно	dodatkowy	дополнительно	ADJ;NOM;FEM;SG	ADV
dodatkowa	дополнительные	dodatkowy	дополнительный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
prosta	простой	prosty	простой		ADJ;NOM;MASC;SG
prosta	простое	prosty	простой		ADJ;NOM;NEUT;SG
prosta	простая	prosty	простой		ADJ;NOM;FEM;SG
prosta	простые	prosty	простой		ADJ;NOM;PL
western	западная	western	западный		ADJ;NOM;FEM;SG
western	западные	western	западный		ADJ;NOM;PL
western	западной	western	западный		ADJ;INS;FEM;SG
western	западный	western	западный		ADJ;NOM;MASC;SG
western	западное	western	западный		ADJ;NOM;NEUT;SG
helen	элен	helen	элен	PROPN;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
helen	хелен	helen	хеленый	PROPN;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
strój	костюм	strój	костюм	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
strój	наряд	strój	наряд	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
klientów	посетители	klient	посетитель	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
klientów	покупатели	klient	покупатель	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
klientów	клиенты	klient	клиент	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
klientów	клиентов	klient	клиент	N;ACC;MASC;PL	N;ANIM;GEN;MASC;PL
klientów	клиентов	klient	клиент	N;ACC;MASC;PL	N;ANIM;GEN;MASC;PL
klientów	клиенты	klient	клиент	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
norfolk	норфолк	norfolk	норфолк	V;IPFV;IND;SG;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
win	победить	wina	победить		V;PFV;NFIN;ACT
win	выиграть	wina	выиграть		V;PFV;NFIN;ACT
win	победа	wina	победа		N;INAN;NOM;FEM;SG
win	вина	wina	вино		N;INAN;NOM;NEUT;SG
win	вин	wina	вина		N;INAN;GEN;MASC;SG
nadzór	надзора	nadzór	надзор	N;NOM;MASC;SG	N;INAN;GEN;MASC;SG
nadzór	наблюдения	nadzór	наблюдение	N;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
nadzór	надзора	nadzór	надзор	N;NOM;MASC;SG	N;INAN;GEN;MASC;SG
klasyczne	классические	klasyczny	классический	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
klasyczne	классика	klasyczny	классик	ADJ;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
klasyczne	классической	klasyczny	классический	ADJ;NOM;NEUT;SG	ADJ;INS;FEM;SG
klasyczne	классические	klasyczny	классический	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
klasyczne	классика	klasyczny	классик	ADJ;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
klasyczne	classic	klasyczny	classic	ADJ;NOM;NEUT;SG	PROPN
połączeń	слияния	połączenie	слияние	N;GEN;NEUT;PL	N;INAN;NOM;NEUT;PL
wnętrz	внутренних	wnętrz	внутренний		ADJ;GEN;PL
wnętrz	интерьер	wnętrz	интерьер		N;INAN;NOM;MASC;SG
wnętrz	интерьеры	wnętrz	интерьер		N;INAN;NOM;MASC;PL
jelenia	олень	jeleń	олень		N;ANIM;NOM;MASC;SG
jelenia	оленя	jeleń	олень		N;ANIM;ACC;MASC;SG
jelenia	олень	jeleń	олень		N;ANIM;NOM;MASC;SG
konfliktów	конфликты	konflikt	конфликт	N;GEN;MASC;PL	N;INAN;NOM;MASC;PL
wikicytaty	викицитатник	wikicytat	викицитатник		N;ANIM;NOM;MASC;SG
piersi	груди	pierś	грудь		N;INAN;NOM;FEM;SG
piersi	сундук	pierś	сундук		N;INAN;NOM;MASC;SG
piersi	грудь	pierś	грудь		N;INAN;NOM;FEM;SG
piersi	груди	pierś	грудь		N;INAN;NOM;FEM;SG
piersi	грудь	pierś	грудь		N;INAN;NOM;FEM;SG
piersi	груди	pierś	грудь		N;INAN;NOM;FEM;SG
piersi	грудь	pierś	грудь		N;INAN;NOM;FEM;SG
uderzenia	эффект	uderzenie	эффект	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG
uderzenia	влияние	uderzenie	влияние	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
uderzenia	воздействие	uderzenie	воздействие	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
uderzenia	результативность	uderzenie	результативность	N;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
rozdzielczość	разрешение	rozdzielczość	разрешение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
rozdzielczość	резолюция	rozdzielczość	резолюция	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
osadników	поселенцев	osadnik	поселенец	N;ACC;MASC;PL	N;ANIM;GEN;MASC;PL
osadników	поселенцы	osadnik	поселенец	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
operacje	эксплуатация	operacja	эксплуатация	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
operacje	операция	operacja	операция	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
symbole	символов	symbol	символ	N;NOM;MASC;PL	N;INAN;GEN;MASC;PL
kongresie	съезд	kongres	съезд	N;DAT;MASC;SG	N;INAN;NOM;MASC;SG
kongresie	конгресс	kongres	конгресс	N;DAT;MASC;SG	N;INAN;NOM;MASC;SG
tablicy	доска	tablica	доска	N;GEN;FEM;SG	N;INAN;NOM;FEM;SG
tablicy	массив	tablica	массив	N;GEN;FEM;SG	N;INAN;NOM;MASC;SG
kentucky	кентукки	kentucki	кентукка		N;INAN;NOM;MASC;PL
ważna	важных	ważny	важный	ADJ;NOM;FEM;SG	ADJ;GEN;PL
ważna	важные	ważny	важный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
ważna	важны	ważny	важный	ADJ;NOM;FEM;SG	ADJ;PL
agata	агата	agata	агата	PROPN;NOM;FEM;SG	N;INAN;NOM;FEM;SG
agata	агата	agata	агата	PROPN;NOM;FEM;SG	N;INAN;NOM;FEM;SG
szanse	шанс	szansa	шанс	N;NOM;FEM;PL	N;INAN;NOM;MASC;SG
rezygnacji	отставку	rezygnacja	отставка	N;GEN;FEM;SG	N;INAN;ACC;FEM;SG
rezygnacji	отставку	rezygnacja	отставка	N;GEN;FEM;SG	N;INAN;ACC;FEM;SG
niezależny	независимые	niezależny	независимый	ADJ;NOM;MASC;SG	ADJ;NOM;PL
podpisano	подпись	podpisać	подпись	V;PFV;IND;0;PST;FIN;ACT	N;INAN;NOM;FEM;SG
podpisano	подписано	podpisać	подписать	V;PFV;IND;0;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
podpisano	подписан	podpisać	подписать	V;PFV;IND;0;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
podpisano	подписана	podpisać	подписать	V;PFV;IND;0;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
podpisano	подписаны	podpisać	подписать	V;PFV;IND;0;PST;FIN;ACT	V;PFV;PL;PST;V.PTCP;PASS
luigi	луиджи	luig	луидж	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
fritz	фриц	frić	фриц	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ron	рона	ron	рона	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
ron	рон	ron	рон	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ncaa	ncaa	ncaa	ncaa		PROPN
włosy	волос	włos	волос	N;NOM;MASC;PL	N;INAN;GEN;FEM;PL
starsze	старшая	stary	старший	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;FEM;SG
pancerna	panzer	pancerny	panzer	ADJ;NOM;FEM;SG	PROPN
mieszkalnych	жилой	mieszkalny	жилой	ADJ;GEN;MASC;PL	ADJ;NOM;MASC;SG
żydowska	еврейские	żydowski	еврейский	ADJ;NOM;FEM;SG	ADJ;NOM;PL
żydowska	еврейских	żydowski	еврейский	ADJ;NOM;FEM;SG	ADJ;GEN;PL
żydowska	еврей	żydowski	еврей	ADJ;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
żydowska	евреи	żydowski	еврей	ADJ;NOM;FEM;SG	N;ANIM;NOM;MASC;PL
ball	бал	ball	бал		N;INAN;NOM;MASC;SG
ball	шар	ball	шар		N;INAN;NOM;MASC;SG
ball	мяч	ball	мяч		N;INAN;NOM;MASC;SG
pozytywnie	положительные	pozytywnie	положительный	ADV	ADJ;NOM;PL
pozytywnie	позитивная	pozytywnie	позитивный	ADV	ADJ;NOM;FEM;SG
pozytywnie	положительный	pozytywnie	положительный	ADV	ADJ;NOM;MASC;SG
pozytywnie	позитивные	pozytywnie	позитивный	ADV	ADJ;NOM;PL
wątroby	печени	wątroba	печень		N;INAN;GEN;FEM;SG
wątroby	печень	wątroba	печень		N;INAN;NOM;FEM;SG
przedstawiony	изображен	przedstawić	изобразить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
przedstawiony	представлено	przedstawić	представить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
przedstawiony	представленное	przedstawić	представить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
przedstawiony	представлен	przedstawić	представить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
przedstawiony	представленный	przedstawić	представить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
przedstawiony	представил	przedstawić	представить	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
girls	девчонки	girls	девчонка		N;ANIM;NOM;FEM;PL
girls	girls	girls	girls		PROPN
girls	девушки	girls	девушка		N;ANIM;NOM;FEM;PL
girls	девочки	girls	девочка		N;ANIM;NOM;FEM;PL
girls	девочек	girls	девочка		N;ANIM;GEN;FEM;PL
neutralności	нейтралитет	neutralność	нейтралитет	N;GEN;FEM;SG	N;INAN;NOM;MASC;SG
potter	поттер	potter	поттер		N;INAN;NOM;FEM;SG
julien	жюльен	julien	жюльный	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
kalendarza	календарь	kalendarz	календарь	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG
marshall	маршалл	marshall	маршалл	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
marshall	маршал	marshall	маршал	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
znaczący	существенная	znaczący	существенный		ADJ;NOM;FEM;SG
znaczący	значительные	znaczący	значительный		ADJ;NOM;PL
znaczący	существенный	znaczący	существенный		ADJ;NOM;MASC;SG
znaczący	существенные	znaczący	существенный		ADJ;NOM;PL
znaczący	значимых	znaczący	значимый		ADJ;GEN;PL
znaczący	значимый	znaczący	значимый		ADJ;NOM;MASC;SG
znaczący	значимые	znaczący	значимый		ADJ;NOM;PL
znaczący	существенное	znaczący	существенный		ADJ;NOM;NEUT;SG
znaczący	значительные	znaczący	значительный		ADJ;NOM;PL
znaczący	значительное	znaczący	значительный		ADJ;NOM;NEUT;SG
znaczący	значительный	znaczący	значительный		ADJ;NOM;MASC;SG
znaczący	существенные	znaczący	существенный		ADJ;NOM;PL
autostrady	шоссе	autostrada	шоссе		N;INAN;NOM;NEUT;SG
autostrady	автомагистрали	autostrada	автомагистраль		N;INAN;NOM;FEM;PL
autostrady	автомагистрали	autostrada	автомагистраль		N;INAN;NOM;FEM;PL
autostrady	автомагистралей	autostrada	автомагистраль		N;INAN;GEN;FEM;PL
autostrady	автомагистрали	autostrada	автомагистраль		N;INAN;NOM;FEM;PL
autostrady	шоссе	autostrada	шоссе		N;INAN;NOM;NEUT;SG
morris	моррис	morris	моррис		N;ANIM;NOM;MASC;SG
lipsku	лейпциге	lipski	лейпциг	N;DAT;NEUT;SG	N;INAN;NOM;MASC;SG
zakupu	покупки	zakup	покупка	N;GEN;MASC;SG	N;INAN;NOM;FEM;PL
zakupu	приобрести	zakup	приобрести	N;GEN;MASC;SG	V;PFV;NFIN;ACT
zakupu	покупка	zakup	покупка	N;GEN;MASC;SG	N;INAN;NOM;FEM;SG
zakupu	закупка	zakup	закупка	N;GEN;MASC;SG	N;INAN;NOM;FEM;SG
zakupu	покупка	zakup	покупка	N;GEN;MASC;SG	N;INAN;NOM;FEM;SG
zakupu	закупки	zakup	закупка	N;GEN;MASC;SG	N;INAN;NOM;FEM;PL
znaczące	заметный	znaczący	заметный		ADJ;NOM;MASC;SG
znaczące	значимых	znaczący	значимый		ADJ;GEN;PL
znaczące	значимый	znaczący	значимый		ADJ;NOM;MASC;SG
znaczące	значимые	znaczący	значимый		ADJ;NOM;PL
znaczące	существенное	znaczący	существенный		ADJ;NOM;NEUT;SG
znaczące	значительные	znaczący	значительный		ADJ;NOM;PL
znaczące	значительное	znaczący	значительный		ADJ;NOM;NEUT;SG
znaczące	значительный	znaczący	значительный		ADJ;NOM;MASC;SG
znaczące	существенные	znaczący	существенный		ADJ;NOM;PL
samiec	мужской	samiec	мужской	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
samiec	мужские	samiec	мужской	N;NOM;MASC;SG	ADJ;NOM;PL
lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INAN;NOM;NEUT;PL
lokalizacji	места	lokalizacja	место	N;GEN;FEM;SG	N;INAN;NOM;NEUT;PL
lokalizacji	местах	lokalizacja	место	N;GEN;FEM;SG	N;INAN;ESS;NEUT;PL
panna	девы	panna	дева	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
panna	miss	panna	miss	N;NOM;FEM;SG	PROPN
warren	уоррен	warren	уоррен	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
castle	замок	castło	замок		N;INAN;NOM;MASC;SG
castle	касл	castło	касл		PART
napisała	писал	napisać	писать	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
napisała	написали	napisać	писать	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;ACT
uda	бедра	udać	бедро	V;PFV;IND;SG;3;FUT;FIN;ACT	N;INAN;NOM;NEUT;PL
uda	бедро	udać	бедро	V;PFV;IND;SG;3;FUT;FIN;ACT	N;INAN;NOM;NEUT;SG
uda	бедра	udać	бедро	V;PFV;IND;SG;3;FUT;FIN;ACT	N;INAN;NOM;NEUT;PL
algierii	алжира	algieria	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
algierii	алжир	algieria	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
algierii	алжира	algieria	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
algierii	алжире	algieria	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
współczesna	современный	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
współczesna	современных	współczesny	современный	N;NOM;FEM;SG	ADJ;GEN;PL
współczesna	современная	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
współczesna	современные	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;PL
współczesna	современное	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
współczesna	современный	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
współczesna	современные	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;PL
współczesna	современная	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
współczesna	современных	współczesny	современный	N;NOM;FEM;SG	ADJ;GEN;PL
współczesna	современное	współczesny	современный	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
pozbawione	лишенные	pozbawić	лишить	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
pozbawione	лишены	pozbawić	лишить	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
włącznie	всеобъемлющего	włącznie	всеобъемлющий	ADV	ADJ;GEN;MASC;SG
psy	psy	pies	psy	N;NOM;MASC;PL	PROPN
psy	собак	pies	собака	N;NOM;MASC;PL	N;ANIM;GEN;FEM;PL
psy	собака	pies	собака	N;NOM;MASC;PL	N;ANIM;NOM;FEM;SG
psy	пес	pies	пес	N;NOM;MASC;PL	N;ANIM;NOM;MASC;SG
psy	пёс	pies	пёс	N;NOM;MASC;PL	N;ANIM;NOM;MASC;SG
apg	apg	apg	apg		PROPN
liczyć	граф	liczyć	граф	V;IPFV;NFIN;ACT	N;ANIM;NOM;MASC;SG
liczyć	подсчет	liczyć	подсчет	V;IPFV;NFIN;ACT	N;INAN;NOM;MASC;SG
ofiarą	потерпевший	ofiara	потерпевший	N;INS;FEM;SG	V;PFV;NOM;MASC;SG;PST;V.PTCP;ACT
ofiarą	жертва	ofiara	жертва	N;INS;FEM;SG	N;INAN;NOM;FEM;SG
ofiarą	пострадавший	ofiara	пострадавший	N;INS;FEM;SG	V;PFV;NOM;MASC;SG;PST;V.PTCP;ACT
warstwa	слоя	warstwa	слой	N;NOM;FEM;SG	N;INAN;GEN;MASC;SG
pomiaru	измерение	pomiar	измерение	N;GEN;MASC;SG	N;INAN;NOM;NEUT;SG
pomiaru	измерения	pomiar	измерение	N;GEN;MASC;SG	N;INAN;NOM;NEUT;PL
pomiaru	измерение	pomiar	измерение	N;GEN;MASC;SG	N;INAN;NOM;NEUT;SG
pomiaru	измерения	pomiar	измерение	N;GEN;MASC;SG	N;INAN;NOM;NEUT;PL
osobowości	личности	osobowość	личность	N;GEN;FEM;SG	N;INAN;NOM;FEM;PL
osobowości	деятелей	osobowość	деятель	N;GEN;FEM;SG	N;ANIM;GEN;MASC;PL
osobowości	личности	osobowość	личность	N;GEN;FEM;SG	N;INAN;NOM;FEM;PL
osobowości	индивидуальность	osobowość	индивидуальность	N;GEN;FEM;SG	N;INAN;NOM;FEM;SG
osobowości	личность	osobowość	личность	N;GEN;FEM;SG	N;INAN;NOM;FEM;SG
seulu	сеуле	seul	сеул	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
seulu	сеул	seul	сеул	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
poprzednie	бывший	poprzednie	бывший		ADJ;NOM;MASC;SG
poprzednie	прежний	poprzednie	прежний		ADJ;NOM;MASC;SG
poprzednie	бывшей	poprzednie	бывший		ADJ;INS;FEM;SG
poprzednie	бывшие	poprzednie	бывший		ADJ;NOM;PL
poprzednie	бывшая	poprzednie	бывший		ADJ;NOM;FEM;SG
poprzednie	предыдущие	poprzednie	предыдущий		ADJ;NOM;PL
poprzednie	предыдущая	poprzednie	предыдущий		ADJ;NOM;FEM;SG
poprzednie	предыдущий	poprzednie	предыдущий		ADJ;NOM;MASC;SG
poprzednie	предыдущее	poprzednie	предыдущий		ADJ;NOM;NEUT;SG
electric	электрический	electric	электрический		ADJ;NOM;MASC;SG
electric	электрик	electric	электрик		N;ANIM;NOM;MASC;SG
electric	electric	electric	electric		PROPN
electric	электрическая	electric	электрический		ADJ;NOM;FEM;SG
królową	королева	królowa	королева	N;INS;FEM;SG	N;ANIM;NOM;FEM;SG
królową	queen	królowa	queen	N;INS;FEM;SG	PROPN
królową	куин	królowa	куин	N;INS;FEM;SG	N;INAN;NOM;MASC;SG
królową	царица	królowa	царица	N;INS;FEM;SG	N;ANIM;NOM;FEM;SG
keith	кит	keith	кит	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
keith	кита	keith	кит	PROPN;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
naczynia	судов	naczynie	суд	N;NOM;NEUT;PL	N;INAN;GEN;MASC;PL
naczynia	посуда	naczynie	посуда	N;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
naczynia	посуду	naczynie	посуда	N;NOM;NEUT;PL	N;INAN;ACC;FEM;SG
zastąpić	заменять	zastąpić	заменять	V;PFV;NFIN;ACT	V;IPFV;NFIN;ACT
zastąpić	замена	zastąpić	замена	V;PFV;NFIN;ACT	N;INAN;NOM;FEM;SG
zastąpić	заменены	zastąpić	заменить	V;PFV;NFIN;ACT	V;PFV;PL;PST;V.PTCP;PASS
zastąpić	заменена	zastąpić	заменить	V;PFV;NFIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
zastąpić	замена	zastąpić	замена	V;PFV;NFIN;ACT	N;INAN;NOM;FEM;SG
reakcje	реакция	reakcja	реакция	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
reakcje	реакций	reakcja	реакция	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
reakcje	реакция	reakcja	реакция	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
ekipa	team	ekipa	team	N;NOM;FEM;SG	PROPN
ekipa	экипажа	ekipa	экипаж	N;NOM;FEM;SG	N;INAN;GEN;MASC;SG
piętrze	пол	piętro	пол	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
piętrze	этаж	piętro	этаж	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
reklamy	объявления	reklama	объявление	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
reklamy	ads	reklama	ads	N;ACC;FEM;SG	PROPN
reklamy	реклама	reklama	реклама	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
reklamy	реклама	reklama	реклама	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
odznaki	значки	odznak	значок	V;IPFV;IND;SG;3;FIN;ACT	N;INAN;NOM;MASC;PL
kent	кент	kent	кент	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
kent	кента	kent	кент	PROPN;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
pomocnicze	вспомогательные	pomocniczy	вспомогательный	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
pomocnicze	вспомогательных	pomocniczy	вспомогательный	ADJ;NOM;NEUT;SG	ADJ;GEN;PL
mali	мали	mala	маленький		N;INAN;NOM;FEM;SG
