और	és	और	és		CONJ
बाहरी	szabadban	बाहरी	szabad	ADJ;NOM	N;IN+ESS;SG
बाहरी	külső	बाहरी	külső	ADJ;NOM	
बाहरी	külső	बाहरी	külső	ADJ;NOM	
कुछ	valami	कुछ	valami	DET	
कुछ	valamit	कुछ	valamit	DET	
गाँव	település	गाँव	település	N;NOM;MASC;PL;3	N;NOM;SG
गाँव	falusi	गाँव	falusi	N;NOM;MASC;PL;3	ADJ;NOM;SG
गाँव	falu	गाँव	falu	N;NOM;MASC;PL;3	N;NOM;SG
कड़ियाँ	lánc	कड़ी	lánc	N;NOM;FEM;PL;3	
प्रदेश	régiók	प्रदेश	régió	N;NOM;MASC;SG;3	N;NOM;PL
दिया	adva	दे	adva	V;PFV;MASC;SG;V.PTCP;ACT	
दिया	megadva	दे	megadva	V;PFV;MASC;SG;V.PTCP;ACT	ADV;V.CVB
अन्य	egyéb	अन्य	egyéb	N;NOM;MASC;SG;3	
अन्य	más	अन्य	más	N;NOM;MASC;SG;3	PRO;NOM;SG;3
अन्य	másoknak	अन्य	más	N;NOM;MASC;SG;3	PRO;DAT;PL;3
अन्य	egyéb	अन्य	egyéb	N;NOM;MASC;SG;3	
अन्य	mások	अन्य	más	N;NOM;MASC;SG;3	
अन्य	egyebek	अन्य	egyéb	N;NOM;MASC;SG;3	
वर्ष	évek	वर्ष	év	N;NOM;MASC;SG;3	N;NOM;PL
वर्ष	évi	वर्ष	évi	N;NOM;MASC;SG;3	
वे	ők	वह	ők	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	típusok	प्रकार	típus	N;NOM;MASC;SG;3	N;NOM;PL
प्रकार	típusai	प्रकार	típus	N;NOM;MASC;SG;3	N;NOM;PL
भारतीय	indián	भारतीय	indián	PROPN;NOM;SG;3	
भारतीय	indiai	भारतीय	indiai	PROPN;NOM;SG;3	ADJ;NOM;SG
किसी	valaki	कोई	valaki	PRO;ACC;SG;3	
किसी	valakit	कोई	valakit	PRO;ACC;SG;3	
क्षेत्र	régiók	क्षेत्र	régió	N;NOM;MASC;SG;3	N;NOM;PL
क्षेत्र	térségek	क्षेत्र	térség	N;NOM;MASC;SG;3	N;NOM;PL
क्षेत्र	területek	क्षेत्र	terület	N;NOM;MASC;SG;3	N;NOM;PL
अधिक	more	अधिक	more	DET	
अधिक	további	अधिक	további	DET	N;NOM;SG
अधिक	tobb	अधिक	tobb	DET	
कई	sok	कई	sok	DET	
कई	sokan	कई	sokan	DET	ADV
कई	számos	कई	számos	DET	
मण्डल	övezet	मण्डल	övezet	PROPN;NOM;MASC;SG;3	N;NOM;SG
मण्डल	zóna	मण्डल	zóna	PROPN;NOM;MASC;SG;3	N;NOM;SG
आधिकारिक	tisztviselő	आधिकारिक	tisztviselő	ADJ	N;NOM;SG
कारण	okok	कारण	ok	N;NOM;MASC;SG;3	N;NOM;PL
कारण	okok	कारण	ok	N;NOM;MASC;SG;3	N;NOM;PL
कारण	okozza	कारण	okoz	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
कारण	okoz	कारण	okoz	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
जैसे	like	जैसे	lik	CONJ	
जैसे	tetszik	जैसे	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
करता	zsarnokok	कर	zsarnok	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;PL
उनके	ők	वह	ők	PRO;MASC;SG;3;FORM	PRO;NOM;PL;3
उनके	őket	वह	ők	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
सबसे	legtöbb	सबसे	legtöbb	ADJ;NOM	
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	N;NOM;SG
बहुत	nagyon	बहुत	nagyon	DET	ADV
पहले	előtte	पहले	előtte	ADV;NOM;MASC;SG;3	
पहले	előtt	पहले	előtt	ADV;NOM;MASC;SG;3	ADP
पहले	korábbi	पहले	korábbi	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
पहले	első	पहले	első	ADV;NOM;MASC;SG;3	ADJ;NOM;SG
दो	kettő	दो	kettő	NUM	
जिला	kerület	जिला	kerület	N;NOM;MASC;SG;3	
जब	mikor	जब	mikor	PRO;NOM	ADV
जब	amikor	जब	amikor	PRO;NOM	ADV
उन्होंने	ők	वह	ők	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	egyiptomiak	वह	egyiptomi	PRO;SG;3;FORM	N;NOM;PL
जन्म	született	जन्म	születik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
जन्म	megszületett	जन्म	meg+szület	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
जन्म	születési	जन्म	születési	N;NOM;MASC;SG;3	ADJ;NOM;SG
कोई	koi	कोई	koi	PRO;NOM;SG;3	
कोई	bármelyik	कोई	bármelyik	PRO;NOM;SG;3	
कोई	bármely	कोई	bármely	PRO;NOM;SG;3	
कोई	bármilyen	कोई	bármilyen	PRO;NOM;SG;3	
इन	fogadó	यह	fogadó	DET;ACC;PL;3	
इन	inn	यह	inn	DET;ACC;PL;3	
इन	szálló	यह	szálló	DET;ACC;PL;3	N;NOM;SG
ये	ezt	यह	ez	PRO;NOM;PL;3	PRO;ACC;SG;3
ये	ez	यह	ez	PRO;NOM;PL;3	PRO;NOM;SG;3
ये	ezek	यह	ez	PRO;NOM;PL;3	PRO;NOM;PL;3
ये	ezeket	यह	ez	PRO;NOM;PL;3	PRO;ACC;PL;3
कम	alacsonyan	कम	alacsony	DET	ADJ;FRML;SG
कम	alacsony	कम	alacsony	DET	ADJ;NOM;SG
कम	kevesebben	कम	keveseb	DET	ADV
कम	kevesebb	कम	kevesebb	DET	
कम	kevesebbet	कम	kevesebb	DET	
कम	kevesebb	कम	kevesebb	DET	
कम	kevésbé	कम	kevésbé	DET	ADV
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	
आदि	stb	आदि	stb	PART	
आदि	több	आदि	több	PART	DET;INDF
आदि	more	आदि	more	PART	
आदि	további	आदि	további	PART	N;NOM;SG
आदि	tobb	आदि	tobb	PART	
आदि	adi	आदि	adi	PART	
प्राचीन	primitív	प्राचीन	primitív	ADJ;NOM	
प्राचीन	ősi	प्राचीन	ősi	ADJ;NOM	
प्राचीन	ős	प्राचीन	ős	ADJ;NOM	
प्राचीन	ókori	प्राचीन	ókori	ADJ;NOM	
प्राचीन	praetor	प्राचीन	praetor	ADJ;NOM	
देखें	óra	देख	óra	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	vigyázz	देख	vigyázz	V;SBJV;PL;FIN;ACT	V;DEF;IND;SG;1;PRS;FIN;ACT
देखें	lásd	देख	lásd	V;SBJV;PL;FIN;ACT	
देखें	megtekintés	देख	megtekintés	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	kilátás	देख	kilátás	V;SBJV;PL;FIN;ACT	N;NOM;SG
देखें	nézet	देख	néz	V;SBJV;PL;FIN;ACT	N;NOM;SG
उत्तर	válasz	उत्तर	válasz	PROPN;NOM;MASC;SG;3	N;NOM;SG
उत्तर	észak	उत्तर	észak	PROPN;NOM;MASC;SG;3	
उत्तर	északi	उत्तर	északi	PROPN;NOM;MASC;SG;3	
उत्तर	északra	उत्तर	észak	PROPN;NOM;MASC;SG;3	N;ON+ALL;SG
उत्तर	válaszokat	उत्तर	válasz	PROPN;NOM;MASC;SG;3	N;ACC;PL
उत्तर	válaszok	उत्तर	válasz	PROPN;NOM;MASC;SG;3	N;NOM;PL
भाषा	nyelveket	भाषा	nyelv	N;NOM;FEM;SG;3	N;ACC;PL
भाषा	nyelvek	भाषा	nyelv	N;NOM;FEM;SG;3	N;NOM;PL
भाषा	nyelveken	भाषा	nyelv	N;NOM;FEM;SG;3	N;ON+ESS;PL
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	mindegyik	सब	mindegyik	PRO;NOM;3	
सभी	mind	सब	mind	PRO;NOM;3	CONJ
सभी	minden	सब	minden	PRO;NOM;3	PRO;NOM;SG;3
प्राप्त	kapott	प्राप्त	kap	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
प्राप्त	fogadott	प्राप्त	fogad	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
प्राप्त	beérkezett	प्राप्त	be+érkezik	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
प्राप्त	kapni	प्राप्त	kap	ADJ	V;NFIN;ACT
प्रयोग	kísérletek	प्रयोग	kísérlet	N;NOM;MASC;SG;3	N;NOM;PL
शामिल	érintett	शामिल	érintett	ADJ	
शामिल	tartalmazza	शामिल	tartalmaz	ADJ	V;DEF;IND;SG;3;PRS;FIN;ACT
उन्हें	ők	वह	ők	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्हें	őket	वह	ők	PRO;SG;3;FORM	PRO;ACC;PL;3
उस	ez	वह	ez	DET;ACC;SG;3	PRO;NOM;SG;3
स्थान	helyszínek	स्थान	helyszín	N;NOM;MASC;SG;3	N;NOM;PL
स्थान	helyek	स्थान	hely	N;NOM;MASC;SG;3	N;NOM;PL
स्थान	helyszínek	स्थान	helyszín	N;NOM;MASC;SG;3	N;NOM;PL
स्थान	helyek	स्थान	hely	N;NOM;MASC;SG;3	N;NOM;PL
प्रमुख	fő	प्रमुख	fő	N;NOM;MASC;SG;3	
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	
प्रमुख	főbb	प्रमुख	fő	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	
बीच	part	बीच	part	ADV;NOM;MASC;SG;3	
बीच	tengerpart	बीच	tengerpart	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	tengerparton	बीच	tengerpart	ADV;NOM;MASC;SG;3	N;ON+ESS;SG
बीच	strand	बीच	strand	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	középre	बीच	közép	ADV;NOM;MASC;SG;3	N;ON+ALL;SG
बीच	központ	बीच	központ	ADV;NOM;MASC;SG;3	N;NOM;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	
गए	elment	जा	elment	V;PFV;MASC;PL;V.PTCP;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
गए	eltűnt	जा	el+tűnik	V;PFV;MASC;PL;V.PTCP;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
गए	ment	जा	megy	V;PFV;MASC;PL;V.PTCP;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
मुख्य	főnök	मुख्य	főnök	PROPN;NOM;MASC;SG;3	N;NOM;SG
मुख्य	fő	मुख्य	fő	PROPN;NOM;MASC;SG;3	
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	
मुख्य	főbb	मुख्य	fő	PROPN;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
थी	volt	था	van	V;FEM;IND;SG;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	
उसे	őt	वह	ő	PRO;SG;3	PRO;ACC;SG;3
उसे	neki	वह	ő	PRO;SG;3	
कार्य	feladatai	कार्य	feladat	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	feladatok	कार्य	feladat	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	állások	कार्य	állás	N;NOM;MASC;SG;3	N;NOM;PL
कार्य	munkahelyek	कार्य	munkahely	N;NOM;MASC;SG;3	N;NOM;PL
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	
नगर	városban	नगर	város	N;NOM;MASC;SG;3	N;IN+ESS;SG
नगर	town	नगर	town	N;NOM;MASC;SG;3	
नगर	city	नगर	city	N;NOM;MASC;SG;3	
नगर	városi	नगर	városi	N;NOM;MASC;SG;3	ADJ;NOM;SG
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	
उपयोग	használni	उपयोग	használ	N;NOM;MASC;SG;3	V;NFIN;ACT
लोगों	emberek	लोग	ember	N;ACC;MASC;PL;3	N;NOM;PL
आधार	alap	आधार	alap	N;NOM;MASC;SG;3	
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
विश्व	világ	विश्व	világ	N;NOM;MASC;SG;3	
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
भाग	szakaszok	भाग	szakasz		N;NOM;PL
भाग	szelvény	भाग	szelvény		N;NOM;SG
भाग	részben	भाग	részben		ADV
भाग	rész	भाग	rész		N;NOM;SG
भाग	része	भाग	rész		N;NOM;SG
भाग	alkatrész	भाग	alkatrész		N;NOM;SG
भाग	alkatrészek	भाग	alkatrész		N;NOM;PL
भाग	részek	भाग	rész		N;NOM;PL
निर्माण	építési	निर्माण	építési	N;NOM;MASC;SG;3	ADJ;NOM;SG
निर्माण	építsünk	निर्माण	épít	N;NOM;MASC;SG;3	V;INDF;IND;PL;1;PRS;FIN;ACT
निर्माण	építeni	निर्माण	épít	N;NOM;MASC;SG;3	V;NFIN;ACT
निर्माण	gyártási	निर्माण	gyártási	N;NOM;MASC;SG;3	ADJ;NOM;SG
दोनों	mindkettő	दो	mindkettő	N;ACC;MASC;PL;3	
दोनों	mindketten	दो	mindkett	N;ACC;MASC;PL;3	
राष्ट्रीय	nemzeti	राष्ट्रीय	nemzeti	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
राष्ट्रीय	országos	राष्ट्रीय	országos	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	
जानकारी	infó	जानकारी	infó	N;NOM;FEM;SG;3	
जानकारी	infók	जानकारी	infó	N;NOM;FEM;SG;3	N;NOM;PL
जानकारी	információk	जानकारी	információ	N;NOM;FEM;SG;3	N;NOM;PL
जानकारी	információk	जानकारी	információ	N;NOM;FEM;SG;3	N;NOM;PL
शहर	belvárosban	शहर	belváros	N;NOM;MASC;SG;3	N;IN+ESS;SG
शहर	city	शहर	city	N;NOM;MASC;SG;3	
शहर	városi	शहर	városi	N;NOM;MASC;SG;3	ADJ;NOM;SG
शहर	városok	शहर	város	N;NOM;MASC;SG;3	N;NOM;PL
शहर	városokat	शहर	város	N;NOM;MASC;SG;3	N;ACC;PL
बार	bárok	बार	bárok	N;NOM;FEM;SG;3	N;NOM;PL
बार	rácsok	बार	rács	N;NOM;FEM;SG;3	N;NOM;PL
बार	bar	बार	bar	N;NOM;FEM;SG;3	
बार	bár	बार	bár	N;NOM;FEM;SG;3	CONJ
बार	idők	बार	idő	N;NOM;FEM;SG;3	
बार	időpontok	बार	időpont	N;NOM;FEM;SG;3	N;NOM;PL
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	
लगभग	majdnem	लगभग	majdnem	PART	
लगभग	megközelítőleg	लगभग	megközelítőleg	PART	ADJ;FRML;SG
लगभग	hozzávetőleg	लगभग	hozzávetőleg	PART	ADV
लगभग	körülbelül	लगभग	körülbelül	PART	ADV
फिल्म	filmet	फिल्म	film	N;NOM;FEM;SG;3	N;ACC;SG
यहाँ	itt	यहाँ	itt	PRO;NOM	ADV
प्रसिद्ध	híres	प्रसिद्ध	híres	ADJ	
प्रसिद्ध	híresség	प्रसिद्ध	híresség	ADJ	N;NOM;SG
प्रसिद्ध	neves	प्रसिद्ध	neves	ADJ	
विकास	fejlesztési	विकास	fejlesztési	N;NOM;MASC;SG;3	ADJ;NOM;SG
केवल	csak	केवल	csak	PART	ADV
केवल	kizárólag	केवल	kizárólag	PART	
देश	országban	देश	ország	N;NOM;MASC;SG;3	N;IN+ESS;SG
देश	országokban	देश	ország	N;NOM;MASC;SG;3	N;IN+ESS;PL
देश	országok	देश	ország	N;NOM;MASC;SG;3	N;NOM;PL
अलग	külön	अलग	kül	ADJ	
अलग	más	अलग	más	ADJ	PRO;NOM;SG;3
अलग	különböző	अलग	különböző	ADJ	
अलग	különálló	अलग	különálló	ADJ	
अलग	elkülönített	अलग	elkülönít	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
अलग	külön	अलग	kül	ADJ	
विशेष	exkluzív	विशेष	exkluzív	ADJ;NOM	
विशेष	különleges	विशेष	különleges	ADJ;NOM	
कभी	valaha	कभी	valaha	PRO	
दी	adva	दे	adva	V;PFV;FEM;SG;V.PTCP;ACT	
दी	megadva	दे	megadva	V;PFV;FEM;SG;V.PTCP;ACT	ADV;V.CVB
पृष्ठ	oldalt	पृष्ठ	oldal	N;NOM;MASC;SG;3	N;ACC;SG
पृष्ठ	lapok	पृष्ठ	lap	N;NOM;MASC;SG;3	N;NOM;PL
पृष्ठ	oldalakon	पृष्ठ	oldal	N;NOM;MASC;SG;3	N;ON+ESS;PL
पृष्ठ	oldalak	पृष्ठ	oldal	N;NOM;MASC;SG;3	N;NOM;PL
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	
माना	állítólag	मान	állítólag	V;PFV;MASC;SG;V.PTCP;ACT	
माना	elvileg	मान	elvileg	V;PFV;MASC;SG;V.PTCP;ACT	
शब्द	szavakat	शब्द	szó	N;NOM;MASC;SG;3	N;ACC;PL
शब्द	szavak	शब्द	szó	N;NOM;MASC;SG;3	N;NOM;PL
फिर	aztán	फिर	aztán	ADV	
पुरस्कार	jutalmat	पुरस्कार	jutalom	N;NOM;MASC;SG;3	N;ACC;SG
पुरस्कार	díjat	पुरस्कार	díjat	N;NOM;MASC;SG;3	N;ACC;SG
पुरस्कार	díjak	पुरस्कार	díj	N;NOM;MASC;SG;3	N;NOM;PL
पुरस्कार	díjak	पुरस्कार	díj	N;NOM;MASC;SG;3	N;NOM;PL
पुरस्कार	díjakat	पुरस्कार	díj	N;NOM;MASC;SG;3	N;ACC;PL
लेख	árucikkek	लेख	árucik	N;NOM;MASC;SG;3	N;NOM;PL
लेख	cikkek	लेख	cikk	N;NOM;MASC;SG;3	N;NOM;PL
अब	most	अब	most	PRO;NOM	ADV
दौरान	során	दौरान	sor	ADV;NOM;MASC;SG;3	N;ON+ESS;SG
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;NOM;SG
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	
मंदिर	temple	मंदिर	temple	N;NOM;MASC;SG;3	
अलावा	hozzáadás	अलावा	hozzáadás	ADP	
अलावा	szét	अलावा	szét	ADP	
वार्ता	beszél	वार्ता	beszél	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
दक्षिण	dél	दक्षिण	dél	PROPN;NOM;MASC;SG;3	
दक्षिण	délre	दक्षिण	délre	PROPN;NOM;MASC;SG;3	ADV
दक्षिण	déli	दक्षिण	déli	PROPN;NOM;MASC;SG;3	
विभिन्न	többféle	विभिन्न	többfél	ADJ	
विभिन्न	különféle	विभिन्न	különféle	ADJ	
विभिन्न	különböző	विभिन्न	különböző	ADJ	
विभिन्न	egyéb	विभिन्न	egyéb	ADJ	
विभिन्न	egyebek	विभिन्न	egyéb	ADJ	
विभिन्न	különféle	विभिन्न	különféle	ADJ	
विभिन्न	vegyes	विभिन्न	vegyes	ADJ	
इतिहास	előzmények	इतिहास	előzmény	N;NOM;MASC;SG;3	N;NOM;PL
लिया	foglalt	ले	foglal	V;PFV;MASC;SG;V.PTCP;ACT	
फ़िल्म	filmet	फ़िल्म	film	N;NOM;FEM;SG;3	N;ACC;SG
पास	passz	पास	passz	ADV;NOM;MASC;SG;3	N;NOM;SG
विस्तृत	részletezett	विस्तृत	részletezik	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
विस्तृत	kidolgozott	विस्तृत	kidolgozott	ADJ	
विस्तृत	kimerítő	विस्तृत	kimerítő	ADJ	
विस्तृत	fejlett	विस्तृत	fejlett	ADJ	
विस्तृत	haladó	विस्तृत	haladó	ADJ	
विस्तृत	előrehaladott	विस्तृत	előrehaladott	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
दिन	napon	दिन	nap	N;NOM;MASC;SG;3	N;ON+ESS;SG
दिन	nappal	दिन	nap	N;NOM;MASC;SG;3	N;INS;SG
दिन	napot	दिन	nap	N;NOM;MASC;SG;3	N;ACC;SG
दिन	nappal	दिन	nap	N;NOM;MASC;SG;3	N;INS;SG
दिन	napok	दिन	nap	N;NOM;MASC;SG;3	N;NOM;PL
दिन	napokban	दिन	nap	N;NOM;MASC;SG;3	N;IN+ESS;PL
दिन	napokat	दिन	nap	N;NOM;MASC;SG;3	N;ACC;PL
दिन	napokon	दिन	nap	N;NOM;MASC;SG;3	N;ON+ESS;PL
कृषि	mezőgazdasági	कृषि	mezőgazdasági	N;NOM;FEM;SG;3	
जाना	életképességét	जा	életképesség	V;MASC;NFIN;ACT	N;ACC;SG
शुरू	kezdődött	शुरू	kezdődik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
शुरू	kezdte	शुरू	kezd	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PST;FIN;ACT
शुरू	elkezdődött	शुरू	elkezdődik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
व्यक्ति	személy	व्यक्ति	személy	N;NOM;MASC;SG;3	
व्यक्ति	személyre	व्यक्ति	személy	N;NOM;MASC;SG;3	
व्यक्ति	egyéni	व्यक्ति	egyéni	N;NOM;MASC;SG;3	
सदस्य	tag	सदस्य	tag	N;NOM;MASC;PL;3	N;NOM;SG
सदस्य	előfizető	सदस्य	előfizető	N;NOM;MASC;PL;3	
सदस्य	tagoknak	सदस्य	tag	N;NOM;MASC;PL;3	N;DAT;PL
हालांकि	habár	हालांकि	habár	CONJ	CONJ
हालांकि	habár	हालांकि	habár	CONJ	CONJ
सिंह	singh	सिंह	singh	PROPN;NOM;MASC;SG;3	
सिंह	leo	सिंह	leo	PROPN;NOM;MASC;SG;3	
अनेक	sok	अनेक	sok	DET	
अनेक	sokan	अनेक	sokan	DET	ADV
अनेक	számos	अनेक	számos	DET	
अनेक	többszörös	अनेक	többszörös	DET	N;NOM;SG
अनेक	többszörösen	अनेक	többszörös	DET	ADJ;FRML;SG
यहां	itt	यहाँ	itt	PRO;NOM	ADV
संख्या	számok	संख्या	szám	N;NOM;FEM;SG;3	N;NOM;PL
बात	izé	बात	izé	N;NOM;FEM;SG;3	
बात	beszélni	बात	beszél	N;NOM;FEM;SG;3	V;NFIN;ACT
शिक्षा	oktatási	शिक्षा	oktatási	N;NOM;FEM;SG;3	ADJ;NOM;SG
शिक्षा	tandíjat	शिक्षा	tandíj	N;NOM;FEM;SG;3	N;ACC;SG
दिल्ली	delhi	दिल्ली	delhi	PROPN;NOM;FEM;SG;3	N;NOM;SG
धर्म	vallások	धर्म	vallás	N;NOM;MASC;SG;3	N;NOM;PL
धर्म	dharma	धर्म	dharma	N;NOM;MASC;SG;3	
मूल	eredetű	मूल	eredetű	N;NOM;MASC;SG;3	
मूल	bennszülött	मूल	bennszülött	N;NOM;MASC;SG;3	
मूल	őslakos	मूल	őslakos	N;NOM;MASC;SG;3	
मूल	őshonos	मूल	őshonos	N;NOM;MASC;SG;3	
मूल	bennszülöttek	मूल	bennszülött	N;NOM;MASC;SG;3	V;INDF;IND;PL;3;PST;FIN;ACT
मूल	alap	मूल	alap	N;NOM;MASC;SG;3	
मूल	alapvető	मूल	alapvető	N;NOM;MASC;SG;3	
तब	akkor	तब	akkor	PRO;NOM	ADV
तब	aztán	तब	aztán	PRO;NOM	
कोड	kód	कोड	kód		N;NOM;SG
कोड	kódok	कोड	kód		N;NOM;PL
संयुक्त	egyidejű	संयुक्त	egyidejű	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
संयुक्त	united	संयुक्त	united	PROPN;NOM;MASC;SG;3	
संयुक्त	egyesült	संयुक्त	egyesül	PROPN;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
संयुक्त	együttesen	संयुक्त	együttes	PROPN;NOM;MASC;SG;3	ADJ;FRML;SG
संयुक्त	együttes	संयुक्त	együttes	PROPN;NOM;MASC;SG;3	
