oli	avea	olla	avea	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
toimi	actiune	toimia	actiune	V;IMP;SG;2;FIN;ACT	N;INDF;FEM;SG
toimi	acțiune	toimia	acțiune	V;IMP;SG;2;FIN;ACT	N;INDF;FEM;SG
toimi	actul	toimia	act	V;IMP;SG;2;FIN;ACT	N;DEF;MASC;SG
toimi	acționează	toimia	acționa	V;IMP;SG;2;FIN;ACT	V;IND;3;PRS;FIN
toimi	act	toimia	act	V;IMP;SG;2;FIN;ACT	N;INDF;MASC;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;NOM;SG	N;DEF;FEM;SG
ensimmäinen	primii	ensimmäinen	prim	ADJ;NOM;SG	NUM;DEF;MASC;PL
ensimmäinen	prima	ensimmäinen	prim	ADJ;NOM;SG	NUM;DEF;FEM;SG
ensimmäinen	primul	ensimmäinen	prim	ADJ;NOM;SG	NUM;DEF;MASC;SG
ennen	inainte	ennen	inainte	ADV	
tämä	asta	tämä	acesta	PRO;NOM;SG	PRO;FEM;SG;3
tämä	aceasta	tämä	acesta	PRO;NOM;SG	PRO;FEM;SG;3
tämän	asta	tämä	acesta	PRO;GEN;SG	PRO;FEM;SG;3
tämän	aceasta	tämä	acesta	PRO;GEN;SG	PRO;FEM;SG;3
osa	parte	osa	parte	N;NOM;SG	N;INDF;FEM;SG
osa	partea	osa	parte	N;NOM;SG	N;DEF;FEM;SG
osa	unele	osa	unul	N;NOM;SG	PRO;FEM;PL;3
osa	unii	osa	unul	N;NOM;SG	PRO;MASC;PL;3
yhteensä	totalul	yhteensä	total	ADV	N;DEF;MASC;SG
yhteensä	totală	yhteensä	total	ADV	ADJ;INDF;FEM;SG
vastaan	contra	vastaan	contra	ADV	
vastaan	împotriva	vastaan	împotriva	ADV	ADP;GEN
vastaan	impotriva	vastaan	impotriva	ADV	N;DEF;FEM;SG
vastaan	împotrivă	vastaan	împotriva	ADV	
eri	ime	eri	eumi	ADJ	
eri	emi	eri	eu	ADJ	N;INDF;MASC
keskustelu	conversatie	keskustelu	conversatie	N;NOM;SG	N;INDF;FEM;SG
keskustelu	conversație	keskustelu	conversație	N;NOM;SG	N;INDF;FEM;SG
keskustelu	discuții	keskustelu	discuție	N;NOM;SG	N;INDF;FEM;PL
keskustelu	discutie	keskustelu	discutie	N;NOM;SG	N;INDF;FEM;SG
keskustelu	discuţie	keskustelu	discuţie	N;NOM;SG	N;INDF;FEM;SG
keskustelu	discutii	keskustelu	discut	N;NOM;SG	N;INDF;FEM;PL
keskustelu	discuție	keskustelu	discuție	N;NOM;SG	N;INDF;FEM;SG
keskustelu	dezbateri	keskustelu	dezbatere	N;NOM;SG	N;INDF;FEM;PL
keskustelu	dezbatere	keskustelu	dezbatere	N;NOM;SG	N;INDF;FEM;SG
keskustelu	dezbaterea	keskustelu	dezbatere	N;NOM;SG	N;DEF;FEM;SG
koska	cauză	koska	cauză	CONJ	N;INDF;FEM;SG
koska	cauza	koska	cauză	CONJ	N;DEF;FEM;SG
huhtikuuta	apr	huhtikuu	apr	N;PRT;SG	
huhtikuuta	april	huhtikuu	april	N;PRT;SG	
kesäkuuta	june	kesäkuu	june	N;PRT;SG	
toukokuuta	may	toukokuu	may	N;PRT;SG	
koko	intreg	koko	intreg	ADJ	
koko	dimensiune	koko	dimensiune	ADJ	N;INDF;FEM;SG
koko	marime	koko	marim	ADJ	N;INDF;FEM;SG
koko	dimensiunea	koko	dimensiune	ADJ	N;DEF;FEM;SG
koko	mărimea	koko	mărime	ADJ	N;DEF;FEM;SG
koko	mărime	koko	mărime	ADJ	N;INDF;FEM;SG
vielä	inca	vielä	inca	ADV	
vielä	tot	vielä	tot	ADV	PRO;MASC;SG;3
diff	dif	diff	dif	N;NOM;SG	
kaikki	totul	kaikki	tot	PRO;NOM;SG	PRO;MASC;SG;3
kaikki	toti	kaikki	toti	PRO;NOM;SG	
kaikki	toți	kaikki	tot	PRO;NOM;SG	PRO;MASC;PL;3
kaikki	toate	kaikki	tot	PRO;NOM;SG	PRO;FEM;PL;3
kaikki	tot	kaikki	tot	PRO;NOM;SG	PRO;MASC;SG;3
pelasi	jucate	pelata	juca	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;PL
pelasi	jucat	pelata	juca	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
yli	peste	yli	peste	ADV	ADP;ACC
yli	over	yli	over	ADV	N;INDF;MASC;SG
helsingin	helsinki	helsinki	helsinki	PROPN;GEN;SG	PROPN
toinen	altul	toinen	altul	PRO;NOM;SG	PRO;MASC;SG;3
kauden	anotimpul	kausi	anotimp	N;GEN;SG	N;DEF;MASC;SG
kauden	sezonul	kausi	sezon	N;GEN;SG	N;DEF;MASC;SG
vaikka	deşi	vaikka	deşi	CONJ	CONJ;POS
vaikka	desi	vaikka	desi	CONJ	
vaikka	deşi	vaikka	deşi	CONJ	CONJ;POS
vaikka	desi	vaikka	desi	CONJ	
nimi	numele	nimi	nume	N;NOM;SG	N;DEF;MASC;SG
nimi	denumire	nimi	denumire	N;NOM;SG	N;INDF;FEM;SG
nimi	name	nimi	name	N;NOM;SG	
vuotta	ani	vuosi	an	N;PRT;SG	N;INDF;MASC;PL
vuotta	anii	vuosi	an	N;PRT;SG	N;DEF;MASC;PL
seura	clubul	seura	club	N;NOM;SG	N;DEF;MASC;SG
seura	companie	seura	companie	N;NOM;SG	N;INDF;FEM;SG
seura	compania	seura	companie	N;NOM;SG	N;DEF;FEM;SG
sijaitsee	localizată	sijaita	localiza	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;FEM;SG
sijaitsee	localizat	sijaita	localiza	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;MASC;SG
sijaitsee	situat	sijaita	situa	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;MASC;SG
sijaitsee	situata	sijaita	situat	V;IND;SG;3;PRS;FIN;ACT	ADJ;DEF;FEM;SG
sijaitsee	situate	sijaita	situa	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;FEM;PL
sijaitsee	situată	sijaita	situat	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;FEM;SG
sijaitsee	situat	sijaita	situa	V;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;MASC;SG
kolme	trei	kolme	trei	NUM;NOM;SG	NUM;PL
kolme	three	kolme	three	NUM;NOM;SG	N;INDF;MASC;SG
jota	care	joka	care	PRO;PRT;SG	PRO;3
kuva	fotografie	kuva	fotografie	N;NOM;SG	N;INDF;FEM;SG
kuva	photo	kuva	photo	N;NOM;SG	
kuva	foto	kuva	foto	N;NOM;SG	
kuva	fotografia	kuva	fotografie	N;NOM;SG	N;DEF;FEM;SG
kuva	poză	kuva	poză	N;NOM;SG	N;INDF;FEM;SG
kuva	imaginea	kuva	imagine	N;NOM;SG	N;DEF;FEM;SG
kuva	imagine	kuva	imagine	N;NOM;SG	N;INDF;FEM;SG
kuva	poza	kuva	poză	N;NOM;SG	N;DEF;FEM;SG
kuva	poză	kuva	poză	N;NOM;SG	N;INDF;FEM;SG
kuva	imagine	kuva	imagine	N;NOM;SG	N;INDF;FEM;SG
mukana	însoțire	mukana	însoțire	ADV	N;INDF;FEM;SG
mukana	cu	mukana	cu	ADV	ADP;ACC
alus	navă	alus	navă	N;NOM;SG	N;INDF;FEM;SG
alus	nava	alus	navă	N;NOM;SG	N;DEF;FEM;SG
alus	navă	alus	navă	N;NOM;SG	N;INDF;FEM;SG
alus	corabie	alus	corabie	N;NOM;SG	N;INDF;FEM;SG
kautta	via	kautta	via	ADV	
kautta	prin	kautta	prin	ADV	ADP;ACC
alkoi	început	alkaa	început	V;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
itse	self	itse	self	ADV	
suurin	maximă	suuri	maxim	ADJ;NOM;RL;SG	ADJ;INDF;FEM;SG
suurin	maxima	suuri	maxim	ADJ;NOM;RL;SG	N;DEF;FEM;SG
suurin	maxim	suuri	maxim	ADJ;NOM;RL;SG	ADJ;INDF;MASC;SG
suurin	maximum	suuri	maximum	ADJ;NOM;RL;SG	N;INDF;MASC;SG
uusi	noua	uusi	nou	ADJ;NOM;SG	ADJ;DEF;FEM;SG
uusi	noi	uusi	eu	ADJ;NOM;SG	PRO;PL;1
uusi	nouă	uusi	nou	ADJ;NOM;SG	
ajan	ora	aika	oră	N;GEN;SG	N;DEF;FEM;SG
ajan	timpul	aika	timp	N;GEN;SG	N;DEF;MASC;SG
paljon	much	paljon	much	ADV	
saa	ia	saada	lua	V;IND;SG;0;PRS;FIN;ACT	
saa	obține	saada	obține	V;IND;SG;0;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
niiden	lor	se	lui	PRO;GEN;PL	DET;3
aloitti	început	aloittaa	început	V;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
mikä	ce	mikä	ce	PRO;NOM;SG	PRO;3
pinta	suprafata	pinta	suprafată	N;NOM;SG	N;DEF;FEM;SG
pinta	suprafaţa	pinta	suprafaţa	N;NOM;SG	N;DEF;FEM;SG
pinta	suprafaţă	pinta	suprafaţă	N;NOM;SG	N;INDF;FEM;SG
pinta	suprafața	pinta	suprafață	N;NOM;SG	N;DEF;FEM;SG
pinta	suprafață	pinta	suprafață	N;NOM;SG	N;INDF;FEM;SG
helsinki	helsinki	helsinki	helsinki	N;NOM;SG	PROPN
venäjän	rusă	venäjä	rus	N;GEN;SG	ADJ;INDF;FEM;SG
venäjän	rusesc	venäjä	rusesc	N;GEN;SG	ADV
venäjän	rusa	venäjä	rusa	N;GEN;SG	N;DEF;FEM;SG
venäjän	rus	venäjä	rus	N;GEN;SG	ADJ;INDF;MASC;SG
venäjän	rusia	venäjä	rusie	N;GEN;SG	PROPN
pohjois	north	pohjois	north	N;NOM;SG	PROPN
pohjois	nordul	pohjois	nord	N;NOM;SG	N;DEF;MASC;SG
pohjois	northern	pohjois	northern	N;NOM;SG	PROPN
pohjois	nordul	pohjois	nord	N;NOM;SG	N;DEF;MASC;SG
useita	multiplu	usea	multiplu	ADJ;PRT;PL	
useita	multiplă	usea	multiplu	ADJ;PRT;PL	ADJ;INDF;FEM;SG
maalit	obiectivele	maali	obiectiv	N;NOM;PL	N;DEF;FEM;PL
maalit	vopsea	maali	vopsi	N;NOM;PL	N;DEF;FEM;SG
maalit	pictează	maali	picta	N;NOM;PL	V;IND;3;PRS;FIN
yhdessä	împreuna	yhdessä	împreuna	ADV	
yhdessä	impreuna	yhdessä	impreuna	ADV	
näyttelijä	actrita	näyttelijä	actrita	N;NOM;SG	N;DEF;FEM;SG
näyttelijä	actriță	näyttelijä	actriță	N;NOM;SG	N;INDF;FEM;SG
näyttelijä	actorul	näyttelijä	actor	N;NOM;SG	N;DEF;MASC;SG
tulee	vin	tulla	veni	V;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
aina	intotdeauna	aina	intotdeauna	ADV	
maan	pământul	maa	pământ	N;GEN;SG	N;DEF;MASC;SG
maan	pamant	maa	pamant	N;GEN;SG	
maan	țară	maa	țară	N;GEN;SG	N;INDF;FEM;SG
maan	tara	maa	tară	N;GEN;SG	N;DEF;FEM;SG
maan	țara	maa	țară	N;GEN;SG	N;DEF;FEM;SG
maan	ţara	maa	gară	N;GEN;SG	N;DEF;FEM;SG
maan	ţară	maa	ţară	N;GEN;SG	N;INDF;FEM;SG
elokuva	peliculă	elo#kuva	pelicul	N;NOM;SG	N;INDF;FEM;SG
saksan	german	saksa	german	N;GEN;SG	ADJ;INDF;MASC;SG
saksan	germana	saksa	germană	N;GEN;SG	N;DEF;FEM;SG
saksan	germană	saksa	germană	N;GEN;SG	N;INDF;FEM;SG
saksan	germania	saksa	germania	N;GEN;SG	PROPN
kaupunki	oraşul	kaupunki	orac	N;NOM;SG	N;DEF;MASC;SG
kaupunki	oraşul	kaupunki	orac	N;NOM;SG	N;DEF;MASC;SG
kaupunki	orașul	kaupunki	oraș	N;NOM;SG	N;DEF;MASC;SG
etelä	southern	etelä	southern	N;NOM;SG	PROPN
etelä	sudic	etelä	sudic	N;NOM;SG	ADJ;INDF;MASC;SG
etelä	sudul	etelä	sud	N;NOM;SG	N;DEF;MASC;SG
etelä	sudul	etelä	sud	N;NOM;SG	N;DEF;MASC;SG
euroopan	europe	eurooppa	europă	PROPN;GEN;SG	
euroopan	europei	eurooppa	europă	PROPN;GEN;SG	PROPN;DEF;FEM;SG
euroopan	europa	eurooppa	europa	PROPN;GEN;SG	PROPN
euroopan	europă	eurooppa	europă	PROPN;GEN;SG	N;INDF;FEM;SG
euroopan	europene	eurooppa	european	PROPN;GEN;SG	ADJ;INDF;FEM;PL
euroopan	europeană	eurooppa	european	PROPN;GEN;SG	ADJ;INDF;FEM;SG
euroopan	europeni	eurooppa	european	PROPN;GEN;SG	ADJ;INDF;MASC;PL
euroopan	european	eurooppa	european	PROPN;GEN;SG	ADJ;INDF;MASC;SG
katso	vezi	katsoa	vedea	V;IMP;SG;2;FIN;ACT	V;IND;SG;2;PRS;FIN
katso	ceas	katsoa	ceas	V;IMP;SG;2;FIN;ACT	N;INDF;MASC;SG
katso	uite	katsoa	uita	V;IMP;SG;2;FIN;ACT	
muita	altele	muu	altul	PRO;PRT;PL	PRO;FEM;PL;3
muita	altii	muu	altul	PRO;PRT;PL	
muita	alții	muu	altul	PRO;PRT;PL	PRO;MASC;PL;3
käyttää	folosirea	käyttää	folosire	V;IND;SG;PRS;FIN;ACT	N;DEF;FEM;SG
käyttää	utilizarea	käyttää	utilizare	V;IND;SG;PRS;FIN;ACT	N;DEF;FEM;SG
käyttää	utilizarea	käyttää	utilizare	V;IND;SG;PRS;FIN;ACT	N;DEF;FEM;SG
käyttää	utilizare	käyttää	utilizare	V;IND;SG;PRS;FIN;ACT	N;INDF;FEM;SG
käyttää	utilizările	käyttää	utilizare	V;IND;SG;PRS;FIN;ACT	N;DEF;FEM;PL
käyttää	utilizări	käyttää	utilizare	V;IND;SG;PRS;FIN;ACT	N;INDF;FEM;PL
kertaa	timpuri	kerta	timp	N;PRT;SG	N;INDF;FEM;PL
kertaa	timpurile	kerta	timp	N;PRT;SG	N;DEF;FEM;PL
kertaa	vremuri	kerta	vreme	N;PRT;SG	N;INDF;FEM;PL
muut	altele	muu	altul	PRO;NOM;PL	PRO;FEM;PL;3
muut	alte	muu	alt	PRO;NOM;PL	DET;FEM;PL;3
muut	alți	muu	alt	PRO;NOM;PL	DET;MASC;PL;3
muut	altele	muu	altul	PRO;NOM;PL	PRO;FEM;PL;3
muut	altii	muu	altul	PRO;NOM;PL	
muut	alții	muu	altul	PRO;NOM;PL	PRO;MASC;PL;3
yhden	una	yksi	unul	NUM;GEN;SG	PRO;FEM;SG;3
yhden	unul	yksi	unul	NUM;GEN;SG	PRO;MASC;SG;3
yhden	unu	yksi	unu	NUM;GEN;SG	NUM;MASC;SG
syntyi	nascut	syntyä	naște	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
syntyi	născută	syntyä	naște	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;SG
syntyi	născut	syntyä	naște	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
vuodet	anii	vuosi	an	N;NOM;PL	N;DEF;MASC;PL
suomi	finlanda	suomi	finlanda	PROPN;NOM;SG	PROPN
neljä	four	neljä	four	NUM;NOM;SG	N;INDF;MASC;SG
neljä	patru	neljä	patru	NUM;NOM;SG	NUM;PL
alueen	regiunea	alue	regiune	N;GEN;SG	N;DEF;FEM;SG
alueen	regiune	alue	regiune	N;GEN;SG	N;INDF;FEM;SG
john	john	joka	john	PROPN;NOM;SG	PROPN
john	ioan	joka	ioan	PROPN;NOM;SG	PROPN
yhtye	trupă	yhtye	trupă	N;NOM;SG	N;INDF;FEM;SG
yhtye	trupa	yhtye	trupă	N;NOM;SG	N;DEF;FEM;SG
yhtye	formație	yhtye	formație	N;NOM;SG	N;INDF;FEM;SG
yhtye	formatie	yhtye	formatie	N;NOM;SG	N;INDF;FEM;SG
heidän	lor	hän	lui	PRO;GEN;PL;3	DET;3
saanut	primite	saada	primit	V;NOM;SG;V.PTCP;ACT	ADJ;INDF;FEM;PL
saanut	primită	saada	primi	V;NOM;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
ranskan	franceză	ranska	francez	N;GEN;SG	ADJ;INDF;FEM;SG
ranskan	franceza	ranska	franceza	N;GEN;SG	N;DEF;FEM;SG
ranskan	francezi	ranska	francez	N;GEN;SG	ADJ;INDF;MASC;PL
ranskan	francez	ranska	francez	N;GEN;SG	ADJ;INDF;MASC;SG
ranskan	franţa	ranska	frangă	N;GEN;SG	PROPN
ranskan	franța	ranska	franța	N;GEN;SG	PROPN
ranskan	franta	ranska	frantă	N;GEN;SG	PROPN
mitä	ce	mikä	ce	PRO;PRT;SG	PRO;3
näin	văzut	näin	văzut	ADV	ADJ;INDF;MASC;SG
näin	fierăstrău	näin	fierăstrău	ADV	N;INDF;MASC;SG
näin	ferăstrău	näin	ferăstrău	ADV	N;INDF;MASC;SG
tarkoittaa	inseamna	tarkoittaa	inseamna	V;IND;SG;3;PRS;FIN;ACT	
tarkoittaa	mijloace	tarkoittaa	mijloc	V;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
toimii	lucrări	toimia	lucrare	V;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
toimii	lucrari	toimia	lucrar	V;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
pelaaja	jucătorul	pelaaja	jucător	N;NOM;SG	N;DEF;MASC;SG
albumi	albumul	albumi	album	N;NOM;SG	N;DEF;MASC;SG
pitää	aprecierile	pitää	apreciere	V;IND;SG;0;PRS;FIN;ACT	N;DEF;FEM;PL
pitää	aprecieri	pitää	apreciere	V;IND;SG;0;PRS;FIN;ACT	N;INDF;FEM;PL
metriä	metri	metri	metru	N;PRT;SG	N;INDF;MASC;PL
metriä	contoare	metri	contoare	N;PRT;SG	N;INDF;FEM;PL
metriä	metri	metri	metru	N;PRT;SG	N;INDF;MASC;PL
alle	dedesubt	alle	dedesubt	ADV	
alle	sub	alle	sub	ADV	ADP;ACC
laulu	vocal	laulu	vocal	N;NOM;SG	ADJ;INDF;MASC;SG
laulu	cântând	laulu	cânta	N;NOM;SG	V;V.MSDR
laulu	cantand	laulu	cantand	N;NOM;SG	
laulu	melodie	laulu	melodie	N;NOM;SG	N;INDF;FEM;SG
välillä	intre	välillä	intra	ADV	V;SBJV;3;PRS;FIN
välillä	între	välillä	între	ADV	ADP;ACC
valittiin	selectate	valita	selecta	V;IND;PST;FIN;PASS	ADJ;INDF;FEM;PL
valittiin	selectată	valita	selecta	V;IND;PST;FIN;PASS	ADJ;INDF;FEM;SG
valittiin	selectat	valita	selectat	V;IND;PST;FIN;PASS	ADJ;INDF;MASC;SG
tässä	aici	tämä	aici	PRO;IN+ESS;SG	ADV
suuri	mari	suuri	mare	ADJ;NOM;SG	ADJ;INDF;PL
suuri	big	suuri	big	ADJ;NOM;SG	N;INDF;MASC;SG
osallistui	participat	osallistua	participa	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
joukkue	echipa	joukkue	echipă	N;NOM;SG	N;DEF;FEM;SG
joukkue	squad	joukkue	squad	N;NOM;SG	ADJ
joukkue	grupă	joukkue	grupă	N;NOM;SG	N;INDF;FEM;SG
joukkue	echipă	joukkue	echipă	N;NOM;SG	N;INDF;FEM;SG
joukkue	echipa	joukkue	echipă	N;NOM;SG	N;DEF;FEM;SG
luettelo	lista	luettelo	listă	N;NOM;SG	N;DEF;FEM;SG
luettelo	listă	luettelo	listă	N;NOM;SG	N;INDF;FEM;SG
edelleen	inca	edelleen	inca	ADV	
edelleen	tot	edelleen	tot	ADV	PRO;MASC;SG;3
alue	regiunea	alue	regiune	N;NOM;SG	N;DEF;FEM;SG
alue	regiune	alue	regiune	N;NOM;SG	N;INDF;FEM;SG
alue	zonă	alue	zonă	N;NOM;SG	N;INDF;FEM;SG
alue	zona	alue	zonă	N;NOM;SG	N;DEF;FEM;SG
alue	zonă	alue	zonă	N;NOM;SG	N;INDF;FEM;SG
alue	zona	alue	zonă	N;NOM;SG	N;DEF;FEM;SG
alue	suprafață	alue	suprafață	N;NOM;SG	N;INDF;FEM;SG
maailman	lumea	maailma	lume	N;GEN;SG	N;DEF;FEM;SG
maailman	lume	maailma	lume	N;GEN;SG	N;INDF;FEM;SG
maailman	world	maailma	world	N;GEN;SG	PROPN
kirjailija	scriitorul	kirjailija	scriitor	N;NOM;SG	N;DEF;MASC;SG
kirjailija	scriitoare	kirjailija	scriitor	N;NOM;SG	ADJ;INDF;FEM
kirjailija	autorul	kirjailija	autor	N;NOM;SG	N;DEF;MASC;SG
ilman	fara	ilman	fară	ADV	
ilman	fără	ilman	fără	ADV	ADP;ACC
sodan	războiul	sota	război	N;GEN;SG	N;DEF;MASC;SG
tunnetaan	cunoscut	tuntea	cunoscut	V;IND;PRS;FIN;PASS	ADJ;INDF;MASC;SG
tunnetaan	cunoscută	tuntea	cunoscut	V;IND;PRS;FIN;PASS	ADJ;INDF;FEM;SG
tunnetaan	cunoscute	tuntea	cunoscut	V;IND;PRS;FIN;PASS	ADJ;INDF;FEM;PL
takaisin	inapoi	takaisin	inapoi	ADV	
takaisin	back	takaisin	back	ADV	
takaisin	spate	takaisin	spate	ADV	N;INDF;MASC;SG
ruotsin	suedeza	ruotsi	suedeză	N;GEN;SG	ADJ;DEF;FEM;SG
ruotsin	suedezi	ruotsi	suedez	N;GEN;SG	ADJ;INDF;MASC;PL
ruotsin	suedeză	ruotsi	suedeză	N;GEN;SG	N;INDF;FEM;SG
ruotsin	suedez	ruotsi	suedez	N;GEN;SG	ADJ;INDF;MASC;SG
perustettiin	fondată	perustaa	fondat	V;IND;PST;FIN;PASS	ADJ;INDF;FEM;SG
perustettiin	fondat	perustaa	fonda	V;IND;PST;FIN;PASS	ADJ;INDF;MASC;SG
palasi	returnat	palata	returna	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
palasi	returnată	palata	returna	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;SG
entinen	fosta	entinen	fost	ADJ;NOM;SG	ADJ;DEF;FEM;SG
tätä	asta	tämä	acesta	PRO;PRT;SG	PRO;FEM;SG;3
tätä	aceasta	tämä	acesta	PRO;PRT;SG	PRO;FEM;SG;3
aiemmin	anterioare	aiemmin	anterior	ADV	ADJ;INDF;FEM;PL
valmistui	absolvit	valmistua	absolvi	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
kappale	paragraful	kappale	paragraf	N;NOM;SG	N;DEF;MASC;SG
kappale	melodie	kappale	melodie	N;NOM;SG	N;INDF;FEM;SG
kitara	chitară	kitara	chitară	N;NOM;SG	V;IND;SG;3;PST;FIN
kitara	chitara	kitara	chitară	N;NOM;SG	N;DEF;FEM;SG
kitara	chitare	kitara	chitar	N;NOM;SG	N;INDF;FEM;PL
pituus	lungime	pituus	lungime	N;NOM;SG	N;INDF;FEM;SG
pituus	lungimea	pituus	lungime	N;NOM;SG	N;DEF;FEM;SG
pituus	inaltime	pituus	inaltim	N;NOM;SG	
pituus	înălţime	pituus	înălţime	N;NOM;SG	N;INDF;FEM;SG
pituus	înălțimea	pituus	înălțime	N;NOM;SG	N;DEF;FEM;SG
pituus	înălțime	pituus	înălțime	N;NOM;SG	N;INDF;FEM;SG
miljoonaa	milioane	miljoona	milion	NUM;PRT;SG	NUM;INDF;FEM;PL
isbn	isbn	isbn	isbn	N;NOM;SG	
julkaisi	postată	julkaista	posta	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;SG
