усвояване	الاستيعاب	усвояване	اِستِيعَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
възли	العقيدات	възел	عَقِيدَة	N;INDF;MASC;PL	N;NOM;DEF;PL
индивидуално	فرادى	индивидуално	فرادى	ADV	
индивидуално	فرديا	индивидуално	فَردِيّ	ADV	ADJ;ACC;INDF;MASC;SG
индивидуално	فرد	индивидуално	فَرد	ADV	N;NOM;INDF;SG
индивидуално	فردية	индивидуално	فَردِيّ	ADV	ADJ;NOM;INDF;FEM;SG
индивидуално	فردي	индивидуално	فَردِيّ	ADV	ADJ;NOM;INDF;MASC;SG
индивидуално	الفردية	индивидуално	فَردِيّ	ADV	ADJ;NOM;DEF;FEM;SG
индивидуално	الفرد	индивидуално	فَرد	ADV	N;NOM;DEF;SG
пери	بيري	пери	بِيرِي	PROPN;INDF;MASC;SG	
групова	مجموعة	групов	مَجمُوعَة	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
групова	المجموعة	групов	مَجمُوعَة	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
трансилвания	ترانسيلفانيا	трансилван	ترانسيلفانيا	N;INDF;FEM;SG	
трън	ثورن	трън	ثُورن	N;INDF;MASC;SG	
барабанист	الطبال	барабанист	طَبِيل	N;INDF;MASC;SG	
червеи	ديدان	червей	ديدان	N;INDF;FEM;PL	
червеи	الديدان	червей	الديدان	N;INDF;FEM;PL	
червеи	دودة	червей	دَودَة	N;INDF;FEM;PL	N;NOM;INDF;SG
червеи	الدودة	червей	دَودَة	N;INDF;FEM;PL	N;NOM;DEF;SG
положителни	ايجابي	положителен	إِيجَابِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
положителни	الايجابي	положителен	إِيجَابِيّ	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;SG
положителни	ايجابية	положителен	إِيجَابِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
положителни	الايجابية	положителен	إِيجَابِيّ	ADJ;INDF;PL	ADJ;NOM;DEF;FEM;SG
положителни	موجب	положителен	مُوجِب	ADJ;INDF;PL	N;NOM;INDF;SG
мурад	مراد	мурад	مَرد	N;INDF;MASC;SG	
чака	شاكا	чакам	شَاك	V;IPFV;IND;SG;3;PRS;FIN;ACT	
буквите	الاحرف	буква	أَحرَف	N;DEF;FEM;PL	N;NOM;DEF;SG
буквите	احرف	буква	احرف	N;DEF;FEM;PL	N;NOM;INDF;PL
буквите	رسائل	буква	رِسَالَة	N;DEF;FEM;PL	N;NOM;INDF;PL
буквите	حروف	буква	حَرف	N;DEF;FEM;PL	N;NOM;INDF;PL
анатолий	اناتولي	анатолий	إِنتُولِيّ	N;INDF;MASC;SG	
дебели	السمين	дебел	سَمِين	ADJ;INDF;PL	N;NOM;DEF;SG
дебели	بدين	дебел	بدين	ADJ;INDF;PL	
дебели	الدهون	дебел	دَهن	ADJ;INDF;PL	N;NOM;DEF;PL
дебели	سمين	дебел	سَمِين	ADJ;INDF;PL	
дебели	دهن	дебел	دِهن	ADJ;INDF;PL	
конференции	المؤتمرات	конференция	مُؤتَمَر	N;INDF;FEM;PL	N;NOM;DEF;PL
баница	الفطيرة	баница	فَطِير	N;INDF;FEM;SG	N;NOM;DEF;SG
атентат	الاغتيال	атентат	اِغتِيَال	N;INDF;MASC;SG	N;NOM;DEF;SG
атентат	التفجير	атентат	تَفجِير	N;INDF;MASC;SG	N;NOM;DEF;SG
атентат	القصف	атентат	قَصف	N;INDF;MASC;SG	N;NOM;DEF;SG
възрастен	راشد	възрастен	راشد	ADJ;INDF;MASC;SG	
соли	املاح	сола	مَلَح	N;INDF;FEM;PL	
водачи	السائقين	водач	سَائِق	N;INDF;MASC;PL	N;NOM;DEF;PL
водачи	الزعماء	водач	زَعِيم	N;INDF;MASC;PL	N;NOM;DEF;PL
водачи	القادة	водач	قَائِد	N;INDF;MASC;PL	N;NOM;DEF;PL
бягане	الركض	бягане	رُكض	N;INDF;NEUT;SG	N;NOM;DEF;SG
бягане	الجري	бягане	الجري	N;INDF;NEUT;SG	N;NOM;DEF;SG
бягане	ركض	бягане	ركض	N;INDF;NEUT;SG	
бягане	الركض	бягане	رُكض	N;INDF;NEUT;SG	N;NOM;DEF;SG
колин	كولن	колин	كُولِن	PROPN;INDF;MASC;SG	
обвинение	الاتهام	обвинение	اِتِّهَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
преден	واجهة	преден	وَاجِهَة	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
преден	جبهة	преден	جَبهَة	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
преден	الجبهة	преден	جَبهَة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
комунист	الشيوعية	комунист	شُيُوعِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
комунист	شيوعي	комунист	شُيُوعِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
комунист	الشيوعي	комунист	شُيُوعِيّ	N;INDF;MASC;SG	N;NOM;DEF;SG
шампиона	بطل	шампион	بَطَل	N;DEF;MASC;SG	N;NOM;INDF;SG
мине	تمرير	мина-(се)	تَمرِير	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;INDF;SG
крилото	وينج	крило	وينج	N;DEF;NEUT;SG	
крилото	جناح	крило	جَنَاح	N;DEF;NEUT;SG	N;NOM;INDF;SG
учил	درست	уча-(се)	دَرَس	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
преработка	التجهيز	преработка	تَجهِيز	N;INDF;FEM;SG	N;NOM;DEF;SG
преработка	المعالجة	преработка	مُعَالَجَة	N;INDF;FEM;SG	N;NOM;DEF;SG
преработка	المراجعة	преработка	مُرَاجَعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
преработка	التنقيح	преработка	تَنقِيح	N;INDF;FEM;SG	N;NOM;DEF;SG
фриц	فريتز	фриц	فريتز	PROPN;INDF;MASC;SG	
озаглавена	بعنوان	озаглавя	بعنوان	V;PFV;INDF;FEM;SG;V.PTCP;PASS	
озаглавена	معنون	озаглавя	مَعنُون	V;PFV;INDF;FEM;SG;V.PTCP;PASS	
молитва	الصلوات	молитва	صَلوَة	N;INDF;FEM;SG	N;NOM;DEF;PL
молитва	الدعاء	молитва	دُعَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
молитва	صلوات	молитва	صَلوَة	N;INDF;FEM;SG	N;NOM;INDF;PL
молитва	الصلاة	молитва	صَلَاة	N;INDF;FEM;SG	N;NOM;DEF;SG
молитва	الدعاء	молитва	دُعَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
дълбок	عمق	дълбок	عُمق	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
небе	السما	небе	سَمَا	N;INDF;NEUT;SG	N;NOM;DEF;SG
небе	سكاي	небе	سَاكِي	N;INDF;NEUT;SG	
небе	السماء	небе	سَمَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
небе	السماوات	небе	سَمَاوَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
случаят	حالة	случай	حَالَة	N;DEF;MASC;SG	N;NOM;INDF;SG
случаят	قضية	случай	قَضِيَّة	N;DEF;MASC;SG	N;NOM;INDF;SG
случаят	كايس	случай	كَايس	N;DEF;MASC;SG	
домейн	النطاق	домейн	نِطَاق	N;INDF;MASC;SG	N;NOM;DEF;SG
домейн	المجال	домейн	مَجَال	N;INDF;MASC;SG	N;NOM;DEF;SG
елиът	اليوت	ели	يَوت	N;DEF;MASC;SG	
мейн	مين	мейн	مين	PROPN;INDF;MASC;SG	
мейн	ماين	мейн	ماين	PROPN;INDF;MASC;SG	
сложно	معقدة	сложен	مُعَقَّد	ADV	ADJ;NOM;INDF;FEM;SG
сложно	معقد	сложен	مُعَقَّد	ADV	ADJ;NOM;INDF;MASC;SG
съдействие	التعاون	съдействие	تَعَاوُن	N;INDF;NEUT;SG	N;NOM;DEF;SG
плат	بلات	плат	بَلَأ	N;INDF;MASC;SG	
плат	القماش	плат	قِمَاش	N;INDF;MASC;SG	N;NOM;DEF;SG
плат	النسيج	плат	نَسِيج	N;INDF;MASC;SG	N;NOM;DEF;SG
плат	نسيج	плат	نَسِيج	N;INDF;MASC;SG	
плат	القماش	плат	قِمَاش	N;INDF;MASC;SG	N;NOM;DEF;SG
точни	دقيقا	точен	دَقِيق	ADJ;INDF;PL	ADJ;ACC;INDF;MASC;SG
точни	دقيق	точен	دَقِيق	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
съливан	سوليفان	съливам	سوليفان	PROPN;INDF;MASC;SG	
разум	الاحساس	разум	إِحسَاس	N;INDF;MASC;SG	N;NOM;DEF;SG
служил	خدمت	служа	خَدَم	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
служил	خدم	служа	خَدَم	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT	
телата	جثث	тяло	جُثَّة	N;DEF;NEUT;PL	N;NOM;INDF;PL
телата	اجساد	тяло	إِجسَاد	N;DEF;NEUT;PL	N;NOM;INDF;PL
отсъствие	غائبة	отсъствие	غَائِبَة	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
отсъствие	غائب	отсъствие	غَائِب	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
отсъствие	غائبا	отсъствие	غَائِب	N;INDF;NEUT;SG	ADJ;ACC;INDF;MASC;SG
отсъствие	الغياب	отсъствие	غِيَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
забранени	محرم	забраня	محرم	V;PFV;INDF;PL;V.PTCP;PASS	N;NOM;INDF;SG
забранени	ممنوع	забраня	مَمنُوع	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
забранени	حرام	забраня	حَرَام	V;PFV;INDF;PL;V.PTCP;PASS	
забранени	محظور	забраня	مَحظُور	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
забранени	محظورة	забраня	مَحظُور	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
ферара	فيرارا	ферар	فَيرَار	N;INDF;FEM;SG	
нанси	نانسي	нанса	نانسي	PROPN;INDF;FEM;SG	
бокса	ملاكمة	бокса	مُلَاكَمَة	N;DEF;MASC;SG	N;NOM;INDF;SG
духовни	روحاني	духовен	روحاني	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
духовни	روحانية	духовен	رُوحَانِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
духовни	الروحية	духовен	رُوحِيَّة	ADJ;INDF;PL	ADJ;NOM;DEF;FEM;SG
духовни	روحية	духовен	رُوحِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
възникване	الحدوث	възникване	حُدُوث	N;INDF;NEUT;SG	N;NOM;DEF;SG
съседи	الجيران	съсед	جِيرَان	N;INDF;MASC;PL	N;NOM;DEF;SG
съседи	جيران	съсед	جِيرَان	N;INDF;MASC;PL	
съседи	الجيران	съсед	جِيرَان	N;INDF;MASC;PL	N;NOM;DEF;SG
въртене	سبين	въртене	سَبَين	N;INDF;NEUT;SG	
въртене	تدور	въртене	دَار	N;INDF;NEUT;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
въртене	الدوران	въртене	دَوَرَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
въртене	غزل	въртене	غَزل	N;INDF;NEUT;SG	
въртене	الغزل	въртене	غَزل	N;INDF;NEUT;SG	N;NOM;DEF;SG
въртене	المحور	въртене	مِحوَر	N;INDF;NEUT;SG	N;NOM;DEF;SG
въртене	محوري	въртене	مِحوَرِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
въртене	الدوران	въртене	دَوَرَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
въртене	التناوب	въртене	تَنَاوُب	N;INDF;NEUT;SG	N;NOM;DEF;SG
атоми	الذرات	атом	ذِرَة	N;INDF;MASC;PL	N;NOM;DEF;PL
облак	السحاب	облак	سَحَّاب	N;INDF;MASC;SG	N;NOM;DEF;SG
хищници	المفترسين	хищница	مُفتَرِس	N;INDF;FEM;PL	N;NOM;DEF;PL
съмнения	الشك	съмнение	شَكّ	N;INDF;NEUT;PL	N;NOM;DEF;SG
съмнения	اشك	съмнение	شَكّ	N;INDF;NEUT;PL	
съмнения	شك	съмнение	شَكّ	N;INDF;NEUT;PL	N;NOM;INDF;SG
съмнения	الشكوك	съмнение	شَكّ	N;INDF;NEUT;PL	N;NOM;DEF;PL
реагира	يتفاعل	реагирам	تَفَاعَل	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
реагира	تتفاعل	реагирам	تَفَاعَل	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
реагира	تتفاعل	реагирам	تَفَاعَل	V;PFV;IND;SG;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
румънска	الروماني	румънски	رُومَانِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
румънска	رومانيا	румънски	رُومَانِيَا	ADJ;INDF;FEM;SG	
румънска	الرومانية	румънски	رُومَانِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
легендите	اساطير	легенд	أُسطُورَة	N;DEF;MASC;PL	N;NOM;INDF;PL
неколкократно	مرارا	неколкократно	مِرَار	ADV	N;ACC;INDF;SG
енрике	انريكي	енрике	أَنرِيكِيّ	PROPN;INDF;MASC;SG	
мелбърн	ملبورن	мелбърн	ملبورن	N;INDF;MASC;SG	
мрамор	الرخام	мрамор	رُخَام	N;INDF;MASC;SG	N;NOM;DEF;SG
водопад	شلالات	водопад	شَلَالَة	N;INDF;MASC;SG	N;NOM;INDF;PL
водопад	الشلال	водопад	شَلَال	N;INDF;MASC;SG	N;NOM;DEF;SG
водопад	الشلالات	водопад	شَلَالَة	N;INDF;MASC;SG	N;NOM;DEF;PL
часовник	الساعة	часовник	سَاعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
часовник	الساعه	часовник	اَلسَّاعه	N;INDF;MASC;SG	N;NOM;DEF;SG
икономисти	الاقتصاديين	икономист	اِقتِصَادِيّ	N;INDF;MASC;PL	ADJ;NOM;DEF;MASC;PL
тезата	اطروحة	теза	أُطرُوحَة	N;DEF;FEM;SG	N;NOM;INDF;SG
притежание	الحيازة	притежание	حِيَازَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
притежание	الاستحواذ	притежание	اِستِحوَاذ	N;INDF;NEUT;SG	N;NOM;DEF;SG
притежание	الملكية	притежание	مِلكِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
обединено	متحدين	обединя-(се)	مُتَّحِد	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;ACC;INDF;MASC;PL
обединено	المتحدة	обединя-(се)	مُتَّحِد	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG
обединено	متحدة	обединя-(се)	مُتَّحِد	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
послание	رساله	послание	رساله	N;INDF;NEUT;SG	PRO;NOM;FEM;SG;3
послание	الرسالة	послание	رِسَالَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
пясък	الرمال	пясък	رَمل	N;INDF;MASC;SG	N;NOM;DEF;SG
пясък	الرمل	пясък	رَمل	N;INDF;MASC;SG	N;NOM;DEF;SG
пясък	ساند	пясък	ساند	N;INDF;MASC;SG	
пясък	رمل	пясък	رَمل	N;INDF;MASC;SG	
пясък	رمال	пясък	رَمل	N;INDF;MASC;SG	
пясък	ساندز	пясък	ساندز	N;INDF;MASC;SG	
вселена	الكون	вселя	كَون	N;INDF;FEM;SG	N;NOM;DEF;SG
горещо	حار	горещо	حَارّ	ADV	N;NOM;INDF;SG
горещо	حارة	горещо	حَارّ	ADV	N;NOM;INDF;SG
горещо	ساخنة	горещо	سَاخِن	ADV	ADJ;NOM;INDF;FEM;SG
горещо	ساخن	горещо	سَاخِن	ADV	ADJ;NOM;INDF;MASC;SG
споразумения	الترتيبات	споразумение	تَرتِيب	N;INDF;NEUT;PL	N;NOM;DEF;PL
споразумения	الاتفاقات	споразумение	اِتِّفَاق	N;INDF;NEUT;PL	N;NOM;DEF;PL
смесен	المختلطة	смесен	مُختَلِط	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
смесен	المختلط	смесен	مُختَلِط	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
смесен	المخلوطة	смесен	مَخلُوط	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
съществени	اساسي	съществен	أَسَاسِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
надеждата	هوب	надежда	هوب	N;DEF;FEM;SG	
надеждата	امل	надежда	امل	N;DEF;FEM;SG	
надя	ناديا	надя	نَادِي	PROPN;INDF;FEM;SG	
надя	نادية	надя	نَادِي	PROPN;INDF;FEM;SG	
победители	الفائزين	победител	فَائِز	N;INDF;MASC;PL	ADJ;NOM;DEF;MASC;PL
победители	الفائزون	победител	فَائِز	N;INDF;MASC;PL	N;NOM;DEF;PL
гимнастика	الجمباز	гимнастика	جُمبَاز	N;INDF;FEM;SG	N;NOM;DEF;SG
предградие	الضواحي	предградие	ضَاحِيَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
предградие	ضواحي	предградие	ضَاحِيَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
нестор	نستور	нестор	نستور	N;INDF;MASC;SG	
тенденции	اتجاه	тенденция	اِتِّجَاه	N;INDF;FEM;PL	N;NOM;INDF;SG
тенденции	الاتجاه	тенденция	اِتِّجَاه	N;INDF;FEM;PL	N;NOM;DEF;SG
тенденции	التوجهات	тенденция	تَوَجُّه	N;INDF;FEM;PL	N;NOM;DEF;PL
тенденции	الاتجاهات	тенденция	اِتِّجَاه	N;INDF;FEM;PL	N;NOM;DEF;PL
скачване	الالتحام	скачване	اِلتِحَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
въглероден	الكربون	въглероден	الكربون	N;INDF;MASC;SG	
въглероден	كربون	въглероден	كربون	N;INDF;MASC;SG	
въглероден	الكربوني	въглероден	الكربوني	N;INDF;MASC;SG	
залцбург	سالزبورغ	залцбург	سالزبورغ	PROPN;INDF;MASC;SG	
мак	ماك	мак	مَاك	N;INDF;MASC;SG	
уникални	فريدون	уникален	فريدون	ADJ;INDF;PL	
уникални	فريدة	уникален	فَرِيد	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
уникални	فريد	уникален	فريد	ADJ;INDF;PL	
осветена	مضاءة	осветя	مُضَاء	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;NOM;INDF;SG
влияния	المؤثرات	влияние	مُؤَثِّر	N;INDF;NEUT;PL	ADJ;NOM;DEF;FEM;PL
влияния	التاثيرات	влияние	تَاثِير	N;INDF;NEUT;PL	N;NOM;DEF;PL
паркър	باركر	паркър	باركر	N;INDF;MASC;SG	
красив	وسيم	красив	وسيم	ADJ;INDF;MASC;SG	
красив	الوسيم	красив	وَسِيم	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
логото	شعار	лого	شِعَار	N;DEF;NEUT;SG	N;NOM;INDF;SG
унищожаване	دمر	унищожаване	دَمَّر	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
унищожаване	تدمر	унищожаване	دَمَّر	N;INDF;NEUT;SG	
унищожаване	التخلص	унищожаване	تَخَلُّص	N;INDF;NEUT;SG	N;NOM;DEF;SG
унищожаване	الدمار	унищожаване	دَمَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
унищожаване	التدمير	унищожаване	تَدمِير	N;INDF;NEUT;SG	N;NOM;DEF;SG
тувалу	توفالو	тувалу	توفالو	N;INDF;MASC;SG	
изчисления	الحسابات	изчисление	حِسَاب	N;INDF;NEUT;PL	N;NOM;DEF;PL
алис	الس	алис	سَ	PROPN;INDF;FEM;SG	
алис	اليس	алис	يس	PROPN;INDF;FEM;SG	
консултант	استشاري	консултант	اِستِشَارِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
драматични	درامي	драматичен	درامي	ADJ;INDF;PL	N;NOM;INDF;SG
драматични	درامية	драматичен	دِرَامِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
познание	المعرفة	познание	مَعرِفَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
познание	المعارف	познание	مَعرِفَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
скулптури	النحت	скулптура	نَحت	N;INDF;FEM;PL	N;NOM;DEF;SG
скулптури	تمثال	скулптура	تِمثَال	N;INDF;FEM;PL	N;NOM;INDF;SG
