szczegółowe	podrobně	szczegółowy	podrobně	ADJ;NOM;NEUT;SG	ADV;POS
wprowadzone	zavedené	wprowadzić	zavedený	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
wprowadzone	zavedena	wprowadzić	zavedený	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;POS;V.PTCP;PASS
wprowadzone	představil	wprowadzić	představit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
wprowadzone	provedena	wprowadzić	provedený	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;POS;V.PTCP;PASS
przewagę	výhoda	przewaga	výhoda	N;ACC;FEM;SG	N;NOM;FEM;SG;POS
przewagę	zvýhodnění	przewaga	zvýhodnění	N;ACC;FEM;SG	N;NOM;NEUT;SG;POS
przewagę	výhodou	przewaga	výhoda	N;ACC;FEM;SG	N;INS;FEM;SG;POS
operze	opera	operz	opera		N;NOM;FEM;SG;POS
operze	opery	operz	opera		N;NOM;FEM;PL;POS
operze	operu	operz	opera		N;ACC;FEM;SG;POS
kazachstanu	kazašské	kazachstan	kazašský	N;GEN;MASC;SG	ADJ;NOM;NEUT;SG;POS
kazachstanu	kazachstán	kazachstan	kazachstán	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
fal	vlny	fala	vlna		N;NOM;FEM;PL;POS
fal	vln	fala	vlna		N;GEN;FEM;PL;POS
newcastle	newcastle	newcastla	newcastle	N;NOM;NEUT;SG	PROPN;INAN;NOM;MASC;SG;POS
wolę	přednost	woleć	přednost	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;FEM;SG;POS
sycylii	sicílie	sycylia	sicílie	N;GEN;FEM;SG	N;NOM;FEM;SG;POS
szkła	skla	szkło	sklo	N;NOM;NEUT;SG	N;NOM;NEUT;PL;POS
larwy	larvy	larwa	larva		N;NOM;FEM;PL;POS
larwy	larva	larwa	larva		N;NOM;FEM;SG;POS
larwy	larvy	larwa	larva		N;NOM;FEM;PL;POS
larwy	červi	larwa	červ		N;ANIM;NOM;MASC;PL;POS
larwy	červy	larwa	červ		N;INAN;NOM;MASC;PL;POS
larwy	larvy	larwa	larva		N;NOM;FEM;PL;POS
hamburgu	hamburku	hamburg	hamburk	N;ACC;MASC;SG	PROPN;INAN;GEN;MASC;SG;POS
motor	motorka	motor	motorka		N;NOM;FEM;SG;POS
motor	kolo	motor	kolo		N;NOM;NEUT;SG;POS
motor	motocykl	motor	motocykl		N;INAN;NOM;MASC;SG;POS
motor	motocykl	motor	motocykl		N;INAN;NOM;MASC;SG;POS
motor	motorky	motor	motorka		N;NOM;FEM;PL;POS
motor	motorce	motor	motorka		N;DAT;FEM;SG;POS
motor	motorka	motor	motorka		N;NOM;FEM;SG;POS
motor	motocyklu	motor	motocykl		N;INAN;DAT;MASC;SG;POS
motor	motor	motor	motor		N;INAN;NOM;MASC;SG;POS
motor	motorka	motor	motorka		N;NOM;FEM;SG;POS
wolna	volná	wolny	volný		ADJ;NOM;FEM;SG;POS
wolna	volné	wolny	volný		ADJ;NOM;NEUT;SG;POS
wolna	volný	wolny	volný		ADJ;INAN;NOM;MASC;SG;POS
wolna	free	wolny	free		ADJ;POS
wolna	zdarma	wolny	zdarma		ADV
rick	rick	rick	rick	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
rick	ricka	rick	ricko	PROPN;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
hitler	hitlera	hitler	hitler	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
instrument	nástroj	instrument	nástroj	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
chrześcijaństwa	křesťanství	chrześcijaństwo	křesťanství	N;GEN;NEUT;SG	N;NOM;NEUT;SG;POS
oskarżony	obviněný	oskarżyć	obviněný		ADJ;ANIM;NOM;MASC;SG;POS
oskarżony	obviněn	oskarżyć	obviněný		ADJ;MASC;SG;POS;V.PTCP;PASS
oskarżony	obžalovaný	oskarżyć	obžalovaný		ADJ;ANIM;NOM;MASC;SG;POS
oskarżony	odpůrce	oskarżyć	odpůrce		N;ANIM;NOM;MASC;SG;POS
got	mám	gotować	mít		V;IND;SG;1;POS;PRS;FIN;ACT
got	dostal	gotować	dostat		V;MASC;SG;POS;PST;V.PTCP;ACT
harold	harold	harold	harold	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
mur	zdi	mur	zeď	N;NOM;MASC;SG	N;NOM;FEM;PL;POS
kadłub	trup	kadłub	trup	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
kadłub	trupu	kadłub	trup	N;ACC;MASC;SG	N;INAN;DAT;MASC;SG;POS
zawierał	obsahovala	zawierać	obsahovat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;POS;PST;V.PTCP;ACT
zawierał	obsahovaly	zawierać	obsahovat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;INAN;IPFV;PL;POS;PST;V.PTCP;ACT
zawierał	obsažené	zawierać	obsažený	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;NOM;MASC;PL;POS
zawierał	obsažený	zawierać	obsažený	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INAN;NOM;MASC;SG;POS
arkadiusz	arkadiusz	arkadiusz	arkadiusz	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
ustanowiony	zavedených	ustanowić	zavedený	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;GEN;MASC;PL;POS
ustanowiony	stanovena	ustanowić	stanovený	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;POS;V.PTCP;PASS
ustanowiony	zavedené	ustanowić	zavedený	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
but	bota	but	bota		N;NOM;FEM;SG;POS
but	bota	but	bota		N;NOM;FEM;SG;POS
but	bot	but	bota		N;GEN;FEM;PL;POS
marion	marion	marion	marion	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG;POS
emma	emmou	emma	emmý	PROPN;NOM;FEM;SG	N;INS;FEM;SG;POS
emma	emma	emma	emma	PROPN;NOM;FEM;SG	N;NOM;FEM;SG;POS
gniazda	hnízdo	gniazda	hnízdo	N;ACC;NEUT;SG	N;NOM;NEUT;SG;POS
gniazda	hnízda	gniazda	hnízdo	N;ACC;NEUT;SG	N;NOM;NEUT;PL;POS
gniazda	socket	gniazda	socket	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG;POS
gniazda	hnízda	gniazda	hnízdo	N;ACC;NEUT;SG	N;NOM;NEUT;PL;POS
gniazda	zásuvky	gniazda	zásuvka	N;ACC;NEUT;SG	N;NOM;FEM;PL;POS
gniazda	hnízdění	gniazda	hnízdění	N;ACC;NEUT;SG	N;NOM;NEUT;SG;POS
lyon	lyon	lyon	lyon	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
louise	louisa	louis	louisa	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;NOM;FEM;SG;POS
louise	louise	louis	louise	V;IPFV;IND;SG;2;PRS;FIN;ACT	PROPN;NOM;FEM;SG;POS
budżetu	rozpočet	budżet	rozpočet	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
dot	dot	dot	dot		PROPN;NOM;MASC;SG;POS
dot	tečka	dot	tečka		N;NOM;FEM;SG;POS
sedan	sedan	sedan	sedan		N;INAN;NOM;MASC;SG;POS
heleny	helena	helen	helený	N;GEN;FEM;SG	PROPN;NOM;FEM;SG;POS
know	vědět	know	vědět		V;POS;NFIN
know	know	know	know		N;FEM;SG;POS
gloria	glorie	gloria	glorie		N;NOM;FEM;SG;POS
gloria	glorii	gloria	glorie		N;ACC;FEM;SG;POS
gloria	gloria	gloria	gloria		N;NOM;FEM;SG;POS
hubert	hubert	hubert	hubert	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
iihf	iihf	iihf	iihf		PROPN;INAN;MASC;POS
porażka	porazit	porażka	porazit	N;NOM;FEM;SG	V;PFV;POS;NFIN
uczniowie	studenty	uczeń	student	N;NOM;MASC;PL	N;ANIM;ACC;MASC;PL;POS
uczniowie	žáky	uczeń	žák	N;NOM;MASC;PL	N;ANIM;ACC;MASC;PL;POS
uczniowie	žáků	uczeń	žák	N;NOM;MASC;PL	N;ANIM;GEN;MASC;PL;POS
curie	curie	curieć	curie		N;NOM;FEM;SG;POS
włączone	zahrnuty	włączyć	zahrnutý	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INAN;PL;POS;V.PTCP;PASS
włączone	včetně	włączyć	včetně	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADP;GEN
włączone	povolené	włączyć	povolený	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
włączone	umožnila	włączyć	umožnit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;POS;PST;V.PTCP;ACT
równowagi	rovnováha	równowag	rovnováha	N;GEN;FEM;SG	N;NOM;FEM;SG;POS
równowagi	vyvážení	równowag	vyvážení	N;GEN;FEM;SG	N;NOM;NEUT;SG;POS
równowagi	rovnováhu	równowag	rovnováha	N;GEN;FEM;SG	N;ACC;FEM;SG;POS
równowagi	bilance	równowag	bilance	N;GEN;FEM;SG	N;NOM;FEM;SG;POS
równowagi	zůstatek	równowag	zůstatek	N;GEN;FEM;SG	N;INAN;NOM;MASC;SG;POS
równowagi	rovnováhy	równowag	rovnováha	N;GEN;FEM;SG	N;NOM;FEM;PL;POS
równowagi	rovnováha	równowag	rovnováha	N;GEN;FEM;SG	N;NOM;FEM;SG;POS
rolach	rolí	ról	role	N;DAT;FEM;PL	N;INS;FEM;SG;POS
rolach	role	ról	role	N;DAT;FEM;PL	N;NOM;FEM;SG;POS
rolach	úlohy	ról	úloha	N;DAT;FEM;PL	N;NOM;FEM;PL;POS
short	krátké	short	krátký		ADJ;NOM;NEUT;SG;POS
short	krátká	short	krátký		ADJ;NOM;FEM;SG;POS
short	krátký	short	krátký		ADJ;INAN;NOM;MASC;SG;POS
jules	jules	jules	jules	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
napoleon	napoleon	napoleon	napoleon		N;ANIM;NOM;MASC;SG;POS
zlokalizowane	umístěné	zlokalizować	umístěný	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
craig	craig	craig	craig	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
oświecenia	osvícení	oświecenie	osvícení	N;GEN;NEUT;SG	N;NOM;NEUT;SG;POS
komunistów	komunisti	komunista	komunista	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
komunistów	komunisté	komunista	komunista	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
konferencja	konferenční	konferencja	konferenční	N;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
konferencja	konferenci	konferencja	konference	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
lloyd	lloyd	lloyd	lloyd	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
produktu	produkt	produkt	produkt	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
produktu	výrobek	produkt	výrobek	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
judy	judy	judy	judy		N;NOM;FEM;SG;POS
amy	amy	amy	amy	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
rolnych	zemědělské	rolny	zemědělský	ADJ;GEN;MASC;PL	ADJ;NOM;MASC;SG;POS
współpracownicy	spolupracovníky	współpracownik	spolupracovník	N;NOM;MASC;PL	N;ANIM;ACC;MASC;PL;POS
współpracownicy	kolegy	współpracownik	kolega	N;NOM;MASC;PL	N;ANIM;ACC;MASC;PL;POS
ofiara	obětovat	ofiara	obětovat	N;NOM;FEM;SG	V;POS;NFIN
ofiara	obětí	ofiara	oběť	N;NOM;FEM;SG	N;INS;FEM;SG;POS
ofiara	oběti	ofiara	oběť	N;NOM;FEM;SG	N;NOM;FEM;PL;POS
leonardo	leonardo	leonardo	leonardo		N;ANIM;NOM;MASC;SG;POS
harrison	harrisona	harrison	harrison		N;ANIM;ACC;MASC;SG;POS
harrison	harrison	harrison	harrison		PROPN;ANIM;NOM;MASC;SG;POS
ice	ledu	icey	led		N;INAN;GEN;MASC;SG;POS
ice	led	icey	led		N;INAN;NOM;MASC;SG;POS
ice	ice	icey	ice		PROPN;INAN;NOM;MASC;SG;POS
sánchez	sánchez	sánchez	sánchez	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
naturalny	přírodní	naturalny	přírodní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
podobno	údajně	podobno	údajně	PART	ADV;POS
złożona	složil	złożyć	složit	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
złożona	skládá	złożyć	skládat	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
złożona	komplex	złożyć	komplex	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	N;INAN;NOM;MASC;SG;POS
niski	nízko	niski	nízko	ADJ;NOM;MASC;SG	ADV;POS
niski	nízké	niski	nízký	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
umowa	dohodu	umowa	dohoda	N;NOM;FEM;SG	N;ACC;FEM;SG;POS
umowa	dohodou	umowa	dohoda	N;NOM;FEM;SG	N;INS;FEM;SG;POS
zwraca	návratnost	zwracać	návratnost	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;FEM;SG;POS
maksymalny	maximálně	maksymalny	maximálně	ADJ;NOM;MASC;SG	ADV;POS
maksymalny	maximum	maksymalny	maximum	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG;POS
jewgienij	jevgenij	jewgień	jevgenij	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
deportivo	deportivo	deportivo	deportivo	PROPN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
przetrwał	přežili	przetrwać	přežít	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
przetrwał	přežily	przetrwać	přežít	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;INAN;PL;POS;PST;V.PTCP;ACT
przetrwał	přežila	przetrwać	přežít	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;POS;PST;V.PTCP;ACT
nakład	oběhu	nakład	oběh	N;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
wcześniejsze	dříve	wczesny	brzy	ADJ;NOM;CMPR;NEUT;SG	ADV;CMPR;POS
wcześniejsze	předtím	wczesny	předtím	ADJ;NOM;CMPR;NEUT;SG	ADV
wcześniejsze	předchozí	wczesny	předchozí	ADJ;NOM;CMPR;NEUT;SG	ADJ;NOM;MASC;SG;POS
kanclerz	kancléři	kanclerz	kancléř	N;NOM;MASC;SG	N;ANIM;DAT;MASC;SG;POS
summer	letní	summer	letní		ADJ;NOM;MASC;SG;POS
summer	léto	summer	léto		N;NOM;NEUT;SG;POS
niedziela	neděli	niedziela	neděle		N;ACC;FEM;SG;POS
niedziela	nedělní	niedziela	nedělní		ADJ;NOM;MASC;SG;POS
niedziela	neděle	niedziela	neděle		N;NOM;FEM;SG;POS
gorzów	gorzów	gorze	gorzów		PROPN;NOM;MASC;SG;POS
sporadycznie	příležitostné	sporadycznie	příležitostný	ADV	ADJ;NOM;NEUT;SG;POS
sporadycznie	sporadické	sporadycznie	sporadický	ADV	ADJ;NOM;NEUT;PL;POS
after	poté	after	poté		ADV
skrzyżowaniu	křižovatky	skrzyżowanie	křižovatka	N;DAT;NEUT;SG	N;NOM;FEM;PL;POS
skrzyżowaniu	křižovatka	skrzyżowanie	křižovatka	N;DAT;NEUT;SG	N;NOM;FEM;SG;POS
skrzyżowaniu	křižovatky	skrzyżowanie	křižovatka	N;DAT;NEUT;SG	N;NOM;FEM;PL;POS
skrzyżowaniu	rozcestí	skrzyżowanie	rozcestí	N;DAT;NEUT;SG	N;NOM;NEUT;SG;POS
skrzyżowaniu	křižovatka	skrzyżowanie	křižovatka	N;DAT;NEUT;SG	N;NOM;FEM;SG;POS
budapeszt	budapešti	budapeszt	budapešť	N;NOM;MASC;SG	PROPN;DAT;FEM;SG;POS
budapeszt	budapešť	budapeszt	budapešť	N;NOM;MASC;SG	PROPN;NOM;FEM;SG;POS
obozach	tábory	obóz	tábor	N;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
wady	nedostatky	wada	nedostatek	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL;POS
wady	slabiny	wada	slabina	V;IPFV;IND;SG;FIN;ACT	N;NOM;FEM;PL;POS
wady	nedostatky	wada	nedostatek	V;IPFV;IND;SG;FIN;ACT	N;INAN;NOM;MASC;PL;POS
wady	vady	wada	vada	V;IPFV;IND;SG;FIN;ACT	N;NOM;FEM;PL;POS
wady	vady	wada	vada	V;IPFV;IND;SG;FIN;ACT	N;NOM;FEM;PL;POS
wady	závady	wada	závada	V;IPFV;IND;SG;FIN;ACT	N;NOM;FEM;PL;POS
wady	nevýhody	wada	nevýhoda	V;IPFV;IND;SG;FIN;ACT	N;NOM;FEM;PL;POS
oryginalne	originál	oryginalny	originál	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
owadów	hmyzu	owad	hmyz	N;GEN;MASC;PL	N;INAN;GEN;MASC;SG;POS
owadów	hmyz	owad	hmyz	N;GEN;MASC;PL	N;INAN;NOM;MASC;SG;POS
owadów	hmyz	owad	hmyz	N;GEN;MASC;PL	N;INAN;NOM;MASC;SG;POS
human	lidská	human	lidský		ADJ;NOM;FEM;SG;POS
human	člověk	human	člověk		N;ANIM;NOM;MASC;SG;POS
human	lidské	human	lidský		ADJ;NOM;NEUT;SG;POS
human	lidský	human	lidský		ADJ;INAN;NOM;MASC;SG;POS
przepływu	plynout	przepływ	plynout	N;GEN;MASC;SG	V;IPFV;POS;NFIN
przepływu	tok	przepływ	tok	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
przepływu	průtok	przepływ	průtok	N;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
starożytnych	starobylé	starożytny	starobylý	ADJ;GEN;MASC;PL	ADJ;NOM;NEUT;SG;POS
starożytnych	starověký	starożytny	starověký	ADJ;GEN;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
starożytnych	starověké	starożytny	starověký	ADJ;GEN;MASC;PL	ADJ;NOM;NEUT;SG;POS
podręcznik	příručka	podręcznik	příručka	N;ACC;MASC;SG	N;NOM;FEM;SG;POS
podręcznik	návod	podręcznik	návod	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
podręcznik	manuál	podręcznik	manuál	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
podręcznik	příručka	podręcznik	příručka	N;ACC;MASC;SG	N;NOM;FEM;SG;POS
podręcznik	ruční	podręcznik	ruční	N;ACC;MASC;SG	ADJ;NOM;MASC;SG;POS
podręcznik	manuální	podręcznik	manuální	N;ACC;MASC;SG	ADJ;NOM;MASC;SG;POS
podręcznik	učebnice	podręcznik	učebnice	N;ACC;MASC;SG	N;NOM;FEM;PL;POS
mayer	mayer	mayer	mayer	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
liter	dopisy	liter	dopis	N;GEN;FEM;PL	N;INAN;NOM;MASC;PL;POS
liter	písmena	liter	písmeno	N;GEN;FEM;PL	N;NOM;NEUT;PL;POS
liter	písmen	liter	písmeno	N;GEN;FEM;PL	N;NOM;NEUT;PL;POS
alonso	alonso	alonso	alonso	N;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
podoficerów	poddůstojníků	podoficer	poddůstojník	N;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
collins	collinsová	collins	collinsový	PROPN;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
collins	collins	collins	collins	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
turecki	turecké	turecka	turecký	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
juliana	julian	juliany	julian		PROPN;ANIM;NOM;MASC;SG;POS
juliana	juliana	juliany	julian		N;NOM;FEM;SG;POS
juliana	juliane	juliany	julian		N;NOM;MASC;SG;POS
juliana	juliana	juliany	julian		N;NOM;FEM;SG;POS
dodatkowa	extra	dodatkowy	extra	ADJ;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
prosta	jednoduchá	prosty	jednoduchý		ADJ;NOM;FEM;SG;POS
prosta	prosté	prosty	prostý		ADJ;NOM;NEUT;SG;POS
prosta	jednoduchý	prosty	jednoduchý		ADJ;INAN;NOM;MASC;SG;POS
prosta	jednoduché	prosty	jednoduchý		ADJ;NOM;NEUT;SG;POS
western	západ	western	západ		N;INAN;NOM;MASC;SG;POS
western	western	western	western		PROPN;INAN;NOM;MASC;SG;POS
western	západní	western	západní		ADJ;NOM;MASC;SG;POS
helen	helena	helen	helený	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
helen	helen	helen	helený	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
strój	kostýmy	strój	kostým	N;ACC;MASC;SG	N;INAN;NOM;MASC;PL;POS
strój	kostým	strój	kostým	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
strój	oblečení	strój	oblečení	N;ACC;MASC;SG	N;NOM;NEUT;SG;POS
strój	outfit	strój	outfit	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG;POS
klientów	zákazníci	klient	zákazník	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
klientów	zákazníkům	klient	zákazník	N;ACC;MASC;PL	N;ANIM;DAT;MASC;PL;POS
klientów	zákazníků	klient	zákazník	N;ACC;MASC;PL	N;ANIM;GEN;MASC;PL;POS
klientów	klienti	klient	klient	N;ACC;MASC;PL	N;ANIM;NOM;MASC;PL;POS
norfolk	norfolku	norfolk	norfolek	V;IPFV;IND;SG;PRS;FIN;ACT	N;INAN;DAT;MASC;SG;POS
win	win	wina	win		PROPN;NOM;MASC;SG;POS
win	výhra	wina	výhra		N;NOM;FEM;SG;POS
win	vyhrát	wina	vyhrát		V;POS;NFIN
win	vína	wina	víno		N;NOM;NEUT;PL;POS
mas	mas	mas	mas		PROPN;MASC;SG;POS
klasyczne	klasického	klasyczny	klasický	ADJ;NOM;NEUT;SG	ADJ;ANIM;GEN;MASC;SG;POS
klasyczne	klasika	klasyczny	klasik	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG;POS
klasyczne	classic	klasyczny	classic	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
połączeń	fúzí	połączenie	fúze	N;GEN;NEUT;PL	N;INS;FEM;SG;POS
połączeń	fúze	połączenie	fúze	N;GEN;NEUT;PL	N;NOM;FEM;SG;POS
phoenix	phoenixu	phoenik	phoenix	N;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
phoenix	phoenix	phoenik	phoenix	N;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
wnętrz	interiér	wnętrz	interiér		N;INAN;NOM;MASC;SG;POS
wnętrz	vnitra	wnętrz	vnitro		N;NOM;NEUT;SG;POS
wnętrz	interiéry	wnętrz	interiér		N;INAN;NOM;MASC;PL;POS
jelenia	jelen	jeleń	jelen		N;ANIM;NOM;MASC;SG;POS
jelenia	jelení	jeleń	jelení		ADJ;NOM;MASC;SG;POS
jelenia	jelen	jeleń	jelen		N;ANIM;NOM;MASC;SG;POS
jelenia	jelena	jeleń	jelen		N;NOM;FEM;SG;POS
euroncap	euroncap	euroncap	euroncap		N;NOM;FEM;SG;POS
konfliktów	konflikty	konflikt	konflikt	N;GEN;MASC;PL	N;INAN;NOM;MASC;PL;POS
wikicytaty	wikicitáty	wikicytat	wikicitát		N;INAN;NOM;MASC;PL;POS
piersi	hruď	pierś	hruď		N;NOM;FEM;SG;POS
piersi	hrudi	pierś	hruď		N;NOM;FEM;SG;POS
piersi	hrudníku	pierś	hrudník		N;INAN;DAT;MASC;SG;POS
piersi	hrudník	pierś	hrudník		N;INAN;NOM;MASC;SG;POS
piersi	truhla	pierś	truhnout		N;NOM;FEM;SG;POS
piersi	prsa	pierś	prsa		N;NOM;NEUT;PL;POS
piersi	kozy	pierś	koza		N;NOM;FEM;PL;POS
piersi	prsa	pierś	prsa		N;NOM;NEUT;PL;POS
piersi	prsu	pierś	prs		N;NOM;FEM;SG;POS
piersi	ňadra	pierś	ňadra		N;NOM;NEUT;PL;POS
piersi	prsa	pierś	prsa		N;NOM;NEUT;PL;POS
piersi	poprsí	pierś	poprsí		N;NOM;NEUT;SG;POS
uderzenia	vliv	uderzenie	vliv	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
uderzenia	náraz	uderzenie	náraz	N;NOM;NEUT;PL	N;INAN;NOM;MASC;SG;POS
uderzenia	nárazu	uderzenie	náraz	N;NOM;NEUT;PL	N;INAN;GEN;MASC;SG;POS
