modificación	modifikation	modificación	modifikation	N;FEM;SG	ADJ
adecuada	angemessene	adecuado	angemessen	ADJ;FEM;SG;V.PTCP	ADJ;NOM;FEM;PL
adecuada	ausreichend	adecuado	ausreichend	ADJ;FEM;SG;V.PTCP	ADV
just	gerade	justo	gerade	N	ADV
just	eben	justo	eben	N	ADV
just	nur	justo	nur	N	ADV
just	einfach	justo	einfach	N	ADV
just	just	justo	just	N	PROPN;NOM;SG
huesos	gebeine	hueso	gebein	N;MASC;PL	
huesos	knochen	hueso	knochen	N;MASC;PL	V;NFIN
huesos	bones	hueso	bones	N;MASC;PL	PROPN;NOM;SG
huesos	pille	hueso	pillen	N;MASC;PL	
huesos	knochen	hueso	knochen	N;MASC;PL	V;NFIN
huesos	bone	hueso	bin	N;MASC;PL	
vídeos	video	vídeo	video	N;MASC;PL	N;NOM;NEUT;SG
vídeos	musikvideos	vídeo	musikvideos	N;MASC;PL	ADV
vídeos	videos	vídeo	videos	N;MASC;PL	
serena	serena	ser	serena	N;FEM;SG	PROPN;NOM;SG
declarada	erklärt	declarar	erklären	ADJ;FEM;SG;V.PTCP	V;V.PTCP
declarada	deklariert	declarar	deklarieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
declarada	erklärte	declarar	erklären	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
unam	unam	unom	unam	N;FEM;SG	PROPN;NOM;MASC;SG
salsa	salsa	salsar	salsa	N;FEM;SG	PROPN
salsa	sauce	salsar	sauce	N;FEM;SG	PROPN
salvaje	wild	salvaje	wild	ADJ;SG	
salvaje	wildnis	salvaje	wildnis	ADJ;SG	
salvaje	wilden	salvaje	wild	ADJ;SG	
salvaje	wilde	salvaje	wilden	ADJ;SG	
salvaje	wildes	salvaje	wild	ADJ;SG	
salvaje	savage	salvaje	savage	ADJ;SG	PROPN;NOM;SG
salvaje	wilden	salvaje	wild	ADJ;SG	
salvaje	wilde	salvaje	wilden	ADJ;SG	
baleares	balearen	balear	balear	N;MASC;PL	ADJ
bryan	bryan	bryar	bryan	PROPN	PROPN;NOM;MASC;SG
alfabeto	alphabet	alfabeto	alphabet	N;MASC;SG	
alfabeto	schrift	alfabeto	schrefen	N;MASC;SG	
manuscrito	handschrift	manuscrito	handschreifen	N;MASC;SG	ADJ
manuscrito	manuskripte	manuscrito	manuskript	N;MASC;SG	N;NOM;FEM;PL
petersburgo	petersburg	petersburgo	petersburg	N;MASC;SG	PROPN
visitó	besuchten	visitar	besuchen	V;IND;SG;3;PST;FIN	V;IND;PL;3;FIN
horizontal	horizontale	horizontal	horizontale	ADJ;SG	ADJ;NOM;FEM;PL
vestido	angezogen	vestido	anziehen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
vestido	kleidung	vestido	kleidung	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
vestido	kleid	vestido	kleid	ADJ;MASC;SG;V.PTCP	N;NOM;SG
especializada	spezialisiert	especializado	spezialisieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
especializada	spezialisierten	especializado	spezialisiert	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
especializada	spezialisierte	especializado	spezialisieren	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
especializada	spezialisierte	especializado	spezialisieren	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
especializada	spezialisiert	especializado	spezialisieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
especializada	spezialisierten	especializado	spezialisiert	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
octavo	achten	octavo	achten	ADJ;MASC;SG	V;NFIN
octavo	eighth	octavo	eighth	ADJ;MASC;SG	PROPN;SG
palestina	palästina	palestino	palästina	ADJ;FEM;SG	PROPN;NOM;SG
palestina	palästinensische	palestino	palästinensisch	ADJ;FEM;SG	ADJ;NOM;FEM;PL
palestina	palästinenser	palestino	palästinenser	ADJ;FEM;SG	
palestina	palästinensische	palestino	palästinensisch	ADJ;FEM;SG	ADJ;NOM;FEM;PL
palestina	palästinensischen	palestino	palästinensisch	ADJ;FEM;SG	ADJ;ACC;MASC;PL
palestina	palästina	palestino	palästina	ADJ;FEM;SG	PROPN;NOM;SG
ampliar	vergrößerung	ampliar	vergrößerung	V;NFIN	ADJ
ampliar	erweiterung	ampliar	Erweiterung	V;NFIN	N;NOM;FEM;SG
ampliar	vergrößerung	ampliar	vergrößerung	V;NFIN	ADJ
ampliar	zoom	ampliar	zoom	V;NFIN	
cartel	poster	cartel	poster	N;MASC;SG	ADJ
cartel	plakate	cartel	plakat	N;MASC;SG	ADJ;NOM;PL
cartel	billboard	cartel	billboard	N;MASC;SG	PROPN
cartel	kartell	cartel	kartell	N;MASC;SG	
maryland	maryland	maryland	maryland	N;FEM;SG	PROPN;NOM;MASC;SG
arm	arm	arm	arm	N	ADJ
granja	hof	granja	hof	N;FEM;SG	
granja	farm	granja	farm	N;FEM;SG	PROPN
granja	bauernhof	granja	bauernhof	N;FEM;SG	ADJ
granja	bauernhaus	granja	bauernhaus	N;FEM;SG	ADJ
granja	landhäuser	granja	landhaus	N;FEM;SG	ADJ
granja	bauernhof	granja	bauernhof	N;FEM;SG	ADJ
granja	bauernhaus	granja	bauernhaus	N;FEM;SG	ADJ
granja	landhaus	granja	landhaus	N;FEM;SG	
patas	beine	pata	bein	N;FEM;PL	
patas	beinen	pata	beinen	N;FEM;PL	V;NFIN
vanguardia	avantgarde	vanguardia	avantgard	N;FEM;SG	
vanguardia	vorreiter	vanguardia	vorreiter	N;FEM;SG	ADJ
vanguardia	vanguard	vanguardia	vanguard	N;FEM;SG	PROPN
presentada	vorgestellt	presentado	vorstellen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
presentada	präsentierten	presentado	präsentieren	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
presentada	präsentiert	presentado	präsentieren	ADJ;FEM;SG;V.PTCP	V;V.PTCP
presentada	vorgelegt	presentado	vorlegen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
presentada	präsentierte	presentado	präsentieren	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
presentada	eingereicht	presentado	einreichen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
presentada	vorgelegt	presentado	vorlegen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
presentada	übermittelt	presentado	übermitteln	ADJ;FEM;SG;V.PTCP	V;V.PTCP
masters	meister	master	meist	N;MASC;PL	N;NOM;MASC;SG
masters	masters	master	masters	N;MASC;PL	PROPN
masters	meistern	master	meistern	N;MASC;PL	V;NFIN
masters	master	master	master	N;MASC;PL	ADJ
préstamo	kredit	préstamo	kredit	N;MASC;SG	
préstamo	darlehen	préstamo	darlehen	N;MASC;SG	V;NFIN
préstamo	kredite	préstamo	kredit	N;MASC;SG	N;NOM;FEM;PL
préstamo	kreditvergabe	préstamo	kreditvergabe	N;MASC;SG	PROPN;SG
préstamo	finanzierungen	préstamo	finanzierung	N;MASC;SG	N;NOM;FEM;PL
préstamo	darlehen	préstamo	darlehen	N;MASC;SG	V;NFIN
préstamo	kredite	préstamo	kredit	N;MASC;SG	N;NOM;FEM;PL
estatuto	satzungen	estatuto	satzung	N;MASC;SG	V;NFIN
estatuto	statuten	estatuto	statut	N;MASC;SG	V;PL;FIN
estatuto	statut	estatuto	statun	N;MASC;SG	
estatuto	gesetze	estatuto	gesetzen	N;MASC;SG	
estatuto	satzungen	estatuto	satzung	N;MASC;SG	V;NFIN
estatuto	statuten	estatuto	statut	N;MASC;SG	V;PL;FIN
dream	dream	dream	dream	N	
dream	träume	dream	träumen	N	ADJ;NOM
dream	traum	dream	traum	N	ADJ
dream	träumen	dream	träumen	N	V;NFIN
liderazgo	führungskraft	liderazgo	führungskraft	N;MASC;SG	ADJ
liderazgo	leitung	liderazgo	leitung	N;MASC;SG	ADJ
liderazgo	führungsrolle	liderazgo	führungsrolle	N;MASC;SG	ADJ;NOM;FEM;SG
mostrando	angezeigte	mostrar	angezeigt	V;V.MSDR	ADJ;NOM;FEM;SG
space	raum	spacer	raum	N	ADV
space	weltall	spacer	weltall	N	
space	weltraum	spacer	weltraum	N	PROPN
space	platz	spacer	platz	N	ADV
space	raumfahrt	spacer	raumfahren	N	
célula	cell	célula	cell	N;FEM;SG	PROPN;NOM;SG
célula	zelle	célula	zellen	N;FEM;SG	
lineal	lineare	lineal	linear	ADJ;SG	ADJ;NOM;FEM;PL
franquicia	franchise	franquicia	franchise	N;FEM;SG	PROPN;NOM;SG
franquicia	franchising	franquicia	franchising	N;FEM;SG	PROPN
franquicia	franchise	franquicia	franchise	N;FEM;SG	PROPN;NOM;SG
tervuren	tervuren	tervurar	tervuren	N	V;NFIN
adquirir	einkauf	adquirir	einkauf	V;NFIN	
adquirir	erwerb	adquirir	erwerben	V;NFIN	N
adquirir	kauf	adquirir	kauf	V;NFIN	N;SG
adquirir	ankauf	adquirir	ankauf	V;NFIN	N
expulsión	ausschluss	expulsión	ausschließen	N;FEM;SG	ADV
expulsión	deportation	expulsión	deportation	N;FEM;SG	
linda	linda	linda	linda	ADJ;FEM;SG	PROPN;NOM;SG
linda	süße	linda	süß	ADJ;FEM;SG	
linda	hübsche	linda	hübsch	ADJ;FEM;SG	ADJ;NOM;FEM;PL
linda	nizza	linda	nizza	ADJ;FEM;SG	PROPN;NOM;SG
linda	schöne	linda	schön	ADJ;FEM;SG	ADJ;NOM;FEM;PL
genes	gene	gen	gen	N;MASC;PL	
genes	genen	gen	genen	N;MASC;PL	
genes	gene	gen	gen	N;MASC;PL	
genes	gen	gen	gen	N;MASC;PL	
genes	gens	gen	gens	N;MASC;PL	
plana	flat	plano	flat	ADJ;FEM;SG	
plana	wohnung	plano	wohnung	ADJ;FEM;SG	N;NOM;FEM;SG
nicolas	nicolas	nicola	nicolas	N;MASC;SG	PROPN;NOM;MASC;SG
nicolas	nicolás	nicola	nicolás	N;MASC;SG	PROPN;NOM;MASC;SG
perón	perón	perón	perón	PROPN	PROPN;NOM;MASC;SG
observaciones	erläuterungen	observación	erläuterung	N;FEM;PL	V;NFIN
observaciones	anmerkungen	observación	anmerkingen	N;FEM;PL	V;NFIN
observaciones	bemerkung	observación	bemerkung	N;FEM;PL	
observaciones	bemerkungen	observación	bemerkungen	N;FEM;PL	V;NFIN
observaciones	anmerkungen	observación	anmerkingen	N;FEM;PL	V;NFIN
observaciones	beobachtungen	observación	beobachtung	N;FEM;PL	V;NFIN
observaciones	bemerkungen	observación	bemerkungen	N;FEM;PL	V;NFIN
observaciones	anmerkungen	observación	anmerkingen	N;FEM;PL	V;NFIN
observaciones	kommentare	observación	kommentar	N;FEM;PL	ADJ;NOM;FEM;SG
observaciones	bemerkungen	observación	bemerkungen	N;FEM;PL	V;NFIN
observaciones	kommentar	observación	kommentar	N;FEM;PL	ADJ
desembocadura	mund	desembocadura	mund	N;FEM;SG	
desembocadura	klappe	desembocadura	klapp	N;FEM;SG	
desembocadura	maul	desembocadura	maul	N;FEM;SG	
pepe	pepe	pepe	pepen	PROPN	PROPN;NOM;SG
rivales	rivalen	rival	rival	N;PL	ADJ
rivales	konkurrenten	rival	konkurrent	N;PL	ADJ
rivales	rivalen	rival	rival	N;PL	ADJ
alice	alice	alice	alice	N;FEM;SG	
rayo	strahl	rayo	strahl	N;MASC;SG	
rayo	balken	rayo	balken	N;MASC;SG	V;NFIN
rayo	strahl	rayo	strahl	N;MASC;SG	
rayo	ray	rayo	ray	N;MASC;SG	PROPN;NOM;SG
rayo	thunderbolt	rayo	thunderbolt	N;MASC;SG	PROPN
rayo	blitze	rayo	blitz	N;MASC;SG	
rayo	gewitter	rayo	gewitt	N;MASC;SG	ADJ
rayo	blitz	rayo	blitz	N;MASC;SG	
rayo	lightning	rayo	lightning	N;MASC;SG	PROPN
organiza	organisiert	organizar	organisieren	V;IND;SG;3;PRS;FIN	ADJ;V.PTCP
organiza	organisiert	organizar	organisieren	V;IND;SG;3;PRS;FIN	ADJ;V.PTCP
bombas	pumpen	bomba	pumpen	N;FEM;PL	V;NFIN
bombas	wärmepumpen	bomba	wärmepumpen	N;FEM;PL	
bombas	bomben	bomba	bomben	N;FEM;PL	
maurice	moritz	maurizar	moritz	PROPN	PROPN;NOM;SG
maurice	maurice	maurizar	maurice	PROPN	PROPN;NOM;MASC;SG
financieros	finanziers	financiero	finanziers	ADJ;MASC;PL	
financieros	finanzen	financiero	finanzen	ADJ;MASC;PL	
financieros	finanzdienstleistungen	financiero	finanzdienstleistungen	ADJ;MASC;PL	N;NOM;FEM;PL
cecilia	cecile	cecilia	cecile	N;FEM;SG	PROPN;SG
cecilia	cecilia	cecilia	cecilia	N;FEM;SG	PROPN;NOM;SG
marte	mars	marte	mars	PROPN	PROPN;NOM;SG
retratos	porträts	retrato	porträts	N;MASC;PL	
retratos	portraits	retrato	portraits	N;MASC;PL	PROPN;NOM
retratos	porträt	retrato	porträt	N;MASC;PL	N;SG
loco	wahnsinn	loco	wahnsinn	ADJ;MASC;SG	
loco	verrückte	loco	verrückt	ADJ;MASC;SG	ADJ;NOM;PL
loco	mad	loco	mad	ADJ;MASC;SG	PROPN;NOM;SG
loco	loco	loco	loco	ADJ;MASC;SG	PROPN;NOM;SG
exitoso	erfolgreiche	exitoso	erfolgreich	ADJ;MASC;SG	ADJ;NOM;FEM;PL
harrison	harrison	harrison	harrison	N;MASC;SG	PROPN;NOM;MASC;SG
stewart	stewart	stewart	stewart	PROPN	PROPN
formalmente	förmlich	formalmente	förmlich	ADV	ADJ
formalmente	formell	formalmente	formell	ADV	ADJ
formalmente	formal	formalmente	formal	ADV	ADJ
argelia	algerien	argelia	algerien	N;FEM;SG	
argelia	algier	argelia	algeher	N;FEM;SG	PROPN;NOM;MASC;SG
argelia	algerischen	argelia	algerisch	N;FEM;SG	ADJ;NOM;MASC;PL
argelia	algerien	argelia	algerien	N;FEM;SG	
argelia	algerische	argelia	algerisch	N;FEM;SG	ADJ;NOM;FEM;PL
argelia	algerien	argelia	algerien	N;FEM;SG	
sound	sound	sound	sound	N	
sound	geräusche	sound	geräusch	N	ADJ;NOM
sound	ton	sound	ton	N	
sound	klang	sound	klingen	N	
sound	geräusch	sound	geräusch	N	ADJ
novio	bräutigam	novio	bräutigam	N;MASC;SG	ADJ
novio	freund	novio	freund	N;MASC;SG	
rechazo	weigerung	rechazo	weigerung	N;MASC;SG	ADV
rechazo	zurückweisung	rechazo	zurückweisung	N;MASC;SG	
rechazo	verweigerung	rechazo	verweigerung	N;MASC;SG	ADJ
rechazo	zurückweisung	rechazo	zurückweisung	N;MASC;SG	
rechazo	abweisen	rechazo	abweisen	N;MASC;SG	V;NFIN
rechazo	verwerfen	rechazo	verwerfen	N;MASC;SG	V;NFIN
rechazo	ablehnen	rechazo	ablehnen	N;MASC;SG	V;NFIN
parker	parker	parker	park	N;MASC;SG	PROPN
firmar	unterschrift	firmar	unterschreifen	V;NFIN	
firmar	unterzeichnung	firmar	unterzeichnung	V;NFIN	N;SG
xavier	xavier	xavier	xavier	PROPN	PROPN;NOM;MASC;SG
xavier	xaver	xavier	xaver	PROPN	PROPN;NOM;MASC;SG
chipre	zypern	chipre	zypern	N;FEM;SG	
guy	guy	guy	guy	PROPN	PROPN;NOM;MASC;SG
guy	kerl	guy	kerl	PROPN	
expresiones	ausdrücken	expresión	ausdrücken	N;FEM;PL	V;NFIN
expresiones	ausdruck	expresión	ausdruck	N;FEM;PL	N;SG
expresiones	ausdrücke	expresión	ausdrücken	N;FEM;PL	
songs	liedern	songs	liedern	N	V;NFIN
songs	stücke	songs	stücken	N	
ruptura	trennung	ruptura	trennung	N;FEM;SG	V;SG;FIN
filósofos	philosophen	filósofo	philosophen	N;MASC;PL	
previsto	geplant	previsto	planen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
previsto	geplante	previsto	geplant	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL
previsto	vorgesehen	previsto	vorsehen	ADJ;MASC;SG;V.PTCP	V;V.PTCP
thys	thys	thys	thys	PROPN	
adolescente	teen	adolescente	teen	N;SG	
adolescente	teenager	adolescente	teenager	N;SG	
adolescente	teenager	adolescente	teenager	N;SG	
adolescente	jugendlicher	adolescente	jugendlich	N;SG	ADJ
adolescente	jugend	adolescente	jugend	N;SG	ADJ
adolescente	jugendlicher	adolescente	jugendlich	N;SG	ADJ
adolescente	teenager	adolescente	teenager	N;SG	
inés	inez	inés	inez	N;FEM;SG	PROPN;NOM;SG
inés	inés	inés	inés	N;FEM;SG	PROPN;NOM;FEM;SG
inés	agnes	inés	agnes	N;FEM;SG	PROPN;NOM;FEM;SG
actualizado	aktualisierung	actualizado	aktualisierung	ADJ;MASC;SG;V.PTCP	N;NOM;FEM;SG
actualizado	aktualisiert	actualizado	aktualisieren	ADJ;MASC;SG;V.PTCP	V;V.PTCP
actualizado	aktualisierte	actualizado	aktualisieren	ADJ;MASC;SG;V.PTCP	V;SG;FIN
prototipo	prototypen	prototipo	prototypen	N;MASC;SG	V;NFIN
dinámica	dynamik	dinámica	dynamik	N;FEM;SG	
dinámica	dynamischen	dinámica	dynamisch	N;FEM;SG	ADJ
dinámica	dynamischer	dinámica	dynamisch	N;FEM;SG	ADJ
dinámica	dynamik	dinámica	dynamik	N;FEM;SG	
dinámica	dynamische	dinámica	dynamisch	N;FEM;SG	ADJ;NOM;FEM;PL
dinámica	dynamisch	dinámica	dynamisch	N;FEM;SG	ADJ
mencionada	erwähnte	mencionado	erwähnen	ADJ;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
mencionada	erwähnt	mencionado	erwähnen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
mencionada	erwähnten	mencionado	erwähnt	ADJ;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
variación	varianz	variación	varianz	N;FEM;SG	
variación	abweichung	variación	abweichung	N;FEM;SG	V;IND;SG;3;PRS;FIN
variación	varianten	variación	variant	N;FEM;SG	V;NFIN
variación	variationen	variación	variation	N;FEM;SG	V;NFIN
variación	ändern	variación	ändern	N;FEM;SG	V;NFIN
variación	wechseln	variación	wechseln	N;FEM;SG	V;NFIN
variación	wechsel	variación	wechsel	N;FEM;SG	ADV
latitud	breitengrad	latitud	breitengrad	N;FEM;SG	ADJ
latitud	breiten	latitud	breit	N;FEM;SG	ADJ;SG
latitud	breite	latitud	breit	N;FEM;SG	ADJ;NOM;FEM;SG
latitud	spielraum	latitud	spielraum	N;FEM;SG	ADJ
trío	dreier	trío	dreier	N;MASC;SG	
trío	trio	trío	trio	N;MASC;SG	
óleo	heizöl	óleo	heizöl	N;MASC;SG	
óleo	erdöl	óleo	erdöl	N;MASC;SG	
óleo	öle	óleo	öle	N;MASC;SG	N;NOM;MASC;PL
óleo	öl	óleo	öl	N;MASC;SG	
usted	dich	tú	du	PRO;SG;2;FORM	
usted	dir	tú	dur	PRO;SG;2;FORM	
usted	sie	tú	sie	PRO;SG;2;FORM	PRO;NOM;FEM;SG;3
sabía	wussten	saber	wissen	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PST;FIN
sabía	kannte	saber	kennen	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
sabía	wusste	saber	wissen	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
sabía	wußte	saber	wissen	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
alfa	alpha	alfa	alpha	N;FEM;SG	
alfa	alfa	alfa	alfa	N;FEM;SG	PROPN;NOM;SG
alfa	alfa	alfa	alfa	N;FEM;SG	PROPN;NOM;SG
caudal	flow	caudal	flow	N;MASC;SG	PROPN
caudal	fließen	caudal	fließen	N;MASC;SG	V;NFIN
caudal	strömung	caudal	strömung	N;MASC;SG	ADJ
ann	ann	ann	ann	PROPN	PROPN;NOM;MASC;SG
antecedentes	hintergründe	antecedente	hintergründe	N;MASC;PL	ADJ
antecedentes	hintergrund	antecedente	hintergrund	N;MASC;PL	ADJ
antecedentes	hintergründe	antecedente	hintergründe	N;MASC;PL	ADJ
antecedentes	vorgeschichte	antecedente	vorgeschicht	N;MASC;PL	ADJ;NOM;SG
antecedentes	hintergrundinformationen	antecedente	hintergrundinformationen	N;MASC;PL	V;PL
antecedentes	hintergrund	antecedente	hintergrund	N;MASC;PL	ADJ
grabada	gestochen	grabado	stechen	ADJ;FEM;SG;V.PTCP	V;V.PTCP
irlandés	irischen	irlandés	irisch	N;MASC;SG	
irlandés	irische	irlandés	irisch	N;MASC;SG	ADJ;NOM;FEM;PL
irlandés	irisch	irlandés	irisch	N;MASC;SG	ADJ
irlandés	irisches	irlandés	irisch	N;MASC;SG	ADJ;NOM;NEUT;SG
irlandés	gälisch	irlandés	gälisch	N;MASC;SG	ADJ
irlandés	ire	irlandés	ire	N;MASC;SG	PROPN;NOM;MASC;SG
asiático	asiaten	asiático	asiaten	ADJ;MASC;SG	N;PL
asiático	asiatischen	asiático	asiatisch	ADJ;MASC;SG	ADJ;NOM;PL
asiático	asiatische	asiático	asiatisch	ADJ;MASC;SG	ADJ;NOM;FEM;PL
asiático	asiatischen	asiático	asiatisch	ADJ;MASC;SG	ADJ;NOM;PL
asiático	asiatische	asiático	asiatisch	ADJ;MASC;SG	ADJ;NOM;FEM;PL
asiático	asiaten	asiático	asiaten	ADJ;MASC;SG	N;PL
guarda	guard	guardar	guard	V;IND;SG;3;PRS;FIN	PROPN
guarda	bewachung	guardar	bewachung	V;IND;SG;3;PRS;FIN	
guarda	wächter	guardar	wacht	V;IND;SG;3;PRS;FIN	ADJ
guarda	wache	guardar	wach	V;IND;SG;3;PRS;FIN	
edgar	edgar	edgar	edgar	PROPN	PROPN;NOM;MASC;SG
anchura	breiten	anchura	breit	N;FEM;SG	ADJ;SG
anchura	breite	anchura	breit	N;FEM;SG	ADJ;NOM;FEM;SG
anchura	breit	anchura	breit	N;FEM;SG	ADJ
anchura	breite	anchura	breit	N;FEM;SG	ADJ;NOM;FEM;SG
marciales	martial	marciales	martial	N;PL	ADJ
marciales	kampfkunst	marciales	kampfkunst	N;PL	
barry	barry	barry	barry	PROPN	PROPN;SG
utilidad	nützliche	utilidad	nützlich	N;FEM;SG	ADJ;NOM;FEM;PL
utilidad	nützliches	utilidad	nützlich	N;FEM;SG	ADJ;NOM;NEUT;SG
