और	in	और	in		CONJ
अपने	lastno	अपना	lasten	PRO;NOM;MASC	ADJ;NOM;NEUT;SG
अपने	lastne	अपना	lasten	PRO;NOM;MASC	ADJ;NOM;FEM;PL
अपने	lastna	अपना	lasten	PRO;NOM;MASC	ADJ;NOM;FEM;SG
अपने	lastni	अपना	lasten	PRO;NOM;MASC	ADJ;NOM;MASC;PL
अपने	tvoje	अपना	tvoj	PRO;NOM;MASC	DET;NOM;NEUT;SG;1
अपने	tvoji	अपना	tvoj	PRO;NOM;MASC	DET;NOM;MASC;SG;1
अपने	vaš	अपना	vaš	PRO;NOM;MASC	DET;NOM;MASC;SG;2
अपने	tvoj	अपना	tvoj	PRO;NOM;MASC	DET;NOM;MASC;SG;1
अपने	tvoja	अपना	tvoj	PRO;NOM;MASC	DET;NOM;FEM;SG;1
अपने	vaša	अपना	vaš	PRO;NOM;MASC	DET;NOM;FEM;SG;2
जिले	okrožij	जिला	okrožje	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
था	imelo	था	imeti	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
था	imeli	था	imeti	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
था	imel	था	imeti	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
था	imela	था	imeti	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
था	bil	था	biti	V;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
था	bila	था	biti	V;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
राज्य	države	राज्य	država	N;NOM;MASC;SG;3	N;NOM;FEM;PL
राज्य	držav	राज्य	država	N;NOM;MASC;SG;3	N;GEN;FEM;PL
राज्य	državno	राज्य	državen	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
कुछ	nekaj	कुछ	nekaj	DET	PRO;ACC;NEUT;SG
कुछ	nekaj	कुछ	nekaj	DET	PRO;ACC;NEUT;SG
गाँव	vasi	गाँव	vas	N;NOM;MASC;PL;3	N;GEN;FEM;SG
गाँव	vasica	गाँव	vasica	N;NOM;MASC;PL;3	N;NOM;FEM;SG
सरकार	govt	सरकार	govt	N;NOM;FEM;SG;3	
सरकार	vladna	सरकार	vladen	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
सरकार	vlado	सरकार	vlada	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सरकार	vladno	सरकार	vladen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
सरकार	vladni	सरकार	vladen	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
सरकार	vlade	सरकार	vlada	N;NOM;FEM;SG;3	N;NOM;FEM;PL
प्रदेश	regiji	प्रदेश	regija	N;NOM;MASC;SG;3	N;DAT;FEM;SG
इसके	its	यह	its	PRO;MASC;SG;3	
दिया	dano	दे	dan	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG
दिया	danih	दे	dan	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;GEN;MASC;PL
अन्य	drugi	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अन्य	drugo	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अन्य	druga	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अन्य	druge	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
अन्य	drugi	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अन्य	drugih	अन्य	drug	N;NOM;MASC;SG;3	ADJ;GEN;MASC;PL
अन्य	druge	अन्य	drug	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
वर्ष	leta	वर्ष	leto	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
वर्ष	letih	वर्ष	leto	N;NOM;MASC;SG;3	N;ESS;NEUT;PL
वर्ष	let	वर्ष	leto	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
समय	časa	समय	čas	N;NOM;MASC;SG;3	N;GEN;MASC;SG
वे	so	वह	biti	PRO;NOM;SG;3	V;IND;PL;3;POS;PRS;FIN
प्रकार	prijazen	प्रकार	prijazen	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
प्रकार	prijazno	प्रकार	prijazen	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रकार	tipi	प्रकार	tip	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रकार	vrste	प्रकार	vrsta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भारतीय	indijansko	भारतीय	indijansko	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
भारतीय	indijsko	भारतीय	indijski	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
भारतीय	indijski	भारतीय	indijski	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
भारतीय	indijanec	भारतीय	indijanec	PROPN;NOM;SG;3	N;NOM;MASC;SG
भारतीय	indijska	भारतीय	indijski	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
किसी	nekdo	कोई	nekdo	PRO;ACC;SG;3	PRO;NOM;MASC;SG
क्षेत्र	regiji	क्षेत्र	regija	N;NOM;MASC;SG;3	N;DAT;FEM;SG
क्षेत्र	območja	क्षेत्र	območje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
क्षेत्र	področja	क्षेत्र	področje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
क्षेत्र	površine	क्षेत्र	površina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अधिक	bolj	अधिक	bolj	DET	ADV;CMPR
कई	številni	कई	številen	DET	ADJ;NOM;MASC;PL
स्थित	nahaja	स्थित	nahajati	ADJ	V;IPFV;IND;SG;3;PRS;FIN
मण्डल	cona	मण्डल	cona	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
मण्डल	območje	मण्डल	območje	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
आधिकारिक	uradnik	आधिकारिक	uradnik	ADJ	N;NOM;MASC;SG
आधिकारिक	uradno	आधिकारिक	uradno	ADJ	ADV
कारण	razlogi	कारण	razlog	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	razlogi	कारण	razlog	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	vzroki	कारण	vzrok	N;NOM;MASC;SG;3	N;NOM;MASC;PL
होने	počutje	हो	počutje	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
उनके	njihovi	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;MASC;PL;3
उनके	njihov	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;MASC;SG;3
उनके	njihovo	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;NEUT;SG;3
उनके	njuna	वह	njun	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
उनके	njihova	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
उनके	njihove	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
उनके	njimi	वह	on	PRO;MASC;SG;3;FORM	PRO;DAT;MASC;PL;3
उनके	jih	वह	on	PRO;MASC;SG;3;FORM	PRO;ACC;MASC;PL;3
उनके	njih	वह	on	PRO;MASC;SG;3;FORM	PRO;GEN;MASC;PL;3
सबसे	večina	सबसे	večina	ADJ;NOM	N;NOM;FEM;SG
सबसे	večini	सबसे	večina	ADJ;NOM	N;DAT;FEM;SG
सबसे	največ	सबसे	največ	ADJ;NOM	DET
सबसे	najbolj	सबसे	najbolj	ADJ;NOM	ADV;RL
बहुत	zelo	बहुत	zelo	DET	ADV
पहले	pred	पहले	pred	ADV;NOM;MASC;SG;3	ADP;INS
पहले	preden	पहले	preden	ADV;NOM;MASC;SG;3	CONJ
पहले	prva	पहले	prvi	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पहले	prvo	पहले	prvi	ADV;NOM;MASC;SG;3	ADJ;ACC;NEUT;SG
पहले	prvi	पहले	prvi	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
अपनी	lastno	अपना	lasten	PRO;NOM;FEM	ADJ;NOM;NEUT;SG
अपनी	lastne	अपना	lasten	PRO;NOM;FEM	ADJ;NOM;FEM;PL
अपनी	lastna	अपना	lasten	PRO;NOM;FEM	ADJ;NOM;FEM;SG
अपनी	lastni	अपना	lasten	PRO;NOM;FEM	ADJ;NOM;MASC;PL
जब	kadar	जब	kadar	PRO;NOM	CONJ
जब	ko	जब	ko	PRO;NOM	CONJ
जब	kdaj	जब	kdaj	PRO;NOM	ADV
उन्होंने	so	वह	biti	PRO;SG;3;FORM	V;IND;PL;3;POS;PRS;FIN
उन्होंने	egipčani	वह	egipčan	PRO;SG;3;FORM	N;NOM;MASC;PL
जन्म	rojen	जन्म	rojen	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
जन्म	rojena	जन्म	rojen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
जन्म	rojene	जन्म	rojen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL;V.PTCP
जन्म	rojeni	जन्म	rojen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
जन्म	rodil	जन्म	roditi	N;NOM;MASC;SG;3	V;MASC;SG;V.PTCP
जन्म	rojstva	जन्म	rojstvo	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;NOM;MASC;SG
कोई	katerekoli	कोई	katerioli	PRO;NOM;SG;3	DET;NOM;FEM;PL
कोई	katerokoli	कोई	katerolol	PRO;NOM;SG;3	DET;NOM;NEUT;SG
कोई	katerikoli	कोई	katerikoli	PRO;NOM;SG;3	DET;NOM;MASC;SG
इन	inn	यह	inn	DET;ACC;PL;3	
इन	gostilna	यह	gostilna	DET;ACC;PL;3	N;NOM;FEM;SG
इन	gostišče	यह	gostišče	DET;ACC;PL;3	N;NOM;NEUT;SG
ये	to	यह	ta	PRO;NOM;PL;3	DET;NOM;NEUT;SG
ये	ta	यह	ta	PRO;NOM;PL;3	DET;NOM;MASC;SG
ये	tole	यह	tale	PRO;NOM;PL;3	
ये	tega	यह	ta	PRO;NOM;PL;3	DET;GEN;NEUT;SG
ये	teh	यह	ta	PRO;NOM;PL;3	DET;GEN;MASC;PL
ये	te	यह	ta	PRO;NOM;PL;3	DET;NOM;FEM;PL
ये	tele	यह	tel	PRO;NOM;PL;3	
कम	nizki	कम	nizek	DET	ADJ;NOM;MASC;SG
कम	nizka	कम	nizek	DET	ADJ;NOM;FEM;SG
कम	nizko	कम	nizko	DET	ADV
कम	nizek	कम	nizek	DET	ADJ;NOM;INDF;MASC;SG
कम	nizke	कम	nizek	DET	ADJ;NOM;FEM;PL
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	
लोग	ljudstvo	लोग	ljudstvo	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
लोग	ljudi	लोग	človek	N;NOM;MASC;PL;3	N;ACC;MASC;PL
आदि	etc	आदि	etc	PART	
आदि	itd	आदि	itd	PART	
आदि	idr	आदि	idr	PART	N;NOM;MASC;SG
आदि	več	आदि	več	PART	DET
आदि	bolj	आदि	bolj	PART	ADV;CMPR
आदि	adi	आदि	adi	PART	
उसके	njegovo	वह	njegov	PRO;MASC;SG;3	DET;NOM;NEUT;SG;3
उसके	njegove	वह	njegov	PRO;MASC;SG;3	DET;NOM;FEM;PL;3
उसके	njegov	वह	njegov	PRO;MASC;SG;3	DET;NOM;MASC;SG;3
उसके	njegova	वह	njegov	PRO;MASC;SG;3	DET;NOM;FEM;SG;3
उसके	njej	वह	on	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
उसके	njo	वह	on	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
उसके	njen	वह	njen	PRO;MASC;SG;3	DET;NOM;MASC;SG;3
उसके	her	वह	hera	PRO;MASC;SG;3	N;NOM;MASC;SG
उसके	njena	वह	njen	PRO;MASC;SG;3	DET;NOM;FEM;SG;3
प्राचीन	starodavnih	प्राचीन	starodaven	ADJ;NOM	ADJ;GEN;MASC;PL
प्राचीन	pretor	प्राचीन	pretor	ADJ;NOM	N;NOM;MASC;SG
देखें	opazuj	देख	opazuj	V;SBJV;PL;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
देखें	glej	देख	gledati	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;SG;2;FIN
देखें	ura	देख	ura	V;SBJV;PL;FIN;ACT	N;NOM;FEM;SG
देखें	glejte	देख	gledati	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;PL;2;FIN
देखें	glej	देख	gledati	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;SG;2;FIN
देखें	glejte	देख	gledati	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;PL;2;FIN
देखें	ogled	देख	ogled	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
देखें	razgled	देख	razgled	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
देखें	pogled	देख	pogled	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
उत्तर	odgovor	उत्तर	odgovor	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्तर	odgovori	उत्तर	odgovor	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
उत्तर	severna	उत्तर	severen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
उत्तर	severni	उत्तर	severen	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
उत्तर	severno	उत्तर	severen	PROPN;NOM;MASC;SG;3	ADV
उत्तर	sever	उत्तर	sever	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्तर	odgovore	उत्तर	odgovor	PROPN;NOM;MASC;SG;3	N;ACC;MASC;PL
उत्तर	odgovori	उत्तर	odgovor	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
भाषा	jezike	भाषा	jezik	N;NOM;FEM;SG;3	N;ACC;MASC;PL
भाषा	jeziki	भाषा	jezik	N;NOM;FEM;SG;3	N;NOM;MASC;PL
भाषा	jezikovno	भाषा	jezikoven	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
भाषा	jezikovna	भाषा	jezikoven	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
लिये	za	ले	za	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	vsi	सब	ves	PRO;NOM;3	DET;NOM;MASC;PL
सभी	vsem	सब	ves	PRO;NOM;3	DET;DAT;MASC;PL
सभी	vse	सब	ves	PRO;NOM;3	DET;NOM;NEUT;SG
सभी	vseh	सब	ves	PRO;NOM;3	DET;GEN;MASC;PL
प्राप्त	prejeti	प्राप्त	prejeti	ADJ	V;PFV;NFIN
प्राप्त	prejeti	प्राप्त	prejeti	ADJ	V;PFV;NFIN
इसका	its	यह	its	PRO;MASC;SG;3	
प्रयोग	poskuse	प्रयोग	poskus	N;NOM;MASC;SG;3	N;ACC;MASC;PL
शामिल	vključuje	शामिल	vključevati	ADJ	V;IPFV;IND;SG;3;PRS;FIN
शामिल	vključi	शामिल	vključiti	ADJ	V;PFV;IND;SG;3;PRS;FIN
उन्हें	njimi	वह	on	PRO;SG;3;FORM	PRO;DAT;MASC;PL;3
उन्हें	jih	वह	on	PRO;SG;3;FORM	PRO;ACC;MASC;PL;3
उन्हें	njih	वह	on	PRO;SG;3;FORM	PRO;GEN;MASC;PL;3
उस	to	वह	ta	DET;ACC;SG;3	DET;NOM;NEUT;SG
उस	tisto	वह	tisti	DET;ACC;SG;3	DET;NOM;NEUT;SG
स्थान	kraji	स्थान	kraj	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्थान	lokacij	स्थान	lokacija	N;NOM;MASC;SG;3	N;GEN;FEM;PL
स्थान	lokacije	स्थान	lokacija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्थान	lokacijo	स्थान	lokacija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रमुख	glavne	प्रमुख	glaven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	
प्रमुख	glavni	प्रमुख	glaven	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
प्रमुख	glavno	प्रमुख	glaven	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रमुख	glavna	प्रमुख	glaven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;MASC;SG
बीच	plaža	बीच	plaža	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
बीच	plažo	बीच	plaža	ADV;NOM;MASC;SG;3	N;ACC;FEM;SG
बीच	obala	बीच	obala	ADV;NOM;MASC;SG;3	N;NOM;FEM;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
बीच	središče	बीच	središče	ADV;NOM;MASC;SG;3	N;NOM;NEUT;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
गए	odšel	जा	oditi	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;SG;V.PTCP
मुख्य	poglavar	मुख्य	poglavar	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्य	načelnik	मुख्य	načelnik	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्य	glavne	मुख्य	glaven	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	
मुख्य	glavni	मुख्य	glaven	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
मुख्य	glavno	मुख्य	glaven	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मुख्य	glavna	मुख्य	glaven	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
थी	bil	था	biti	V;FEM;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
थी	bila	था	biti	V;FEM;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
उसे	njega	वह	on	PRO;SG;3	PRO;GEN;MASC;SG;3
उसे	ga	वह	on	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	njej	वह	on	PRO;SG;3	PRO;DAT;FEM;SG;3
उसे	njo	वह	on	PRO;SG;3	PRO;ACC;FEM;SG;3
उसे	njen	वह	njen	PRO;SG;3	DET;NOM;MASC;SG;3
उसे	her	वह	hera	PRO;SG;3	N;NOM;MASC;SG
उसे	njena	वह	njen	PRO;SG;3	DET;NOM;FEM;SG;3
कार्य	naloge	कार्य	naloga	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्य	dela	कार्य	delo	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कार्य	zaposlitve	कार्य	zaposlitev	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उनकी	njihovi	वह	njihov	PRO;FEM;SG;3;FORM	DET;NOM;MASC;PL;3
उनकी	njihov	वह	njihov	PRO;FEM;SG;3;FORM	DET;NOM;MASC;SG;3
उनकी	njihovo	वह	njihov	PRO;FEM;SG;3;FORM	DET;NOM;NEUT;SG;3
उनकी	njuna	वह	njun	PRO;FEM;SG;3;FORM	DET;NOM;FEM;SG;3
उनकी	njihova	वह	njihov	PRO;FEM;SG;3;FORM	DET;NOM;FEM;SG;3
उनकी	njihove	वह	njihov	PRO;FEM;SG;3;FORM	DET;NOM;FEM;SG;3
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
नगर	mestu	नगर	mesto	N;NOM;MASC;SG;3	N;DAT;NEUT;SG
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
नगर	mestu	नगर	mesto	N;NOM;MASC;SG;3	N;DAT;NEUT;SG
नगर	nagar	नगर	nagara	N;NOM;MASC;SG;3	
उपयोग	use	उपयोग	usa	N;NOM;MASC;SG;3	
उपयोग	uporabi	उपयोग	uporaba	N;NOM;MASC;SG;3	N;DAT;FEM;SG
उपयोग	uporabe	उपयोग	uporaba	N;NOM;MASC;SG;3	N;GEN;FEM;SG
लोगों	ljudje	लोग	človek	N;ACC;MASC;PL;3	N;NOM;MASC;PL
लोगों	ljudstvo	लोग	ljudstvo	N;ACC;MASC;PL;3	N;NOM;NEUT;SG
लोगों	osebe	लोग	oseba	N;ACC;MASC;PL;3	N;NOM;FEM;PL
काम	dela	काम	delo	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
विश्व	svetovna	विश्व	svetoven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
विश्व	svetovno	विश्व	svetoven	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
भाग	poglavji	भाग	poglavje		N;NOM;NEUT;PL
भाग	oddelki	भाग	oddelek		N;NOM;MASC;PL
भाग	delno	भाग	delno		ADV
भाग	del	भाग	del		N;NOM;MASC;SG
भाग	deli	भाग	del		N;NOM;MASC;PL
निर्माण	zgradi	निर्माण	zgraditi	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
निर्माण	zgraditi	निर्माण	zgraditi	N;NOM;MASC;SG;3	V;PFV;NFIN
निर्माण	zgradil	निर्माण	zgraditi	N;NOM;MASC;SG;3	V;PFV;MASC;SG;V.PTCP
दोनों	obe	दो	oba	N;ACC;MASC;PL;3	DET;NOM;FEM;DU
दोनों	oba	दो	oba	N;ACC;MASC;PL;3	DET;NOM;MASC;DU
राष्ट्रीय	nacionalna	राष्ट्रीय	nacionalen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
राष्ट्रीय	nacionalno	राष्ट्रीय	nacionalen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
राष्ट्रीय	nacionalni	राष्ट्रीय	nacionalen	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जानकारी	informacije	जानकारी	informacija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
जानकारी	podatki	जानकारी	podatek	N;NOM;FEM;SG;3	N;NOM;MASC;PL
जानकारी	informacije	जानकारी	informacija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
शहर	mestu	शहर	mesto	N;NOM;MASC;SG;3	N;DAT;NEUT;SG
शहर	mest	शहर	mesto	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
शहर	mesta	शहर	mesto	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
शहर	mesti	शहर	mesto	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
बार	bari	बार	bar	N;NOM;FEM;SG;3	N;NOM;MASC;PL
बार	rešetke	बार	rešetek	N;NOM;FEM;SG;3	N;ACC;MASC;PL
बार	bare	बार	bar	N;NOM;FEM;SG;3	N;ACC;MASC;PL
बार	palice	बार	palica	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बार	krat	बार	krat	N;NOM;FEM;SG;3	ADV
बार	časi	बार	čas	N;NOM;FEM;SG;3	N;NOM;MASC;PL
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	
लगभग	približno	लगभग	približno	PART	ADV
यहाँ	tukaj	यहाँ	tukaj	PRO;NOM	ADV
विकास	rasti	विकास	rasti	N;NOM;MASC;SG;3	V;IPFV;NFIN
देश	državo	देश	država	N;NOM;MASC;SG;3	N;ACC;FEM;SG
