категорія	kategorien	категорія	kategorien	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
має	müssen	мати	müssen	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
має	must	мати	müssen	V;IPFV;IND;SG;3;PRS;FIN	PROPN
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	PROPN;NOM;SG
область	gebiet	область	gebieten	N;INAN;NOM;FEM;SG	ADJ
область	bereich	область	bereich	N;INAN;NOM;FEM;SG	ADV
того	togo	те	togo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;MASC;SG
яка	welche	який	welch	DET;NOM;FEM;SG	PRO;NOM;SG
яка	was	який	was	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG
яка	welchen	який	welch	DET;NOM;FEM;SG	PRO;NOM;SG
яка	welches	який	welch	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG
яка	welcher	який	welch	DET;NOM;FEM;SG	PRO;NOM;MASC;SG
яка	welche	який	welch	DET;NOM;FEM;SG	PRO;NOM;SG
яка	welchen	який	welch	DET;NOM;FEM;SG	PRO;NOM;SG
вони	sie	вони	sie	PRO;NOM;PL;3	PRO;NOM;FEM;SG;3
сайті	internetseite	сайт	internetseite	N;INAN;DAT;MASC;SG	ADJ
сайті	webseiten	сайт	webseiten	N;INAN;DAT;MASC;SG	V;NFIN
сайті	webseite	сайт	webseite	N;INAN;DAT;MASC;SG	
близько	close	близько	close	ADV	
близько	nahe	близько	nahe	ADV	
близько	schließen	близько	schließen	ADV	V;NFIN
близько	nah	близько	nah	ADV	ADJ
близько	nähe	близько	nähe	ADV	N;NOM;FEM;SG
близько	nah	близько	nah	ADV	ADJ
близько	nahe	близько	nahe	ADV	
близько	near	близько	near	ADV	
близько	nähe	близько	nähe	ADV	N;NOM;FEM;SG
війни	kriege	війна	kriegen	N;INAN;NOM;FEM;SG	
війни	kriegen	війна	kriegen	N;INAN;NOM;FEM;SG	V;NFIN
війни	wars	війна	wars	N;INAN;NOM;FEM;SG	
файл	datei	файл	datei	N;INAN;NOM;MASC;SG	
файл	dateien	файл	datei	N;INAN;NOM;MASC;SG	V;NFIN
між	dazwischen	між	dazwischen	ADP;INS	ADV
роки	jahren	рік	jahren	N;INAN;NOM;MASC;PL	ADJ
роки	jahre	рік	jahren	N;INAN;NOM;MASC;PL	ADV
обговорення	diskussionen	обговорення	diskussion	N;INAN;NOM;NEUT;SG	V;NFIN
обговорення	gespräche	обговорення	gespräch	N;INAN;NOM;NEUT;SG	ADJ
обговорення	diskussionen	обговорення	diskussion	N;INAN;NOM;NEUT;SG	V;NFIN
обговорення	diskutieren	обговорення	diskutieren	N;INAN;NOM;NEUT;SG	V;NFIN
обговорення	besprechen	обговорення	besprechen	N;INAN;NOM;NEUT;SG	V;NFIN
коли	wenn	коли	wenn	ADV	CONJ
коли	wann	коли	wann	ADV	ADV
вона	she	вона	she	PRO;NOM;FEM;SG;3	PROPN
лише	einzige	лише	einzig	PART	ADJ;NOM;FEM;PL
лише	einzig	лише	einzig	PART	ADJ
лише	lediglich	лише	lediglich	PART	ADV
лише	einzigen	лише	einzig	PART	ADJ;NOM;PL
лише	nur	лише	nur	PART	ADV
список	verzeichnis	список	verzeichnis	N;INAN;NOM;MASC;SG	
вересня	september	вересень	september	N;INAN;GEN;MASC;SG	PROPN;SG
цей	dieser	цей	dies	DET;NOM;MASC;SG	PRO;NOM;MASC;SG
цей	diese	цей	dies	DET;NOM;MASC;SG	PRO;NOM;FEM;SG
цей	das	цей	der	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
березня	marsch	березень	marsch	N;INAN;GEN;MASC;SG	ADJ
березня	march	березень	march	N;INAN;GEN;MASC;SG	PROPN
березня	märz	березень	märz	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
місце	spot	місце	Spot	N;INAN;NOM;NEUT;SG	PROPN
місце	stelle	місце	stellen	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
місце	platz	місце	platz	N;INAN;NOM;NEUT;SG	ADV
місце	lage	місце	lagen	N;INAN;NOM;NEUT;SG	ADJ
місце	standort	місце	standoren	N;INAN;NOM;NEUT;SG	ADV
місце	sitzplatz	місце	sitzplatz	N;INAN;NOM;NEUT;SG	ADJ
місце	seat	місце	seat	N;INAN;NOM;NEUT;SG	PROPN
муніципалітет	stadtverwaltung	муніципалітет	stadtverwaltung	N;INAN;NOM;MASC;SG	PROPN
україні	ukraine	україна	ukrain	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;SG
серпня	august	серпень	augusten	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
січня	jänner	січень	jann	N;INAN;GEN;MASC;SG	
січня	januar	січень	januar	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
січня	january	січень	january	N;INAN;GEN;MASC;SG	
став	wurden	стати	werden	V;PFV;MASC;IND;SG;PST;FIN	V;IND;PL;3;PST;FIN;PASS
став	wurde	стати	werden	V;PFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;PASS
став	geworden	стати	werden	V;PFV;MASC;IND;SG;PST;FIN	V;V.PTCP
травня	mai	травень	mai	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
травня	kann	травень	können	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
травня	may	травень	maylen	N;INAN;GEN;MASC;SG	PROPN
травня	möge	травень	mögen	N;INAN;GEN;MASC;SG	V;SBJV;SG;3;PRS;FIN
травня	darf	травень	dürfen	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
грудня	december	грудень	december	N;INAN;GEN;MASC;SG	PROPN
грудня	dezember	грудень	dezember	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
інших	sonstiges	інший	sonstig	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	andere	інший	ander	DET;GEN;PL	ADJ;NOM;FEM;PL
інших	anderen	інший	ander	DET;GEN;PL	ADJ;NOM;PL
інших	sonstige	інший	sonstig	DET;GEN;PL	ADJ;NOM;FEM;PL
інших	anderes	інший	ander	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	sonstiges	інший	sonstig	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	andere	інший	ander	DET;GEN;PL	ADJ;NOM;FEM;PL
інших	anderen	інший	ander	DET;GEN;PL	ADJ;NOM;PL
інших	sonstige	інший	sonstig	DET;GEN;PL	ADJ;NOM;FEM;PL
жовтня	oktober	жовтень	oktober	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
жовтня	october	жовтень	october	N;INAN;GEN;MASC;SG	PROPN
жовтня	oktober	жовтень	oktober	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
жовтня	okt	жовтень	okt	N;INAN;GEN;MASC;SG	
серед	inmitten	серед	inmitten	ADP;GEN	ADV
серед	mittendrin	серед	mittendrin	ADP;GEN	ADJ
один	einen	один	ein	NUM;NOM;MASC	PRO;ACC;INDF;MASC;SG
один	eins	один	ein	NUM;NOM;MASC	
один	einer	один	ein	NUM;NOM;MASC	PRO;NOM;INDF;MASC;SG
один	eine	один	ein	NUM;NOM;MASC	DET;NOM;INDF;FEM;SG
один	ein	один	ein	NUM;NOM;MASC	ADV
липня	juli	липень	juli	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
липня	july	липень	july	N;INAN;GEN;MASC;SG	
участь	teilnehmende	участь	teilnehmend	N;INAN;ACC;FEM;SG	ADJ;NOM;FEM;PL
участь	teilnehmen	участь	teilnehmen	N;INAN;ACC;FEM;SG	V;NFIN
участь	teilnahme	участь	teilnahme	N;INAN;ACC;FEM;SG	ADV
участь	teilnehmenden	участь	teilnehmend	N;INAN;ACC;FEM;SG	ADJ;PL
участь	beteiligung	участь	Beteiligung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	mitwirkung	участь	mitwirkung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	einbeziehung	участь	einbeziehung	N;INAN;ACC;FEM;SG	V;V.PTCP
участь	beteiligung	участь	Beteiligung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	teilnahme	участь	teilnahme	N;INAN;ACC;FEM;SG	ADV
участь	mitwirkung	участь	mitwirkung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	mitmachen	участь	mitmachen	N;INAN;ACC;FEM;SG	V;NFIN
участь	teilnehmen	участь	teilnehmen	N;INAN;ACC;FEM;SG	V;NFIN
участь	mitwirken	участь	mitwirken	N;INAN;ACC;FEM;SG	V;NFIN
участь	beteiligen	участь	beteiligen	N;INAN;ACC;FEM;SG	V;NFIN
вид	freundlich	вид	freundlich	N;INAN;NOM;MASC;SG	ADJ
вид	tierarten	вид	tierarten	N;INAN;NOM;MASC;SG	V;NFIN
вид	arten	вид	arten	N;INAN;NOM;MASC;SG	N;PL
вид	tierart	вид	tierart	N;INAN;NOM;MASC;SG	ADJ
вид	spezies	вид	spezies	N;INAN;NOM;MASC;SG	
вид	gattung	вид	gattung	N;INAN;NOM;MASC;SG	ADJ
вид	aussicht	вид	aussechen	N;INAN;NOM;MASC;SG	PROPN
вид	anzeigen	вид	anzeigen	N;INAN;NOM;MASC;SG	V;NFIN
вид	blick	вид	blick	N;INAN;NOM;MASC;SG	ADV
можна	kann	можна	können	ADV	V;IND;SG;3;PRS;FIN
можна	können	можна	können	ADV	V;IND;PL;3;PRS;FIN
можна	can	можна	can	ADV	
можна	kannst	можна	können	ADV	V;IND;SG;2;PRS;FIN
червня	juni	червень	juni	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
червня	june	червень	jun	N;INAN;GEN;MASC;SG	PROPN
місто	stadt	місто	staden	N;INAN;NOM;NEUT;SG	
місто	ortschaft	місто	ortschaft	N;INAN;NOM;NEUT;SG	ADJ
місто	stadt	місто	staden	N;INAN;NOM;NEUT;SG	
життя	leben	життя	leben	N;INAN;NOM;NEUT;SG	V;NFIN
життя	life	життя	life	N;INAN;NOM;NEUT;SG	PROPN
життя	lebens	життя	lebens	N;INAN;NOM;NEUT;SG	N;NOM;PL
життя	lebensart	життя	lebensaren	N;INAN;NOM;NEUT;SG	
життя	leben	життя	leben	N;INAN;NOM;NEUT;SG	V;NFIN
життя	lifestyle	життя	lifestyl	N;INAN;NOM;NEUT;SG	
життя	lebensstil	життя	lebensstil	N;INAN;NOM;NEUT;SG	
срср	udssr	срср	udssr	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
срср	sowjetunion	срср	sowjetunion	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;SG
квітня	april	квітень	april	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
листопада	november	листопад	november	N;INAN;GEN;MASC;SG	PROPN
лютого	february	лютий	february	N;INAN;GEN;MASC;SG	
лютого	februar	лютий	februaer	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
лютого	feb	лютий	feb	N;INAN;GEN;MASC;SG	
лютого	februar	лютий	februaer	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
опис	bezeichnung	опис	Bezeichnung	N;INAN;NOM;MASC;SG	ADJ
опис	kurzbeschreibung	опис	kurzbeschreibung	N;INAN;NOM;MASC;SG	ADJ
центр	ops	центр	ops	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
центр	zentrum	центр	zentrum	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
центр	mitte	центр	mitte	N;INAN;NOM;MASC;SG	ADV
центр	zentriert	центр	zentrieren	N;INAN;NOM;MASC;SG	V;V.PTCP
центр	center	центр	center	N;INAN;NOM;MASC;SG	PROPN;SG
центр	zentrum	центр	zentrum	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
центр	stadtzentrum	центр	stadtzentrum	N;INAN;NOM;MASC;SG	V;V.PTCP
центр	mitte	центр	mitte	N;INAN;NOM;MASC;SG	ADV
центр	stadtmitte	центр	stadtmitt	N;INAN;NOM;MASC;SG	
центр	mittelpunkt	центр	mittelpunkt	N;INAN;NOM;MASC;SG	ADV
захід	west	захід	west	N;INAN;NOM;MASC;SG	
захід	westen	захід	westen	N;INAN;NOM;MASC;SG	ADV
захід	westliche	захід	westlich	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;PL
тільки	einzige	тільки	einzig	PART	ADJ;NOM;FEM;PL
тільки	einzig	тільки	einzig	PART	ADJ
тільки	lediglich	тільки	lediglich	PART	ADV
тільки	einzigen	тільки	einzig	PART	ADJ;NOM;PL
тільки	nur	тільки	nur	PART	ADV
франції	frankreich	франція	frankreich	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG
століття	jahrhunderten	століття	jahrhundert	N;INAN;NOM;NEUT;SG	V;IND;PL;3;PST;FIN
століття	jahrhunderte	століття	jahrhundert	N;INAN;NOM;NEUT;SG	ADJ
століття	jahrhundert	століття	jahrhundert	N;INAN;NOM;NEUT;SG	ADJ
століття	century	століття	century	N;INAN;NOM;NEUT;SG	PROPN
століття	jahrhunderts	століття	jahrhundert	N;INAN;NOM;NEUT;SG	ADV
рада	council	рада	council	N;INAN;NOM;FEM;SG	PROPN
рада	rada	рада	rada	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
відстані	distanzen	відстань	distanzen	N;INAN;NOM;FEM;PL	V;NFIN
відстані	distanz	відстань	distanz	N;INAN;NOM;FEM;PL	
відстані	entfernung	відстань	entfernung	N;INAN;NOM;FEM;PL	ADJ
відстані	entfernungen	відстань	entfernung	N;INAN;NOM;FEM;PL	V;V.PTCP
відстані	abstände	відстань	abstehen	N;INAN;NOM;FEM;PL	
схід	östlich	схід	östlich	N;INAN;NOM;MASC;SG	ADJ
схід	ostseite	схід	ostseite	N;INAN;NOM;MASC;SG	ADJ
схід	osten	схід	osten	N;INAN;NOM;MASC;SG	ADV
статті	beiträge	стаття	beitragen	N;INAN;NOM;FEM;PL	ADJ
статті	artikel	стаття	artikel	N;INAN;NOM;FEM;PL	ADJ
статті	artikeln	стаття	artikeln	N;INAN;NOM;FEM;PL	ADJ
склад	silbe	склад	silben	N;INAN;NOM;MASC;SG	
склад	lager	склад	lager	N;INAN;NOM;MASC;SG	ADJ
склад	lagerhaus	склад	lagerhaus	N;INAN;NOM;MASC;SG	ADJ
склад	warehouse	склад	warehouse	N;INAN;NOM;MASC;SG	
склад	lagerung	склад	lagerung	N;INAN;NOM;MASC;SG	ADJ
склад	lagerraum	склад	lagerraum	N;INAN;NOM;MASC;SG	ADJ
міні	mini	міні	mini		
міні	minigolf	міні	minigolf		
особи	person	особа	person	N;ANIM;NOM;FEM;PL	
над	vorbei	над	vorbei	ADP;ACC	ADV
історія	geschichte	історія	geschicht	N;INAN;NOM;FEM;SG	
історія	meldung	історія	meldung	N;INAN;NOM;FEM;SG	ADJ
історія	vergangenheit	історія	vergangenheit	N;INAN;NOM;FEM;SG	ADJ
історія	werdegang	історія	werdegang	N;INAN;NOM;FEM;SG	
історія	geschichte	історія	geschicht	N;INAN;NOM;FEM;SG	
зображення	abbildungen	зображення	abbildung	N;INAN;NOM;NEUT;SG	V;NFIN
зображення	bildmaterial	зображення	bildmaterial	N;INAN;NOM;NEUT;SG	ADJ
зображення	bilder	зображення	Bild	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
зображення	bildern	зображення	bildern	N;INAN;NOM;NEUT;SG	V;NFIN
зображення	bild	зображення	bild	N;INAN;NOM;NEUT;SG	
зображення	abbildung	зображення	abbildung	N;INAN;NOM;NEUT;SG	
зображення	bild	зображення	bild	N;INAN;NOM;NEUT;SG	
зображення	abbild	зображення	abbild	N;INAN;NOM;NEUT;SG	
зображення	abbildungen	зображення	abbildung	N;INAN;NOM;NEUT;SG	V;NFIN
зображення	bildmaterial	зображення	bildmaterial	N;INAN;NOM;NEUT;SG	ADJ
зображення	bildern	зображення	bildern	N;INAN;NOM;NEUT;SG	V;NFIN
зображення	bilder	зображення	Bild	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
пункти	artikel	пункт	artikel	N;INAN;NOM;MASC;PL	ADJ
пункти	positionen	пункт	position	N;INAN;NOM;MASC;PL	V;NFIN
пункти	wahlmöglichkeiten	пункт	wahlmöglichkeiten	N;INAN;NOM;MASC;PL	V;NFIN
пункти	möglichkeiten	пункт	möglichkeiten	N;INAN;NOM;MASC;PL	V;NFIN
пункти	einträge	пункт	einträg	N;INAN;NOM;MASC;PL	ADJ;SG
код	kodex	код	kodex	N;INAN;NOM;MASC;SG	
код	vorwahl	код	vorwahl	N;INAN;NOM;MASC;SG	PROPN
код	code	код	code	N;INAN;NOM;MASC;SG	
код	quelltext	код	quelltext	N;INAN;NOM;MASC;SG	V;IND;SG;3;PST;FIN
сайт	internetseite	сайт	internetseite	N;INAN;NOM;MASC;SG	ADJ
сайт	webseiten	сайт	webseiten	N;INAN;NOM;MASC;SG	V;NFIN
сайт	webseite	сайт	webseite	N;INAN;NOM;MASC;SG	
сайт	aufstellungsort	сайт	aufstellungsort	N;INAN;NOM;MASC;SG	ADJ
сайт	webseite	сайт	webseite	N;INAN;NOM;MASC;SG	
сайт	standort	сайт	standoren	N;INAN;NOM;MASC;SG	ADV
разом	gemeinsam	разом	gemeinsam	ADV	ADJ
інші	sonstiges	інший	sonstig	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	andere	інший	ander	DET;NOM;PL	ADJ;NOM;FEM;PL
інші	anderen	інший	ander	DET;NOM;PL	ADJ;NOM;PL
інші	sonstige	інший	sonstig	DET;NOM;PL	ADJ;NOM;FEM;PL
інші	anderes	інший	ander	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	sonstiges	інший	sonstig	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	andere	інший	ander	DET;NOM;PL	ADJ;NOM;FEM;PL
інші	anderen	інший	ander	DET;NOM;PL	ADJ;NOM;PL
інші	sonstige	інший	sonstig	DET;NOM;PL	ADJ;NOM;FEM;PL
проти	versus	проти	versus	ADV	
проти	gegen	проти	gegen	ADV	ADP
проти	gegen	проти	gegen	ADV	ADP
український	ukrainischen	український	ukrainisch	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
український	ukrainische	український	ukrainisch	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
мова	amtssprache	мова	amtssprechen	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
мова	sprachen	мова	sprechen	N;INAN;NOM;FEM;SG	V;FIN
історії	geschichten	історія	geschecht	N;INAN;NOM;FEM;PL	V;NFIN
історії	meldungen	історія	meldung	N;INAN;NOM;FEM;PL	V;NFIN
історії	vergangenheit	історія	vergangenheit	N;INAN;NOM;FEM;PL	ADJ
історії	werdegang	історія	werdegang	N;INAN;NOM;FEM;PL	
історії	geschichte	історія	geschicht	N;INAN;NOM;FEM;PL	
всі	alle	весь	alle	DET;NOM;PL	PRO;NOM;INDF;PL
всі	alles	весь	alle	DET;NOM;PL	PRO;NOM;INDF;NEUT;SG
всі	all	весь	all	DET;NOM;PL	ADV
багато	viele	багато	viel	ADV	ADJ;NOM;INDF;PL
багато	partien	багато	parti	ADV	
багато	lose	багато	los	ADV	ADJ
багато	viele	багато	viel	ADV	ADJ;NOM;INDF;PL
багато	vieles	багато	viel	ADV	PRO;NOM;INDF;NEUT;SG
багато	zahlreiche	багато	zahlreich	ADV	ADJ;NOM;FEM;PL
багато	vielen	багато	viel	ADV	ADJ;ACC;INDF;MASC;PL
багато	vieles	багато	viel	ADV	PRO;NOM;INDF;NEUT;SG
багато	much	багато	machen	ADV	
більше	größer	більше	groß	ADV;CMPR	ADJ
більше	größere	більше	groß	ADV;CMPR	ADJ;NOM;FEM;PL
більше	größer	більше	groß	ADV;CMPR	ADJ
більше	grössere	більше	groß	ADV;CMPR	ADJ;NOM;FEM;PL
більше	grösser	більше	groß	ADV;CMPR	ADJ
більше	größere	більше	groß	ADV;CMPR	ADJ;NOM;FEM;PL
більше	weiteres	більше	weit	ADV;CMPR	ADJ;NOM;NEUT;SG
більше	weitere	більше	weit	ADV;CMPR	ADJ;NOM;FEM;PL
кількість	zählen	кількість	zählen	N;INAN;NOM;FEM;SG	V;NFIN
