در	ajtó	در	ajtó	ADP	N;NOM;SG
پیوند	kapcsolódó	پیوند	kapcsolódó	N;SG	ADJ;NOM;SG
پیوند	összekapcsolt	پیوند	összekapcsolt	N;SG	
پیوند	bond	پیوند	bond	N;SG	
پیش	előtte	پیش	előtte	ADP	
پیش	mielőtt	پیش	mielőtt	ADP	ADV
بحث	vitatkozni	بحث	vitatkozik	N;SG	V;NFIN;ACT
بیرون	ki	بیرون	ki	ADV;ESS	PRO;NOM;SG;3
دوره	persze	دوره	persze	N;SG	
دوره	epoch	دوره	epoch	N;SG	
دهه	évtizedek	دهه	évtized	N;SG	N;NOM;PL
متر	mérő	متر	mérő	N;SG	
کاربر	felhasználó	کاربر	felhasználó	N;SG	ADJ;NOM;SG
کاربر	felhasználói	کاربر	felhasználói	N;SG	N;NOM;PL
هر	minden	هر	minden	DET	PRO;NOM;SG;3
هر	bármelyik	هر	bármelyik	DET	
هر	bármely	هر	bármely	DET	
هر	bármilyen	هر	bármilyen	DET	
باشگاه	club	باشگاه	club	N;SG	
دانشگاه	university	دانشگاه	university	N;SG	
مورد	case	مورد	case	N;SG	
ثبت	log	ثبت	log	N;SG	
زبان	nyelveket	زبان	nyelv	N;SG	N;ACC;PL
زبان	nyelvek	زبان	nyelv	N;SG	N;NOM;PL
زبان	nyelveken	زبان	nyelv	N;SG	N;ON+ESS;PL
زادگان	leszármazottja	زاده	le+származott	N;PL	N;NOM;SG
مسکونی	lakossági	None	lakossági	N;SG	ADJ;NOM;SG
کار	dolgozó	کار	dolgozó	N;SG	ADJ;NOM;SG
کار	dolgozik	کار	dolgozik	N;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
کار	dolgozom	کار	dolgozik	N;SG	V;INDF;IND;SG;1;PRS;FIN;ACT
کار	dolgozok	کار	dolgozik	N;SG	V;INDF;IND;SG;1;PRS;FIN;ACT
بازیگران	forgatás	بازیگر	forgatás	N;PL	N;NOM;SG
روی	roy	رو	roy	ADP	PROPN;NOM;SG
روی	cink	رو	cink	ADP	N;NOM;SG
مرکز	központi	مرکز	központi	N;SG	ADJ;NOM;SG
مرکز	center	مرکز	center	N;SG	
شرکت	vállalati	شرکت	vállalati	N;SG	ADJ;NOM;SG
مقاله	árucikkek	مقاله	árucik	N;SG	N;NOM;PL
مقاله	cikkek	مقاله	cikk	N;SG	N;NOM;PL
تیم	tim	تیم	tim	N;SG	
تیم	team	تیم	team	N;SG	
انگلیسی	angolul	انگلیسی	angolul	N;SG	
انگلیسی	angol	انگلیسی	angol	N;SG	
نظر	hozzászólás	نظر	hozzászólás	N;SG	
نظر	vélemény	نظر	vélemény	N;SG	
نظر	vélemények	نظر	vélemény	N;SG	N;NOM;PL
جهانی	international	جهانی	international	N;SG	
جهانی	nemzetközi	جهانی	nemzetközi	N;SG	ADJ;NOM;SG
جهانی	univerzális	جهانی	univerzális	N;SG	
جهانی	egyetemes	جهانی	egyetemes	N;SG	
جهانی	globális	جهانی	globális	N;SG	ADJ;NOM;SG
جهانی	global	جهانی	global	N;SG	
جهانی	világ	جهانی	világ	N;SG	
جهانی	world	جهانی	world	N;SG	
همچنین	szintén	همچنین	szintén	CONJ	
همچنین	egyben	همچنین	egyben	CONJ	ADV
همچنین	úgyszintén	همچنین	úgyszintén	CONJ	
همچنین	túl	همچنین	túl	CONJ	
همچنین	hasonlóképpen	همچنین	hasonlóképpen	CONJ	
زندگی	élni	زندگی	él	N;SG	V;NFIN;ACT
زندگی	élő	زندگی	élő	N;SG	
زندگی	life	زندگی	life	N;SG	
زن	nö	زن	nö	N;SG	
زن	nőnemű	زن	nőnemű	N;SG	
زن	női	زن	női	N;SG	
زیر	alul	زیر	alul	ADP	
زیر	alatta	زیر	alat	ADP	
زیر	alább	زیر	alá	ADP	ADV
زیر	lent	زیر	lesz	ADP	
زیر	alatta	زیر	alat	ADP	
آنها	ők	آن	ők	PRO;PL	PRO;NOM;PL;3
آنها	őket	آن	ők	PRO;PL	PRO;ACC;PL;3
آنها	ők	آن	ők	PRO;PL	PRO;NOM;PL;3
جوایز	gála	جایزه	gála	N;PL	N;NOM;SG
جوایز	nyeremény	جایزه	nyeremény	N;PL	N;NOM;SG
روستا	falusi	روستا	falusi	N;SG	ADJ;NOM;SG
بازی	game	بازی	gam	N;SG	
بازی	játékok	بازی	játék	N;SG	N;NOM;PL
بازی	játszani	بازی	játszik	N;SG	V;NFIN;ACT
بازی	play	بازی	play	N;SG	
بازی	játssz	بازی	játssz	N;SG	
تاریخی	történeti	تاریخی	történeti	ADJ	N;NOM;SG
فرانسه	francia	فرانسه	francia	N;SG	
فرانسه	franciák	فرانسه	francia	N;SG	N;NOM;PL
فرانسه	france	فرانسه	france	N;SG	
باید	kell	بایست#باید	kell	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
دست	kezek	دست	kéz	N;SG	N;NOM;PL
های	hai	ها	hai	N;PL	
توابع	funkciók	توابع	funkció	N;SG	N;NOM;PL
توابع	feladatok	توابع	feladat	N;SG	N;NOM;PL
کتاب	könyveket	کتاب	könyv	N;SG	N;ACC;PL
کتاب	könyvek	کتاب	könyv	N;SG	N;NOM;PL
آلمان	németül	آلمان	németül	N;SG	
آلمان	német	آلمان	német	N;SG	ADJ;NOM;SG
سطح	szintek	سطح	szint	N;SG	N;NOM;PL
سطح	szintű	سطح	szintű	N;SG	
اصلی	fő	اصلی	fő	ADJ	
اصلی	main	اصلی	main	ADJ	
اصلی	főbb	اصلی	fő	ADJ	ADJ;NOM;CMPR;SG
اصلی	eredeti	اصلی	eredeti	ADJ	N;NOM;SG
اصلی	primer	اصلی	primer	ADJ	
ساخت	építési	ساخت	építési	N;SG	ADJ;NOM;SG
ساخت	gyártási	ساخت	gyártási	N;SG	ADJ;NOM;SG
المپیک	olimpiai	المپیک	olimpiai	N;SG	ADJ;NOM;SG
اول	először	اول	először	ADJ	ADV
دارای	neves	دارا	neves	ADJ	
ایالت	állami	ایالت	állami	N;SG	
زنده	élve	زنده	élve	ADJ	
زنده	életben	زنده	élet	ADJ	N;IN+ESS;SG
زنده	él	زنده	él	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
بین	bab	بین	bab	ADP	
انگلستان	england	انگلستان	england	N;SG	
انگلستان	angliai	انگلستان	angliai	N;SG	ADJ;NOM;SG
دوم	másodszor	دوم	másod	ADJ	
دوم	másodperc	دوم	másodperc	ADJ	
دوم	második	دوم	második	ADJ	
گروه	band	گروه	band	N;SG	
گروه	banda	گروه	banda	N;SG	
گروه	együttes	گروه	együttes	N;SG	
جایزه	prémium	جایزه	prémium	N;SG	
جایزه	bónusz	جایزه	bónusz	N;SG	
بیشتر	legtöbb	بیش	legtöbb	ADJ;CMPR	
بیشتر	több	بیش	több	ADJ;CMPR	DET;INDF
بیشتر	more	بیش	more	ADJ;CMPR	
بیشتر	további	بیش	további	ADJ;CMPR	N;NOM;SG
بیشتر	tobb	بیش	tobb	ADJ;CMPR	
جنوبی	dél	جنوبی	dél	N;SG	
جنوبی	déli	جنوبی	déli	N;SG	
جنوبی	dél	جنوبی	dél	N;SG	
جنوبی	délre	جنوبی	délre	N;SG	ADV
جنوبی	déli	جنوبی	déli	N;SG	
داد	dodd	داد#ده	dodd	V;SG;3;PST	
منطقه	régiók	منطقه	régió	N;SG	N;NOM;PL
منطقه	kerület	منطقه	kerület	N;SG	
بسیار	sok	بسیار	sok	ADV	
بسیار	sok	بسیار	sok	ADV	
بسیار	sokat	بسیار	sok	ADV	
اسلامی	iszlám	اسلامی	iszlám	ADJ	
بزرگ	nagyok	بزرگ	nagy	ADJ	N;NOM;PL
بزرگ	nagyok	بزرگ	nagy	ADJ	N;NOM;PL
اروپا	európa	اروپا	európa	N;SG	
اروپا	europe	اروپا	europe	N;SG	
اروپا	europa	اروپا	europa	N;SG	
روستایی	vidéki	روستایی	vidéki	N;SG	ADJ;NOM;SG
روستایی	falusi	روستایی	falusi	N;SG	ADJ;NOM;SG
روستایی	paraszt	روستایی	paraszt	N;SG	
آمار	statisztikák	آمار	statisztika	N;SG	N;NOM;PL
فعالیت	tevékenységek	فعالیت	tevékenység	N;SG	N;NOM;PL
زاده	született	زاده	születik	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
زاده	megszületett	زاده	meg+szület	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
محمد	mohammad	محمد	mohammad	N;SG	
محمد	muhammad	محمد	muhammad	N;SG	
محمد	mohammed	محمد	mohammed	N;SG	
محمد	mohamed	محمد	mohamed	N;SG	
محمد	mohamed	محمد	mohamed	N;SG	
بریتانیا	britannia	None	britannia	N;SG	
بریتانیا	britek	None	brit	N;SG	N;NOM;PL
بریتانیا	angol	None	angol	N;SG	
بریتانیا	brit	None	brit	N;SG	
بریتانیا	britannia	None	britannia	N;SG	
مانند	mint	مانند	mint	ADV	CONJ
مانند	like	مانند	lik	ADV	
مانند	tetszik	مانند	tetszik	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
چند	kevesen	چند	kevés	ADJ	ADV
چند	pár	چند	pár	ADJ	
چند	kevés	چند	kevés	ADJ	
چند	kevesek	چند	kevés	ADJ	
چند	néhány	چند	néhány	ADJ	DET;INDF
چند	multi	چند	mult	ADJ	
شمالی	észak	شمالی	észak	N;SG	
شمالی	északi	شمالی	északi	N;SG	
شمالی	észak	شمالی	észak	N;SG	
شمالی	északi	شمالی	északi	N;SG	
شمالی	carolina	شمالی	carolina	N;SG	
شمالی	karolina	شمالی	karolina	N;SG	
ایرانی	iráni	ایرانی	iráni	N;SG	
اطلاعات	info	اطلاع	info	N;PL	
اطلاعات	infó	اطلاع	infó	N;PL	
اطلاعات	információ	اطلاع	információ	N;PL	N;NOM;SG
اطلاعات	információ	اطلاع	információ	N;PL	N;NOM;SG
اطلاعات	tájékoztatás	اطلاع	tájékoztatás	N;PL	N;NOM;SG
مالک	malik	مالک	malik	N;SG	
امنیت	biztonsági	امنیت	biztonsági	N;SG	ADJ;NOM;SG
امنیت	biztonsági	امنیت	biztonsági	N;SG	ADJ;NOM;SG
مردم	emberek	مردم	ember	N;SG	N;NOM;PL
روستای	falusi	روستا	falusi	N;SG	ADJ;NOM;SG
دور	far	دور	far	ADP	
دور	messze	دور	messze	ADP	
دور	messzire	دور	messzire	ADP	
اولین	evelyn	اولین	evely	ADJ;RL	N;NOM;SG
مربوط	releváns	مربوط	releváns	ADJ	
مربوط	lényeges	مربوط	lényeges	ADJ	
مربوط	összefüggő	مربوط	összefüggő	ADJ	
مربوط	rokonok	مربوط	rokon	ADJ	N;NOM;PL
مربوط	rokon	مربوط	rokon	ADJ	
مربوط	kapcsolatban	مربوط	kapcsolat	ADJ	N;IN+ESS;SG
بار	barr	بار	barr	N;SG	PROPN;NOM;SG
بار	bar	بار	bar	N;SG	
بار	bár	بار	bár	N;SG	CONJ
دریا	tengeren	دریا	tenger	N;SG	
دریا	tengeri	دریا	tengeri	N;SG	
شما	te	شما	te	PRO;PL;2	V;DEF;IND;SG;1;PRS;FIN;ACT
برابر	egyenlők	برابر	egyenlő	ADP	N;NOM;PL
برابر	egyenlőek	برابر	egyenlő	ADP	N;NOM;PL
برابر	egyenlő	برابر	egyenlő	ADP	
برابر	egyenlők	برابر	egyenlő	ADP	N;NOM;PL
برابر	egyenlő	برابر	egyenlő	ADP	
تولید	termelési	تولید	termelési	N;SG	ADJ;NOM;SG
تولید	generálni	تولید	generál	N;SG	V;NFIN;ACT
تپه	hill	تپه	hill	N;SG	
تنها	egyedül	تنها	egyedül	ADV	
تنها	kizárólag	تنها	kizárólag	ADV	
تنها	magányos	تنها	magányos	ADV	
تنها	magányosan	تنها	magányos	ADV	ADJ;FRML;SG
تنها	magány	تنها	magány	ADV	N;NOM;SG
علی	ali	علی	ali	N;SG	
شرقی	keleti	شرقی	keleti	N;SG	
شرقی	kelet	شرقی	kelet	N;SG	
شرقی	keleti	شرقی	keleti	N;SG	
شرقی	kelet	شرقی	kelet	N;SG	
شرقی	keleti	شرقی	keleti	N;SG	
یونسکو	unesco	یونسکو	unesco	N;SG	
یونسکو	helyszínek	یونسکو	helyszín	N;SG	N;NOM;PL
یونسکو	oldalak	یونسکو	oldal	N;SG	N;NOM;PL
برخی	néhány	برخی	néhány	PRO	DET;INDF
جهان	világ	جهان	világ	N;SG	
جهان	world	جهان	world	N;SG	
جام	cup	جام	cup	N;SG	
ها	huh	None	huh	N;SG	
ارتفاع	magasság	ارتفاع	magasság	N;SG	
ارتفاع	magasság	ارتفاع	magasság	N;SG	
کشف	felfedezte	کشف	felfedez	N;SG	V;DEF;IND;SG;3;PST;FIN;ACT
کشف	felfedezett	کشف	felfedezett	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
کشف	felfedezni	کشف	felfedez	N;SG	V;NFIN;ACT
حذف	töröld	حذف	töröld	N;SG	V;DEF;IMP;SG;2;PRS;FIN;ACT
حذف	törlés	حذف	törlés	N;SG	
تلویزیونی	tv	تلویزیونی	tv	ADJ	N;NOM;SG
تلویزیونی	televízió	تلویزیونی	televízió	ADJ	N;NOM;SG
غربی	nyugat	غربی	nyugat	ADJ	
غربی	nyugati	غربی	nyugati	ADJ	
غربی	nyugati	غربی	nyugati	ADJ	
غربی	nyugat	غربی	nyugat	ADJ	
غربی	western	غربی	western	ADJ	
گرفته	foglalt	گرفت#گیر	foglal	V;SG;3;V.PTCP	
دوران	időszakok	دوره	időszak	N;SG	N;NOM;PL
شامل	tartalmazza	شامل	tartalmaz	ADJ	V;DEF;IND;SG;3;PRS;FIN;ACT
بهترین	legjobbak	به	jó	ADJ;RL	N;NOM;PL
بهترین	legjobb	به	jó	ADJ;RL	
بهترین	best	به	best	ADJ;RL	
دولت	állami	دولت	állami	N;SG	
همراه	mobilos	همراه	mobilos	ADP	
همراه	mobile	همراه	mobile	ADP	
همراه	mobil	همراه	mobil	ADP	
همراه	kísérte	همراه	kísér	ADP	V;DEF;IND;SG;3;PST;FIN;ACT
همراه	kísérő	همراه	kísérő	ADP	ADJ;NOM;SG
چپ	bal	چپ	bal	N;SG	
چپ	balra	چپ	balra	N;SG	
ایتالیا	italia	ایتالیا	italia	N;SG	
ایتالیا	olaszország	ایتالیا	olaszország	N;SG	
ایتالیا	olasz	ایتالیا	olasz	N;SG	
ایتالیا	olaszország	ایتالیا	olaszország	N;SG	
تحت	alatta	تحت	alat	ADP	
آغاز	start	آغاز	start	N;SG	
آغاز	kezdeni	آغاز	kezd	N;SG	V;NFIN;ACT
آغاز	kezdetek	آغاز	kezdet	N;SG	N;NOM;PL
آغاز	kezdem	آغاز	kezdem	N;SG	V;DEF;IND;SG;1;PRS;FIN;ACT
آغاز	kezdő	آغاز	kezdő	N;SG	
کشتی	hajók	کشتی	hajó	N;SG	N;NOM;PL
کشتی	hajón	کشتی	hajó	N;SG	
کشتی	hajós	کشتی	hajós	N;SG	
بن	ben	بن	ben		
همه	mindenki	همه	mindenki	PRO	
همه	mindenkinek	همه	mindenki	PRO	
همه	mindegyik	همه	mindegyik	PRO	
همه	mind	همه	mind	PRO	CONJ
همه	mindenki	همه	mindenki	PRO	
همه	mindenkinek	همه	mindenki	PRO	
کوچک	kicsik	کوچک	kicsik	ADJ	
کوچک	kicsi	کوچک	kicsi	ADJ	
کوچک	kicsi	کوچک	kicsi	ADJ	
کوچک	kevés	کوچک	kevés	ADJ	
کوچک	kiskorú	کوچک	kiskorú	ADJ	N;NOM;SG
کوچک	kisebb	کوچک	kis	ADJ	ADJ;NOM;CMPR;SG
ژاپن	japán	ژاپن	japán	N;SG	
رسمی	tisztviselő	رسمی	tisztviselő	ADJ	N;NOM;SG
رسمی	formális	رسمی	formális	ADJ	
اسلام	iszlám	اسلام	iszlám	N;SG	
سپتامبر	szeptemberi	سپتامبر	szeptemberi	N;SG	ADJ;NOM;SG
پرونده	case	پرونده	case	N;SG	
ماه	hónapokig	ماه	hónap	N;SG	N;PL
ماه	hónapok	ماه	hónap	N;SG	N;NOM;PL
ماه	hold	ماه	hold	N;SG	
ماه	holdon	ماه	hold	N;SG	
ماه	moon	ماه	moon	N;SG	
اوت	august	اوت	augus	N;SG	
تابستانی	summer	تابستانی	summer	N;SG	
تابستانی	nyári	تابستانی	nyári	N;SG	
تابستانی	nyár	تابستانی	nyár	N;SG	
چون	mikor	چون	mikor	CONJ	ADV
چون	amikor	چون	amikor	CONJ	ADV
آوریل	apr	None	apr	N;SG	
آوریل	april	None	ap	N;SG	
آوریل	áprilisi	None	áprilisi	N;SG	ADJ;NOM;SG
تغییر	változik	تغییر	változik	N;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
تغییر	módosítható	تغییر	módosítható	N;SG	ADJ;NOM;SG
تغییر	módosítani	تغییر	módosít	N;SG	V;NFIN;ACT
تغییر	megváltozott	تغییر	megváltozott	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
تغییر	változások	تغییر	változás	N;SG	N;NOM;PL
سیاسی	politika	سیاسی	politika	ADJ	N;NOM;SG
شکل	alakú	شکل	alakú	N;SG	
مارس	márciusi	مارس	márciusi	N;SG	ADJ;NOM;SG
مارس	mars	مارس	mars	N;SG	
درخواست	kérelem	درخواست	kérel	N;SG	
گردشگری	turisták	گردشگری	turista	N;SG	N;NOM;PL
شهری	városi	شهر	városi	N;SG	ADJ;NOM;SG
شهری	önkormányzati	شهر	önkormányzati	N;SG	ADJ;NOM;SG
شهری	city	شهر	city	N;SG	
شهری	városi	شهر	városi	N;SG	ADJ;NOM;SG
لیگ	league	لیگ	leag	N;SG	
روسیه	orosz	روسیه	orosz	N;SG	
روسیه	oroszul	روسیه	orosz	N;SG	
منابع	forrás	منبع	forrás	N;PL	N;NOM;SG
منابع	erőforrás	منبع	erőforrás	N;PL	
نخستین	először	نخستین	először	ADJ;RL	ADV
شاه	kinga	شاه	kinga	N;SG	
شاه	shah	شاه	shah	N;SG	
جنوب	dél	جنوب	dél	N;SG	
جنوب	déli	جنوب	déli	N;SG	
جنوب	dél	جنوب	dél	N;SG	
جنوب	délre	جنوب	délre	N;SG	ADV
جنوب	déli	جنوب	déli	N;SG	
تشکیل	kialakult	تشکیل	kialakult	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
تشکیل	alakított	تشکیل	alakított	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
تشکیل	alakult	تشکیل	alakul	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
فوت	gyalog	فوت	gyalog	N;SG	
اکتبر	októberi	اکتبر	októberi	N;SG	ADJ;NOM;SG
ژوئن	júniusi	None	júniusi	N;SG	ADJ;NOM;SG
ژوئن	june	None	june	N;SG	
امکان	lehetséges	امکان	lehetséges	N;SG	ADJ;NOM;SG
نویسندگان	szerzői	نویسنده	szerzői	N;PL	ADJ;NOM;SG
سر	sar	سر	sar	N;SG	
سر	fejek	سر	fej	N;SG	N;NOM;PL
سر	fejeket	سر	fejek	N;SG	N;ACC;PL
حزب	party	حزب	party	N;SG	
حزب	parti	حزب	parti	N;SG	ADJ;NOM;SG
بدون	anélkül	بدون	anélkül	ADP	
خانه	house	خانه	hous	N;SG	
خانه	házon	خانه	ház	N;SG	ADJ;FRML;SG
خانه	otthon	خانه	otthon	N;SG	
خانه	itthon	خانه	itthon	N;SG	
خانه	haza	خانه	haza	N;SG	
دسامبر	decemberi	دسامبر	decemberi	N;SG	ADJ;NOM;SG
هند	india	هند	india	N;SG	
آزاد	ingyenes	آزاد	ingyenes	ADJ	
آزاد	ingyen	آزاد	ingyen	ADJ	
آزاد	free	آزاد	free	ADJ	
آزاد	szabad	آزاد	szabad	ADJ	
علمی	tudományos	علمی	tudományos	N;SG	ADJ;NOM;SG
نوامبر	novemberi	نوامبر	novemberi	N;SG	ADJ;NOM;SG
آسیا	ázsiai	آسیا	ázsiai	N;SG	ADJ;NOM;SG
شمال	észak	شمال	észak	N;SG	
شمال	északi	شمال	északi	N;SG	
شمال	észak	شمال	észak	N;SG	
شمال	északi	شمال	északi	N;SG	
علوم	tudomány	علم	tudomány	N;PL	N;NOM;SG
جان	john	جان	john	N;SG	
سید	sid	سید	sid	N;SG	
کالیفرنیا	kaliforniai	None	kaliforniai	N;SG	V;DEF;IND;SG;3;PRS;NFIN;ACT
کالیفرنیا	california	None	california	N;SG	
کالیفرنیا	kalifornia	None	kalifornia	N;SG	
صنایع	ágazat	صنعت	ágazat	N;PL	N;NOM;SG
صنایع	iparág	صنعت	iparág	N;PL	N;NOM;SG
صنایع	ipar	صنعت	ipar	N;PL	N;NOM;SG
گونه	fajok	گونه	fajok	N;SG	N;NOM;PL
کانادا	kanada	کانادا	kanada	N;SG	PROPN;NOM;SG
کانادا	kanadai	کانادا	kanadai	N;SG	ADJ;NOM;SG
کانادا	kanadai	کانادا	kanadai	N;SG	ADJ;NOM;SG
اسپانیا	spanyolország	اسپانیا	spanyolország	N;SG	
اسپانیا	spanyolul	اسپانیا	spanyolul	N;SG	
اسپانیا	spanyolok	اسپانیا	spanyol	N;SG	N;NOM;PL
اسپانیا	spanyol	اسپانیا	spanyol	N;SG	
برزیل	brazília	برزیل	brazília	N;SG	
برزیل	brazil	برزیل	brazil	N;SG	
برزیل	brazília	برزیل	brazília	N;SG	
سبک	light	سبک	light	N;SG	
بالا	felül	بالا	felül	ADV;ESS	
بالا	top	بالا	top	ADV;ESS	
بالا	csúcs	بالا	csúcs	ADV;ESS	
بالا	felső	بالا	felső	ADV;ESS	
بالا	legfelső	بالا	legfelső	ADV;ESS	
بالا	bala	بالا	bala	ADV;ESS	
جدید	újdonság	جدید	újdonság	ADJ	N;NOM;SG
وارد	ward	وارد	ward	ADJ	
زنان	női	زن	női	N;PL	
زنان	nő	زن	nő	N;PL	N;NOM;SG
نظامی	katonai	نظام	katonai	N;SG	ADJ;NOM;SG
جای	jai	جا	jai	N;SG	
هیچ	bármelyik	هیچ	bármelyik	ADV;NEG	
هیچ	bármely	هیچ	bármely	ADV;NEG	
هیچ	bármilyen	هیچ	bármilyen	ADV;NEG	
چین	chin	چین	chin	N;SG	
چین	csin	چین	csin	N;SG	
چین	kína	چین	kína	N;SG	PROPN;NOM;SG
چین	china	چین	china	N;SG	
سیستم	system	سیستم	system	N;SG	
ظاهر	látszat	ظاهر	látszik	N;SG	
ظاهر	zahir	ظاهر	zahir	N;SG	
ادامه	folytasd	ادامه	folytasd	N;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
ادامه	folyamatos	ادامه	folyamatos	N;SG	
ادامه	folytatta	ادامه	folytat	N;SG	V;DEF;IND;SG;3;PST;FIN;ACT
ادامه	folytatódott	ادامه	folytatódik	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
انتخاب	válasszon	انتخاب	válassz	N;SG	V;INDF;IMP;SG;3;PRS;FIN;ACT
انتخاب	választás	انتخاب	választás	N;SG	
انتخاب	választás	انتخاب	választás	N;SG	
موجود	meglévő	موجود	meglévő	ADJ	
موجود	meglevő	موجود	meglevő	ADJ	
موجود	létező	موجود	létező	ADJ	
دستی	kézi	دست	kézi	N;SG	
دستی	manuális	دست	manuális	N;SG	
اعلام	bejelentett	اعلام	bejelent	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
اعلام	bejelenteni	اعلام	bejelent	N;SG	V;NFIN;ACT
نسبت	arány	نسبت	arány	ADP	N;NOM;SG
مسابقات	torna	مسابقه	torna	N;PL	N;NOM;SG
مسابقات	bajnokság	مسابقه	bajnokság	N;PL	N;NOM;SG
تلفن	telefonon	تلفن	telefon	N;SG	
داستان	story	داستان	story	N;SG	
داستان	történetek	داستان	történet	N;SG	N;NOM;PL
داستان	történeteket	داستان	történet	N;SG	N;ACC;PL
داستان	mesék	داستان	mesék	N;SG	N;NOM;PL
داستان	bejegyzések	داستان	bejegyzés	N;SG	N;NOM;PL
سوم	iii	سوم	iii	ADJ	
سوم	harmadik	سوم	harmadik	ADJ	
