fantasy	fantasier	fantasy	fantasi	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
tåget	tog	tågen	tage	N;NOM;DEF;NEUT;SG	V;IND;PST;FIN;ACT
tåget	træn	tågen	træn	N;NOM;DEF;NEUT;SG	V;IMP
kaledonien	kaledonien	kaledoni	kaledoni	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
ägaren	ejer	ägare	eje	N;NOM;DEF;MASC+FEM;SG	V;IND;PRS;FIN;ACT
ägaren	ejers	ägare	eje	N;NOM;DEF;MASC+FEM;SG	N;GEN;INDF;MASC+FEM;SG
mta	mta	mta	mta	N;NOM;INDF;NEUT;SG	
roma	romaer	roma	roma	PROPN;NOM	N;INDF;MASC+FEM;PL
roma	romaerne	roma	roma	PROPN;NOM	N;DEF;MASC+FEM;PL
roma	roma	roma	roma	PROPN;NOM	
asiatiska	asiatisk	asiatisk	asiatisk	ADJ;NOM;PL	ADJ;INDF;SG
asiatiska	asiater	asiatisk	asiater	ADJ;NOM;PL	N;INDF;MASC+FEM;PL
asiatiska	asiat	asiatisk	asiat	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
haven	oceaner	hav	ocean	N;NOM;DEF;NEUT;PL	N;INDF;MASC+FEM;PL
haven	haven	hav	have	N;NOM;DEF;NEUT;PL	N;DEF;MASC+FEM;SG
frukter	frugt	frukt	frugt	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
frukter	frugt	frukt	frugt	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
tolkas	tolket	tolka	tolke	V;IND;PRS;FIN;PASS	V;INDF;SG;PST;V.PTCP
tolkas	fortolkede	tolka	fortolke	V;IND;PRS;FIN;PASS	V;IND;PST;FIN;ACT
tolkas	fortolket	tolka	fortolke	V;IND;PRS;FIN;PASS	V;INDF;SG;PST;V.PTCP
mexikanska	mexicansk	mexikansk	mexicansk	ADJ;NOM;PL	ADJ;INDF;SG
mexikanska	mexicaner	mexikansk	mexicaner	ADJ;NOM;PL	N;INDF;MASC+FEM;SG
osv	etc	osv	etc	ADV	
osv	mv	osv	mvtte	ADV	
berlins	berlin	berlins	berlin	PROPN;GEN	
bryan	bryan	bryan	bryan	PROPN;NOM	
tryckt	printet	trycka	print	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
tryckt	trykte	trycka	trykte	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PL;PST;V.PTCP
tryckt	trykt	trycka	trykke	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
tryckt	pressede	trycka	presset	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PL;PST;V.PTCP
tryckt	trykkede	trycka	trykke	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PL;PST;V.PTCP
tryckt	presset	trycka	pres	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;NEUT;SG
borgå	porvoo	borgå	porvoo	PROPN;NOM	
dubrovnik	dubrovnik	dubrovnik	dubrovnik	N;NOM;INDF;MASC+FEM;SG	
likaså	tilsvarende	likaså	tilsvarende	ADV	ADJ
traditioner	traditionerne	tradition	tradition	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;PL
traditioner	tradition	tradition	tradition	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
traditioner	traditionen	tradition	tradition	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;SG
alingsås	alingsås	alingsås	alingsås	PROPN;NOM	N;INDF;NEUT;SG
registrerade	indregistreret	registrera	indregistrere	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
registrerade	registrerede	registrera	registrere	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
registrerade	registreret	registrera	registrere	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
registrerade	tilmeldt	registrera	tilmelde	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
brooks	brooks	brook	brooks	PROPN;NOM	
influenser	påvirker	influens	påvirke	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
ekonomin	sparsommelighed	ekonomi	sparsommelighed	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
ekonomin	økonomi	ekonomi	økonomi	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
hong	hong	hong	hong	PROPN;NOM	N;INDF;MASC+FEM;SG
nathan	nathan	nathan	nathan	PROPN;NOM	
nations	nationen	nation	nation	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
nations	nationer	nation	nation	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
nations	nationers	nation	nation	N;NOM;INDF;MASC+FEM;SG	N;GEN;INDF;MASC+FEM;PL
handbok	håndbogen	handbok	håndbog	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
handbok	manuel	handbok	manuel	N;NOM;INDF;MASC+FEM;SG	
handbok	manuelt	handbok	manuel	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
india	india	india	india	N;NOM;INDF;MASC+FEM;SG	
india	indien	india	indien	N;NOM;INDF;MASC+FEM;SG	PROPN
kristiania	kristiania	kristianium	kristiania	PROPN;NOM	N;INDF;MASC+FEM;SG
felder	felder	feld	felde	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
ruth	ruth	ruth	ruth	PROPN;NOM	N;INDF;MASC+FEM;SG
perkins	perkins	perkin	perkins	PROPN;NOM	
slam	slammet	slam	slam	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
slam	smække	slam	smække	N;NOM;INDF;NEUT;SG	V;NFIN;ACT
burns	forbrændinger	burn	forbrænding	PROPN;NOM	N;INDF;MASC+FEM;PL
burns	brænder	burn	brænde	PROPN;NOM	V;IND;PRS;FIN;ACT
burns	brandsår	burn	brandsår	PROPN;NOM	N;INDF;NEUT;PL
vella	vella	vella	vella	N;NOM;INDF;NEUT;PL	
blake	blake	blake	blake	PROPN;NOM	
minnen	memories	min	memorie	N;NOM;INDF;MASC+FEM;PL	
minnen	minder	min	minde	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
minnen	minde	min	minde	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
minnen	erindring	min	erindring	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
minnen	hukommelse	min	hukommelse	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
minnen	hukommelsen	min	hukommelse	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;SG
minnen	memory	min	memory	N;NOM;INDF;MASC+FEM;PL	
grenen	gren	gren	gren	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
grenen	filial	gren	filial	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
förtroende	tilliden	förtroende	tillid	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
förtroende	selvtilliden	förtroende	selvtillid	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;SG
förtroende	trust	förtroende	trust	N;NOM;INDF;NEUT;SG	
förtroende	stole	förtroende	stol	N;NOM;INDF;NEUT;SG	N;INDF;MASC+FEM;PL
bremen	bremen	brem	brem	PROPN;NOM	PROPN
jesper	jesper	jesp	jesp	PROPN;NOM	PROPN
tekniskt	teknisk	teknisk	teknisk	ADV	ADJ;INDF;SG
tekniskt	tekniske	teknisk	teknisk	ADV	ADJ;PL
taraxacum	taraxacum	taraxacum	taraxacum	N;NOM;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG
snake	slangen	snake	slang	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
snake	snake	snake	snake	N;NOM;INDF;MASC+FEM;SG	
alchemilla	alchemilla	alchemill	alchemilla	N;NOM;INDF;MASC+FEM;SG	
titta	kig	titta	kig	V;IMP;FIN;ACT	N;INDF;NEUT;SG
ystad	ystad	ystad	ystad	PROPN;NOM	PROPN
alexandria	alexandria	alexandri	alexandria	N;NOM;INDF;MASC+FEM;SG	
kassel	kassel	kassel	kassel	PROPN;NOM	
dixon	dixon	dixon	dixon	PROPN;NOM	
skjuta	skyder	skjuta	skyde	V;IMP;FIN;ACT	V;IND;PRS;FIN;ACT
skjuta	skydning	skjuta	skydning	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
skjuta	skyderi	skjuta	skyderi	V;IMP;FIN;ACT	N;INDF;NEUT;SG
skjuta	skyder	skjuta	skyde	V;IMP;FIN;ACT	V;IND;PRS;FIN;ACT
pat	pat	pat	pat	PROPN;NOM	
konstnärliga	kunstnerisk	konstnrlig	kunstnerisk	ADJ;NOM;PL	ADV
alternativa	alternativet	alternativ	alternativ	ADJ;NOM;PL	N;DEF;NEUT;SG
alternativa	alternativt	alternativ	alternativt	ADJ;NOM;PL	ADV
alternativa	alternativ	alternativ	alternativ	ADJ;NOM;PL	N;INDF;NEUT;SG
alternativa	suppleant	alternativ	suppleant	ADJ;NOM;PL	N;INDF;MASC+FEM;SG
alternativa	alternativt	alternativ	alternativt	ADJ;NOM;PL	ADV
alternativa	alternativ	alternativ	alternativ	ADJ;NOM;PL	N;INDF;NEUT;SG
begränsade	indskrænket	begränsad	indskrænket	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
begränsade	begrænset	begränsad	begrænse	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
begränsade	limited	begränsad	limited	ADJ;NOM;PL;PST;V.PTCP	
begränsade	begrænsede	begränsad	begrænse	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
begränsade	begrænset	begränsad	begrænse	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
lindqvist	lindqvist	lindqvist	lindqvist	PROPN;NOM	N;INDF;MASC+FEM;SG
shaanxi	shaanxi	shaanxi	shaanxi	PROPN;NOM	
hancock	hancock	hancock	hancock	PROPN;NOM	
motorvägen	motorvej	motorväg	motorvej	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
avsedda	tiltænkt	avse	tiltænkt	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
avsedda	påtænkte	avse	påtænke	ADJ;NOM;PL;PST;V.PTCP	V;DEF;SG;PST;V.PTCP
avsedda	tilsigtet	avse	tilsigt	ADJ;NOM;PL;PST;V.PTCP	N;DEF;NEUT;SG
avsedda	påtænkt	avse	påtænke	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
staterna	stater	stat	stat	N;NOM;DEF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
riga	riga	rig	riga	PROPN;NOM	
styrkorna	styrker	styrka	styrke	N;NOM;DEF;MASC+FEM;PL	N;INDF;MASC+FEM;PL
möten	møder	möt	møde	N;NOM;INDF;NEUT;PL	V;IND;PRS;FIN;ACT
rymden	mellemrum	rymd	mellemrum	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;PL
rymden	plads	rymd	plads	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
rymden	rumforskning	rymd	rumforskning	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
rymden	rum	rymd	rum	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
sidney	sidney	sidney	sidney	PROPN;NOM	N;INDF;MASC+FEM;SG
universal	universal	universal	universal	N;NOM;INDF;MASC+FEM;SG	
universal	universelt	universal	universelt	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
universal	universelle	universal	universel	N;NOM;INDF;MASC+FEM;SG	ADJ;PL
universal	universel	universal	universel	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
fånga	fang	fånga	fang	V;IMP;FIN;ACT	
fånga	fangst	fånga	fangst	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
fånga	fangster	fånga	fangster	V;IMP;FIN;ACT	N;INDF;MASC+FEM;PL
fånga	catch	fånga	catch	V;IMP;FIN;ACT	
fånga	fang	fånga	fang	V;IMP;FIN;ACT	
fånga	opsamling	fånga	opsamling	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
fånga	fangst	fånga	fangst	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
normala	normalt	normal	normalt	ADJ;NOM;PL	ADV
normala	normal	normal	normal	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
zacatecas	zacatecas	zacateca	zacateca	N;NOM;INDF;MASC+FEM	
samlas	indsamling	samla	indsamling	V;IND;NFIN;PASS	N;INDF;MASC+FEM;SG
samlas	samle	samla	samle	V;IND;NFIN;PASS	V;NFIN;ACT
samlas	saml	samla	saml	V;IND;NFIN;PASS	V;IMP
samlas	samle	samla	samle	V;IND;NFIN;PASS	V;NFIN;ACT
samlas	saml	samla	saml	V;IND;NFIN;PASS	V;IMP
her	hende	her	hun	N;NOM;INDF;MASC+FEM;SG	PRO;ACC;MASC+FEM;SG;3
her	hendes	her	hendes	N;NOM;INDF;MASC+FEM;SG	DET;3
medaljen	medalje	medalj	medalje	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
etniska	etnisk	etnisk	etnisk	ADJ;NOM;PL	ADJ;INDF;SG
gästrikland	gästrikland	gästrikland	gästrikland	PROPN;NOM	N;INDF;MASC+FEM;SG
assistent	assisterende	assistent	assistere	N;NOM;INDF;MASC+FEM;SG	V;PRS;V.PTCP
framställning	andragende	framställning	andragende	N;NOM;INDF;MASC+FEM;SG	ADJ
ambassad	ambassaden	ambassad	ambassad	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
byter	afbrydere	byta	afbryder	V;IND;PRS;FIN;ACT	N;INDF;MASC+FEM;PL
call	ring	call	ring	N;NOM;INDF;NEUT;SG	V;IMP
call	ringe	call	ringe	N;NOM;INDF;NEUT;SG	V;NFIN;ACT
visor	visir	visa	visir	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
örgryte	örgryte	örgryte	rrgryte	PROPN;NOM	N;INDF;MASC+FEM;SG
möjlig	mulige	möjlig	mulig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
joan	joan	joan	joan	PROPN;NOM	
etta	etta	etta	etta	N;NOM;INDF;MASC+FEM;SG	
effekten	virkning	effekt	virkning	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
effekten	retsvirkning	effekt	retsvirkning	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
effekten	effekt	effekt	effekt	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
effekten	virkninger	effekt	virkning	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
representera	repræsenterer	representera	repræsentere	V;IMP;FIN;ACT	V;IND;PRS;FIN;ACT
representera	repræsenterer	representera	repræsentere	V;IMP;FIN;ACT	V;IND;PRS;FIN;ACT
existerande	bestående	existerande	bestå	ADJ;NOM;PRS;V.PTCP	V;PRS;V.PTCP
existerande	eksisterende	existerande	eksistere	ADJ;NOM;PRS;V.PTCP	V;PRS;V.PTCP
ddr	ddr	dr	ddr	PROPN;NOM	
skär	skæring	skära	skæring	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
skär	opskæring	skära	opskæring	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
skär	udskæring	skära	udskæring	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
skär	cut	skära	cut	V;IMP;FIN;ACT	
skär	klippet	skära	klippe	V;IMP;FIN;ACT	N;DEF;NEUT;SG
skär	snit	skära	snit	V;IMP;FIN;ACT	N;INDF;NEUT;SG
skär	klip	skära	klip	V;IMP;FIN;ACT	N;INDF;NEUT;SG
skär	flænge	skära	flænge	V;IMP;FIN;ACT	N;INDF;MASC+FEM;SG
brasiliansk	brasilianske	brasiliansk	brasiliansk	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;PL
tvingade	tvang	tvinga	tvinge	V;IND;PST;FIN;ACT	N;INDF;MASC+FEM;SG
aston	aston	aston	aston	PROPN;NOM	N;INDF;MASC+FEM;SG
återvänder	afkast	återvänd	afkast	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
lin	lin	lin	lin	N;NOM;INDF;MASC+FEM;SG	
lin	hør	lin	høre	N;NOM;INDF;MASC+FEM;SG	V;IMP
pizzo	pizzo	pizzo	pizzo	N;NOM;INDF;MASC+FEM;SG	PROPN
chelsea	chelsea	chelse	chelsea	PROPN;NOM	N;INDF;MASC+FEM;SG
ten	ten	ten	ten	N;NOM;INDF;NEUT;SG	
ten	ten	ten	ten	N;NOM;INDF;NEUT;SG	
ten	ti	ten	ti	N;NOM;INDF;NEUT;SG	NUM
basel	basel	basel	basel	PROPN;NOM	
basel	basel	basel	basel	PROPN;NOM	
parlament	parlamentet	parlament	parlament	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
parlament	folketinget	parlament	folketing	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
parlament	parlamenterne	parlament	parlament	N;NOM;INDF;NEUT;SG	N;DEF;MASC+FEM;PL
parlament	parlamenter	parlament	parlament	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
staty	skulpturer	staty	skulptur	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
staty	statuen	staty	statue	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
videon	video	vid	video	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
unika	entydigt	unik	entydig	ADJ;NOM;PL	ADV
unika	unik	unik	unik	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
unika	unikt	unik	unikt	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
singapore	singapore	singapore	singapor	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
symplocos	symplocos	symploco	symplocos	V;IMP;FIN;ACT	
pjäser	spiller	pjäsa	spille	N;NOM;INDF;MASC+FEM;PL	V;IND;PRS;FIN;ACT
pjäser	skuespil	pjäsa	skuespil	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
fästning	fæstningen	fästning	fæstning	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
cayenne	cayenne	cayenne	cay	N;NOM;INDF;MASC+FEM;SG	
wellington	wellington	wellington	wellington	PROPN;NOM	
gregory	gregory	gregory	gregory	PROPN;NOM	
gregory	gregor	gregory	gregor	PROPN;NOM	N;INDF;MASC+FEM;SG
erbjöd	tilbydes	erbjuda	tilbyde	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;PASS
petite	petite	petite	petit	N;NOM;INDF;MASC+FEM;SG	
reformer	reformen	reform	reformen	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;SG
reformer	reform	reform	reform	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC+FEM;SG
reformer	reformerne	reform	reform	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC+FEM;PL
nba	nba	nba	nba	PROPN;NOM	
engagerade	forlovede	engagera	forlove	ADJ;NOM;PL;PST;V.PTCP	V;DEF;SG;PST;V.PTCP
engagerade	engageret	engagera	engagere	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagerade	engagerede	engagera	engagere	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
engagerade	forlovet	engagera	forlov	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagerade	forpligtet	engagera	forpligte	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagerade	begået	engagera	begå	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagerade	engageret	engagera	engagere	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
engagerade	engagerede	engagera	engagere	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
engagerade	forpligtede	engagera	forpligte	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
parry	parry	parry	parry	PROPN;NOM	N;INDF;MASC+FEM;SG
battle	battle	battle	battel	N;NOM;INDF;NEUT;SG	
battle	slaget	battle	slag	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
fängelset	fængsler	fängelse	fængsel	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;PL
fängelset	fængsel	fängelse	fængsel	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
långsamt	langsomme	långsam	langsom	ADV	ADJ;PL
långsamt	langsom	långsam	langsom	ADV	ADJ;INDF;MASC+FEM;SG
dylan	dylan	dyla	dylan	N;NOM;DEF;MASC+FEM;SG	
beta	beta	beta	beta	N;NOM;INDF;MASC+FEM;SG	
tore	tore	tore	tor	PROPN;NOM	
inspirerade	inspirerede	inspirera	inspirere	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
inspirerade	inspireret	inspirera	inspirere	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gillar	gerne	gilla	gerne	V;IND;PRS;FIN;ACT	ADV
gillar	like	gilla	like	V;IND;PRS;FIN;ACT	
gillar	likes	gilla	likes	V;IND;PRS;FIN;ACT	N;INDF;MASC+FEM;SG
christensen	christensen	christens	christens	N;NOM;DEF;MASC+FEM;SG	PROPN
pojke	boy	pojke	boy	N;NOM;INDF;MASC+FEM;SG	
eklund	eklund	eklund	eklund	PROPN;NOM	N;INDF;MASC+FEM;SG
kväll	aften	kväll	aften	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
kväll	natten	kväll	nat	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
kväll	aften	kväll	aften	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
karaktärer	tegn	karaktär	tegn	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
värdefulla	værdifuld	värdefull	værdifuld	ADJ;NOM;PL	ADJ;INDF;MASC+FEM;SG
värdefulla	værdifuldt	värdefull	værdifuld	ADJ;NOM;PL	ADJ;INDF;NEUT;SG
kött	koed	kött	koed	N;NOM;INDF;NEUT;SG	
fullständig	fuldt	fullständig	fuldt	ADJ;NOM;INDF;MASC+FEM;SG	ADV
fullständig	fulde	fullständig	fuld	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;DEF;SG
fullständig	full	fullständig	full	ADJ;NOM;INDF;MASC+FEM;SG	
fullständig	udfyldes	fullständig	udfylde	ADJ;NOM;INDF;MASC+FEM;SG	V;IND;PRS;NFIN;PASS
fullständig	fuldstændig	fullständig	fuldstændig	ADJ;NOM;INDF;MASC+FEM;SG	ADV
fullständig	fuldført	fullständig	fuldføre	ADJ;NOM;INDF;MASC+FEM;SG	V;INDF;SG;PST;V.PTCP
francesco	francesco	francesco	francesco	PROPN;NOM	N;INDF;MASC+FEM;SG
kontraktet	kontrakt	kontrakt	kontrakt	N;NOM;DEF;NEUT;SG	N;INDF;MASC+FEM;SG
personligt	personlige	personlig	personlig	ADJ;NOM;INDF;NEUT;SG	ADJ;PL
personligt	personligt	personlig	personligt	ADJ;NOM;INDF;NEUT;SG	ADV
personligt	personligt	personlig	personligt	ADJ;NOM;INDF;NEUT;SG	ADV
kate	trine	kate	trine	PROPN;NOM	
kate	kate	kate	kate	PROPN;NOM	N;INDF;MASC+FEM;SG
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;INDF;MASC+FEM;SG	
nato	nato	nato	nato	PROPN;NOM	PROPN
genève	geneve	gen	geneve	PROPN;NOM	
genève	genève	gen	genève	PROPN;NOM	
jorge	jorge	jorge	jorge	PROPN;NOM	
befolkade	befolkede	befolka	befolke	ADJ;NOM;PL;PST;V.PTCP	V;PL;PST;V.PTCP
befolkade	beboet	befolka	bebo	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
befolkade	befolket	befolka	befolk	ADJ;NOM;PL;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
chase	chase	chase	chase	PROPN;NOM	
soldat	soldaten	soldat	soldat	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC+FEM;SG
walk	gå	walk	gå	N;NOM;INDF;MASC+FEM;SG	V;NFIN;ACT
