leonor	eleonora	leonor	eleonor	N;FEM;SG	PROPN;NOM;FEM;SG;POS
concluída	dokončen	concluído	dokončený	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
concluída	dokončena	concluído	dokončený	V;FEM;SG;V.PTCP	ADJ;POS;V.PTCP;PASS
australiana	australský	australiano	australský	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
australiana	austrálie	australiano	austrálie	N;FEM;SG	PROPN;NOM;FEM;SG;POS
august	august	august	august	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
bizantinos	byzantský	bizantino	byzantský	N;MASC;PL	ADJ;ANIM;NOM;MASC;SG;POS
qualificação	oprávněných	qualificação	oprávněný	N;FEM;SG	ADJ;ANIM;GEN;MASC;PL;POS
qualificação	kvalifikovaný	qualificação	kvalifikovaný	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
luke	luke	luke	luka	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
luke	lukáš	luke	lukáš	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
deep	hluboká	deep	hluboký	N;MASC;SG	ADJ;NOM;FEM;SG;POS
deep	hluboké	deep	hluboký	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
deep	hluboko	deep	hluboko	N;MASC;SG	ADV;POS
deep	hluboký	deep	hluboký	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
concluído	dokončeno	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
concluído	ukončeno	concluir	ukončený	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
concluído	dokončené	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
concluído	dokončen	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
concluído	dokončena	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;POS;V.PTCP;PASS
concluído	dokončeno	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
concluído	dokončené	concluir	dokončený	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
concluído	hotovo	concluir	hotový	V;MASC;SG;V.PTCP	N;NOM;NEUT;SG;POS
pátio	yard	pátio	yard	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
fortificações	opevnění	fortificação	opevnění	N;FEM;PL	N;NOM;NEUT;SG;POS
fortificações	opevnění	fortificação	opevnění	N;FEM;PL	N;NOM;NEUT;SG;POS
western	western	western	western	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
western	západní	western	západní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
zool	zool	zool	zool	N;MASC;SG	PROPN;NOM;MASC;SG;POS
kurt	kurt	kurt	kurt	PROPN;MASC;SG	N;ANIM;NOM;MASC;SG;POS
kurt	kurta	kurt	kurta	PROPN;MASC;SG	N;ANIM;ACC;MASC;SG;POS
mina	mina	mina	mina	N;FEM;SG	PROPN;NOM;FEM;SG;POS
mina	mino	mina	mino	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
mina	můj	mina	můj	N;FEM;SG	DET;NOM;MASC;SG;1
mina	mé	mina	můj	N;FEM;SG	DET;NOM;SG;1
mina	moje	mina	můj	N;FEM;SG	DET;NOM;SG;1
pietro	pietro	pietro	pietro	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
circunstâncias	okolnost	circunstância	okolnost	N;FEM;PL	N;NOM;FEM;SG;POS
orange	oranžová	orange	oranžový	N;MASC;SG	ADJ;NOM;FEM;SG;POS
orange	orange	orange	orange	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
orange	oranžový	orange	oranžový	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
orange	oranžové	orange	oranžový	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
xxi	xxi	xxi	xxi	N;MASC;SG	PROPN;MASC;POS
residentes	bydliště	residente	bydliště	N;MASC;PL	N;NOM;NEUT;SG;POS
residentes	rezident	residente	rezident	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
derrotas	porážka	derrota	porážka	N;FEM;PL	N;NOM;FEM;SG;POS
derrotas	porazit	derrota	porazit	N;FEM;PL	V;PFV;POS;NFIN
mundialmente	celosvětový	mundialmente	celosvětový	ADV	ADJ;INAN;NOM;MASC;SG;POS
mundialmente	celosvětové	mundialmente	celosvětový	ADV	ADJ;NOM;NEUT;SG;POS
mundialmente	celosvětová	mundialmente	celosvětový	ADV	ADJ;NOM;FEM;SG;POS
tito	tito	tito	tento	N;MASC;SG	DET;ANIM;NOM;MASC;PL
museus	muzeum	museu	muzeum	N;MASC;PL	N;NOM;NEUT;SG;POS
museus	museum	museu	museum	N;MASC;PL	N;NOM;NEUT;SG;POS
museus	muzeu	museu	muzeum	N;MASC;PL	N;NOM;NEUT;SG;POS
ferido	zranění	ferir	zranění	V;MASC;SG;V.PTCP	N;NOM;NEUT;SG;POS
ferido	zraněn	ferir	zraněný	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
ferido	zraněný	ferir	zraněný	V;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
ferido	zraněné	ferir	zraněný	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
ferido	zranění	ferir	zranění	V;MASC;SG;V.PTCP	N;NOM;NEUT;SG;POS
ferido	zraněn	ferir	zraněný	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
ferido	zraněný	ferir	zraněný	V;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
dallas	dallasu	dalla	dallas	N;MASC;SG	PROPN;INAN;GEN;MASC;SG;POS
dallas	dallas	dalla	dallas	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
plástico	plastů	plástico	plast	N;MASC;SG	N;INAN;GEN;MASC;PL;POS
plástico	plasty	plástico	plast	N;MASC;SG	N;INAN;NOM;MASC;PL;POS
plástico	plastové	plástico	plastový	N;MASC;SG	ADJ;NOM;MASC;PL;POS
plástico	plasty	plástico	plast	N;MASC;SG	N;INAN;NOM;MASC;PL;POS
malásia	malajsie	malásia	malajsie	N;FEM;SG	PROPN;NOM;FEM;SG;POS
malásia	malajsie	malásia	malajsie	N;FEM;SG	PROPN;NOM;FEM;SG;POS
malásia	malajské	malásia	malajský	N;FEM;SG	ADJ;NOM;MASC;SG;POS
positivas	kladný	positivo	kladný	ADJ;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
positivas	kladné	positivo	kladný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG;POS
positivas	pozitivní	positivo	pozitivní	ADJ;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
positivas	pozitiva	positivo	pozitivum	ADJ;FEM;PL	N;NOM;NEUT;PL;POS
cartão	lepenky	cartão	lepenka	N;MASC;SG	N;NOM;FEM;PL;POS
fort	fort	fort	fort	N;MASC;SG	PROPN;NOM;MASC;SG;POS
cargas	zatížení	carga	zatížení	N;FEM;PL	N;NOM;NEUT;SG;POS
susan	zuzana	susan	zuzan	N;FEM;SG	PROPN;NOM;FEM;SG;POS
sex	pá	sexta-feira	pá	N;MASC;SG	PROPN;MASC;POS
alcançando	dosažení	alcançar	dosažení	V;V.MSDR	N;NOM;NEUT;SG;POS
cerâmica	keramiky	cerâmica	keramika	N;FEM;SG	N;NOM;FEM;PL;POS
cerâmica	keramické	cerâmica	keramický	N;FEM;SG	ADJ;NOM;NEUT;SG;POS
cerâmica	keramiky	cerâmica	keramika	N;FEM;SG	N;NOM;FEM;PL;POS
falsa	falešné	falso	falešný	ADJ;FEM;SG	ADJ;NOM;NEUT;PL;POS
falsa	padělek	falso	padělek	ADJ;FEM;SG	N;INAN;NOM;MASC;SG;POS
falsa	falešné	falso	falešný	ADJ;FEM;SG	ADJ;NOM;NEUT;PL;POS
falsa	fake	falso	fake	ADJ;FEM;SG	N;NOM;MASC;SG;POS
melbourne	melbourne	melbourne	melbournout	N;MASC;SG	PROPN;NOM;NEUT;SG;POS
edwards	edwards	edwards	edwards	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
melhorias	zlepšení	melhoria	zlepšení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	zdokonalení	melhoria	zdokonalení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	vylepšení	melhoria	vylepšení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	vylepšení	melhoria	vylepšení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	zlepšení	melhoria	zlepšení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	vylepšení	melhoria	vylepšení	N;FEM;PL	N;NOM;NEUT;SG;POS
melhorias	zlepšování	melhoria	zlepšování	N;FEM;PL	N;NOM;NEUT;SG;POS
controlo	kontrolní	controlo	kontrolní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
rebelde	rebel	rebelde	rebel	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
proibido	zakázané	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;POS
proibido	zakázaná	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
proibido	zakázáno	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
proibido	zakázaný	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
proibido	zakázané	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;POS
proibido	zakázaná	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
proibido	zakázáno	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
proibido	zakázaný	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
proibido	zakázané	proibir	zakázaný	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;POS
