steven	стивен	stevnout	стивный	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
vyhráli	выиграла	vyhrát	выиграть	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
vyhráli	выиграл	vyhrát	выиграть	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
vyhráli	победил	vyhrát	победить	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
náhrada	замену	náhrada	замена	N;NOM;FEM;SG;POS	N;INAN;ACC;FEM;SG
náhrada	замены	náhrada	замена	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
účtu	счёт	účet	счет	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
účtu	аккаунт	účet	аккаунт	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
účtu	счет	účet	счет	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
oznámeno	уведомили	oznámený	уведомить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
oznámeno	объявлено	oznámený	объявить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
oznámeno	объявили	oznámený	объявить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
oznámeno	объявил	oznámený	объявить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
oznámeno	объявленные	oznámený	объявить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
oznámeno	объявила	oznámený	объявить	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
zjevení	откровения	zjevení	откровение	N;NOM;NEUT;SG;POS	N;INAN;NOM;NEUT;PL
zjevení	откровения	zjevení	откровение	N;NOM;NEUT;SG;POS	N;INAN;NOM;NEUT;PL
domácnosti	домохозяйств	domácnost	домохозяйство	N;NOM;FEM;PL;POS	N;INAN;GEN;NEUT;PL
domácnosti	домохозяйств	domácnost	домохозяйство	N;NOM;FEM;PL;POS	N;INAN;GEN;NEUT;PL
potomků	потомство	potomek	потомство	N;ANIM;GEN;MASC;PL;POS	N;INAN;NOM;NEUT;SG
potomků	потомки	potomek	потомок	N;ANIM;GEN;MASC;PL;POS	N;ANIM;NOM;MASC;PL
potomků	потомство	potomek	потомство	N;ANIM;GEN;MASC;PL;POS	N;INAN;NOM;NEUT;SG
slezsko	силезии	slezský	силезия	PROPN;NOM;NEUT;SG;POS	N;INAN;NOM;FEM;PL
philip	филипп	philip	филипп	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
philip	филип	philip	филип	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
philip	филлип	philip	филлип	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
baker	бейкер	baker	бейкер	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
nízký	низко	nízký	низко	ADJ;INAN;NOM;MASC;SG;POS	ADV
nízký	низким	nízký	низкий	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INS;NEUT;SG
závislost	зависимости	závislost	зависимость	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
angel	анхель	angel	анхель	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
angel	ангел	angel	ангел	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
angel	ангела	angel	ангел	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
nice	приятно	nic	приятный	PROPN;NEUT;POS	ADJ;NEUT;SG
nice	мило	nic	мило	PROPN;NEUT;POS	ADV
podpořil	поддерживаемые	podpořit	поддерживать	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
podpořil	поддерживается	podpořit	поддерживать	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
podpořil	поддерживаются	podpořit	поддерживать	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
floyd	флойд	floyd	флойд	PROPN;ANIM;MASC;PL;POS	N;ANIM;NOM;MASC;SG
kuchyně	кухне	kuchyně	кухня	N;NOM;FEM;SG;POS	N;INAN;DAT;FEM;SG
kuchyně	кухни	kuchyně	кухня	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
napadení	нападения	napadení	нападение	N;NOM;NEUT;SG;POS	N;INAN;NOM;NEUT;PL
homo	homo	homo	хомо	N;INAN;NOM;MASC;SG;POS	PROPN
vítěze	победитель	vítěz	победитель	N;ANIM;ACC;MASC;SG;POS	N;ANIM;NOM;MASC;SG
vítěze	победителей	vítěz	победитель	N;ANIM;ACC;MASC;SG;POS	N;ANIM;ACC;MASC;PL
vítěze	победители	vítěz	победитель	N;ANIM;ACC;MASC;SG;POS	N;ANIM;NOM;MASC;PL
úhlu	угол	úhel	угол	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
výpočet	расчеты	výpočet	расчет	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;MASC;PL
výpočet	расчета	výpočet	расчет	N;INAN;NOM;MASC;SG;POS	N;INAN;GEN;MASC;SG
výpočet	вычисления	výpočet	вычисление	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;NEUT;PL
ernest	эрнест	ernest	эрнест	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
hospodářská	экономические	hospodářský	экономический	ADJ;NOM;FEM;SG;POS	ADJ;NOM;PL
hospodářská	экономического	hospodářský	экономический	ADJ;NOM;FEM;SG;POS	ADJ;GEN;MASC;SG
barceloně	барселона	barcelon	барселон	N;DAT;FEM;SG;POS	N;INAN;NOM;FEM;SG
souhlasí	соглашается	souhlasit	соглашаться	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
souhlasí	согласна	souhlasit	согласный	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	ADJ;FEM;SG
prezentace	презентации	prezentace	презентация	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
prezentace	презентации	prezentace	презентация	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
prezentace	выступления	prezentace	выступление	N;NOM;FEM;SG;POS	N;INAN;NOM;NEUT;PL
vyjma	кроме	vyjma	кроме	N;NOM;FEM;SG;POS	ADP
příchod	прибытия	příchod	прибытие	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;NEUT;PL
par	паров	par	пар	N;NOM;FEM;SG;POS	N;INAN;GEN;MASC;PL
přežil	выжили	přežít	выжить	V;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN;ACT
padesát	fifty	padesát	fifty	NUM;NOM;SG	PROPN
jacob	иакова	jacoba	иаков	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;ACC;MASC;SG
jacob	якоб	jacoba	якоб	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
jacob	джейкоб	jacoba	джейкоб	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
jacob	яков	jacoba	яков	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
oprávnění	разрешите	oprávnění	разрешить	N;NOM;NEUT;SG;POS	V;PFV;IMP;PL;2;FIN;ACT
oprávnění	разрешения	oprávnění	разрешение	N;NOM;NEUT;SG;POS	N;INAN;NOM;NEUT;PL
verše	стих	verš	стих	N;INAN;NOM;MASC;PL;POS	N;INAN;NOM;MASC;SG
teplo	тепло	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NEUT;SG
teplo	тепла	teplo	тепло	N;NOM;NEUT;SG;POS	N;INAN;GEN;NEUT;SG
teplo	тепло	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NEUT;SG
teplo	теплая	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NOM;FEM;SG
teplo	теплые	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NOM;PL
teplo	тёплый	teplo	тёплый	N;NOM;NEUT;SG;POS	ADJ;NOM;MASC;SG
teplo	теплый	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NOM;MASC;SG
teplo	тепло	teplo	теплый	N;NOM;NEUT;SG;POS	ADJ;NEUT;SG
teplo	тепла	teplo	тепло	N;NOM;NEUT;SG;POS	N;INAN;GEN;NEUT;SG
dobrovolně	вызвался	dobrovolně	вызваться	ADV;POS	V;PFV;MASC;IND;SG;PST;FIN;MID
dobrovolně	добровольный	dobrovolně	добровольный	ADV;POS	ADJ;NOM;MASC;SG
dobrovolně	добровольное	dobrovolně	добровольный	ADV;POS	ADJ;NOM;NEUT;SG
dobrovolně	добровольные	dobrovolně	добровольный	ADV;POS	ADJ;NOM;PL
dobrovolně	добровольная	dobrovolně	добровольный	ADV;POS	ADJ;NOM;FEM;SG
reagovat	отреагировать	reagovat	реагировать	V;IPFV;POS;NFIN	V;PFV;NFIN;ACT
duševní	духовные	duševní	духовный	ADJ;NOM;MASC;SG;POS	ADJ;NOM;PL
duševní	духовного	duševní	духовный	ADJ;NOM;MASC;SG;POS	ADJ;GEN;MASC;SG
duševní	психического	duševní	психический	ADJ;NOM;MASC;SG;POS	ADJ;GEN;MASC;SG
duševní	интеллектуальной	duševní	интеллектуальный	ADJ;NOM;MASC;SG;POS	ADJ;INS;FEM;SG
dick	член	dick	член	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
dick	дик	dick	дик	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;ANIM;NOM;MASC;SG
terapie	терапии	terapie	терапия	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
mnich	монк	mnich	монк	N;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
zajat	захвачены	zajatý	захватить	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
zajat	захвачен	zajatý	захватить	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
zajat	пойман	zajatý	поймать	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
zajat	захватили	zajatý	захватить	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
soukromá	частного	soukromý	частный	ADJ;NOM;FEM;SG;POS	ADJ;GEN;MASC;SG
soukromá	частные	soukromý	частный	ADJ;NOM;FEM;SG;POS	ADJ;NOM;PL
rozpočtu	бюджет	rozpočet	бюджет	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
ukrajinský	украинские	ukrajinský	украинский	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;PL
ukrajinský	украинцы	ukrajinský	украинец	ADJ;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;PL
brigády	бригад	brigáda	бригада	N;NOM;FEM;PL;POS	N;INAN;GEN;FEM;PL
brigády	бригада	brigáda	бригада	N;NOM;FEM;PL;POS	N;INAN;NOM;FEM;SG
květ	блум	květ	блум	N;INAN;NOM;MASC;SG;POS	PART
společenský	социального	společenský	социальный	ADJ;INAN;NOM;MASC;SG;POS	ADJ;GEN;MASC;SG
společenský	социальные	společenský	социальный	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;PL
mikroregionu	микрорегион	mikroregion	микрорегион	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
bohové	богов	boh	бог	N;ANIM;NOM;MASC;PL;POS	N;ANIM;GEN;MASC;PL
subjekt	образований	subjekt	образование	N;INAN;NOM;MASC;SG;POS	N;INAN;GEN;NEUT;PL
subjekt	субъект	subjekt	субъект	N;INAN;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
vhodnější	предпочтительным	vhodný	предпочтительный	ADJ;NOM;CMPR;MASC;SG;POS	ADJ;INS;NEUT;SG
oka	ока	oko	око	N;NOM;NEUT;PL;POS	N;INAN;NOM;FEM;SG
oka	глаз	oko	глаз	N;NOM;NEUT;PL;POS	N;INAN;NOM;MASC;SG
oka	око	oko	око	N;NOM;NEUT;PL;POS	N;INAN;NOM;NEUT;SG
čapek	чапек	čapek	чапек	N;ANIM;NOM;MASC;SG;POS	
vazba	обязательные	vazba	обязательный	N;NOM;FEM;SG;POS	ADJ;NOM;PL
vazba	обязательных	vazba	обязательный	N;NOM;FEM;SG;POS	ADJ;GEN;PL
dánská	дании	dánský	дания	ADJ;NOM;FEM;SG;POS	N;INAN;ESS;NEUT;SG
albánie	албанцев	albánie	албанец	PROPN;NOM;FEM;SG;POS	N;ANIM;GEN;MASC;PL
albánie	албании	albánie	албания	PROPN;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
albánie	албания	albánie	албания	PROPN;NOM;FEM;SG;POS	N;INAN;NOM;FEM;SG
řetězec	цепочку	řetězec	цепочка	N;INAN;NOM;MASC;SG;POS	N;INAN;ACC;FEM;SG
jordan	иордания	jordan	иордание	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;NEUT;SG
jordan	иордан	jordan	иордан	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
jordan	иорданию	jordan	иордание	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;DAT;NEUT;SG
jordan	джордан	jordan	джордан	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
jordan	иордании	jordan	иордание	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;NEUT;SG
symbolů	символы	symbol	символ	N;INAN;GEN;MASC;PL;POS	N;INAN;NOM;MASC;PL
bot	бот	bota	бот	N;GEN;FEM;PL;POS	N;INAN;NOM;MASC;SG
bot	обуви	bota	обувь	N;GEN;FEM;PL;POS	N;INAN;NOM;FEM;SG
bot	обувь	bota	обувь	N;GEN;FEM;PL;POS	N;INAN;NOM;FEM;SG
bot	ботинок	bota	ботинок	N;GEN;FEM;PL;POS	N;INAN;NOM;MASC;SG
weber	вебер	weber	вебер	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
vstoupit	ввод	vstoupit	ввод	V;PFV;POS;NFIN	N;INAN;NOM;MASC;SG
střecha	крыше	střecha	крыша	N;NOM;FEM;SG;POS	N;INAN;DAT;FEM;SG
střecha	крыши	střecha	крыша	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
střecha	крыше	střecha	крыша	N;NOM;FEM;SG;POS	N;INAN;DAT;FEM;SG
střecha	крышу	střecha	крыша	N;NOM;FEM;SG;POS	N;INAN;ACC;FEM;SG
laura	лора	laura	лора	PROPN;NOM;FEM;SG;POS	N;ANIM;NOM;FEM;SG
laura	лаура	laura	лаура	PROPN;NOM;FEM;SG;POS	N;ANIM;NOM;FEM;SG
návštěvy	посетителей	návštěva	посетитель	N;NOM;FEM;PL;POS	N;ANIM;GEN;MASC;PL
návštěvy	посещений	návštěva	посещение	N;NOM;FEM;PL;POS	N;INAN;GEN;NEUT;PL
harris	харрис	harris	харрис	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
bloky	блоков	blok	блок	N;INAN;NOM;MASC;PL;POS	N;INAN;GEN;MASC;PL
detroit	детройт	detroit	детройт	PROPN;INAN;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
jamie	джейми	jamie	джея	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
psí	собака	psí	собака	ADJ;NOM;MASC;SG;POS	N;ANIM;NOM;FEM;SG
psí	пес	psí	пес	ADJ;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
psí	пёс	psí	пёс	ADJ;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
skotsko	шотландия	skotsko	шотландия	PROPN;NOM;NEUT;SG;POS	N;INAN;NOM;FEM;SG
skotsko	шотландии	skotsko	шотландия	PROPN;NOM;NEUT;SG;POS	N;INAN;NOM;FEM;PL
amd	amd	amd	amd	PROPN;MASC;SG;POS	PROPN
fred	фред	fred	фред	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
rangers	рейнджеры	rangers	рейнджер	PROPN;ANIM;MASC;PL;POS	N;INAN;NOM;MASC;PL
rozměrů	пропорции	rozměr	пропорция	N;INAN;GEN;MASC;PL;POS	N;INAN;NOM;FEM;PL
sektoru	сектор	sektor	сектор	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
špatný	bad	špatný	bad	ADJ;INAN;NOM;MASC;SG;POS	PROPN
přesný	точные	přesný	точный	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;PL
přesný	точные	přesný	точный	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;PL
přesný	точной	přesný	точный	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INS;FEM;SG
masaryk	масарик	masaryk	масарик	PROPN;ANIM;NOM;MASC;SG;POS	N;INAN;NOM;MASC;SG
organismů	организмы	organismus	организм	N;INAN;GEN;MASC;PL;POS	N;INAN;NOM;MASC;PL
příbuzných	родственники	příbuzný	родственник	N;ANIM;GEN;MASC;PL;POS	N;ANIM;NOM;MASC;PL
raymond	рэймонд	raymond	рэймонд	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
raymond	реймонд	raymond	реймонд	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
etapa	этапе	etapa	этап	N;NOM;FEM;SG;POS	N;INAN;ESS;MASC;SG
etapa	гэн	etapa	гэн	N;NOM;FEM;SG;POS	
etapa	ногу	etapa	нога	N;NOM;FEM;SG;POS	N;INAN;ACC;FEM;SG
etapa	этапе	etapa	этап	N;NOM;FEM;SG;POS	N;INAN;ESS;MASC;SG
kolonií	колоний	kolonie	колония	N;INS;FEM;SG;POS	N;INAN;GEN;FEM;PL
kolonií	колонии	kolonie	колония	N;INS;FEM;SG;POS	N;INAN;NOM;FEM;PL
kolonií	колония	kolonie	колония	N;INS;FEM;SG;POS	N;INAN;NOM;FEM;SG
kolonií	колонии	kolonie	колония	N;INS;FEM;SG;POS	N;INAN;NOM;FEM;PL
všiml	заметили	všimnout	заметить	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN;ACT
naučil	научилась	naučit	научиться	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
naučil	научился	naučit	научиться	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
naučil	преподавал	naučit	преподавать	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bobby	бобби	bobby	бобби	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
plná	полные	plný	полный	ADJ;NOM;FEM;SG;POS	ADJ;NOM;PL
plná	полного	plný	полный	ADJ;NOM;FEM;SG;POS	ADJ;GEN;MASC;SG
náboženská	религиозных	náboženský	религиозный	ADJ;NOM;FEM;SG;POS	ADJ;GEN;PL
zničil	разрушена	zničit	разрушить	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
stvoření	существа	stvoření	существо	N;NOM;NEUT;SG;POS	N;INAN;NOM;NEUT;PL
mechanické	механические	mechanický	механический	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;PL
mechanické	механических	mechanický	механический	ADJ;NOM;NEUT;SG;POS	ADJ;GEN;PL
bohatá	богатых	bohatý	богатый	ADJ;NOM;FEM;SG;POS	ADJ;GEN;PL
bohatá	рич	bohatý	рич	ADJ;NOM;FEM;SG;POS	N;ANIM;NOM;MASC;SG
bohatá	богатые	bohatý	богатый	ADJ;NOM;FEM;SG;POS	ADJ;NOM;PL
odpovědnost	обязанности	odpovědnost	обязанность	N;NOM;FEM;SG;POS	N;INAN;NOM;FEM;PL
rosa	розу	rosa	роза	N;NOM;FEM;SG;POS	N;ANIM;ACC;FEM;SG
mtv	mtv	mtv	mtv	PROPN;NEUT;POS	PROPN
rozvíjet	развить	rozvíjet	развить	V;IPFV;POS;NFIN	V;PFV;NFIN;ACT
šestnáct	sixteen	šestnáct	sixteen	NUM;NOM;SG	PROPN
notre	notre	notre	notre	PROPN;FEM;SG;POS	PROPN
notre	нотр	notre	нотр	PROPN;FEM;SG;POS	ADV
sainte	сент	sainte	сент	PROPN;NOM;FEM;SG;POS	N;INAN;NOM;MASC;SG
head	head	haad	head	N;INAN;NOM;MASC;SG;POS	PROPN
head	голову	haad	голова	N;INAN;NOM;MASC;SG;POS	N;INAN;ACC;FEM;SG
rob	роб	rob	роб	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
rob	ограбить	rob	грабить	PROPN;ANIM;NOM;MASC;SG;POS	V;PFV;NFIN;ACT
sopky	вулканов	sopka	вулкан	N;NOM;FEM;PL;POS	N;INAN;GEN;MASC;PL
harold	гарольд	harold	гарольд	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
pohřeb	похороны	pohřeb	похороны	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;FEM;PL
pohřeb	захоронения	pohřeb	захоронение	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;NEUT;PL
pohřeb	похороны	pohřeb	похороны	N;INAN;NOM;MASC;SG;POS	N;INAN;NOM;FEM;PL
pouště	пустынь	poušť	пустынь	N;NOM;FEM;PL;POS	N;INAN;NOM;FEM;SG
pouště	пустыня	poušť	пустыня	N;NOM;FEM;PL;POS	N;INAN;NOM;FEM;SG
pouště	пустыне	poušť	пустыня	N;NOM;FEM;PL;POS	N;INAN;DAT;FEM;SG
rusové	русские	rus	русский	PROPN;ANIM;NOM;MASC;PL;POS	N;ANIM;NOM;MASC;PL
ferrer	феррер	ferrer	феррер	PROPN;ANIM;NOM;MASC;SG;POS	N;ANIM;NOM;MASC;SG
použité	используется	použitý	использовать	ADJ;NOM;MASC;PL;POS	V;IPFV;IND;SG;3;PRS;FIN;PASS
použité	использовано	použitý	использовать	ADJ;NOM;MASC;PL;POS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
použité	используемый	použitý	использовать	ADJ;NOM;MASC;PL;POS	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
použité	используемые	použitý	использовать	ADJ;NOM;MASC;PL;POS	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
použité	использован	použitý	использовать	ADJ;NOM;MASC;PL;POS	V;PFV;MASC;SG;PST;V.PTCP;PASS
mclaren	mclaren	mclarna	mclaren	N;INAN;NOM;MASC;SG;POS	PROPN
luisa	луиза	luis	луиз	PROPN;NOM;FEM;SG;POS	N;ANIM;NOM;FEM;SG
nejnovější	новейшие	nový	новый	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;RL;PL
nejnovější	latest	nový	latest	ADJ;NOM;RL;MASC;SG;POS	PROPN
special	особая	special	особый	N;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
special	специальный	special	специальный	N;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
special	специального	special	специальный	N;INAN;NOM;MASC;SG;POS	ADJ;GEN;MASC;SG
special	специальная	special	специальный	N;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
special	специальные	special	специальный	N;INAN;NOM;MASC;SG;POS	ADJ;NOM;PL
special	специальное	special	специальный	N;INAN;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
stínu	тени	stín	тень	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;FEM;PL
stínu	тень	stín	тень	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;FEM;SG
stínu	тени	stín	тень	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;FEM;PL
stínu	оттенок	stín	оттенок	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;MASC;SG
stínu	тень	stín	тень	N;INAN;GEN;MASC;SG;POS	N;INAN;NOM;FEM;SG
náročné	сложных	náročný	сложный	ADJ;NOM;NEUT;SG;POS	ADJ;GEN;PL
náročné	вызов	náročný	вызов	ADJ;NOM;NEUT;SG;POS	N;INAN;NOM;MASC;SG
náročné	требующие	náročný	требовать	ADJ;NOM;NEUT;SG;POS	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
náročné	требуя	náročný	требовать	ADJ;NOM;NEUT;SG;POS	V;IPFV;PRS;V.CVB;ACT
kompatibilní	совместимость	kompatibilní	совместимость	ADJ;NOM;MASC;SG;POS	N;INAN;NOM;FEM;SG
kompatibilní	совместимы	kompatibilní	совместимый	ADJ;NOM;MASC;SG;POS	ADJ;PL
technologii	технология	technologie	технология	N;ACC;FEM;SG;POS	N;INAN;NOM;FEM;SG
