apg	apg	apg	apg		N;INDF;MASC;SG
zastąpić	substitut	zastąpić	substitut	V;PFV;NFIN;ACT	ADJ;INDF;MASC;SG
reakcje	reactiile	reakcja	reactie	N;NOM;FEM;PL	N;DEF;FEM;PL
reakcje	reactie	reakcja	reactie	N;NOM;FEM;PL	N;INDF;FEM;SG
reakcje	reactia	reakcja	reactie	N;NOM;FEM;PL	N;DEF;FEM;SG
reakcje	reactie	reakcja	reactie	N;NOM;FEM;PL	N;INDF;FEM;SG
reakcje	reactie	reakcja	reactie	N;NOM;FEM;PL	N;INDF;FEM;SG
oddziela	separa	oddzielać	separa	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
ekipa	echipa	ekipa	echipă	N;NOM;FEM;SG	N;DEF;FEM;SG
ekipa	echipa	ekipa	echipă	N;NOM;FEM;SG	N;DEF;FEM;SG
ekipa	echipajul	ekipa	echipaj	N;NOM;FEM;SG	N;DEF;MASC;SG
piętrze	etajul	piętro	etaj	N;ACC;NEUT;SG	N;DEF;MASC;SG
piętrze	podea	piętro	podea	N;ACC;NEUT;SG	N;INDF;FEM;SG
hieronim	hieronim	hieronić	hieronim	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
reklamy	reclame	reklama	reclam	N;ACC;FEM;SG	N;INDF;FEM;PL
reklamy	anunturi	reklama	anunt	N;ACC;FEM;SG	
reklamy	reclamele	reklama	reclam	N;ACC;FEM;SG	N;DEF;FEM;PL
reklamy	reclame	reklama	reclam	N;ACC;FEM;SG	N;INDF;FEM;PL
reklamy	reclamele	reklama	reclam	N;ACC;FEM;SG	N;DEF;FEM;PL
reklamy	publicitatea	reklama	publicitate	N;ACC;FEM;SG	N;DEF;FEM;SG
reklamy	reclama	reklama	reclama	N;ACC;FEM;SG	N;DEF;FEM;SG
reklamy	publicitate	reklama	publicitate	N;ACC;FEM;SG	N;INDF;FEM;SG
odznaki	insigne	odznak	insign	V;IPFV;IND;SG;3;FIN;ACT	N;INDF;FEM;PL
odznaki	insignele	odznak	insign	V;IPFV;IND;SG;3;FIN;ACT	N;DEF;FEM;PL
kent	kent	kent	kent	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
zestawienie	rezumatul	zestawienie	rezumat	N;NOM;NEUT;SG	N;DEF;MASC;SG
pomocnicze	auxiliare	pomocniczy	auxiliar	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
mali	mali	mala	mali		PROPN
pruski	prusac	pruski	prusac	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
colin	colin	colina	colin	N;NOM;MASC;SG	PROPN
początkowa	initiala	początkowy	initial	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
początkowa	initiala	początkowy	initial	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
początkowa	initiale	początkowy	initial	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
początkowa	initiala	początkowy	initial	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
pacific	pacificului	pacifica	pacific	N;NOM;MASC;SG	N;DEF;MASC;SG
pacific	pacificul	pacifica	pacific	N;NOM;MASC;SG	N;DEF;MASC;SG
ralph	ralph	ralph	ralph	PROPN;NOM;MASC;SG	PROPN
todd	todd	todd	todd	PROPN;NOM;MASC;SG	PROPN
joan	joan	joan	joan	PROPN;NOM;MASC;SG	PROPN
joan	ioana	joan	ioană	PROPN;NOM;MASC;SG	N;DEF;FEM;SG
encyklopedyczna	enciclopedice	encyklopycyczny	enciclopedic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
global	global	global	global		ADJ;INDF;MASC;SG
global	globala	global	globală		ADJ;DEF;FEM;SG
global	globale	global	global		ADJ;INDF;FEM;PL
karla	karla	karla	karla		N;DEF;FEM;SG
karla	karl	karla	karl		PROPN
ośrodki	centrele	ośrodek	centru	N;NOM;MASC;PL	N;DEF;FEM;PL
ośrodki	centrelor	ośrodek	centru	N;NOM;MASC;PL	N;DEF;FEM;PL
stwierdzenie	declaratie	stwierdzenie	declaratie	N;NOM;NEUT;SG	N;INDF;FEM;SG
stwierdzenie	declaratia	stwierdzenie	declaratie	N;NOM;NEUT;SG	N;DEF;FEM;SG
zwalczania	eradicare	zwalczać	eradicare	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
zwalczania	eradicarea	zwalczać	eradicare	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;DEF;FEM;SG
zwalczania	combat	zwalczać	combate	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	V;IND;PL;3;PRS;FIN
autonomii	autonomie	autonomia	autonomie	N;GEN;FEM;SG	N;INDF;FEM;SG
autonomii	autonomia	autonomia	autonomie	N;GEN;FEM;SG	N;DEF;FEM;SG
powszechne	universala	powszechny	universal	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
powszechne	universale	powszechny	universal	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
fotografie	fotografiile	fotografia	fotografie	N;NOM;FEM;PL	N;DEF;FEM;PL
fotografie	fotografie	fotografia	fotografie	N;NOM;FEM;PL	N;INDF;FEM;SG
fotografie	fotografia	fotografia	fotografie	N;NOM;FEM;PL	N;DEF;FEM;SG
zależne	dependenta	zależny	dependenta	ADJ;NOM;NEUT;SG	N;DEF;FEM;SG
zależne	dependente	zależny	dependent	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
zależne	filialele	zależny	filială	ADJ;NOM;NEUT;SG	N;DEF;FEM;PL
zależne	filiale	zależny	filial	ADJ;NOM;NEUT;SG	N;INDF;FEM;PL
niebieskie	albastra	niebieski	albastra	ADJ;NOM;NEUT;SG	N;DEF;FEM;SG
niszczyciele	distrugatoare	niszczyciel	distrugator	N;NOM;MASC;PL	ADJ;INDF;FEM
owoców	fructul	owóc	fruct	N;GEN;MASC;PL	N;DEF;MASC;SG
owoców	fructele	owóc	fruct	N;GEN;MASC;PL	N;DEF;FEM;PL
owoców	fruct	owóc	fruct	N;GEN;MASC;PL	N;INDF;MASC;SG
owoców	fructele	owóc	fruct	N;GEN;MASC;PL	N;DEF;FEM;PL
pius	pius	pius	pius	PROPN;NOM;MASC;SG	PROPN
męski	barbat	męski	barbat	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
męski	mascul	męski	masc	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
męski	barbat	męski	barbat	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
weryfikacji	verificarea	weryfikacja	verificare	N;GEN;FEM;SG	N;DEF;FEM;SG
weryfikacji	verificare	weryfikacja	verificare	N;GEN;FEM;SG	N;INDF;FEM;SG
chińskich	chineza	chiński	chineza	ADJ;GEN;MASC;PL	N;DEF;FEM;SG
chińskich	chineza	chiński	chineza	ADJ;GEN;MASC;PL	N;DEF;FEM;SG
chińskich	chinezesc	chiński	chinezesc	ADJ;GEN;MASC;PL	ADJ;INDF;MASC;SG
chińskich	chinez	chiński	chinez	ADJ;GEN;MASC;PL	ADJ;INDF;MASC;SG
narzędzie	unealta	narzęd	unealtă	N;NOM;NEUT;SG	N;DEF;FEM;SG
uznawane	recunoscute	uznawać	recunoscut	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
uznawane	recunoscuta	uznawać	recunoaște	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
uznawane	recunoscute	uznawać	recunoscut	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
uznawane	recunoscuta	uznawać	recunoaște	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
organizmów	organismele	organizm	organism	N;GEN;MASC;PL	N;DEF;FEM;PL
używanie	folosind	używać	folosi	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;V.MSDR
używanie	folosirea	używać	folosire	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;DEF;FEM;SG
używanie	utilizarea	używać	utilizare	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;DEF;FEM;SG
używanie	utilizand	używać	utiliza	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	ADV
cząstek	particulele	cząstka	particulă	N;GEN;FEM;PL	N;DEF;FEM;PL
cząstek	particula	cząstka	particulă	N;GEN;FEM;PL	N;DEF;FEM;SG
cząstek	particula	cząstka	particulă	N;GEN;FEM;PL	N;DEF;FEM;SG
przypuszczalnie	presupus	przypuszczalnie	presupune	ADV	ADJ;INDF;MASC;SG
duchu	stafie	duch	stafie	N;ACC;MASC;SG	N;INDF;FEM;SG
duchu	fantoma	duch	fantomă	N;ACC;MASC;SG	N;DEF;FEM;SG
duchu	fantoma	duch	fantomă	N;ACC;MASC;SG	N;DEF;FEM;SG
duchu	spiritul	duch	spirit	N;ACC;MASC;SG	N;DEF;MASC;SG
komputerów	calculatoarele	komputer	calculatoare	N;GEN;MASC;PL	N;DEF;FEM;PL
niebo	ceruri	niebo	cer	N;NOM;NEUT;SG	N;INDF;FEM;PL
niebo	rai	niebo	rai	N;NOM;NEUT;SG	
niebo	raiul	niebo	rai	N;NOM;NEUT;SG	N;DEF;MASC;SG
niebo	cerul	niebo	cer	N;NOM;NEUT;SG	N;DEF;MASC;SG
niebo	cer	niebo	cere	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
niebo	ceruri	niebo	cer	N;NOM;NEUT;SG	N;INDF;FEM;PL
kłopoty	belea	kłopot	belea	N;ACC;MASC;PL	
kłopoty	necaz	kłopot	necaz	N;ACC;MASC;PL	N;INDF;MASC;SG
kłopoty	belele	kłopot	bele	N;ACC;MASC;PL	N;DEF;FEM;PL
kłopoty	necazurile	kłopot	necaz	N;ACC;MASC;PL	N;DEF;FEM;PL
węgierska	ungara	węgierski	ungar	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
węgierska	maghiara	węgierski	maghiară	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
cleveland	cleveland	cleveland	cleveland	N;NOM;MASC;SG	PROPN
kampanię	campanie	kampania	campanie	N;ACC;FEM;SG	N;INDF;FEM;SG
kampanię	campaniei	kampania	campanie	N;ACC;FEM;SG	N;DEF;FEM;SG
kampanię	campania	kampania	campanie	N;ACC;FEM;SG	N;DEF;FEM;SG
tłumaczy	explica	tłumaczyć	explica	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
tłumaczy	translators	tłumaczyć	translators	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
wood	lemn	wood	lemn		N;INDF;MASC;SG
wood	lemnul	wood	lemn		N;DEF;MASC;SG
wood	wood	wood	wood		PROPN
wood	lemne	wood	lemn		N;INDF;FEM;PL
odkryte	descoperite	odkryć	descoperi	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
odkryte	descoperita	odkryć	descoperitate	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
mont	mont	mont	mont		N;INDF;MASC;SG
tlenu	oxigenul	tlen	oxigen	N;GEN;MASC;SG	N;DEF;MASC;SG
franciszkanów	franciscan	franciszkan	franciscan	N;ACC;MASC;PL	N;INDF;MASC;SG
classic	clasica	classicie	clasică		ADJ;DEF;FEM;SG
classic	clasic	classicie	clasic		ADV
classic	clasica	classicie	clasică		ADJ;DEF;FEM;SG
classic	classic	classicie	classic		PROPN
konto	contul	konto	cont	N;NOM;NEUT;SG	N;DEF;MASC;SG
pat	remiza	pat	remiza		N;DEF;FEM;SG
pat	impas	pat	impas		N;INDF;MASC;SG
pat	pat	pat	pat		N;INDF;MASC;SG
solidarność	solidaritate	solidarność	solidaritate	N;NOM;FEM;SG	N;INDF;FEM;SG
solidarność	solidaritatea	solidarność	solidaritate	N;NOM;FEM;SG	N;DEF;FEM;SG
castro	castro	castro	castro	PROPN;NOM;MASC;SG	PROPN
zalecenia	recomandare	zalecenie	recomandare	N;NOM;NEUT;PL	N;INDF;FEM;SG
zalecenia	recomandari	zalecenie	recomandar	N;NOM;NEUT;PL	
zalecenia	recomandarea	zalecenie	recomandare	N;NOM;NEUT;PL	N;DEF;FEM;SG
zalecenia	recomandarile	zalecenie	recomandaril	N;NOM;NEUT;PL	N;DEF;FEM;PL
zalecenia	recomandari	zalecenie	recomandar	N;NOM;NEUT;PL	
roberts	roberts	roberts	roberts	PROPN;NOM;MASC;SG	PROPN
róża	trandafir	róża	trandafir		N;INDF;MASC;SG
róża	rose	róża	rosă		PROPN
róża	rosa	róża	rosa		N;DEF;FEM;SG
armaty	cannon	armata	cannon	N;ACC;FEM;SG	PROPN
armaty	tunul	armata	tun	N;ACC;FEM;SG	N;DEF;MASC;SG
armaty	tunuri	armata	tun	N;ACC;FEM;SG	N;INDF;FEM;PL
armaty	tunurile	armata	tun	N;ACC;FEM;SG	N;DEF;FEM;PL
jung	jung	junga	jung	PROPN;NOM;MASC;SG	PROPN
dowody	dovada	dowód	dovadă	N;NOM;MASC;PL	N;DEF;FEM;SG
dowody	dovada	dowód	dovadă	N;NOM;MASC;PL	N;DEF;FEM;SG
dowody	dovada	dowód	dovadă	N;NOM;MASC;PL	N;DEF;FEM;SG
dowody	dovada	dowód	dovadă	N;NOM;MASC;PL	N;DEF;FEM;SG
zachowany	retinute	zachować	retinut	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
zachowany	conservata	zachować	conservat	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
zachowany	conservate	zachować	conserva	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
zachowany	pastrate	zachować	pastra	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
zachowany	pastrata	zachować	pastrat	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
amerykanie	americanilor	amerykanin	american	N;NOM;MASC;PL	N;DEF;MASC;PL
amerykanie	americanii	amerykanin	american	N;NOM;MASC;PL	N;DEF;MASC;PL
amerykanie	americani	amerykanin	american	N;NOM;MASC;PL	ADJ;INDF;MASC;PL
ósemka	opt	ósemka	opt	N;NOM;FEM;SG	NUM;PL
obsługiwane	service	obsługiwać	servic	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;INDF;FEM;SG
obsługiwane	operate	obsługiwać	opera	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
obsługiwane	operata	obsługiwać	operată	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;DEF;FEM;SG
basista	basistul	basisty	basist	N;NOM;MASC;SG	N;DEF;MASC;SG
impreza	petrecere	impreza	petrecere	N;NOM;FEM;SG	N;INDF;FEM;SG
uszkodzony	deteriorata	uszkodzić	deteriorat	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
uszkodzony	avariate	uszkodzić	avaria	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
uszkodzony	deteriorate	uszkodzić	deteriorat	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
uszkodzony	corupta	uszkodzić	corupta	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
uszkodzony	defect	uszkodzić	defect	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
uszkodzony	defecta	uszkodzić	defecta	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
administratorem	administratorul	administrator	administrator	N;INS;MASC;SG	N;DEF;MASC;SG
administratorem	administratorul	administrator	administrator	N;INS;MASC;SG	N;DEF;MASC;SG
airways	airways	airways	airways		PROPN
trofeum	trofeul	trofeum	trofeu	N;ACC;MASC;SG	N;DEF;MASC;SG
mandatu	mandatului	mandat	mandat	N;GEN;MASC;SG	N;DEF;MASC;SG
mandatu	mandatul	mandat	mandat	N;GEN;MASC;SG	N;DEF;MASC;SG
legia	legiune	legia	legiune		N;INDF;FEM;SG
legia	legiunea	legia	legiune		N;DEF;FEM;SG
legia	legia	legia	legie		N;DEF;FEM;SG
gabinet	cabinetul	gabinet	cabinet	N;NOM;MASC;SG	N;DEF;MASC;SG
zniszczenie	devastare	zniszczyć	devastare	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
zniszczenie	distrugere	zniszczyć	distrugere	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
zniszczenie	distrugerea	zniszczyć	distrugere	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;DEF;FEM;SG
zniszczenie	distrugeri	zniszczyć	distrugere	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
umieścić	pus	umieścić	pune	V;PFV;NFIN;ACT	ADJ;INDF;MASC;SG
pfalz	pfalz	pfalzyć	pfalz	PROPN;NOM;MASC;SG	PROPN
zabrze	zabrze	zabrze	zabrză	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
iran	iran	iran	iran	PROPN;NOM;MASC;SG	PROPN
iran	iranul	iran	iran	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
han	han	han	han	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dekret	decretul	dekret	decret	N;NOM;MASC;SG	N;DEF;MASC;SG
pisanie	scrierea	pisać	scriere	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;DEF;FEM;SG
pisanie	scriind	pisać	scrie	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;V.MSDR
pisanie	scriere	pisać	scriere	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
pisanie	scriu	pisać	scrie	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;IND;PL;3;PRS;FIN
olympic	olimpice	olympic	olimpic		ADJ;INDF;FEM;PL
olympic	olimpic	olympic	olimpic		ADJ;INDF;MASC;SG
olympic	olympic	olympic	olympic		PROPN
dochód	veniturile	dochód	venit	N;NOM;MASC;SG	N;DEF;FEM;PL
dochód	venituri	dochód	venit	N;NOM;MASC;SG	N;INDF;FEM;PL
dochód	venitul	dochód	venit	N;NOM;MASC;SG	N;DEF;MASC;SG
dochód	venituri	dochód	venit	N;NOM;MASC;SG	N;INDF;FEM;PL
dochód	veniturile	dochód	venit	N;NOM;MASC;SG	N;DEF;FEM;PL
winter	iarna	winter	iarnă		N;DEF;FEM;SG
winter	iarna	winter	iarnă		N;DEF;FEM;SG
poprawki	modificari	poprawka	modificare	N;ACC;FEM;PL	
poprawki	amendamentele	poprawka	amendament	N;ACC;FEM;PL	N;DEF;FEM;PL
poprawki	revizuirile	poprawka	revizuire	N;ACC;FEM;PL	N;DEF;FEM;PL
samolotem	avionul	samolot	avion	N;INS;MASC;SG	N;DEF;MASC;SG
zhang	zhang	zhang	zhang	PROPN;NOM;MASC;SG	PROPN
seattle	seattle	seatle	seattlă	PROPN;NOM;MASC;SG	PROPN
nadawania	radiodifuziune	nadawać	radiodifuziune	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
łączna	cumulate	łączny	cumula	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
łączna	cumulative	łączny	cumulativ	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
zbędne	inutile	zbędny	inutil	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
zbędne	inutila	zbędny	inutil	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
dzieciństwie	copilarie	dzieciństwo	copilarie	N;DAT;NEUT;SG	N;INDF;FEM;SG
dzieciństwie	copilarie	dzieciństwo	copilarie	N;DAT;NEUT;SG	N;INDF;FEM;SG
dzieciństwie	copilaria	dzieciństwo	copilarie	N;DAT;NEUT;SG	N;DEF;FEM;SG
dzieciństwie	copilaria	dzieciństwo	copilarie	N;DAT;NEUT;SG	N;DEF;FEM;SG
santo	santo	santo	santo	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
bristol	bristol	bristol	bristol	PROPN;NOM;MASC;SG	PROPN
jolanta	jolanta	jolant	jolantă	PROPN;NOM;FEM;SG	N;DEF;FEM;SG
centralna	centrala	centralny	centrală	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
centralna	centrale	centralny	centrală	ADJ;NOM;FEM;SG	N;INDF;FEM;PL
centralna	centrala	centralny	centrală	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
mosty	podurile	most	pod	N;NOM;MASC;PL	N;DEF;FEM;PL
traci	traci	tracić	trac	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;PL
działki	parcela	działka	parcelă	N;ACC;FEM;PL	N;DEF;FEM;SG
działki	colet	działka	colet	N;ACC;FEM;PL	N;INDF;MASC;SG
działki	parcela	działka	parcelă	N;ACC;FEM;PL	N;DEF;FEM;SG
działki	complot	działka	complot	N;ACC;FEM;PL	N;INDF;MASC;SG
działki	intriga	działka	intriga	N;ACC;FEM;PL	N;DEF;FEM;SG
działki	intriga	działka	intriga	N;ACC;FEM;PL	N;DEF;FEM;SG
krajowym	domestice	krajowy	domestic	ADJ;INS;MASC;SG	ADJ;INDF;FEM;PL
równanie	ecuatie	równać	ecuatie	N;NOM;NEUT;SG	N;INDF;FEM;SG
davisa	davis	davisa	davis		PROPN
rzekomo	chipurile	rzekomo	chipurile	N;DAT;FEM;PL	N;DEF;FEM;PL
więzień	prizonierul	więzienie	prizonier	N;GEN;NEUT;PL	N;DEF;MASC;SG
więzień	prizonier	więzienie	prizonier	N;GEN;NEUT;PL	N;INDF;MASC;SG
więzień	detinut	więzienie	detine	N;GEN;NEUT;PL	ADJ;INDF;MASC;SG
więzień	detinut	więzienie	detine	N;GEN;NEUT;PL	ADJ;INDF;MASC;SG
więzień	inchisorile	więzienie	inchisoare	N;GEN;NEUT;PL	N;DEF;FEM;PL
poinformował	informat	poinformować	informat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
poinformował	informata	poinformować	informat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;DEF;FEM;SG
poinformował	informati	poinformować	informa	V;PFV;MASC;IND;SG;PST;FIN;ACT	
telefon	telefonul	telefon	telefon	N;NOM;MASC;SG	N;DEF;MASC;SG
jasno	luminos	jasno	luminos	ADV	ADJ;INDF;MASC;SG
jasno	bright	jasno	bright	ADV	N;INDF;MASC;SG
kuba	cuba	kuba	cubă	PROPN;NOM;MASC;SG	PROPN
utc	utc	utco	utc		N
felix	felix	felix	felix	PROPN;NOM;MASC;SG	PROPN
aktualne	curentul	aktualny	curent	ADJ;NOM;NEUT;SG	N;DEF;MASC;SG
aktualne	curent	aktualny	curent	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
aktualne	curentului	aktualny	curent	ADJ;NOM;NEUT;SG	N;DEF;MASC;SG
aktualne	actuala	aktualny	actual	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
franka	frank	franek	frank		PROPN
ujednoznacznienie	dezambiguizare	ujednoznacznić	dezambiguizare	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;SG
dachau	dachau	dachau	dacha	PROPN;NOM;MASC;SG	PROPN
przemiany	transformarea	przemiać	transformare	N;ACC;FEM;SG	N;DEF;FEM;SG
przemiany	transformare	przemiać	transformare	N;ACC;FEM;SG	N;INDF;FEM;SG
dziwne	ciudat	dziwny	ciudat	ADJ;NOM;NEUT;SG	ADV
dziwne	ciudat	dziwny	ciudat	ADJ;NOM;NEUT;SG	ADV
dziwne	straniu	dziwny	straniu	ADJ;NOM;NEUT;SG	ADV
dziwne	ciudat	dziwny	ciudat	ADJ;NOM;NEUT;SG	ADV
gerard	gérard	gerard	gérard	N;NOM;MASC;SG	PROPN
zagraniczne	straine	zagraniczny	strain	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
zagraniczne	straina	zagraniczny	straină	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
zagraniczne	strainatate	zagraniczny	strainatate	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
wyrzutni	lansator	wyrzutniać	lansator	V;IPFV;IND;SG;FIN;ACT	N;INDF;MASC;SG
turynie	torino	turyn	torină	PROPN;NOM;MASC;SG	PROPN
