černych	τσερνίχ	černy	τσερνίχ	N;ANIM;NOM;MASC;SG	
phil	φίλ	phila	φίλ	PROPN;ANIM;NOM;MASC;SG	N
rob	rob	rob	rob	PROPN;ANIM;VOC;MASC;SG	
rob	ρομπ	rob	ρομπ	PROPN;ANIM;VOC;MASC;SG	
zastúpené	εκπροσωπείται	zastúpený	εκπροσωπώ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
zastúpené	εκπροσωπούνται	zastúpený	εκπροσωπώ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;PL;3;PRS;FIN;PASS
ponúkol	προσφέρθηκαν	ponúknuť	προσφέρω	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
ponúkol	προσφέρεται	ponúknuť	προσφέρω	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
ponúkol	πρόσφερε	ponúknuť	προσφέρω	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
ponúkol	προσφέρονται	ponúknuť	προσφέρω	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
presun	μετάθεση	presun	μετάθεση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	μεταβίβαση	presun	μεταβίβαση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	μετακινήστε	presun	μετακινώ	N;INAN;NOM;MASC;SG	V;PFV;IND;PL;2;PST;FIN;PASS
presun	μετακίνηση	presun	μετακίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	κίνηση	presun	κίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	μετακόμιση	presun	μετακόμιση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	μετακίνηση	presun	μετακίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	κινείται	presun	κινώ	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
presun	μετακίνηση	presun	μετακίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
presun	κίνηση	presun	κίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
carter	κάρτερ	carter	κάρτερ	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
carter	carter	carter	carter	PROPN;ANIM;NOM;MASC;SG	
poistenie	ασφάλιση	poistenie	ασφάλιση	N;NOM;NEUT;SG	N;ACC;FEM;SG
poistenie	ασφάλειες	poistenie	ασφάλεια	N;NOM;NEUT;SG	N;NOM;FEM;PL
zmazať	διαγραφή	zmazať	διαγραφή	V;PFV;POS;NFIN	ADV
bohatý	ριτς	bohatý	ριτς	ADJ;ANIM;NOM;MASC;SG	
bohatý	πλούσιοι	bohatý	πλούσιος	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL
informatiky	πληροφορική	informatika	πληροφορικός	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
suchá	στεγνά	sucho	στεγνά	N;NOM;FEM;SG	ADV
suchá	ξηρά	sucho	ξηρά	N;NOM;FEM;SG	N;NOM;NEUT;PL
slnečná	ηλιακές	slnečný	ηλιακός	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
slnečná	ηλιακό	slnečný	ηλιακός	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
slnečná	ηλιακή	slnečný	ηλιακός	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
infraštruktúra	υποδομές	infraštruktúra	υποδομή	N;NOM;FEM;SG	N;NOM;FEM;PL
infraštruktúra	υποδομής	infraštruktúra	υποδομή	N;NOM;FEM;SG	N;GEN;FEM;SG
infraštruktúra	υποδομή	infraštruktúra	υποδομή	N;NOM;FEM;SG	N;ACC;FEM;SG
svetom	world	svet	world	N;INAN;INS;MASC;SG	
svetom	κόσμο	svet	κόσμος	N;INAN;INS;MASC;SG	N;ACC;MASC;SG
svetom	κόσμος	svet	κόσμος	N;INAN;INS;MASC;SG	N;NOM;MASC;SG
nahrávanie	ανεβάζω	nahrávanie	ανεβάζω	N;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
nahrávanie	ανεβαίνει	nahrávanie	ανεβαίνω	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
nahrávanie	ανεβάστε	nahrávanie	αναβάζω	N;NOM;NEUT;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
nahrávanie	καταγραφή	nahrávanie	καταγραφή	N;NOM;NEUT;SG	N;ACC;FEM;SG
nahrávanie	ηχογράφηση	nahrávanie	ηχογράφηση	N;NOM;NEUT;SG	N;ACC;FEM;SG
nahrávanie	ρεκόρ	nahrávanie	ρεκόρ	N;NOM;NEUT;SG	
čítať	διαβάσει	čítať	διαβάζω	V;IPFV;POS;NFIN	V;PFV;NFIN;ACT
čítať	διάβαζε	čítať	διαβάζω	V;IPFV;POS;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
čítať	ανάγνωση	čítať	ανάγνωση	V;IPFV;POS;NFIN	N;NOM;FEM;SG
čítať	διαβάστε	čítať	διαβάζω	V;IPFV;POS;NFIN	N
čítať	διάβασε	čítať	διαβάζω	V;IPFV;POS;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
záchranu	διάσωσης	záchrana	διάσωση	N;ACC;FEM;SG	N;GEN;FEM;SG
wood	ξύλο	wood	ξύλο	PROPN;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG
wood	ξυλεία	wood	ξυλεία	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
klavirista	πιανίστα	klavirista	πιανίστα	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
dutiny	κοιλότητα	dutina	κοιλότητα	N;NOM;FEM;PL	N;NOM;FEM;SG
mer	μερ	mer	μερ	N;INAN;NOM;MASC;SG	
organické	οργανικά	organický	οργανικά	ADJ;NOM;NEUT;SG	ADV
organické	βιολογικά	organický	βιολογικά	ADJ;NOM;NEUT;SG	ADV
organické	οργανικές	organický	οργανικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
portálu	πύλη	portál	πύλη	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
orientačné	ενδεικτικά	orientačný	ενδεικτικά	ADJ;NOM;NEUT;SG	ADV
orientačné	ενδεικτικό	orientačný	ενδεικτικός	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
orientačné	ενδεικτικές	orientačný	ενδεικτικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
vyvinuli	εξελίχθηκε	vyvinúť	εκελίχνω	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
skutočné	ρεάλ	skutočný	ρεάλ	ADJ;NOM;NEUT;SG	
skutočné	αληθινά	skutočný	αληθινός	ADJ;NOM;NEUT;SG	ADV
návštevy	επισκεφθείτε	návšteva	επισκέπτομαι	N;NOM;FEM;PL	V;PFV;IND;PL;2;FIN;PASS
návštevy	επίσκεψη	návšteva	επίσκεψη	N;NOM;FEM;PL	N;ACC;FEM;SG
predstaviť	φαντάσου	predstaviť	φάντασος	V;PFV;POS;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
odborov	σωματεία	odbor	σωματείο	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
odborov	συνδικάτα	odbor	συνδικάτα	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
štvrté	τέταρτος	štvrť	τέταρτος	ADJ;NOM;NEUT;SG	NUM;NOM;MASC;SG
štvrté	τέταρτο	štvrť	τέταρτος	ADJ;NOM;NEUT;SG	NUM;NOM;NEUT;SG
štvrté	τέταρτη	štvrť	τέταρτος	ADJ;NOM;NEUT;SG	NUM;NOM;FEM;SG
vzduchom	αερομεταφερόμενη	vzduch	αερομεταφερόμενος	N;INAN;INS;MASC;SG	ADJ;NOM;FEM;SG
jonas	jonas	jonas	jonas	PROPN;ANIM;NOM;MASC;SG	
jonas	τζόνας	jonas	τζόνα	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
barry	barry	barra	barry	N;NOM;FEM;SG	
barry	μπάρι	barra	μπάρι	N;NOM;FEM;SG	
equus	equus	equus	equus	N;ANIM;NOM;MASC;SG	
licencie	άδεια	licencia	άδεια	N;NOM;FEM;PL	N;NOM;FEM;SG
licencie	αδεια	licencia	αδεια	N;NOM;FEM;PL	N;NOM;FEM;SG
licencie	αδειοδότησης	licencia	αδειοδότηση	N;NOM;FEM;PL	N;GEN;FEM;SG
licencie	αδειοδότηση	licencia	αδειοδότηση	N;NOM;FEM;PL	N;ACC;FEM;SG
nákladu	φορτίο	náklad	φορτίο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
hlboké	βαθύς	hlboký	βαθύς	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
hlboké	βαθιά	hlboký	βαθύς	ADJ;NOM;NEUT;SG	ADV
hlboké	βαθύ	hlboký	βαθύς	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
odhad	εκτιμώμενη	odhad	εκτιμώμενος	N;INAN;NOM;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
odhad	εκτιμώμενο	odhad	εκτιμώμενο	N;INAN;NOM;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
odhad	εκτίμηση	odhad	εκτίμηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
vojnový	πόλεμος	vojnový	πόλεμος	ADJ;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vojnový	πόλεμο	vojnový	πόλεμος	ADJ;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
koalície	συνασπισμού	koalícia	συνασπισμός	N;NOM;FEM;PL	N;GEN;MASC;SG
koalície	συνασπισμός	koalícia	συνασπισμός	N;NOM;FEM;PL	N;NOM;MASC;SG
koalície	συνασπισμό	koalícia	συνασπισμός	N;NOM;FEM;PL	N;ACC;MASC;SG
briti	βρετανικό	brit	βρετανικός	N;ANIM;NOM;MASC;PL	ADJ;NOM;NEUT;SG
briti	βρετανός	brit	βρετανός	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;SG
briti	βρετανική	brit	βρετανικός	N;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;SG
briti	βρετανοί	brit	βρετανός	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
briti	βρετανικά	brit	βρετανικά	N;ANIM;NOM;MASC;PL	ADV
čínske	κινέζος	čínsky	κινέζος	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
