szeroki	wide	szeroki	wide	ADJ;NOM;MASC;SG	N;MASC;SG
kwalifikacje	qualificados	kwalifikacja	qualificar	N;NOM;FEM;PL	V;MASC;PL;V.PTCP
kwalifikacje	qualificação	kwalifikacja	qualificação	N;NOM;FEM;PL	N;FEM;SG
philipp	philipp	philipp	philipp	PROPN;NOM;MASC;SG	N;MASC;SG
szczegółowe	detalhado	szczegółowy	detalhar	ADJ;NOM;NEUT;SG	V;MASC;SG;V.PTCP
szczegółowe	pormenorizadas	szczegółowy	pormenorizar	ADJ;NOM;NEUT;SG	V;FEM;PL;V.PTCP
szczegółowe	detalhada	szczegółowy	detalhar	ADJ;NOM;NEUT;SG	V;FEM;SG;V.PTCP
szczegółowe	detalhadas	szczegółowy	detalhar	ADJ;NOM;NEUT;SG	V;FEM;PL;V.PTCP
wierzchołek	ápice	wierzchołek	ápice	N;NOM;MASC;SG	ADV
hills	colinas	hills	colina		N;FEM;PL
hills	hills	hills	hills		N;MASC;SG
miedzi	cobre	miedzieć	cobre		N;MASC;SG
nicole	nicole	nicole	nicole	PROPN;NOM;FEM;SG	N;FEM;SG
polana	polyana	polany	polyana	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	N;FEM;SG
klucz	chaves	klucz	chave	N;NOM;MASC;SG	N;MASC;PL
polsat	polsat	polsat	polsat		N;MASC;SG
podwodne	subaquática	podwodny	subaquático	ADJ;NOM;NEUT;SG	N;FEM;SG
podwodne	submarino	podwodny	submarino	ADJ;NOM;NEUT;SG	N;MASC;SG
podwodne	submarinos	podwodny	submarino	ADJ;NOM;NEUT;SG	N;MASC;PL
wprowadzone	entraram	wprowadzić	entrar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;PL;3;FIN
wprowadzone	entrou	wprowadzić	entrar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
wprowadzone	introduzida	wprowadzić	introduzir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
wprowadzone	introduziu	wprowadzić	introduzir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
wprowadzone	introduzidas	wprowadzić	introduzir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;V.PTCP
wprowadzone	introduzidos	wprowadzić	introduzir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
wprowadzone	introduzido	wprowadzić	introduzir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
wprowadzone	implementado	wprowadzić	implementar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
wprowadzone	implementada	wprowadzić	implementar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
wprowadzone	implementadas	wprowadzić	implementar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;V.PTCP
wprowadzone	implementados	wprowadzić	implementar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
operze	opera	operz	operar		V;IND;SG;3;PRS;FIN
operze	ópera	operz	ópera		N;FEM;SG
operze	óperas	operz	óperas		N;FEM;PL
fal	ondas	fala	ondas		N;FEM;PL
wolę	prefere	woleć	preferir	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
wolę	prefira	woleć	preferir	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
szkła	vidros	szkło	vidro	N;NOM;NEUT;SG	N;MASC;PL
larwy	larva	larwa	larva		N;FEM;SG
larwy	larvas	larwa	larva		N;FEM;PL
larwy	larva	larwa	larva		N;FEM;SG
larwy	vermes	larwa	vermes		N;MASC;PL
larwy	larvas	larwa	larva		N;FEM;PL
motor	mota	motor	mota		N;MASC;SG
motor	moto	motor	moto		N;FEM;SG
motor	bike	motor	bike		N;FEM;SG
motor	bicicleta	motor	bicicleta		N;FEM;SG
motor	mota	motor	mota		N;MASC;SG
motor	motocicleta	motor	motocicleta		N;FEM;SG
motor	motociclos	motor	motociclo		N;MASC;PL
motor	moto	motor	moto		N;FEM;SG
motor	motor	motor	motor		N;MASC;SG
motor	moto	motor	moto		N;FEM;SG
wirtualny	virtuais	wirtualny	virtual	ADJ;NOM;MASC;SG	N;MASC;PL
wolna	livre	wolny	livre		ADJ;MASC;SG
wolna	grátis	wolny	grátis		N;MASC;SG
wolna	free	wolny	free		N;MASC;SG
wolna	gratuito	wolny	gratuito		ADJ;MASC;SG
rick	rick	rick	rick	PROPN;NOM;MASC;SG	N;MASC;SG
oskarżony	acusado	oskarżyć	acusar		V;MASC;SG;V.PTCP
oskarżony	acusada	oskarżyć	acusar		V;FEM;SG;V.PTCP
oskarżony	acusadas	oskarżyć	acusar		V;FEM;PL;V.PTCP
oskarżony	acusados	oskarżyć	acusar		V;MASC;PL;V.PTCP
oskarżony	acusado	oskarżyć	acusar		V;MASC;SG;V.PTCP
oskarżony	réu	oskarżyć	réu		N;MASC;SG
oskarżony	ré	oskarżyć	ré		N;FEM;SG
oskarżony	arguido	oskarżyć	arguir		V;MASC;SG;V.PTCP
oskarżony	requerido	oskarżyć	requerer		V;MASC;SG;V.PTCP
got	got	gotować	got		N;MASC;SG
mezoregionie	meso	mezoregian	meso	N;GEN;MASC;SG	INTJ
harold	harold	harold	harold	PROPN;NOM;MASC;SG	N;MASC;SG
harold	haroldo	harold	haroldo	PROPN;NOM;MASC;SG	N;MASC;SG
katalonii	catalunha	katalonia	catalunha		N;FEM;SG
zawierał	continham	zawierać	conter	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
zawierał	continha	zawierać	conter	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
zawierał	contidos	zawierać	conter	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;V.PTCP
zawierał	contidas	zawierać	conter	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;PL;V.PTCP
arkadiusz	arkadiusz	arkadiusz	arkadiusz	PROPN;NOM;MASC;SG	V;IND;SG;3;PST;FIN
pochodząca	originárias	pochodzić	originário	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT	ADJ;FEM;PL
pochodząca	originários	pochodzić	originário	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT	ADJ;MASC;PL
ustanowiony	estabelecida	ustanowić	estabelecer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
ustanowiony	estabelecido	ustanowić	estabelecer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
but	bota	but	bota		N;FEM;SG
but	boot	but	boot		N;MASC;SG
but	sapato	but	sapato		N;MASC;SG
marion	marion	marion	marion	PROPN;NOM;MASC;SG	N;MASC;SG
niemożliwe	impossíveis	niemożliwy	impossível	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
emma	emma	emma	emma	PROPN;NOM;FEM;SG	N;FEM;SG
emma	ema	emma	ema	PROPN;NOM;FEM;SG	N;MASC;SG
gniazda	ninhos	gniazda	ninho	N;ACC;NEUT;SG	N;MASC;PL
gniazda	tomada	gniazda	tomar	N;ACC;NEUT;SG	V;FEM;SG;V.PTCP
gniazda	ninhos	gniazda	ninho	N;ACC;NEUT;SG	N;MASC;PL
lyon	lyon	lyon	lyon	PROPN;NOM;MASC;SG	N;MASC;SG
funkcjonariusz	oficial	funkcjonariusz	oficial	N;NOM;MASC;SG	ADJ;MASC;SG
louise	louise	louis	louise	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;FEM;SG
louise	luisa	louis	luisa	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;FEM;SG
louise	luísa	louis	luísa	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;FEM;SG
budżetu	orçamentos	budżet	orçamento	N;GEN;MASC;SG	N;MASC;PL
dot	ponto	dot	ponto		N;MASC;SG
dot	dot	dot	dot		N;MASC;SG
sedan	sedan	sedan	sedan		N;MASC;SG
know	conheça	know	conhecer		V;SBJV;SG;3;PRS;FIN
know	saiba	know	saber		V;SBJV;SG;3;PRS;FIN
know	sei	know	saber		V;IND;SG;1;PRS;FIN
know	sabe	know	saber		V;IND;SG;3;PRS;FIN
gloria	glória	gloria	glória		N;FEM;SG
gloria	gloria	gloria	gloria		N;FEM;SG
hubert	humberto	hubert	humberto	PROPN;NOM;MASC;SG	N;MASC;SG
hubert	hubert	hubert	hubert	PROPN;NOM;MASC;SG	N;MASC;SG
iihf	iihf	iihf	iihf		N;MASC;SG
porażka	derrotas	porażka	derrota	N;NOM;FEM;SG	N;FEM;PL
porażka	derrotar	porażka	derrotar	N;NOM;FEM;SG	V;NFIN
curie	curie	curieć	curie		N;MASC;SG
włączone	incluído	włączyć	incluir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
włączone	incluídas	włączyć	incluir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;V.PTCP
włączone	incluso	włączyć	incluso	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
włączone	incluido	włączyć	incluir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
włączone	incluídos	włączyć	incluir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
włączone	habilitado	włączyć	habilitado	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
włączone	ativada	włączyć	ativar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
włączone	ativado	włączyć	ativar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
short	curto	short	curto		ADJ;MASC;SG
short	short	short	short		N;MASC;SG
short	curtas	short	curto		ADJ;FEM;PL
short	curta	short	curto		ADJ;FEM;SG
jules	jules	jules	jule	PROPN;NOM;MASC;SG	N;MASC;SG
napoleon	napoleão	napoleon	napoleão		N;MASC;SG
napoleon	napoleon	napoleon	napoleon		N;MASC;SG
zlokalizowane	localizada	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
zlokalizowane	localizado	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
zlokalizowane	localizados	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
zlokalizowane	localizada	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
zlokalizowane	localizado	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
zlokalizowane	localizados	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
zlokalizowane	localizada	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
zlokalizowane	localizado	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
zlokalizowane	localizados	zlokalizować	localizar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
craig	craig	craig	craig	PROPN;NOM;MASC;SG	N;MASC;SG
lloyd	lloyd	lloyd	lloyd	PROPN;NOM;MASC;SG	N;MASC;SG
judy	judy	judy	judy		N;FEM;SG
amy	amy	amy	amy	PROPN;NOM;FEM;SG	N;FEM;SG
rolnych	agrícola	rolny	agrícola	ADJ;GEN;MASC;PL	N;MASC;SG
współpracownicy	associados	współpracownik	associado	N;NOM;MASC;PL	V;MASC;PL;V.PTCP
współpracownicy	associadas	współpracownik	associar	N;NOM;MASC;PL	V;FEM;PL;V.PTCP
ofiara	sacrifícios	ofiara	sacrifício	N;NOM;FEM;SG	N;MASC;PL
leonardo	leonardo	leonardo	leonardo		N;MASC;SG
harrison	harrison	harrison	harrison		N;MASC;SG
ice	ice	icey	ice		N;MASC;SG
ice	gelo	icey	gelo		N;MASC;SG
sánchez	sánchez	sánchez	sánchez	PROPN;NOM;MASC;SG	N;MASC;SG
naturalny	naturais	naturalny	natural	ADJ;NOM;MASC;SG	N;MASC;PL
podobno	pretensamente	podobno	pretensamente	PART	ADV
podobno	supostamente	podobno	supostamente	PART	ADV
złożona	composto	złożyć	compor	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
złożona	compósitos	złożyć	compósito	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	N;MASC;PL
złożona	composta	złożyć	compor	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
złożona	complexas	złożyć	complexo	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;FEM;PL
złożona	complexos	złożyć	complexo	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;MASC;PL
złożona	dobradas	złożyć	dobrada	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;V.PTCP
złożona	dobrada	złożyć	dobrar	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
złożona	dobrado	złożyć	dobrar	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
złożona	dobrados	złożyć	dobrar	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
złożona	dobrou	złożyć	dobrar	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
niski	baixa	niski	baixa	ADJ;NOM;MASC;SG	N;FEM;SG
niski	baixos	niski	baixo	ADJ;NOM;MASC;SG	N;MASC;PL
niski	low	niski	low	ADJ;NOM;MASC;SG	N;MASC;SG
niski	baixo	niski	baixo	ADJ;NOM;MASC;SG	ADV
zwraca	devoluções	zwracać	devolução	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
zwraca	retornos	zwracać	retorno	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
maksymalny	máximo	maksymalny	máximo	ADJ;NOM;MASC;SG	N;MASC;SG
maksymalny	máxima	maksymalny	grande	ADJ;NOM;MASC;SG	N;FEM;SG
jewgienij	yevgeny	jewgień	yevgeny	PROPN;NOM;MASC;SG	N;MASC;SG
jewgienij	evgeny	jewgień	evgeny	PROPN;NOM;MASC;SG	N;MASC;SG
deportivo	deportivo	deportivo	deportivo	PROPN;NOM;MASC;SG	N;MASC;SG
przetrwał	sobreviveram	przetrwać	sobreviver	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;FIN
nakład	esforços	nakład	esforço	N;NOM;MASC;SG	N;MASC;PL
wcześniejsze	anteriores	wczesny	anterior	ADJ;NOM;CMPR;NEUT;SG	ADJ;MASC;PL
summer	verão	summer	ver		V;IND;PL;3;FUT;FIN
summer	summer	summer	summer		N;MASC;SG
niedziela	domingos	niedziela	domingo		N;MASC;PL
niedziela	domingo	niedziela	domingo		N;MASC;SG
gorzów	gorzów	gorze	gorzów		N;MASC;SG
sporadycznie	ocasional	sporadycznie	ocasional	ADV	ADJ;MASC;SG
sporadycznie	ocasionais	sporadycznie	ocasional	ADV	ADJ;MASC;PL
sporadycznie	esporádicos	sporadycznie	esporádico	ADV	ADJ;MASC;PL
after	após	after	após		ADP
after	after	after	after		N;MASC;SG
after	depois	after	depois		ADV
wady	insuficiências	wada	insuficiência	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	lacunas	wada	lacuna	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	deficiências	wada	deficiência	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	fraquezas	wada	fraqueza	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	insuficiências	wada	insuficiência	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	deficiências	wada	deficiência	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	falhas	wada	falha	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	defeitos	wada	defeito	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	inconvenientes	wada	inconveniente	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	desvantagens	wada	desvantagem	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
oryginalne	originais	oryginalny	original	ADJ;NOM;NEUT;SG	N;MASC;PL
owadów	insecto	owad	insecto	N;GEN;MASC;PL	N;MASC;SG
owadów	inseto	owad	inseto	N;GEN;MASC;PL	N;MASC;SG
human	humano	human	humano		ADJ;MASC;SG
human	humanas	human	humano		N;FEM;PL
human	humana	human	humano		ADJ;FEM;SG
human	human	human	human		N;MASC;SG
starożytnych	antiga	starożytny	antigo	ADJ;GEN;MASC;PL	N;FEM;SG
starożytnych	antigo	starożytny	antigo	ADJ;GEN;MASC;PL	ADJ;MASC;SG
starożytnych	antiguidade	starożytny	antiguidade	ADJ;GEN;MASC;PL	N;FEM;SG
starożytnych	ancião	starożytny	ancião	ADJ;GEN;MASC;PL	N;MASC;SG
podręcznik	manuais	podręcznik	manual	N;ACC;MASC;SG	N;MASC;PL
mayer	mayer	mayer	mayer	PROPN;NOM;MASC;SG	N;MASC;SG
możliwa	possíveis	możliwy	possível	ADJ;NOM;FEM;SG	ADJ;MASC;PL
collins	collins	collins	collin	PROPN;NOM;MASC;SG	N;MASC;SG
turecki	turcos	turecka	turco	ADJ;NOM;MASC;SG	N;MASC;PL
turecki	turco	turecka	turco	ADJ;NOM;MASC;SG	N;MASC;SG
turecki	turca	turecka	turco	ADJ;NOM;MASC;SG	N;FEM;SG
turecki	turcas	turecka	turco	ADJ;NOM;MASC;SG	N;FEM;PL
juliana	julian	juliany	julian		N;MASC;SG
juliana	juliano	juliany	juliano		N;MASC;SG
juliana	julián	juliany	julián		N;MASC;SG
juliana	juliana	juliany	juliano		N;FEM;SG
dodatkowa	adicionais	dodatkowy	adicional	ADJ;NOM;FEM;SG	ADJ;MASC;PL
dodatkowa	figurante	dodatkowy	figurante	ADJ;NOM;FEM;SG	N;MASC;SG
dodatkowa	extra	dodatkowy	extra	ADJ;NOM;FEM;SG	N;MASC;SG
prosta	simple	prosty	simple		N;MASC;SG
prosta	simples	prosty	simples		ADJ;MASC;SG
western	ocidental	western	ocidental		N;FEM;SG
western	ocidentais	western	ocidental		N;MASC;PL
western	western	western	western		N;MASC;SG
western	oeste	western	oeste		N;MASC;SG
helen	helena	helen	heleno	PROPN;NOM;FEM;SG	N;FEM;SG
helen	helen	helen	helen	PROPN;NOM;FEM;SG	N;FEM;SG
norfolk	norfolk	norfolk	norfolk	V;IPFV;IND;SG;PRS;FIN;ACT	N;MASC;SG
win	win	wina	win		N;MASC;SG
win	ganhe	wina	ganhar		V;SBJV;SG;3;PRS;FIN
win	ganhar	wina	ganhar		V;NFIN
win	vencer	wina	vencer		V;NFIN
win	vitória	wina	vitória		N;FEM;SG
win	vinhos	wina	vinho		N;MASC;PL
nadzór	supervisionar	nadzór	supervisionar	N;NOM;MASC;SG	V;NFIN
klasyczne	clássica	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;FEM;SG
klasyczne	clássicos	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;MASC;PL
klasyczne	clássicas	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;FEM;PL
klasyczne	clássico	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;MASC;SG
klasyczne	clássica	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;FEM;SG
klasyczne	clássicos	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;MASC;PL
klasyczne	classic	klasyczny	classic	ADJ;NOM;NEUT;SG	N;MASC;SG
klasyczne	clássico	klasyczny	clássico	ADJ;NOM;NEUT;SG	N;MASC;SG
wnętrz	interior	wnętrz	interior		N;MASC;SG
wnętrz	interiores	wnętrz	interior		N;MASC;PL
wnętrz	interiores	wnętrz	interior		N;MASC;PL
jelenia	viado	jeleń	viar		N;MASC;SG
jelenia	veados	jeleń	veado		N;MASC;PL
jelenia	veado	jeleń	veado		N;MASC;SG
jelenia	cervo	jeleń	cervo		N;MASC;SG
wikicytaty	wikiquote	wikicytat	wikiquote		N;MASC;SG
piersi	peito	pierś	peito		N;MASC;SG
piersi	tórax	pierś	tórax		N;MASC;SG
piersi	baú	pierś	baú		N;MASC;SG
piersi	peitos	pierś	peito		N;MASC;PL
piersi	mamas	pierś	mama		N;FEM;PL
piersi	seios	pierś	seio		N;MASC;PL
piersi	peito	pierś	peito		N;MASC;SG
piersi	mama	pierś	mama		N;FEM;SG
piersi	seio	pierś	seio		N;MASC;SG
piersi	seios	pierś	seio		N;MASC;PL
piersi	peitos	pierś	peito		N;MASC;PL
piersi	mamas	pierś	mama		N;FEM;PL
piersi	seios	pierś	seio		N;MASC;PL
uderzenia	impact	uderzenie	impact	N;NOM;NEUT;PL	N;MASC;SG
uderzenia	impacte	uderzenie	impacte	N;NOM;NEUT;PL	N;MASC;SG
uderzenia	impacto	uderzenie	impacto	N;NOM;NEUT;PL	N;MASC;SG
operacje	funcionamento	operacja	funcionamento	N;NOM;FEM;PL	N;MASC;SG
operacje	operação	operacja	operação	N;NOM;FEM;PL	N;FEM;SG
kongresie	congressos	kongres	congresso	N;DAT;MASC;SG	N;MASC;PL
kentucky	kentucky	kentucki	kentucky		N;MASC;SG
ważna	importantes	ważny	importante	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ważna	válidos	ważny	válido	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ważna	válidas	ważny	válido	ADJ;NOM;FEM;SG	ADJ;FEM;PL
agata	agatha	agata	agathar	PROPN;NOM;FEM;SG	N;FEM;SG
agata	agata	agata	agatar	PROPN;NOM;FEM;SG	N;FEM;SG
szanse	chance	szansa	chance	N;NOM;FEM;PL	N;FEM;SG
szanse	oportunidade	szansa	oportunidade	N;NOM;FEM;PL	N;FEM;SG
rezygnacji	demissões	rezygnacja	demissão	N;GEN;FEM;SG	N;FEM;PL
niezależny	independent	niezależny	independent	ADJ;NOM;MASC;SG	N;MASC;SG
niezależny	independentes	niezależny	independente	ADJ;NOM;MASC;SG	N;MASC;PL
niezależny	freelancer	niezależny	freelancer	ADJ;NOM;MASC;SG	N;MASC;SG
niezależny	freelance	niezależny	freelance	ADJ;NOM;MASC;SG	N;MASC;SG
podpisano	assinou	podpisać	assinar	V;PFV;IND;0;PST;FIN;ACT	V;IND;SG;3;PST;FIN
luigi	luigi	luig	luigi	PROPN;NOM;MASC;SG	PROPN;MASC;SG
fritz	fritz	frić	fritz	PROPN;NOM;MASC;SG	N;MASC;SG
ron	ron	ron	ron	PROPN;NOM;MASC;SG	N;MASC;SG
ncaa	ncaa	ncaa	ncaar		N;MASC;SG
