伴侶	partenere	伴侶	partenere	N	ADJ;INDF;FEM;PL
鎖定	lacat	鎖定	laca	V	N;INDF;MASC;SG
鎖定	lock	鎖定	lock	V	N;INDF;MASC;SG
鎖定	blocat	鎖定	bloca	V	ADJ;INDF;MASC;SG
鎖定	incuiat	鎖定	incuia	V	ADJ;INDF;MASC;SG
喀麥隆	camerun	喀麥隆	camerun	PROPN	N;INDF;MASC;SG
彎曲	curbat	彎曲	curbat	N	ADJ;INDF;MASC;SG
彎曲	indoi	彎曲	indoi	N	V;IND;SG;3;PRS;FIN
彎曲	indoaie	彎曲	indoi	N	
溫暖	calde	溫暖	cald	N	ADJ;INDF;FEM;PL
溫暖	cald	溫暖	cald	N	ADJ;INDF;MASC;SG
溫暖	calda	溫暖	calda	N	ADJ;DEF;FEM;SG
解剖	anatomie	解剖	anatomie		N;INDF;FEM;SG
解剖	anatomia	解剖	anatomie		N;DEF;FEM;SG
解剖	autopsia	解剖	autopsie		N;DEF;FEM;SG
解剖	autopsie	解剖	autopsie		N;INDF;FEM;SG
神像	gato	神像	gato	N	
手套	manusi	手套	manus	N	
手套	mittens	手套	mittens	N	
承包	contractori	承包	contractor	V	N;INDF;MASC;PL
承包	antreprenori	承包	antreprenor	V	N;INDF;MASC;PL
承包	antreprenor	承包	antreprenor	V	N;INDF;MASC;SG
承包	contractor	承包	contractor	V	N;INDF;MASC;SG
方舟	ark	方舟	ark	PROPN	N;INDF;MASC;SG
方舟	arca	方舟	arca	PROPN	N;DEF;FEM;SG
方舟	arca	方舟	arca	PROPN	N;DEF;FEM;SG
編譯	compilat	編譯	compila	V	ADJ;INDF;MASC;SG
編譯	compilarea	編譯	compilare	V	N;DEF;FEM;SG
編譯	compilarea	編譯	compilare	V	N;DEF;FEM;SG
界	defineste	界	definest	N	V;IND;SG;3;PRS;FIN
界	defineste	界	definest	N	V;IND;SG;3;PRS;FIN
界	defini	界	defini	N	V;IND;SG;3;PRS;FIN
界	definesc	界	defini	N	V;IND;PL;3;PRS;FIN
馬賽	marseille	馬賽	marseillă	PROPN	N;DEF;FEM;SG
馬賽	marsilia	馬賽	marsilie	PROPN	PROPN
彈性	flexibile	彈性	flexibil	N	ADJ;INDF;FEM;PL
彈性	flexibila	彈性	flexibilă	N	ADJ;DEF;FEM;SG
彈性	flexibil	彈性	flexibil	N	ADJ;INDF;MASC;SG
彈性	elastice	彈性	elastic	N	ADJ;INDF;FEM;PL
彈性	elastic	彈性	elastic	N	ADJ;INDF;MASC;SG
祭司	popa	祭司	popă	N	PROPN
酒井	sakai	酒井	sakai	PROPN	PROPN
繪圖	grafice	繪圖	grafic	N	ADJ;INDF;FEM;PL
繪圖	desenez	繪圖	deseni	N	V;IND;SG;1;PRS;FIN
大	masacrul	大	masacru	PART	N;DEF;MASC;SG
大	masacru	大	masacru	PART	N;INDF;MASC;SG
大	holocaustului	大	holocaust	PART	N;DEF;MASC;SG
大	holocaust	大	holocaust	PART	N;INDF;MASC;SG
劫持	rapire	劫持	rapire	V	N;INDF;FEM;SG
劫持	deturnare	劫持	deturnare	V	N;INDF;FEM;SG
劫持	deturnarea	劫持	deturnare	V	N;DEF;FEM;SG
劫持	deturnare	劫持	deturnare	V	N;INDF;FEM;SG
基	piedestal	基	piedestal	V	N;INDF;MASC;SG
損壞	corupta	損壞	corupta	N	ADJ;DEF;FEM;SG
損壞	corupt	損壞	corupt	N	ADJ;INDF;MASC;SG
損壞	deteriorat	損壞	deteriora	N	ADJ;INDF;MASC;SG
損壞	deteriorata	損壞	deteriorat	N	ADJ;DEF;FEM;SG
損壞	avariate	損壞	avaria	N	ADJ;INDF;FEM;PL
損壞	avariat	損壞	avariat	N	ADJ;INDF;MASC;SG
損壞	deteriorate	損壞	deteriorat	N	ADJ;INDF;FEM;PL
羅素	russel	羅素	russel	PROPN	PROPN
羅素	russell	羅素	russell	PROPN	PROPN
更	corectii	更	corect	ADV	N;INDF;FEM;PL
更	corectie	更	corectie	ADV	N;INDF;FEM;SG
更	corectarea	更	corectare	ADV	N;DEF;FEM;SG
更	corectare	更	corectare	ADV	N;INDF;FEM;SG
特種	swat	特種	swat	ADJ	N;INDF;MASC;SG
叻	lat	叻	lat	PROPN	ADJ;INDF;MASC;SG
密西西比	mississippi	密西西比	mississipp	PROPN	PROPN
雙	bilateral	雙	bilateral	NUM	ADV
雙	bilaterale	雙	bilateral	NUM	ADJ;INDF;FEM;PL
雙	bilateral	雙	bilateral	NUM	ADV
雙	bilaterala	雙	bilateral	NUM	N;DEF;FEM;SG
迷失	pierdut	迷失	pierdut	V	ADJ;INDF;MASC;SG
迷失	pierdute	迷失	pierdut	V	ADJ;INDF;FEM;PL
迷失	pierduta	迷失	pierdut	V	ADJ;DEF;FEM;SG
迷失	lost	迷失	lost	V	N;INDF;MASC;SG
仙女	andromedae	仙女	andromedae	N	
橘子	portocaliu	橘子	portocaliu	N	ADV
死亡	mortalitate	死亡	mortalitate	V	N;INDF;FEM;SG
死亡	mortalitatea	死亡	mortalitate	V	N;DEF;FEM;SG
歌聲	cantand	歌聲	cantand	N	
歌聲	cantand	歌聲	cantand	N	
布加勒斯特	bucuresti	布加勒斯特	bucurest	PROPN	PROPN
布加勒斯特	bucuresti	布加勒斯特	bucurest	PROPN	PROPN
布加勒斯特	bucuresti	布加勒斯特	bucurest	PROPN	PROPN
存款	depozit	存款	depozit	V	N;INDF;MASC;SG
存款	depunere	存款	depunere	V	N;INDF;FEM;SG
存款	depozite	存款	depozit	V	N;INDF;FEM;PL
存款	depuneri	存款	depunere	V	N;INDF;FEM;PL
獨裁	dictatoriale	獨裁	dictatorial	N	ADJ;INDF;FEM;PL
朝倉	asakura	朝倉	asakura	PROPN	N;DEF;FEM;SG
想象	imagina	想象	imagina	N	V;IND;SG;3;IPFV;FIN
祈	rugaciune	祈	rugaciune	V	N;INDF;FEM;SG
祈	rugaciunea	祈	rugaciune	V	N;DEF;FEM;SG
祈	rugaciunea	祈	rugaciune	V	N;DEF;FEM;SG
祈	rugaciune	祈	rugaciune	V	N;INDF;FEM;SG
祈	rugaciuni	祈	rugaciune	V	N;INDF;FEM;PL
祈	rugaciunile	祈	rugaciune	V	N;DEF;FEM;PL
相容	compatibile	相容	compatibil	N	ADJ;INDF;FEM;PL
相容	compatibila	相容	compatibila	N	ADJ;DEF;FEM;SG
相容	compatibil	相容	compatibil	N	ADJ;INDF;MASC;SG
廚師	cook	廚師	cook	N	PROPN
廚師	gatesc	廚師	gatesc	N	V;IND;PL;3;PRS;FIN
王	coroana	王	coroană	PROPN	N;DEF;FEM;SG
王	coroana	王	coroană	PROPN	N;DEF;FEM;SG
王	crown	王	crown	PROPN	PROPN
王	coroane	王	coroană	PROPN	N;INDF;FEM;PL
營養	nutritionale	營養	nutritional	N	ADJ;INDF;FEM;PL
愛媛	ehime	愛媛	ehimă	N	
凝聚	coeziune	凝聚	coeziune	V	N;INDF;FEM;SG
凝聚	coeziunii	凝聚	coeziune	V	N;DEF;FEM;SG
凝聚	coeziunea	凝聚	coeziune	V	N;DEF;FEM;SG
扳機	tragaci	扳機	tragac	N	
探險	aventura	探險	aventură	V	N;DEF;FEM;SG
探險	aventura	探險	aventură	V	N;DEF;FEM;SG
探險	aventuri	探險	avent	V	N;INDF;FEM;PL
探險	expeditie	探險	expeditie	V	N;INDF;FEM;SG
探險	expeditie	探險	expeditie	V	N;INDF;FEM;SG
區塊	blocheaza	區塊	bloca	N	V;IND;SG;3;IPFV;FIN
亞熱帶	subtropicale	亞熱帶	subtropical	PROPN	ADJ;INDF;FEM;PL
所	solomon	所	solomon	N	PROPN
聲援	solidaritate	聲援	solidaritate	V	N;INDF;FEM;SG
聲援	solidaritatea	聲援	solidaritate	V	N;DEF;FEM;SG
核子	nuclear	核子	nuclear	N	ADJ;INDF;MASC;SG
核子	nucleare	核子	nuclear	N	ADJ;INDF;FEM;PL
廢棄	abandon	廢棄	abandon	V	N;INDF;MASC;SG
廢棄	abandonarea	廢棄	abandonare	V	N;DEF;FEM;SG
廢棄	abandonat	廢棄	abandona	V	ADJ;INDF;MASC;SG
廢棄	abandonata	廢棄	abandonat	V	ADJ;DEF;FEM;SG
廢棄	abandonate	廢棄	abandona	V	ADJ;INDF;FEM;PL
廢棄	abandonata	廢棄	abandonat	V	ADJ;DEF;FEM;SG
檢視	vizionare	檢視	vizionare	V	N;INDF;FEM;PL
檢視	vizualizarea	檢視	vizualizare	V	N;DEF;FEM;SG
檢視	vizualizare	檢視	vizualizare	V	N;INDF;FEM;SG
檢視	vedere	檢視	vedere	V	N;INDF;FEM;SG
大	violoncel	大	violoncel	PART	N;INDF;MASC;SG
大	violoncelul	大	violoncel	PART	N;DEF;MASC;SG
加熱	caldura	加熱	caldura	V	N;DEF;FEM;SG
加熱	heat	加熱	heat	V	N;INDF;MASC;SG
加熱	caldura	加熱	caldura	V	N;DEF;FEM;SG
加熱	caldura	加熱	caldura	V	N;DEF;FEM;SG
加熱	incalzire	加熱	incalzire	V	N;INDF;FEM;SG
加熱	incalzire	加熱	incalzire	V	N;INDF;FEM;SG
加熱	incalzita	加熱	incalzita	V	ADJ;DEF;FEM;SG
加熱	incalzite	加熱	incalzi	V	ADJ;INDF;FEM;PL
加熱	incalzit	加熱	incalzit	V	ADJ;INDF;MASC;SG
還	restaurare	還	restaurare	ADV	N;INDF;FEM;SG
還	restabili	還	restabili	ADV	
還	reveni	還	reveni	ADV	V;IND;SG;3;PST;FIN
巴頓	patton	巴頓	patton	PROPN	PROPN
華沙	varsovia	華沙	varsovie	PROPN	N;DEF;FEM;SG
華沙	varsovia	華沙	varsovie	PROPN	N;DEF;FEM;SG
掃	scanarea	掃	scanare	V	N;DEF;FEM;SG
掃	scanare	掃	scanare	V	N;INDF;FEM;SG
掃	scanari	掃	scanar	V	N;INDF;FEM;PL
掃	scanare	掃	scanare	V	N;INDF;FEM;SG
升降	liftul	升降	lift	V	N;DEF;MASC;SG
升降	lift	升降	lift	V	N;INDF;MASC;SG
升降	ascensor	升降	ascensor	V	N;INDF;MASC;SG
機密	confidentiale	機密	confidential	N	ADJ;INDF;FEM;PL
諾曼	norman	諾曼	norman	PROPN	PROPN
斐濟	fiji	斐濟	fiji	PROPN	PROPN
潛在	potential	潛在	potential	V	ADJ;INDF;MASC;SG
潛在	potentialul	潛在	potential	V	N;DEF;MASC;SG
潛在	potential	潛在	potential	V	ADJ;INDF;MASC;SG
呼叫	apel	呼叫	apel	V	N;INDF;MASC;SG
呼叫	call	呼叫	call	V	N;INDF;MASC;SG
呼叫	chemarea	呼叫	chemare	V	N;DEF;FEM;SG
呼叫	chemare	呼叫	chemare	V	N;INDF;FEM;SG
呼叫	apelarea	呼叫	apelare	V	N;DEF;FEM;SG
嵌	incorporate	嵌	incorpora	V	ADJ;INDF;FEM;PL
嵌	incorporata	嵌	incorporat	V	ADJ;DEF;FEM;SG
嵌	incorporat	嵌	incorporat	V	ADJ;INDF;MASC;SG
嵌	incorporarea	嵌	incorporare	V	N;DEF;FEM;SG
