اتھاہ	깊은	اتھاہ	깊+ㄴ		ADJ
ابداً	영원히	ابداً	영원+히	PROPN;NOM;MASC;SG;3	ADV
ابداً	forever	ابداً	forever	PROPN;NOM;MASC;SG;3	
ابداً	영원한	ابداً	영원+하+ㄴ	PROPN;NOM;MASC;SG;3	V
اِبدا	선언	اِبدا	선언	PROPN;NOM;MASC;SG;3	N
اِبداع	혁신	اِبداع	혁신	PROPN;NOM;MASC;SG;3	N
اِبداع	발명	اِبداع	발명	PROPN;NOM;MASC;SG;3	N
اِبداع	생성	اِبداع	생성	PROPN;NOM;MASC;SG;3	N
اِبداع	창조	اِبداع	창조	PROPN;NOM;MASC;SG;3	N
اِبداع	만들기	اِبداع	만들+기	PROPN;NOM;MASC;SG;3	V
اِبدال	바뀌기	اِبدال	바뀌+기	PROPN;NOM;MASC;SG;3	V
اِبدال	변화	اِبدال	변화	PROPN;NOM;MASC;SG;3	N
اِبدال	변경	اِبدال	변경	PROPN;NOM;MASC;SG;3	N
اِبدال	바꾸기	اِبدال	바꾸+기	PROPN;NOM;MASC;SG;3	V
اِبدال	교환	اِبدال	교환	PROPN;NOM;MASC;SG;3	N
اِبدال	교체	اِبدال	교체	PROPN;NOM;MASC;SG;3	N
ابدی	끝없는	ابدی	끝없+는	PROPN;NOM;MASC;SG;3	
ابدی	영원	ابدی	영원	PROPN;NOM;MASC;SG;3	
ابدی	영원한	ابدی	영원+하+ㄴ	PROPN;NOM;MASC;SG;3	V
ابدیّت	영원	ابدیّت	영원	PROPN;NOM;MASC;SG;3	
ابردار	구름	ابردار	구름	PROPN;NOM;MASC;SG;3	N
ابردار	흐린	ابردار	흐리+ㄴ	PROPN;NOM;MASC;SG;3	
ابردار	흐림	ابردار	흐리+ㅁ	PROPN;NOM;MASC;SG;3	V
اِبرا	출시	اِبرا	출시	PROPN;NOM;MASC;SG;3	N
اِبرا	발매	اِبرا	발매	PROPN;NOM;MASC;SG;3	N
اِبرا	릴리스	اِبرا	릴리스	PROPN;NOM;MASC;SG;3	N
اِبرا	릴리즈	اِبرا	릴리즈	PROPN;NOM;MASC;SG;3	
اِبرا	개봉	اِبرا	개봉	PROPN;NOM;MASC;SG;3	N
ابرار	성인인	ابرار	성인인	PROPN;NOM;MASC;SG;3	V
اِبرام	강조	اِبرام	강조	PROPN;NOM;MASC;SG;3	N
اُبرانا	출시	اُبرانا	출시	PROPN;NOM;MASC;SG;3	N
اُبرانا	발매	اُبرانا	발매	PROPN;NOM;MASC;SG;3	N
اُبرانا	릴리스	اُبرانا	릴리스	PROPN;NOM;MASC;SG;3	N
اُبرانا	릴리즈	اُبرانا	릴리즈	PROPN;NOM;MASC;SG;3	
اُبرانا	개봉	اُبرانا	개봉	PROPN;NOM;MASC;SG;3	N
ابرق	미카	ابرق	미카	PROPN;NOM;MASC;SG;3	
ابری	구름	ابری	구름	PROPN;NOM;MASC;SG;3	N
ابری	흐린	ابری	흐리+ㄴ	PROPN;NOM;MASC;SG;3	
ابری	흐림	ابری	흐리+ㅁ	PROPN;NOM;MASC;SG;3	V
ابریشم	명주	ابریشم	명주	PROPN;NOM;MASC;SG;3	
ابریشم	실크	ابریشم	실크로드	PROPN;NOM;MASC;SG;3	
ابریشم	비단	ابریشم	비단	PROPN;NOM;MASC;SG;3	ADV
ابصار	견해	ابصار	견해	PROPN;NOM;MASC;SG;3	
ابصار	조회	ابصار	조회	PROPN;NOM;MASC;SG;3	
ابصار	조회수	ابصار	조회수	PROPN;NOM;MASC;SG;3	PROPN
ابصار	이해	ابصار	이해	PROPN;NOM;MASC;SG;3	N
ابصار	이해하기	ابصار	이해+하+기	PROPN;NOM;MASC;SG;3	V
ابطال	영웅	ابطال	영웅	PROPN;NOM;MASC;SG;3	N
ابطال	히어로	ابطال	히어+로	PROPN;NOM;MASC;SG;3	
ابطال	히어로즈	ابطال	히어로즈	PROPN;NOM;MASC;SG;3	PROPN
اِبطال	반박	اِبطال	반박	PROPN;NOM;MASC;SG;3	N
ابعاد	차원	ابعاد	차원		N
ابعاد	거리	ابعاد	거리		N
اِبقا	보존	اِبقا	보존	PROPN;NOM;MASC;SG;3	N
ابکار	처녀	ابکار	처녀	PROPN;NOM;MASC;SG;3	
اُبکائی	메스꺼움	اُبکائی	메스꺼움	PROPN;NOM;MASC;SG;3	
اُبکائی	구역질	اُبکائی	구역질	PROPN;NOM;MASC;SG;3	N
ابکم	벙어리	ابکم	벙어리	PROPN;NOM;MASC;SG;3	
اُبکنا	추방	اُبک	추방	V;SG;NFIN;ACT	N
اُبکنا	구토	اُبک	구토	V;SG;NFIN;ACT	N
اِبل	낙타	اِبل	낙타		N
ابلا	섬세한	ابلا	섬세+하+ㄴ		V
ابلا	여자	ابلا	여자		N
ابلا	여성	ابلا	여성		N
ابلاپا	약점	ابلاپا	약점	PROPN;NOM;MASC;SG;3	N
اِبلاغ	의사소통	اِبلاغ	의사+소통	PROPN;NOM;MASC;SG;3	N
اِبلاغ	커뮤니케이션	اِبلاغ	커뮤니케이션	PROPN;NOM;MASC;SG;3	N
اِبلاغ	소통	اِبلاغ	소통	PROPN;NOM;MASC;SG;3	N
اِبلاغ	통신	اِبلاغ	통신	PROPN;NOM;MASC;SG;3	N
اِبلاغ	보내기	اِبلاغ	보내+기	PROPN;NOM;MASC;SG;3	V
اِبلاغ	전송	اِبلاغ	전송	PROPN;NOM;MASC;SG;3	N
ابلج	명백하다	ابلج	명백+하+다	PROPN;NOM;MASC;SG;3	V
ابلج	생생	ابلج	생생	PROPN;NOM;MASC;SG;3	
ابلج	생생한	ابلج	생생+하+ㄴ	PROPN;NOM;MASC;SG;3	V
اُبلنا	종기	اُبل	종기	V;MASC;SG;NFIN;ACT	
اُبلنا	상승	اُبل	상승	V;MASC;SG;NFIN;ACT	N
اُبلنا	rise	اُبل	rise	V;MASC;SG;NFIN;ACT	
ابلہ	바보	ابلہ	바보	PROPN;NOM;MASC;SG;3	
ابلہ	멍청이	ابلہ	멍청이	PROPN;NOM;MASC;SG;3	
ابلہ	바보	ابلہ	바보	PROPN;NOM;MASC;SG;3	
ابلہ	멍청한	ابلہ	멍청+하+ㄴ	PROPN;NOM;MASC;SG;3	V
ابلہ	어리석은	ابلہ	어리석+ㄴ	PROPN;NOM;MASC;SG;3	
ابلہ	어리석음	ابلہ	어리석음	PROPN;NOM;MASC;SG;3	
اِبلیس	루시퍼	اِبلیس	루시퍼	PROPN;NOM;MASC;SG;3	
اِبلیس	사탄	اِبلیس	사탄	PROPN;NOM;MASC;SG;3	
اِبن	아들	اِبن	아들		N
ابنا	국민	ابنا	국민	PROPN;NOM;MASC;SG;3	N
ابنا	사람	ابنا	사람	PROPN;NOM;MASC;SG;3	N
ابنا	명인	ابنا	명인	PROPN;NOM;MASC;SG;3	
ابنا	사람들	ابنا	사람+들	PROPN;NOM;MASC;SG;3	N
ابنا	아들들	ابنا	아들+들	PROPN;NOM;MASC;SG;3	N
ابُو	아버지	ابُو	아버지	PROPN;NOM;MASC;SG;3	N
ابوالمنصور	비둘기	ابوالمنصور	비둘기	PROPN;NOM;MASC;SG;3	
ابُّو	아버지	ابُّو	아버지	PROPN;NOM;MASC;SG;3	N
ابُوجھ	어리석은	ابُوجھ	어리석+ㄴ	PROPN;NOM;MASC;SG;3	
ابُوجھ	어리석음	ابُوجھ	어리석음	PROPN;NOM;MASC;SG;3	
اِبہام	불확실	اِبہام	불확실	PROPN;NOM;MASC;SG;3	
اِبہام	불확정성	اِبہام	불확정성	PROPN;NOM;MASC;SG;3	N
اِبہام	엄지손가락	اِبہام	엄지손가락	PROPN;NOM;MASC;SG;3	
اِبہام	엄지	اِبہام	엄+지	PROPN;NOM;MASC;SG;3	
اِبہام	혼란	اِبہام	혼란	PROPN;NOM;MASC;SG;3	N
اِبہام	혼돈	اِبہام	혼돈	PROPN;NOM;MASC;SG;3	N
اِبہام	혼동	اِبہام	혼동	PROPN;NOM;MASC;SG;3	
اِبہام	불확실	اِبہام	불확실	PROPN;NOM;MASC;SG;3	
اِبہام	불확정성	اِبہام	불확정성	PROPN;NOM;MASC;SG;3	N
اِبہام	엄지손가락	اِبہام	엄지손가락	PROPN;NOM;MASC;SG;3	
اِبہام	엄지	اِبہام	엄+지	PROPN;NOM;MASC;SG;3	
اِبہام	혼란	اِبہام	혼란	PROPN;NOM;MASC;SG;3	N
اِبہام	혼돈	اِبہام	혼돈	PROPN;NOM;MASC;SG;3	N
اِبہام	혼동	اِبہام	혼동	PROPN;NOM;MASC;SG;3	
اُبّہت	우월한	اُبّہت	우월+하+ㄴ	PROPN;NOM;MASC;SG;3	V
اُبّہت	우월	اُبّہت	우월	PROPN;NOM;MASC;SG;3	
ابیّ	아버지	ابیّ	아버지	PROPN;NOM;MASC;SG;3	N
ابیض	빛나고	ابیض	빛나+고	PROPN;NOM;MASC;SG;3	V
ابیض	빛나	ابیض	빛나+아	PROPN;NOM;MASC;SG;3	
ابیض	빛나는	ابیض	빛나+는	PROPN;NOM;MASC;SG;3	V
ابیض	하얀	ابیض	하얗+ㄴ	PROPN;NOM;MASC;SG;3	
ابیض	화이트	ابیض	화이트	PROPN;NOM;MASC;SG;3	
ابیض	흰색	ابیض	흰+색	PROPN;NOM;MASC;SG;3	
ابیض	하얀색	ابیض	하얀색	PROPN;NOM;MASC;SG;3	
ابیض	하얗게	ابیض	하얗+게	PROPN;NOM;MASC;SG;3	ADJ
ابیض	밝아	ابیض	밝+아	PROPN;NOM;MASC;SG;3	
ابیض	밝고	ابیض	밝+고	PROPN;NOM;MASC;SG;3	
ابیض	밝은	ابیض	밝+ㄴ	PROPN;NOM;MASC;SG;3	
ابیض	밝게	ابیض	밝+게	PROPN;NOM;MASC;SG;3	
اُبھار	설득	اُبھار	설득	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھار	부어	اُبھار	붓+어	V;PFV;MASC;SG;V.PTCP;ACT	
اُبھار	흥분	اُبھار	흥분	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھار	설득	اُبھار	설득	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھار	부어	اُبھار	붓+어	V;PFV;MASC;SG;V.PTCP;ACT	
اُبھار	흥분	اُبھار	흥분	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھارا	인센티브	اُبھار	인센티브	V;PFV;MASC;SG;V.PTCP;ACT	
اُبھارا	자극	اُبھار	자극	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھارا	동기	اُبھار	동기	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھارا	동기부여	اُبھار	동기부여	V;PFV;MASC;SG;V.PTCP;ACT	
اُبھارا	격려	اُبھار	격려	V;PFV;MASC;SG;V.PTCP;ACT	N
اُبھارنا	설득	اُبھارنا	설득	V;NFIN;ACT	N
اُبھارنا	흥분	اُبھارنا	흥분	V;NFIN;ACT	N
ابھاگ	불행	ابھاگ	불행	PROPN;NOM;MASC;SG;3	
ابھاگ	불행한	ابھاگ	불행+하+ㄴ	PROPN;NOM;MASC;SG;3	V
ابھاگا	불행한	ابھاگا	불행+하+ㄴ	PROPN;NOM;MASC;SG;3	V
ابھاؤ	대량절멸	ابھاؤ	대량절멸	PROPN;NOM;MASC;SG;3	N
ابھاؤ	대멸종	ابھاؤ	대멸종	PROPN;NOM;MASC;SG;3	
ابھاؤ	멸종	ابھاؤ	멸종	PROPN;NOM;MASC;SG;3	N
ابھاؤ	가난	ابھاؤ	가난	PROPN;NOM;MASC;SG;3	
ابھاؤ	빈곤	ابھاؤ	빈곤	PROPN;NOM;MASC;SG;3	N
اُبھرنا	상승	اُبھرنا	상승	V;SG;NFIN;ACT	N
اُبھرنا	rise	اُبھرنا	rise	V;SG;NFIN;ACT	
اُبھرنا	자라	اُبھرنا	자+이+라	V;SG;NFIN;ACT	
ابھک	아주	ابھک	아주		ADV
ابھک	매우	ابھک	매우		ADV
ابھک	많이	ابھک	많이		ADV
ابھک	훨씬	ابھک	훨씬		ADV
ابِھلاشا	욕망	ابِھلاشا	욕망	PROPN;NOM;MASC;SG;3	
ابِھلاشا	욕구	ابِھلاشا	욕구	PROPN;NOM;MASC;SG;3	N
ابِھلاشا	욕망이	ابِھلاشا	욕망+이	PROPN;NOM;MASC;SG;3	
ابِھلاشا	그리움	ابِھلاشا	그립움	PROPN;NOM;MASC;SG;3	
ابِھمان	오만	ابِھمان	오만	PROPN;NOM;MASC;SG;3	
ابِھمان	자존심	ابِھمان	자존심	PROPN;NOM;MASC;SG;3	
ابِھمان	프라이드	ابِھمان	프라이드	PROPN;NOM;MASC;SG;3	
ابِھمانی	자랑	ابِھمانی	자랑	PROPN;NOM;MASC;SG;3	
ابِھمانی	거만	ابِھمانی	거만	PROPN;NOM;MASC;SG;3	
ابِھن	완료	ابِھن	완료	PROPN;NOM;MASC;SG;3	N
ابِھن	완성	ابِھن	완성	PROPN;NOM;MASC;SG;3	N
ابھوگ	쓸모없는	ابھوگ	쓸모없+는	PROPN;NOM;MASC;SG;3	
ابھوگ	쓸데없는	ابھوگ	쓸데없+는	PROPN;NOM;MASC;SG;3	ADJ
ابھی	즉시	ابھی	즉시	PRO;NOM	
ابھی	이제	ابھی	이제	PRO;NOM	
ابھی	지금	ابھی	지금	PRO;NOM	N
ابھی	즉시	ابھی	즉시	PRO;NOM	
ابِھّیاس	명상	ابِھّیاس	명상	PROPN;NOM;MASC;SG;3	N
ابِھّیاس	연습생	ابِھّیاس	연습생	PROPN;NOM;MASC;SG;3	N
ابِھّیاس	연습	ابِھّیاس	연습	PROPN;NOM;MASC;SG;3	N
ابھید	동일한	ابھید	동일+하+ㄴ	PROPN;NOM;MASC;SG;3	V
ابھید	동일	ابھید	동일	PROPN;NOM;MASC;SG;3	
ابھید	동일함	ابھید	동일+하+ㅁ	PROPN;NOM;MASC;SG;3	V
اُپادھیا	선생님	اُپادھیا	선생님	PROPN;NOM;MASC;SG;3	
اُپادھیا	교사	اُپادھیا	교사	PROPN;NOM;MASC;SG;3	N
اُپادھیا	스승	اُپادھیا	스승	PROPN;NOM;MASC;SG;3	N
اپار	인피니트	اپار	인피니트	PROPN;NOM;MASC;SG;3	
اپار	무한	اپار	무하+ㄴ	PROPN;NOM;MASC;SG;3	
اُپاڑنا	파멸	اُپاڑنا	파멸	V;SG;NFIN;ACT	
اُپاڑنا	근절	اُپاڑنا	근절	V;SG;NFIN;ACT	N
اُپاس	빠르다	اُپاس	빠르+다	PROPN;NOM;MASC;SG;3	ADJ
اُپاس	빨라	اُپاس	빠르+아	PROPN;NOM;MASC;SG;3	
اُپاس	빠름	اُپاس	빠르+ㅁ	PROPN;NOM;MASC;SG;3	
اُپاس	금식	اُپاس	금식	PROPN;NOM;MASC;SG;3	
اُپاس	단식	اُپاس	단식	PROPN;NOM;MASC;SG;3	
اُپاس	예배	اُپاس	예배	PROPN;NOM;MASC;SG;3	N
اُپاس	숭배	اُپاس	숭배	PROPN;NOM;MASC;SG;3	N
اُپاس	경배	اُپاس	경배	PROPN;NOM;MASC;SG;3	
اُپاس	굶주림	اُپاس	굶주리+ㄹ	PROPN;NOM;MASC;SG;3	
اُپاس	헝거	اُپاس	헝거	PROPN;NOM;MASC;SG;3	
اُپاس	배고픔	اُپاس	배고픔	PROPN;NOM;MASC;SG;3	
اُپاسا	배고픈	اُپاسا	배고프+ㄴ	PROPN;NOM;MASC;SG;3	V
اُپاسنا	빠르다	اُپاسنا	빠르+다	PROPN;NOM;MASC;SG;3	ADJ
اُپاسنا	빨라	اُپاسنا	빠르+아	PROPN;NOM;MASC;SG;3	
اُپاسنا	빠름	اُپاسنا	빠르+ㅁ	PROPN;NOM;MASC;SG;3	
اُپاسنا	예배	اُپاسنا	예배	PROPN;NOM;MASC;SG;3	N
اُپاسنا	예배	اُپاسنا	예배	PROPN;NOM;MASC;SG;3	N
اُپاسنا	숭배	اُپاسنا	숭배	PROPN;NOM;MASC;SG;3	N
اُپاسنا	경배	اُپاسنا	경배	PROPN;NOM;MASC;SG;3	
اُپائے	스킴	اُپائے	스킴	PROPN;NOM;MASC;SG;3	
اُپائے	배열	اُپائے	배열	PROPN;NOM;MASC;SG;3	N
اُپائے	기기	اُپائے	기기	PROPN;NOM;MASC;SG;3	N
اُپائے	단말기	اُپائے	단말기	PROPN;NOM;MASC;SG;3	N
اُپائے	장치	اُپائے	장치	PROPN;NOM;MASC;SG;3	N
اُپائے	플랜	اُپائے	플랜	PROPN;NOM;MASC;SG;3	
اُپائے	계획	اُپائے	계획	PROPN;NOM;MASC;SG;3	N
اپت	모욕을	اپت	모욕+을		N
اُپٹنا	오버플로	اُپٹ	오버화+로	V;SG;NFIN;ACT	ADV
اُپٹنا	오버플로우	اُپٹ	오버플로우	V;SG;NFIN;ACT	
اپج	사악한	اپج	사악+하+ㄴ		V
اپج	평균	اپج	평균		N
اُپج	혁신	اُپج	혁신		N
اُپج	발명	اُپج	발명		N
اُپج	잘라내기	اُپج	잘라내+기		V
اُپج	농작물	اُپج	농작물		N
اُپج	자르기	اُپج	자르+기		V
اُپدیش	변호사	اُپدیش	변호사	PROPN;NOM;MASC;SG;3	N
اُپدیش	명령어	اُپدیش	명령+어	PROPN;NOM;MASC;SG;3	N
اُپدیش	충고	اُپدیش	충+고	PROPN;NOM;MASC;SG;3	
اُپدیش	조언	اُپدیش	조언	PROPN;NOM;MASC;SG;3	N
اُپدیش	교훈	اُپدیش	교훈	PROPN;NOM;MASC;SG;3	N
اُپدیش	설교	اُپدیش	설교	PROPN;NOM;MASC;SG;3	N
اُپدیشک	충고	اُپدیشک	충+고	PROPN;NOM;MASC;SG;3	
اُپدیشک	설교	اُپدیشک	설교	PROPN;NOM;MASC;SG;3	N
اُپدیشک	설교자	اُپدیشک	설교자	PROPN;NOM;MASC;SG;3	
اُپدیشک	선생님	اُپدیشک	선생님	PROPN;NOM;MASC;SG;3	
اُپدیشک	교사	اُپدیشک	교사	PROPN;NOM;MASC;SG;3	N
اُپدیشک	스승	اُپدیشک	스승	PROPN;NOM;MASC;SG;3	N
اپرادھ	단층	اپرادھ	단층	PROPN;NOM;MASC;SG;3	N
اپرادھ	고소	اپرادھ	고소	PROPN;NOM;MASC;SG;3	
اپرادھ	죄책감	اپرادھ	죄책감	PROPN;NOM;MASC;SG;3	
اپرادھ	범죄	اپرادھ	범죄	PROPN;NOM;MASC;SG;3	N
اپرادھی	유죄	اپرادھی	유죄	PROPN;NOM;MASC;SG;3	N
اپرادھی	죄인	اپرادھی	죄인	PROPN;NOM;MASC;SG;3	
اپرادھی	범죄자	اپرادھی	범죄자	PROPN;NOM;MASC;SG;3	N
اپرادھی	범죄자	اپرادھی	범죄자	PROPN;NOM;MASC;SG;3	N
اُپرالا	외부	اُپرالا	외부	PROPN;NOM;MASC;SG;3	
اُپرالا	도움	اُپرالا	도움	PROPN;NOM;MASC;SG;3	
اُپرالا	도움말	اُپرالا	도움말	PROPN;NOM;MASC;SG;3	
اُپرالا	든든한	اُپرالا	든든하+ㄴ	PROPN;NOM;MASC;SG;3	
اُپرالا	지원	اُپرالا	지원	PROPN;NOM;MASC;SG;3	N
اُپرالا	지지	اُپرالا	지+지	PROPN;NOM;MASC;SG;3	
اُپرالا	후원	اُپرالا	후원	PROPN;NOM;MASC;SG;3	N
اُپرالا	윗쪽	اُپرالا	윗쪽	PROPN;NOM;MASC;SG;3	
اُپرالا	상위	اُپرالا	상위	PROPN;NOM;MASC;SG;3	
اُپرانا	상승	اُپرانا	상승	PROPN;NOM;MASC;SG;3	N
اُپرانا	rise	اُپرانا	rise	PROPN;NOM;MASC;SG;3	
اُپرَوٹا	윗층	اُپرَوٹا	윗층	PROPN;NOM;MASC;SG;3	
اُپرَوٹا	위층	اُپرَوٹا	위층	PROPN;NOM;MASC;SG;3	
اُپرَوٹا	발코니	اُپرَوٹا	발코니	PROPN;NOM;MASC;SG;3	
اپریل	에이프릴	اپریل	에이프릴	PROPN;NOM;MASC;SG;3	
اپریل	사월	اپریل	사월	PROPN;NOM;MASC;SG;3	
اُپکار	친절	اُپکار	친절	PROPN;NOM;MASC;SG;3	N
اپمان	경멸	اپمان	경멸	PROPN;NOM;MASC;SG;3	
اپن	광산	اپن	광산		N
اپنا	개인적	اپنا	개인+적	PRO;NOM;SG;3	N
اپنا	개인적인	اپنا	개인+적+이+ㄴ	PRO;NOM;SG;3	V
اپنا	개인용	اپنا	개인용	PRO;NOM;SG;3	
اپنا	개인	اپنا	개인	PRO;NOM;SG;3	
اپنا	개별	اپنا	개별	PRO;NOM;SG;3	
اپنا	개인	اپنا	개인	PRO;NOM;SG;3	
اپنا	독점	اپنا	독점	PRO;NOM;SG;3	N
اپنا	단독	اپنا	단독	PRO;NOM;SG;3	N
اپنا	파트너	اپنا	파트너	PRO;NOM;SG;3	
اپنا	광산	اپنا	광산	PRO;NOM;SG;3	N
اپنا	상대	اپنا	상대	PRO;NOM;SG;3	N
اپنا	상대적	اپنا	상대+적	PRO;NOM;SG;3	N
اپنا	친척	اپنا	친척	PRO;NOM;SG;3	N
اپنا	소유	اپنا	소유	PRO;NOM;SG;3	
اپنا	개인적	اپنا	개인+적	PRO;NOM;SG;3	N
اپنا	개인적인	اپنا	개인+적+이+ㄴ	PRO;NOM;SG;3	V
اپنا	개인용	اپنا	개인용	PRO;NOM;SG;3	
اپنا	개인	اپنا	개인	PRO;NOM;SG;3	
اپنا	친구	اپنا	친구	PRO;NOM;SG;3	N
اپنا	개별	اپنا	개별	PRO;NOM;SG;3	
اپنا	개인	اپنا	개인	PRO;NOM;SG;3	
اپنا	독점	اپنا	독점	PRO;NOM;SG;3	N
اپنا	단독	اپنا	단독	PRO;NOM;SG;3	N
اپنا	파트너	اپنا	파트너	PRO;NOM;SG;3	
اپنا	광산	اپنا	광산	PRO;NOM;SG;3	N
اپنا	상대	اپنا	상대	PRO;NOM;SG;3	N
اپنا	상대적	اپنا	상대+적	PRO;NOM;SG;3	N
اپنا	친척	اپنا	친척	PRO;NOM;SG;3	N
اپنا	소유	اپنا	소유	PRO;NOM;SG;3	
اپنا	비공개	اپنا	비공개	PRO;NOM;SG;3	N
اپنگ	비활성화	اپنگ	비활+성화		N
اپواد	비난	اپواد	비난	PROPN;NOM;MASC;SG;3	N
اپواد	비난	اپواد	비난	PROPN;NOM;MASC;SG;3	N
اُپواس	빠르다	اُپواس	빠르+다	PROPN;NOM;MASC;SG;3	ADJ
اُپواس	빨라	اُپواس	빠르+아	PROPN;NOM;MASC;SG;3	
اُپواس	빠름	اُپواس	빠르+ㅁ	PROPN;NOM;MASC;SG;3	
اُپواس	굶주림	اُپواس	굶주리+ㄹ	PROPN;NOM;MASC;SG;3	
اُپواس	헝거	اُپواس	헝거	PROPN;NOM;MASC;SG;3	
اُپواس	배고픔	اُپواس	배고픔	PROPN;NOM;MASC;SG;3	
