žagatas	sroki	žagata	srok	N;NOM;FEM;PL	
emīlija	emilia	emīlija	emilia	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
emīlija	emilie	emīlija	emilia	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
emīlija	emily	emīlija	emil	N;NOM;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
komentāri	uwagi	komentārs	uwaga	N;NOM;MASC;PL	N;ACC;FEM;SG
komentāri	komentarzy	komentārs	komentarz	N;NOM;MASC;PL	N;GEN;MASC;PL
capri	capri	capri	capra		
lūgšanas	modlitwie	lūgšana	modlitwa	N;NOM;FEM;PL	N;DAT;FEM;SG
lūgšanas	modlitwy	lūgšana	modlitwa	N;NOM;FEM;PL	N;GEN;FEM;SG
lūgšanas	modlitwę	lūgšana	modlitwa	N;NOM;FEM;PL	N;ACC;FEM;SG
lūgšanas	modlitwa	lūgšana	modlitwa	N;NOM;FEM;PL	N;NOM;FEM;SG
lūgšanas	modlitwa	lūgšana	modlitwa	N;NOM;FEM;PL	N;NOM;FEM;SG
lūgšanas	modlitw	lūgšana	modlitwa	N;NOM;FEM;PL	
lūgšanas	modły	lūgšana	moda	N;NOM;FEM;PL	V;IPFV;MASC;IND;PL;PST;FIN;ACT
lūgšanas	modlitwy	lūgšana	modlitwa	N;NOM;FEM;PL	N;GEN;FEM;SG
bmw	bmw	bmn	bywać	N	
kontinentālā	continental	kontinentāla	continental	ADJ;NOM;FEM;SG	
reforma	reformę	reforma	reforma	N;NOM;FEM;SG	N;ACC;FEM;SG
reforma	reform	reforma	reforma	N;NOM;FEM;SG	
reforma	reformy	reforma	reforma	N;NOM;FEM;SG	N;ACC;FEM;SG
vietējais	lokalnych	vietējs	lokalny	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;PL
vietējais	rdzenni	vietējs	rdzenny	ADJ;NOM;MASC;SG	N;NOM;MASC;PL
vietējais	rodzimy	vietējs	rodzić	ADJ;NOM;MASC;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
prefektūras	prefektur	prefektūra	prefektura	N;NOM;FEM;PL	
melnkalnes	czarnogóry	melnkalne	czarnogóry	N;NOM;FEM;PL	
laboratorija	laboratoryjne	laboratorija	laboratoryjny	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
bari	bari	bars	bari	N;NOM;MASC;PL	PROPN;NOM;MASC;SG
atsauce	referencyjne	atsauce	referencyjny	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
atsauce	odniesienia	atsauce	odnieść	N;NOM;FEM;SG	N;GEN;NEUT;SG
tonijs	tony	tonijs	ton	N;NOM;MASC;SG	
egle	spruce	egle	spruc	PROPN;NOM;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
nekur	nigdzie	nekur	nigdzie	ADV	
titāna	tytanu	titāns	tytan	N;NOM;MASC;SG	N;GEN;MASC;SG
titāna	tytan	titāns	tytan	N;NOM;MASC;SG	
dāmas	panie	dāma	pan	N;NOM;FEM;PL	
publicē	publikowanie	publicēt	publikowanie	V;FH;IND;3;POS;PRS;FIN;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
seguma	chodnik	segums	chodnik	N;GEN;MASC;SG	N;NOM;MASC;SG
lockheed	lockheed	lockheed	lockheed		
apmeklēt	odwiedziny	apmeklēt	odwiedzina	V;POS;NFIN	N;NOM;FEM;SG
apmeklēt	wizyta	apmeklēt	wizyta	V;POS;NFIN	N;NOM;FEM;SG
apmeklēt	wizyty	apmeklēt	wizyta	V;POS;NFIN	N;ACC;FEM;PL
līnis	tench	līnis	tench	N;NOM;MASC;SG	
saimniecība	farma	saimniecība	farma	N;NOM;FEM;SG	
saimniecība	farmie	saimniecība	farma	N;NOM;FEM;SG	N;DAT;FEM;SG
bagāts	rich	bagāts	richy	ADJ;NOM;MASC;SG	
lejas	lej	leja	l	N;NOM;FEM;PL	
lejas	leu	leja	leu	N;NOM;FEM;PL	
lejas	dół	leja	dół	N;NOM;FEM;PL	N;NOM;MASC;SG
lejas	dno	leja	dno	N;NOM;FEM;PL	
lejas	dnie	leja	dzień	N;NOM;FEM;PL	
lejas	dole	leja	dół	N;NOM;FEM;PL	V;PFV;IND;SG;PRS;FIN;ACT
lejas	dolna	leja	dolny	N;NOM;FEM;PL	
sep	sep	sep	sep		
efektīvi	efektywne	efektīvi	efektywny	ADV	ADJ;NOM;NEUT;SG
efektīvi	skuteczne	efektīvi	skuteczny	ADV	ADJ;NOM;NEUT;SG
efektīvi	efektywny	efektīvi	efektywny	ADV	ADJ;NOM;MASC;SG
efektīvi	sprawny	efektīvi	sprawny	ADV	ADJ;NOM;MASC;SG
efektīvi	efektywne	efektīvi	efektywny	ADV	ADJ;NOM;NEUT;SG
efektīvi	skuteczny	efektīvi	skuteczny	ADV	ADJ;NOM;MASC;SG
efektīvi	efektywna	efektīvi	efektywny	ADV	ADJ;NOM;FEM;SG
efektīvi	efektywny	efektīvi	efektywny	ADV	ADJ;NOM;MASC;SG
efektīvi	skuteczne	efektīvi	skuteczny	ADV	ADJ;NOM;NEUT;SG
strādnieki	pracowników	strādnieks	pracownik	N;NOM;MASC;PL	N;ACC;MASC;PL
otavas	ottawa	otava	ottawy	N;NOM;FEM;PL	N;NOM;MASC;SG
irbes	kuropatwy	irbes	kuropatwa	N;NOM;FEM;PL	
apakškārtas	podrząd	apakškārta	podrząd	N;NOM;FEM;PL	V;IPFV;IND;SG;PST;FIN;ACT
lidojumi	lotów	lidojums	lot	N;NOM;MASC;PL	N;GEN;MASC;PL
frekvence	częstotliwości	frekvence	częstotliwość	N;NOM;FEM;SG	N;GEN;FEM;SG
labāka	lepiej	laba	dobrze	ADJ;NOM;CMPR;FEM;SG	ADV;CMPR
parādīšanās	powstanie	parādīšanās	powstać	N;NOM;FEM;SG	
tilti	mostów	tilti	most	N;NOM;MASC;PL	N;GEN;MASC;PL
darbinieka	pracownik	darbinieks	pracownik	N;GEN;MASC;SG	N;NOM;MASC;SG
darbinieka	pracownika	darbinieks	pracownik	N;GEN;MASC;SG	N;ACC;MASC;SG
tekstus	teksty	teksts	tekst	N;ACC;MASC;PL	N;NOM;MASC;PL
dzimtenes	ojczyzna	dzimtene	ojczyzna	N;NOM;FEM;PL	N;NOM;FEM;SG
dzimtenes	ojczyzny	dzimtene	ojczyzna	N;NOM;FEM;PL	N;GEN;FEM;SG
ļevs	lew	ļevs	lew	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
paraksta	podpis	paraksts	podpis	N;GEN;MASC;SG	N;ACC;MASC;SG
johannes	johannes	johanne	johanny	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
western	zachodnia	westerne	zachodni		
western	zachodni	westerne	zachodni		N;NOM;MASC;SG
western	zachodnie	westerne	zachodnie		ADJ;NOM;NEUT;SG
western	western	westerne	western		
kopīgs	udostępnił	kopīgs	udostępnić	ADJ;NOM;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
twitter	twitter	twitter	twitter	N	V;IPFV;IMP;SG;2;FIN;ACT
twitter	twitterze	twitter	twitter	N	
licence	licencje	licence	licencja	N;NOM;FEM;SG	N;NOM;FEM;PL
licence	licencji	licence	licencja	N;NOM;FEM;SG	N;GEN;FEM;SG
licence	licencji	licence	licencja	N;NOM;FEM;SG	N;GEN;FEM;SG
licence	licencje	licence	licencja	N;NOM;FEM;SG	N;NOM;FEM;PL
vēlams	najchętniej	vēlams	chętnie	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV;RL
vēlams	najlepiej	vēlams	dobrze	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV;RL
vēlams	pożądane	vēlams	pożądać	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG
vēlams	pożądany	vēlams	pożądać	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;MASC;SG
aitu	owcy	aita	owca	N;ACC;MASC;SG	N;GEN;FEM;SG
aitu	owca	aita	owca	N;ACC;MASC;SG	N;NOM;FEM;SG
aitu	owiec	aita	owiec	N;ACC;MASC;SG	
aitu	owce	aita	owca	N;ACC;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
paplašināt	powiększenie	paplašināt	powiększyć	V;POS;NFIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
model	wzór	model	wzór		N;NOM;MASC;SG
model	model	model	model		N;NOM;MASC;SG
model	modelka	model	modelka		N;NOM;FEM;SG
izdevumus	koszty	izdevumi	koszt	N;ACC;MASC	N;NOM;MASC;PL
izdevumus	wydatki	izdevumi	wydatek	N;ACC;MASC	N;NOM;MASC;PL
fēru	owczych	fēra	owczy	N;ACC;MASC;SG	
meklēja	poszukiwana	meklēt	poszukiwać	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
piegādes	dostawa	piegāde	dostawa	N;NOM;FEM;PL	
piegādes	przesyłka	piegāde	przesyłkać	N;NOM;FEM;PL	N;NOM;FEM;SG
piegādes	dostarczanie	piegāde	dostarczać	N;NOM;FEM;PL	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
piegādes	dostawy	piegāde	dostawa	N;NOM;FEM;PL	N;ACC;MASC;SG
piegādes	dostawy	piegāde	dostawa	N;NOM;FEM;PL	N;ACC;MASC;SG
piegādes	zaopatrzenie	piegāde	zaopatrzenie	N;NOM;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
piegādes	dostawy	piegāde	dostawa	N;NOM;FEM;PL	N;ACC;MASC;SG
piegādes	przesyłki	piegāde	przesyłka	N;NOM;FEM;PL	N;ACC;FEM;PL
piegādes	dostaw	piegāde	dostawa	N;NOM;FEM;PL	
maksāja	płatny	maksāt	płatny	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;SG
maksāja	płatne	maksāt	płatny	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;NEUT;SG
iesaistīts	zaangażowane	iesaistīt	zaangażowany	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
iesaistīts	zaangażowana	iesaistīt	zaangażować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
iesaistīts	zaangażowany	iesaistīt	zaangażować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
skābes	kwas	skābe	kwas	N;NOM;FEM;PL	N;NOM;MASC;SG
skābes	kwasów	skābe	kwas	N;NOM;FEM;PL	N;GEN;MASC;PL
sibīriju	syberii	sibīrija	syberia	N;ACC;FEM;SG	N;GEN;FEM;SG
jebkad	kiedykolwiek	jebkad	kiedykolwiek		ADV
garoza	kora	garozs	kora	N;NOM;FEM;SG	
garoza	korze	garozs	korze	N;NOM;FEM;SG	N;DAT;FEM;SG
iniciatīvu	inicjatywa	iniciatīva	inicjatywa	ADJ;ACC;MASC;SG	N;NOM;FEM;SG
iniciatīvu	inicjatywy	iniciatīva	inicjatywa	ADJ;ACC;MASC;SG	N;GEN;FEM;SG
espn	espn	espn	espn		PROPN;NOM;MASC;SG
redzamais	widoczna	redzēt	widoczny	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;FEM;SG
redzamais	widoczny	redzēt	widoczny	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;MASC;SG
redzamais	widoczne	redzēt	widoczny	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG
kurzeme	kurlandia	kurzeme	kurlandia	PROPN;NOM;FEM;SG	
sliedes	ścieżki	sliede	ścieżka	N;NOM;FEM;PL	N;ACC;FEM;PL
sliedes	kolei	sliede	kolej	N;NOM;FEM;PL	
sliedes	kolej	sliede	kolej	N;NOM;FEM;PL	N;NOM;FEM;SG
sliedes	szyny	sliede	szyna	N;NOM;FEM;PL	N;ACC;FEM;SG
sliedes	szyn	sliede	szyn	N;NOM;FEM;PL	
sliedes	szyny	sliede	szyna	N;NOM;FEM;PL	N;ACC;FEM;SG
emma	emma	emma	emma	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
atkārtots	powtarza	atkārtot	powtarzać	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
beļģu	belgijski	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;MASC;SG
beļģu	belgijskie	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;NEUT;SG
ralfs	ralf	ralfs	ralf	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ralfs	ralph	ralfs	ralph	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ein	en	ein	en		
ein	ein	ein	ein		
tiesnešu	sędziów	tiesnesis	sędzia	N;GEN;MASC;PL	N;ACC;MASC;PL
tiesnešu	sędziowie	tiesnesis	sędzia	N;GEN;MASC;PL	N;NOM;MASC;PL
izvirzīts	nominowany	izvirzīt	nominować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
zvejas	ryby	zveja	ryba	N;NOM;FEM;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
zvejas	połowów	zveja	połowy	N;NOM;FEM;PL	N;GEN;MASC;PL
zvejas	połowy	zveja	połowa	N;NOM;FEM;PL	N;ACC;FEM;SG
zvejas	rybołówstwo	zveja	rybołówstwo	N;NOM;FEM;PL	N;NOM;NEUT;SG
martina	martina	martināt	martina	N;NOM;FEM;SG	
martina	martyna	martināt	martyna	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
torps	thorpe	torps	thorp	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
septītā	siódmego	septīt	siódmy	ADJ;NOM;FEM;SG	N;GEN;MASC;SG
septītā	siódmej	septīt	siódmy	ADJ;NOM;FEM;SG	ADJ;GEN;FEM;SG
septītā	siódme	septīt	siódmy	ADJ;NOM;FEM;SG	
algoritms	algorytm	algoritms	algoryt	N;NOM;MASC;SG	N;ACC;MASC;SG
algoritms	algorytmu	algoritms	algorytm	N;NOM;MASC;SG	N;GEN;MASC;SG
bij	dawniej	būt	dawno	V;FH;IND;3;POS;PST;FIN;ACT	ADV;CMPR
atbildi	odpowiedz	atbilde	odpowiedzieć	N;ACC;FEM;SG	
atbildi	odpowiedź	atbilde	odpowiedź	N;ACC;FEM;SG	N;NOM;FEM;SG
atbildi	odpowiedz	atbilde	odpowiedzieć	N;ACC;FEM;SG	
atbildi	odpowiedź	atbilde	odpowiedź	N;ACC;FEM;SG	N;NOM;FEM;SG
precizitāti	dokładność	precizitāte	dokładność	N;ACC;FEM;SG	N;NOM;FEM;SG
precizitāti	dokładności	precizitāte	dokładność	N;ACC;FEM;SG	N;GEN;FEM;SG
asinīm	krwi	asins	krew	N;DAT;FEM;PL	
asinīm	blood	asins	blood	N;DAT;FEM;PL	
asinīm	krew	asins	krew	N;DAT;FEM;PL	N;NOM;FEM;SG
pavasaris	wiosenny	pavasaris	wiosenny	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
pavasaris	spring	pavasaris	spring	N;NOM;MASC;SG	
pavasaris	wiosny	pavasaris	wiosna	N;NOM;MASC;SG	N;ACC;FEM;SG
pavasaris	wiosna	pavasaris	wiosna	N;NOM;MASC;SG	
gabalu	gruby	gabals	gruby	N;ACC;MASC;SG	
gatavo	skończony	gatavot	skończyć	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gatavo	zakończone	gatavot	zakończyć	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gatavo	skończone	gatavot	skończyć	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
visam	wszystko	viss	wszystko	PRO;DAT;MASC;SG	PRO;NOM;NEUT;SG
bīskapi	biskupów	bīskaps	biskup	N;NOM;MASC;PL	N;GEN;MASC;PL
fasādes	fasadą	fasāde	fasada	N;NOM;FEM;PL	N;INS;FEM;SG
fasādes	fasadą	fasāde	fasada	N;NOM;FEM;PL	N;INS;FEM;SG
fasādes	fasady	fasāde	fasada	N;NOM;FEM;PL	N;ACC;FEM;PL
konvencija	konwencje	konvencija	konwencja	N;NOM;FEM;SG	N;NOM;FEM;PL
konvencija	konwencji	konvencija	konwencja	N;NOM;FEM;SG	N;GEN;FEM;SG
portu	porto	ports	porto	N;ACC;MASC;SG	PROPN;NOM;MASC;SG
portu	portu	ports	port	N;ACC;MASC;SG	N;GEN;MASC;SG
portu	port	ports	port	N;ACC;MASC;SG	
frankfurtes	frankfurt	frankfurte	frankfurt	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
lietojums	użyć	lietojums	użyć	N;NOM;MASC;SG	V;PFV;NFIN;ACT
lietojums	użyj	lietojums	użyj	N;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
sarežģīta	kompleks	sarežģīta	kompleks	ADJ;NOM;FEM;SG	N;ACC;MASC;SG
sarežģīta	trudne	sarežģīta	trudny	ADJ;NOM;FEM;SG	
dīķi	stawy	dīķis	stawa	N;ACC;MASC;SG	N;NOM;MASC;PL
dīķi	stawów	dīķis	staw	N;ACC;MASC;SG	N;GEN;MASC;PL
dīķi	staw	dīķis	staw	N;ACC;MASC;SG	N;NOM;MASC;SG
dīķi	stawu	dīķis	staw	N;ACC;MASC;SG	N;GEN;MASC;SG
sabiedriski	towarzyski	sabiedriski	towarzyski	ADV	ADJ;NOM;MASC;SG
sabiedriski	towarzyska	sabiedriski	towarzyski	ADV	ADJ;NOM;FEM;SG
dzīvība	zycie	dzīvība	zyt	N;NOM;FEM;SG	V;IPFV;IND;SG;1;FIN;ACT
dzīvība	life	dzīvība	lifa	N;NOM;FEM;SG	
dzīvība	życia	dzīvība	życie	N;NOM;FEM;SG	N;GEN;NEUT;SG
celulozes	celuloza	celuloze	celuloz	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
celulozes	celulozy	celuloze	celuliza	N;NOM;FEM;PL	N;GEN;MASC;SG
atm	atm	ats	atm		
atm	bankomat	ats	bankomat		N;NOM;MASC;SG
smaga	heavy	smaga	heav	ADJ;NOM;FEM;SG	
luksemburga	luksemburgu	luksemburga	luksemburg	N;NOM;FEM;SG	N;GEN;MASC;SG
luksemburga	luksemburga	luksemburga	luksemburga	N;NOM;FEM;SG	N;GEN;MASC;SG
zīmogs	znaczek	zīmogs	znaczek	N;NOM;MASC;SG	N;ACC;MASC;SG
atdalīts	rozdzielone	atdalīt	rozdzielić	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
atdalīts	oddzielone	atdalīt	oddzielić	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
andra	andra	andrs	andra	PROPN;NOM;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
plaknes	samolotem	plakne	samolot	N;NOM;FEM;PL	N;INS;MASC;SG
plaknes	samolot	plakne	samolot	N;NOM;FEM;PL	N;NOM;MASC;SG
plaknes	płaszczyzna	plakne	płaszczyzna	N;NOM;FEM;PL	N;NOM;FEM;SG
plaknes	samolotów	plakne	samolot	N;NOM;FEM;PL	N;GEN;MASC;PL
plaknes	płaszczyzny	plakne	płaszczyzna	N;NOM;FEM;PL	N;ACC;FEM;PL
tradicionālā	tradycyjnie	tradicionāla	tradycyjnie	ADJ;NOM;FEM;SG	ADV
tradicionālā	tradycja	tradicionāla	tradycja	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
tradicionālā	tradycyjnych	tradicionāla	tradycyjny	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;PL
nedēļa	tygodnia	nedēļa	tydzień	N;NOM;FEM;SG	N;GEN;MASC;SG
nedēļa	tygodniu	nedēļa	tydzień	N;NOM;FEM;SG	N;GEN;MASC;SG
nasdaq	nasdaq	nasda	nasdaq	N;NOM;FEM;SG	PROPN;NOM;MASC;SG
wnba	wnba	wnba	wnba	N;NOM;FEM;SG	
verdi	verdi	verds	verdi	PROPN	
saistības	zobowiązań	saistība	zobowiązanie	N;NOM;FEM;PL	N;GEN;NEUT;PL
saistības	zobowiązań	saistība	zobowiązanie	N;NOM;FEM;PL	N;GEN;NEUT;PL
saistības	zaangażowanie	saistība	zaangażowanie	N;NOM;FEM;PL	N;NOM;NEUT;SG
saistības	zobowiązanie	saistība	zobowiązanie	N;NOM;FEM;PL	N;NOM;NEUT;SG
klātbūtni	obecność	klātbūtne	obecność	N;ACC;FEM;SG	N;NOM;FEM;SG
klātbūtni	występowanie	klātbūtne	występowanie	N;ACC;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
upuriem	ofiarami	upuris	ofiara	N;DAT;MASC;PL	N;INS;FEM;PL
upuriem	ofiar	upuris	ofiara	N;DAT;MASC;PL	
upuriem	ofiary	upuris	ofiara	N;DAT;MASC;PL	N;NOM;FEM;PL
kolēģijas	uczelnie	kolēģija	uczelnie	N;NOM;FEM;PL	N;NOM;FEM;SG
kolēģijas	uczelnia	kolēģija	uczelniać	N;NOM;FEM;PL	N;NOM;FEM;SG
kolēģijas	college	kolēģija	collega	N;NOM;FEM;PL	N;NOM;MASC;SG
kolēģijas	kolegium	kolēģija	kolegium	N;NOM;FEM;PL	N;NOM;NEUT;SG
parādīt	pokaz	parādīt	pokaz	V;POS;NFIN	N;NOM;MASC;SG
ministre	ministrze	ministre	minister	N;NOM;FEM;SG	
ministre	ministrowie	ministre	minister	N;NOM;FEM;SG	N;NOM;MASC;PL
pārveidots	zmodyfikowane	pārveidot	zmodyfikować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pārveidots	zmienione	pārveidot	zmienić	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pārveidots	zmodyfikowany	pārveidot	zmodyfikować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pārveidots	modyfikowane	pārveidot	modyfikować	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pārveidots	zmieniony	pārveidot	zmienić	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
īpatņiem	okazy	īpatnis	okaz	N;DAT;MASC;PL	N;NOM;MASC;PL
īpatņiem	okazów	īpatnis	okaz	N;DAT;MASC;PL	N;GEN;MASC;PL
osaka	osaki	osacīt	osak	PROPN;NOM;FEM;SG	
parametru	parametr	parametrs	parametr	N;ACC;MASC;SG	N;NOM;MASC;SG
parametru	parametry	parametrs	parametra	N;ACC;MASC;SG	N;NOM;MASC;PL
pomerānijas	pomorskie	pomerānija	pomorski	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
pomerānijas	pomorza	pomerānija	pomorze	N;NOM;FEM;PL	
