מהות	esencie	מהות	esencia	N;FEM;SG	N;NOM;FEM;PL
גיברלטר	gibraltár	גיברלטר	gibraltár	PROPN	N;NOM;MASC;SG
היחסות	relativity	היחסות	relativita	N;FEM;SG	N;NOM;FEM;PL
אזכור	zmieniť	אזכור	zmieniť	N;MASC;SG	V;PFV;POS;NFIN
אזכור	spomenúť	אזכור	spomenúť	N;MASC;SG	V;PFV;POS;NFIN
רבנו	bojovali	רב	bojovať	PROPN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
רבנו	bojovala	רב	bojovať	PROPN	V;IPFV;FEM;SG;POS;PST;V.PTCP
רבנו	bojoval	רב	bojovať	PROPN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
לשבור	break	שבר	break	V;NFIN;ACT	N;INAN;NOM;MASC;SG
לשבור	zlom	שבר	zlom	V;NFIN;ACT	N;INS;NEUT;SG
לשבור	prestávka	שבר	prestávka	V;NFIN;ACT	N;NOM;FEM;SG
פדרו	pedro	פדר	pedro	PROPN	PROPN;ANIM;NOM;MASC;SG
היוצא	odchádzajúce	היוצא	odchádzajúci		ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
נאור	osvietený	נאור	osvietený	PROPN	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
הקדמה	zavedenie	הקדמה	zavedenie	PROPN	N;NOM;NEUT;SG
הקדמה	úvod	הקדמה	úvod	PROPN	N;INAN;NOM;MASC;SG
הקדמה	pokrok	הקדמה	pokrok	PROPN	N;INAN;NOM;MASC;SG
הקדמה	progress	הקדמה	progress	PROPN	INTJ
הקדמה	napredovanie	הקדמה	napredovanie	PROPN	N;NOM;NEUT;SG
הקדמה	priebeh	הקדמה	priebeh	PROPN	N;INAN;NOM;MASC;SG
הקדמה	úvodnú	הקדמה	úvodný	PROPN	N;ACC;FEM;SG
הקדמה	intro	הקדמה	intro	PROPN	N;INAN;NOM;MASC;SG
הקדמה	úvod	הקדמה	úvod	PROPN	N;INAN;NOM;MASC;SG
הקדמה	predohra	הקדמה	predohra	PROPN	N;NOM;FEM;SG
טקסי	taxi	טקס	taxi	N;PSSD;MASC;PL	N;INAN;NOM;MASC;SG
טקסי	taxíkom	טקס	taxík	N;PSSD;MASC;PL	N;INAN;INS;MASC;SG
טקסי	taxík	טקס	taxík	N;PSSD;MASC;PL	N;INAN;NOM;MASC;SG
טקסי	obradné	טקס	obradný	N;PSSD;MASC;PL	ADJ;NOM;NEUT;SG
בשלום	bezpečne	בשלום	bezpečne	PROPN	ADV
בטא	beta	בטא	bet	PROPN	N;NOM;FEM;SG
הפיל	slon	הפיל	slon	PROPN	N;ANIM;NOM;MASC;SG
הפיל	slona	הפיל	slona	PROPN	N;ANIM;NOM;MASC;SG
הואשם	obvinená	הואשם	obvinený	V;MASC;SG;3;PST;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
הואשם	obvinený	הואשם	obvinený	V;MASC;SG;3;PST;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
הואשם	obvinili	הואשם	obviniť	V;MASC;SG;3;PST;PASS	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
הואשם	obvinených	הואשם	obvinený	V;MASC;SG;3;PST;PASS	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
ליאו	lea	ליאו	lea	PROPN	PROPN;NOM;FEM;SG
ליאו	lev	ליאו	lev	PROPN	N;ANIM;NOM;MASC;SG
ליאו	leo	ליאו	leo	PROPN	PROPN;ANIM;NOM;MASC;SG
דורי	dory	דורי	dory	PROPN	PROPN;NOM;FEM;SG
מאור	maor	מאור	maor	PROPN	PROPN;ANIM;NOM;MASC;SG
אורות	svetlá	אור	svetlo		N;NOM;NEUT;PL
עשורים	desaťročí	עשור	desaťročie	N;MASC;PL	N;NOM;NEUT;SG
צפייה	prezerať	צפייה	prezerať	N;FEM;SG	V;IPFV;POS;NFIN
צפייה	zobraziť	צפייה	zobraziť	N;FEM;SG	V;PFV;POS;NFIN
צפייה	pozerá	צפייה	pozerať	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
צפייה	pozerať	צפייה	pozerať	N;FEM;SG	V;IPFV;POS;NFIN
צפייה	pozerám	צפייה	pozerať	N;FEM;SG	V;IPFV;IND;SG;1;POS;PRS;FIN
מלאים	plné	מלא	plný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
מלאים	plná	מלא	plný	ADJ;MASC;PL	ADJ;NOM;FEM;SG
מלאים	plnú	מלא	plný	ADJ;MASC;PL	N;ACC;FEM;SG
מלאים	full	מלא	full	ADJ;MASC;PL	
מלאים	plný	מלא	plný	ADJ;MASC;PL	N;INAN;NOM;MASC;SG
מחכה	čakanie	חיכה	čakanie	V;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
מחכה	čaká	חיכה	čakať	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
מחכה	čakám	חיכה	čakať	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;1;POS;PRS;FIN
שלחו	pošli	שלח	poslať	V;PL;3;PST	V;PFV;IMP;SG;2;POS;FIN
שלחו	poslať	שלח	poslať	V;PL;3;PST	V;PFV;IMP;2;POS;NFIN
אשם	vinný	אשם	vinný		ADJ;ANIM;NOM;MASC;SG
אשם	vinná	אשם	vinný		ADJ;NOM;FEM;SG
הצלה	záchranné	הצלה	záchranný	N;FEM;SG	ADJ;NOM;NEUT;SG
הצלה	zachrániť	הצלה	zachrániť	N;FEM;SG	V;PFV;POS;NFIN
הצלה	záchranná	הצלה	záchranný	N;FEM;SG	ADJ;NOM;FEM;SG
מדויקים	presná	מדויק	presný	ADJ;MASC;PL	ADJ;NOM;FEM;SG
מדויקים	presný	מדויק	presný	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG
מדויקים	presné	מדויק	presný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
המכילים	obsahujúce	המכיל	obsahujúci	N;MASC;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
המכילים	obsahujúca	המכיל	obsahujúci	N;MASC;PL	ADJ;NOM;FEM;SG;POS;V.PTCP;ACT
המכילים	obsahujúci	המכיל	obsahujúci	N;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
ארמסטרונג	armstrong	ארמסטרונג	armstrong	PROPN	PROPN;ANIM;NOM;MASC;SG
ספרטה	spartan	ספרטה	spartan	PROPN	N;INAN;NOM;MASC;SG
ספרטה	sparta	ספרטה	spart	PROPN	N;NOM;FEM;SG
מבוגר	dospelých	מבוגר	dospelý	ADJ;MASC;SG	N;ANIM;GEN;MASC;PL
מבוגר	dospelí	מבוגר	dospeliť	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;PL
עבה	hrubý	עבה	hrubý		ADJ;ANIM;NOM;MASC;SG
עבה	hustá	עבה	hustý		ADJ;NOM;FEM;SG
עבה	husté	עבה	hustý		ADJ;NOM;NEUT;SG
עבה	hrubé	עבה	hrubý		ADJ;NOM;NEUT;SG
עבה	hrubá	עבה	hrubý		ADJ;NOM;FEM;SG
ביצה	vajíčko	ביצה	vajíčko	PROPN	N;NOM;NEUT;SG
ביצה	vajca	ביצה	vajce	PROPN	N;NOM;NEUT;SG
ביצה	vajce	ביצה	vajce	PROPN	N;NOM;NEUT;SG
קולורדו	colorado	קולורדו	colorado	PROPN	N;ANIM;NOM;MASC;SG
אתמול	vcera	אתמול	vcera	ADV	INTJ
התנגשות	zrážky	התנגשות	zrážok	N;FEM;SG	N;NOM;FEM;PL
התנגשות	clash	התנגשות	clash	N;FEM;SG	
הלחם	chleba	הלחם	chlieb		N;INAN;GEN;MASC;SG
הלחם	chlebík	הלחם	chlebík		N;INAN;NOM;MASC;SG
הלחם	chlieb	הלחם	chlieb		N;INAN;NOM;MASC;SG
איסלנד	island	איסלנד	island	PROPN	N;ANIM;NOM;MASC;SG
בובי	bobbyho	בובי	bobby	PROPN	N;ANIM;ACC;MASC;SG
בובי	bobby	בובי	bobba	PROPN	N;ANIM;NOM;MASC;SG
סליחה	prepáčte	סליחה	prepáčiť	PROPN	V;PFV;IMP;PL;2;POS;FIN
סליחה	prepac	סליחה	prepac	PROPN	INTJ
סליחה	prepáč	סליחה	prepáčiť	PROPN	V;PFV;IMP;SG;2;POS;FIN
אריסטו	aristoteles	אריסטו	aristoteles	PROPN	N;ANIM;NOM;MASC;SG
המשלוח	zásielky	המשלוח	zásielka	N;MASC;SG	N;NOM;FEM;PL
פורמלי	formálne	פורמאלי	formálne	ADJ;MASC;SG	ADV
דולב	skorocel	דולב	skorocieť	PROPN	N;INAN;NOM;MASC;SG
סיפון	paluby	סיפון	paluba	N;MASC;SG	N;NOM;FEM;PL
בכר	bakr	בכר	bakr	PROPN	N;ANIM;NOM;MASC;SG
הגיל	age	הגיל	age	ADV	PROPN;NOM;MASC;SG
הגיל	veku	הגיל	vek	ADV	N;INAN;GEN;MASC;SG
הגיל	vek	הגיל	vek	ADV	N;INAN;NOM;MASC;SG
טק	tec	טק	tec		
טק	tech	טק	tech		
בצמוד	susedné	בצמוד	susedný		ADJ;NOM;NEUT;SG
בצמוד	priľahlých	בצמוד	priľahlý		ADJ;GEN;MASC;PL
בצמוד	susediace	בצמוד	susediaci		ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
תומפסון	thompson	תומפסון	thompson	PROPN	PROPN;ANIM;NOM;MASC;SG
שלד	skeletu	שלד	skelet	PROPN	N;INAN;GEN;MASC;SG
שלד	kostra	שלד	kostra	PROPN	N;NOM;FEM;SG
שלד	kostry	שלד	kostra	PROPN	N;NOM;FEM;PL
שלד	kostru	שלד	kostra	PROPN	N;ACC;FEM;SG
כותבת	napíše	כתב	napísať	V;FEM;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;POS;FIN
כותבת	píše	כתב	písať	V;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
כותבת	písanie	כתב	písanie	V;FEM;SG;V.PTCP;ACT	N;NOM;NEUT;SG
פרננדו	fernando	פרננדו	fernando	PROPN	PROPN;ANIM;NOM;MASC;SG
גויס	naverboval	גויס	naverbovať	PROPN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
נורמן	norman	נורמן	norman	PROPN	N;NOM;FEM;SG
פור	popredia	פור	popredie		N;NOM;NEUT;PL
מוקשים	bane	מקשה	baňa	V;MASC;PL;V.PTCP;PASS	N;NOM;FEM;PL
מוקשים	baní	מקשה	baňa	V;MASC;PL;V.PTCP;PASS	N;GEN;FEM;PL
מוקשים	míny	מקשה	mína	V;MASC;PL;V.PTCP;PASS	N;NOM;FEM;PL
חסד	zľutovanie	חסד	zľutovanie		N;NOM;NEUT;SG
חסד	milosrdenstvo	חסד	milosrdenstvo		N;NOM;NEUT;SG
חסד	milosť	חסד	milosť		N;NOM;FEM;SG
חסד	láskavosť	חסד	láskavosť		N;NOM;FEM;SG
חסד	pôvab	חסד	pôvab		N;INAN;NOM;MASC;SG
חסד	grace	חסד	grace		PROPN;NOM;FEM;SG
חסד	milosti	חסד	milosť		N;NOM;FEM;PL
חסד	milosť	חסד	milosť		N;NOM;FEM;SG
הולמס	holmes	הולמס	holmes	PROPN	PROPN;NOM;FEM;SG
גולדשטיין	goldstein	גולדשטיין	goldsteina	PROPN	PROPN;ANIM;NOM;MASC;SG
קיצוניים	extrémistov	קיצוני	extrémista	ADJ;MASC;PL	N;ANIM;ACC;MASC;PL
מליון	miliónov	מליון	milión	N;MASC;SG	NUM;INAN;GEN;MASC;PL
מליון	milióna	מליון	milióna	N;MASC;SG	NUM;NOM;MASC;SG
מליון	milión	מליון	milión	N;MASC;SG	NUM;NOM;NEUT;SG
מליון	milióny	מליון	milión	N;MASC;SG	N;INAN;NOM;MASC;PL
אתגר	vyzvať	אתגר	vyzvať	N;MASC;SG	V;PFV;POS;NFIN
נערים	boys	נער	boys	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG
החשבון	účtom	החשבון	účet	PROPN	N;INAN;INS;MASC;SG
החשבון	konto	החשבון	konto	PROPN	N;NOM;NEUT;SG
החשבון	ucet	החשבון	ucet	PROPN	INTJ
החשבון	účet	החשבון	účet	PROPN	N;INAN;NOM;MASC;SG
החשבון	účte	החשבון	účiť	PROPN	N;INAN;NOM;MASC;SG
במעט	mierne	במעט	mierne		ADV
במעט	nepatrne	במעט	nepatrne		ADV
הדוק	silno	הדוק	silno	ADJ;MASC;SG	ADV
הדוק	pevne	הדוק	pevne	ADJ;MASC;SG	ADV
צריכת	spotreby	צריך	spotreby	N;FEM;SG	N;NOM;FEM;PL
לותר	lothar	ויתר	lothar	PROPN	N;ANIM;NOM;MASC;SG
לותר	luther	ויתר	luther	PROPN	N;ANIM;NOM;MASC;SG
לותר	luthor	ויתר	luthor	PROPN	N;ANIM;NOM;MASC;SG
לחזית	front	לחזית	front	ADV	N;INAN;NOM;MASC;SG
לחזית	predné	לחזית	predný	ADV	ADJ;NOM;NEUT;SG
לחזית	predný	לחזית	predný	ADV	ADJ;INAN;NOM;MASC;SG
לחזית	predná	לחזית	predný	ADV	ADJ;NOM;FEM;SG
ליף	leif	ליף	leif	PROPN	PROPN;ANIM;NOM;MASC;SG
אוסטרי	rakúska	אוסטרי	rakúska	PROPN	N;NOM;FEM;SG
אוסטרי	rakúsky	אוסטרי	rakúska	PROPN	N;ANIM;NOM;MASC;SG
אוסטרי	rakúske	אוסטרי	rakúska	PROPN	N;NOM;FEM;PL
אוסטרי	austrian	אוסטרי	austrian	PROPN	INTJ
המחיר	price	המחיר	prica	V;MASC;SG;3;PST;ACT	PROPN;ANIM;NOM;MASC;SG
המחיר	cena	המחיר	cena	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
המחיר	cene	המחיר	cena	V;MASC;SG;3;PST;ACT	N;DAT;FEM;SG
פרסומת	komerčné	פרסומת	komerčný	N;FEM;SG	ADJ;NOM;NEUT;SG
פרסומת	obchodný	פרסומת	obchodný	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
פרסומת	obchodná	פרסומת	obchodný	N;FEM;SG	ADJ;NOM;FEM;SG
פרסומת	komerčný	פרסומת	komerčný	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
פרסומת	obchodné	פרסומת	obchodný	N;FEM;SG	ADJ;NOM;NEUT;SG
חלשה	slabý	חלש	slabý	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
חלשה	slabá	חלש	slabý	N;FEM;SG	ADJ;NOM;FEM;SG
חלשה	slabé	חלש	slabý	N;FEM;SG	ADJ;NOM;NEUT;SG
חלשה	slabí	חלש	slabý	N;FEM;SG	ADJ;ANIM;NOM;MASC;PL
סערה	storm	סערה	storý	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
מנגן	prehráva	מנגן	prehráva	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
מנגן	hrá	מנגן	hrať	N;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
מנגן	hrať	מנגן	hrať	N;MASC;SG	V;IPFV;POS;NFIN
מנגן	hrajú	מנגן	hrať	N;MASC;SG	V;IPFV;IND;PL;3;POS;PRS;FIN
הורג	zabije	הרג	zabiť	PROPN	V;PFV;IND;SG;3;POS;PRS;FIN
הורג	zabíja	הרג	zabíjať	PROPN	V;IPFV;IND;SG;3;POS;PRS;FIN
הורג	zabitie	הרג	zabitie	PROPN	N;NOM;NEUT;SG
הורג	zabíjať	הרג	zabíjať	PROPN	V;IPFV;POS;NFIN
הורג	zabíjanie	הרג	zabíjanie	PROPN	N;NOM;NEUT;SG
מל	mel	מל	mel	PROPN	PROPN;ANIM;NOM;MASC;SG
מל	mal	מל	mať	PROPN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
טיים	dobe	טיים	dobe	PROPN	N;DAT;FEM;SG
טיים	čas	טיים	čas	PROPN	N;INAN;NOM;MASC;SG
טיים	doba	טיים	doba	PROPN	N;NOM;FEM;SG
טיים	time	טיים	tima	PROPN	
השכונות	štvrtí	השכונה	štvrť	PROPN	N;GEN;FEM;PL
השכונות	štvrtiach	השכונה	štvrť	PROPN	N;GEN;FEM;PL
אשראי	úvery	אשראי	úver	N;MASC;SG	N;INAN;NOM;MASC;PL
אשראי	úverové	אשראי	úverový	N;MASC;SG	ADJ;NOM;NEUT;SG
רוזנברג	rosenberg	רוזנברג	rosenberg	PROPN	N;ANIM;NOM;MASC;SG
ארנה	arena	ארנה	arena	PROPN	N;NOM;FEM;SG
ארנה	aréne	ארנה	arén	PROPN	N;INAN;NOM;MASC;SG
רוצח	vraha	רצח	vraha	PROPN	N;ANIM;ACC;MASC;SG
רוצח	zabijak	רצח	zabijak	PROPN	N;ANIM;NOM;MASC;SG
רוצח	vrahyňa	רצח	vrahyňa	PROPN	N;NOM;FEM;SG
רוצח	vrah	רצח	vrah	PROPN	N;ANIM;NOM;MASC;SG
רוצח	vrahom	רצח	vrah	PROPN	N;ANIM;INS;MASC;SG
רוצח	vraha	רצח	vraha	PROPN	N;ANIM;ACC;MASC;SG
רוצח	vrahyňa	רצח	vrahyňa	PROPN	N;NOM;FEM;SG
רוצח	vrah	רצח	vrah	PROPN	N;ANIM;NOM;MASC;SG
אורלינס	orleans	אורלינס	orleans	PROPN	PROPN;INAN;NOM;MASC;SG
הפיליפינים	filipín	הפיליפינים	filipina	PROPN	N;NOM;FEM;PL
הפיליפינים	filipíny	הפיליפינים	filipína	PROPN	N;INAN;NOM;MASC;PL
ניסים	zázrakov	ניסה	zázrak	PROPN	N;INAN;GEN;MASC;PL
ניסים	zázraky	ניסה	zázrak	PROPN	N;INAN;NOM;MASC;PL
נשימה	dýchať	נשימה	dýchať	N;FEM;SG	V;IPFV;POS;NFIN
נשימה	dýcha	נשימה	dých	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
נשימה	dýchacie	נשימה	dýchací	N;FEM;SG	ADJ;NOM;NEUT;PL
המשיח	krista	המשיח	kristus	V;MASC;SG;3;PST;ACT	N;ANIM;ACC;MASC;SG
המשיח	kristus	המשיח	kristus	V;MASC;SG;3;PST;ACT	N;ANIM;NOM;MASC;SG
ריקו	rico	ריקו	rico	PROPN	PROPN;ANIM;NOM;MASC;SG
זירת	scéne	זירה	scén	ADV	N;DAT;FEM;SG
זירת	scéna	זירה	scéna	ADV	N;NOM;FEM;SG
זירת	scénu	זירה	scén	ADV	N;ACC;FEM;SG
סטודיו	štúdiá	סטודיו	štúdium	PROPN	N;NOM;NEUT;PL
סטודיו	štúdia	סטודיו	štúdium	PROPN	N;NOM;NEUT;PL
סטודיו	studio	סטודיו	studio	PROPN	INTJ
סטודיו	štúdio	סטודיו	štúdio	PROPN	N;NOM;NEUT;SG
מרחוק	diaľkovo	מרחוק	diaľkovo		ADV
נפגעה	poškodený	נפגע	poškodený	V;FEM;SG;3;PST;MID	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
נפגעה	poškodená	נפגע	poškodený	V;FEM;SG;3;PST;MID	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
נפגעה	poškodené	נפגע	poškodený	V;FEM;SG;3;PST;MID	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
פסקול	soundtrack	פסקול	soundtrack	PROPN	N;INAN;NOM;MASC;SG
גורל	osudom	גורל	osud		N;INAN;INS;MASC;SG
גורל	osud	גורל	osud		N;INAN;NOM;MASC;SG
גורל	destiny	גורל	destina		N;NOM;FEM;PL
גורל	osudu	גורל	osud		N;INAN;GEN;MASC;SG
גורל	osud	גורל	osud		N;INAN;NOM;MASC;SG
אריזונה	arizone	אריזונה	arizon	PROPN	PROPN;ANIM;NOM;MASC;SG
בטוחה	bezpečne	בטוח	bezpečne	ADJ;FEM;SG	ADV
אסטוניה	estónska	אסטוניה	estónsky	PROPN	PROPN;NOM;FEM;SG
אסטוניה	estónsko	אסטוניה	estónsko	PROPN	PROPN;NOM;NEUT;SG
בודק	kontrolu	בדק	kontrola	V;MASC;SG;V.PTCP;ACT	N;ACC;FEM;SG
בודק	preskúšanie	בדק	preskúšanie	V;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
בודק	kontrola	בדק	kontrola	V;MASC;SG;V.PTCP;ACT	N;NOM;FEM;SG
