aliado	الحلفاء	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	N;NOM;DEF;PL
armados	مسلحة	armado	مُسَلَّح	ADJ;MASC;PL;V.PTCP	ADJ;NOM;INDF;FEM;SG
armados	مسلحون	armado	مُسَلَّح	ADJ;MASC;PL;V.PTCP	N;NOM;INDF;PL
manuscritos	المخطوطة	manuscrito	مَخطُوط	N;MASC;PL	N;NOM;DEF;SG
rivas	ريفاس	riva	رِيفَاس	N;FEM;PL	
major	رائد	major	رائد	N	
major	ماجور	major	ماجور	N	
demonio	عفريت	demonio	عفريت	N;MASC;SG	
note	ملحوظة	notar	مَلحُوظ	N	ADJ;NOM;INDF;FEM;SG
emitida	تنبعث	emitido	اِنبَعَث	ADJ;FEM;SG;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
reside	يقيمون	residir	أَقَام	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;PL;3;FIN;ACT
nazis	نازي	nazi	نازي	N;PL	
nazis	النازي	nazi	نَازِي	N;PL	
nazis	النازية	nazi	نَازِيَّة	N;PL	N;NOM;DEF;SG
luisiana	لويزيانا	luisiano	لويزيانا	ADJ;FEM;SG	
malo	باد	malo	بَاد	ADJ;MASC;SG	
urbanas	الحضر	urbano	حَضَر	ADJ;FEM;PL	N;NOM;DEF;SG
urbanas	حضرية	urbano	حَضَرِيّ	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
urbanas	الحضري	urbano	حَضَرِيّ	ADJ;FEM;PL	
urbanas	الحضرية	urbano	حَضَرِيّ	ADJ;FEM;PL	N;NOM;DEF;SG
urbanas	حضري	urbano	حضري	ADJ;FEM;PL	
básicas	اساسي	básico	أَسَاسِيّ	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
básicas	اساسية	básico	أَسَاسِيّ	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
básicas	الاساسية	básico	أَسَاسِيّ	ADJ;FEM;PL	ADJ;NOM;DEF;FEM;SG
gases	الغاز	gas	غَاز	N;MASC;PL	N;NOM;DEF;SG
gases	غاز	gas	غَاز	N;MASC;PL	N;NOM;INDF;SG
ejemplar	نسخة	ejemplar	نُسخَة	V;NFIN	N;NOM;INDF;SG
ejemplar	نسخ	ejemplar	نُسخَة	V;NFIN	N;NOM;INDF;SG
separadas	منفصل	separado	مُنفَصِل	ADJ;FEM;PL;V.PTCP	ADJ;NOM;INDF;MASC;SG
express	اعرب	express	أَعرَب	N;MASC	V;PFV;MASC;SG;3;ACT
portugueses	البرتغالي	portugués	بُرتُغَالِيّ	N;MASC;PL	ADJ;NOM;DEF;MASC;SG
portugueses	البرتغالية	portugués	بُرتُغَالِيَّة	N;MASC;PL	
portugueses	بالبرتغالية	portugués	بالبرتغالية	N;MASC;PL	N;NOM;DEF;SG
normales	طبيعي	normal	طَبِيعِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
normales	عادي	normal	عَادِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
estelar	نجمة	estelar	نَجمَة	ADJ;SG	N;NOM;INDF;SG
estelar	النجم	estelar	نَجم	ADJ;SG	N;NOM;DEF;SG
estelar	النجمة	estelar	نَجمَة	ADJ;SG	N;NOM;DEF;SG
estelar	نجم	estelar	نجم	ADJ;SG	
estelar	ستار	estelar	سِتَار	ADJ;SG	
montaje	المتصاعدة	montaje	مُتَصَاعِد	N;MASC;SG	ADJ;NOM;DEF;FEM;SG
demo	تجريبي	demo	تجريبي	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
demo	التجريبي	demo	تَجرِيبِيّ	N;FEM;SG	ADJ;NOM;DEF;MASC;SG
considerando	باعتبار	considerar	باعتبار	V;V.MSDR	PRO;ACC;MASC;PL;3
enviados	ارسلت	enviar	أَرسَل	ADJ;MASC;PL;V.PTCP	V;PFV;FEM;SG;3;PASS
enviados	ارسل	enviar	أَرسَل	ADJ;MASC;PL;V.PTCP	V;PFV;MASC;SG;3;ACT
enviados	الرسل	enviar	رَسُول	ADJ;MASC;PL;V.PTCP	N;NOM;DEF;PL
enviados	رسل	enviar	رَسُول	ADJ;MASC;PL;V.PTCP	
kent	كينت	kent	كَيَّن	N;MASC;SG	
larry	لارى	larry	لارى	PROPN	
larry	لاري	larry	لاري	PROPN	
asesinados	اغتيل	asesinado	اِغتَال	ADJ;MASC;PL;V.PTCP	V;PFV;MASC;SG;3;PASS
oponente	خصم	oponente	خصم	N;SG	
prince	برنس	prince	برنس	N	
prince	برينس	prince	برِينس	N	
giuseppe	جيوسيبي	giuseppe	جيوسيبي	PROPN	
giuseppe	جوسيبي	giuseppe	جوسيبي	PROPN	
giuseppe	جوزيبي	giuseppe	جُوزِيبِي	PROPN	
pura	خالص	puro	خالص	ADJ;FEM;SG	
pura	نقي	puro	نَقي	ADJ;FEM;SG	N;NOM;INDF;SG
forestal	الغابات	forestal	غَابَة	ADJ;SG	N;NOM;DEF;PL
forestal	الحراجة	forestal	حَرَاجَة	ADJ;SG	N;NOM;DEF;SG
forestal	غابات	forestal	غَابَة	ADJ;SG	N;NOM;INDF;PL
forestal	الغابات	forestal	غَابَة	ADJ;SG	N;NOM;DEF;PL
forestal	الغابة	forestal	غَابَة	ADJ;SG	N;NOM;DEF;SG
forestal	غابة	forestal	غَابَة	ADJ;SG	N;NOM;INDF;SG
forestal	غابات	forestal	غَابَة	ADJ;SG	N;NOM;INDF;PL
viola	فيولا	violar	فِيُولَا	V;IND;SG;3;PRS;FIN	
track	المقطوعة	track	مَقطُوع	N;SG	
evangelio	انجيل	evangelio	أَنجِيل	N;MASC;SG	
honda	المقلاع	honda	مِقلَاع	N;FEM;SG	
honda	هوندا	honda	هوندا	N;FEM;SG	
loira	لوار	loira	لِوَار	N;MASC;SG	
román	روماني	román	رُومَانِيّ	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
román	رومان	román	رُومَان	N;MASC;SG	
román	الروماني	román	رُومَانِيّ	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
román	الرومانية	román	رُومَانِيّ	N;MASC;SG	ADJ;NOM;DEF;FEM;SG
intenso	المكثف	intenso	مُكَثَّف	ADJ;MASC;SG	N;NOM;DEF;SG
vaya	واو	ir	واو	V;SBJV;SG;3;PRS;FIN	
litros	غالون	litro	غالون	N;MASC;PL	N;NOM;INDF;SG
litros	جالون	litro	جَالُون	N;MASC;PL	N;NOM;INDF;SG
litros	لتر	litro	لِتر	N;MASC;PL	N;NOM;INDF;SG
litros	ليتر	litro	ليتر	N;MASC;PL	N;NOM;INDF;SG
litros	ليتر	litro	ليتر	N;MASC;PL	N;NOM;INDF;SG
penales	جنائية	penal	جِنَائِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
penales	مجرم	penal	مُجرِم	ADJ;PL	N;NOM;INDF;SG
penales	المجرم	penal	مَجرِم	ADJ;PL	N;NOM;DEF;SG
shows	يظهر	show	ظَهَر	N;MASC;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
constituido	تشكلت	constituido	تَشَكَّل	ADJ;MASC;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
constituido	شكلت	constituido	شَكَّل	ADJ;MASC;SG;V.PTCP	V;PFV;FEM;SG;3;PASS
consulado	القنصليات	consulado	قُنصُلِيَّة	N;MASC;SG	N;NOM;DEF;PL
ingresar	ادخال	ingresar	إِدخَال	V;NFIN	N;NOM;INDF;SG
belén	بيلين	belén	بِيلِين	N;MASC;SG	
esquí	تزلج	esquí	زَلَّج	N;MASC;SG	
esquí	سكي	esquí	سَكَى	N;MASC;SG	
esquí	تزلج	esquí	زَلَّج	N;MASC;SG	
causando	مسببا	causar	مُسبِب	V;V.MSDR	ADJ;ACC;INDF;MASC;SG
causando	التسبب	causar	تَسَبُّب	V;V.MSDR	N;NOM;DEF;SG
mega	ميغا	mega	ميغا	N;SG	
herbert	هربرت	herbert	هربرت	PROPN	
dinosaurios	الديناصورات	dinosaurio	دِينَاصُور	N;MASC;PL	
dinosaurios	ديناصور	dinosaurio	دِينَاصُور	N;MASC;PL	
dinosaurios	الديناصور	dinosaurio	الديناصور	N;MASC;PL	
dinosaurios	الديناصورات	dinosaurio	دِينَاصُور	N;MASC;PL	
caña	قطب	caña	قطب	N;FEM;SG	
caña	قصب	caña	قُصبَة	N;FEM;SG	
caña	عصا	caña	عَصَا	N;FEM;SG	
caña	رود	caña	رُود	N;FEM;SG	
ética	اخلاقي	ética	إِخلَاقِيّ	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
ética	اخلاقية	ética	إِخلَاقِيّ	N;FEM;SG	ADJ;NOM;INDF;FEM;SG
ética	اخلاقيات	ética	إِخلَاقِيّ	N;FEM;SG	ADJ;NOM;INDF;FEM;PL
ética	الاخلاق	ética	خُلق	N;FEM;SG	N;NOM;DEF;PL
arquitectónico	المعمارية	arquitectónico	المعمارية	ADJ;MASC;SG	N;NOM;DEF;SG
encontrados	وجد	encontrado	وَجَد	ADJ;MASC;PL;V.PTCP	V;PFV;MASC;SG;3;ACT
encontrados	خلصت	encontrado	خَلَّص	ADJ;MASC;PL;V.PTCP	V;PFV;FEM;SG;3;ACT
encontrados	وجدت	encontrado	وَجَد	ADJ;MASC;PL;V.PTCP	V;PFV;FEM;SG;3;ACT
correspondencia	مراسلات	correspondencia	مُرَاسِل	N;FEM;SG	N;NOM;INDF;PL
correspondencia	المراسلات	correspondencia	مُرَاسَلَة	N;FEM;SG	N;NOM;DEF;PL
formatos	التنسيق	formato	تَنسِيق	N;MASC;PL	N;NOM;DEF;SG
vaticano	الفاتيكان	vaticano	الفاتيكان	N;MASC;SG	
cooper	كوبر	cooper	كُوبِر	PROPN	
cooper	كوبير	cooper	كُوبِير	PROPN	
august	اغسطس	augusto	أَغُسطُس	PROPN	N;GEN;INDF;SG
august	اوغست	augusto	أَوغَس	PROPN	
típicos	نموذجية	típico	نَمُوذَجِيّ	ADJ;MASC;PL	ADJ;NOM;INDF;FEM;SG
típicos	نموذجي	típico	نَمُوذَجِيّ	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
lento	بطيء	lento	بطيء	ADJ;MASC;SG	
lento	بطئ	lento	بَطَأ	ADJ;MASC;SG	N;NOM;INDF;SG
summer	صيفي	summer	صِيفِيّ	N	ADJ;NOM;INDF;MASC;SG
summer	سمر	summer	سمر	N	
astronómico	الفلكية	astronómico	فَلَكِيّ	ADJ;MASC;SG	
col	ملفوف	col	مَلفُوف		ADJ;NOM;INDF;MASC;SG
col	الملفوف	col	مَلفُوف		N;NOM;DEF;SG
ludwig	لودفيج	ludwig	لودفيج	PROPN	
líbano	لبنانية	líbano	لُبنَانِيّ	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
líbano	اللبناني	líbano	لُبنَانِيّ	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
líbano	اللبنانيين	líbano	لُبنَانِيّ	N;MASC;SG	N;NOM;DEF;PL
líbano	بلبن	líbano	بَلَب	N;MASC;SG	
túnez	التونسية	túnez	تُونِسِيّ	N;MASC;SG	ADJ;NOM;DEF;FEM;SG
túnez	التونسي	túnez	تُونِسِيّ	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
incluidas	شملت	incluir	شَمَل	ADJ;FEM;PL;V.PTCP	V;PFV;FEM;SG;3;ACT
incluidas	المدرجة	incluir	مَدرَجَة	ADJ;FEM;PL;V.PTCP	N;NOM;DEF;SG
incluidas	شمل	incluir	شَمِل	ADJ;FEM;PL;V.PTCP	V;PFV;MASC;SG;3;ACT
incluidas	مدرج	incluir	مُدَرِّج	ADJ;FEM;PL;V.PTCP	N;NOM;INDF;SG
four	اربع	four	أَربَعَة	N	NUM;NOM;INDF;FEM
four	اربعة	four	أَربَعَة	N	NUM;NOM;INDF;MASC
four	اربعه	four	اربعه	N	PRO;NOM;MASC;SG;3
pescado	فيش	pescado	فَيشَ	N;MASC;SG	
pescado	سمك	pescado	سَمَك	N;MASC;SG	
republicanos	جمهوري	republicano	جمهوري	N;MASC;PL	N;NOM;INDF;SG
republicanos	الجمهوريين	republicano	جُمهُورِيّ	N;MASC;PL	ADJ;NOM;DEF;MASC;PL
artísticas	فنية	artístico	فَنِّيّ	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
lujo	الفاخر	lujo	فَاخِر	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
lujo	ترف	lujo	رَفَى	N;MASC;SG	
electrones	الالكترون	electrón	اَلكتِرَون	N;MASC;PL	N;NOM;DEF;SG
wood	وود	wood	وَودَ	N	
avances	السلف	avance	سِلَف	N;MASC;PL	N;NOM;DEF;SG
avances	سلف	avance	سَالِف	N;MASC;PL	
avances	التقدم	avance	تَقَدُّم	N;MASC;PL	N;NOM;DEF;SG
vacaciones	الاجازة	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;DEF;SG
vacaciones	اجازة	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;INDF;SG
vacaciones	العطلة	vacaciones	عُطلَة	N;FEM;PL	N;NOM;DEF;SG
vacaciones	عطلة	vacaciones	عُطلَة	N;FEM;PL	N;NOM;INDF;SG
vacaciones	اجازه	vacaciones	اجازه	N;FEM;PL	PRO;NOM;MASC;SG;3
vacaciones	العطلة	vacaciones	عُطلَة	N;FEM;PL	N;NOM;DEF;SG
vacaciones	الاجازة	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;DEF;SG
vacaciones	عطلة	vacaciones	عُطلَة	N;FEM;PL	N;NOM;INDF;SG
vacaciones	اجازة	vacaciones	إِجَازَة	N;FEM;PL	N;NOM;INDF;SG
vacaciones	الاعياد	vacaciones	إِعيَاد	N;FEM;PL	N;NOM;DEF;SG
vacaciones	العطل	vacaciones	عَطل	N;FEM;PL	N;NOM;DEF;SG
murallas	حائط	muralla	حَائِط	N;FEM;PL	N;NOM;INDF;SG
murallas	الحائط	muralla	حَائِط	N;FEM;PL	N;NOM;DEF;SG
murallas	وول	muralla	وُول	N;FEM;PL	
murallas	الجدار	muralla	جِدَار	N;FEM;PL	N;NOM;DEF;SG
murallas	جدار	muralla	جِدَار	N;FEM;PL	N;NOM;INDF;SG
murallas	اسوار	muralla	سُور	N;FEM;PL	
murallas	الحيطان	muralla	حِيطَان	N;FEM;PL	
murallas	جدران	muralla	جِدرَان	N;FEM;PL	
eta	ايتا	eta	أَيتَا	PROPN	
cóndor	كندور	cóndor	كُندُور	N;MASC;SG	
cóndor	كوندور	cóndor	كُوندُور	N;MASC;SG	
reduce	تقليل	reducir	تَقلِيل	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
coronado	يتوج	coronado	تَوَّج	ADJ;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
coronado	كورونادو	coronado	كُورُونَادُو	ADJ;MASC;SG;V.PTCP	
esperando	الانتظار	esperar	اِنتِظَار	V;V.MSDR	N;NOM;DEF;SG
esperando	انتظار	esperar	اِنتِظَار	V;V.MSDR	N;NOM;INDF;SG
esperando	منتظر	esperar	مُنتَظَر	V;V.MSDR	
específicas	محدد	especifico	مُحَدَّد	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
específicas	محددة	especifico	مُحَدَّد	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
manifestación	مظاهر	manifestación	مَظهَر	N;FEM;SG	N;NOM;INDF;PL
bienestar	رفاه	bienestar	رَفَاه	N;MASC;SG	
mansión	مانور	mansión	مانور	N;FEM;SG	
mansión	عزبة	mansión	عِزبَة	N;FEM;SG	
sueca	السويدية	sueca	سوِيدِيّ	N;FEM;SG	ADJ;NOM;DEF;FEM;SG
sueca	سويدي	sueca	سويدي	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
sueca	سويدية	sueca	سويدية	N;FEM;SG	ADJ;NOM;INDF;FEM;SG
sueca	السويدي	sueca	سوِيدِيّ	N;FEM;SG	
asesinatos	اغتيال	asesinato	اِغتِيَال	N;MASC;PL	N;NOM;INDF;SG
asesinatos	الاغتيال	asesinato	اِغتِيَال	N;MASC;PL	N;NOM;DEF;SG
asesinatos	القتل	asesinato	قَتل	N;MASC;PL	N;NOM;DEF;SG
fieles	مخلص	fiel	مُخَلَّص	N;PL	ADJ;NOM;INDF;MASC;SG
fieles	مخلص	fiel	مُخَلَّص	N;PL	ADJ;NOM;INDF;MASC;SG
fieles	المؤمنين	fiel	مُؤَمِّن	N;PL	ADJ;NOM;DEF;MASC;PL
fieles	مخلصة	fiel	مخلصة	N;PL	ADJ;NOM;INDF;FEM;SG
southern	جنوبي	southern	جَنُوبِيّ	N	ADJ;NOM;INDF;MASC;SG
southern	جنوبية	southern	جَنُوبِيّ	N	ADJ;NOM;INDF;FEM;SG
concha	شيل	concha	شيل	N;FEM;SG	
perdida	خسارة	perdido	خَسَارَة	ADJ;FEM;SG;V.PTCP	N;NOM;INDF;SG
perdida	الخسارة	perdido	خَسَارَة	ADJ;FEM;SG;V.PTCP	N;NOM;DEF;SG
perdida	خسرت	perdido	خَسِر	ADJ;FEM;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
perdida	خسر	perdido	خَسِر	ADJ;FEM;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
perdida	فقدت	perdido	فَقَد	ADJ;FEM;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
perdida	ضاع	perdido	ضَاع	ADJ;FEM;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
desastre	الكوارث	desastre	كَارِثَة	N;MASC;SG	N;NOM;DEF;PL
warren	وارين	warren	وارين	PROPN	
warren	وارن	warren	وارن	PROPN	
elías	ايليا	elía	إِيلِيَا	N;FEM;PL	
elías	الياس	elía	إِليَاس	N;FEM;PL	
ltd	ltd	ltd	شَقّ	N	
ejecutar	تنفيذ	ejecutar	تَنفِيذ	V;NFIN	N;NOM;INDF;SG
ejecutar	اهرب	ejecutar	أَهرَب	V;NFIN	
ejecutar	تشغيل	ejecutar	تَشغِيل	V;NFIN	N;NOM;INDF;SG
studio	ستوديو	studio	ستوديو	N;MASC;SG	
studio	الاستوديو	studio	اِستَودَيُو	N;MASC;SG	
calificación	المؤهلات	calificación	مُؤَهِّل	N;FEM;SG	N;NOM;DEF;PL
dramática	دراما	dramático	دِرَامَا	ADJ;FEM;SG	N;NOM;INDF;PL
dramática	الدراما	dramático	دِرَامَا	ADJ;FEM;SG	N;NOM;DEF;PL
dramática	درامي	dramático	درامي	ADJ;FEM;SG	N;NOM;INDF;SG
antoine	انطوان	antoinar	أَنطُوَان	N;MASC;SG	
plástico	البلاستيكية	plástico	بلَاستِيكِيّ	N;MASC;SG	ADJ;NOM;DEF;FEM;SG
plástico	بلاستيك	plástico	بلَاستِيك	N;MASC;SG	
armadura	درعا	armadura	دَرَّع	N;FEM;SG	
armadura	درع	armadura	دَرع	N;FEM;SG	
armadura	درع	armadura	دَرع	N;FEM;SG	
espaciales	المكاني	espacial	مَكَانِي	ADJ;PL	N;NOM;DEF;SG
espaciales	مساحة	espacial	مِسَاحَة	ADJ;PL	N;NOM;INDF;SG
espaciales	الفضاء	espacial	فَضَاء	ADJ;PL	N;NOM;DEF;SG
espaciales	فضاء	espacial	فَضَاء	ADJ;PL	N;NOM;INDF;SG
espaciales	حيز	espacial	حَيِّز	ADJ;PL	N;NOM;INDF;SG
dedicados	مكرسة	dedicado	مُكرِس	ADJ;MASC;PL;V.PTCP	ADJ;NOM;INDF;FEM;SG
dedicados	مكرس	dedicado	مَكرَس	ADJ;MASC;PL;V.PTCP	ADJ;NOM;INDF;MASC;SG
bebé	حبيبي	bebé	حبيبي	N;MASC;SG	
bebé	حبيبتي	bebé	حبيبتي	N;MASC;SG	
hits	يضرب	hit	ضَرَب	N;MASC;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
reconocimientos	استطلاع	reconocimiento	اِستِطلَاع	N;MASC;PL	N;NOM;INDF;SG
reconocimientos	الاستطلاع	reconocimiento	اِستِطلَاع	N;MASC;PL	N;NOM;DEF;SG
reconocimientos	الاعتراف	reconocimiento	اِعتِرَاف	N;MASC;PL	N;NOM;DEF;SG
casino	الكازينو	casino	الكازينو	N;MASC;SG	ADJ;NOM;DEF;MASC;PL
casino	كازينو	casino	كازينو	N;MASC;SG	
vencedor	فائز	vencedor	فَائِز	N;MASC;SG	
vencedor	رابح	vencedor	رابح	N;MASC;SG	
vencedor	فيكتور	vencedor	فِيكتُور	N;MASC;SG	
vencedor	فكتور	vencedor	فكتور	N;MASC;SG	
adoptado	اعتمدت	adoptar	اِعتَمَد	ADJ;MASC;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
extranjeras	اجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
extranjeras	الاجنبي	extranjero	أَجنَبِيّ	ADJ;FEM;PL	ADJ;NOM;DEF;MASC;SG
extranjeras	اجنبية	extranjero	أَجنَبِيّ	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
membrana	الاغشية	membrana	أَغشِيّ	N;FEM;SG	N;NOM;DEF;PL
etnia	عرقية	etnia	عِرقِيّ	N;FEM;SG	ADJ;NOM;INDF;FEM;SG
ricos	ثريا	rico	ثَرِّيّ	N;MASC;PL	
ricos	غني	rico	غَنِّيّ	N;MASC;PL	
ricos	ريتش	rico	ريتش	N;MASC;PL	
ricos	الغنية	rico	غَنِيّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
ricos	ثري	rico	ثري	N;MASC;PL	
ricos	غنية	rico	غَنِيّ	N;MASC;PL	ADJ;NOM;INDF;FEM;SG
quieren	اريد	querer	اريد	V;IND;PL;3;PRS;FIN	
television	التليفزيون	television	التليفزيون	N;FEM;SG	
teatros	المسرح	teatro	مَسرَح	N;MASC;PL	N;NOM;DEF;SG
teatros	مسرح	teatro	مَسرَح	N;MASC;PL	N;NOM;INDF;SG
añadido	اضاف	añadido	أَضَاف	ADJ;MASC;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
añadido	اضيف	añadido	أَضِيف	ADJ;MASC;SG;V.PTCP	
añadido	اضيفت	añadido	أَضَاف	ADJ;MASC;SG;V.PTCP	V;PFV;FEM;SG;3;PASS
fabricantes	الصانع	fabricante	صَانِع	N;PL	N;NOM;DEF;SG
fabricantes	مصنع	fabricante	مَصنَع	N;PL	N;NOM;INDF;SG
fabricantes	المصنع	fabricante	مَصنَع	N;PL	N;NOM;DEF;SG
guarnición	حامية	guarnición	حَامِي	N;FEM;SG	ADJ;NOM;INDF;FEM;SG
edwards	ادواردز	edwards	أَدُورَد	PROPN	
fábricas	ميلز	fábrica	ميلز	N;FEM;PL	
fábricas	مصنع	fábrica	مَصنَع	N;FEM;PL	N;NOM;INDF;SG
fábricas	المصنع	fábrica	مَصنَع	N;FEM;PL	N;NOM;DEF;SG
roman	روماني	romar	رُومَانِيّ	N	ADJ;NOM;INDF;MASC;SG
roman	رومان	romar	رُومَان	N	
roman	الروماني	romar	رُومَانِيّ	N	ADJ;NOM;DEF;MASC;SG
roman	الرومانية	romar	رُومَانِيّ	N	ADJ;NOM;DEF;FEM;SG
oliva	زيتون	oliva	زيتون	N;FEM;SG	
conservadores	محافظ	conservador	مُحَافِظ	N;MASC;PL	N;NOM;INDF;SG
