το	os	ο	o	DET;NOM;DEF;NEUT;SG	PRO;ACC;MASC;PL;3
όταν	quando	όταν	quando	CONJ	ADV
όταν	when	όταν	when	CONJ	N;MASC;SG
μέχρι	ate	μέχρι	ate	ADP	INTJ
μέχρι	até	μέχρι	até	ADP	ADV
μία	one	ένας	one	NUM;NOM;FEM;SG	N;MASC;SG
μπορεί	podem	μπορώ	poder	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
μπορεί	lata	μπορώ	lata	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
ομάδα	agrupar	ομάδα	agrupar	N;ACC;FEM;SG	V;NFIN
χρόνια	crônica	χρόνος	crônico	N;NOM;NEUT;PL	N;FEM;SG
χρόνια	crónica	χρόνος	crónica	N;NOM;NEUT;PL	N;FEM;SG
χρόνια	years	χρόνος	years	N;NOM;NEUT;PL	N;MASC;SG
πρώτη	primeira	πρώτος	primeiro	NUM;NOM;FEM;SG	ADJ;FEM;SG
πρώτη	primeiros	πρώτος	primeiro	NUM;NOM;FEM;SG	ADJ;MASC;PL
πρώτη	primeiramente	πρώτος	primeiramente	NUM;NOM;FEM;SG	ADV
πρώτη	primeiro	πρώτος	primeiro	NUM;NOM;FEM;SG	ADV
πιο	more	πιο	more	ADV	N;MASC;SG
ένας	um	ένας	um	DET;NOM;INDF;MASC;SG	NUM
ένας	uma	ένας	um	DET;NOM;INDF;MASC;SG	NUM
ένας	one	ένας	one	DET;NOM;INDF;MASC;SG	N;MASC;SG
σύνδεσμοι	ligações	σύνδεσμος	ligação	N;ACC;MASC;SG	N;FEM;PL
σύνδεσμοι	links	σύνδεσμος	link	N;ACC;MASC;SG	N;MASC;PL
κάθε	cada	κάθε	cada	PRO;ACC;FEM;SG;3	DET;FEM;SG
κάθε	cada	κάθε	cada	PRO;ACC;FEM;SG;3	DET;FEM;SG
αθήνα	atenas	αθήνα	atena	PROPN;ACC;FEM;SG	N;FEM;PL
ελλάδα	grécia	ελλάδα	grécia	PROPN;ACC;FEM;SG	N;FEM;SG
σήμερα	hj	σήμερα	hj	ADV	V;IND;SG;1;PRS;FIN
μέσα	inside	μέσα	insidir	ADV	N;MASC;SG
πως	como	πως	como	CONJ	ADV
μαζί	juntos	μαζί	junto	ADV	N;MASC;PL
μαζί	juntas	μαζί	juntas	ADV	N;FEM;PL
νέα	novo	νέος	novo	ADJ;NOM;NEUT;PL	ADJ;MASC;SG
νέα	novidade	νέος	novidade	ADJ;NOM;NEUT;PL	N;FEM;SG
νέα	nova	νέος	novo	ADJ;NOM;NEUT;PL	ADJ;FEM;SG
νέα	novidades	νέος	novidade	ADJ;NOM;NEUT;PL	N;FEM;PL
νέα	noticias	νέος	noticia	ADJ;NOM;NEUT;PL	N;FEM;PL
νέα	notícia	νέος	notícia	ADJ;NOM;NEUT;PL	N;FEM;SG
νέα	notícias	νέος	notícia	ADJ;NOM;NEUT;PL	N;FEM;PL
περίπου	sobre	περίπου	sobre	ADV	ADP
αυτά	estes	αυτός	este	PRO;NOM;NEUT;PL;3	DET;MASC;PL
αυτά	esses	αυτός	esse	PRO;NOM;NEUT;PL;3	DET;MASC;PL
εθνική	national	εθνικός	national	ADJ;NOM;FEM;SG	N;MASC;SG
εθνική	nacionais	εθνικός	nacional	ADJ;NOM;FEM;SG	N;MASC;PL
συζήτηση	discussões	συζήτηση	discussão	N;ACC;FEM;SG	N;FEM;PL
αρχείο	arquivar	αρχείο	arquivar	N;NOM;NEUT;SG	V;NFIN
πρέπει	mosto	πρέπει	mosto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
πρέπει	must	πρέπει	must	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
έλληνες	gregos	έλληνας	grego	ADJ;NOM;MASC;PL	N;MASC;PL
πρώτο	primeira	πρώτος	primeiro	NUM;NOM;NEUT;SG	ADJ;FEM;SG
πρώτο	primeiros	πρώτος	primeiro	NUM;NOM;NEUT;SG	ADJ;MASC;PL
πρώτο	primeiramente	πρώτος	primeiramente	NUM;NOM;NEUT;SG	ADV
πρώτο	primeiro	πρώτος	primeiro	NUM;NOM;NEUT;SG	ADV
έργο	trabalhos	έργο	trabalho	N;NOM;NEUT;SG	N;MASC;PL
έργο	trabalhar	έργο	trabalhar	N;NOM;NEUT;SG	V;NFIN
έργο	trabalhe	έργο	trabalher	N;NOM;NEUT;SG	V;SBJV;SG;3;PRS;FIN
όχι	não	όχι	não	PART	INTJ
ελληνική	grega	ελληνικός	grego	ADJ;NOM;FEM;SG	N;FEM;SG
ελληνική	grécia	ελληνικός	grécia	ADJ;NOM;FEM;SG	N;FEM;SG
ελληνική	gregos	ελληνικός	grego	ADJ;NOM;FEM;SG	N;MASC;PL
ελληνική	grego	ελληνικός	grego	ADJ;NOM;FEM;SG	N;MASC;SG
μεγάλη	big	μεγάλος	big	ADJ;NOM;FEM;SG	N;MASC;SG
μεγάλη	grandes	μεγάλος	grande	ADJ;NOM;FEM;SG	N;MASC;PL
υπό	under	υπό	under	ADP	N;MASC;SG
έως	ate	ώς	ate	ADP	INTJ
έως	até	ώς	até	ADP	ADV
ταινία	filmes	ταινία	filme	N;NOM;FEM;SG	N;MASC;PL
ταινία	películas	ταινία	película	N;NOM;FEM;SG	N;FEM;PL
άλλα	outro	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;MASC;SG
άλλα	outra	άλλος	outro	PRO;NOM;NEUT;PL;3	PRO;FEM;SG
σαν	like	σαν	like	ADV	N;MASC;SG
σαν	curta	σαν	curto	ADV	ADJ;FEM;SG
εκεί	ai	εκεί	ai	ADV	INTJ
άλλες	outro	άλλος	outro	PRO;NOM;FEM;PL;3	PRO;MASC;SG
άλλες	outra	άλλος	outro	PRO;NOM;FEM;PL;3	PRO;FEM;SG
τέλος	end	τέλος	end	ADV	N;MASC;SG
τέλος	final	τέλος	final	ADV	N;MASC;SG
τέλος	terminar	τέλος	terminar	ADV	V;NFIN
τέλος	fim	τέλος	fim	ADV	N;MASC;SG
σειρά	series	σειρά	ser	N;ACC;FEM;SG	N;MASC;PL
σειρά	séries	σειρά	série	N;ACC;FEM;SG	N;FEM;PL
σειρά	encomendar	σειρά	encomendar	N;ACC;FEM;SG	V;NFIN
σειρά	rema	σειρά	rema	N;ACC;FEM;SG	INTJ
στοιχεία	data	στοιχείο	data	N;NOM;NEUT;PL	N;FEM;SG
εκτός	exceto	εκτός	exceto	ADV	ADP
συνέχεια	continue	συνέχεια	continuar	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
συνέχεια	continuem	συνέχεια	continuar	N;ACC;FEM;SG	V;SBJV;PL;3;PRS;FIN
συνέχεια	continuar	συνέχεια	continuar	N;ACC;FEM;SG	V;NFIN
συνέχεια	continua	συνέχεια	continuar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
συνέχεια	continuaram	συνέχεια	continuar	N;ACC;FEM;SG	V;IND;PL;3;FIN
συνέχεια	continuado	συνέχεια	continuar	N;ACC;FEM;SG	V;MASC;SG;V.PTCP
συνέχεια	continuou	συνέχεια	continuar	N;ACC;FEM;SG	V;IND;SG;3;PST;FIN
κάτω	down	κάτω	down	ADV	N;MASC;SG
κάτω	lower	κάτω	lower	ADV	N;MASC;SG
κάτω	inferior	κάτω	inferior	ADV	ADJ;MASC;SG
πολλές	muitos	πολύς	muito	ADJ;NOM;FEM;PL	PRO;MASC;PL
πολλές	muitas	πολύς	muito	ADJ;NOM;FEM;PL	PRO;FEM;PL
όλα	everything	όλος	everything	ADJ;NOM;NEUT;PL	N;MASC;SG
όλα	tudo	όλος	tudo	ADJ;NOM;NEUT;PL	PRO;MASC;SG
όλα	todas	όλος	todo	ADJ;NOM;NEUT;PL	DET;FEM;PL
όλα	tudo	όλος	tudo	ADJ;NOM;NEUT;PL	PRO;MASC;SG
όλα	todos	όλος	todo	ADJ;NOM;NEUT;PL	PRO;MASC;PL
ίδια	idênticas	ίδιος	idêntico	ADJ;NOM;FEM;SG	ADJ;FEM;PL
ίδια	idênticos	ίδιος	idêntico	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ίδια	mesmo	ίδιος	mesmo	ADJ;NOM;FEM;SG	ADV
ίδια	mesmos	ίδιος	mesmo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
χώρα	pais	χώρα	pai	N;NOM;FEM;SG	N;MASC;PL
ιανουαρίου	janeiro	ιανουάριος	janeiro	PROPN;GEN;MASC;SG	N;MASC;SG
ταινίες	cinema	ταινία	cinema	N;NOM;FEM;PL	N;MASC;SG
μέσω	via	μέσω	via	ADP	N;FEM;SG
μέσω	através	μέσω	através	ADP	ADV
μέσω	through	μέσω	through	ADP	N;MASC;SG
μαρτίου	marchar	μάρτιος	marchar	N;GEN;MASC;SG	V;NFIN
γεννήθηκε	born	γεννώ	born	V;PFV;IND;SG;3;PST;FIN;PASS	N;MASC;SG
αυτές	estes	αυτός	este	PRO;NOM;FEM;PL;3	DET;MASC;PL
αυτές	esses	αυτός	esse	PRO;NOM;FEM;PL;3	DET;MASC;PL
πολλά	muitos	πολύς	muito	ADJ;NOM;NEUT;PL	PRO;MASC;PL
πολλά	muitas	πολύς	muito	ADJ;NOM;NEUT;PL	PRO;FEM;PL
τρεις	three	τρεις	three	NUM;NOM;MASC;PL	N;MASC;SG
έργα	funciona	έργο	funcionar	N;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
έργα	works	έργο	work	N;NOM;NEUT;PL	N;MASC;SG
έργα	trabalha	έργο	trabalhar	N;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
χρήση	usar	χρήση	usar	N;ACC;FEM;SG	V;NFIN
χρήση	use	χρήση	usar	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
χρήση	utilizar	χρήση	utilizar	N;ACC;FEM;SG	V;NFIN
ίδιο	mesmo	ίδιος	mesmo	ADJ;NOM;NEUT;SG	ADV
ίδιο	mesmos	ίδιος	mesmo	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
μας	nossa	μου	nosso	PRO;GEN;MASC;PL;1	DET;FEM;SG
μας	nossas	μου	nosso	PRO;GEN;MASC;PL;1	DET;FEM;PL
μας	nossos	μου	nosso	PRO;GEN;MASC;PL;1	DET;MASC;PL
μας	nosso	μου	nosso	PRO;GEN;MASC;PL;1	DET;MASC;SG
εκλογές	eleição	εκλογή	eleição	N;NOM;FEM;PL	N;FEM;SG
εκλογές	eleição	εκλογή	eleição	N;NOM;FEM;PL	N;FEM;SG
αρχικά	iniciais	αρχικά	inicial	ADV	N;MASC;PL
έδρα	sedes	έδρα	sede	N;NOM;FEM;SG	N;FEM;PL
μεγάλο	large	μεγάλος	large	ADJ;NOM;NEUT;SG	N;MASC;SG
μεγάλο	grandes	μεγάλος	grande	ADJ;NOM;NEUT;SG	N;MASC;PL
μεγάλο	big	μεγάλος	big	ADJ;NOM;NEUT;SG	N;MASC;SG
μεγάλο	grandes	μεγάλος	grande	ADJ;NOM;NEUT;SG	N;MASC;PL
κέντρο	centralizar	κέντρο	centralizar	N;NOM;NEUT;SG	V;NFIN
κέντρο	centrar	κέντρο	centrar	N;NOM;NEUT;SG	V;NFIN
κέντρο	centrar	κέντρο	centrar	N;NOM;NEUT;SG	V;NFIN
κέντρο	centralizar	κέντρο	centralizar	N;NOM;NEUT;SG	V;NFIN
κοντά	fecha	κοντά	fechar	ADV	V;IND;SG;3;PRS;FIN
κοντά	feche	κοντά	fecher	ADV	V;SBJV;SG;3;PRS;FIN
κοντά	close	κοντά	close	ADV	N;MASC;SG
κοντά	fechar	κοντά	fechar	ADV	V;NFIN
κοντά	imediações	κοντά	imediação	ADV	N;FEM;PL
μορφή	formar	μορφή	formar	N;NOM;FEM;SG	V;NFIN
μορφή	formatar	μορφή	formatar	N;NOM;FEM;SG	V;NFIN
γιατί	pq	γιατί	pq	CONJ	
γιατί	porquê	γιατί	porquê	CONJ	ADV
άλμπουμ	álbuns	άλμπουμ	álbum	N;MASC;SG	N;MASC;PL
άλμπουμ	álbuns	άλμπουμ	álbum	N;MASC;SG	N;MASC;PL
επειδή	pq	επειδή	pq	CONJ	
γκολ	objectivos	γκολ	objectivo		N;MASC;PL
γκολ	gols	γκολ	gol		N;MASC;PL
γκολ	metas	γκολ	meta		N;FEM;PL
γκολ	golos	γκολ	golo		N;MASC;PL
γκολ	objetivos	γκολ	objetivo		N;MASC;PL
γκολ	gol	γκολ	gol		N;MASC;SG
γκολ	objetivo	γκολ	objetivo		N;MASC;SG
γκολ	golo	γκολ	golo		N;MASC;SG
γκολ	baliza	γκολ	baliza		N;FEM;SG
γκολ	meta	γκολ	meta		N;FEM;SG
τελευταία	último	τελευταία	último	ADV	ADJ;MASC;SG
τελευταία	últimas	τελευταία	último	ADV	ADJ;FEM;PL
τελευταία	last	τελευταία	last	ADV	N;MASC;SG
τελευταία	últimos	τελευταία	último	ADV	ADJ;MASC;PL
τελευταία	última	τελευταία	último	ADV	ADJ;FEM;SG
έκανε	fiz	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
έκανε	did	κάνω	dider	V;PFV;IND;SG;3;PST;FIN;ACT	PROPN;MASC;SG
έκανε	feitos	κάνω	fazer	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
έκανε	made	κάνω	made	V;PFV;IND;SG;3;PST;FIN;ACT	N;MASC;SG
ξεκίνησε	comecei	ξεκινώ	começar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
ξεκίνησε	começaram	ξεκινώ	começar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
πρώτος	primeira	πρώτος	primeiro	NUM;NOM;MASC;SG	ADJ;FEM;SG
πρώτος	primeiros	πρώτος	primeiro	NUM;NOM;MASC;SG	ADJ;MASC;PL
πρώτος	primeiramente	πρώτος	primeiramente	NUM;NOM;MASC;SG	ADV
πρώτος	primeiro	πρώτος	primeiro	NUM;NOM;MASC;SG	ADV
πήρε	levaram	παίρνω	levar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
ηπα	eua	λπο	eua	N	PROPN;MASC;PL
ηπα	usa	λπο	usar	N	V;IND;SG;3;PRS;FIN
ανάμεσα	entre	ανάμεσα	entre	ADV	ADP
δεύτερη	segunda	δεύτερος	segundo	NUM;NOM;FEM;SG	ADJ;FEM;SG
δεύτερη	second	δεύτερος	second	NUM;NOM;FEM;SG	N;MASC;SG
δεύτερη	segundo	δεύτερος	segundo	NUM;NOM;FEM;SG	ADV
μάχη	lute	μάχη	lute	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
όλες	todas	όλος	todo	ADJ;NOM;FEM;PL	DET;FEM;PL
όλες	tudo	όλος	tudo	ADJ;NOM;FEM;PL	PRO;MASC;SG
όλες	todos	όλος	todo	ADJ;NOM;FEM;PL	PRO;MASC;PL
κάποια	algum	κάποιος	algum	PRO;NOM;NEUT;PL;3	DET;MASC;SG
δείτε	veja	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V;SBJV;SG;3;PRS;FIN
δείτε	vê	βλέπω	ver	V;PFV;IMP;PL;2;FIN;ACT	V;IND;SG;3;PRS;FIN
δείτε	assista	βλέπω	assistar	V;PFV;IMP;PL;2;FIN;ACT	V;SBJV;SG;3;PRS;FIN
δείτε	relógio	βλέπω	relógio	V;PFV;IMP;PL;2;FIN;ACT	N;MASC;SG
δείτε	assistam	βλέπω	assistir	V;PFV;IMP;PL;2;FIN;ACT	V;SBJV;PL;3;PRS;FIN
πόλεμο	guerras	πόλεμος	guerra	N;ACC;MASC;SG	N;FEM;PL
έλαβε	receberam	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
έλαβε	recebidos	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
έλαβε	recebidas	λαμβάνω	receber	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;PL;V.PTCP
επίσημη	funcionário	επίσημος	funcionário	ADJ;NOM;FEM;SG	N;MASC;SG
επίσημη	official	επίσημος	official	ADJ;NOM;FEM;SG	N;MASC;SG
επίσημη	oficiais	επίσημος	oficial	ADJ;NOM;FEM;SG	N;MASC;PL
επίσημη	formais	επίσημος	formal	ADJ;NOM;FEM;SG	ADJ;MASC;PL
βόρεια	norte	βόρεια	norte	ADV	N;MASC;SG
βόρεια	north	βόρεια	north	ADV	N;MASC;SG
βόρεια	norte	βόρεια	norte	ADV	N;MASC;SG
βόρεια	setentrional	βόρεια	setentrional	ADV	ADJ;MASC;SG
βόρεια	northern	βόρεια	northern	ADV	N;MASC;SG
αγώνα	lute	αγώνας	lute	N;ACC;MASC;SG	V;SBJV;SG;3;PRS;FIN
θέμα	sujeito	θέμα	sujeitar	N;NOM;NEUT;SG	V;MASC;SG;V.PTCP
χρησιμοποιείται	utilizados	χρησιμοποιώ	utilizar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
χρησιμοποιείται	usados	χρησιμοποιώ	usar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
πρώτα	primeira	πρώτα	primeiro	ADV	ADJ;FEM;SG
πρώτα	primeiros	πρώτα	primeiro	ADV	ADJ;MASC;PL
θεωρείται	considerados	θεωρώ	considerar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
θεωρείται	considerou	θεωρώ	considerar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;PST;FIN
νότια	sulistas	νότιος	sulista	ADV	N;MASC;PL
νότια	sulista	νότιος	sulista	ADV	ADJ;MASC;SG
νότια	sul	νότιος	sul	ADV	N;MASC;SG
νότια	southern	νότιος	southern	ADV	N;MASC;SG
νότια	meridional	νότιος	meridional	ADV	ADJ;MASC;SG
νότια	sul	νότιος	sul	ADV	N;MASC;SG
νότια	south	νότιος	south	ADV	N;MASC;SG
σχέση	relacionamentos	σχέση	relacionamento	N;ACC;FEM;SG	N;MASC;PL
νέο	novas	νέος	novo	ADJ;ACC;NEUT;SG	ADJ;FEM;PL
νέο	novos	νέος	novo	ADJ;ACC;NEUT;SG	ADJ;MASC;PL
νέο	novidade	νέος	novidade	ADJ;ACC;NEUT;SG	N;FEM;SG
ήδη	ja	ήδη	ja	ADV	INTJ
περισσότερο	more	πολύ	more	ADV;CMPR	N;MASC;SG
εκκλησία	igrejas	εκκλησία	igreja	N;NOM;FEM;SG	N;FEM;PL
μουσείο	museus	μουσείο	museu	N;NOM;NEUT;SG	N;MASC;PL
πολιτικός	político	πολιτικός	político	ADJ;NOM;MASC;SG	N;MASC;SG
πολιτικός	politico	πολιτικός	politico	ADJ;NOM;MASC;SG	N;MASC;SG
δυο	two	δύο	two	NUM;NOM;PL	N;MASC;SG
μεγαλύτερη	maiores	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ;MASC;PL
μεγαλύτερη	maiores	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ;MASC;PL
μεγαλύτερη	maiores	μεγάλος	grande	ADJ;NOM;CMPR;FEM;SG	ADJ;MASC;PL
πέθανε	morra	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;SBJV;SG;3;PRS;FIN
πέθανε	die	πεθαίνω	dieer	V;PFV;IND;SG;3;PST;FIN;ACT	N;MASC;SG
πέθανε	morram	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;SBJV;PL;3;PRS;FIN
πέθανε	morre	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
πέθανε	morri	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
πέθανε	morreram	πεθαίνω	morrer	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
ανά	per	ανά	per	ADP	N;MASC;SG
μουσική	music	μουσικός	music	ADJ;NOM;FEM;SG	N;MASC;SG
μουσική	música	μουσικός	música	ADJ;NOM;FEM;SG	N;FEM;SG
μουσική	musica	μουσικός	musica	ADJ;NOM;FEM;SG	N;FEM;SG
μουσική	músicas	μουσικός	música	ADJ;NOM;FEM;SG	N;FEM;PL
άτομα	povo	άτομο	povo	N;NOM;NEUT;PL	N;MASC;SG
άτομα	gente	άτομο	gente	N;NOM;NEUT;PL	N;FEM;SG
δεύτερο	segunda	δεύτερος	segundo	NUM;NOM;NEUT;SG	ADJ;FEM;SG
δεύτερο	second	δεύτερος	second	NUM;NOM;NEUT;SG	N;MASC;SG
δεύτερο	segundo	δεύτερος	segundo	NUM;NOM;NEUT;SG	ADV
είδος	digite	είδος	digitir	N;NOM;NEUT;SG	V;SBJV;SG;3;PRS;FIN
είδος	espécies	είδος	espécie	N;NOM;NEUT;SG	N;FEM;PL
αρκετά	suficiente	αρκετά	suficiente	ADV	ADJ;MASC;SG
αρκετά	chega	αρκετά	chegar	ADV	V;IND;SG;3;PRS;FIN
μεγαλύτερο	maiores	μεγάλος	grande	ADJ;NOM;CMPR;NEUT;SG	ADJ;MASC;PL
μεγαλύτερο	maiores	μεγάλος	grande	ADJ;NOM;CMPR;NEUT;SG	ADJ;MASC;PL
εκείνη	ela	εκείνος	ela	PRO;ACC;FEM;SG;3	PRO;NOM;FEM;SG;3
εκείνη	she	εκείνος	she	PRO;ACC;FEM;SG;3	N;MASC;SG
τρία	three	τρεις	three	NUM;NOM;NEUT;PL	N;MASC;SG
όρος	montar	όρος	montar	N;NOM;MASC;SG	V;NFIN
παιδιά	boys	παιδί	boy	N;NOM;NEUT;PL	N;MASC;SG
παιδιά	rapaziada	παιδί	rapaziado	N;NOM;NEUT;PL	N;FEM;SG
παιδιά	kids	παιδί	kids	N;NOM;NEUT;PL	N;MASC;SG
παιδιά	galera	παιδί	galera	N;NOM;NEUT;PL	N;FEM;SG
παιδιά	pessoal	παιδί	pessoal	N;NOM;NEUT;PL	N;MASC;SG
άρχισε	comecei	αρχίζω	começar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
άρχισε	começaram	αρχίζω	começar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
φαίνεται	looks	φαίνομαι	looko	V;IPFV;IND;SG;3;PRS;FIN;PASS	N;MASC;PL
φαίνεται	olhares	φαίνομαι	olhar	V;IPFV;IND;SG;3;PRS;FIN;PASS	N;MASC;PL
αρχαία	antiga	αρχαίος	antigo	ADJ;NOM;FEM;SG	N;FEM;SG
αρχαία	antigos	αρχαίος	antigo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
αρχαία	antiguidade	αρχαίος	antiguidade	ADJ;NOM;FEM;SG	N;FEM;SG
αρχαία	ancião	αρχαίος	ancião	ADJ;NOM;FEM;SG	N;MASC;SG
συμμετείχε	participei	συμμετέχω	participar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
συμμετείχε	participaram	συμμετέχω	participar	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
ελληνικά	grega	ελληνικός	grego	ADV	N;FEM;SG
ελληνικά	grécia	ελληνικός	grécia	ADV	N;FEM;SG
ελληνικά	gregos	ελληνικός	grego	ADV	N;MASC;PL
ελληνικά	grego	ελληνικός	grego	ADV	N;MASC;SG
δυνάμεις	powers	δύναμη	power	N;NOM;FEM;PL	N;MASC;SG
δυνάμεις	forces	δύναμη	force	N;NOM;FEM;PL	N;MASC;SG
γαλλία	franca	γαλλία	franca	PROPN;ACC;FEM;SG	N;FEM;SG
γαλλία	frança	γαλλία	frança	PROPN;ACC;FEM;SG	N;FEM;SG
ελληνικό	grega	ελληνικός	grego	ADJ;NOM;NEUT;SG	N;FEM;SG
ελληνικό	grécia	ελληνικός	grécia	ADJ;NOM;NEUT;SG	N;FEM;SG
ελληνικό	gregos	ελληνικός	grego	ADJ;NOM;NEUT;SG	N;MASC;PL
ελληνικό	grego	ελληνικός	grego	ADJ;NOM;NEUT;SG	N;MASC;SG
ευρώπη	europa	ευρώπη	europa	PROPN;ACC;FEM;SG	N;FEM;SG
γνωστό	conhecidas	γνωστός	conhecido	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
γνωστό	conhecidos	γνωστός	conhecido	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
παγκόσμιο	globais	παγκόσμιος	global	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
βιβλίο	reservar	βιβλίο	reservar	N;NOM;NEUT;SG	V;NFIN
βιβλίο	livros	βιβλίο	livro	N;NOM;NEUT;SG	N;MASC;PL
σημαίνει	meios	σημαίνω	meio	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
πέντε	five	πέντε	fiver	NUM;NOM;MASC;PL	N;MASC;SG
πρωτεύουσα	capitais	πρωτεύουσα	capital	N;NOM;FEM;SG	N;MASC;PL
παράλληλα	paralelo	παράλληλα	paralelo	ADV	N;MASC;SG
παράλληλα	paralelas	παράλληλα	paralelo	ADV	N;FEM;PL
παράλληλα	paralelos	παράλληλα	paralelo	ADV	N;MASC;PL
παράλληλα	paralela	παράλληλα	paralelo	ADV	N;FEM;SG
γνωστή	conhecidas	γνωστός	conhecido	ADJ;NOM;FEM;SG	ADJ;FEM;PL
