кама	kama	кам	kams	N;INAN;NOM;FEM;SG	
признали	atzīta	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
признали	atzīts	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
признали	atzītā	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
признали	atzīta	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
признали	atzīts	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
признали	atzīta	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
признали	atzīts	признать	atzīt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ганс	hans	ганс	hans	N;ANIM;NOM;MASC;SG	
ганс	hanss	ганс	hanss	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
сзади	aiz	сзади	aiz	ADV	ADP
сзади	aizmugure	сзади	aizmugure	ADV	N;NOM;FEM;SG
сзади	aizmugures	сзади	aizmugure	ADV	N;NOM;FEM;PL
сзади	aizmugurē	сзади	aizmugure	ADV	N;ESS;FEM;SG
сзади	aizmugurējā	сзади	aizmugurējs	ADV	ADJ;ESS;FEM;SG
иллинойс	ilinoisas	иллинойс	ilinoisa	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
тон	tonnu	тон	tonna	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
тон	toni	тон	tonis	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
планете	planēta	планета	planēta	N;INAN;DAT;FEM;SG	N;NOM;FEM;SG
планете	planētas	планета	planēta	N;INAN;DAT;FEM;SG	N;NOM;FEM;PL
планете	planētu	планета	planēta	N;INAN;DAT;FEM;SG	N;ACC;FEM;SG
леви	levi	лев	levis	N;ANIM;NOM;MASC;SG	
потомков	pēcnācēji	потомок	pēcnācējs	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
потомков	pēcteči	потомок	pēctecis	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
регистр	reģistrā	регистр	reģistrs	N;INAN;NOM;MASC;SG	N;ESS;MASC;SG
регистр	reģistrēties	регистр	reģistrēties	N;INAN;NOM;MASC;SG	V;POS;REFL;NFIN
творческий	radoši	творческий	radoši	ADJ;NOM;MASC;SG	ADV
творческий	radošo	творческий	radīt	ADJ;NOM;MASC;SG	V;IPFV;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
творческий	radoša	творческий	radoša	ADJ;NOM;MASC;SG	V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
творческий	radošā	творческий	radīt	ADJ;NOM;MASC;SG	V;IPFV;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
творческий	radošais	творческий	radošs	ADJ;NOM;MASC;SG	V;IPFV;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
творческий	radošs	творческий	radīt	ADJ;NOM;MASC;SG	V;IPFV;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
геологии	ģeoloģija	геология	ģeoloģija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
ближайший	tuvāko	близкий	tuvs	ADJ;NOM;RL;MASC;SG	ADJ;ACC;CMPR;MASC;SG
ближайший	tuvākā	близкий	tuvs	ADJ;NOM;RL;MASC;SG	ADJ;NOM;CMPR;FEM;SG
ближайший	tuvākais	близкий	tuvs	ADJ;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
ближайший	tuvākais	близкий	tuvs	ADJ;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
нижние	zemākā	нижний	zema	ADJ;NOM;PL	ADJ;NOM;CMPR;FEM;SG
нижние	apakšējā	нижний	apakšēja	ADJ;NOM;PL	ADJ;NOM;FEM;SG
нижние	zemāka	нижний	zema	ADJ;NOM;PL	ADJ;NOM;CMPR;FEM;SG
нижние	zemākas	нижний	zema	ADJ;NOM;PL	ADJ;NOM;CMPR;FEM;PL
нижние	zemāks	нижний	zems	ADJ;NOM;PL	ADJ;NOM;CMPR;MASC;SG
чистой	tīra	чистый	tīra	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
чистой	tīrs	чистый	tīrs	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
чистой	tīrīt	чистый	tīrīt	ADJ;INS;FEM;SG	V;POS;NFIN
украинцы	ukraiņiem	украинец	ukraiņi	N;ANIM;NOM;MASC;PL	N;DAT;MASC;PL
украинцы	ukraiņu	украинец	ukraiņa	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
украинцы	ukraiņu	украинец	ukraiņa	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
украинцы	ukrainas	украинец	ukraina	N;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;PL
среду	trešdien	среда	trešdien	N;INAN;ACC;FEM;SG	ADV
среду	trešdiena	среда	trešdiena	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
уголовное	noziedzīgu	уголовный	noziedzīgs	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
уголовное	noziedznieks	уголовный	noziedznieks	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
росс	ros	росс	rast		
росс	rosa	росс	rosa		PROPN;NOM;FEM;SG
росс	ross	росс	ross		
гвинеи	gvineja	гвинец	gvineja	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
вкус	garšu	вкус	garša	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вкус	garšas	вкус	garša	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
вкус	gaumei	вкус	gaume	N;INAN;NOM;MASC;SG	N;DAT;FEM;SG
ссылается	atsaucas	ссылаться	atsaukties	V;IPFV;IND;SG;3;PRS;FIN;MID	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
дама	dame	дама	dame	N;ANIM;NOM;FEM;SG	
атлетика	vieglatlētikas	атлетика	vieglatlētika	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
трудящихся	strādnieki	трудящийся	strādnieks	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
трудящихся	strādājošie	трудящийся	strādāt	N;ANIM;GEN;MASC;PL	V;IPFV;NOM;DEF;MASC;PL;PRS;V.PTCP;PASS
ставки	derību	ставка	derības	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
люблю	mīlestība	любить	mīlestība	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;FEM;SG
люблю	mīli	любить	mīlēt	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IMP;SG;2;POS;FIN;ACT
люблю	love	любить	love	V;IPFV;IND;SG;1;PRS;FIN;ACT	
люблю	mīla	любить	mīlēt	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;FEM;SG
сицилии	sicīlijas	сицилия	sicīlija	N;INAN;NOM;FEM;PL	PROPN;NOM;FEM;SG
клиентов	klients	клиент	klients	N;ANIM;GEN;MASC;PL	N;NOM;MASC;SG
клиентов	klientu	клиент	klients	N;ANIM;GEN;MASC;PL	N;ACC;MASC;SG
клиентов	klienti	клиент	klients	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
клиентов	klientiem	клиент	klients	N;ANIM;GEN;MASC;PL	N;DAT;MASC;PL
клиентов	klienti	клиент	klients	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
клиентов	klientus	клиент	klients	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
клиентов	klientiem	клиент	klients	N;ANIM;GEN;MASC;PL	N;DAT;MASC;PL
выпускник	absolventu	выпускник	absolvents	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
остановка	pārtraukšanas	остановка	pārtraukšana	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
гвинея	gvinejas	гвинее	gvineja	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
реформа	reformu	реформа	reforma	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
войти	pieteikšanās	войти	pieteikšanās	V;PFV;NFIN;ACT	N;NOM;FEM;SG
травму	traumas	травма	trauma	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
травму	trauma	травма	trauma	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
полицейских	policisti	полицейский	policists	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
конвенции	konvents	конвенция	konvents	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
конвенции	konvencija	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
конвенции	konventa	конвенция	konvents	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
конвенции	konvenciju	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
конвенции	konvencijām	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;DAT;FEM;PL
душа	dušas	душа	duša	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
душа	dvēseli	душа	dvēselis	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
медведь	lācis	медведь	lākt	N;ANIM;NOM;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
медведь	lāča	медведь	lācis	N;ANIM;NOM;MASC;SG	N;GEN;MASC;SG
медведь	lāci	медведь	lāce	N;ANIM;NOM;MASC;SG	N;ACC;FEM;SG
чёрное	melni	черный	melns	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
чёрное	melnas	черный	melna	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
эхо	echo	эхо	echo	N;INAN;NOM;NEUT;SG	
кипра	kipras	кипр	kipra	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
кипра	kipra	кипр	kiprs	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
кипра	cyprus	кипр	cyprs	N;INAN;NOM;MASC;SG	
кипра	kiprā	кипр	kiprs	N;INAN;NOM;MASC;SG	PROPN;ESS;FEM;SG
быстрый	ātri	быстрый	ātri	ADJ;NOM;MASC;SG	ADV
быстрый	ātri	быстрый	ātri	ADJ;NOM;MASC;SG	ADV
быстрый	strauji	быстрый	strauji	ADJ;NOM;MASC;SG	ADV
быстрый	fast	быстрый	fast	ADJ;NOM;MASC;SG	
кратеров	krāteri	кратер	krāteris	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
тан	tan	тан	tan	PART	
курт	kurts	курт	kurts	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ширину	platumā	ширина	platums	N;INAN;ACC;FEM;SG	N;ESS;MASC;SG
ширину	platums	ширина	platums	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
представлений	iesniegumus	представление	iesniegums	N;INAN;GEN;NEUT;PL	N;ACC;MASC;PL
представлений	iesniegumi	представление	iesniegums	N;INAN;GEN;NEUT;PL	N;NOM;MASC;PL
нации	nācija	нация	nācija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
нации	tauta	нация	tauta	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
джин	dzjiņ	джин	dzjiņ	PART	
джин	džins	джин	džins	PART	N;NOM;MASC;SG
джин	žans	джин	žans	PART	PROPN;NOM;MASC;SG
джин	džīna	джин	džīna	PART	PROPN;NOM;FEM;SG
джин	gēns	джин	gēns	PART	N;NOM;MASC;SG
джин	gēnu	джин	gēns	PART	N;ACC;MASC;SG
продано	pārdoti	продать	pārdot	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
продано	pārdod	продать	pārdot	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IMP;SG;2;POS;FIN;ACT
материнская	mātes	материнский	māte	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
мощный	spēcīgi	мощный	spēcīgs	ADJ;NOM;MASC;SG	ADV
кругах	aprindās	круг	aprinda	N;INAN;ESS;MASC;PL	N;ESS;FEM
кругах	aprindas	круг	aprinda	N;INAN;ESS;MASC;PL	N;NOM;FEM;PL
записать	rekords	записать	rekords	V;PFV;NFIN;ACT	N;NOM;MASC;SG
записать	ieraksts	записать	ieraksts	V;PFV;NFIN;ACT	N;NOM;MASC;SG
испанская	spāņu	испанский	spānis	ADJ;NOM;FEM;SG	N;GEN;MASC;PL
испанская	spānijas	испанский	spānija	ADJ;NOM;FEM;SG	PROPN;NOM;FEM;SG
разнообразные	daudzveidīga	разнообразный	daudzveidīga	ADJ;NOM;PL	ADJ;NOM;FEM;SG
мол	mol	мол	mol	ADV	
льда	ledu	лед	ledus	N;INAN;GEN;MASC;SG	N;ACC;MASC
льда	ice	лед	ice	N;INAN;GEN;MASC;SG	
льда	ledus	лед	ledus	N;INAN;GEN;MASC;SG	N;NOM;MASC
северные	ziemeļu	северный	ziemelis	ADJ;NOM;PL	N;GEN;MASC;PL
зимний	ziemā	зимний	ziema	ADJ;NOM;MASC;SG	N;ESS;FEM;SG
зимний	ziema	зимний	ziema	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
зимний	ziemai	зимний	ziema	ADJ;NOM;MASC;SG	N;DAT;FEM;SG
институты	institūtiem	институт	institūts	N;INAN;NOM;MASC;PL	N;DAT;MASC;PL
немецкое	vācijas	немецкий	vācija	ADJ;NOM;NEUT;SG	PROPN;NOM;FEM;SG
немецкое	vācietis	немецкий	vācietis	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
немецкое	vācu	немецкий	vāci	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
норвежский	norvēģu	норвежский	norvēģis	ADJ;NOM;MASC;SG	N;GEN;MASC;PL
норвежский	norvēģijas	норвежский	norvēģija	ADJ;NOM;MASC;SG	PROPN;NOM;FEM;SG
командиров	komandieriem	командир	komandieris	N;ANIM;GEN;MASC;PL	N;DAT;MASC;PL
командиров	komandieri	командир	komandiere	N;ANIM;GEN;MASC;PL	N;ACC;FEM;SG
взяв	ņemšana	брать	ņemšana	V;PFV;PST;V.CVB;ACT	N;NOM;FEM;SG
дополнительная	papildu	дополнительный	papildu	ADJ;NOM;FEM;SG	N
дополнительная	papildus	дополнительный	papildus	ADJ;NOM;FEM;SG	ADV
дополнительная	ekstra	дополнительный	ekstrs	ADJ;NOM;FEM;SG	
дополнительная	papildu	дополнительный	papildu	ADJ;NOM;FEM;SG	N
дополнительная	extra	дополнительный	extra	ADJ;NOM;FEM;SG	
десятилетий	desmitgades	десятилетие	desmitgade	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL
гостиницы	viesnīcās	гостиница	viesnīca	N;INAN;NOM;FEM;PL	N;ESS;FEM;PL
гостиницы	viesnīcu	гостиница	viesnīca	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
гостиницы	viesnīcām	гостиница	viesnīcas	N;INAN;NOM;FEM;PL	N;DAT;FEM;PL
конкретный	specifiskas	конкретный	specifiska	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
конкретный	īpašie	конкретный	īpašs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
конкретный	konkrētus	конкретный	konkrēts	ADJ;NOM;MASC;SG	ADJ;ACC;MASC;PL
конкретный	betona	конкретный	betons	ADJ;NOM;MASC;SG	N;GEN;MASC;SG
верить	tici	верить	ticēt	V;IPFV;NFIN;ACT	INTJ
верность	uzticības	верность	uzticība	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
верность	lojalitātes	верность	lojalitāte	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
поднять	lifts	поднять	lifts	V;PFV;NFIN;ACT	N;NOM;MASC;SG
медики	mediķiem	медик	mediķis	N;ANIM;NOM;MASC;PL	N;DAT;MASC;PL
репутацию	reputācijas	репутация	reputācija	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
репутацию	reputācijai	репутация	reputācija	N;INAN;ACC;FEM;SG	N;DAT;FEM;SG
репутацию	reputācija	репутация	reputācija	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
школьников	skolēni	школьник	skolēns	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
коммуникации	komunikācija	коммуникация	komunikācija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
коммуникации	saziņa	коммуникация	saziņa	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
коммуникации	komunikāciju	коммуникация	komunikācija	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
костюм	uzvalku	костюм	uzvalks	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
избирательный	selektīvi	избирательный	selektīvi	ADJ;NOM;MASC;SG	ADV
норма	norm	норма	norm	N;INAN;NOM;FEM;SG	
отдельное	atsevišķu	отдельный	atsevišķs	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
отдельное	atsevišķie	отдельный	atsevišķs	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
отдельное	atsevišķi	отдельный	atsevišķi	ADJ;NOM;NEUT;SG	ADV
крус	cruz	крус	cruz	N;INAN;NOM;FEM;SG	
отбора	atlases	отбор	atlase	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL
отбора	izvēle	отбор	izvēle	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
отбора	atlase	отбор	atlase	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
отбора	izlase	отбор	izlase	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
бойцы	kaujinieku	боец	kaujinieks	N;ANIM;NOM;MASC;PL	N;ACC;MASC;SG
лук	allium	лук	allium	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
лук	sīpoli	лук	sīpoles	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
лук	sīpolu	лук	sīpols	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
лук	sīpoli	лук	sīpoles	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
лук	tauriņi	лук	tauriņš	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
ушел	prom	уйти	prom	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADV
прусской	prūšu	прусский	prūts	ADJ;INS;FEM;SG	N;GEN;MASC;PL
фишер	fišers	фишер	fišers	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
фишер	fischer	фишер	fischer	N;ANIM;NOM;MASC;SG	
симфония	simfonijas	симфония	simfonija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
скажите	saki	сказать	sacīt	V;PFV;IMP;PL;2;FIN;ACT	INTJ
разрешено	atļauti	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
разрешено	atļautas	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
разрешено	atļauti	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
разрешено	atļautas	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
разрешено	atļautas	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
разрешено	atļauti	разрешить	atļaut	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
гражданские	civilā	гражданский	civils	ADJ;NOM;PL	ADJ;NOM;FEM;SG
гражданские	civiliem	гражданский	civils	ADJ;NOM;PL	ADJ;DAT;MASC;PL
гражданские	civilā	гражданский	civils	ADJ;NOM;PL	ADJ;NOM;FEM;SG
гражданские	civilais	гражданский	civils	ADJ;NOM;PL	ADJ;NOM;MASC;SG
гражданские	civiliem	гражданский	civils	ADJ;NOM;PL	ADJ;DAT;MASC;PL
гражданские	civiliedzīvotājus	гражданский	civiliedzīvotājs	ADJ;NOM;PL	N;ACC;MASC;PL
гражданские	civiliedzīvotājiem	гражданский	civiliedzīvotājs	ADJ;NOM;PL	N;DAT;MASC;PL
гражданские	civiliedzīvotāji	гражданский	civiliedzīvotājs	ADJ;NOM;PL	N;NOM;MASC;PL
марино	marino	марино	marināt	N;INAN;NOM;MASC;SG	PROPN
александров	aleksandrova	александр	aleksandrovs	N;ANIM;NOM;MASC;PL	PROPN;NOM;FEM;SG
вызвали	uzaicināta	вызвать	uzaicināt	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
яковлев	jakovļevs	яковлев	jakovļevs	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
богдан	bogdan	богданин	bogdan	N;ANIM;NOM;MASC;SG	
проектирование	projektējot	проектирование	projektēt	N;INAN;NOM;NEUT;SG	V;V.CVB
проектирование	izstrādājot	проектирование	izstrādāt	N;INAN;NOM;NEUT;SG	V;V.CVB
завершено	pabeigti	завершить	pabeigt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
завершено	pabeigti	завершить	pabeigt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
завершено	gatavo	завершить	gatavot	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;FH;IND;2;POS;PRS;FIN;ACT
сталинская	staļinisma	сталинский	staļinisms	ADJ;NOM;FEM;SG	N;GEN;MASC;SG
франс	franss	франс	franss	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
франс	franciju	франс	francija	N;INAN;NOM;MASC;SG	PROPN;ACC;FEM;SG
франс	francijā	франс	francija	N;INAN;NOM;MASC;SG	PROPN;ESS;FEM;SG
франс	francija	франс	francija	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
франс	france	франс	france	N;INAN;NOM;MASC;SG	
индейцы	indiešu	индеец	indietis	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
трио	trio	трио	trīs	N;INAN;NOM;NEUT;SG	
польшу	polija	польша	polija	N;INAN;ACC;FEM;SG	PROPN;NOM;FEM;SG
польшу	polijas	польша	polija	N;INAN;ACC;FEM;SG	PROPN;NOM;FEM;SG
польшу	polijā	польша	polija	N;INAN;ACC;FEM;SG	PROPN;ESS;FEM;SG
толщиной	biezs	толщина	biezs	N;INAN;INS;FEM;SG	ADJ;NOM;MASC;SG
толщиной	biezas	толщина	bieza	N;INAN;INS;FEM;SG	ADJ;NOM;FEM;PL
толщиной	bieza	толщина	bieza	N;INAN;INS;FEM;SG	ADJ;NOM;FEM;SG
толщиной	biezi	толщина	biezs	N;INAN;INS;FEM;SG	ADV
достоинство	cieņu	достоинство	cieņa	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
верующих	ticīgajiem	верующий	ticīgs	N;ANIM;ACC;MASC;PL	ADJ;DAT;MASC;PL
верующих	uzticamais	верующий	uzticēt	N;ANIM;ACC;MASC;PL	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
верующих	uzticīgs	верующий	uzticīgs	N;ANIM;ACC;MASC;PL	ADJ;NOM;MASC;SG
пустыни	tuksnesis	пустыня	tuksnesis	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
пустыни	tuksnešiem	пустыня	tuksnesis	N;INAN;NOM;FEM;PL	N;DAT;MASC;PL
оборона	aizsardzības	оборона	aizsardzība	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
аллен	alens	аллен	alens	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
христос	kristus	христос	krists	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
христос	kristu	христос	krist	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
снята	izņemti	снять	izņemt	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
эрика	erika	эрик	eriks	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
приобретает	iegūst	приобретать	iegūt	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;SG;2;POS;FIN;ACT
согласиться	piekrītu	согласиться	piekrist	V;PFV;NFIN;MID	V;FH;IND;SG;1;POS;PST;FIN;ACT
согласиться	vienojas	согласиться	vienoties	V;PFV;NFIN;MID	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
пещера	alas	пещера	ala	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
