है	האי	है	האי	V;IND;SG;3;PRS;FIN;ACT	
दिया	נתון	दे	נתון	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC;SG
दिया	מסרו	दे	מסר	V;PFV;MASC;SG;V.PTCP;ACT	V;PL;3;PST;ACT
दिया	נתן	दे	נתן	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
अन्य	אחרים	अन्य	אחר	N;NOM;MASC;SG;3	ADJ;MASC;PL
अन्य	אחר	अन्य	אחר	N;NOM;MASC;SG;3	ADP
अन्य	אחרות	अन्य	אחר	N;NOM;MASC;SG;3	ADJ;FEM;PL
अन्य	אחרים	अन्य	אחר	N;NOM;MASC;SG;3	ADJ;MASC;PL
अन्य	ואחרים	अन्य	ואחר	N;NOM;MASC;SG;3	PROPN
वर्ष	שנים	वर्ष	שנה	N;NOM;MASC;SG;3	N;FEM;PL
समय	הזמן	समय	הזמן	N;NOM;MASC;SG;3	
समय	טיים	समय	טיים	N;NOM;MASC;SG;3	PROPN
नाम	השם	नाम	השם	N;NOM;MASC;SG;3	
नाम	שם	नाम	שם	N;NOM;MASC;SG;3	ADV
वे	הן	वह	הוא	PRO;NOM;SG;3	PRO;FEM;PL;3
वे	הם	वह	הוא	PRO;NOM;SG;3	PRO;MASC;PL;3
प्रकार	אדיב	प्रकार	אדיב	N;NOM;MASC;SG;3	PROPN
प्रकार	הסוגים	प्रकार	הסוג	N;NOM;MASC;SG;3	N;MASC;PL
प्रकार	סוגים	प्रकार	סוג	N;NOM;MASC;SG;3	N;MASC;PL
प्रकार	טיפוסים	प्रकार	טיפוס	N;NOM;MASC;SG;3	N;MASC;PL
भारतीय	הודית	भारतीय	הודי	PROPN;NOM;SG;3	ADV
भारतीय	אינדיאני	भारतीय	אינדיאני	PROPN;NOM;SG;3	PROPN
भारतीय	הודי	भारतीय	הודי	PROPN;NOM;SG;3	
किसी	מישהי	कोई	מישהי	PRO;ACC;SG;3	PROPN
किसी	מישהו	कोई	מישהו	PRO;ACC;SG;3	N;MASC;SG
क्षेत्र	האזור	क्षेत्र	האזור	N;NOM;MASC;SG;3	PROPN
क्षेत्र	אזורים	क्षेत्र	אזור	N;NOM;MASC;SG;3	N;MASC;PL
क्षेत्र	תחומים	क्षेत्र	תחום	N;NOM;MASC;SG;3	N;MASC;PL
अधिक	עוד	अधिक	עוד	DET	ADV
अधिक	יותר	अधिक	יותר	DET	ADV
कई	הרבה	कई	הרבה	DET	ADV
कई	רבות	कई	רב	DET	N;FEM;PL
कई	רבים	कई	רב	DET	V;MASC;PL;V.PTCP;ACT
वाले	ווייל	वाला	וייל	V;MASC;PL;FIN;ACT	PROPN
स्थित	אותרה	स्थित	אותר	ADJ	PROPN
स्थित	ממוקמת	स्थित	מוקם	ADJ	V;FEM;SG;V.PTCP;PASS
स्थित	ממוקם	स्थित	מוקם	ADJ	V;MASC;SG;V.PTCP;PASS
मण्डल	אזור	मण्डल	אזור	PROPN;NOM;MASC;SG;3	N;MASC;SG
आधिकारिक	רישמי	आधिकारिक	רישמי	ADJ	PROPN
कारण	סיבות	कारण	סיבה	N;NOM;MASC;SG;3	N;FEM;PL
कारण	הסיבה	कारण	הסיב	N;NOM;MASC;SG;3	V;FEM;SG;3;PST;ACT
कारण	סיבות	कारण	סיבה	N;NOM;MASC;SG;3	N;FEM;PL
होने	היותך	हो	היותך	V;MASC;NFIN;ACT	
जैसे	כמו	जैसे	כמו	CONJ	ADP
जैसे	אוהב	जैसे	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
जैसे	כאילו	जैसे	כאילו	CONJ	CONJ
करता	בריונים	कर	בריון	V;IPFV;MASC;SG;V.PTCP;ACT	N;MASC;PL
उनके	שלהם	वह	של	PRO;MASC;SG;3;FORM	
उनके	אותם	वह	None	PRO;MASC;SG;3;FORM	PRO;ACC;MASC;PL;3
सबसे	רובם	सबसे	None	ADJ;NOM	N;MASC;SG
सबसे	רוב	सबसे	רוב	ADJ;NOM	N;MASC;SG
सबसे	הרוב	सबसे	הרוב	ADJ;NOM	
सबसे	הכי	सबसे	הכי	ADJ;NOM	
हिन्दी	הינדי	हिन्दी	הינדי	PROPN;NOM;FEM;SG;3	PROPN
बहुत	מאוד	बहुत	מאוד	DET	ADV
पहले	לפני	पहले	לפני	ADV;NOM;MASC;SG;3	ADP
पहले	ראשון	पहले	ראשון	ADV;NOM;MASC;SG;3	PROPN
अपनी	משל	अपना	משל	PRO;NOM;FEM	
जब	מתי	जब	מתי	PRO;NOM	ADV
जब	כאשר	जब	כאשר	PRO;NOM	CONJ
उन्होंने	הן	वह	הוא	PRO;SG;3;FORM	PRO;FEM;PL;3
उन्होंने	הם	वह	הוא	PRO;SG;3;FORM	PRO;MASC;PL;3
उन्होंने	המצרים	वह	המצר	PRO;SG;3;FORM	N;MASC;PL
जन्म	נולדת	जन्म	נולדת	N;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;MID
जन्म	נולדתי	जन्म	נולדתי	N;NOM;MASC;SG;3	V;SG;1;PST;MID
जन्म	נולדו	जन्म	נולד	N;NOM;MASC;SG;3	V;PL;3;PST;MID
जन्म	נולד	जन्म	נולד	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;MID
जन्म	נולדה	जन्म	נולד	N;NOM;MASC;SG;3	V;FEM;SG;3;PST;MID
जन्म	לידת	जन्म	לידה	N;NOM;MASC;SG;3	PROPN
कोई	קוי	कोई	קוי	PRO;NOM;SG;3	
कोई	כל	कोई	כול	PRO;NOM;SG;3	DET;PSSD
इन	פונדק	यह	פונדק	DET;ACC;PL;3	
ये	זה	यह	זה	PRO;NOM;PL;3	PRO;MASC;SG;3
ये	אלו	यह	אלו	PRO;NOM;PL;3	PRO;PL;3
ये	אלה	यह	אלה	PRO;NOM;PL;3	PRO;MASC;PL;3
कम	שפל	कम	שפל	DET	N;MASC;SG
कम	נמוך	कम	נמוך	DET	ADJ;MASC;SG
कम	נמוכה	कम	נמוך	DET	ADJ;FEM;SG
कम	פחות	कम	פחות	DET	ADV
कम	פחות	कम	פחות	DET	ADV
कहा	סעיד	कह	סעיד	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
कहा	אמרה	कह	אמרה	V;PFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
आदि	עוד	आदि	עוד	PART	ADV
आदि	יותר	आदि	יותר	PART	ADV
आदि	עדי	आदि	עדי	PART	PROPN
उसके	שלו	वह	של	PRO;MASC;SG;3	
उसके	שלה	वह	של	PRO;MASC;SG;3	
उसके	בה	वह	ב	PRO;MASC;SG;3	
उसके	לה	वह	ל	PRO;MASC;SG;3	
उसके	עליה	वह	על	PRO;MASC;SG;3	
उसके	אותה	वह	None	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
प्राचीन	פרימיטיבי	प्राचीन	פרימיטיבי	ADJ;NOM	N;MASC;SG
प्राचीन	עתיקים	प्राचीन	עתיק	ADJ;NOM	N;MASC;PL
प्राचीन	עתיקה	प्राचीन	עתיק	ADJ;NOM	N;FEM;SG
प्राचीन	עתיקות	प्राचीन	עתיקות	ADJ;NOM	
प्राचीन	עתיק	प्राचीन	עתיק	ADJ;NOM	
प्राचीन	העתיקה	प्राचीन	העתיק	ADJ;NOM	V;FEM;SG;3;PST;ACT
देखें	שעון	देख	שעון	V;SBJV;PL;FIN;ACT	PROPN
देखें	צפו	देख	צפה	V;SBJV;PL;FIN;ACT	PROPN
देखें	צפה	देख	צפה	V;SBJV;PL;FIN;ACT	PROPN
देखें	ראי	देख	ראי	V;SBJV;PL;FIN;ACT	
देखें	רואה	देख	ראה	V;SBJV;PL;FIN;ACT	V;MASC;SG;V.PTCP;ACT
देखें	ראה	देख	ראה	V;SBJV;PL;FIN;ACT	V;MASC;SG;3;PST;ACT
देखें	צפי	देख	None	V;SBJV;PL;FIN;ACT	
देखें	צפייה	देख	צפייה	V;SBJV;PL;FIN;ACT	N;FEM;SG
देखें	צפה	देख	צפה	V;SBJV;PL;FIN;ACT	PROPN
देखें	תצוגה	देख	תצוגה	V;SBJV;PL;FIN;ACT	N;FEM;SG
देखें	הצג	देख	הצג	V;SBJV;PL;FIN;ACT	
उत्तर	תשובה	उत्तर	תשובה	PROPN;NOM;MASC;SG;3	N;FEM;SG
उत्तर	תענה	उत्तर	תענה	PROPN;NOM;MASC;SG;3	V;FEM;SG;3;FUT
उत्तर	ענה	उत्तर	ענה	PROPN;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
उत्तर	התשובה	उत्तर	התשובה	PROPN;NOM;MASC;SG;3	V;MASC;SG;3;PST
उत्तर	צפונה	उत्तर	צפון	PROPN;NOM;MASC;SG;3	ADV
उत्तर	הצפון	उत्तर	הצפון	PROPN;NOM;MASC;SG;3	PROPN
उत्तर	צפון	उत्तर	צפון	PROPN;NOM;MASC;SG;3	N;MASC;SG
उत्तर	תשובות	उत्तर	תשובה	PROPN;NOM;MASC;SG;3	N;FEM;PL
भाषा	שפות	भाषा	שפה	N;NOM;FEM;SG;3	N;FEM;PL
लिये	בשביל	ले	בשביל	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	כולם	सब	None	PRO;NOM;3	N;MASC;PL
सभी	הכל	सब	הכיל	PRO;NOM;3	N
सभी	כל	सब	כול	PRO;NOM;3	DET;PSSD
प्राप्त	הושג	प्राप्त	הושג	ADJ	V;MASC;SG;3;PST;PASS
प्राप्त	התקבלה	प्राप्त	התקבל	ADJ	V;FEM;SG;3;PST
प्राप्त	שהתקבלו	प्राप्त	שהתקבל	ADJ	V;PL;3;PST
प्राप्त	התקבל	प्राप्त	התקבל	ADJ	V;MASC;SG;3;PST
प्राप्त	קיבל	प्राप्त	קיבל	ADJ	V;MASC;SG;3;PST;ACT
प्राप्त	התקבלו	प्राप्त	התקבל	ADJ	V;PL;3;PST
इसका	שלו	यह	של	PRO;MASC;SG;3	
प्रयोग	ניסויים	प्रयोग	ניסוי	N;NOM;MASC;SG;3	N;MASC;PL
शामिल	כולל	शामिल	כלל	ADJ	V;MASC;SG;V.PTCP;ACT
शामिल	כוללת	शामिल	כלל	ADJ	V;FEM;SG;V.PTCP;ACT
शामिल	כולל	शामिल	כלל	ADJ	V;MASC;SG;V.PTCP;ACT
शामिल	כלולים	शामिल	כלול	ADJ	V;MASC;PL;V.PTCP;ACT
शामिल	כלול	शामिल	כלול	ADJ	V;MASC;SG;V.PTCP;ACT
शामिल	כלול	शामिल	כלול	ADJ	V;MASC;SG;V.PTCP;ACT
उन्हें	אותם	वह	None	PRO;SG;3;FORM	PRO;ACC;MASC;PL;3
उस	זה	वह	זה	DET;ACC;SG;3	PRO;MASC;SG;3
स्थान	מקומות	स्थान	מקום	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	למקומות	स्थान	למקום	N;NOM;MASC;SG;3	
स्थान	מיקומים	स्थान	מיקומים	N;NOM;MASC;SG;3	N;MASC;PL
स्थान	המקום	स्थान	המקום	N;NOM;MASC;SG;3	
प्रमुख	ראשי	प्रमुख	ראש	N;NOM;MASC;SG;3	N;PSSD;MASC;PL
बीच	חוף	बीच	חוף	ADV;NOM;MASC;SG;3	PROPN
बीच	החוף	बीच	החוף	ADV;NOM;MASC;SG;3	PROPN
बीच	המרכז	बीच	המרכז	ADV;NOM;MASC;SG;3	PROPN
बीच	מרכז	बीच	מרכז	ADV;NOM;MASC;SG;3	N;MASC;SG
बीच	סנטר	बीच	סנטר	ADV;NOM;MASC;SG;3	PROPN
गए	נעלמה	जा	נעלם	V;PFV;MASC;PL;V.PTCP;ACT	V;FEM;SG;3;PST;MID
गए	הלכה	जा	הלכה	V;PFV;MASC;PL;V.PTCP;ACT	N;FEM;SG
गए	נעלמו	जा	נעלם	V;PFV;MASC;PL;V.PTCP;ACT	V;PL;3;PST;MID
गए	הלך	जा	הלך	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;3;PST
गए	נעלם	जा	נעלם	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;MID
गए	הלכה	जा	הלכה	V;PFV;MASC;PL;V.PTCP;ACT	N;FEM;SG
गए	הלך	जा	הלך	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;3;PST
मुख्य	המפקדת	मुख्य	המפקד	PROPN;NOM;MASC;SG;3	N;FEM;SG
मुख्य	ראשי	मुख्य	ראש	PROPN;NOM;MASC;SG;3	N;PSSD;MASC;PL
थी	היה	था	היה	V;FEM;IND;SG;PST;FIN;ACT	V;MASC;SG;3;POS;PST
थी	הייתה	था	היה	V;FEM;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
थी	היתה	था	היה	V;FEM;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
उसे	בו	वह	ב	PRO;SG;3	ADP
उसे	אותו	वह	None	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	שלה	वह	של	PRO;SG;3	
उसे	בה	वह	ב	PRO;SG;3	
उसे	לה	वह	ל	PRO;SG;3	
उसे	עליה	वह	על	PRO;SG;3	
उसे	אותה	वह	None	PRO;SG;3	PRO;ACC;FEM;SG;3
कार्य	משימות	कार्य	משימה	N;NOM;MASC;SG;3	N;FEM;PL
कार्य	מטלות	कार्य	הטלה	N;NOM;MASC;SG;3	N;FEM;PL
कार्य	איוב	कार्य	איוב	N;NOM;MASC;SG;3	
कार्य	עבודות	कार्य	עבודה	N;NOM;MASC;SG;3	N;FEM;PL
कार्य	משרות	कार्य	משרה	N;NOM;MASC;SG;3	N;FEM;PL
उनकी	שלהם	वह	של	PRO;FEM;SG;3;FORM	
नगर	טאון	नगर	טאון	N;NOM;MASC;SG;3	PROPN
नगर	העיר	नगर	העיר	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
नगर	העיר	नगर	העיר	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
उपयोग	להשתמש	उपयोग	השתמש	N;NOM;MASC;SG;3	V;NFIN
उपयोग	השתמש	उपयोग	השתמש	N;NOM;MASC;SG;3	V;MASC;SG;3;PST
उपयोग	משתמשת	उपयोग	השתמש	N;NOM;MASC;SG;3	V;FEM;SG;V.PTCP
उपयोग	שימושים	उपयोग	שימושים	N;NOM;MASC;SG;3	N;MASC;PL
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	החיים	जीवन	החיים	N;NOM;MASC;SG;3	ADV
जीवन	חיים	जीवन	חיים	N;NOM;MASC;SG;3	PROPN
विश्व	העולם	विश्व	העולם	N;NOM;MASC;SG;3	
भाग	מחלקות	भाग	מחלקה		N;FEM;PL
भाग	חלקים	भाग	חלק		N;MASC;PL
भाग	חלק	भाग	חלק		N;MASC;SG
भाग	חלקים	भाग	חלק		N;MASC;PL
निर्माण	היצירה	निर्माण	היצירה	N;NOM;MASC;SG;3	ADV
निर्माण	יבנה	निर्माण	יבנה	N;NOM;MASC;SG;3	PROPN
निर्माण	בנה	निर्माण	בנה	N;NOM;MASC;SG;3	
निर्माण	לבנות	निर्माण	בנה	N;NOM;MASC;SG;3	V;NFIN;ACT
गई	הלכה	जा	הלכה	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
दोनों	שתיהן	दो	שתיים	N;ACC;MASC;PL;3	PRO;FEM;PL;3
दोनों	שניהם	दो	שניים	N;ACC;MASC;PL;3	
राष्ट्रीय	לאומי	राष्ट्रीय	לאומי	PROPN;NOM;MASC;SG;3	PROPN
राष्ट्रीय	לאומית	राष्ट्रीय	לאומי	PROPN;NOM;MASC;SG;3	ADV
शहर	העיר	शहर	העיר	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
शहर	ערים	शहर	עיר	N;NOM;MASC;SG;3	N;FEM;PL
शहर	הערים	शहर	הערים	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
बार	ברים	बार	בר	N;NOM;FEM;SG;3	N;MASC;PL
बार	סורגים	बार	סורג	N;NOM;FEM;SG;3	N;MASC;PL
बार	בארים	बार	בארים	N;NOM;FEM;SG;3	N;MASC;PL
बार	בר	बार	בר	N;NOM;FEM;SG;3	
बार	פעמים	बार	פעם	N;NOM;FEM;SG;3	N;FEM;PL
बार	הטיימס	बार	הטיימס	N;NOM;FEM;SG;3	PROPN
बार	טיימס	बार	טיימס	N;NOM;FEM;SG;3	PROPN
बार	זמנים	बार	זמן	N;NOM;FEM;SG;3	N;MASC;PL
वाली	ויילי	वाला	ויילי	ADP;NOM;FEM;SG	PROPN
लगभग	כמעט	लगभग	כמעט	PART	ADV
लगभग	בקירוב	लगभग	בקירוב	PART	ADV
यहाँ	פה	यहाँ	פה	PRO;NOM	ADV
यहाँ	כאן	यहाँ	כאן	PRO;NOM	ADV
प्रसिद्ध	מפורסם	प्रसिद्ध	מפורסם	ADJ	V;MASC;SG;V.PTCP;PASS
प्रसिद्ध	המפורסם	प्रसिद्ध	המפורסם	ADJ	PROPN
केवल	בלבד	केवल	בלבד	PART	ADV
केवल	רק	केवल	רק	PART	ADV
देश	ארצי	देश	ארצי	N;NOM;MASC;SG;3	PROPN
देश	אומה	देश	אומה	N;NOM;MASC;SG;3	
देश	האומה	देश	האום	N;NOM;MASC;SG;3	PROPN
देश	מדינות	देश	מדינה	N;NOM;MASC;SG;3	N;FEM;PL
देश	ארצות	देश	ארץ	N;NOM;MASC;SG;3	N;FEM;PL
वेबसाइट	האתר	वेबसाइट	האתר	N;NOM;FEM;SG;3	
अलग	פרודים	अलग	פרוד	ADJ	N;MASC;PL
अलग	מופרדים	अलग	הופרד	ADJ	V;MASC;PL;V.PTCP;PASS
अलग	שונה	अलग	שונה	ADJ	
अलग	בנפרד	अलग	בנפרד	ADJ	PROPN
अलग	נפרדים	अलग	נפרד	ADJ	V;MASC;PL;V.PTCP;MID
विशेष	בבלעדיות	विशेष	בבלעדיות	ADJ;NOM	N;FEM;PL
विशेष	בלעדי	विशेष	בלעדי	ADJ;NOM	PROPN
विशेष	בלעדיות	विशेष	בלעדי	ADJ;NOM	N;FEM;PL
विशेष	ספיישל	विशेष	ספיישל	ADJ;NOM	PROPN
इसकी	שלו	यह	של	PRO;FEM;SG;3	
दी	בהינתן	दे	בהינתן	V;PFV;FEM;SG;V.PTCP;ACT	ADV
दी	שניתנו	दे	שניתנו	V;PFV;FEM;SG;V.PTCP;ACT	
दी	ניתנה	दे	ניתן	V;PFV;FEM;SG;V.PTCP;ACT	V;FEM;SG;3;PST;MID
दी	ניתנו	दे	ניתן	V;PFV;FEM;SG;V.PTCP;ACT	V;PL;3;PST;MID
दी	נתון	दे	נתון	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
दी	מסרו	दे	מסר	V;PFV;FEM;SG;V.PTCP;ACT	V;PL;3;PST;ACT
दी	נתן	दे	נתן	V;PFV;FEM;SG;V.PTCP;ACT	PROPN
पृष्ठ	דף	पृष्ठ	דף	N;NOM;MASC;SG;3	
पृष्ठ	עמוד	पृष्ठ	עמוד	N;NOM;MASC;SG;3	
पृष्ठ	הדף	पृष्ठ	הדף	N;NOM;MASC;SG;3	
पृष्ठ	דפים	पृष्ठ	דף	N;NOM;MASC;SG;3	N;MASC;PL
पृष्ठ	עמודים	पृष्ठ	עמוד	N;NOM;MASC;SG;3	N;MASC;PL
माना	נחשבת	मान	נחשב	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;V.PTCP;MID
माना	נחשב	मान	נחשב	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;MID
माना	מאנה	मान	מאנה	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
माना	לכאורה	मान	לכאורה	V;PFV;MASC;SG;V.PTCP;ACT	ADV
माना	כביכול	मान	כביכול	V;PFV;MASC;SG;V.PTCP;ACT	
शब्द	מלים	शब्द	מילה	N;NOM;MASC;SG;3	N;FEM;PL
शब्द	מילות	शब्द	מילה	N;NOM;MASC;SG;3	N;FEM;PL
शब्द	מילים	शब्द	מילה	N;NOM;MASC;SG;3	N;FEM;PL
फिर	ואז	फिर	ואז	ADV	
तीन	three	तीन	three	NUM	
पुरस्कार	פרסים	पुरस्कार	פרס	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	גמול	पुरस्कार	גמול	N;NOM;MASC;SG;3	PROPN
पुरस्कार	פרס	पुरस्कार	פרס	N;NOM;MASC;SG;3	PROPN
पुरस्कार	פרס	पुरस्कार	פרס	N;NOM;MASC;SG;3	PROPN
पुरस्कार	פרסים	पुरस्कार	פרס	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	פרסים	पुरस्कार	פרס	N;NOM;MASC;SG;3	N;MASC;PL
पुरस्कार	פרס	पुरस्कार	פרס	N;NOM;MASC;SG;3	PROPN
पुरस्कार	גמול	पुरस्कार	גמול	N;NOM;MASC;SG;3	PROPN
लेख	מאמרים	लेख	מאמר	N;NOM;MASC;SG;3	N;MASC;PL
लेख	התזה	लेख	התזה	N;NOM;MASC;SG;3	
लेख	המאמר	लेख	המאמר	N;NOM;MASC;SG;3	PROPN
अब	כעת	अब	כעת	PRO;NOM	ADV
अब	עכשיו	अब	עכשיו	PRO;NOM	ADV
अमेरिका	אמריקה	अमेरिका	אמריקה	PROPN;NOM;MASC;SG;3	PROPN
मंदिर	מקדש	मंदिर	מקדש	N;NOM;MASC;SG;3	PROPN
मंदिर	המקדש	मंदिर	המקדש	N;NOM;MASC;SG;3	PROPN
अलावा	תוספת	अलावा	תוספת	ADP	N;FEM;SG
अलावा	בנפרד	अलावा	בנפרד	ADP	PROPN
दक्षिण	דרום	दक्षिण	דרום	PROPN;NOM;MASC;SG;3	N;MASC;SG
दक्षिण	דרומה	दक्षिण	דרומה	PROPN;NOM;MASC;SG;3	
दक्षिण	הדרום	दक्षिण	הדרום	PROPN;NOM;MASC;SG;3	
लिया	תפוסה	ले	תפוסה	V;PFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
लिया	צולם	ले	צולם	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
लिया	נלקח	ले	נלקח	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;3;PST;MID
लिया	נלקחו	ले	נלקח	V;PFV;MASC;SG;V.PTCP;ACT	V;PL;3;PST;MID
लिया	נלקחה	ले	נלקח	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;3;PST;MID
क्योंकि	בגלל	क्योंकि	בגלל	CONJ	ADP
पास	מסירה	पास	מסירה	ADV;NOM;MASC;SG;3	N;FEM;SG
विस्तृत	מפורטת	विस्तृत	פורט	ADJ	V;FEM;SG;V.PTCP;PASS
विस्तृत	מפורט	विस्तृत	פורט	ADJ	V;MASC;SG;V.PTCP;PASS
विस्तृत	מפורטים	विस्तृत	פורט	ADJ	V;MASC;PL;V.PTCP;PASS
विस्तृत	לפרט	विस्तृत	פירט	ADJ	V;NFIN;ACT
विस्तृत	ממצה	विस्तृत	מיצה	ADJ	
विस्तृत	מתקדמת	विस्तृत	התקדם	ADJ	V;FEM;SG;V.PTCP
विस्तृत	מתקדם	विस्तृत	התקדם	ADJ	V;MASC;SG;V.PTCP
विस्तृत	מתקדמים	विस्तृत	מתקדם	ADJ	V;MASC;PL;V.PTCP
दिन	day	दिन	day	N;NOM;MASC;SG;3	
दिन	ימים	दिन	יום	N;NOM;MASC;SG;3	N;MASC;PL
दिन	ימי	दिन	יום	N;NOM;MASC;SG;3	PROPN
दिन	הימים	दिन	הימה	N;NOM;MASC;SG;3	N;MASC;PL
जाना	הכדאיות	जा	הכדאיות	V;MASC;NFIN;ACT	N;FEM;PL
शुरू	התחלנו	शुरू	התחלן	N;NOM;MASC;SG;3	V;PL;1;PST
शुरू	התחיל	शुरू	התחיל	N;NOM;MASC;SG;3	V;MASC;SG;3;PST
शुरू	התחלתי	शुरू	התחיל	N;NOM;MASC;SG;3	V;SG;1;PST;ACT
