loại	napíšte	loại	napísiť	N	V;PFV;IMP;PL;2;POS;FIN
anh	ty	anh	ty	N	PRO;NOM;SG;2
pháp	francúzske	pháp	francúzsky	N	ADJ;NOM;NEUT;SG
pháp	francúzsko	pháp	francúzsko	N	ADV
danh	importovať	danh	importovať	N	V;IPFV;POS;NFIN
chúng	nich	chúng	on	PROPN	PRO;ANIM;ACC;MASC;PL;3
chúng	ich	chúng	on	PROPN	PRO;NOM;MASC;PL;3
chúng	ne	chúng	ono	PROPN	PRO;NOM;MASC;PL;3
chúng	oni	chúng	on	PROPN	PRO;ANIM;NOM;MASC;PL;3
chúng	ony	chúng	ona	PROPN	N;NOM;MASC;PL
tập	epizóda	tập	epizóda		N;NOM;FEM;SG
tập	epizódy	tập	epizóda		N;NOM;FEM;PL
nhiều	veľa	nhiều	veľa	ADJ	NUM;NOM;NEUT;SG
nhiều	mnoho	nhiều	mnoho	ADJ	NUM;NOM;NEUT;SG
nhiều	vela	nhiều	vela	ADJ	INTJ
nhiều	veľa	nhiều	veľa	ADJ	NUM;NOM;NEUT;SG
nhiều	ovela	nhiều	ovela	ADJ	PROPN;ANIM;NOM;MASC;SG
nhiều	viacero	nhiều	viacero	ADJ	NUM;NOM;NEUT;SG
nhiều	násobok	nhiều	násobok	ADJ	N;INAN;NOM;MASC;SG
chi	chi	chi	chi	N	PROPN;NOM;FEM;SG
chi	spôsobiť	chi	spôsobiť	N	V;PFV;POS;NFIN
chỉ	ibaže	chỉ	ibaže		CONJ
chỉ	iba	chỉ	iba		PART
chỉ	len	chỉ	len		PART
chỉ	jedine	chỉ	jedine		ADV
chỉ	iba	chỉ	iba		PART
chỉ	práve	chỉ	práve		ADV
chỉ	len	chỉ	len		PART
chỉ	proste	chỉ	prost		PART
đây	sem	đây	sem	PROPN	ADV
đây	tu	đây	tu	PROPN	ADV
đây	tady	đây	tady	PROPN	INTJ
đây	tuto	đây	táto	PROPN	DET;ACC;FEM;SG
đây	here	đây	hero	PROPN	
sinh	narodená	sinh	narodený	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
sinh	narodené	sinh	narodený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
sinh	narodený	sinh	narodený	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
sinh	narodenia	sinh	narodenie	V	N;NOM;NEUT;PL
sinh	narodenie	sinh	narodenie	V	N;NOM;NEUT;SG
sinh	pôrod	sinh	pôrod	V	N;INAN;NOM;MASC;SG
con	con	con	con	N	
con	detský	con	detský	N	ADJ;ANIM;NOM;MASC;SG
con	child	con	child	N	PROPN;ANIM;NOM;MASC;SG
quan	quan	quan	quan	V	PROPN;ANIM;NOM;MASC;SG
quan	úradník	quan	úradník	V	N;ANIM;NOM;MASC;SG
quan	dôstojník	quan	dôstojník	V	N;ANIM;NOM;MASC;SG
quan	strážnik	quan	strážnik	V	N;ANIM;NOM;MASC;SG
tin	verím	tin	veriť		V;IPFV;IND;SG;1;POS;PRS;FIN
tin	veriť	tin	veriť		V;IPFV;POS;NFIN
tin	ver	tin	veriť		INTJ
tin	veria	tin	veriť		V;IPFV;IND;PL;3;POS;PRS;FIN
tin	presvedčený	tin	presvedčený		ADJ;ANIM;NOM;MASC;SG
tin	tin	tin	tin		PROPN;ANIM;NOM;MASC;SG
tin	cínu	tin	cín		N;INAN;GEN;MASC;SG
tin	príbehy	tin	príbeh		N;INAN;NOM;MASC;PL
tin	príspevky	tin	príspevok		N;INAN;NOM;MASC;PL
tin	príbehov	tin	príbeh		N;INAN;GEN;MASC;PL
tin	novinky	tin	novinky		N;NOM;FEM;PL
tin	spravy	tin	sprava		N;NOM;FEM;PL
tin	správy	tin	správa		N;NOM;FEM;PL
tin	spravodajstvo	tin	spravodajstvo		N;NOM;NEUT;SG
tin	novinka	tin	novinka		N;NOM;FEM;SG
tin	veriť	tin	veriť		V;IPFV;POS;NFIN
tin	dôvera	tin	dôvera		N;NOM;FEM;SG
tin	ver	tin	veriť		INTJ
tin	dôveru	tin	dôvera		N;ACC;FEM;SG
tin	dôverovať	tin	dôverovať		V;IPFV;POS;NFIN
đồng	đồng	đồng	đồng	N	PROPN;ANIM;NOM;MASC;SG
viên	parkovať	viên	parkovať	N	V;IPFV;POS;NFIN
hai	two	hai	two	NUM	
hai	dvojka	hai	dvojka	NUM	N;NOM;FEM;SG
phải	správne	phải	správne	V	ADV
phải	spravne	phải	spravne	V	INTJ
phải	vpravo	phải	vpravo	V	ADV
phải	právo	phải	právo	V	N;NOM;NEUT;SG
phải	sprava	phải	sprava	V	
phải	musi	phải	musieť	V	
phải	muštu	phải	mušta	V	N;INAN;GEN;MASC;SG
phải	mušt	phải	mušt	V	N;INAN;NOM;MASC;SG
bắc	severný	bắc	severný	N	ADJ;ANIM;NOM;MASC;SG
bắc	severné	bắc	severný	N	ADJ;NOM;NEUT;SG
bắc	severná	bắc	severný	N	ADJ;NOM;FEM;SG
bắc	severný	bắc	severný	N	ADJ;ANIM;NOM;MASC;SG
bắc	severnej	bắc	severný	N	ADJ;GEN;FEM;SG
bắc	severné	bắc	severný	N	ADJ;NOM;NEUT;SG
bắc	severná	bắc	severný	N	ADJ;NOM;FEM;SG
bắc	severnom	bắc	severný	N	ADJ;ESS;NEUT;SG
sách	rezervovať	sách	rezervovať	N	V;IPFV;POS;NFIN
tiểu	základnej	tiểu	základný		ADJ;GEN;FEM;SG
tiểu	malá	tiểu	malý		ADJ;NOM;FEM;SG
tiểu	málo	tiểu	málo		ADV
tiểu	malé	tiểu	malý		ADJ;NOM;NEUT;SG
tiểu	malý	tiểu	malý		ADJ;ANIM;NOM;MASC;SG
tiểu	maly	tiểu	maly		N;INAN;NOM;MASC;SG
khác	iný	khác	iný	ADJ	DET;ANIM;NOM;MASC;SG
khác	rozdielne	khác	rozdielny	ADJ	ADV
khác	iná	khác	iný	ADJ	DET;NOM;FEM;SG
khác	iný	khác	iný	ADJ	DET;ANIM;NOM;MASC;SG
khác	iná	khác	iný	ADJ	DET;NOM;FEM;SG
khác	iné	khác	iný	ADJ	DET;NOM;NEUT;SG
khác	iný	khác	iný	ADJ	DET;ANIM;NOM;MASC;SG
khác	iný	khác	iný	ADJ	DET;ANIM;NOM;MASC;SG
khác	iní	khác	iný	ADJ	DET;ANIM;NOM;MASC;PL
khác	iné	khác	iný	ADJ	DET;NOM;NEUT;SG
cao	high	cao	higho	ADJ	N;ACC;FEM;SG
cao	vysoko	cao	vysoko	ADJ	ADV
cao	gao	cao	gao	ADJ	PROPN;ANIM;NOM;MASC;SG
văn	wen	văn	wen	N	PROPN;ANIM;NOM;MASC;SG
tây	west	tây	west	N	PROPN;ANIM;NOM;MASC;SG
tây	západná	tây	západný	N	ADJ;NOM;FEM;SG
tây	západné	tây	západný	N	ADJ;NOM;NEUT;SG
tây	západný	tây	západný	N	ADJ;ANIM;NOM;MASC;SG
tây	západnej	tây	západný	N	ADJ;GEN;FEM;SG
tây	západná	tây	západný	N	ADJ;NOM;FEM;SG
tây	západné	tây	západný	N	ADJ;NOM;NEUT;SG
trường	školské	trường	školský	N	ADJ;NOM;NEUT;SG
cùng	rovnako	cùng	rovnako	ADJ	ADV
giải	voľné	giải	voľný	V	ADJ;NOM;NEUT;SG
giải	box	giải	box	V	
giải	boxu	giải	box	V	N;INAN;GEN;MASC;SG
giải	rozlíšenie	giải	rozlíšenie	V	N;NOM;NEUT;SG
giải	rezolúcia	giải	rezolúcia	V	N;NOM;FEM;SG
giải	uznesenie	giải	uznesenie	V	N;NOM;NEUT;SG
giải	uznesenia	giải	uznesenie	V	N;NOM;NEUT;PL
bang	autority	bang	autorita		N;INAN;NOM;MASC;PL
bang	úrady	bang	úrad		N;INAN;NOM;MASC;PL
bang	orgány	bang	orgán		N;INAN;NOM;MASC;PL
bang	štátu	bang	štát		N;INAN;GEN;MASC;SG
bang	štátne	bang	štátny		ADJ;NOM;NEUT;SG
bang	štát	bang	štát		N;INAN;NOM;MASC;SG
bang	štátna	bang	štátny		ADJ;NOM;FEM;SG
bang	bang	bang	bang		PROPN;ANIM;NOM;MASC;SG
tiếng	hodinový	tiếng	hodinový	N	ADJ;ANIM;NOM;MASC;SG
đông	východ	đông	východ	ADJ	N;INAN;NOM;MASC;SG
đông	východne	đông	východne	ADJ	ADV
phố	mestské	phố	mestský	N	ADJ;NOM;NEUT;SG
phố	street	phố	street	N	PROPN;ANIM;NOM;MASC;SG
xuất	výstupný	xuất	výstupný	N	ADJ;INAN;NOM;MASC;SG
xuất	exportovať	xuất	exportovať	N	V;IPFV;POS;NFIN
khu	ward	khu	ward	N	PROPN;ANIM;NOM;MASC;SG
hơn	než	hơn	než		CONJ
cánh	okrídlené	cánh	okrídlený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
cánh	wings	cánh	winga	N	PROPN;ANIM;NOM;MASC;SG
cánh	wing	cánh	wing	N	PROPN;ANIM;NOM;MASC;SG
lập	nezávislých	lập	nezávislý	V	ADJ;ANIM;GEN;MASC;PL
lập	nezávislý	lập	nezávislý	V	ADJ;ANIM;NOM;MASC;SG
lập	nezávislá	lập	závislo	V	ADJ;NOM;FEM;SG
lập	nezávislé	lập	závislý	V	ADJ;NOM;NEUT;SG
bình	bình	bình	bình	N	PROPN;ANIM;NOM;MASC;SG
cách	spôsoby	cách	spôsob	V	N;INAN;NOM;MASC;PL
cách	spôsobov	cách	spôsob	V	N;INAN;GEN;MASC;PL
đội	tým	đội	to	N	DET;INS;NEUT;SG
đội	team	đội	team	N	PROPN;ANIM;NOM;MASC;SG
dưới	pod	dưới	pod	N	ADP;INS
dưới	nižšie	dưới	nízko	N	ADV;CMPR
dưới	spodný	dưới	spodný	N	ADJ;ANIM;NOM;MASC;SG
dưới	dolný	dưới	dolný	N	ADJ;INAN;NOM;MASC;SG
dưới	pod	dưới	pod	N	ADP;INS
dưới	podľa	dưới	podľa	N	ADP;GEN
quận	powiat	quận	powiat	N	
giới	svetová	giới	svetový	N	ADJ;NOM;FEM;SG
giới	world	giới	world	N	
châu	châu	châu	cho	N	PROPN;ANIM;NOM;MASC;SG
châu	chow	châu	chow	N	PROPN;ANIM;NOM;MASC;SG
đoàn	deviaty	đoàn	deviaty	N	ADJ;INAN;NOM;MASC;SG
đoàn	deviateho	đoàn	deviaty	N	ADJ;GEN;MASC;SG
đoàn	deviatej	đoàn	deviaty	N	ADJ;GEN;FEM;SG
điều	že	điều	že	N	CONJ
điều	všeličo	điều	všeličo	N	PRO;NOM;NEUT;SG
thông	pine	thông	pin		N;ANIM;NOM;MASC;SG
bay	fly	bay	fly		
bay	letieť	bay	letieť		V;IPFV;POS;NFIN
bay	letia	bay	letieť		V;IPFV;IND;PL;3;POS;PRS;FIN
bay	lietať	bay	lietať		V;IPFV;POS;NFIN
bay	mucha	bay	mucha		N;NOM;FEM;SG
bay	lietania	bay	lietanie		N;NOM;NEUT;PL
bay	lietanie	bay	lietanie		N;NOM;NEUT;SG
bay	lietajúce	bay	lietajúci		ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
bay	letu	bay	let		N;INAN;GEN;MASC;SG
bay	let	bay	let		N;INAN;NOM;MASC;SG
bay	letom	bay	let		N;INAN;INS;MASC;SG
bay	letová	bay	letový		ADJ;NOM;FEM;SG
bay	zálive	bay	záliva		N;NOM;FEM;SG
bay	záliv	bay	záliv		N;INAN;NOM;MASC;SG
bay	bay	bay	bay		PROPN;ANIM;NOM;MASC;SG
bài	krátka	bài	krátka	N	ADJ;NOM;FEM;SG
bài	krátky	bài	krátky	N	ADJ;INAN;NOM;MASC;SG
bài	krátke	bài	krátky	N	ADJ;NOM;NEUT;SG
tích	statický	tích	statický	N	ADJ;INAN;NOM;MASC;SG
tích	statická	tích	statický	N	ADJ;NOM;FEM;SG
tích	statické	tích	statický	N	ADJ;NOM;NEUT;SG
lớn	velke	lớn	velka	ADJ	N;NOM;FEM;SG
lớn	velka	lớn	velka	ADJ	N;NOM;FEM;SG
lớn	big	lớn	big	ADJ	
phim	filmy	phim	film		N;INAN;NOM;MASC;PL
phim	filmov	phim	film		N;INAN;GEN;MASC;PL
phim	filmom	phim	film		N;INAN;INS;MASC;SG
phim	film	phim	film		N;INAN;NOM;MASC;SG
phim	filmová	phim	filmový		ADJ;NOM;FEM;SG
phim	filmom	phim	film		N;INAN;INS;MASC;SG
phim	filmová	phim	filmový		ADJ;NOM;FEM;SG
phim	film	phim	film		N;INAN;NOM;MASC;SG
phim	filmy	phim	film		N;INAN;NOM;MASC;PL
trước	prvý	trước	prvý		ADJ;ANIM;NOM;MASC;SG
trước	prvy	trước	prva		ADJ;INAN;NOM;MASC;SG
trước	najprv	trước	najprv		ADV
trước	prva	trước	prvý		N;NOM;FEM;SG
trước	prvé	trước	prvý		ADJ;NOM;NEUT;SG
trước	prvá	trước	prvý		ADJ;NOM;FEM;SG
trước	predošlý	trước	predošlý		ADJ;ANIM;NOM;MASC;SG
