نيبال	nepalu	نيبال	nepal		PROPN;NOM;MASC;SG
رايت	piła	رَاي	pić		
السوريين	syryjczyków	سُورِيّ	syryjczyk	ADJ;NOM;DEF;MASC;PL	N;ACC;MASC;PL
بروكسل	bruksela	برُوكسِل	bruksel		N;NOM;FEM;SG
بروكسل	brukseli	برُوكسِل	bruksel		
سمات	atrybutów	سِمَّة	atrybut	N;NOM;INDF;PL	N;GEN;MASC;PL
سمات	właściwości	سِمَّة	właściwość	N;NOM;INDF;PL	N;ACC;FEM;PL
مشروعات	projektów	مَشرُوع	projekt	N;NOM;INDF;PL	N;GEN;MASC;PL
الناصرة	nazaretu	نَاصِرَة	nazaret	N;NOM;DEF;SG	N;GEN;MASC;SG
البصر	celownik	بَصر	celownik	N;NOM;DEF;SG	N;ACC;MASC;SG
صوفي	sophie	صُوفِي	soph		N;NOM;FEM;SG
صوفي	zofia	صُوفِي	zofia		PROPN;NOM;FEM;SG
منغوليا	mongolski	مُنغُولِيَا	mongolski		ADJ;NOM;MASC;SG
منغوليا	mongolii	مُنغُولِيَا	mongolia		
الصليبيين	krzyżowcy	صَلِيبِيّ	krzyżowiec	ADJ;NOM;DEF;MASC;PL	N;NOM;MASC;PL
فتحت	otwierane	فَتَح	otwierać	V;PFV;FEM;SG;3;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
فتحت	otwarto	فَتَح	otwarto	V;PFV;FEM;SG;3;ACT	V;PFV;IND;0;PST;FIN;ACT
فتحت	otwarte	فَتَح	otworzyć	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
فتحت	otwarta	فَتَح	otwarty	V;PFV;FEM;SG;3;ACT	ADJ;NOM;FEM;SG
فتحت	otwarty	فَتَح	otworzyć	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
صحي	zdrowo	صِحِّيّ	zdrowo	ADJ;NOM;INDF;MASC;SG	
صحي	zdrowa	صِحِّيّ	zdrowy	ADJ;NOM;INDF;MASC;SG	
صحي	zdrowi	صِحِّيّ	zdrowy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;PL
صحي	zdrowy	صِحِّيّ	zdrowy	ADJ;NOM;INDF;MASC;SG	
المشاعر	emocji	مَشعَر	emocja	N;NOM;DEF;PL	N;GEN;FEM;SG
المشاعر	uczuć	مَشعَر	uczucie	N;NOM;DEF;PL	N;GEN;NEUT;PL
اختراق	hack	اِختِرَاق	hack	N;NOM;INDF;SG	
فيفا	fifa	فِيفَا	fifa		
ركن	zakręt	ركن	zakręt		N;NOM;MASC;SG
ركن	kącik	ركن	kącik		N;NOM;MASC;SG
ركن	róg	ركن	róg		N;NOM;MASC;SG
ركن	rogu	ركن	róg		N;GEN;MASC;SG
الاستاذ	prof	الاستاذ	prof		
الاستاذ	profesor	الاستاذ	profesor		N;NOM;MASC;SG
الاستاذ	profesorze	الاستاذ	profesor		N;VOC;MASC;SG
شق	crack	شَقّ	cracki	N;NOM;INDF;SG	
حدد	zaznacz	حَدَّد	zaznaczyć	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;SG;2;FIN;ACT
حدد	wybierz	حَدَّد	wybrać	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;SG;2;FIN;ACT
الكوميديا	komedia	كُومِيدِيَا	komediać		N;NOM;FEM;SG
الكوميديا	komedii	كُومِيدِيَا	komedia		N;GEN;FEM;SG
الكرامة	godność	كَرَامَة	godność	N;NOM;DEF;SG	N;ACC;FEM;SG
الكرامة	godności	كَرَامَة	godność	N;NOM;DEF;SG	N;GEN;FEM;SG
الكتف	bark	كِتف	bark	N;NOM;DEF;SG	
القط	kotek	قَطّ	kotek		N;NOM;MASC;SG
القط	kotka	قَطّ	kotka		N;NOM;FEM;SG
القط	kot	قَطّ	kot		N;NOM;MASC;SG
القط	kocie	قَطّ	kociać		
القط	cat	قَطّ	cat		
بركان	wulkanu	بركان	wulkać		N;IPFV;GEN;NEUT;SG;POS;V.MSDR
بركان	wulkan	بركان	wulkać		N;NOM;MASC;SG
هامبورغ	hamburgu	هامبورغ	hamburg		N;ACC;MASC;SG
هامبورغ	hamburg	هامبورغ	hamburg		PROPN;NOM;MASC;SG
جزئي	częściowo	جُزئِيّ	częściowo	ADJ;NOM;INDF;MASC;SG	ADV
ربحية	rentowności	رِبحِيّ	rentowność	N;NOM;INDF;SG	N;GEN;FEM;SG
حفيد	wnuka	حفيد	wnukać		N;ACC;MASC;SG
حفيد	wnuk	حفيد	wnuk		N;NOM;MASC;SG
حفيد	wnukiem	حفيد	wnuk		N;INS;MASC;SG
الليثيوم	lit	الليثيوم	lit		
الليثيوم	litu	الليثيوم	lit		V;IPFV;IND;SG;PRS;FIN;ACT
بنين	benin	بِنِين	benin		PROPN;NOM;MASC;SG
هدم	rozbiórki	هَدم	rozbiórka	N;NOM;INDF;SG	N;ACC;FEM;PL
اغنية	piosenki	أَغنِيّ	piosenka	N;NOM;INDF;SG	N;ACC;FEM;PL
اغنية	utwór	أَغنِيّ	utwór	N;NOM;INDF;SG	N;ACC;MASC;SG
اغنية	pieśń	أَغنِيّ	pieśń	N;NOM;INDF;SG	
اغنية	song	أَغنِيّ	song	N;NOM;INDF;SG	
مصرف	banku	مَصرِف	bank	N;NOM;INDF;SG	N;GEN;MASC;SG
مصرف	bankowe	مَصرِف	bankowy	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
قياسي	norma	قِيَاسِيّ	norma	ADJ;NOM;INDF;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
قياسي	standard	قِيَاسِيّ	standard	ADJ;NOM;INDF;MASC;SG	
مذكرة	memo	مُذَكِّرَة	memo	N;NOM;INDF;SG	
الكلاسيكي	klasycznego	كلَاسِيكِيّ	klasyczny		ADJ;ACC;MASC;SG
الكلاسيكي	klasyka	كلَاسِيكِيّ	klasyka		
الكلاسيكي	klasyczna	كلَاسِيكِيّ	klasyczny		ADJ;NOM;FEM;SG
الكلاسيكي	klasyczny	كلَاسِيكِيّ	klasyczny		ADJ;NOM;MASC;SG
الكلاسيكي	klasyczne	كلَاسِيكِيّ	klasyczny		ADJ;NOM;NEUT;SG
تلقائي	automat	تلقائي	automat		N;NOM;MASC;SG
تلقائي	automatycznie	تلقائي	automatycznie		ADV
تلقائي	automatyczne	تلقائي	automatyczny		ADJ;NOM;NEUT;SG
تلقائي	automatyczny	تلقائي	automatyczny		ADJ;NOM;MASC;SG
تلقائي	automatyczna	تلقائي	automatyczny		ADJ;NOM;FEM;SG
المنتدى	forum	مُنتَدَى	forum	N;NOM;DEF;SG	
خزان	czołg	خَزَّان	czołg	N;NOM;INDF;SG	N;ACC;MASC;SG
خزان	tank	خَزَّان	tank	N;NOM;INDF;SG	
صممت	zaprojektowane	صَمَّم	zaprojektować	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
صممت	zaprojektowana	صَمَّم	zaprojektować	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
صممت	zaprojektowano	صَمَّم	zaprojektować	V;PFV;FEM;SG;3;ACT	V;PFV;IND;0;PST;FIN;ACT
صممت	zaprojektowany	صَمَّم	zaprojektować	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
صممت	zaprojektowanych	صَمَّم	zaprojektować	V;PFV;FEM;SG;3;ACT	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
وليم	william	وليم	williać		PROPN;NOM;MASC;SG
وليم	williamie	وليم	williamia		N;DAT;FEM;SG
وليم	wilhelm	وليم	wilhelm		PROPN;NOM;MASC;SG
وليم	williama	وليم	williem		N;NOM;FEM;SG
قبله	pocałunek	قبله	pocałunek	PRO;NOM;MASC;SG;3	N;NOM;MASC;SG
قبله	buzi	قبله	buzia	PRO;NOM;MASC;SG;3	
قبله	kiss	قبله	kiss	PRO;NOM;MASC;SG;3	
حائز	posiadacza	حَائِز	posiadacz	N;NOM;INDF;SG	N;ACC;MASC;SG
حائز	uchwyt	حَائِز	uchwyt	N;NOM;INDF;SG	N;ACC;MASC;SG
التنقيب	wykopaliska	تَنقِيب	wykopalisko	N;NOM;DEF;SG	N;NOM;NEUT;PL
البعيد	daleki	بَعِيد	daleki		ADJ;NOM;MASC;SG
البعيد	odległy	بَعِيد	odlec		V;PFV;MASC;IND;SG;PST;FIN;ACT
البعيد	dalekie	بَعِيد	daleki		ADJ;NOM;NEUT;SG
البعيد	odległ	بَعِيد	odlec		V;PFV;MASC;IND;SG;PST;FIN;ACT
البعيد	zdalne	بَعِيد	zdalny		ADJ;NOM;NEUT;SG
البعيد	zdalnego	بَعِيد	zdalny		ADJ;ACC;MASC;SG
البعيد	odległy	بَعِيد	odlec		V;PFV;MASC;IND;SG;PST;FIN;ACT
البعيد	pilot	بَعِيد	pilot		N;NOM;MASC;SG
صعوبات	trudności	صُعُوبَة	trudność	N;NOM;INDF;PL	N;ACC;FEM;PL
جدل	kontrowersji	جَدَل	kontrowersja	N;NOM;INDF;SG	
شون	shawn	شَون	shawny		PROPN;NOM;MASC;SG
اسطنبول	stambule	اسطنبول	stambuł		N;NOM;MASC;SG
باتمان	batman	باتمان	batman		
باتمان	batmana	باتمان	batman		N;ACC;MASC;SG
الفلم	filmu	فَلَّم	film	N;NOM;DEF;SG	N;GEN;MASC;SG
الفلم	film	فَلَّم	film	N;NOM;DEF;SG	N;ACC;MASC;SG
يولد	urodzony	وَلَّد	urodzić	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
يولد	urodzona	وَلَّد	urodzić	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
يولد	urodzone	وَلَّد	urodzić	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
حرق	płonie	حَرق	płonąć		V;IPFV;IND;SG;3;PRS;FIN;ACT
حرق	spalić	حَرق	spalić		V;IPFV;NFIN;ACT
حرق	spal	حَرق	spal		V;IPFV;MASC;IND;SG;PST;FIN;ACT
حرق	spalanie	حَرق	spalać		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
حرق	pali	حَرق	palić		V;IPFV;IND;SG;3;PRS;FIN;ACT
حرق	płonie	حَرق	płonąć		V;IPFV;IND;SG;3;PRS;FIN;ACT
حرق	palenie	حَرق	palen		N;NOM;NEUT;SG
حرق	spalenie	حَرق	spalenie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
حرق	pieczenie	حَرق	pieczenie		N;NOM;NEUT;SG
النيجر	niger	النيجر	niger		
نقش	napis	نَقش	napis	N;NOM;INDF;SG	N;ACC;MASC;SG
فلورنسا	florencja	فِلُورَنسَا	florencja		N;NOM;FEM;SG
بورت	burt	بُورت	burt		
بورت	portu	بُورت	port		N;GEN;MASC;SG
بورت	port	بُورت	port		
مترجم	tłumacz	مُتَرجِم	tłumacz	N;NOM;INDF;SG	V;IPFV;IND;SG;PST;FIN;ACT
مترجم	tłumacza	مُتَرجِم	tłumacz	N;NOM;INDF;SG	
مترجم	tłumacz	مُتَرجِم	tłumacz	N;NOM;INDF;SG	V;IPFV;IND;SG;PST;FIN;ACT
مترجم	tłumacza	مُتَرجِم	tłumacz	N;NOM;INDF;SG	
جلسات	sesji	جَلسَة	sesja	N;NOM;INDF;PL	N;GEN;FEM;SG
القراءات	odczyt	قِرَاء	odczyt	N;NOM;DEF;PL	N;NOM;MASC;SG
عال	wysoka	عَالِي	wysoki	N;NOM;INDF;SG	
عال	wysokie	عَالِي	wysoki	N;NOM;INDF;SG	V;PFV;IND;SG;FIN;ACT
عال	high	عَالِي	high	N;NOM;INDF;SG	
عال	wysoki	عَالِي	wysoki	N;NOM;INDF;SG	
عال	wysoko	عَالِي	wysoko	N;NOM;INDF;SG	ADV
عال	głośne	عَالِي	głośny	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
عال	głośno	عَالِي	głośno	N;NOM;INDF;SG	ADV
عال	głośny	عَالِي	głośny	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
مريض	pacjenta	مَرِيض	pacjent	N;NOM;INDF;SG	N;ACC;MASC;SG
مريض	cierpliwy	مَرِيض	cierpliwy	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
مريض	chore	مَرِيض	chory	N;NOM;INDF;SG	
مريض	chora	مَرِيض	chory	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
مريض	chory	مَرِيض	chory	N;NOM;INDF;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
مريض	chorzy	مَرِيض	chorzyć	N;NOM;INDF;SG	N;NOM;MASC;PL
بطريق	pingwiny	بُطرِيق	pingwina	N;NOM;INDF;SG	N;NOM;FEM;PL
جرعة	dawkę	جُرعَة	dawka	N;NOM;INDF;SG	N;ACC;FEM;SG
جرعة	dawki	جُرعَة	dawka	N;NOM;INDF;SG	N;ACC;FEM;PL
مثيرة	sexy	مُثِير	sexa	ADJ;NOM;INDF;FEM;SG	
المقيمين	rezydentów	مُقِيم	rezydent	ADJ;ACC;DEF;MASC;PL	N;ACC;MASC;PL
المقيمين	mieszkańców	مُقِيم	mieszkaniec	ADJ;ACC;DEF;MASC;PL	N;ACC;MASC;PL
المقيمين	mieszkańcy	مُقِيم	mieszkaniec	ADJ;ACC;DEF;MASC;PL	N;NOM;MASC;PL
شتاء	winter	شِتَاء	winter	N;NOM;INDF;SG	
شتاء	zimowy	شِتَاء	zimowy	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
شتاء	zimy	شِتَاء	zima	N;NOM;INDF;SG	N;ACC;FEM;SG
شتاء	zimowe	شِتَاء	zimowy	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
شرب	pije	شُرب	pić	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
شرب	piła	شُرب	pić	N;NOM;INDF;SG	
شرب	pić	شُرب	pić	N;NOM;INDF;SG	V;IPFV;NFIN;ACT
شرب	pić	شُرب	pić	N;NOM;INDF;SG	V;IPFV;NFIN;ACT
اكتساب	nabyć	اِكتِسَاب	nabyć	N;NOM;INDF;SG	V;PFV;NFIN;ACT
اكتساب	nabycia	اِكتِسَاب	nabyć	N;NOM;INDF;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
ليوناردو	leonardo	ليوناردو	leonardo		
بورما	birmie	بُورمَا	birma		
بورما	birmy	بُورمَا	birma		
بورما	birmański	بُورمَا	birmański		ADJ;NOM;MASC;SG
سين	sen	سَين	sen		N;ACC;MASC;SG
النزاعات	konfliktów	نِزَاع	konflikt	N;NOM;DEF;PL	N;GEN;MASC;PL
النزاعات	konflikt	نِزَاع	konflikt	N;NOM;DEF;PL	N;NOM;MASC;SG
النزاعات	kłótnie	نِزَاع	kłótnie	N;NOM;DEF;PL	N;NOM;NEUT;SG
النزاعات	sporów	نِزَاع	spór	N;NOM;DEF;PL	
النزاعات	spory	نِزَاع	spór	N;NOM;DEF;PL	
منتظم	regularnie	مُنتَظِم	regularnie	ADJ;NOM;INDF;MASC;SG	ADV
الزكاة	jałmużnę	زَكَاة	jałmużna	N;NOM;DEF;SG	N;ACC;FEM;SG
رمزي	ramzi	رَمزِيّ	ramzić		
رمزي	symboliczne	رَمزِيّ	symboliczny		ADJ;NOM;NEUT;SG
رمزي	symbol	رَمزِيّ	symbol		N;NOM;MASC;SG
استكشاف	zwiedzania	اِستِكشَاف	zwiedzanie	N;NOM;INDF;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
درعا	zbroja	دَرَّع	zbrój		N;NOM;FEM;SG
درعا	zbroję	دَرَّع	zbrója		N;ACC;FEM;SG
درعا	zbroi	دَرَّع	zbroić		N;GEN;FEM;SG
درعا	pancerz	دَرَّع	pancerz		N;NOM;MASC;SG
درعا	tarcze	دَرَّع	tarczyć		N;NOM;FEM;PL
درعا	osłony	دَرَّع	osłon		N;ACC;FEM;PL
درعا	tarcza	دَرَّع	tarczyć		N;NOM;FEM;SG
درعا	osłona	دَرَّع	osłona		N;NOM;FEM;SG
درعا	tarczy	دَرَّع	tarcza		N;GEN;FEM;SG
الصانع	producent	صَانِع	producent	N;NOM;DEF;SG	
الصانع	producenta	صَانِع	producent	N;NOM;DEF;SG	
فرس	mare	فَرَس	mare		
فرس	klacz	فَرَس	klacz		N;NOM;FEM;SG
الذئاب	wilków	ذَائِب	wilk		N;ACC;MASC;PL
الذئاب	wilki	ذَائِب	wilka		N;NOM;MASC;PL
المواصفات	specyfikacja	مُوَاصَفَة	specyfikacja	N;NOM;DEF;PL	N;NOM;FEM;SG
المواصفات	specyfikacji	مُوَاصَفَة	specyfikacja	N;NOM;DEF;PL	N;GEN;FEM;SG
المواصفات	specyfikacja	مُوَاصَفَة	specyfikacja	N;NOM;DEF;PL	N;NOM;FEM;SG
المواصفات	specyfikacja	مُوَاصَفَة	specyfikacja	N;NOM;DEF;PL	N;NOM;FEM;SG
كيب	kip	كيب	kip		
زر	guzik	زر	guzik		N;NOM;MASC;SG
زر	przycisk	زر	przycisk		
القبلية	plemienia	قَبَلِيّ	plemię	ADJ;NOM;DEF;FEM;SG	N;GEN;NEUT;SG
الطيبة	dobroci	طَيِّب	dobrocić	N;NOM;DEF;SG	N;GEN;FEM;SG
جوقة	chóru	جُوقَة	chór	N;NOM;INDF;SG	
موانئ	portów	مِينَاء	port	N;NOM;INDF;PL	N;GEN;MASC;PL
شعور	czucie	شُعُور	czucie	N;NOM;INDF;SG	
العملاق	gigant	عِملَاق	gigant	N;NOM;DEF;SG	
العملاق	olbrzymie	عِملَاق	olbrzymi	N;NOM;DEF;SG	
العملاق	olbrzymi	عِملَاق	olbrzymi	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
ريفية	wiejskich	رِيفِيّ	wiejski	ADJ;NOM;INDF;FEM;SG	ADJ;GEN;MASC;PL
ليلا	laila	ليلا	lail	N;NOM;INDF;SG	PROPN;NOM;FEM;SG
ليلا	nocy	ليلا	noc	N;NOM;INDF;SG	N;GEN;FEM;SG
ليلا	nocny	ليلا	nocny	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
ليلا	night	ليلا	night	N;NOM;INDF;SG	
العجز	niepełnosprawności	عَجز	niepełnosprawność	N;NOM;DEF;SG	N;GEN;FEM;SG
العجز	deficytu	عَجز	deficyt	N;NOM;DEF;SG	N;GEN;MASC;SG
العجز	deficyt	عَجز	deficyt	N;NOM;DEF;SG	N;ACC;MASC;SG
الانتقام	zemsty	اِنتِقَام	zemsta	N;NOM;DEF;SG	
الانتقام	zemsta	اِنتِقَام	zemsta	N;NOM;DEF;SG	
جرام	gram	جرَام	grać	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
جرام	grama	جرَام	grama	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
بولونيا	bolonii	بُولُونِيَا	bolonia		PROPN;NOM;FEM;SG
نيكولا	nicola	نِيكُولَا	nicol		PROPN;NOM;MASC;SG
الضابط	oficerze	ضَابِط	oficerz	N;NOM;DEF;SG	
الفاكهة	owoce	فَاكِهَة	owoc	N;NOM;DEF;SG	N;NOM;MASC;PL
الفاكهة	owoców	فَاكِهَة	owóc	N;NOM;DEF;SG	N;GEN;MASC;PL
الكود	kodu	الكود	koda	N;NOM;DEF;SG	N;GEN;MASC;SG
الكود	code	الكود	cod	N;NOM;DEF;SG	
الكود	kod	الكود	kod	N;NOM;DEF;SG	N;ACC;MASC;SG
حريق	pożar	حَرِيق	pożar	N;NOM;INDF;SG	N;ACC;MASC;SG
الخلط	mieszania	خَلط	mieszaniać	N;NOM;DEF;SG	
الخلط	mieszanie	خَلط	mieszanie	N;NOM;DEF;SG	
الخلط	niejasności	خَلط	niejasność	N;NOM;DEF;SG	N;GEN;FEM;SG
الخلط	zagubiona	خَلط	zagubić	N;NOM;DEF;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
الخلط	zmieszany	خَلط	zmieszany	N;NOM;DEF;SG	
الخلط	zagubiony	خَلط	zagubić	N;NOM;DEF;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
الزهراء	zahra	زَهرَاء	zahra	N;NOM;DEF;SG	
زمان	zaman	زَمَان	zaman	N;NOM;INDF;SG	
المقابر	cmentarzu	مَقبَر	cmentarz	N;NOM;DEF;PL	N;DAT;MASC;SG
المقابر	cmentarz	مَقبَر	cmentarz	N;NOM;DEF;PL	N;NOM;MASC;SG
هود	hood	هود	hood		
هود	kaptur	هود	kaptura		N;ACC;MASC;SG
بديلة	alternatywna	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
بديلة	alternatywne	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	alternatywny	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
بديلة	alternatywnie	بَدِيلَة	alternatywnie	N;NOM;INDF;SG	ADV
بديلة	alternatywny	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
بديلة	zastępców	بَدِيلَة	zastępca	N;NOM;INDF;SG	N;ACC;MASC;PL
بديلة	alternatywne	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بديلة	alternatywna	بَدِيلَة	alternatywny	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
ذروة	climax	ذُروَة	climax	N;NOM;INDF;SG	
ذروة	pik	ذُروَة	pik	N;NOM;INDF;SG	
ذروة	peak	ذُروَة	peak	N;NOM;INDF;SG	
الشيعية	szyickiej	شِيعِيّ	szyicki	ADJ;NOM;DEF;FEM;SG	ADJ;GEN;FEM;SG
الشهادات	zaświadczenie	شَهَادَة	zaświadczenie	N;NOM;DEF;PL	N;NOM;NEUT;SG
الشهادات	certyfikat	شَهَادَة	certyfikat	N;NOM;DEF;PL	N;ACC;MASC;SG
الشهادات	świadectwo	شَهَادَة	świadectwo	N;NOM;DEF;PL	N;NOM;NEUT;SG
الشهادات	świadectwa	شَهَادَة	świadectwo	N;NOM;DEF;PL	N;NOM;NEUT;SG
التنبؤ	prognozy	تَنَبُّؤ	prognoza	N;NOM;DEF;SG	N;ACC;FEM;PL
المشرف	moderatora	مُشرِف	moderator	N;NOM;DEF;SG	N;ACC;MASC;SG
المشرف	administratora	مُشرِف	administrator	N;NOM;DEF;SG	N;ACC;MASC;SG
المشرف	administratorem	مُشرِف	administrator	N;NOM;DEF;SG	N;INS;MASC;SG
ترميز	kodowania	تَرمِيز	kodować	N;NOM;INDF;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
هيلين	helena	هيلين	helen		PROPN;NOM;FEM;SG
هيلين	helen	هيلين	helen		PROPN;NOM;FEM;SG
مثبطات	inhibitorów	مُثَبِّط	inhibitor	N;NOM;INDF;PL	N;GEN;MASC;PL
الحمد	chwała	حَمد	chwały	N;NOM;DEF;SG	V;IPFV;FEM;IND;SG;PST;FIN;ACT
الحمد	chwalić	حَمد	chwalić	N;NOM;DEF;SG	V;IPFV;NFIN;ACT
الصيانة	utrzymania	صِيَانَة	utrzymać	N;NOM;DEF;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
الانتقالية	przejściowy	اِنتِقَالِيّ	przejściowy	ADJ;NOM;DEF;FEM;SG	ADJ;ACC;MASC;SG
التبغ	tytoniu	التبغ	tyton	N;NOM;DEF;SG	N;GEN;MASC;SG
اصدار	wyd	إِصدَار	wyd	N;NOM;INDF;SG	
اصدار	wersji	إِصدَار	wersja	N;NOM;INDF;SG	N;GEN;FEM;SG
اصدار	wersję	إِصدَار	wersja	N;NOM;INDF;SG	N;ACC;FEM;SG
ليلي	lily	لَيلِيّ	lily		
فيشر	fisher	فيشر	fisher		
فيشر	fishera	فيشر	fisher		N;ACC;MASC;SG
كول	cole	كُول	cól		
صغار	młoda	صَغِير	młody	N;NOM;INDF;PL	ADJ;NOM;FEM;SG
صغار	młody	صَغِير	młody	N;NOM;INDF;PL	ADJ;NOM;MASC;SG
صغار	młode	صَغِير	młody	N;NOM;INDF;PL	ADJ;NOM;NEUT;SG
صغار	young	صَغِير	young	N;NOM;INDF;PL	
راسل	russel	رَاسِل	russel		N;NOM;MASC;SG
راسل	russell	رَاسِل	russel		PROPN;NOM;MASC;SG
راسل	russella	رَاسِل	russell		
صديقة	dziewczynę	صَدِيقَة	dziewczyna	N;NOM;INDF;SG	N;ACC;FEM;SG
شتات	diaspory	شِتَات	diaspor	N;NOM;INDF;SG	
الجمجمة	czaszki	جُمجُمَة	czaszki	N;NOM;DEF;SG	N;ACC;FEM;PL
الجمجمة	czaszkę	جُمجُمَة	czaszka	N;NOM;DEF;SG	N;ACC;FEM;SG
الكبريت	siarki	كِبرِيت	siarka	N;NOM;DEF;SG	
