hovards	howard	hovards	howard	PROPN;NOM;MASC;SG	PROPN
debesis	heaven	debess	heaven	N;NOM;FEM;PL	N;SG
debesis	cielo	debess	cielo	N;NOM;FEM;PL	N;MASC;SG
ģimenēm	familia	ģimene	familia	N;DAT;FEM;PL	N;FEM;SG
padarīt	make	padarīt	maker	V;POS;NFIN	N
ieslodzīto	prisionera	ieslodzīt	prisionera	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;FEM;SG
ieslodzīto	prisioneros	ieslodzīt	prisionero	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
ieslodzīto	preso	ieslodzīt	preso	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;SG
ieslodzīto	prisionero	ieslodzīt	prisionero	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;SG
ieslodzīto	reclusos	ieslodzīt	recluso	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
ieslodzīto	prisioneros	ieslodzīt	prisionero	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
ieslodzīto	presos	ieslodzīt	preso	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
riks	rick	rikt	rick	PROPN;NOM;MASC;SG	PROPN
taisni	recto	taisni	recto	ADV	ADJ;MASC;SG
taisni	directo	taisni	directo	ADV	ADJ;MASC;SG
taisni	recta	taisni	recta	ADV	N;FEM;SG
taisni	heterosexual	taisni	heterosexual	ADV	ADJ;SG
saistība	relaciones	saistība	relación	N;NOM;FEM;SG	N;FEM;PL
zaudējums	pérdidas	zaudējums	pérdida	N;NOM;MASC;SG	N;FEM;PL
zaudējums	perdida	zaudējums	perdido	N;NOM;MASC;SG	ADJ;FEM;SG;V.PTCP
patiešām	ciertamente	patiešām	ciertamente	PART	ADV
patiešām	efectivamente	patiešām	efectivamente	PART	ADV
patiešām	realmente	patiešām	realmente	PART	ADV
patiešām	verdaderamente	patiešām	verdaderamente	PART	ADV
patiešām	realmente	patiešām	realmente	PART	ADV
gali	gali	gals	gali	N;NOM;MASC;PL	PROPN
gaida	esperándote	gaidīt	esperándote	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
ieslodzīts	encarcelado	ieslodzīt	encarcelado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
ieslodzīts	encarcelados	ieslodzīt	encarcelado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
ieslodzīts	encarcelado	ieslodzīt	encarcelado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
ieslodzīts	encarcelados	ieslodzīt	encarcelado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
skan	sonidos	skanēt	sonido	V;FH;IND;3;POS;PRS;FIN;ACT	N;MASC;PL
zarnas	intestinal	zarna	intestinal	N;NOM;FEM;PL	ADJ;SG
zarnas	intestino	zarna	intestino	N;NOM;FEM;PL	N;MASC;SG
zarnas	intestino	zarna	intestino	N;NOM;FEM;PL	N;MASC;SG
pārvietoja	trasladado	pārvietot	trasladar	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
rakstot	redacción	rakstīt	redacción	V;V.CVB	N;FEM;SG
rakstot	escritura	rakstīt	escritura	V;V.CVB	N;FEM;SG
indivīdi	particulares	indivīds	particular	N;NOM;MASC;PL	ADJ;PL
indivīdi	individuales	indivīds	individual	N;NOM;MASC;PL	ADJ;PL
bruņu	blindados	bruņa	blindado	N;NOM;MASC;SG	ADJ;MASC;PL;V.PTCP
bruņu	blindado	bruņa	blindar	N;NOM;MASC;SG	ADJ;MASC;SG;V.PTCP
kāpuru	larvas	kāpura	larvo	N;ACC;MASC;SG	N;FEM;PL
kāpuru	larval	kāpura	larval	N;ACC;MASC;SG	ADJ;SG
plāni	planos	plāns	plano	ADJ;NOM;MASC;PL	N;MASC;PL
plāni	planes	plāns	plan	ADJ;NOM;MASC;PL	N;MASC;PL
dimanta	diamantes	dimanta	diamante	N;NOM;MASC;SG	N;MASC;PL
debesīm	cielo	debess	cielo	N;DAT;FEM;PL	N;MASC;SG
debesīm	heaven	debess	heaven	N;DAT;FEM;PL	N;SG
reģistrā	inscribirse	reģistrs	inscribirse	N;ESS;MASC;SG	V;SBJV;SG;3;FIN
reģistrā	registrarse	reģistrs	registrar	N;ESS;MASC;SG	V;SBJV;SG;3;IPFV;FIN
pieņemti	aceptadas	pieņemt	aceptado	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
pieņemti	aceptados	pieņemt	aceptar	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
pieņemti	aceptada	pieņemt	aceptado	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
pieņemti	aceptado	pieņemt	aceptado	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
zemā	baja	zems	baja	ADJ;NOM;FEM;SG	N;FEM;SG
zemā	bajos	zems	bajo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
zemā	bajas	zems	baja	ADJ;NOM;FEM;SG	N;FEM;PL
zemā	low	zems	low	ADJ;NOM;FEM;SG	
zemā	bajo	zems	bajo	ADJ;NOM;FEM;SG	ADP
vāja	pobres	vāja	pobre	ADJ;NOM;FEM;SG	N;PL
vāja	débiles	vāja	débil	ADJ;NOM;FEM;SG	ADJ;PL
radinieks	relativa	radinieks	relativo	N;NOM;MASC;SG	ADJ;FEM;SG
radinieks	relativo	radinieks	relativo	N;NOM;MASC;SG	ADJ;MASC;SG
mērija	maria	mērija	mario	N;NOM;FEM;SG	
īsteno	aplica	īstenot	aplicar	V;IMP;2;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
īsteno	implementa	īstenot	implementar	V;IMP;2;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
nozaru	sectoriales	nozare	sectorial	N;GEN;FEM;PL	ADJ;PL
nozaru	sectorial	nozare	sectorial	N;GEN;FEM;PL	ADJ;SG
nightwish	nightwish	nightwish	nightwish	PROPN;NOM	N
tuvojoties	acercándose	tuvoties	acercándose	V;REFL;V.CVB	PROPN
pretrunā	probabilidades	pretruna	probabilidad	N;ESS;FEM;SG	N;FEM;PL
pretrunā	impares	pretruna	impar	N;ESS;FEM;SG	N;MASC;PL
apakšklase	subclase	apakšklase	subclar	N;NOM;FEM;PL	N;FEM;SG
palielināts	aumentado	palielināt	aumentar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
palielināts	aumento	palielināt	aumento	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;MASC;SG
palielināts	incrementado	palielināt	incrementado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
palielināts	aumentada	palielināt	aumentar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
konvenciju	convenciones	konvencija	convención	N;ACC;FEM;SG	N;FEM;PL
turciju	turquía	turcija	turquía	PROPN;ACC;FEM;SG	N;FEM;SG
turciju	pavo	turcija	pavo	PROPN;ACC;FEM;SG	
saprata	entendí	saprast	entender	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
saprata	entendido	saprast	entendido	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
saprata	comprendido	saprast	comprendido	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
renē	rené	renēt	rené	PROPN	PROPN
renē	renato	renēt	renato	PROPN	N;MASC;SG
renē	renée	renēt	renée	PROPN	N;FEM;SG
renē	renee	renēt	renee	PROPN	PROPN
renē	rené	renēt	rené	PROPN	PROPN
renē	rene	renēt	rene	PROPN	PROPN
pjotrs	piotr	pjotrs	piotr	PROPN;NOM;MASC;SG	N;MASC;SG
pozitīvas	positivo	pozitīva	positivo	ADJ;NOM;FEM;PL	ADJ;MASC;SG
pozitīvas	positiva	pozitīva	positivo	ADJ;NOM;FEM;PL	ADJ;FEM;SG
komunikāciju	comunicaciones	komunikācija	comunicación	N;ACC;FEM;SG	N;FEM;PL
palielinot	aumento	palielināt	aumento	V;V.CVB	N;MASC;SG
palielinot	creciente	palielināt	creciente	V;V.CVB	ADJ;SG
sekcijas	autopsia	sekcija	autopsia	N;NOM;FEM;PL	N;FEM;SG
ievērojot	observación	ievērot	observación	V;V.CVB	N;FEM;SG
komentāri	comenta	komentārs	comentar	N;NOM;MASC;PL	V;IND;SG;3;PRS;FIN
komentāri	comentario	komentārs	comentario	N;NOM;MASC;PL	N;MASC;SG
capri	capri	capri	capri		
lūgšanas	oracion	lūgšana	oracion	N;NOM;FEM;PL	N;FEM;SG
lūgšanas	plegaria	lūgšana	plegario	N;NOM;FEM;PL	N;FEM;SG
lūgšanas	oración	lūgšana	oración	N;NOM;FEM;PL	N;FEM;SG
lūgšanas	rezo	lūgšana	rezo	N;NOM;FEM;PL	N;MASC;SG
lūgšanas	oración	lūgšana	oración	N;NOM;FEM;PL	N;FEM;SG
kontinentālā	continentales	kontinentāla	continental	ADJ;NOM;FEM;SG	ADJ;PL
reforma	reformar	reforma	reformar	N;NOM;FEM;SG	V;NFIN
reforma	reformas	reforma	reforma	N;NOM;FEM;SG	N;FEM;PL
vietējais	locales	vietējs	local	ADJ;NOM;MASC;SG	ADJ;PL
vietējais	nativas	vietējs	nativo	ADJ;NOM;MASC;SG	ADJ;FEM;PL
vietējais	nativos	vietējs	nativo	ADJ;NOM;MASC;SG	N;MASC;PL
prefektūras	prefectura	prefektūra	prefectura	N;NOM;FEM;PL	N;FEM;SG
laboratorija	laboratorios	laboratorija	laboratorio	N;NOM;FEM;SG	N;MASC;PL
bari	bari	bars	bari	N;NOM;MASC;PL	N;MASC;SG
tonijs	tony	tonijs	tony	N;NOM;MASC;SG	PROPN
tonijs	toni	tonijs	toni	N;NOM;MASC;SG	PROPN
egle	spruce	egle	sprucir	PROPN;NOM;FEM;SG	N;MASC;SG
egle	abeto	egle	abeto	PROPN;NOM;FEM;SG	N;MASC;SG
publicē	publico	publicēt	publico	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;MASC;SG
publicē	publique	publicēt	publicar	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;SG;3;FIN
lockheed	lockheed	lockheed	lockheed		N;MASC;SG
apmeklēt	visita	apmeklēt	visita	V;POS;NFIN	N;FEM;SG
līnis	tench	līnis	tench	N;NOM;MASC;SG	
saimniecība	aguantando	saimniecība	aguantar	N;NOM;FEM;SG	V;V.MSDR
saimniecība	sosteniendo	saimniecība	sostener	N;NOM;FEM;SG	V;V.MSDR
bagāts	ricas	bagāts	rico	ADJ;NOM;MASC;SG	ADJ;FEM;PL
bagāts	rich	bagāts	rich	ADJ;NOM;MASC;SG	PROPN
bagāts	ricos	bagāts	rico	ADJ;NOM;MASC;SG	N;MASC;PL
lejas	inferior	leja	inferior	N;NOM;FEM;PL	ADJ;SG
sep	sep	sep	sep		
efektīvi	eficiente	efektīvi	eficiente	ADV	ADJ;SG
efektīvi	eficaz	efektīvi	eficaz	ADV	ADJ;SG
efektīvi	eficientes	efektīvi	eficiente	ADV	ADJ;PL
efektīvi	eficaz	efektīvi	eficaz	ADV	ADJ;SG
efektīvi	efectivos	efektīvi	efectivo	ADV	N;MASC;PL
efektīvi	efectiva	efektīvi	efectivo	ADV	ADJ;FEM;SG
buru	veleros	bura	velero	N;ACC;MASC;SG	N;MASC;PL
otavas	ottawa	otava	ottawa	N;NOM;FEM;PL	N;MASC;SG
apakškārtas	suborden	apakškārta	subordar	N;NOM;FEM;PL	N;MASC;SG
frekvence	frecuencias	frekvence	frecuencia	N;NOM;FEM;SG	N;FEM;PL
labāka	better	laba	better	ADJ;NOM;CMPR;FEM;SG	N
labāka	mejores	laba	mejor	ADJ;NOM;CMPR;FEM;SG	ADJ;PL
labāka	mejor	laba	mejor	ADJ;NOM;CMPR;FEM;SG	ADV
darbinieka	empleada	darbinieks	empleado	N;GEN;MASC;SG	ADJ;FEM;SG;V.PTCP
darbinieka	empleados	darbinieks	empleado	N;GEN;MASC;SG	N;MASC;PL
darbinieka	asalariado	darbinieks	asalariado	N;GEN;MASC;SG	ADJ;MASC;SG;V.PTCP
darbinieka	empleado	darbinieks	empleado	N;GEN;MASC;SG	ADJ;MASC;SG;V.PTCP
dzimtenes	patria	dzimtene	patria	N;NOM;FEM;PL	N;FEM;SG
ļevs	lev	ļevs	lev	PROPN;NOM;MASC;SG	PROPN
paraksta	firmas	paraksts	firma	N;GEN;MASC;SG	N;FEM;PL
johannes	johannes	johanne	johanne	PROPN;NOM;FEM;SG	N;MASC
western	occidental	westerne	occidental		ADJ;SG
western	occidente	westerne	occidente		N;MASC;SG
western	western	westerne	western		N;MASC;SG
western	occidentales	westerne	occidental		ADJ;PL
western	oeste	westerne	oeste		N;MASC;SG
kopīgs	compartidas	kopīgs	compartido	ADJ;NOM;MASC;SG	ADJ;FEM;PL;V.PTCP
kopīgs	compartidos	kopīgs	compartido	ADJ;NOM;MASC;SG	ADJ;MASC;PL;V.PTCP
domāšanas	mentalidad	domāšana	mentalidad	N;NOM;FEM;PL	N;FEM;SG
licence	licencias	licence	licencia	N;NOM;FEM;SG	N;FEM;PL
fiziskā	físicas	fiziska	físico	ADJ;NOM;FEM;SG	ADJ;FEM;PL
fiziskā	físicos	fiziska	físico	ADJ;NOM;FEM;SG	ADJ;MASC;PL
vēlams	preferiblemente	vēlams	preferiblemente	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV
vēlams	preferentemente	vēlams	preferentemente	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV
vēlams	deseable	vēlams	deseable	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;SG
vēlams	deseables	vēlams	deseable	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;PL
aitu	ovino	aita	ovino	N;ACC;MASC;SG	ADJ;MASC;SG
aitu	ovinos	aita	ovino	N;ACC;MASC;SG	N;MASC;PL
aitu	ovejas	aita	oveja	N;ACC;MASC;SG	N;FEM;PL
paplašināt	ampliación	paplašināt	ampliación	V;POS;NFIN	N;FEM;SG
paplašināt	expansión	paplašināt	expansión	V;POS;NFIN	N;FEM;SG
pietiek	suficiente	pietikt	suficiente	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;SG
pietiek	suficientes	pietikt	suficiente	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;PL
model	modelos	model	modelo		N;MASC;PL
model	maqueta	model	maqueta		N;FEM;SG
model	modelo	model	modelo		N;MASC;SG
izdevumus	gastos	izdevumi	gasto	N;ACC;MASC	N;MASC;PL
fēru	feroe	fēra	feroe	N;ACC;MASC;SG	ADJ;FEM;SG
fēru	feroés	fēra	feroés	N;ACC;MASC;SG	ADJ;MASC;SG
fēru	feroe	fēra	feroe	N;ACC;MASC;SG	ADJ;FEM;SG
plaudis	bream	plaudis	bream	N;NOM;MASC;SG	
meklēja	buscado	meklēt	buscado	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
meklēja	buscada	meklēt	buscado	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
meklēja	buscado	meklēt	buscado	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
meklēja	busqué	meklēt	busqué	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;PST;FIN
piegādes	entrega	piegāde	entrega	N;NOM;FEM;PL	N;FEM;SG
piegādes	parto	piegāde	parto	N;NOM;FEM;PL	N;MASC;SG
piegādes	abastecimiento	piegāde	abastecimiento	N;NOM;FEM;PL	N;MASC;SG
piegādes	aprovisionamiento	piegāde	aprovisionamiento	N;NOM;FEM;PL	N;MASC;SG
maksāja	pagado	maksāt	pagado	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
maksāja	pagadas	maksāt	pagado	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;FEM;PL;V.PTCP
maksāja	pagada	maksāt	pagar	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;FEM;SG;V.PTCP
iesaistīts	implicado	iesaistīt	implicado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
iesaistīts	implicada	iesaistīt	implicar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
iesaistīts	implicados	iesaistīt	implicado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
iesaistīts	implicado	iesaistīt	implicado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
iesaistīts	implicada	iesaistīt	implicar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
iesaistīts	involucrado	iesaistīt	involucrado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
iesaistīts	involucrada	iesaistīt	involucrado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
iesaistīts	involucrados	iesaistīt	involucrado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
skābes	acido	skābe	acido	N;NOM;FEM;PL	N;MASC;SG
skābes	ácido	skābe	ácido	N;NOM;FEM;PL	N;MASC;SG
jebkad	ever	jebkad	ever		N
iniciatīvu	iniciativa	iniciatīva	iniciativa	ADJ;ACC;MASC;SG	N;FEM;SG
iekarot	conquista	iekārt	conquista	V;NFH;QUOT;POS;PRS;FIN;ACT	N;FEM;SG
iekarot	invaden	iekārt	invadir	V;NFH;QUOT;POS;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
espn	espn	espn	espar		N;MASC;SG
redzamais	visible	redzēt	visible	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;SG
redzamais	visibles	redzēt	visible	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;PL
kurzeme	curlandia	kurzeme	curlandia	PROPN;NOM;FEM;SG	ADJ;FEM;SG
tuvojas	acercándose	tuvoties	acercándose	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	PROPN
tuvojas	acercarse	tuvoties	acercarse	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
sliedes	ferrocarril	sliede	ferrocarril	N;NOM;FEM;PL	N;MASC;SG
sliedes	carril	sliede	carril	N;NOM;FEM;PL	N;MASC;SG
virsotni	vértices	virsotne	vértiz	N;ACC;FEM;SG	N;MASC;PL
atkārtots	repetido	atkārtot	repetido	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
atkārtots	repetidos	atkārtot	repetido	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
atkārtots	repetidas	atkārtot	repetido	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
atkārtots	repetida	atkārtot	repetido	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
atkārtots	repite	atkārtot	repetir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
atkārtots	repetición	atkārtot	repetición	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;FEM;SG
atkārtots	repito	atkārtot	repito	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;IND;SG;1;PRS;FIN
vāsa	vasa	vāsa	vasa	PROPN;NOM;FEM;SG	
beļģu	bélgica	beļģas	bélgico	N;GEN;MASC;PL	N;FEM;SG
beļģu	belga	beļģas	belga	N;GEN;MASC;PL	N;SG
ralfs	ralf	ralfs	ralf	PROPN;NOM;MASC;SG	PROPN
ralfs	rodolfo	ralfs	rodolfo	PROPN;NOM;MASC;SG	N;MASC;SG
ralfs	ralph	ralfs	ralph	PROPN;NOM;MASC;SG	PROPN
savienots	acoplado	savienot	acoplado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
ein	ein	ein	ein		
izvirzīts	nominados	izvirzīt	nominado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
izvirzīts	nominado	izvirzīt	nominar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
izvirzīts	nominada	izvirzīt	nominado	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
zvejas	pescar	zveja	pescar	N;NOM;FEM;PL	V;NFIN
zvejas	pesca	zveja	pesca	N;NOM;FEM;PL	N;FEM;SG
zvejas	pescando	zveja	pescar	N;NOM;FEM;PL	V;V.MSDR
bij	anteriormente	būt	anteriormente	V;FH;IND;3;POS;PST;FIN;ACT	ADV
bij	antiguamente	būt	antiguamente	V;FH;IND;3;POS;PST;FIN;ACT	ADV
atbildi	contestar	atbilde	contestar	N;ACC;FEM;SG	V;NFIN
atbildi	contesta	atbilde	contestar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
atbildi	responder	atbilde	responder	N;ACC;FEM;SG	V;NFIN
atbildi	contestar	atbilde	contestar	N;ACC;FEM;SG	V;NFIN
atbildi	responder	atbilde	responder	N;ACC;FEM;SG	V;NFIN
asinīm	sangre	asins	sangre	N;DAT;FEM;PL	N;FEM;SG
gatavo	acabados	gatavot	acabar	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;MASC;PL;V.PTCP
gatavo	terminados	gatavot	terminado	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;MASC;PL;V.PTCP
gatavo	finalizado	gatavot	finalizar	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;MASC;SG;V.PTCP
gatavo	acabado	gatavot	acabar	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;MASC;SG;V.PTCP
gatavo	terminado	gatavot	terminar	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;MASC;SG;V.PTCP
gatavo	terminada	gatavot	terminado	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;FEM;SG;V.PTCP
visam	everything	viss	everything	PRO;DAT;MASC;SG	N
visam	todo	viss	todo	PRO;DAT;MASC;SG	PRO;MASC;SG
bīskapi	reval	bīskaps	reval	N;NOM;MASC;PL	
fasādes	fachada	fasāde	fachada	N;NOM;FEM;PL	N;FEM;SG
fasādes	fachada	fasāde	fachada	N;NOM;FEM;PL	N;FEM;SG
konvencija	convenciones	konvencija	convención	N;NOM;FEM;SG	N;FEM;PL
portu	puertos	ports	puerto	N;ACC;MASC;SG	N;MASC;PL
frankfurtes	frankfurt	frankfurte	frankfurt	PROPN;NOM;FEM;SG	N;MASC;SG
frankfurtes	francfort	frankfurte	francfort	PROPN;NOM;FEM;SG	PROPN
frankfurtes	fráncfort	frankfurte	fráncfort	PROPN;NOM;FEM;SG	N;MASC;SG
lietojums	usar	lietojums	usar	N;NOM;MASC;SG	V;NFIN
lietojums	utilizar	lietojums	utilizar	N;NOM;MASC;SG	V;NFIN
sarežģīta	complejas	sarežģīta	complejo	ADJ;NOM;FEM;SG	ADJ;FEM;PL
sarežģīta	complejos	sarežģīta	complejo	ADJ;NOM;FEM;SG	N;MASC;PL
sarežģīta	complicados	sarežģīta	complicado	ADJ;NOM;FEM;SG	ADJ;MASC;PL;V.PTCP
sarežģīta	complicadas	sarežģīta	complicado	ADJ;NOM;FEM;SG	ADJ;FEM;PL;V.PTCP
sarežģīta	difíciles	sarežģīta	difícil	ADJ;NOM;FEM;SG	ADJ;PL
dīķi	estanques	dīķis	estanque	N;ACC;MASC;SG	N;MASC;PL
dīķi	pond	dīķis	pond	N;ACC;MASC;SG	PROPN
sabiedriski	sociable	sabiedriski	sociable	ADV	ADJ;SG
celulozes	celulosa	celuloze	celuloso	N;NOM;FEM;PL	ADJ;FEM;SG
celulozes	pulpa	celuloze	pulpa	N;NOM;FEM;PL	N;FEM;SG
atm	cajero	ats	cajero		N;MASC;SG
atm	atm	ats	atm		N;MASC;SG
smaga	heavy	smaga	heavy	ADJ;NOM;FEM;SG	N;MASC;SG
smaga	pesadas	smaga	pesado	ADJ;NOM;FEM;SG	ADJ;FEM;PL;V.PTCP
smaga	pesados	smaga	pesado	ADJ;NOM;FEM;SG	ADJ;MASC;PL;V.PTCP
