din	vom	din	vom	ADP;ACC	
aprilie	april	aprilie	april	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
erau	wurden	fi	werden	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;PASS
erau	waren	fi	sein	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
loc	stelle	loc	stellen	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
loc	platz	loc	platz	N;INDF;MASC;SG	ADV
primul	erste	prim	erst	NUM;DEF;MASC;SG	ADJ;NOM;FEM;PL
primul	zuerst	prim	zuerst	NUM;DEF;MASC;SG	ADV
primul	erster	prim	erst	NUM;DEF;MASC;SG	ADJ;NOM;MASC;SG
primul	first	prim	fersen	NUM;DEF;MASC;SG	PROPN
primul	ersten	prim	erst	NUM;DEF;MASC;SG	ADJ;NOM;PL
iulie	juli	iulie	juli	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
iulie	july	iulie	july	N;INDF;MASC;SG	
doar	einzige	doar	einzig	ADV	ADJ;NOM;FEM;PL
doar	einzig	doar	einzig	ADV	ADJ
doar	einzigen	doar	einzig	ADV	ADJ;NOM;PL
doar	just	doar	just	ADV	PROPN;NOM;SG
editura	verlage	editură	verlagen	N;DEF;FEM;SG	
editura	herausgeber	editură	herausgeber	N;DEF;FEM;SG	ADJ
editura	verleger	editură	verleger	N;DEF;FEM;SG	ADJ
editura	verlag	editură	verliegen	N;DEF;FEM;SG	N;NOM;MASC;SG
asteroid	asteroiden	asteroid	asteroiden	ADJ;INDF;MASC;SG	
asteroid	asteroid	asteroid	asteroid	ADJ;INDF;MASC;SG	N;NOM;SG
februarie	february	februarie	february	N;INDF;MASC;SG	
februarie	februar	februarie	februaer	N;INDF;MASC;SG	PROPN;NOM;SG
recensamantului	zensus	recensamant	zensus	N;DEF;MASC;SG	PROPN
recensamantului	zählungen	recensamant	zählung	N;DEF;MASC;SG	V;NFIN
trei	dreien	trei	dreien	NUM;PL	
trei	three	trei	threen	NUM;PL	PROPN
trei	dreier	trei	dreier	NUM;PL	
asteroizi	asteroiden	asteroid	asteroiden	N;INDF;MASC;PL	
discutie	diskussionen	discutie	diskussion	N;INDF;FEM;SG	V;NFIN
discutie	diskussionen	discutie	diskussion	N;INDF;FEM;SG	V;NFIN
discutie	diskussionen	discutie	diskussion	N;INDF;FEM;SG	V;NFIN
franta	frankreich	frantă	frankreich	PROPN	PROPN;NOM;SG
franta	frankreich	frantă	frankreich	PROPN	PROPN;NOM;SG
franta	frankreich	frantă	frankreich	PROPN	PROPN;NOM;SG
partea	teilweise	parte	teilweise	N;DEF;FEM;SG	ADV
partea	teil	parte	teil	N;DEF;FEM;SG	ADV
mult	vieles	mult	viel	ADV	PRO;NOM;INDF;NEUT;SG
mult	much	mult	machen	ADV	
fara	ohne	fară	ohne		ADP
fara	ohne	fară	ohne		ADP
departamentul	hauptabteilung	departament	hauptabteilung	N;DEF;MASC;SG	ADJ
departamentul	abteilung	departament	abteilingen	N;DEF;MASC;SG	ADJ
departamentul	dienststelle	departament	dienststelle	N;DEF;MASC;SG	ADJ;NOM;FEM;SG
departamentul	fachbereich	departament	fachbereich	N;DEF;MASC;SG	
foarte	very	foarte	very	ADV	
data	zeitpunkt	dată	zeitpunkt	N;DEF;FEM;SG	ADJ
data	datum	dată	datum	N;DEF;FEM;SG	
data	angaben	dată	angeben	N;DEF;FEM;SG	V;NFIN
data	datenschutz	dată	datenschutz	N;DEF;FEM;SG	ADJ
data	daten	dată	daten	N;DEF;FEM;SG	N;NOM;NEUT;PL
data	zeitpunkt	dată	zeitpunkt	N;DEF;FEM;SG	ADJ
data	datum	dată	datum	N;DEF;FEM;SG	
departament	hauptabteilung	departament	hauptabteilung	N;INDF;MASC;SG	ADJ
departament	abteilung	departament	abteilingen	N;INDF;MASC;SG	ADJ
departament	dienststelle	departament	dienststelle	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
departament	fachbereich	departament	fachbereich	N;INDF;MASC;SG	
unul	einen	unul	ein	PRO;MASC;SG;3	PRO;ACC;INDF;MASC;SG
unul	eins	unul	ein	PRO;MASC;SG;3	
unul	einer	unul	ein	PRO;MASC;SG;3	PRO;NOM;INDF;MASC;SG
unul	eine	unul	ein	PRO;MASC;SG;3	DET;NOM;INDF;FEM;SG
unul	ein	unul	ein	PRO;MASC;SG;3	ADV
apoi	anschließend	apoi	anschließend	ADV	ADJ
grup	konzern	grup	konzern	N;INDF;MASC;SG	
grup	gruppen	grup	grappen	N;INDF;MASC;SG	N;NOM;FEM;PL
locul	ort	loc	ort	N;DEF;MASC;SG	N;NOM;MASC;SG
locul	stelle	loc	stellen	N;DEF;MASC;SG	V;IND;SG;3;PRS;FIN
locul	platz	loc	platz	N;DEF;MASC;SG	ADV
oras	stadt	oras	staden	N;INDF;MASC;SG	
oras	ortschaft	oras	ortschaft	N;INDF;MASC;SG	ADJ
oras	stadt	oras	staden	N;INDF;MASC;SG	
oras	stadt	oras	staden	N;INDF;MASC;SG	
oras	ortschaft	oras	ortschaft	N;INDF;MASC;SG	ADJ
oras	stadt	oras	staden	N;INDF;MASC;SG	
oras	stadt	oras	staden	N;INDF;MASC;SG	
oras	ortschaft	oras	ortschaft	N;INDF;MASC;SG	ADJ
oras	stadt	oras	staden	N;INDF;MASC;SG	
pot	kann	putea	können	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
pot	können	putea	können	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
pot	can	putea	can	V;IND;PL;3;PRS;FIN	
pot	kannst	putea	können	V;IND;PL;3;PRS;FIN	V;IND;SG;2;PRS;FIN
camp	lager	camp	lager	N;INDF;MASC;SG	ADJ
camp	ferienlager	camp	ferienlager	N;INDF;MASC;SG	ADJ
camp	camp	camp	camp	N;INDF;MASC;SG	
camp	campingplatz	camp	campingplatz	N;INDF;MASC;SG	
camp	campingplätze	camp	campingplatz	N;INDF;MASC;SG	
camp	field	camp	falden	N;INDF;MASC;SG	
camp	feld	camp	feld	N;INDF;MASC;SG	ADV
camp	spielfeld	camp	spielfeld	N;INDF;MASC;SG	ADJ
germania	deutschland	germania	deutschland	PROPN	PROPN;NOM
face	make	face	maken	V;IND;SG;3;PRS;FIN	PROPN
satul	dorf	sat	dorf	N;DEF;MASC;SG	N;NOM;NEUT;SG
satul	feriendorf	sat	feriendorf	N;DEF;MASC;SG	
satul	ortschaft	sat	ortschaft	N;DEF;MASC;SG	ADJ
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
national	nationale	national	national	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
note	notizen	notă	notiz	N;INDF;FEM;PL	V;NFIN
note	anmerkungen	notă	anmerkingen	N;INDF;FEM;PL	V;NFIN
note	bemerkungen	notă	bemerkungen	N;INDF;FEM;PL	V;NFIN
perioada	zeit	perioadă	zeit	N;DEF;FEM;SG	ADJ
perioada	zeitraum	perioadă	zeitraum	N;DEF;FEM;SG	ADV
perioada	zeitabschnitt	perioadă	zeitabschnitten	N;DEF;FEM;SG	ADJ
perioada	zeit	perioadă	zeit	N;DEF;FEM;SG	ADJ
perioada	zeitraum	perioadă	zeitraum	N;DEF;FEM;SG	ADV
perioada	zeitabschnitt	perioadă	zeitabschnitten	N;DEF;FEM;SG	ADJ
minoritate	minderheiten	minoritate	minderheit	N;INDF;FEM;SG	N;NOM;PL
minoritate	minderheit	minoritate	minderheit	N;INDF;FEM;SG	
ucraineana	ukrainischen	ucrainean	ukrainisch	N;DEF;FEM;SG	ADJ;NOM;MASC;PL
ucraineana	ukrainische	ucrainean	ukrainisch	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
ucraineana	ukrainisch	ucrainean	ukrainisch	N;DEF;FEM;SG	ADJ
ucraineana	ukrainer	ucrainean	ukrainer	N;DEF;FEM;SG	ADJ
