aires	айресе	aires	айрес	PROPN	N;INAN;NOM;MASC;SG
salvare	спасение	salvare	спасение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
salvare	спасатели	salvare	спасатель	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
salvare	спасти	salvare	спасти	N;INDF;FEM;SG	V;PFV;NFIN;ACT
salvare	спасение	salvare	спасение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
vacanta	праздником	vacanta	праздник	N;DEF;FEM;SG	N;INAN;INS;MASC;SG
vacanta	праздник	vacanta	праздник	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	отдых	vacanta	отдых	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	отдых	vacanta	отдых	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	каникулы	vacanta	каникулы	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
vacanta	отпуск	vacanta	отпуск	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	отдых	vacanta	отдых	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	каникулы	vacanta	каникулы	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
vacanta	отпуск	vacanta	отпуск	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	праздником	vacanta	праздник	N;DEF;FEM;SG	N;INAN;INS;MASC;SG
vacanta	праздник	vacanta	праздник	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	отдых	vacanta	отдых	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	отдых	vacanta	отдых	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
vacanta	каникулы	vacanta	каникулы	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
vacanta	отпуск	vacanta	отпуск	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
malta	мальте	malta	малота	PROPN	N;INAN;NOM;MASC;SG
malta	мальта	malta	мальта	PROPN	N;INAN;NOM;FEM;SG
malta	мальты	malta	мальт	PROPN	N;INAN;NOM;FEM;PL
fotbalul	футбол	fotbal	футбол	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
radical	радикальные	radical	радикальный	ADV	ADJ;NOM;PL
renault	рено	renault	рено	PROPN	N;INAN;NOM;MASC;SG
renault	renault	renault	renault	PROPN	PROPN
sierra	сьерра	sierră	сиерр	PROPN	N;INAN;NOM;MASC;SG
specializate	специализированных	specializat	специализировать	ADJ;INDF;FEM;PL	V;PFV;GEN;PL;PST;V.PTCP;PASS
specializate	специализированный	specializat	специализированный	ADJ;INDF;FEM;PL	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
specializate	специализированная	specializat	специализировать	ADJ;INDF;FEM;PL	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
specializate	специализированных	specializat	специализировать	ADJ;INDF;FEM;PL	V;PFV;GEN;PL;PST;V.PTCP;PASS
specializate	специализированный	specializat	специализированный	ADJ;INDF;FEM;PL	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
specializate	специализированная	specializat	специализировать	ADJ;INDF;FEM;PL	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
specializate	специализированные	specializat	специализировать	ADJ;INDF;FEM;PL	V;PFV;NOM;PL;PST;V.PTCP;PASS
buenos	буэнос	buenos	буэнос	N;INDF;MASC;SG	ADV
dificultati	трудности	dificultati	трудность		N;INAN;NOM;FEM;PL
dificultati	трудность	dificultati	трудность		N;INAN;NOM;FEM;SG
dificultati	сложность	dificultati	сложность		N;INAN;NOM;FEM;SG
dificultati	трудности	dificultati	трудность		N;INAN;NOM;FEM;PL
raurile	реки	raură	река	N;DEF;FEM;PL	N;INAN;NOM;FEM;PL
raurile	рек	raură	река	N;DEF;FEM;PL	N;INAN;GEN;FEM;PL
tribuna	трибун	tribună	трибуна	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
lapte	молочный	lapte	молочный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
grove	гроув	grov	гроув	PROPN	N;INAN;NOM;MASC;SG
memoriile	мемуары	memorie	мемуар	N;DEF;FEM;PL	N;INAN;NOM;MASC;PL
memoriile	мемуары	memorie	мемуар	N;DEF;FEM;PL	N;INAN;NOM;MASC;PL
studios	студии	studios	студия	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
studios	studios	studios	studios	N;INDF;MASC;SG	PROPN
vieti	живёт	vieti	жить		V;IPFV;IND;SG;3;PRS;FIN;ACT
vieti	жизней	vieti	жизнь		N;INAN;GEN;FEM;PL
vieti	живет	vieti	жить		V;IPFV;IND;SG;3;PRS;FIN;ACT
vieti	жизни	vieti	жизнь		N;INAN;NOM;FEM;PL
vieti	живёт	vieti	жить		V;IPFV;IND;SG;3;PRS;FIN;ACT
vieti	жизней	vieti	жизнь		N;INAN;GEN;FEM;PL
vieti	живет	vieti	жить		V;IPFV;IND;SG;3;PRS;FIN;ACT
vieti	жизни	vieti	жизнь		N;INAN;NOM;FEM;PL
boemia	богемии	boemie	богемия	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
letonia	латвия	letonie	латвия	PROPN	N;INAN;NOM;FEM;SG
letonia	латвии	letonie	латвия	PROPN	N;INAN;NOM;FEM;PL
islanda	исландии	islanda	исландия	PROPN	N;INAN;NOM;FEM;PL
islanda	исландия	islanda	исландия	PROPN	N;INAN;NOM;FEM;SG
hanovra	ганновер	hanovră	ганновер	PROPN	N;INAN;NOM;MASC;SG
hanovra	ганновер	hanovră	ганновер	PROPN	N;INAN;NOM;MASC;SG
hlist	hlist	hlist	hlist		PROPN
silva	силва	silvă	силв	PROPN	N;INAN;NOM;FEM;SG
silva	сильва	silvă	сильв	PROPN	N;INAN;NOM;FEM;SG
democratic	демократически	democratic	демократически	ADJ;INDF;MASC;SG	ADV
democratic	демократические	democratic	демократический	ADJ;INDF;MASC;SG	ADJ;NOM;PL
vrei	хочу	vrea	хотеть	V;IND;SG;2;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
strategice	стратегическое	strategic	стратегический	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
strategice	стратегическая	strategic	стратегический	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
utilizand	использование	utiliza	использование	ADV	N;INAN;NOM;NEUT;SG
utilizand	используя	utiliza	использовать	ADV	V;IPFV;PRS;V.CVB;ACT
numeric	numeric	numeric	numeric	ADV	PROPN
simte	чувствую	simți	чувствовать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
lloyd	ллойд	lloyd	ллойд	PROPN	N;ANIM;NOM;MASC;SG
oldenburg	ольденбург	oldenburg	ольденбург	PROPN	N;ANIM;NOM;MASC;SG
lunile	месяца	lună	месяц	N;DEF;FEM;PL	N;INAN;GEN;MASC;SG
lunile	месяцы	lună	месяц	N;DEF;FEM;PL	N;INAN;NOM;MASC;PL
lunile	месяцев	lună	месяц	N;DEF;FEM;PL	N;INAN;GEN;MASC;PL
rase	порождает	rasă	порождать	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
bordeaux	бордо	bordeaux	бордо	PROPN	N;INAN;NOM;MASC;SG
jay	джей	jay	джей	PROPN	N;INAN;NOM;MASC;SG
aventuri	приключение	avent	приключение	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
autoritati	власти	autoritati	власть		N;INAN;NOM;FEM;PL
estimare	смета	estimare	смет	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
estimare	оценить	estimare	оценить	N;INDF;FEM;SG	V;PFV;NFIN;ACT
comparativ	сравнительные	comparativ	сравнительный	ADV	ADJ;NOM;PL
comparativ	сравнительный	comparativ	сравнительный	ADV	ADJ;NOM;MASC;SG
islamice	исламская	islamic	исламский	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
islamice	исламский	islamic	исламский	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
islamice	исламское	islamic	исламский	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
salt	прыгать	salt	прыгать	N;INDF;MASC;SG	V;IPFV;NFIN;ACT
salt	прыгнуть	salt	прыгнуть	N;INDF;MASC;SG	V;PFV;NFIN;ACT
salt	соли	salt	соль	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
tensiune	напряжение	tensiune	напряжение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
tensiune	напряженность	tensiune	напряженность	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
tensiune	напряженности	tensiune	напряженность	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
tensiune	напряжение	tensiune	напряжение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
tensiune	напряжения	tensiune	напряжение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;PL
pius	пий	pius	пий	PROPN	N;ANIM;NOM;MASC;SG
traiasca	живи	traiască	жить	N;DEF;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
traiasca	живите	traiască	жить	N;DEF;FEM;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
traiasca	live	traiască	live	N;DEF;FEM;SG	PROPN
traiasca	живу	traiască	жить	N;DEF;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
traiasca	жить	traiască	жить	N;DEF;FEM;SG	V;IPFV;NFIN;ACT
exprimate	бросили	exprima	бросить	ADJ;INDF;FEM;PL	V;PFV;IND;PL;PST;FIN;ACT
exprimate	выражено	exprima	выразить	ADJ;INDF;FEM;PL	V;PFV;NEUT;SG;PST;V.PTCP;PASS
exprimate	выразил	exprima	выразить	ADJ;INDF;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
exprimate	выраженное	exprima	выразить	ADJ;INDF;FEM;PL	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
exprimate	выраженные	exprima	выразить	ADJ;INDF;FEM;PL	V;PFV;NOM;PL;PST;V.PTCP;PASS
exprimate	выраженную	exprima	выразить	ADJ;INDF;FEM;PL	V;PFV;ACC;FEM;SG;PST;V.PTCP;PASS
romeo	ромео	romeo	ромео	PROPN	N;INAN;NOM;MASC;SG
concomitent	сопутствующих	concomitent	сопутствовать	ADV	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
arunca	бросок	arunca	бросок	V;IND;SG;3;IPFV;FIN	N;INAN;NOM;MASC;SG
arunca	бросок	arunca	бросок	V;IND;SG;3;IPFV;FIN	N;INAN;NOM;MASC;SG
conservare	сохранение	conservare	сохранение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
conservare	сохранения	conservare	сохранение	N;INDF;FEM;SG	N;INAN;GEN;NEUT;SG
conservare	сохранение	conservare	сохранение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
matilda	матильда	matilda	матильд	N;DEF;FEM;SG	N;ANIM;NOM;FEM;SG
recenta	недавние	recent	недавний	ADJ;DEF;FEM;SG	ADJ;NOM;PL
recenta	последние	recent	последний	ADJ;DEF;FEM;SG	ADJ;NOM;PL
recenta	недавнее	recent	недавний	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG
recenta	недавно	recent	недавно	ADJ;DEF;FEM;SG	ADV
recenta	недавние	recent	недавний	ADJ;DEF;FEM;SG	ADJ;NOM;PL
recenta	последние	recent	последний	ADJ;DEF;FEM;SG	ADJ;NOM;PL
recenta	недавнее	recent	недавний	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG
recenta	недавно	recent	недавно	ADJ;DEF;FEM;SG	ADV
accentul	акцент	accent	акцент	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
trenul	поезд	tren	поезд	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
philodromus	philodromus	philodromus	philodromus	N;INDF;MASC;SG	PROPN
bate	бит	bate	бит	V;IND;SG;3;PRS;FIN	
bate	биты	bate	бит	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;PL
propuse	предлагаемые	propus	предлагать	ADJ;INDF;FEM;PL	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
propuse	предлагаемая	propus	предлагать	ADJ;INDF;FEM;PL	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;PASS
tanc	цистерны	tanc	цистерна	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
zguduit	потрясен	zguduit	потрясти	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
zguduit	потрясли	zguduit	потрясти	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN;ACT
zguduit	потрясли	zguduit	потрясти	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN;ACT
bolnav	больным	bolnav	больной	ADJ;INDF;MASC;SG	N;ANIM;DAT;MASC;PL
bolnav	больные	bolnav	больной	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
bolnav	больной	bolnav	больной	ADJ;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
prix	prix	prix	prix	N;INDF;MASC;SG	PROPN
nguyen	нгуен	nguyen	нгуен	PROPN	N;INAN;NOM;MASC;SG
afecteaza	затрагивает	afecta	затрагивать	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
afecteaza	влияет	afecta	влиять	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
afecteaza	затрагивает	afecta	затрагивать	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
afecteaza	влияет	afecta	влиять	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fiice	дочери	fi	дочь	N;INDF;FEM;PL	N;ANIM;NOM;FEM;SG
nigeria	нигерии	nigerie	нигерия	PROPN	N;INAN;NOM;FEM;PL
nigeria	нигерию	nigerie	нигерие	PROPN	N;INAN;ACC;FEM;SG
nigeria	нигерия	nigerie	нигерий	PROPN	N;INAN;NOM;FEM;SG
minnesota	миннесота	minnesotă	миннесот	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
minnesota	миннесоты	minnesotă	миннесот	N;DEF;FEM;SG	N;INAN;NOM;MASC;PL
allah	аллах	allah	алла		N;ANIM;NOM;MASC;SG
joan	джоан	joan	джоан	PROPN	N;ANIM;NOM;FEM;SG
dysdera	dysdera	dysdera	dysdera	N;DEF;FEM;SG	PROPN
vila	вила	vilă	вить	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
vila	вилла	vilă	вилла	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
vila	вилла	vilă	вилла	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
bor	бор	bor	бор		N;INAN;NOM;MASC;SG
bor	бора	bor	бор		N;INAN;NOM;MASC;SG
bor	бор	bor	бор		N;INAN;NOM;MASC;SG
gabrovo	габрово	gabrovo	габрово	N;INDF;MASC;SG	ADV
strategic	стратегически	strategic	стратегически	ADJ;INDF;MASC;SG	ADV
privit	посмотрел	privi	смотреть	ADJ;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
privit	посмотрела	privi	смотреть	ADJ;INDF;MASC;SG	V;PFV;FEM;IND;SG;PST;FIN;ACT
privit	смотрела	privi	смотреть	ADJ;INDF;MASC;SG	V;IPFV;FEM;IND;SG;PST;FIN;ACT
privit	посмотрели	privi	смотреть	ADJ;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN;ACT
privit	смотрели	privi	смотреть	ADJ;INDF;MASC;SG	V;IPFV;IND;PL;PST;FIN;ACT
privit	смотрел	privi	смотреть	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
dennis	деннис	dennis	деннис	PROPN	N;ANIM;NOM;MASC;SG
dennis	дэннис	dennis	дэннис	PROPN	N;ANIM;NOM;MASC;SG
geografia	географии	geografie	география	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
geografia	география	geografie	география	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
miami	майами	miam	май	PROPN	N;INAN;INS;FEM;PL
lang	лэнг	lang	лэнг	PROPN	PART
bugetul	бюджет	buget	бюджет	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
matthew	мэттью	matthew	мэтт	PROPN	N;ANIM;NOM;FEM;SG
matthew	мэтью	matthew	мэть	PROPN	N;ANIM;NOM;MASC;SG
intervalul	дальность	interval	дальность	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
intervalul	диапазон	interval	диапазон	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
intervalul	интервал	interval	интервал	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
intervalul	промежуток	interval	промежуток	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
wisconsin	висконсин	wisconsin	висконсин	PROPN	N;INAN;NOM;MASC;SG
strazile	улицы	stradilă	улица	N;DEF;FEM;PL	N;INAN;NOM;FEM;PL
strazile	улицах	stradilă	улица	N;DEF;FEM;PL	N;INAN;ESS;FEM;PL
sunete	звучит	sunet	звучать	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
cablu	кабельное	cablu	кабельный	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
barajul	дам	baraj	дать	N;DEF;MASC;SG	
barajul	плотины	baraj	плотина	N;DEF;MASC;SG	N;INAN;NOM;FEM;PL
barajul	гэс	baraj	гэс	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
autonom	автономные	autonom	автономный	ADJ;INDF;MASC;SG	ADJ;NOM;PL
autonom	автономных	autonom	автономный	ADJ;INDF;MASC;SG	ADJ;GEN;PL
lucas	лукас	lucas	лукас	PROPN	N;ANIM;NOM;MASC;SG
lucas	люка	lucas	люк	PROPN	N;INAN;GEN;MASC;SG
justin	джастин	justin	джастин		N;ANIM;NOM;MASC;SG
laurent	лоран	laurent	лоран	PROPN	N;ANIM;NOM;MASC;SG
lingvistice	языковым	lingvistic	языковой	N;INDF;FEM;PL	ADJ;INS;NEUT;SG
northern	северный	northern	северный	PROPN	ADJ;NOM;MASC;SG
northern	северная	northern	северный	PROPN	ADJ;NOM;FEM;SG
northern	северные	northern	северный	PROPN	ADJ;NOM;PL
northern	северное	northern	северный	PROPN	ADJ;NOM;NEUT;SG
northern	северной	northern	северный	PROPN	ADJ;INS;FEM;SG
astea	эти	acesta	этот	PRO;FEM;PL;3	DET;NOM;PL
procedura	процедура	procedură	процедура	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
procedura	процедуры	procedură	процедура	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
procedura	процедура	procedură	процедура	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
procedura	процедуры	procedură	процедура	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
marx	маркс	marx	маркс	PROPN	N;ANIM;NOM;MASC;SG
aprox	приблизительно	aprox	приблизительно	N;INDF;MASC;SG	ADV
gandirea	думаю	gandire	думать	N;DEF;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
gandirea	мышление	gandire	мышление	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
consecutive	последовательно	consecutiv	последовательно	ADJ;INDF;FEM;PL	ADV
asimov	азимов	asimov	азим	PROPN	N;ANIM;NOM;MASC;SG
repere	актуальное	repere	актуальный	N;INDF;FEM;PL	ADJ;NOM;NEUT;SG
repere	подчеркивает	repere	подчеркивать	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
singapore	сингапур	singapore	сингапур	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
singapore	сингапура	singapore	сингапур	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
singapore	сингапуре	singapore	сингапура	N;INDF;FEM;PL	N;INAN;DAT;MASC;SG
acoperire	покрытие	acoperire	покрытие	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
acoperire	обложки	acoperire	обложка	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
