din	no	din	no	ADP;ACC	
majoritatea	vairums	majoritate	vairums	N;DEF;FEM;SG	N;NOM;MASC;SG
majoritatea	visvairāk	majoritate	visvairāk	N;DEF;FEM;SG	ADV;RL
majoritatea	vairākums	majoritate	vairākums	N;DEF;FEM;SG	N;NOM;MASC;SG
majoritatea	vairākumu	majoritate	vairākums	N;DEF;FEM;SG	N;ACC;MASC;SG
densitate	blīvums	densitate	blīvums	N;INDF;FEM;SG	N;NOM;MASC;SG
limba	mēle	limbă	mēle	N;DEF;FEM;SG	N;NOM;FEM;SG
limba	mēles	limbă	mēle	N;DEF;FEM;SG	N;NOM;FEM;PL
limba	valoda	limbă	valoda	N;DEF;FEM;SG	N;NOM;FEM;SG
limba	mēle	limbă	mēle	N;DEF;FEM;SG	N;NOM;FEM;SG
limba	mēles	limbă	mēle	N;DEF;FEM;SG	N;NOM;FEM;PL
limba	valoda	limbă	valoda	N;DEF;FEM;SG	N;NOM;FEM;SG
multe	daudziem	mult	daudzi	PRO;FEM;PL;3	PRO;DAT;MASC;PL
multe	daudz	mult	daudz	PRO;FEM;PL;3	ADV
multe	daudzi	mult	daudzi	PRO;FEM;PL;3	PRO;NOM;MASC;PL
multe	daudzus	mult	daudzi	PRO;FEM;PL;3	PRO;ACC;MASC;PL
multe	daudzas	mult	daudzas	PRO;FEM;PL;3	PRO;NOM;FEM;PL
prima	pirmais	prim	pirmais	NUM;DEF;FEM;SG	ADJ;NOM;DEF;MASC;SG
prima	pirmā	prim	pirmā	NUM;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
prima	pirmās	prim	pirmā	NUM;DEF;FEM;SG	ADJ;NOM;DEF;FEM;PL
prima	pirmie	prim	pirmais	NUM;DEF;FEM;SG	ADJ;NOM;DEF;MASC;PL
prima	pirma	prim	pirma	NUM;DEF;FEM;SG	ADJ;NOM;FEM;SG
prima	vispirms	prim	vispirms	NUM;DEF;FEM;SG	ADV
prima	piemaksas	prim	piemaksa	NUM;DEF;FEM;SG	N;NOM;FEM;PL
prima	piemaksa	prim	piemakstēt	NUM;DEF;FEM;SG	N;NOM;FEM;SG
prima	prēmija	prim	prēmija	NUM;DEF;FEM;SG	N;NOM;FEM;SG
sat	sēdēja	sat	sēdēt	N;INDF;MASC;SG	V;FH;IND;3;POS;PST;FIN;ACT
sat	sat	sat	sat	N;INDF;MASC;SG	
biserica	baznīca	biserică	baznīca	N;DEF;FEM;SG	N;NOM;FEM;SG
biserica	baznīcas	biserică	baznīca	N;DEF;FEM;SG	N;NOM;FEM;PL
biserica	baznīcā	biserică	baznīca	N;DEF;FEM;SG	N;ESS;FEM;SG
biserica	baznīca	biserică	baznīca	N;DEF;FEM;SG	N;NOM;FEM;SG
biserica	baznīcas	biserică	baznīca	N;DEF;FEM;SG	N;NOM;FEM;PL
biserica	baznīcā	biserică	baznīca	N;DEF;FEM;SG	N;ESS;FEM;SG
toate	visiem	tot	viss	PRO;FEM;PL;3	PRO;DAT;MASC;PL
toate	visu	tot	viss	PRO;FEM;PL;3	PRO;ACC;MASC;SG
toate	visas	tot	visa	PRO;FEM;PL;3	PRO;NOM;FEM;PL
toate	visi	tot	viss	PRO;FEM;PL;3	PRO;NOM;MASC;PL
toate	visa	tot	viss	PRO;FEM;PL;3	PRO;NOM;FEM;SG
latns	latns	latns	latns		N;NOM;MASC;SG
latd	latd	latd	lats		
longd	longd	longd	longd		
adresa	adrese	adresă	adrese	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	address	adresă	address	N;DEF;FEM;SG	N;NOM;MASC;SG
adresa	adrese	adresă	adrese	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	address	adresă	address	N;DEF;FEM;SG	N;NOM;MASC;SG
cum	kā	cum	kā	ADV	ADV
imagine	attēls	imagine	attēls	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	bildē	imagine	bilde	N;INDF;FEM;SG	N;ESS;FEM;SG
imagine	bilde	imagine	bilde	N;INDF;FEM;SG	N;NOM;FEM;SG
imagine	bildei	imagine	bilde	N;INDF;FEM;SG	N;DAT;FEM;SG
imagine	attēla	imagine	attēls	N;INDF;FEM;SG	N;GEN;MASC;SG
imagine	attēls	imagine	attēls	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	attēlu	imagine	attēls	N;INDF;FEM;SG	N;ACC;MASC;SG
statul	valsts	stat	valsts	N;DEF;MASC;SG	N;NOM;FEM;SG
statul	štats	stat	štats	N;DEF;MASC;SG	N;NOM;MASC;SG
lor	viņu	lui	viņš	DET;3	PRO;ACC;MASC;SG;3
familia	saime	familie	saime	N;DEF;FEM;SG	N;NOM;FEM;SG
familia	ģimene	familie	ģimene	N;DEF;FEM;SG	N;NOM;FEM;SG
familia	ģimenē	familie	ģimene	N;DEF;FEM;SG	N;ESS;FEM;SG
familia	ģimenes	familie	ģimene	N;DEF;FEM;SG	N;NOM;FEM;PL
numele	vārds	nume	vārds	N;DEF;MASC;SG	N;NOM;MASC;SG
numele	nosaukums	nume	nosaukums	N;DEF;MASC;SG	N;NOM;MASC;SG
timpul	laiks	timp	laiks	N;DEF;MASC;SG	N;NOM;MASC;SG
timpul	laika	timp	laiks	N;DEF;MASC;SG	N;GEN;MASC;SG
nord	ziemeļi	nord	ziemelis	N;INDF;MASC;SG	N;NOM;MASC;PL
nord	ziemeļos	nord	ziemelis	N;INDF;MASC;SG	N;ESS;MASC;PL
nord	ziemeļu	nord	ziemelis	N;INDF;MASC;SG	N;GEN;MASC;PL
nord	nord	nord	nord	N;INDF;MASC;SG	
principala	galvenais	principal	galvenais	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG
principala	galvenās	principal	galvenā	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
principala	galvenā	principal	galvenā	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
principala	galvenais	principal	galvenais	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG
principala	galvenās	principal	galvenā	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
principala	galvenā	principal	galvenā	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
sud	dienvidos	sud	dienvidi	N;INDF;MASC;SG	N;ESS;MASC;PL
primul	pirmais	prim	pirmais	NUM;DEF;MASC;SG	ADJ;NOM;DEF;MASC;SG
primul	pirmā	prim	pirmā	NUM;DEF;MASC;SG	ADJ;NOM;DEF;FEM;SG
primul	pirmās	prim	pirmā	NUM;DEF;MASC;SG	ADJ;NOM;DEF;FEM;PL
primul	pirmie	prim	pirmais	NUM;DEF;MASC;SG	ADJ;NOM;DEF;MASC;PL
primul	pirma	prim	pirma	NUM;DEF;MASC;SG	ADJ;NOM;FEM;SG
primul	vispirms	prim	vispirms	NUM;DEF;MASC;SG	ADV
doar	tikai	doar	tikai	ADV	PART
doar	tikai	doar	tikai	ADV	PART
editura	izdevējs	editură	izdevējs	N;DEF;FEM;SG	N;NOM;MASC;SG
asteroid	asteroīds	asteroid	asteroīds	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
recensamantului	skaitīšana	recensamant	skaitīšana	N;DEF;MASC;SG	N;NOM;FEM;SG
lats	lats	lats	lats		N;NOM;MASC;SG
longm	longm	longm	longm		
latm	latm	latm	lats		
discutie	pārrunas	discutie	pārruna	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	apspriešana	discutie	apspriešana	N;INDF;FEM;SG	N;NOM;FEM;SG
discutie	diskusijas	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	diskusija	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;SG
discutie	pārrunas	discutie	pārruna	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	apspriešana	discutie	apspriešana	N;INDF;FEM;SG	N;NOM;FEM;SG
discutie	diskusijas	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	diskusija	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;SG
discutie	pārrunas	discutie	pārruna	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	apspriešana	discutie	apspriešana	N;INDF;FEM;SG	N;NOM;FEM;SG
discutie	diskusijas	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;PL
discutie	diskusija	discutie	diskusija	N;INDF;FEM;SG	N;NOM;FEM;SG
franta	franciju	frantă	francija	PROPN	PROPN;ACC;FEM;SG
franta	francijā	frantă	francija	PROPN	PROPN;ESS;FEM;SG
franta	francija	frantă	francija	PROPN	PROPN;NOM;FEM;SG
franta	france	frantă	france	PROPN	
franta	franciju	frantă	francija	PROPN	PROPN;ACC;FEM;SG
franta	francijā	frantă	francija	PROPN	PROPN;ESS;FEM;SG
franta	francija	frantă	francija	PROPN	PROPN;NOM;FEM;SG
franta	france	frantă	france	PROPN	
franta	franciju	frantă	francija	PROPN	PROPN;ACC;FEM;SG
franta	francijā	frantă	francija	PROPN	PROPN;ESS;FEM;SG
franta	francija	frantă	francija	PROPN	PROPN;NOM;FEM;SG
franta	france	frantă	france	PROPN	
partea	daļa	parte	daļa	N;DEF;FEM;SG	N;NOM;FEM;SG
fara	bez	fară	bez		ADP
fara	bez	fară	bez		ADP
departamentul	departamentā	departament	departaments	N;DEF;MASC;SG	N;ESS;MASC;SG
departamentul	departaments	departament	departaments	N;DEF;MASC;SG	N;NOM;MASC;SG
raionul	sānā	raion	sāns	N;DEF;MASC;SG	N;ESS;MASC;SG
data	datums	dată	datums	N;DEF;FEM;SG	N;NOM;MASC;SG
data	dati	dată	dati	N;DEF;FEM;SG	N;NOM;MASC
data	datums	dată	datums	N;DEF;FEM;SG	N;NOM;MASC;SG
unul	viens	unul	viens	PRO;MASC;SG;3	NUM;NOM;MASC;SG
unul	viena	unul	viena	PRO;MASC;SG;3	NUM;NOM;FEM;SG
unul	vienu	unul	viens	PRO;MASC;SG;3	NUM;ACC;MASC;SG
grup	grupas	grup	grupa	N;INDF;MASC;SG	N;NOM;FEM;PL
locul	vieta	loc	vieta	N;DEF;MASC;SG	N;NOM;FEM;SG
pot	varam	putea	varēt	V;IND;PL;3;PRS;FIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
camp	nometnes	camp	nometne	N;INDF;MASC;SG	N;NOM;FEM;PL
camp	laukā	camp	laukā	N;INDF;MASC;SG	ADV
germania	vācijas	germania	vācija	PROPN	PROPN;NOM;FEM;SG
germania	vācija	germania	vācija	PROPN	PROPN;NOM;FEM;SG
germania	vācijā	germania	vācija	PROPN	PROPN;ESS;FEM;SG
face	padarītu	face	padarīt	V;IND;SG;3;PRS;FIN	V;COND;POS;FIN;ACT
face	make	face	make	V;IND;SG;3;PRS;FIN	
face	marka	face	marka	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
satul	ciema	sat	ciems	N;DEF;MASC;SG	N;GEN;MASC;SG
satul	ciemata	sat	ciemats	N;DEF;MASC;SG	N;GEN;MASC;SG
satul	ciems	sat	ciems	N;DEF;MASC;SG	N;NOM;MASC;SG
satul	ciematu	sat	ciemats	N;DEF;MASC;SG	N;ACC;MASC;SG
satul	ciemu	sat	ciems	N;DEF;MASC;SG	N;ACC;MASC;SG
satul	ciemats	sat	ciemats	N;DEF;MASC;SG	N;NOM;MASC;SG
note	atzīmē	notă	atzīmēt	N;INDF;FEM;PL	V;FH;IND;3;POS;PRS;FIN;ACT
perioada	laikposms	perioadă	laikposms	N;DEF;FEM;SG	N;NOM;MASC;SG
perioada	periods	perioadă	periods	N;DEF;FEM;SG	N;NOM;MASC;SG
perioada	laikposms	perioadă	laikposms	N;DEF;FEM;SG	N;NOM;MASC;SG
perioada	periods	perioadă	periods	N;DEF;FEM;SG	N;NOM;MASC;SG
minoritate	mazākums	minoritate	mazākums	N;INDF;FEM;SG	N;NOM;MASC;SG
minoritate	minoritāte	minoritate	minoritāte	N;INDF;FEM;SG	N;NOM;FEM;SG
minoritate	minoritāšu	minoritate	minoritāte	N;INDF;FEM;SG	N;GEN;FEM;PL
ucraineana	ukraiņu	ucrainean	ukraiņa	N;DEF;FEM;SG	N;GEN;MASC;PL
ucraineana	ukrainas	ucrainean	ukraina	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
general	vispārīgi	general	vispārīgi	ADJ;INDF;MASC;SG	ADV
general	vispārēji	general	vispārējs	ADJ;INDF;MASC;SG	ADV
peste	zivīm	peste	zivs	ADP;ACC	N;DAT;FEM;PL
peste	zivs	peste	zivs	ADP;ACC	N;NOM;FEM;SG
peste	zivis	peste	zivs	ADP;ACC	N;NOM;FEM;PL
romana	rumāņu	romană	rumānis	N;DEF;FEM;SG	N;GEN;MASC;PL
romana	rumānijas	romană	rumānija	N;DEF;FEM;SG	N;NOM;FEM;PL
romana	romāns	romană	romāns	N;DEF;FEM;SG	N;NOM;MASC;SG
romana	romans	romană	romans	N;DEF;FEM;SG	PROPN;NOM;MASC;SG
romana	romiešu	romană	romietis	N;DEF;FEM;SG	N;GEN;MASC;PL
romana	romana	romană	romana	N;DEF;FEM;SG	N;NOM;FEM;SG
afla	mācies	afla	mākties	V;IND;SG;3;IPFV;FIN	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
inceput	sākts	incepe	sākt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
inceput	sākta	incepe	sākt	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
inceput	sākās	incepe	sākties	ADJ;INDF;MASC;SG	V;FH;IND;3;POS;REFL;PST;FIN;ACT
inceput	sākums	incepe	sākums	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
iii	iii	trei	būt	NUM;SG	ADJ
duce	hercogs	duce	hercogs	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
roman	rumāņu	roman	rumānis	N;INDF;MASC;SG	N;GEN;MASC;PL
roman	rumānijas	roman	rumānija	N;INDF;MASC;SG	N;NOM;FEM;PL
roman	romans	roman	romans	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
roman	romiešu	roman	romietis	N;INDF;MASC;SG	N;GEN;MASC;PL
provincia	province	provincie	province	N;DEF;FEM;SG	N;NOM;FEM;SG
provincia	ils	provincie	ils	N;DEF;FEM;SG	N;ESS;MASC;SG
existand	esošie	existand	būt		V;IPFV;NOM;DEF;MASC;PL;PRS;V.PTCP;PASS
existand	esošo	existand	būt		V;IPFV;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
existand	esošā	existand	būt		V;IPFV;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
existand	esošās	existand	būt		V;IPFV;NOM;DEF;FEM;PL;PRS;V.PTCP;PASS
vedere	skats	vedere	skats	N;INDF;FEM;SG	N;NOM;MASC;SG
vedere	apskatīt	vedere	apskatīt	N;INDF;FEM;SG	V;POS;NFIN
wikipedia	wikipedia	wikipedia	wikipedia	N;DEF;FEM;SG	N;NOM;MASC;SG
specie	suga	specie	suga	N;INDF;FEM;SG	N;NOM;FEM;SG
specie	sugas	specie	suga	N;INDF;FEM;SG	N;NOM;FEM;PL
punct	dot	punct	dot	N;INDF;MASC;SG	V;POS;NFIN
punct	point	punct	point	N;INDF;MASC;SG	
unite	united	unit	unitede	ADJ;INDF;FEM;PL	
unite	apvienotā	unit	apvienot	ADJ;INDF;FEM;PL	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
unite	apvienoto	unit	apvienot	ADJ;INDF;FEM;PL	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
unite	vienoti	unit	vienots	ADJ;INDF;FEM;PL	ADV
moldova	moldovā	moldova	moldovs	PROPN	N;ESS;FEM;SG
moldova	moldovas	moldova	moldova	PROPN	PROPN;NOM;FEM;SG
moldova	moldova	moldova	moldot	PROPN	PROPN;NOM;FEM;SG
aceste	šīs	acest	šī	DET;FEM;PL;3	PRO;NOM;FEM;PL
aceste	šie	acest	šis	DET;FEM;PL;3	PRO;NOM;MASC;PL
secolul	gadsimts	secol	gadsimts	N;DEF;MASC;SG	N;NOM;MASC;SG
una	viens	unul	viens	PRO;FEM;SG;3	NUM;NOM;MASC;SG
una	viena	unul	viena	PRO;FEM;SG;3	NUM;NOM;FEM;SG
una	vienu	unul	viens	PRO;FEM;SG;3	NUM;ACC;MASC;SG
aceasta	šī	acesta	šī	PRO;FEM;SG;3	PRO;NOM;FEM;SG
aceasta	šo	acesta	šis	PRO;FEM;SG;3	PRO;ACC;MASC;SG
aceasta	šis	acesta	šis	PRO;FEM;SG;3	PRO;NOM;MASC;SG
aceasta	tas	acesta	tas	PRO;FEM;SG;3	PRO;NOM;MASC;SG
life	life	life	life		
life	dzīve	life	dzīve		N;NOM;FEM;SG
life	dzīvi	life	dzīve		N;ACC;FEM;SG
life	dzīvība	life	dzīvība		N;NOM;FEM;SG
resedinta	rezidence	resedinta	rezidence	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	uzturēšanās	resedinta	uzturēšanās	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvieta	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvietu	resedinta	dzīvesviete	N;DEF;FEM;SG	N;ACC;FEM;SG
resedinta	dzīvesvietas	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;PL
resedinta	rezidence	resedinta	rezidence	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	uzturēšanās	resedinta	uzturēšanās	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvieta	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvietu	resedinta	dzīvesviete	N;DEF;FEM;SG	N;ACC;FEM;SG
resedinta	dzīvesvietas	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;PL
resedinta	rezidence	resedinta	rezidence	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	uzturēšanās	resedinta	uzturēšanās	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvieta	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;SG
resedinta	dzīvesvietu	resedinta	dzīvesviete	N;DEF;FEM;SG	N;ACC;FEM;SG
resedinta	dzīvesvietas	resedinta	dzīvesvieta	N;DEF;FEM;SG	N;NOM;FEM;PL
orasul	pilsēta	oras	pilsēta	N;DEF;MASC;SG	N;NOM;FEM;SG
orasul	pilsēta	oras	pilsēta	N;DEF;MASC;SG	N;NOM;FEM;SG
orasul	pilsēta	oras	pilsēta	N;DEF;MASC;SG	N;NOM;FEM;SG
tot	visiem	tot	viss	PRO;MASC;SG;3	PRO;DAT;MASC;PL
tot	visu	tot	viss	PRO;MASC;SG;3	PRO;ACC;MASC;SG
tot	visas	tot	visa	PRO;MASC;SG;3	PRO;NOM;FEM;PL
tot	visi	tot	viss	PRO;MASC;SG;3	PRO;NOM;MASC;PL
tot	visa	tot	viss	PRO;MASC;SG;3	PRO;NOM;FEM;SG
tot	vēl	tot	vēl	PRO;MASC;SG;3	ADV
tot	vēljoprojām	tot	vēljoprojām	PRO;MASC;SG;3	V;FH;IND;PL;1;POS;PST;FIN;ACT
tot	joprojām	tot	joprojām	PRO;MASC;SG;3	ADV
chiar	pat	chiar	pat	ADV	PART
facut	izgatavots	face	izgatavot	ADJ;INDF;MASC;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
facut	made	face	made	ADJ;INDF;MASC;SG	
cunoscute	zināma	cunoscut	zināt	ADJ;INDF;FEM;PL	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
cunoscute	zināmi	cunoscut	zināt	ADJ;INDF;FEM;PL	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
cunoscute	zināms	cunoscut	zināt	ADJ;INDF;FEM;PL	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
cunoscute	pazīstama	cunoscut	pazīt	ADJ;INDF;FEM;PL	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
film	plēves	film	plēve	N;INDF;MASC;SG	N;NOM;FEM;PL
date	dati	dată	dati	N;INDF;FEM;PL	N;NOM;MASC
cunoscuta	zināma	cunoscuta	zināt	ADJ;DEF;FEM;SG	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
