улицата	street	улица	street	N;DEF;FEM;SG	N;INDF;MASC;SG
цивилни	civilii	цивилен	civil	ADJ;INDF;PL	N;DEF;MASC;PL
цивилни	civililor	цивилен	civil	ADJ;INDF;PL	N;DEF;MASC;PL
путин	putin	путин	putin	PROPN;INDF;MASC;SG	
свиленград	svilengrad	свиленград	svilengrad	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
представено	prezentat	представя-(се)	prezenta	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
представено	prezentata	представя-(се)	prezenta	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;DEF;FEM;SG
представено	prezentate	представя-(се)	prezentat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
представено	prezentat	представя-(се)	prezenta	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
бит	batut	бия-(се)	bate	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
бит	batut	бия-(се)	bate	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
бит	batuta	бия-(се)	batută	N;INDF;MASC;SG	ADJ;DEF;FEM;SG
плод	fructul	плод	fruct	N;INDF;MASC;SG	N;DEF;MASC;SG
плод	fructe	плод	fruct	N;INDF;MASC;SG	N;INDF;FEM;PL
плод	fructele	плод	fruct	N;INDF;MASC;SG	N;DEF;FEM;PL
физици	fizicienii	физик	fizician	N;INDF;MASC;PL	N;DEF;MASC;PL
имението	conac	имение	conac	N;DEF;NEUT;SG	N;INDF;MASC;SG
имението	conac	имение	conac	N;DEF;NEUT;SG	N;INDF;MASC;SG
имението	manor	имение	manor	N;DEF;NEUT;SG	N;INDF;MASC;SG
езиците	limbi	език	limbă	N;DEF;MASC;PL	N;INDF;FEM;PL
доктрина	doctrina	доктрина	doctrină	N;INDF;FEM;SG	N;DEF;FEM;SG
еволюцията	evolutie	еволюция	evolutie	N;DEF;FEM;SG	N;INDF;FEM;SG
рицар	knight	рицар	knight	N;INDF;MASC;SG	PROPN
рицар	cavalerul	рицар	cavaler	N;INDF;MASC;SG	N;DEF;MASC;SG
неправилно	incorecte	неправилно	incorect	ADV	ADJ;INDF;FEM;PL
неправилно	incorecta	неправилно	incorecta	ADV	ADJ;DEF;FEM;SG
тото	toto	тото	toto	N;INDF;NEUT;SG	
оригинален	originala	оригинален	original	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
оригинален	originale	оригинален	original	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
оригинален	originala	оригинален	original	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
католици	catolicii	католик	catolic	N;INDF;MASC;PL	N;DEF;MASC;PL
католици	catolica	католик	catolică	N;INDF;MASC;PL	N;DEF;FEM;SG
католици	catolica	католик	catolică	N;INDF;MASC;PL	N;DEF;FEM;SG
католици	catolic	католик	catolic	N;INDF;MASC;PL	ADJ;INDF;MASC;SG
гревена	grevena	гревен	grevena	N;INDF;FEM;SG	N;DEF;FEM;SG
твърд	firma	твърд	firmă	ADJ;INDF;MASC;SG	N;DEF;FEM;SG
твърд	fermi	твърд	ferm	ADJ;INDF;MASC;SG	ADJ;INDF;MASC;PL
твърд	firma	твърд	firmă	ADJ;INDF;MASC;SG	N;DEF;FEM;SG
твърд	ferm	твърд	ferm	ADJ;INDF;MASC;SG	ADV
твърд	solida	твърд	solidă	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
твърд	solide	твърд	solid	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
твърд	greu	твърд	greu	ADJ;INDF;MASC;SG	ADV
твърд	tare	твърд	tare	ADJ;INDF;MASC;SG	ADV
твърд	rigide	твърд	rigid	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
твърд	rigida	твърд	rigidă	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
развит	dezvoltate	развит-(се)	dezvoltat	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
развит	dezvoltata	развит-(се)	dezvoltata	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
вавилон	babylon	вавилон	babylon	N;INDF;MASC;SG	PROPN
невада	nevada	невад	nevada	N;INDF;FEM;SG	PROPN
планети	planetelor	планета	planetă	N;INDF;FEM;PL	N;DEF;FEM;PL
планети	planetele	планета	planetă	N;INDF;FEM;PL	N;DEF;FEM;PL
месопотамия	mesopotamia	месопотамия	mesopotamie	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
молекули	moleculele	молекул	moleculă	N;INDF;MASC;PL	N;DEF;FEM;PL
марек	marek	марек	marek	N;INDF;MASC;SG	PROPN
наляво	stang	наляво	stang	ADV	
наляво	stanga	наляво	stanga	ADV	N;DEF;FEM;SG
наляво	stanga	наляво	stanga	ADV	N;DEF;FEM;SG
наляво	stinga	наляво	stingă	ADV	N;DEF;FEM;SG
дакота	dakota	дакът	dakota	PROPN;INDF;FEM;SG	PROPN
радиус	raza	радиус	rază	N;INDF;MASC;SG	N;DEF;FEM;SG
радиус	raza	радиус	rază	N;INDF;MASC;SG	N;DEF;FEM;SG
здрави	sanatos	здрав	sanatos	ADJ;INDF;PL	ADJ;INDF;MASC;SG
здрави	sanatoasa	здрав	sanatos	ADJ;INDF;PL	ADJ;DEF;FEM;SG
здрави	sanatos	здрав	sanatos	ADJ;INDF;PL	ADJ;INDF;MASC;SG
дванадесет	twelve	дванадесет	twelve	NUM;INDF;PL	PROPN
дванадесет	douasprezece	дванадесет	doisprezece	NUM;INDF;PL	
подчинени	subalternii	подчиня-(се)	subaltern	V;PFV;INDF;PL;V.PTCP;PASS	N;DEF;MASC;PL
подчинени	subordonat	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;MASC;SG
подчинени	subordonata	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	N;DEF;FEM;SG
подчинени	subordonate	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;FEM;PL
подчинени	subordonat	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;MASC;SG
подчинени	subordonate	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;FEM;PL
подчинени	subordonata	подчиня-(се)	subordonat	V;PFV;INDF;PL;V.PTCP;PASS	N;DEF;FEM;SG
желязна	fier	железен	fier	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
желязна	fierul	железен	fier	ADJ;INDF;FEM;SG	N;DEF;MASC;SG
ястия	vesela	ястие	vesel	N;INDF;NEUT;PL	ADJ;DEF;FEM;SG
хелзинки	helsinki	хелзинка	helsinki	N;INDF;FEM;PL	PROPN
анкара	ankara	анкара	ankara	N;INDF;FEM;SG	PROPN
ръсел	russel	ръсел	russel	N;INDF;MASC;SG	PROPN
ръсел	russel	ръсел	russel	N;INDF;MASC;SG	PROPN
ръсел	russell	ръсел	russell	N;INDF;MASC;SG	PROPN
изработен	artizanale	изработя	artizanal	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
прогрес	progresul	прогрес	progres	N;INDF;MASC;SG	N;DEF;MASC;SG
прогрес	progresele	прогрес	progres	N;INDF;MASC;SG	N;DEF;FEM;PL
прогрес	progrese	прогрес	progres	N;INDF;MASC;SG	N;INDF;FEM;PL
изпратена	trimisa	изпратя	trimis	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;DEF;FEM;SG
изпратена	trimis	изпратя	trimite	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
цветни	colorate	цветен	colorat	ADJ;INDF;PL	N;INDF;FEM;PL
човешко	umane	човешки	uman	ADV	ADJ;INDF;FEM;PL
човешко	om	човешки	om	ADV	N;INDF;MASC;SG
човешко	umana	човешки	umană	ADV	ADJ;DEF;FEM;SG
човешко	uman	човешки	uman	ADV	ADJ;INDF;MASC;SG
процесите	procese	процес	proces	N;DEF;MASC;PL	N;INDF;FEM;PL
галерии	galeriile	галерия	galerie	N;INDF;FEM;PL	N;DEF;FEM;PL
изпълнен	umplute	изпълня-(се)	umple	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
изпълнен	umplut	изпълня-(се)	umple	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
леля	matusa	леля	matus	N;INDF;FEM;SG	N;DEF;FEM;SG
леля	matusa	леля	matus	N;INDF;FEM;SG	N;DEF;FEM;SG
скок	sari	скок	sare	N;INDF;MASC;SG	
цикъла	ciclu	цикъл	ciclu	N;DEF;MASC;SG	N;INDF;MASC;SG
частична	partiale	частичен	partial	ADJ;INDF;FEM;SG	ADJ;INDF;FEM;PL
частична	partiala	частичен	partial	ADJ;INDF;FEM;SG	ADJ;DEF;FEM;SG
частична	partiala	частичен	partial	ADJ;INDF;FEM;SG	ADJ;DEF;FEM;SG
люк	luke	люк	luke	N;INDF;MASC;SG	PROPN
люк	luca	люк	luca	N;INDF;MASC;SG	N;DEF;FEM;SG
съпротивление	rezistenta	съпротивление	rezistentă	N;INDF;NEUT;SG	N;DEF;FEM;SG
съпротивление	rezistenta	съпротивление	rezistentă	N;INDF;NEUT;SG	N;DEF;FEM;SG
съпротивление	rezistenta	съпротивление	rezistentă	N;INDF;NEUT;SG	N;DEF;FEM;SG
ресторант	restaurantul	ресторант	restaurant	N;INDF;MASC;SG	N;DEF;MASC;SG
дева	fecioara	дева	fecioară	N;INDF;FEM;SG	N;DEF;FEM;SG
дева	fecioara	дева	fecioară	N;INDF;FEM;SG	N;DEF;FEM;SG
дева	deva	дева	deva	N;INDF;FEM;SG	PROPN
андреас	andreas	андреас	andreas	PROPN;INDF;MASC;SG	PROPN
казан	cazan	кажа	cazan	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;INDF;MASC;SG
казан	kazan	кажа	kazan	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;INDF;MASC;SG
слънчеви	soare	слънчев	soare	ADJ;INDF;PL	N;INDF;MASC;SG
слънчеви	insorita	слънчев	insorit	ADJ;INDF;PL	ADJ;DEF;FEM;SG
слънчеви	insorit	слънчев	insori	ADJ;INDF;PL	ADJ;INDF;MASC;SG
слънчеви	sunny	слънчев	sunny	ADJ;INDF;PL	N;INDF;MASC;SG
слънчеви	solare	слънчев	solar	ADJ;INDF;PL	N;INDF;FEM;PL
слънчеви	solara	слънчев	solară	ADJ;INDF;PL	N;DEF;FEM;SG
слънчеви	solar	слънчев	solar	ADJ;INDF;PL	N;INDF;MASC;SG
лусия	lucia	лусия	luciu	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
победителите	invingatori	победител	invingator	N;DEF;MASC;PL	ADJ;INDF;MASC;PL
въздушно	aeriana	въздушен	aerian	ADV	N;DEF;FEM;SG
въздушно	aer	въздушен	aer	ADV	N;INDF;MASC;SG
въздушно	aerul	въздушен	aer	ADV	N;DEF;MASC;SG
въздушно	air	въздушен	air	ADV	N;INDF;MASC;SG
арагон	aragon	арагон	aragon	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
азиатски	asiatice	азиатски	asiatic	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
азиатски	asiatici	азиатски	asiatic	ADJ;INDF;MASC;SG	ADJ;INDF;MASC;PL
азиатски	asiatica	азиатски	asiatică	ADJ;INDF;MASC;SG	N;DEF;FEM;SG
умерено	moderate	умерено	moderat	ADV	ADJ;INDF;FEM;PL
умерено	moderata	умерено	moderată	ADV	ADJ;DEF;FEM;SG
умерено	moderat	умерено	moderat	ADV	ADJ;INDF;MASC;SG
умерено	moderat	умерено	moderat	ADV	ADJ;INDF;MASC;SG
анатомия	anatomia	анатомия	anatomie	N;INDF;FEM;SG	N;DEF;FEM;SG
истинска	reale	истински	real	ADJ;INDF;FEM;SG	ADJ;INDF;FEM;PL
истинска	reala	истински	reală	ADJ;INDF;FEM;SG	ADJ;DEF;FEM;SG
стан	stan	стан	stan	N;INDF;MASC;SG	PROPN
журито	juriu	жури	juriu	N;DEF;NEUT;SG	N;INDF;MASC;SG
задвижване	propulsia	задвижване	propulsie	N;INDF;NEUT;SG	N;DEF;FEM;SG
образователни	educativ	образователен	educativ	ADJ;INDF;PL	ADJ;INDF;MASC;SG
формиране	formarea	формиране	formare	N;INDF;NEUT;SG	N;DEF;FEM;SG
агенцията	agentie	агенция	agentie	N;DEF;FEM;SG	N;INDF;FEM;SG
агенцията	agentie	агенция	agentie	N;DEF;FEM;SG	N;INDF;FEM;SG
добави	adaugare	добавя	adaugare	V;PFV;IND;SG;3;PST;FIN;ACT	N;INDF;FEM;SG
добави	adauga	добавя	adauga	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
добави	add	добавя	add	V;PFV;IND;SG;3;PST;FIN;ACT	
добави	adauga	добавя	adauga	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
разработени	dezvoltate	разработя-(се)	dezvoltat	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;FEM;PL
разработени	dezvoltata	разработя-(се)	dezvoltata	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;DEF;FEM;SG
разработени	dezvoltat	разработя-(се)	dezvolta	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;MASC;SG
сиво	gray	сиво	gray	ADV	PROPN
сиво	gri	сиво	gri	ADV	
сиво	grey	сиво	grey	ADV	PROPN
сиво	gri	сиво	gri	ADV	
условно	conditionat	условно	conditionat	ADV	ADJ;INDF;MASC;SG
условно	conditionata	условно	conditionat	ADV	N;DEF;FEM;SG
сфери	sferele	сфера	sferă	N;INDF;FEM;PL	N;DEF;FEM;PL
календара	calendar	календар	calendar	N;DEF;MASC;SG	N;INDF;MASC;SG
сфорца	sforza	сфорц	sforză	N;INDF;FEM;SG	PROPN
тъмна	dark	тъмен	dark	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
тъмна	intuneric	тъмен	intuneric	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
тъмна	intuneric	тъмен	intuneric	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
състави	compila	съставя	compila	N;INDF;FEM;PL	V;IND;PL;3;PRS;FIN
костите	bones	кост	bones	N;DEF;FEM;PL	N;INDF;MASC;SG
костите	oase	кост	os	N;DEF;FEM;PL	N;INDF;FEM;PL
слиза	descendent	слизам	descendent	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;MASC;SG
пръст	degetul	пръст	deget	N;INDF;MASC;SG	N;DEF;MASC;SG
параметър	parametrul	параметър	parametru	N;INDF;MASC;SG	N;DEF;MASC;SG
модена	modena	моден	modenă	N;INDF;FEM;SG	PROPN
изкуствен	artificiale	изкуствен	artificial	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
изкуствен	artificiala	изкуствен	artificială	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
изкуствен	artificiala	изкуствен	artificială	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
изкуствен	artificial	изкуствен	artificial	ADJ;INDF;MASC;SG	ADV
великден	paste	великден	paste	N;INDF;MASC;SG	
великден	paste	великден	paste	N;INDF;MASC;SG	
пациенти	pacientii	пациент	pacient	N;INDF;MASC;PL	N;DEF;MASC;PL
сейшели	seychelles	сейшел	seychelles	N;INDF;MASC;SG	PROPN
морско	maritima	морски	maritim	ADV	ADJ;DEF;FEM;SG
морско	maritime	морски	maritim	ADV	ADJ;INDF;FEM;PL
морско	maritim	морски	maritim	ADV	ADJ;INDF;MASC;SG
агенти	agentii	агент	agent	N;INDF;MASC;PL	N;DEF;MASC;PL
агенти	agentii	агент	agent	N;INDF;MASC;PL	N;DEF;MASC;PL
организирано	organizat	организирам	organiza	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
организирано	organizata	организирам	organizat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;DEF;FEM;SG
организирано	organizate	организирам	organizat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
организирано	organizat	организирам	organiza	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
организирано	organizata	организирам	organizat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;DEF;FEM;SG
организирано	organizate	организирам	organizat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
нормандия	normandia	нормандия	normandia	N;INDF;FEM;SG	PROPN
построено	construite	построя-(се)	construit	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
построено	construita	построя-(се)	construita	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	N;DEF;FEM;SG
построено	construit	построя-(се)	construi	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
построено	construita	построя-(се)	construita	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	N;DEF;FEM;SG
спортно	sportiv	спортен	sportiv	ADV	ADJ;INDF;MASC;SG
спортно	sport	спортен	sport	ADV	N;INDF;MASC;SG
спортно	sporturi	спортен	sport	ADV	N;INDF;FEM;PL
остро	sharp	остро	sharp	ADV	N;INDF;MASC;SG
остро	acute	остро	acut	ADV	N;INDF;FEM;PL
остро	acut	остро	acut	ADV	ADJ;INDF;MASC;SG
остро	acuta	остро	acuta	ADV	N;DEF;FEM;SG
руините	ruine	руина	ruină	N;DEF;FEM;PL	N;INDF;FEM;PL
руините	ruina	руина	ruină	N;DEF;FEM;PL	N;DEF;FEM;SG
финландски	finlandeza	финландски	finlandez	ADJ;INDF;MASC;SG	ADJ;DEF;FEM;SG
дистанция	distanta	дистанция	distantă	N;INDF;FEM;SG	N;DEF;FEM;SG
дистанция	distanta	дистанция	distantă	N;INDF;FEM;SG	N;DEF;FEM;SG
дистанция	distanta	дистанция	distantă	N;INDF;FEM;SG	N;DEF;FEM;SG
дистанция	distanta	дистанция	distantă	N;INDF;FEM;SG	N;DEF;FEM;SG
клеопатра	cleopatra	клеопатър	cleopatră	N;INDF;FEM;SG	N;DEF;FEM;SG
пирамида	piramida	пирамида	piramidă	N;INDF;FEM;SG	N;DEF;FEM;SG
пирамида	piramida	пирамида	piramidă	N;INDF;FEM;SG	N;DEF;FEM;SG
психологията	psihologie	психология	psihologie	N;DEF;FEM;SG	N;INDF;FEM;SG
магнус	magnus	магнус	magnus	N;INDF;MASC;SG	PROPN
роналд	ronald	роналд	ronald	PROPN;INDF;MASC;SG	PROPN
катар	qatar	катар	qatar	N;INDF;MASC;SG	PROPN
тясна	inguste	тесен	ingust	ADJ;INDF;FEM;SG	
тясна	ingusta	тесен	ingusta	ADJ;INDF;FEM;SG	ADJ;DEF;FEM;SG
тясна	restrange	тесен	restrange	ADJ;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
доминика	dominica	доминика	dominica	N;INDF;FEM;SG	N;DEF;FEM;SG
бонус	bonusul	бонус	bonus	N;INDF;MASC;SG	N;DEF;MASC;SG
гренландия	groenlanda	гренланди	groenlanda	N;INDF;FEM;SG	N;DEF;FEM;SG
аргумент	argumentul	аргумент	argument	N;INDF;MASC;SG	N;DEF;MASC;SG
спиране	oprirea	спиране	oprire	N;INDF;NEUT;SG	N;DEF;FEM;SG
синтез	sinteza	синтез	sinteză	N;INDF;MASC;SG	N;DEF;FEM;SG
синтез	sinteza	синтез	sinteză	N;INDF;MASC;SG	N;DEF;FEM;SG
мускули	muschii	мускул	muschi	N;INDF;MASC;PL	N;DEF;MASC;PL
мускули	musculare	мускул	muscular	N;INDF;MASC;PL	ADJ;INDF;FEM;PL
сив	gray	сив	gray	PROPN;INDF;MASC;SG	PROPN
сив	gri	сив	gri	PROPN;INDF;MASC;SG	
сив	grey	сив	grey	PROPN;INDF;MASC;SG	PROPN
сив	gri	сив	gri	PROPN;INDF;MASC;SG	
етапи	fazele	етапя	fază	N;INDF;MASC;PL	N;DEF;FEM;PL
етапи	etapele	етапя	etapă	N;INDF;MASC;PL	N;DEF;FEM;PL
людмила	ludmilla	людмила	ludmillă	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
людмила	ludmila	людмила	ludmilă	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
комитети	comisiile	комитет	comisie	N;INDF;MASC;PL	N;DEF;FEM;PL
комитети	comitetele	комитет	comitet	N;INDF;MASC;PL	N;DEF;FEM;PL
оливър	oliver	оливър	oliver	N;INDF;MASC;SG	PROPN
сесия	sedinta	сесия	sedintă	N;INDF;FEM;SG	N;DEF;FEM;SG
сесия	sesiunea	сесия	sesiune	N;INDF;FEM;SG	N;DEF;FEM;SG
лозенград	kırklareli	лозенград	kgrkaleli	N;INDF;MASC;SG	N;DEF;MASC;PL
вулкана	vulcan	вулкан	vulcan	N;DEF;MASC;SG	N;INDF;MASC;SG
освобождаване	eliberarea	освобождаване	eliberare	N;INDF;NEUT;SG	N;DEF;FEM;SG
освобождаване	elibereaza	освобождаване	eliberează	N;INDF;NEUT;SG	V;IND;SG;3;IPFV;FIN
освобождаване	scutirea	освобождаване	scutire	N;INDF;NEUT;SG	N;DEF;FEM;SG
освобождаване	scutirile	освобождаване	scutire	N;INDF;NEUT;SG	N;DEF;FEM;PL
освобождаване	exceptii	освобождаване	except	N;INDF;NEUT;SG	N;INDF;FEM;PL
освобождаване	scutiri	освобождаване	scutire	N;INDF;NEUT;SG	N;INDF;FEM;PL
освобождаване	derogari	освобождаване	derogar	N;INDF;NEUT;SG	N;INDF;FEM;PL
железен	feroase	железен	feros	ADJ;INDF;MASC;SG	N;INDF;FEM;PL
железен	fier	железен	fier	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
железен	fierul	железен	fier	ADJ;INDF;MASC;SG	N;DEF;MASC;SG
ръкопис	manuscrisul	ръкопис	manuscris	N;INDF;MASC;SG	N;DEF;MASC;SG
сняг	zapada	сняг	zapadă	N;INDF;MASC;SG	N;DEF;FEM;SG
сняг	zapada	сняг	zapadă	N;INDF;MASC;SG	N;DEF;FEM;SG
сняг	zapada	сняг	zapadă	N;INDF;MASC;SG	N;DEF;FEM;SG
записано	inregistrate	запиша-(се)	inregistra	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
записано	inregistrata	запиша-(се)	inregistrat	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	N;DEF;FEM;SG
записано	inregistrat	запиша-(се)	inregistra	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
записано	inregistrat	запиша-(се)	inregistra	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
реалност	realitatea	реалност	realitate	N;INDF;FEM;SG	N;DEF;FEM;SG
безплатно	libera	безплатно	liber	ADV	N;DEF;FEM;SG
безплатно	liberi	безплатно	liber	ADV	ADJ;INDF;MASC;PL
безплатно	free	безплатно	free	ADV	
безплатно	gratuit	безплатно	gratuit	ADV	ADJ;INDF;MASC;SG
интервюта	interviurile	интервю	interviu	N;INDF;NEUT;PL	N;DEF;FEM;PL
ватикана	vatican	ватикан	vatican	N;DEF;MASC;SG	N;INDF;MASC;SG
антония	antonia	антония	antonie	N;INDF;FEM;SG	N;DEF;FEM;SG
ванкувър	vancouver	ванкувър	vancouver	N;INDF;MASC;SG	PROPN
консулски	consulare	консулски	consular	ADJ;INDF;MASC;SG	ADJ;INDF;FEM;PL
жител	rezidente	жител	rezidentă	N;INDF;MASC;SG	ADJ;INDF;FEM;PL
жител	rezidenta	жител	rezident	N;INDF;MASC;SG	N;DEF;FEM;SG
еберхард	eberhard	еберхард	eberhard	N;INDF;MASC;SG	PROPN
отказ	refuza	отказ	refuza	N;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
отказ	refuza	отказ	refuza	N;INDF;MASC;SG	V;IND;SG;3;IPFV;FIN
отказ	refuzul	отказ	refuz	N;INDF;MASC;SG	N;DEF;MASC;SG
отказ	negarea	отказ	negare	N;INDF;MASC;SG	N;DEF;FEM;SG
рикардо	riccardo	рикардо	riccardo	PROPN;INDF;MASC;SG	PROPN
рикардо	ricardo	рикардо	ricardo	PROPN;INDF;MASC;SG	PROPN
навън	out	навън	out	ADV	
присъединяване	aderarea	присъединяване	aderare	N;INDF;NEUT;SG	N;DEF;FEM;SG
присъединяване	aderarii	присъединяване	aderariu	N;INDF;NEUT;SG	N;DEF;FEM;SG
