char	char	char	char	N;MASC;SG	
combiné	συνδυασμένες	combiner	συνδυάζω	V;MASC;SG;PST;V.PTCP	V;PFV;NOM;FEM;PL;V.PTCP;PASS
amy	amy	amy	amy	PROPN	
amy	έιμυ	amy	έιμυ	PROPN	N
amy	έιμι	amy	έιμι	PROPN	
turner	turner	turner	turner	PROPN	
turner	τέρνερ	turner	τέρνερ	PROPN	
alternatif	εναλλακτικά	alternatif	εναλλακτικά	ADJ;MASC;SG	ADV
écrites	γραπτές	écrire	γραπτός	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;PL
écrites	γραπτή	écrire	γραπτός	V;FEM;PL;PST;V.PTCP	N;NOM;FEM;SG
écrites	γράφτηκε	écrire	γράφτω	V;FEM;PL;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
écrites	γραμμένο	écrire	γραμμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
définitive	τελικο	définitif	τελικο	ADJ;FEM;SG	N;NOM;NEUT;SG
définitive	οριστικές	définitif	οριστικός	ADJ;FEM;SG	ADJ;NOM;FEM;PL
définitive	οριστικά	définitif	οριστικά	ADJ;FEM;SG	ADV
jaunes	κίτρινα	jaune	κίτρινος	ADJ;MASC;PL	N;NOM;NEUT;PL
jaunes	κίτρινος	jaune	κίτρινος	ADJ;MASC;PL	ADJ;NOM;MASC;SG
jaunes	κίτρινη	jaune	κίτρινος	ADJ;MASC;PL	ADJ;NOM;FEM;SG
jaunes	κίτρινο	jaune	κίτρινος	ADJ;MASC;PL	N;NOM;NEUT;SG
burkina	μπουρκίνα	burkina	μπουρκίνα	N;MASC;SG	PROPN;NOM;FEM;SG
chargés	γεμάτο	charger	γεμάτος	V;MASC;PL;PST;V.PTCP	NUM;NOM;NEUT;SG
chargés	φορτώθηκε	charger	φορτώνω	V;MASC;PL;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
chargés	φορτωμένο	charger	φορτώνω	V;MASC;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
chargés	λάντεν	charger	λάντεν	V;MASC;PL;PST;V.PTCP	
conrad	κόνραντ	conrad	κόνραντ	PROPN	V;PFV;IND;SG;3;PST;FIN;ACT
rousseau	ρουσώ	rousseau	ρούσω	PROPN	N
meyer	μάγιερ	meyer	μάγιερ	PROPN	
stable	σταθερά	stable	σταθερά	ADJ;MASC;SG	ADV
stable	σταθερά	stable	σταθερά	ADJ;MASC;SG	ADV
terrestres	επίγεια	terrestre	επίγεια	ADJ;MASC;PL	N;ACC;FEM;SG
ecclésiastique	κληρικός	ecclésiastique	κληρικός	ADJ;MASC;SG	N;NOM;MASC;SG
ecclésiastique	εκκλησιαστικά	ecclésiastique	εκκλησιαστικός	ADJ;MASC;SG	ADV
fonctionnaire	επίσημο	fonctionnaire	επίσημος	N;MASC;SG	ADJ;NOM;NEUT;SG
fonctionnaire	επίσημη	fonctionnaire	επίσημος	N;MASC;SG	ADJ;NOM;FEM;SG
silva	silva	silva	silva	PROPN	
silva	σίλβα	silva	σίλβα	PROPN	
bretonne	μπρίτανι	breton	μπρίτανι	ADJ;FEM;SG	V;IPFV;IND;PL;3;PST;FIN;PASS
bretonne	breton	breton	breton	ADJ;FEM;SG	
bretonne	bretonne	breton	bretonne	ADJ;FEM;SG	
engagée	αρραβωνιασμένοι	engager	αρραβωνιάζω	V;FEM;SG;PST;V.PTCP	V;PFV;NOM;MASC;PL;V.PTCP;PASS
mythe	μύθους	mythe	μύθος	N;MASC;SG	N;ACC;MASC;PL
mythe	μύθοι	mythe	μύθος	N;MASC;SG	N;NOM;MASC;PL
faso	φάσο	faso	φάσο	N;MASC;SG	
mohammed	μωάμεθ	mohammed	μωάμεθ	PROPN	N;NOM;NEUT;SG
mohammed	μοχάμεντ	mohammed	μοχάμεντ	PROPN	
léonard	leonardo	léonard	leonardo	PROPN	
léonard	λεονάρντο	léonard	λεονάρντος	PROPN	
léonard	λέοναρντ	léonard	λέοναρντ	PROPN	PROPN;NOM;MASC;SG
léonard	leonard	léonard	leonard	PROPN	
flammarion	φλαμαριόν	flammarion	φλαμαριόν	PROPN	N
extérieure	υπαίθρια	extérieur	υπαίθριος	ADJ;FEM;SG	PROPN;NOM;FEM;SG
extérieure	εξωτερικά	extérieur	εξωτερικά	ADJ;FEM;SG	ADV
extérieure	εξωτερικό	extérieur	εξωτερικό	ADJ;FEM;SG	N;NOM;NEUT;SG
philosophique	φιλοσοφία	philosophique	φιλοσοφία	ADJ;MASC;SG	N;NOM;FEM;SG
styles	στυλ	style	στυλ	N;MASC;PL	N;NOM;NEUT;SG
styles	στάιλς	style	στάιλς	N;MASC;PL	
europa	europa	europa	europa	PROPN	
guyane	γουιάνα	guyane	γουιάνα	ADJ;FEM;SG	PROPN;ACC;FEM;SG
rappeler	ανάκληση	rappeler	ανάκληση	V;NFIN	N;ACC;FEM;SG
talk	μιλήσω	talk	μιλώ	PROPN	V;PFV;IND;SG;1;FIN;ACT
talk	μιλήστε	talk	μιλώ	PROPN	V;PFV;IMP;PL;2;FIN;ACT
talk	μίλα	talk	μίλος	PROPN	
alexandra	αλεξάνδρα	alexandra	αλεξάνδρος	PROPN	PROPN;NOM;FEM;SG
caméra	φωτογραφική	caméra	φωτογραφικός	N;FEM;SG	ADJ;NOM;FEM;SG
andreas	ανδρέα	andreas	ανδρέα	PROPN	PROPN;ACC;MASC;SG
andreas	ανδρέας	andreas	ανδρέα	PROPN	PROPN;NOM;MASC;SG
andreas	andreas	andreas	andreas	PROPN	
andreas	αντρέας	andreas	αντρέα	PROPN	N;NOM;MASC;SG
régulier	τακτικά	régulier	τακτικός	ADJ;MASC;SG	ADV
grandeur	μεγαλεία	grandeur	μεγάλειο	N;FEM;SG	N;NOM;NEUT;PL
sound	ήχο	sound	ήχο	PROPN	N;ACC;MASC;SG
sound	ήχος	sound	ήχος	PROPN	N;NOM;MASC;SG
werner	βέρνερ	werner	βέρνερ	PROPN	PROPN;NOM;MASC;SG
airlines	airlines	airline	airlines	N;FEM;PL	
garcia	garcia	garcia	garcia	PROPN	
garcia	γκαρσία	garcia	γκαρσία	PROPN	
accessibles	προσβάσιμο	accessible	προσβάσιμο	ADJ;MASC;PL	N;NOM;NEUT;SG
accessibles	προσβάσιμη	accessible	προσβάσιμος	ADJ;MASC;PL	ADJ;NOM;FEM;SG
accessibles	προσιτή	accessible	προσιτός	ADJ;MASC;PL	ADJ;NOM;FEM;SG
accessibles	προσιτό	accessible	προσιτό	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
attribuée	αποδίδεται	attribuer	αποδίδω	V;FEM;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
sergio	σέρτζιο	sergio	σέρτζιος	PROPN	
calme	ηρεμία	calme	ηρεμία	ADJ;MASC;SG	N;NOM;FEM;SG
calme	ήρεμος	calme	ήρεμος	ADJ;MASC;SG	PROPN;NOM;MASC;SG
calme	ήσυχα	calme	ησύχα	ADJ;MASC;SG	ADV
calme	ησυχία	calme	ησυχία	ADJ;MASC;SG	N;ACC;FEM;SG
signification	εννοώντας	signification	εννοώ	N;FEM;SG	V;IPFV;V.CVB;ACT
todd	τοντ	todd	τοντ	PROPN	
panama	παναμά	panama	παναμύς	PROPN	PROPN;NOM;NEUT;SG
globale	γενικά	global	γενικά	ADJ;FEM;SG	ADV
globale	συνολικά	global	συνολικά	ADJ;FEM;SG	ADV
hunter	χάντερ	hunter	χάντερ	PROPN	
hunter	κυνηγός	hunter	κυνηγός	PROPN	N;NOM;MASC;SG
hunter	hunter	hunter	hunter	PROPN	
heureux	ευτυχισμένη	heureux	ευτυχίζω	ADJ;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
heureux	ευτυχισμένος	heureux	ευτυχισμένος	ADJ;MASC;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
alaska	αλάσκα	alaska	αλάσκα	PROPN	PROPN;NOM;FEM;SG
perdues	χάθηκε	perdre	χάνω	V;FEM;PL;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
perdues	χαμένος	perdre	χαμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
perdues	χαμένη	perdre	χαμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
moments	moments	moment	moments	N;MASC;PL	
perse	περσία	perse	περσία	PROPN	PROPN;NOM;FEM;SG
perse	perse	perse	perse	PROPN	
phoenix	φοίνικας	phoenix	φοίνικος	PROPN	ADJ;NOM;MASC;SG
phoenix	φοίνιξ	phoenix	φοίνιξ	PROPN	PROPN;NOM;FEM;SG
phoenix	phoenix	phoenix	phoenix	PROPN	
phoenix	φοίνικα	phoenix	φοίνικος	PROPN	ADJ;NOM;NEUT;SG
valley	κοιλάδα	valley	κοιλάδα	PROPN	N;ACC;FEM;SG
valley	valley	valley	valley	PROPN	
valley	βάλεϊ	valley	βάλεϊ	PROPN	
lópez	lópez	lópez	lópez	PROPN	
lópez	λόπεζ	lópez	λόπεζ	PROPN	
lópez	lopez	lópez	lopez	PROPN	
erik	erik	erik	erik	PROPN	
erik	έρικ	erik	έρικ	PROPN	PROPN;NOM;MASC;SG
comprennent	συμπεριλάβετε	comprendre	συμπεριλαμβάνω	V;IND;PL;3;PRS;FIN	V;PFV;IND;PL;2;FIN;ACT
comprennent	συμπερίληψη	comprendre	συμπερίληψη	V;IND;PL;3;PRS;FIN	N;ACC;FEM;SG
magic	μαγική	magic	μαγικός	PROPN	ADJ;NOM;FEM;SG
magic	μαγεία	magic	μαγείο	PROPN	N;ACC;FEM;SG
magic	μαγικά	magic	μαγικά	PROPN	ADV
magic	μαγικό	magic	μαγικός	PROPN	ADJ;NOM;NEUT;SG
peugeot	peugeot	peugeot	peugeot	N;MASC;SG	
piémont	πεδεμόντιο	piémont	πεδεμόντιος	N;MASC;SG	PROPN;NOM;NEUT;SG
successifs	διαδοχικά	successif	διαδοχικά	ADJ;MASC;PL	ADV
chapeau	καπέλα	chapeau	καπέλα	N;MASC;SG	N;NOM;NEUT;PL
vénus	αφροδίτη	vénu	αφροδίτης	PROPN	PROPN;NOM;FEM;SG
portait	φορούσε	porter	φορώ	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
comptant	κας	compter	κας	V;PRS;V.PTCP	
comptant	μετρητά	compter	μετρητά	V;PRS;V.PTCP	N;NOM;NEUT;SG
ted	τεντ	ted	τεντ	PROPN	PROPN;NOM;MASC;SG
ted	ted	ted	ted	PROPN	
uniforme	στολές	uniforme	στολή	ADJ;MASC;SG	N;NOM;FEM;PL
uniforme	ένστολοι	uniforme	ένστολος	ADJ;MASC;SG	ADJ;NOM;MASC;PL
uniforme	στολή	uniforme	στολή	ADJ;MASC;SG	N;NOM;FEM;SG
libéraux	φιλελεύθερους	libéral	φιλελεύθερος	N;MASC;PL	ADJ;NOM;MASC;PL
libéraux	φιλελεύθεροι	libéral	φιλελεύθερος	N;MASC;PL	ADJ;NOM;MASC;PL
libéraux	φιλελεύθερο	libéral	φιλελεύθερος	N;MASC;PL	ADJ;NOM;NEUT;SG
libéraux	φιλελεύθερη	libéral	φιλελεύθερος	N;MASC;PL	ADJ;NOM;FEM;SG
libéraux	φιλελεύθερος	libéral	φιλελεύθερος	N;MASC;PL	ADJ;NOM;MASC;SG
portugaise	πορτογαλικά	portugais	πορτογαλικά	ADJ;FEM;SG	ADV
portugaise	πορτογάλοι	portugais	πορτογάλος	ADJ;FEM;SG	PROPN;NOM;MASC;PL
supérieurs	ανώτερη	supérieur	ανώτερος	ADJ;MASC;PL	ADJ;NOM;FEM;SG
supérieurs	ανώτερος	supérieur	άνω	ADJ;MASC;PL	ADJ;NOM;MASC;SG
scandale	σκάνδαλα	scandale	σκάνδαλο	N;MASC;SG	N;NOM;NEUT;PL
festivals	φεστιβάλ	festival	φεστιβάλ	N;MASC;PL	N;NOM;NEUT;SG
jésuites	ιησουίτες	jésuite	ιησουίτης	N;MASC;PL	ADJ;NOM;MASC;PL
isle	νήσος	isle	νήσος	N;FEM;SG	PROPN;NOM;FEM;SG
sebastian	σεμπάστιαν	sebastian	σεμπάστιαν	PROPN	V;PFV;IND;SG;3;PST;FIN;PASS
sebastian	σεμπαστιάν	sebastian	σεμπαστιάν	PROPN	
alphabétique	αλφαβητικά	alphabétique	αλφαβητικά	ADJ;MASC;SG	ADV
juliette	τζούλιετ	juliette	τζούλιετ	N;FEM;SG	
protestants	προτεστάντες	protestant	προτεστάν	ADJ;MASC;PL	N;NOM;MASC;PL
protestants	προτεστάντης	protestant	προτεστάντης	ADJ;MASC;PL	ADJ;NOM;MASC;SG
protestants	προτεστάντες	protestant	προτεστάν	ADJ;MASC;PL	N;NOM;MASC;PL
cristal	κρίσταλ	cristal	κρίσταλ	N;MASC;SG	
cristal	κρυσταλλική	cristal	κρυσταλλικός	N;MASC;SG	ADJ;NOM;FEM;SG
cristal	κρίσταλ	cristal	κρίσταλ	N;MASC;SG	
malaisie	μαλαισίας	malaisie	μαλαισία	PROPN	PROPN;GEN;FEM;SG
malaisie	μαλαισία	malaisie	μαλαισία	PROPN	PROPN;NOM;FEM;SG
terminée	ολοκληρώθηκαν	terminer	ολοκληρώνω	V;FEM;SG;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
terminée	ολοκληρωμένα	terminer	ολοκληρώνω	V;FEM;SG;PST;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
repas	γεύματα	repas	γεύμα	N;MASC;SG	N;NOM;NEUT;PL
éthique	ηθικό	éthique	ηθικός	ADJ;MASC;SG	N;NOM;NEUT;SG
éthique	δεοντολογία	éthique	δεοντολογία	ADJ;MASC;SG	N;NOM;FEM;SG
hesse	hessen	hesse	hessen	PROPN	
hesse	έσσε	hesse	έσσε	PROPN	
halle	halle	halle	halle	N;FEM;SG	
luxe	deluxe	luxe	deluxe	N;MASC;SG	
maîtresse	ερωμένη	maîtresse	ερώνω	N;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
lorenzo	λορέντζο	lorenzo	λορέντζο	PROPN	PROPN;NOM;MASC;SG
grenade	γρενάδα	grenade	γρενάδα	N;FEM;SG	PROPN;NOM;FEM;SG
grenade	γρανάδα	grenade	γρανάδα	N;FEM;SG	PROPN;ACC;FEM;SG
rob	rob	rob	rob	PROPN	
rob	ρομπ	rob	ρομπ	PROPN	
casablanca	καζαμπλάνκα	casablanca	καζαμπλάνκα	PROPN	
dennis	ντένις	dennis	ντένις	PROPN	
dennis	dennis	dennis	dennis	PROPN	
mail	mail	mail	mail	N;MASC;SG	
qualifier	προκριματικό	qualifier	προκριματικός	V;NFIN	N;NOM;NEUT;SG
mobilier	έπιπλα	mobilier	μπιπλα	N;MASC;SG	N;NOM;NEUT;PL
cat	κατ	cat	κατ		ADP
cat	γάτα	cat	γάτα		N;NOM;FEM;SG
cat	γάτος	cat	γάτος		N;NOM;MASC;SG
cat	cat	cat	cat		
bourges	μπουρζ	bourge	μπουρζ	PROPN	PROPN;NOM;FEM;SG
ressort	ανοιξιάτικες	ressort	ανοιξιάτικος	N;MASC;SG	ADJ;NOM;FEM;PL
marquer	βαθμολόγησης	marquer	βαθμολόγηση	V;NFIN	N;GEN;FEM;SG
marquer	μαρκ	marquer	μαρκ	V;NFIN	
marquer	μάρκ	marquer	μάρκ	V;NFIN	
marquer	mark	marquer	mark	V;NFIN	
marquer	βαθμολογία	marquer	βαθμολογία	V;NFIN	N;ACC;FEM;SG
marquer	σκορ	marquer	σκορ	V;NFIN	
décoré	διακοσμημένα	décorer	διακοσμημένος	V;MASC;SG;PST;V.PTCP	ADV
humides	υγρή	humide	υγρή	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	υγρός	humide	υγρός	ADJ;MASC;PL	ADJ;NOM;MASC;SG
humides	υγρό	humide	υγρό	ADJ;MASC;PL	N;NOM;NEUT;SG
humides	υγρασία	humide	υγρασία	ADJ;MASC;PL	N;NOM;FEM;SG
humides	υγρή	humide	υγρή	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	υγρός	humide	υγρός	ADJ;MASC;PL	ADJ;NOM;MASC;SG
humides	υγρό	humide	υγρό	ADJ;MASC;PL	N;NOM;NEUT;SG
léo	λέο	léo	λέος	PROPN	
léo	λίο	léo	λίο	PROPN	
léo	λέων	léo	λέος	PROPN	N;NOM;MASC;SG
léo	leo	léo	leo	PROPN	
hof	hof	hof	hof	N;MASC;SG	
condé	conde	conder	conde	PROPN	
condé	condé	conder	condé	PROPN	
cohen	κόεν	cohen	κόεν	PROPN	
cohen	κοέν	cohen	κοέν	PROPN	PROPN;NOM;MASC;SG
conçue	σχεδιασμένα	concevoir	σχεδιασμένα	V;FEM;SG;PST;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
sarkozy	σαρκοζί	sarkozy	σαρκοζί	PROPN	
wagner	βάγκνερ	wagner	βάγκνερ	PROPN	
wurtemberg	württemberg	wurtemberg	württemberg	N;MASC;SG	
salomon	salomon	salomon	salomon	PROPN	
salomon	σόλομον	salomon	σόλομον	PROPN	N;NOM;MASC;SG
salomon	σολομώντα	salomon	σολομώ	PROPN	N;GEN;FEM;PL
barbe	γένια	barbe	γένια	N;FEM;SG	N;NOM;NEUT;PL
allié	συμμαχικές	allié	συμμαχικός	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
allié	άλι	allié	άλι	V;MASC;SG;PST;V.PTCP	
allié	σύμμαχος	allié	σύμμαχος	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
dream	ονειρο	dream	ονειρο	PROPN	N;NOM;NEUT;SG
dream	όνειρο	dream	όνειρο	PROPN	N;NOM;NEUT;SG
dream	dream	dream	dream	PROPN	
dream	όνειρα	dream	όνειρα	PROPN	N;NOM;NEUT;PL
moyennes	μέσος	moyen	μέσος	ADJ;FEM;PL	N;NOM;MASC;SG
moyennes	μέση	moyen	μέσο	ADJ;FEM;PL	N;NOM;FEM;SG
moyennes	μέτρια	moyen	μέτρι	ADJ;FEM;PL	N;NOM;FEM;SG
moyennes	μεσαία	moyen	μεσαίος	ADJ;FEM;PL	ADV
moyennes	μεσαίο	moyen	μεσαίος	ADJ;FEM;PL	N;NOM;NEUT;SG
moyennes	μέσο	moyen	μέσος	ADJ;FEM;PL	N;ACC;NEUT;SG
bibliothèques	βιβλιοθήκες	bibliothèque	βιβλιοθήκη	N;FEM;PL	V;PFV;IND;PL;2;PST;FIN;PASS
cru	ακατέργαστο	cru	ακατέργαστος	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
cru	ακατέργαστη	cru	ακατέργαστος	V;MASC;SG;PST;V.PTCP	N;NOM;FEM;SG
cru	ακατέργαστα	cru	ακατέργαστα	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;PL
cru	ωμή	cru	ωμή	V;MASC;SG;PST;V.PTCP	N;NOM;FEM;SG
cru	ωμό	cru	ωμό	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
cru	cru	cru	cru	V;MASC;SG;PST;V.PTCP	
dessert	επιδόρπια	dessert	επιδόρπιος	N;MASC;SG	N;NOM;NEUT;PL
blake	μπλέηκ	blake	μπλέηκ	PROPN	
blake	blake	blake	blake	PROPN	
blake	μπλέικ	blake	μπλέικ	PROPN	
peuplée	κατοικημένες	peupler	κατοικημένος	V;FEM;SG;PST;V.PTCP	V;PFV;NOM;FEM;PL;V.PTCP;PASS
expert	ειδικός	expert	ειδικός	N;MASC;SG	ADJ;NOM;MASC;SG
normand	normand	normand	normand	N;MASC;SG	
normand	νόρμαν	normand	νόρμαν	N;MASC;SG	
lourde	βαρύ	lourd	βαρύς	ADJ;FEM;SG	N;NOM;NEUT;SG
lourde	βαριά	lourd	βαριός	ADJ;FEM;SG	ADV
holmes	holmes	holme	holmes	PROPN	
holmes	χόλμς	holme	χόλμς	PROPN	N;NOM;MASC;SG
holmes	χολμς	holme	χολμς	PROPN	N;NOM;MASC;SG
renard	φοξ	renard	φοξ	N;MASC;SG	
renard	fox	renard	fox	N;MASC;SG	
esclavage	δεσμά	esclavage	δεσμά	N;MASC;SG	N;NOM;NEUT;PL
video	video	video	video	N;FEM;SG	
magnétique	μαγνητικές	magnétique	μαγνητικός	ADJ;MASC;SG	ADJ;NOM;FEM;PL
magnétique	μαγνητικά	magnétique	μαγνητικά	ADJ;MASC;SG	ADV
mississippi	μισισιπή	mississippi	μισισιπή	N;MASC;SG	PROPN;NOM;MASC;SG
ille	ille	ille	ille	PROPN	
attire	προσέλκυση	attirer	προσέλκυση	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
graines	σπόρο	graine	σπόρο	N;FEM;PL	N;NOM;NEUT;SG
graines	σπόρος	graine	σπόρος	N;FEM;PL	N;NOM;MASC;SG
républicaine	ρεπουμπλικάνος	républicain	ρεπουμπλικάνος	ADJ;FEM;SG	N;NOM;MASC;SG
rtl	rtl	rtl	rtl	PROPN	
nova	νόβα	nova	νόβος	PROPN	PROPN;NOM;FEM;SG
nova	nova	nova	nova	PROPN	
réputé	ευυπόληπτη	réputer	εύποληπτος	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
isolées	μόνωση	isoler	μόνωση	V;FEM;PL;PST;V.PTCP	N;NOM;FEM;SG
isolées	απομονωμένος	isoler	απομονωμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
isolées	απομονωμένο	isoler	απομονωμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
isolées	απομονωμένη	isoler	απομονωμένος	V;FEM;PL;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
