der	os	der	o	DET;NOM;DEF;MASC;SG	PRO;ACC;MASC;PL;3
ihre	ela	ihr	ela	DET;NOM;FEM;SG	PRO;NOM;FEM;SG;3
ihre	her	ihr	her	DET;NOM;FEM;SG	N;MASC;SG
bereits	ja	bereits	ja	ADV	INTJ
anderen	outro	ander	outro	ADJ;NOM;PL	PRO;MASC;SG
anderen	outros	ander	outro	ADJ;NOM;PL	PRO;MASC;PL
anderen	outras	ander	outro	ADJ;NOM;PL	PRO;FEM;PL
anderen	outra	ander	outro	ADJ;NOM;PL	PRO;FEM;SG
anderen	outros	ander	outro	ADJ;NOM;PL	PRO;MASC;PL
anderen	outras	ander	outro	ADJ;NOM;PL	PRO;FEM;PL
später	depois	spät	depois	ADJ	ADV
können	pode	können	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
können	podem	können	poder	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
können	lata	können	lata	V;IND;PL;3;PRS;FIN	N;FEM;SG
können	can	können	can	V;IND;PL;3;PRS;FIN	N;MASC;SG
jan	jan	jan	jan	PROPN;NOM;MASC;SG	N;MASC;SG
mir	mir	ich	mir	PRO;DAT;SG;1	N;MASC;SG
seinen	his	sein	his	DET;ACC;MASC;SG	N;MASC;SG
ihr	rsi	ihr	rsi	PRO;NOM;MASC;SG	N;MASC;SG
ihr	tu	ihr	tu	PRO;NOM;MASC;SG	INTJ
ihr	seu	ihr	seu	PRO;NOM;MASC;SG	DET;MASC;SG
ihr	sua	ihr	seu	PRO;NOM;MASC;SG	DET;FEM;SG
ihr	dela	ihr	dela	PRO;NOM;MASC;SG	N;MASC;SG
ihr	her	ihr	her	PRO;NOM;MASC;SG	N;MASC;SG
gemeinde	municípios	gemeinde	município	N;NOM;FEM;SG	N;MASC;PL
seinem	his	sein	his	DET;DAT;MASC;SG	N;MASC;SG
erste	erste	erst	erste	ADJ;NOM;FEM;PL	N;MASC;SG
erste	primeira	erst	primeiro	ADJ;NOM;FEM;PL	ADJ;FEM;SG
erste	primeiramente	erst	primeiramente	ADJ;NOM;FEM;PL	ADV
erste	primeiro	erst	primeiro	ADJ;NOM;FEM;PL	ADV
liegt	mentiras	liegen	mentira	V;IND;SG;3;PRS;FIN	N;FEM;PL
august	augusto	augusten	augusto	PROPN;NOM;MASC;SG	N;MASC;SG
august	august	augusten	august	PROPN;NOM;MASC;SG	N;MASC;SG
august	agosto	augusten	agosto	PROPN;NOM;MASC;SG	N;MASC;SG
august	ago	augusten	ago	PROPN;NOM;MASC;SG	N;MASC;SG
august	agosto	augusten	agosto	PROPN;NOM;MASC;SG	N;MASC;SG
august	augusto	augusten	augusto	PROPN;NOM;MASC;SG	N;MASC;SG
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	N;MASC;SG
sollte	deveria	sollen	dever	V;IND;SG;3;PST;FIN	V;COND;SG;3;FIN
sollte	devia	sollen	dever	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
sollte	deve	sollen	dever	V;IND;SG;3;PST;FIN	V;IND;SG;3;PRS;FIN
sollte	deveriam	sollen	dever	V;IND;SG;3;PST;FIN	V;COND;PL;3;FIN
deutschland	alemanha	deutschland	alemanha	PROPN;NOM	N;FEM;SG
ihm	ele	er	ele	PRO;DAT;MASC;SG;3	PRO;NOM;MASC;SG;3
ende	pontas	ende	ponta	N;ACC;NEUT;SG	N;FEM;PL
ende	termina	ende	terminar	N;ACC;NEUT;SG	V;IND;SG;3;PRS;FIN
ende	extremidades	ende	extremidade	N;ACC;NEUT;SG	N;FEM;PL
ende	concluir	ende	concluir	N;ACC;NEUT;SG	V;NFIN
ende	finalizar	ende	finalizar	N;ACC;NEUT;SG	V;NFIN
ende	terminar	ende	terminar	N;ACC;NEUT;SG	V;NFIN
ende	termine	ende	terminar	N;ACC;NEUT;SG	V;SBJV;SG;3;PRS;FIN
ende	terminar	ende	terminar	N;ACC;NEUT;SG	V;NFIN
ende	encerrando	ende	encerrar	N;ACC;NEUT;SG	V;V.MSDR
ende	terminando	ende	terminar	N;ACC;NEUT;SG	V;V.MSDR
märz	march	märz	march	PROPN;NOM;MASC;SG	N;MASC;SG
märz	marchar	märz	marchar	PROPN;NOM;MASC;SG	V;NFIN
märz	marcha	märz	marcha	PROPN;NOM;MASC;SG	N;FEM;SG
märz	março	märz	março	PROPN;NOM;MASC;SG	N;MASC;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	N;MASC;SG
aug	ago	augen	ago		N;MASC;SG
aug	agosto	augen	agosto		N;MASC;SG
deutsche	alemã	deutsch	alemã	ADJ;NOM;FEM;PL	N;FEM;SG
deutsche	alemães	deutsch	alemão	ADJ;NOM;FEM;PL	N;MASC;PL
deutsche	alemão	deutsch	alemão	ADJ;NOM;FEM;PL	N;MASC;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	N;MASC;SG
deutsche	alemães	deutsch	alemão	ADJ;NOM;FEM;PL	N;MASC;PL
band	band	binden	band		N;MASC;SG
band	banda	binden	banda		N;FEM;SG
band	fita	binden	fita		N;FEM;SG
band	cassete	binden	cassete		N;MASC;SG
band	fita	binden	fita		N;FEM;SG
band	fitas	binden	fita		N;FEM;PL
januar	janeiro	januar	janeiro	PROPN;NOM;MASC;SG	N;MASC;SG
doch	mas	doch	mas	ADV	CONJ
oktober	outubro	oktober	outubro	PROPN;NOM;SG	N;MASC;SG
oktober	toc	oktober	toc	PROPN;NOM;SG	N;MASC;SG
oktober	out	oktober	out	PROPN;NOM;SG	N;MASC;SG
immer	always	immer	alway	ADV	N;MASC;SG
nov	nov	nov	nov		N;MASC;SG
ihn	nhi	er	nhi	PRO;ACC;MASC;SG;3	N;MASC;SG
ihn	ele	er	ele	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
wikipedia	wikipédia	wikipedia	wikipédia		N;FEM;SG
wikipedia	wikipedia	wikipedia	wikipedia		N;FEM;SG
jun	jun	jun	jun		N;MASC;SG
jul	jul	jul	jul		N;MASC;SG
kirche	igrejas	kirche	igreja		N;FEM;PL
kirche	igrejas	kirche	igreja		N;FEM;PL
kirche	igreja	kirche	igreja		N;FEM;SG
juni	jun	juni	jun	PROPN;NOM;MASC;SG	N;MASC;SG
juni	june	juni	june	PROPN;NOM;MASC;SG	N;FEM;SG
juni	junho	juni	junho	PROPN;NOM;MASC;SG	N;MASC;SG
konnte	poderiam	können	poder	V;IND;SG;3;PST;FIN	V;COND;PL;3;FIN
konnte	podia	können	poder	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
konnte	poderia	können	poder	V;IND;SG;3;PST;FIN	V;COND;SG;3;FIN
konnte	podiam	können	poder	V;IND;SG;3;PST;FIN	V;IND;PL;3;IPFV;FIN
april	abr	april	abr	PROPN;NOM;MASC;SG	N;MASC;SG
april	april	april	april	PROPN;NOM;MASC;SG	N;FEM;SG
april	abril	april	abril	PROPN;NOM;MASC;SG	N;MASC;SG
september	setembro	september	setembro	PROPN;SG	N;MASC;SG
september	sep	september	sep	PROPN;SG	N;MASC;SG
selbst	auto	selbst	auto	ADV	N;MASC;SG
selbst	self	selbst	self	ADV	N;MASC;SG
weitere	mais	weit	mais	ADJ;NOM;FEM;PL	ADV
weitere	more	weit	more	ADJ;NOM;FEM;PL	N;MASC;SG
juli	julho	juli	julho	PROPN;NOM;MASC;SG	N;MASC;SG
juli	juli	juli	juli	PROPN;NOM;MASC;SG	N;FEM;SG
andere	outro	ander	outro	ADJ;NOM;FEM;PL	PRO;MASC;SG
andere	outros	ander	outro	ADJ;NOM;FEM;PL	PRO;MASC;PL
andere	outras	ander	outro	ADJ;NOM;FEM;PL	PRO;FEM;PL
andere	outra	ander	outro	ADJ;NOM;FEM;PL	PRO;FEM;SG
andere	outros	ander	outro	ADJ;NOM;FEM;PL	PRO;MASC;PL
andere	outras	ander	outro	ADJ;NOM;FEM;PL	PRO;FEM;PL
okt	toc	okt	toc		N;MASC;SG
okt	out	okt	out		N;MASC;SG
feb	fev	feb	faver		N;MASC;SG
feb	fevereiro	feb	fevereiro		N;MASC;SG
kein	não	kein	não	PRO;NOM;INDF;MASC;SG;NEG	INTJ
geschichte	story	geschicht	story		N;MASC;SG
geschichte	história	geschicht	história		N;FEM;SG
geschichte	historia	geschicht	historia		N;FEM;SG
geschichte	história	geschicht	história		N;FEM;SG
verlag	editoras	verliegen	editora	N;NOM;MASC;SG	N;FEM;PL
verlag	editores	verliegen	editor	N;NOM;MASC;SG	N;MASC;PL
apr	abr	apr	abr		N;MASC;SG
jpg	jpg	jpg	jpg		N;MASC;SG
dezember	dezembro	dezember	dezembro	PROPN;NOM;MASC;SG	N;MASC;SG
dezember	dezembro	dezember	dezembro	PROPN;NOM;MASC;SG	N;MASC;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	N;MASC;PL
dez	dezembro	dez	dezembro		N;MASC;SG
dez	dec	dez	dec		N;MASC;PL
universität	university	universität	university	ADJ	N;MASC;SG
universität	universidade	universität	universidade	ADJ	N;FEM;SG
platz	praça	platz	praça	ADV	N;FEM;SG
platz	plaza	platz	plaza	ADV	N;FEM;SG
platz	quadrada	platz	quadrada	ADV	N;FEM;SG
platz	praça	platz	praça	ADV	N;FEM;SG
platz	square	platz	square	ADV	N;MASC;SG
platz	quadrado	platz	quadrado	ADV	N;MASC;SG
platz	quadrados	platz	quadrados	ADV	N;MASC;PL
platz	lugar	platz	lugar	ADV	N;MASC;SG
platz	place	platz	place	ADV	N;MASC;SG
platz	local	platz	local	ADV	N;MASC;SG
platz	sítio	platz	sítio	ADV	N;MASC;SG
platz	platz	platz	platz	ADV	N;MASC;SG
platz	espaço	platz	espaço	ADV	N;MASC;SG
platz	space	platz	space	ADV	N;MASC;SG
ihrer	suas	ihr	seu	DET;NOM;MASC;SG	DET;FEM;PL
steht	bancas	stehen	banca	V;IND;SG;3;PRS;FIN	N;FEM;PL
steht	bancadas	stehen	bancada	V;IND;SG;3;PRS;FIN	N;FEM;PL
steht	stands	stehen	stand	V;IND;SG;3;PRS;FIN	N;MASC;PL
sep	sep	sepen	sep		N;MASC;SG
november	novembro	november	novembro	PROPN	N;MASC;SG
november	nov	november	nov	PROPN	N;MASC;SG
liste	listar	lassen	listar	N;NOM;FEM;SG	V;NFIN
liste	listar	lassen	listar	N;NOM;FEM;SG	V;NFIN
kam	vieram	kommen	vir	V;IND;SG;3;PST;FIN	V;IND;PL;3;FIN
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	N;MASC;SG
bzw	resp	bzw	resp		N;MASC;SG
wir	wir	wir	wir	PRO;NOM;PL;1	N;MASC;SG
jahrhundert	século	jahrhundert	século	ADJ	N;MASC;SG
jahrhundert	century	jahrhundert	century	ADJ	N;MASC;SG
beiden	ambos	beide	ambos	PRO;NOM;INDF;PL	PRO;MASC;PL
beiden	ambas	beide	ambos	PRO;NOM;INDF;PL	DET;FEM;PL
beiden	duas	beide	dois	PRO;NOM;INDF;PL	NUM
beiden	two	beide	two	PRO;NOM;INDF;PL	N;MASC;SG
beiden	dois	beide	dois	PRO;NOM;INDF;PL	NUM
vier	four	vier	four	NUM	N;MASC;SG
zweiten	segunda	zweit	segundo	ADJ;NOM;MASC;PL	ADJ;FEM;SG
zweiten	second	zweit	second	ADJ;NOM;MASC;PL	N;MASC;SG
zweiten	segundo	zweit	segundo	ADJ;NOM;MASC;PL	ADV
februar	fevereiro	februaer	fevereiro	PROPN;NOM;SG	N;MASC;SG
februar	fev	februaer	faver	PROPN;NOM;SG	N;MASC;SG
februar	fevereiro	februaer	fevereiro	PROPN;NOM;SG	N;MASC;SG
dessen	cujo	der	cujo	DET;GEN;MASC;SG	DET;MASC;SG
soll	deveria	sollen	dever	V;IND;SG;3;PRS;FIN	V;COND;SG;3;FIN
soll	devia	sollen	dever	V;IND;SG;3;PRS;FIN	V;IND;SG;3;IPFV;FIN
soll	deve	sollen	dever	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
soll	deveriam	sollen	dever	V;IND;SG;3;PRS;FIN	V;COND;PL;3;FIN
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	N;MASC;SG
gab	dei	geben	dar	V;IND;SG;3;PST;FIN	V;IND;SG;1;PST;FIN
etwas	algo	etwas	algo	ADV	PRO;MASC;SG
mich	mich	ich	mich	PRO;ACC;SG;1	N;MASC;SG
zusammen	juntos	zusammen	junto	ADV	N;MASC;PL
zusammen	juntas	zusammen	juntas	ADV	N;FEM;PL
allerdings	mas	allerdings	mas	ADV	CONJ
allerdings	embora	allerdings	embora	ADV	CONJ
film	filme	falmen	filme		N;MASC;SG
film	película	falmen	película		N;FEM;SG
film	filmes	falmen	filme		N;MASC;PL
film	películas	falmen	película		N;FEM;PL
film	filme	falmen	filme		N;MASC;SG
